global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
574.3211458458431	n/a	329844.77856568224	n/a	641.9474099772846	n/a	n/a	412096.4771765439	476.5583675309724	n/a	n/a	227107.8776637854	475.7231356557375	440.4217642929682	n/a	n/a	n/a	n/a	-0.0140663733	-0.0561392501	0.1004347441	-0.0074073719	0.0365881208	-0.0811756398	0.0441973774	0.0294471482	-0.2325338453	0.1006001925	-0.0651026498	0.1837792839	-0.4761936196	0.2576467799	-0.0065562667	-0.0724601703	0.0302398567	-0.1138729479	0.071096941	-0.0314825692	-0.0002481364	0.0477359685	-0.0719876067	0.0580837524	-0.0717668998	0.0083401783	-0.1295623376	0.0306107992	-0.0661340908	0.0567906541	-0.0618779524	0.1098441582	0.051503087	-0.0033397099	0.0342437537	-0.1507693497	0.0952126311	-0.0273995536	0.1213982235	-0.0559518018	0.0366153317	-0.0075904151	0.1044983887	-0.0681082701	0.0952226178	-0.0172502069	0.0492808878	-0.0277124168	0.0199231537	-0.0406747414	0.0047549794	-0.0104310793	0.0244552476	0.0264704865	-0.0781520768	-0.027065652	0.0265608899	-0.0140433334	-0.0313800232	0.1091364107	-0.0986164911	-0.009619276	0.1021494672	-0.0276046555	-0.0032682011	-0.0776525305	0.0515542589	-0.0483835593	-0.0228562714	0.0898951066	-0.0714280056	-0.0334076579	-0.039411098	0.0001982872	0.0069619199	0.0041985954	0.0608967091	-0.0127962471	-0.093596683	0.0244597239	0.1032138631	-0.0964544276	0.0583785394	0.0117066716	0.0123590844	0.0589745125	-0.028550093	-0.0362120959	0.043560463	0.0268516922	0.1156568266	-0.0737782519	-0.0712058752	0.0102446727	0.1091097489	-0.0884361544	0.0516651194	-0.035049543	0.0325170465	-0.0031170856	0.1218927447	-0.0601224162	0.0215922511	-0.1029393409	0.0641920773	-0.0053649865	0.069349823	-0.0805582818	0.1046480182	-0.0912603177	0.0063889827	-0.0499199034	0.1123510306	-0.1305390118	0.0395491322	-0.027452055	0.1339379027	-0.039760998	0.0867912512	-0.0309455333	0.0425591565	-0.0906151416	0.0318698442	-0.0278087477	0.0351146296	-0.0057472344	0.0057166295	-0.0439108053	0.0129331816	-0.0317068213	0.020023439	0.0693676401	-0.0126223246	-0.0222208668	0.0493269964	0.0325346856	-0.1292581924	0.073057506	-0.0061647687	-0.0155452548	0.0890855526	0.0065273471	0.0597273267	-0.0155810843	0.0259340038	0.1098122196	-0.023322741	-0.0154471529	0.0181666018	0.032833675	0.0092989379	-0.0083309545	-0.0230911446	-0.0560074291	0.0558227007	-0.0467351438	-0.0238475158	-0.1086468053	0.0705700889	8.46975e-05	-0.0888674042	0.034295013	0.0121601927	0.0575629494	-0.0303762071	-0.0402529029	-0.0145071852	0.1319025599	0.0263970687	-0.0593859083	0.0162674961	-0.1288175406	0.0923776377	-0.0104498237	-0.1395145238	0.1160189778	-0.0530476046	0.0274052669	-0.0638167821	0.0549818859	-0.0212613885	0.0223330804	-0.0169012419	0.0221701665	0.0767857415	0.0387612962	-0.016564306	0.0184057424	-0.0202322087	0.0178694572	-0.0554205692	0.1083251902	-0.0718443439	0.0903489333	0.0903433624	0.0903340779	0.0903210801	0.0162099	n/a	0.00026276085801	n/a	-8.74388e-05	n/a	n/a	7.64554374544e-09	0.039175	n/a	n/a	0.001534680625	-0.0014116	n/a	n/a	1.99261456e-06	0.000301433	n/a	9.0861853489e-08	n/a	0.000476543	n/a	n/a	2.2709323084900002e-07	0.0	0.0	0.0	0.0	0.0
573.292263562163	-1.0288822836801046	328664.0194602286	1.0585987536707873	631.6885583714921	-10.258851605792415	105.24403626966962	399030.43477745407	476.8257757149491	0.26740818397667	0.0715071368577005	227362.82038616293	475.9634357154408	434.5468527963795	1.212388	29.683439	0.0817762888	0.0374349	0.0801953747	0.0270702682	0.0352950651	0.0906831822	0.0088351849	0.1125197647	0.0199229748	-0.0952747983	-0.1038517193	0.0483295455	-0.0894102873	0.0256825747	-0.2153774336	0.1954507411	0.0008301882	0.0448817115	-0.0194378088	-0.0841780715	0.1836967415	0.0186603301	0.0108545573	0.0234955204	0.0004324019	0.0334385235	-0.1214032608	0.0310954311	-0.1059199667	0.0469467054	-0.0521246016	-0.0795783948	0.0216036328	-0.0882432376	-0.0052136317	0.1037201495	0.0143892446	-0.0836714933	-0.0020567429	0.0118418877	0.0128799344	0.0107265653	-0.0645997778	-0.0182432029	0.0422330716	0.0011314153	-0.019446954	-0.0502282085	-0.0253239464	-0.1202975851	0.0336238708	-0.0530759937	0.0204120861	0.1445084096	0.1324871485	0.0827924875	0.0327829191	-0.0224809224	-0.0333135542	0.0125642663	-0.0008669813	0.0031812805	0.1028992974	-0.0284644823	-0.0848538918	0.0133808063	0.0379133312	0.0120580603	0.0886127029	0.0369020279	-0.070420963	-0.098946403	-0.0046295114	-0.1035256252	0.0045847606	0.1119019047	-0.0164896202	0.0739508313	8.9868e-06	-0.0043962076	0.156102639	0.0325635895	-0.0671006706	0.0783483258	0.0878784485	0.0089060993	-0.0057178854	0.13082706	0.0272156121	0.0747798504	-0.0456152456	-0.0466589893	-0.0093234732	-0.1411472276	0.0438412847	-0.0342211551	0.0817220096	-0.1870714484	-0.0064497256	-0.0441557901	0.008859534	-0.0937159462	0.0878646949	-0.0463023925	0.0538470384	-0.0795074576	0.0458757807	0.0952197195	-0.0098358941	0.0538468404	-0.0392683262	0.0223814932	0.0815057696	0.0422255701	0.0623697757	-0.0278591294	-0.0418884564	0.0242945583	0.0296462465	-0.0630444782	-0.0265564017	-0.0176387159	0.0190505723	0.0201903911	-0.0596484196	0.0287123474	0.1476214011	-0.0056140833	-0.0162993868	-0.0489748399	-0.1851741794	-0.0691699616	-0.0781606672	0.0184015591	0.0151868259	-0.0038868124	-0.032044625	0.0055406299	-0.0063689453	-0.0792380402	-0.0249359795	0.0229917183	-0.1011425153	0.0273318181	0.0293621274	-0.0461620884	0.0189625598	-0.0644019852	0.0778719821	-0.1102673316	-0.0134415903	0.050838216	-0.0185120341	0.085340698	0.0672252498	0.0514831779	-0.0634346459	0.1474294486	-0.0199554111	0.060663156	-0.0446024154	-0.1049660628	-0.0627572544	0.1407629845	-0.0131769311	-0.0205678856	0.0551176292	0.0761864937	0.0452629054	0.0287040003	0.1040851733	0.0104317463	-0.0791021999	-0.1016544383	0.039134731	0.0124735201	-0.1138911855	0.1396927804	-0.0478108069	0.093002494	0.0508469046	-0.060420853	0.0180315153	0.0454973036	0.0308759532	-0.0357064911	-0.0290672942	0.0284884565	0.1017339448	0.0354792807	-0.0908012068	0.081482517	0.0553691901	0.0034989659	-0.0678916561	0.0903340779	0.0902839469	0.0902004158	0.0900835156	0.015116	-0.0010939	0.000228493456	1.19661721e-06	0.0133172	0.0134046388	0.0001796843413584	0.0001773478158399	0.0163737	-0.0228013	0.00051989928169	0.00026809805169	-0.00107333	0.00033827	1.1442659290000009e-07	1.1520372889e-06	0.000572845	0.000271412	3.28151394025e-07	7.3664473744e-08	0.000196696	-0.000279847	7.8314343409e-08	3.8689316416e-08	0.0	0.0	0.0	0.0	0.0
573.4687382637596	0.1764747015965895	328866.39376582846	0.0311433203036053	626.6376070323224	-5.050951339169728	25.51210943066047	392674.6905471953	477.1075195611692	0.281743846220138	0.0793795948829167	227631.5852218115	476.0021344671872	431.2150583113425	1.27439	31.201458	0.0567080682	0.0249244	-0.0785006438	-0.001261221	-0.0268498322	0.0770883297	-0.0405114168	-0.0001169754	-0.0470164654	0.059384122	-0.0598061435	-0.0433582689	-0.0751281317	0.0032001677	-0.1528004945	0.0541847785	0.0263697364	-0.0374250149	0.068385777	-0.0870215841	0.1242936503	-0.0185494967	-0.1025815357	0.0613039548	0.0134198436	0.1231367154	-0.0251003944	-0.0108617445	0.0169638954	-0.0168370212	0.0304068026	-0.0007255391	0.0659210671	-0.0013060606	-0.117204441	0.004470427	0.059586285	-0.132081456	0.0404039908	0.0304145469	-0.0438219911	-0.0261188351	0.0930362715	0.0448116428	-0.0228559403	-0.0519340898	-0.1038235704	-0.0881215599	0.0197262541	-0.101748227	-0.0883852784	0.081120493	-0.1153270171	0.0373873976	-0.0091852497	0.0533652572	-0.0297655579	0.0112425939	0.0501736115	-0.0443696662	0.0019815067	-0.0328838254	-0.0163807987	0.048647497	-0.0092369325	-0.0660591772	0.0505902246	0.0052925503	-0.0505301831	0.0841670675	0.0087463018	-0.0689584148	-0.0013410405	0.1295348587	-0.0126778991	0.0164901335	0.034259523	0.088187023	-0.0436629244	-0.0201430946	0.0287597857	0.0294888656	0.0129599093	-0.0052169025	-0.2130611523	0.0197611633	-0.0665717353	0.0213563734	0.0055980327	0.0732330838	0.074254891	-0.0558278198	-0.042699804	-0.0372153078	-0.0387301801	0.0714129488	0.0817634844	-0.1208259814	-0.0048207879	0.1076726861	0.0516876792	-0.0568774754	0.0152727639	-0.1186107146	0.0185490745	0.0176988548	-0.0300584198	-0.0336666415	-0.0121939532	0.0611496112	0.0303742786	0.0618255063	0.0611643883	-0.1208470849	0.0951162775	-0.0646838099	-0.0256759979	0.0436312146	-0.0046649073	0.0569974895	0.0442484854	0.0931332843	0.0258086748	0.0264444182	-0.1296282745	-0.0044473229	0.0010797806	-0.1410966963	0.0091909241	0.09675113	-0.0200322028	0.0556640947	-0.0405186449	0.047878304	0.0045426693	0.0135050379	0.0835252281	-0.0047151507	0.0354424227	-0.0028801618	0.0424867965	-0.0543501108	-0.0227090181	0.0480564032	-0.0317447503	0.0715488644	-0.0715089234	-0.0770543098	0.0136838434	0.0758222459	0.116570777	-0.0851514371	-0.0150742396	0.0762365488	0.0452922304	0.0417986345	-0.033329726	0.0164895518	-0.0302857232	0.064124452	0.0045360791	0.1819371625	0.0268932836	0.0577897187	0.0807569231	-0.0002488107	0.0640246343	0.0440938534	-0.1098300874	-0.0031295163	0.0927066557	0.0178062142	0.0718103201	-0.1129374718	0.0037187851	-0.0313112176	-0.1332909818	0.1176399705	0.0225225419	0.0954514639	0.0331309644	-0.0135742025	-0.083112033	-0.0311496316	0.0271440891	0.0073201008	0.069598211	-0.0144716355	-0.0012726653	-0.0111527478	0.0172863345	0.0495220464	0.0122748993	-0.0168376917	-0.0645226341	0.0903043695	0.0901651549	0.0899332895	0.0896090116	0.0117822	-0.0033337999999999	0.0001388202368399	1.1114222439999995e-05	-6.19182e-05	-0.0133791182	0.0001790008038095	3.83386349124e-09	0.0258057	0.009432	8.896262399999999e-05	0.00066593415249	-0.000921008	0.0001523219999999	2.3201991683999995e-08	8.48255736064e-07	0.000355051	-0.000217794	1.26061212601e-07	4.7434226436e-08	0.000437843	0.000241147	5.8151875608999993e-08	1.91706492649e-07	0.0	0.0	0.0	0.0	0.0
573.3447440862581	-0.1239941775015722	328724.1955713367	0.0153745560542914	626.9233615650995	0.2857545327771049	0.0816556530026615	393032.9012760845	477.3859727448108	0.2784531836415453	0.0775361754801121	227897.36697350923	476.3287868709084	435.8663785716297	1.325329	32.448643	0.0530626682	0.0237959	0.0688449207	-0.0736542585	-0.0710313144	-0.0387766881	-0.0212268921	-0.0665603238	0.1166499326	-0.0078034285	-0.0519836765	-0.0929786785	0.0007125986	0.0273548939	-0.0116277933	-0.0447531555	-0.0024708355	-0.0495407608	-0.1053034422	-0.010776494	0.1356874227	0.1108934304	-0.0935198296	0.0372138947	-0.0756282609	-0.0249127129	-0.0962082793	-0.0401458997	-0.0150262345	0.0484688782	0.0703390737	0.0434133016	-0.0943798501	0.0256930028	0.0192011735	0.0795616443	0.1370945533	-0.0450512739	0.0175059551	0.1848244075	-0.0204241282	0.0090048209	0.0825117883	-0.044361509	0.0130415623	0.0107043896	-0.0418065635	-0.0102788279	0.001404375	-0.0749639725	0.0117676194	-0.0296392333	0.0624768212	0.0602752416	-0.0395747112	0.0332038686	0.0205612144	0.0916536475	-0.0141287599	-0.1226300374	0.030980053	0.0164707404	0.0615912745	0.0391578231	0.0090812347	0.1030157371	0.0248272938	-0.0109171461	0.0074887489	-0.0411457581	-0.0879550666	0.0744341253	-0.0767797415	0.0258316868	0.0192919863	-0.0377488557	-0.0744518902	-0.1021524783	-0.027205261	-0.0424264388	-0.0039233577	0.0637395266	-0.0210027022	-0.0250022231	-0.0261164797	-0.0046281675	-0.0123855505	-0.1026783987	-0.037494406	-0.0057069044	-0.0509573998	0.0456582995	-0.0468709009	0.0126812485	-0.046774707	-0.1043626907	0.013928499	-0.1140832809	-0.143452448	0.063036208	0.0354113977	-0.0166272144	0.1352074746	0.0021673567	0.0132003121	0.0282134713	0.0381132479	-0.0179330717	-0.0544901772	-0.0941006702	0.0094291001	-0.039860716	0.1213815066	-0.0196595805	0.0843155916	0.0649146044	0.113933206	0.1596386014	-0.0187483904	0.0647037406	0.0640316891	-0.0139543044	0.007165285	0.0446818806	-0.0320914379	-0.0027693656	0.0656620112	-0.0205196807	-0.0759538566	-0.048269257	-0.0596656879	0.0351375555	0.0132884383	0.0129745121	0.0204275626	0.1029232996	0.0730920118	0.0754922592	0.0232818296	-0.0844980893	0.0374020349	0.0693242843	0.0246145124	-0.053259821	0.0205092834	-0.0029640156	0.0353784878	0.0918762197	0.0868458989	-0.0052309172	0.002477469	-0.0455988792	0.0180742516	-0.1198742346	-0.0188477058	0.0802643375	-0.016856844	0.0188923249	-0.1011138802	-0.0131599099	0.012481943	0.0293208206	0.0166272297	-0.126104388	0.0367119497	0.0422776034	-0.0066445958	-0.034677236	0.0498008165	-0.0372490779	0.0314465418	-0.0828333228	-0.0621000483	-0.0440404316	-0.000880033	0.03048301	-0.1175646715	0.1277315774	0.082910375	0.0407849849	-0.0032498678	-0.0247634275	-0.0919632659	0.0758391875	0.0324613481	-0.0133495207	0.0147367856	-0.0673959683	-0.0846433203	0.0092841247	-0.0837703104	-0.0325813596	0.0277137874	0.1113759447	-0.0989267324	0.0902598131	0.0899870646	0.0895330941	0.0888988159	0.0141595	0.0023773	0.00020049144025	5.651555290000003e-06	0.0124258	0.0124877182	0.0001559431058426	0.00015440050564	0.0177496	-0.0080561	6.490074721e-05	0.00031504830016	-0.00105738	-0.0001363719999999	1.8597322383999986e-08	1.1180524643999995e-06	0.000554049	0.000198998	3.06970294401e-07	3.9600204004000017e-08	0.000170382	-0.000267461	7.153538652099998e-08	2.9030025924000006e-08	0.0	0.0	0.0	0.0	0.0
573.1349878053545	-0.209756280903548	328483.7142466439	0.0439976973784881	627.4273967250065	0.5040351599069481	0.2540514424224228	393665.13816111867	477.6417559754615	0.2557832306507066	0.0654250610821125	228141.6470513223	476.549015948971	437.2502712423811	1.365835	33.440357	0.07024512	0.0356182	-0.0308916025	0.0895658122	-0.0284379919	-0.0834489821	0.0467701366	-0.0683438162	-0.0675152612	-0.0358540068	-0.026801153	-0.0391446438	0.0628452976	0.1227225077	0.0306651593	-0.021555157	-0.0408627697	0.056994343	0.0484193888	-0.0018451397	0.1844568196	0.045077222	-0.1348418453	-0.0406838866	0.0024334332	0.099951675	0.0294284689	0.0265461714	0.078330756	0.0122418303	-0.0059815604	0.0637897187	0.0320807123	-0.0380630419	0.0007257117	0.0538744857	-0.0637121839	0.0508493581	0.0491885424	0.0010160396	-0.0899565729	-0.0804029721	0.040753771	0.033004302	0.0231546762	0.0801016713	0.059204032	0.0202805648	0.0573751427	-0.0284596947	0.0943202588	-0.041352404	-0.0555372654	-0.0109254355	0.0213076254	0.0172503643	0.0438485213	0.0077686381	0.0755533195	-0.081119662	0.1438096286	-0.0187618011	0.0921763618	0.0054672483	-0.0947168066	-0.0741816972	-0.035847263	0.0243874578	0.060439421	0.1474074942	0.040900568	0.0030122836	0.0153657091	0.0296267372	-0.0682782873	0.0338730049	0.0018161307	0.0348156671	0.0972361379	-0.0008514423	-0.0033199287	0.0299215277	0.012460092	0.0116933629	-0.0419733496	0.0720352074	-0.0238996942	-0.0635366071	-0.0001310522	-0.0362493045	-0.0659982008	0.0173270474	0.0032376996	-0.0925040309	0.0561236278	0.0454118737	-0.0010526114	-0.1786037767	-0.0790440084	0.1404986103	-0.0319244107	-0.0172742628	-0.025654281	-0.0872296679	0.0250855346	0.0560979234	0.0257996295	-0.0561861709	0.041232001	0.0132824217	-0.0330760429	-0.0016054198	0.0268182998	0.042897537	-0.0673386958	-0.0657415045	-0.0667527737	0.0096317874	-0.0327862583	0.1137307922	0.0216887066	-0.0033832349	-0.0686890293	-0.0566423326	0.052905518	-0.0413460079	0.0921813712	0.0157961609	0.0935787057	-0.0104870548	0.004083568	-0.0263192641	-0.0318747246	-0.010408695	-0.0652912518	0.0093850215	0.0432349379	0.1229349573	0.1133621661	-0.0768256646	0.0070574792	-0.0247145856	-0.1075577149	0.0699025594	0.0205955953	-0.1041544778	-0.1156067948	-0.067667207	-0.0435510594	0.0302923638	0.0375864319	0.0332852004	-0.0322065583	0.0092497843	0.0202793843	-0.0569278155	0.0477675227	0.0470816341	-0.0590245918	-0.0057473311	-0.0266514124	0.0641155829	-0.0410668718	-0.0808455218	0.0125344938	-0.010555916	-0.0119336845	0.0035831598	0.0875881108	0.010479827	0.0682880562	0.0805092633	0.0031665157	-0.1174531011	0.0067981968	-0.0446520249	-0.1381982699	0.0867518229	0.0572327178	-0.0572571758	-0.0556646863	0.0149928574	-0.0310730372	0.0294175998	0.0040249883	-0.0086837672	0.0237985103	0.0077958476	0.0133970607	0.0048698957	-0.004624837	-0.0039411478	0.0350917899	-0.0487265488	-0.093380139	0.0902004158	0.089749793	0.0890004218	0.0879547967	0.00730213	-0.00685737	5.3321102536900005e-05	4.70235233169e-05	-0.0152998	-0.0277256	0.00076870889536	0.00023408388004	0.0315037	0.0137541	0.00018917526681	0.00099248311369	-0.000875618	0.0001817619999999	3.303742464399997e-08	7.66706881924e-07	0.000360465	-0.000193584	1.2993501622500002e-07	3.7474765056000006e-08	0.000107567	-6.281500000000001e-05	3.945724225000002e-09	1.1570659489e-08	0.0	0.0	0.0	0.0	0.0
572.4563723739461	-0.6786154314083888	327706.29827153805	0.4605189037455935	620.8707455085538	-6.556651216452679	42.98967517421039	385480.48262834735	477.3329608493381	-0.308795126123357	0.0953544299175399	227846.75551319576	476.3854393660445	435.60831485177954	1.362774	33.365421	0.135942291	0.0704732	-0.0329762434	-0.094043365	0.0630948822	-0.0206368532	0.0527250949	0.0209702068	0.0582101309	0.0638071431	0.0252825957	0.0749735569	0.017543194	0.0224016222	0.020942169	-0.0255192499	0.0180506365	-0.110328409	-0.00182339	-0.0063141537	0.1270692052	0.0374772367	0.0605173687	-0.0153639244	-0.04699461	-0.0460674494	0.0090430711	-0.0016083831	-0.0016912408	-0.033611786	0.0306035647	0.0458414638	-0.0230733283	0.1954831852	-0.005785412	-0.0371298241	0.02426559	0.0225504548	0.0207391283	-0.0090597777	0.0976665357	-0.0488451311	-0.0182857601	-0.0103430917	0.0687056917	0.1398352012	-0.0633639726	-0.0501894013	-0.0443063055	0.0194464192	0.0547506822	-0.0230523143	0.0024663167	-0.0555665683	0.0109570894	-0.0260766415	0.0399315251	-0.0135000838	-0.0194163425	-0.0120097889	-0.1091076506	0.0027895087	-0.0041228527	0.0143004994	0.0566248262	0.0450439449	0.0078428205	0.0224502965	0.0918896102	-0.0305094227	0.0328300461	0.0590084008	-0.0260259601	-0.0008314681	-0.0432739321	0.0166445466	0.1356249104	0.0074942289	-0.0304219393	0.1765164868	-0.0353480865	-0.0042205186	0.0604000608	0.0880793672	0.0686223698	0.0407991558	0.0559304589	0.0850782538	0.0904043432	-0.0117760265	-0.0679658185	0.043251091	-0.0271962691	0.0295519321	-0.1089339153	-0.0109285681	0.0061776994	-0.1259113568	-0.0448053599	-0.0517472609	-0.014958445	0.0730174692	0.0091611042	0.0392598896	0.0051424297	-0.0024833641	-0.0372802802	-0.0463094978	-0.0035022718	-0.0602403358	0.1480194727	-0.0434316399	-0.0147227322	-0.0468598775	-0.0426339756	0.0035471441	0.057728074	-0.0436926284	0.091032532	0.0285826887	0.0151347673	-0.0836772071	-0.0837775787	0.0996672691	-0.0785112004	0.0049719792	0.046765106	0.0796635505	0.0133554682	-0.0314138788	0.0497636076	-0.0322589154	-0.0210719466	-0.0515281066	0.0361964385	-0.0103664328	0.0327444308	-0.0955995955	-0.0391645139	-0.0068560329	0.0190638509	0.0604666527	0.0648959292	-0.0151334606	0.0226803993	-0.0794488056	0.0449941519	0.0657591962	-0.0594876288	0.0256803	0.0323750971	0.0157976935	-0.0275395163	0.1055177621	-0.0955641626	0.0581463487	0.1465363241	-0.0179751753	0.0731729208	-0.046488822	-0.0548870776	-0.0074947978	-0.0361727199	0.1037439379	-0.1003597725	-0.0804314087	-0.0107503883	-0.0068428649	0.0754081338	-0.0569407407	-0.0324917444	-0.094008807	0.044688996	-0.0407553363	-0.0006690603	0.0471630205	-0.0286660026	0.167600435	-0.0283841248	0.0282602549	0.0117870434	-0.0020222867	0.0150197625	0.1376501216	-0.0114866513	0.0216236656	-0.0715552553	0.0280948273	0.0024007384	0.0822835784	-0.0444778668	0.020502112	-0.0413465984	0.0047218794	-0.0243021744	0.0901261876	0.0894534963	0.0883360609	0.0867794369	0.0122109	0.00490877	0.00014910607881	2.40960229129e-05	0.0329712	0.048271	0.002330089441	0.00108710002944	0.0029174	-0.0285863	0.00081717654769	8.511222760000001e-06	-7.56358e-06	0.00086805442	7.535184760815364e-07	5.72077424164e-11	0.000553599	0.0001931339999999	3.06471852801e-07	3.7300741955999995e-08	0.000129903	2.233600000000001e-05	4.988968960000005e-10	1.6874789409000006e-08	0.0	0.0	0.0	0.0	0.0
