global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02
497.378136330516	n/a	247385.01049961732	n/a	557.8188041704234	n/a	n/a	311161.8182861212	399.6743801068917	n/a	n/a	159739.61011382815	396.9798773722042	531.5654879356252	n/a	n/a	n/a	n/a	-0.0636260097	0.0379093359	-0.0561120627	0.0589038047	-0.0031724568	0.0254721232	-0.0095907244	-0.2486122681	0.0186230031	-0.0114509056	0.3415663682	-0.1147751049	0.4154260601	-0.0276901132	0.1736807662	-0.2042637471	0.2109686207	-0.0205796954	0.0885797876	-0.2770363995	0.1273620332	-0.0492899459	0.01343746	-0.0513262507	-0.0024259106	-0.029627283	0.0125729168	-0.0171083058	0.0124597676	-0.0221171092	0.0027132063	-0.1045179433	0.0791203701	-0.0096908882	0.0316152753	-0.0452668526	0.0363420368	-0.0297008832	0.0321147782	-0.0952693565	0.1267733691	-0.1541459849	0.103816672	-0.0324939777	0.0053742035	-0.1193356964	0.0222981445	-0.0284159754	0.0314064505	-0.0251485416	0.0145617046	-0.0215940441	0.0171158613	-0.0943696881	0.0210354449	-0.0268890194	0.0275109772	-0.0162938125	0.0222838038	-0.0014142552	0.0827262123	0.0557218578	-0.092687428	0.08109427	-0.0430903836	-0.0370156585	0.0266064921	-0.076105541	0.0359559794	0.0829831941	-0.0343770886	-0.0621378013	0.0440435463	-0.0030720752	-0.0176236313	0.0559800871	0.0442969647	-0.0458890063	-0.0418429248	0.0431263098	0.0423395461	-0.0927577889	-0.0500857028	0.0427324879	0.0917774783	-0.0346752398	-0.0632930103	0.016482093	0.0264192352	0.0231657118	-0.0428237797	-0.0413224677	-0.0565422938	0.0229229795	0.1286117709	-0.1256972789	0.0138132154	0.0179464743	0.0290036691	0.0408438406	-0.0249461988	-0.0235902464	-0.0388089338	0.0711435522	-0.0299280512	0.0175333129	-0.0160959639	0.0154181837	-0.021125901	0.0165195471	-0.0803223424	0.0879841918	-0.0251858157	0.0168822458	-0.0624012113	0.0395870798	-0.0358216811	0.0072128768	-0.0860711116	0.0494153851	-0.1780842716	0.1390238132	-0.0219315527	-0.0504907283	-0.133832396	0.0451064724	-0.0351475048	0.0229361301	-0.0187992301	0.0226728596	-0.0553450408	0.0012222346	-0.0737431227	0.0094348715	-0.043406109	0.0021229514	-0.0048405382	0.0120861338	-0.0207783847	0.0790267552	-0.127247624	0.0863977082	-0.0227537833	0.0499513714	0.0304267788	-0.0252081533	-0.0855483412	0.0290796587	-0.0749832498	0.0568424096	0.0289076339	-0.0082981537	-0.0539276458	0.0173128134	0.0709265539	-0.0166832877	-0.0293958785	0.0777373715	0.0404088022	-0.031966941	-0.0558445316	-0.0108312496	0.10414633	0.0695628771	-0.082107223	-0.0115895921	0.0063587554	0.0319104834	-0.01331251	-0.0226804193	-0.0539189673	0.0069571903	0.0013090651	0.0872405989	-0.1462495776	0.0065768363	0.0242346228	0.0474771486	-0.0361172719	-0.036098232	-0.0074202453	0.0349801449	0.0581769222	0.0186589349	-0.0196048173	0.0285947523	-0.048593301	-0.0085227964	0.0093317556	-0.0299167098	0.056252372	-0.0561294491	0.0331778095	-0.0516483613	0.1705835523	-0.0174304252	0.0164968546	-0.0018898726	0.0112379522	0.0226550129	-0.1574907032	0.0025109401	-0.043568885	0.1326930747	-0.112551461	0.0609126753	-0.121253089	0.0903489333	0.0903433624	0.0903340779	0.0903210801	-0.0287578	n/a	n/a	0.00082701106084	-0.0505854	n/a	n/a	0.00255888269316	0.0270251	n/a	n/a	0.00073035603001	-0.00117081	n/a	1.3707960561e-06	n/a	-0.000708526	n/a	n/a	5.02009092676e-07	0.0	n/a	0.0	n/a	0.0	0.0	0.0
496.0535167665848	-1.3246195639312075	246069.0914964964	1.7546169891493029	546.8147378229362	-11.004066347487196	121.0894761799002	299006.35750036646	400.0794951709912	0.4051150640995047	0.1641182151603458	160063.60245627517	397.3534768750618	523.5375466581297	1.16033	25.60899	0.1030499999999999	0.0468632	0.0025703113	-0.0279485351	0.0683085027	0.0415155947	-0.0119623892	0.0202863368	0.0035757951	-0.0545317871	0.0584025384	-0.0553034801	0.1528006321	-0.0255203759	0.2669108453	-0.0199745986	0.0324768115	-0.0298718594	0.1896481852	0.0268897131	0.1846726334	-0.0761039178	0.0245992271	0.1366087971	-0.1381765443	0.060433293	0.0380784272	0.0095840735	-0.0549785031	0.0149250972	-0.030518946	-0.0438188914	0.0210926181	-0.1088106587	0.0207740334	0.04710879	0.0804528011	-0.074541797	0.0720621298	-0.0701868047	0.0571570403	0.004052136	-0.0335637311	0.0445643226	0.0400476592	0.086683197	-0.0108956428	-0.1014483427	-0.0769793567	-0.1267577602	0.1899189497	-0.069503216	-0.034157058	-0.0581957887	0.0607126962	-0.0505289976	0.1020413968	0.0755314566	-0.1278552547	0.1087039815	-0.035459346	-0.0189123506	0.0824915487	0.1101516473	0.0005918776	0.0636374525	-0.0680562261	0.0639579944	-0.0605019842	0.0300299413	-0.1063214406	-0.0116570581	-0.0621729907	0.116776702	0.0544170654	0.0280230492	-0.0699616412	-0.0743835818	-0.0952096488	0.0298323801	0.0081642159	-0.1274457506	-0.0143644209	0.04892502	-0.0595873616	0.0266966849	-0.0532473351	0.0615916762	-0.0102536475	0.0047559206	0.0850348431	-0.0538583582	-0.1377517135	-0.0510260423	-0.0808885787	-0.0180201322	-0.0279883163	-0.1008961832	0.0203222208	0.0471766912	-0.0455409518	0.0124182622	-0.0954980808	-0.0969295655	-0.0871683058	-0.0489139224	0.0086885325	-0.0588302016	0.0109948693	-0.021171593	-0.0541738056	0.0222109989	-0.0966905135	0.0154327793	-0.0816644351	-0.0293334192	-0.0949058858	0.0770592808	-0.1057026357	-0.0181313466	-0.0269939599	-0.0166947126	0.0577690945	0.0585419593	-0.0779344493	0.0664942406	-0.1056911563	-0.0400362595	-0.189260354	0.1174002691	-0.0568037773	0.0363371571	-0.0429560237	0.0115423098	-0.0544580962	0.0429683342	0.2001558187	0.0266088662	0.0250555326	0.0010718211	-0.0600795311	0.05715033	-0.1188703536	-0.0816754927	0.026371578	0.098147003	-0.071237688	0.0108346811	0.0256502802	-0.0906479697	0.0657907419	0.0125756021	-0.112857148	0.0405888375	-0.0558625192	-0.0775696241	-0.1371442614	0.002942728	-0.0035948073	-0.026171306	-0.0122271601	0.1399913485	0.0131955506	-0.005321664	0.003659597	-0.0278366359	0.0304186942	-0.0473690019	0.0763071446	0.051898951	0.0364901205	-0.0788738062	-0.1305285401	-0.0216308453	-0.0470420156	-0.0218290186	-0.1089721015	-0.0806512528	-0.0096705938	-0.0580019128	0.0001253189	0.0585301275	-0.0130915249	0.0526383709	-0.0414168632	0.0333447848	0.027926687	-0.0138529145	0.0730193012	0.034279745	0.0591818689	-0.1179173333	0.012383423	-0.0230789563	0.0463641668	-0.0026294487	0.0537486035	-0.0313175792	0.0300860769	-0.1146591112	-0.0221807528	-0.183155582	-0.0514299783	0.0908122324	0.0009194211	-0.0330842085	-0.1063135536	0.0283524378	-0.0896046762	0.0903340779	0.0902839469	0.0902004158	0.0900835156	-0.0119515	0.0168063	0.00028245171969	0.00014283835225	-0.0685099	-0.0179244999999999	0.0003212877002499	0.0046936063980099	0.0581676	0.0311425	0.00096985530625	0.00338346968976	-0.000594942	0.000575868	3.53955983364e-07	3.31623953424e-07	-0.00054086	0.000167666	2.8111887556000004e-08	2.925295396e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
495.3086685827737	-0.7448481838110865	245330.67717323996	0.5547988169266741	543.7434019471937	-3.071335875742534	9.433104061623158	295656.8871611074	399.67290582373846	-0.4065893472527477	0.1653148972994155	159738.4316495909	396.94155089243566	519.6148840533249	1.109106	24.478466	0.0973494	0.0636987	0.0188688746	0.0017604034	-0.0644914442	0.0588451157	-0.0096390584	0.0045914827	0.0252534655	-0.0813428065	-0.0518763767	0.0087495223	0.1870532206	-0.0687651987	0.1240267439	-0.0149558505	0.0298520698	-0.0651896455	-0.0175337814	-0.0149409724	-0.0298294111	0.0011843449	0.0321563539	-0.003751785	-0.0822772193	0.0162303366	-0.0520327785	0.0052877352	0.0502378483	0.0025549608	0.0071715635	-0.0370470904	0.0374191713	-0.0976531437	-0.0258666787	0.0130833755	-0.077209589	-0.0859072701	0.0519149101	-0.054607211	-0.0380298646	-0.0178928303	-0.1088778287	-0.056084012	0.0014378901	0.0556080303	0.0584517224	-0.0063572751	-0.0420585669	-0.056506961	-0.0199768948	0.0519926265	-0.0035714703	-0.0002687769	0.0527142973	0.0885833999	0.0039401837	0.0669469051	-0.1445169598	-0.0872887911	-0.0207919858	0.0645672069	-0.0009206555	-0.0100026306	-0.0307196612	0.0331718559	0.001676524	-0.0336259097	-0.0216231808	-0.0099956843	0.0152772262	-0.0661480247	-0.0980237988	-0.0667552712	-0.0158578586	0.0545165025	-0.0280941612	-0.042784171	-0.0480186754	0.040416843	-0.0401699775	0.067926737	-0.0003463516	-0.1360631798	0.0980667916	0.0746911837	-0.0251491929	-0.1280010378	0.0478048978	0.0612595324	0.0071966164	-0.0205435781	-0.0038188974	-0.07306488	-0.0327195291	0.0359574144	-0.0061731668	0.0393461645	0.0237922507	-0.0793146089	-0.0524431247	-0.0176473663	-0.0926932498	0.0181348398	-0.1625360888	0.0195766422	0.0072689005	0.0463353169	-5.40229e-05	0.0005959141	-0.0314581692	0.0323616891	-0.0956217516	-0.0241083373	-0.034842082	0.1220386876	-0.0525029342	0.0201965182	-0.0137047805	0.0767148389	0.0005695913	-0.1069685829	0.0009429301	0.0308257208	-0.0610327523	0.0021158319	-0.0026307385	-0.0537759566	-0.0131792336	-0.0528091779	0.0637262102	-0.027701071	0.0069895231	-0.037360664	0.1018676415	-0.0491141576	0.1246959996	0.0051340627	-0.1229916571	-0.0765409268	-0.0297089838	-0.0036385159	-0.0067336871	0.0305843354	-0.0096369984	0.0121286747	0.0180207339	-0.0526100789	-0.0102755218	0.0211883823	0.0933391579	0.0743512436	0.0698654668	0.0399772069	-0.0061869112	0.0018879443	-0.1023606307	0.0058608759	0.0077664129	0.0468046037	0.0152501584	-0.111130559	-0.0320128343	0.0846624784	0.097851727	-0.0753105638	-0.0472535949	0.0166502702	-0.0704017032	0.0567787765	0.0206068027	0.003793398	-0.0411663232	0.0429278394	0.0382954636	0.083047391	0.0247216716	-0.0301198971	-0.1215967632	-0.0085111516	-0.0240271417	0.0966362858	0.1679398642	0.072661957	0.0300090443	0.0277980165	-0.0114925005	0.0028456801	-0.0543736581	0.0036072857	0.045707041	0.033532403	-0.0071926393	-0.0294162438	-0.0168198597	-0.019400054	0.1401379193	0.0029144054	-0.0342571807	-0.0037686187	-0.0458397651	-0.0477208767	-0.1043184116	0.0015857048	-0.0259611998	0.0952748455	-0.0587397476	0.0194237407	0.0061842379	0.0903043695	0.0901651549	0.0899332895	0.0896090116	-0.0152057	-0.0032542	1.0589817640000004e-05	0.00023121331249	-0.0127167	0.0557932	0.00311288116624	0.0001617144588899	0.0313202	-0.0268474	0.00072078288676	0.00098095492804	-0.000594942	0.0	3.53955983364e-07	0.0	-0.000311768	0.000229092	5.248314446400002e-08	9.719928582400001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
495.081328310475	-0.2273402722987043	245105.52164166432	0.051683599408849	538.5952049819396	-5.148196965254101	26.503931993051538	290084.7948295375	399.7698710505053	0.0969652267668266	0.0094022552019421	159815.94979973763	397.0192384888865	518.0197294272225	1.038661	22.923706	0.10433267	0.0568791	0.0341804265	0.014358801	0.0537703045	0.0367815801	-0.0330098101	-0.0141129493	0.0495693313	0.042501739	0.0428421013	0.0147114533	0.0680435858	-0.0204215794	0.0406526427	-0.0111834816	-0.0175753173	0.0204339456	0.0434983083	-0.0550817202	-0.0098961055	0.0255118802	-0.0110189598	0.0363362838	0.0118949026	0.0753637369	0.0683863793	0.0144819272	-0.0460895815	0.0273903371	0.0008588811	-0.0575632746	-0.0702419979	-0.0727391941	0.0159660286	-0.0556470873	0.0166138251	0.0586042779	-0.1161900682	-0.0187805328	0.0238980757	-0.0981449553	0.0090864036	0.0088947787	0.043417353	0.0981131525	0.0385226944	-0.1221672251	-0.0162295389	-0.029577179	-0.0338262388	0.0104106751	-0.0775792736	-0.0333933627	-0.0137371504	0.0085234881	0.0937890121	-0.066295518	-0.0227368675	-0.0361903462	0.0222116597	0.0247254307	-0.0390992197	0.0268628902	-0.0357628933	0.132328975	-0.0306471729	0.0186314507	-0.024778413	-0.1375192653	-0.039742417	0.0035303222	-0.0620649922	-0.050774906	-0.052606284	0.0161129692	0.0551593539	0.1392867695	-0.0301474644	-0.0213820623	0.0654390698	0.0876497903	0.0686036332	0.0200125611	0.0078290272	-0.0714223538	-0.005699623	-0.007172876	0.0023459702	0.0589086523	0.1296675698	0.0658877388	0.0236110634	0.0303421289	-0.0453977653	-0.0375107728	-0.0116117192	0.1970064152	-0.0150863449	0.0713938023	0.1044769636	0.0128748373	-0.145320103	-0.0226054269	-0.0350922272	0.0867421897	0.017361768	-0.0503540874	0.0294984164	0.0092526198	-0.0570034783	-0.0455339535	-0.0761431853	0.0490022461	0.0335326463	-0.047145603	0.0545201177	-0.095836604	-0.0136449745	0.0123567401	-0.1063081327	0.0247127362	0.0310470295	0.0858142748	-0.093206905	0.0378062413	-0.1070099234	-0.0242254665	-0.0084994901	-0.0490989949	-0.0244289634	-0.0157059476	0.0387982276	0.058126695	0.0092429369	0.1019159345	0.0150859359	-0.0584572232	-0.0465707957	-0.0330421344	0.0127468072	-0.0458416982	-0.0647018849	0.0580737328	0.0144175395	0.1073980778	-0.0226136107	-0.0346711208	-0.1250809105	0.0048411929	0.0320160693	0.019520217	0.0587468969	0.0561625204	0.0362847743	0.0625552228	0.08623402	-0.1390213428	0.0070017304	-0.0262120221	0.0630251159	-0.0829470665	0.0799034061	-0.0365313289	-0.0524411157	0.0430505143	-0.0449644993	-0.046528875	0.0117517885	0.1439483518	-0.0266145828	-0.0326575994	0.0013518542	-0.1024198369	-0.0253021142	0.0598379723	0.183214188	-0.0240215543	0.0358917032	-0.0953767683	-0.1263161144	0.0698919002	-0.0222020186	-0.0058143983	0.1022859944	0.0336356498	0.0221135687	-0.0099182949	0.0662179868	-0.0116309053	0.0218019063	-0.0899196398	0.0641299457	-0.0268482612	-0.0294041539	0.0096336953	0.0479426497	0.0067836849	0.0235784379	0.0321444844	0.0430612914	-0.1161409498	0.0136960766	0.0450788909	-0.0710453818	0.0130069394	-0.0587055216	0.1415317596	0.0006150328	0.0902598131	0.0899870646	0.0895330941	0.0888988159	-0.00347853	0.01172717	0.0001375265162089	1.21001709609e-05	-0.0641028	-0.0513861	0.00264053127321	0.00410916896784	0.0470005	0.0156803	0.00024587180809	0.00220904700025	-0.000292191	0.000302751	8.537558048100003e-08	9.1658168001e-08	-0.000306307	5.460999999999953e-06	2.982252099999949e-11	9.382397824900003e-08	0.00020257	0.00020257	4.103460490000001e-08	4.103460490000001e-08	0.0	0.0	0.0
494.8978363946658	-0.1834919158092134	244923.86846812136	0.0336692831673354	539.5076825548779	0.9124775729383146	0.8326153211153972	291068.53953573486	399.4686500292888	-0.3012210212164632	0.0907341036226889	159575.20235622243	396.7674879814388	519.088250583102	1.010618	22.304792	0.13310412	0.0775770999999999	0.0202259288	-0.0244667505	-0.0279861258	0.0467474908	-0.0440389593	-0.0409797206	0.0267438786	-0.0169860553	-0.0315300258	-0.0191929963	0.0621596861	0.0188188287	0.0311541434	0.048844643	-0.0058181436	0.0008771481	-0.0957696624	-0.0197896055	-0.0401754805	0.0375727374	-0.0150181296	-0.0161934246	0.0515640749	0.019195066	-0.0655445241	0.0096989677	0.0550005729	-0.003542443	-0.0356724061	0.0349498862	-0.1071964473	-0.0146672866	-0.098715532	-0.0701748663	0.0095891429	-0.0089957299	-0.0275560135	-0.0035846447	0.0579037518	0.0192929336	-0.0468826553	0.0114420802	0.0810633609	0.0150452428	0.0043970159	-0.1265740666	0.0413082665	-0.1106126763	0.0179883622	0.0154956399	0.0827975803	0.0373672629	-0.0621178479	-0.0726530928	-0.08307572	-0.0144093365	-0.1189099933	-0.0643213663	-0.034589005	0.0124217775	0.0811169791	0.0395574081	0.0240739624	-0.0176347077	-0.0140737156	0.0296450276	0.0249728656	-0.0154941004	0.0901522029	0.0361218073	0.1039528852	-0.0293677757	0.0924481563	0.0332075866	-0.0069187845	-0.0233462214	-0.0834960649	0.0164223079	0.0037670853	-0.0276984459	0.0324938773	0.0828227057	-0.018839406	-0.0902354349	0.0385243114	0.0231283041	0.0673271413	-0.0539885956	-0.0194401386	0.1748708556	-0.0722234272	0.0278804266	0.0665985183	-0.0435323637	-0.0054354922	0.0291142327	0.0430201765	0.1118581203	-0.0228404731	0.0011059339	0.1415497454	-0.125159997	0.0380544984	-0.0797210398	0.0091873797	0.0463569938	-0.0029018593	-0.0480575776	0.0266432412	-0.1091505782	-0.0427822333	-0.0602779273	0.0684660776	-0.0293604666	-0.0251236068	-0.0408938112	-0.0283833625	-0.0530413355	-0.0058214811	-0.0337617811	0.0332453368	0.0884428651	0.0002203434	0.010549281	-0.1157474716	0.0429466401	-0.0359803321	0.0020647279	0.1279403087	0.0514217071	0.0475975259	-0.0318604326	-0.0739766879	-0.1164884361	0.0320175854	-0.0642906028	-0.096580528	-0.016004224	-0.0610258744	0.0767065114	-0.0337087247	-0.0323258032	0.0312946465	0.0068729222	0.0151100965	0.0591497627	0.0154691206	0.0888661732	-0.0904528963	-0.0816739411	0.024102671	-0.0196587556	-0.0884661207	0.0098138704	-0.0829366937	-0.0156784142	-0.027788648	-0.0067843148	0.0110616054	0.0421018492	0.0546880081	-0.0203957312	-0.1208140849	0.0218935236	-0.0493045099	0.0789932993	0.0512272744	-0.0331322728	-0.1314344216	-0.0697984512	0.0286903187	0.0252813088	-0.0869821107	-0.0142694832	0.0361100291	-0.0489418321	0.0695525509	-0.0135852494	0.0803791854	-0.029788885	-0.1454069478	0.1218876365	-0.0519327824	0.0244787243	-0.0562251713	-0.0394232978	-0.0197859673	-0.0007516927	0.0362924914	0.0283703751	-0.0548284163	0.012624054	-0.0376805215	-0.0215484485	0.0795293339	0.0692493494	-0.0781669168	0.0324581886	0.0307457221	-0.0490781193	-0.050628504	-0.0058660959	-0.0726322022	0.166164209	-0.044244417	0.0034540163	0.1020710519	0.0902004158	0.089749793	0.0890004218	0.0879547967	0.0112217	0.01470023	0.0002160967620529	0.0001259265508899	0.00532494	0.06942774	0.0048202110815076	2.83549860036e-05	0.0221078	-0.0248927	0.00061964651329	0.00048875482084	-0.000594942	-0.000302751	3.53955983364e-07	9.1658168001e-08	-0.000346503	-4.019599999999999e-05	1.6157184159999995e-09	1.20064329009e-07	0.000341292	0.0001387219999999	1.16480229264e-07	1.9243793283999996e-08	0.0	0.0	0.0
494.6939221687038	-0.2039142259619666	244722.0766306556	0.0415810115496679	537.8506172817393	-1.657065273138528	2.7458653194416645	289283.286510348	399.4935253815685	0.0248753522796505	0.0006187831510367	159595.0768217939	396.7402509221156	518.5883128684143	1.067027	23.549751	0.05490754	0.0473542	0.0278999265	0.0059469924	0.0288563634	0.0280784686	-0.0024248004	0.0053590213	0.0289396474	0.0405451755	-0.0076081615	-0.03422954	0.0819765155	-0.0629588072	-0.0831940776	-0.0201752888	-0.1057447925	-0.0395995057	-0.005243244	-0.0056943614	0.024735091	0.0067046074	-0.1077062756	0.0015675314	0.0271993459	0.0391961217	0.0259015587	-0.0048788555	-0.0215533804	0.0239742739	-0.0028980853	-0.0622784753	0.0094845005	-0.0799444369	-0.0635154022	-0.0164292011	-0.0892192742	0.1445228898	-0.097408498	-0.0745780418	-0.0019939468	0.1299810409	0.0532955522	0.0657358939	-0.0123384474	-0.0663648385	-0.0609821504	0.0561170369	0.0372584826	0.0313735484	0.0660582385	0.0402268631	0.0050099025	-0.1568107119	-0.0695317175	-0.1533209987	-0.2047008522	-0.037180591	-0.0650641404	0.004926235	0.10360139	0.0745790336	0.0104428721	-0.0947695583	0.0008467049	0.0275511671	-0.0619670955	-0.0723334801	-0.0253214862	-0.0115774143	0.0553163867	-0.049234817	0.0264581198	-0.0571662384	-0.0726335639	-0.0306316362	0.0053846112	-0.0554899705	0.0413676972	0.1147321276	-0.0362323202	-0.0382011996	0.0319073074	-0.0270474813	0.0359965004	-0.0049872299	-0.0610470899	-0.0499421724	0.0021588298	0.0711592992	-0.1185149147	-0.0448616566	-0.0471037622	-0.0542040569	-0.0251440365	0.0160019684	0.0101068181	-0.0864180556	0.0898094725	-0.0157074165	-0.0476863535	0.0140758692	-0.0330229097	-0.0003506731	-0.1195704006	-0.0446094207	-0.0038414078	-0.0251431677	0.0252926454	0.0076852392	-0.061861726	0.0068545021	-0.0943642852	-0.0383245951	0.0377922307	0.0152371579	0.1702477985	-0.0849772173	-0.0927574687	-0.0165869992	0.0960533878	0.066576204	0.0319826558	-0.0479692091	0.0750658031	0.017552453	0.0601237755	0.0466614051	0.0028353521	0.0621795502	0.0082155837	-0.0615445335	-0.0561152765	0.1420180671	-0.1511421473	-0.2041584818	-0.0414289288	-0.0856927537	0.0496687438	-0.1269721563	0.0080555618	0.0480175263	0.0676117897	0.0733911287	-0.0536637985	0.0610920961	0.0425764455	-0.0590457821	0.0119943358	0.0636516324	0.0303407269	-0.0190141333	0.0549530644	-0.0387764494	0.0629381425	0.0214036229	-0.0227475474	0.0587019951	0.1035625076	0.0478625342	0.0146046463	0.0445820757	-0.0138436394	0.0599460873	-0.0209958091	-0.0272963766	0.0552670045	-0.0290172796	-0.1238173446	-0.0575334277	-0.0008401118	-0.0076912278	-0.081552372	0.0464032818	0.0027540419	0.057253637	-0.0589973461	-0.0645561426	-0.053905592	0.0770467463	-0.0118295836	0.033153736	0.1001124213	0.0797497236	-0.0264955363	0.0199164598	-0.0356826295	-0.0216532367	0.0574939113	-0.021422262	-0.001255942	-0.0404642764	0.0811268172	-0.0229871083	0.0228621364	0.0384939853	0.0860324868	0.0126820776	0.0465225124	-0.0308364775	0.0317646804	-0.1111121531	0.0470240167	-0.0613558091	-0.0604382321	-0.0898805847	0.0375352062	0.0047580376	-0.0195831106	0.0901261876	0.0894534963	0.0883360609	0.0867794369	0.0112156	-6.1000000000002025e-06	3.721000000000247e-11	0.0001257896833599	-0.0408584	-0.04618334	0.0021329008935556	0.00166940885056	0.0196602	-0.0024476	5.990745760000006e-06	0.0003865234640399	-0.000594942	0.0	3.53955983364e-07	0.0	-0.000356486	-9.982999999999975e-06	9.966028899999951e-11	1.27082268196e-07	0.000225865	-0.0001154269999999	5.101499822500001e-08	1.3323392328999997e-08	0.0	0.0	0.0
