onset	duration	trial_type	n_back_condition	trial_number	stimulus	response_type
0.0	n/a	RESPONSE	n/a	n/a	n/a	n/a
0.967	0.5	DISTRACTOR	1	1	C	Correct Rejection
1.467	1.0	ISI	n/a	n/a	n/a	n/a
2.467	0.5	DISTRACTOR	1	2	I	Correct Rejection
2.967	1.0	ISI	n/a	n/a	n/a	n/a
3.967	0.5	DISTRACTOR	1	3	A	Correct Rejection
4.467	1.0	ISI	n/a	n/a	n/a	n/a
5.467	0.5	DISTRACTOR	1	4	B	Correct Rejection
5.967	1.0	ISI	n/a	n/a	n/a	n/a
6.967	0.5	DISTRACTOR	1	5	G	Correct Rejection
7.467	1.0	ISI	n/a	n/a	n/a	n/a
8.467	0.5	TARGET	1	6	G	Hit
8.967	1.0	ISI	n/a	n/a	n/a	n/a
9.377	n/a	RESPONSE	n/a	n/a	n/a	n/a
9.967	0.5	TARGET	1	7	G	Miss
10.467	1.0	ISI	n/a	n/a	n/a	n/a
11.467	0.5	DISTRACTOR	1	8	H	Correct Rejection
11.967	1.0	ISI	n/a	n/a	n/a	n/a
12.967	0.5	TARGET	1	9	H	Hit
13.467	1.0	ISI	n/a	n/a	n/a	n/a
13.867	n/a	RESPONSE	n/a	n/a	n/a	n/a
14.467	0.5	TARGET	1	10	H	Miss
14.967	1.0	ISI	n/a	n/a	n/a	n/a
15.967	0.5	DISTRACTOR	1	11	A	Correct Rejection
16.467	1.0	ISI	n/a	n/a	n/a	n/a
17.467	0.5	DISTRACTOR	1	12	B	Correct Rejection
17.967	1.0	ISI	n/a	n/a	n/a	n/a
18.967	0.5	DISTRACTOR	1	13	A	False Alarm
19.467	1.0	ISI	n/a	n/a	n/a	n/a
19.492	n/a	RESPONSE	n/a	n/a	n/a	n/a
20.467	0.5	DISTRACTOR	1	14	B	Correct Rejection
20.967	1.0	ISI	n/a	n/a	n/a	n/a
21.967	0.5	DISTRACTOR	1	15	E	Correct Rejection
22.467	1.0	ISI	n/a	n/a	n/a	n/a
23.467	0.5	DISTRACTOR	1	16	J	Correct Rejection
23.967	1.0	ISI	n/a	n/a	n/a	n/a
24.967	0.5	DISTRACTOR	1	17	C	Correct Rejection
25.467	1.0	ISI	n/a	n/a	n/a	n/a
26.467	0.5	DISTRACTOR	1	18	G	Correct Rejection
26.967	1.0	ISI	n/a	n/a	n/a	n/a
27.967	0.5	TARGET	1	19	G	Hit
28.467	1.0	ISI	n/a	n/a	n/a	n/a
28.584	n/a	RESPONSE	n/a	n/a	n/a	n/a
29.467	0.5	DISTRACTOR	1	20	I	Correct Rejection
29.967	1.0	ISI	n/a	n/a	n/a	n/a
30.967	0.5	DISTRACTOR	1	21	J	Correct Rejection
31.467	1.0	ISI	n/a	n/a	n/a	n/a
32.467	0.5	DISTRACTOR	1	22	A	Correct Rejection
32.967	1.0	ISI	n/a	n/a	n/a	n/a
33.967	0.5	DISTRACTOR	1	23	D	Correct Rejection
34.467	1.0	ISI	n/a	n/a	n/a	n/a
35.467	0.5	DISTRACTOR	1	24	H	Correct Rejection
35.967	1.0	ISI	n/a	n/a	n/a	n/a
36.967	0.5	DISTRACTOR	1	25	J	False Alarm
37.467	1.0	ISI	n/a	n/a	n/a	n/a
37.708	n/a	RESPONSE	n/a	n/a	n/a	n/a
38.467	0.5	DISTRACTOR	1	26	F	Correct Rejection
38.967	1.0	ISI	n/a	n/a	n/a	n/a
39.967	0.5	DISTRACTOR	1	27	G	Correct Rejection
40.467	1.0167	ISI	n/a	n/a	n/a	n/a
41.484	0.5167	DISTRACTOR	1	28	J	Correct Rejection
42.001	1.0167	ISI	n/a	n/a	n/a	n/a
43.017	0.5167	DISTRACTOR	1	29	D	Correct Rejection
43.534	1.0167	ISI	n/a	n/a	n/a	n/a
44.551	0.5167	DISTRACTOR	1	30	B	Correct Rejection
45.067	1.0167	ISI	n/a	n/a	n/a	n/a
46.084	0.5167	DISTRACTOR	1	31	I	Correct Rejection
46.601	1.0167	ISI	n/a	n/a	n/a	n/a
47.618	0.5167	TARGET	1	32	I	Hit
47.999	n/a	RESPONSE	n/a	n/a	n/a	n/a
48.134	1.0167	ISI	n/a	n/a	n/a	n/a
49.151	0.5167	DISTRACTOR	1	33	D	Correct Rejection
49.668	1.0167	ISI	n/a	n/a	n/a	n/a
50.684	0.5167	DISTRACTOR	1	34	B	Correct Rejection
51.201	1.0167	ISI	n/a	n/a	n/a	n/a
52.217	0.5167	DISTRACTOR	1	35	J	Correct Rejection
52.734	1.0167	ISI	n/a	n/a	n/a	n/a
53.751	0.5167	DISTRACTOR	1	36	F	Correct Rejection
54.268	1.0167	ISI	n/a	n/a	n/a	n/a
55.284	0.5167	DISTRACTOR	1	37	J	Correct Rejection
55.801	1.0167	ISI	n/a	n/a	n/a	n/a
56.818	0.5167	TARGET	1	38	J	Hit
57.218	n/a	RESPONSE	n/a	n/a	n/a	n/a
57.334	1.0167	ISI	n/a	n/a	n/a	n/a
58.351	0.5167	DISTRACTOR	1	39	H	Correct Rejection
58.868	1.0167	ISI	n/a	n/a	n/a	n/a
59.884	0.5167	DISTRACTOR	1	40	I	Correct Rejection
60.401	1.0167	ISI	n/a	n/a	n/a	n/a
61.418	0.5167	DISTRACTOR	1	41	H	Correct Rejection
61.934	1.0167	ISI	n/a	n/a	n/a	n/a
62.951	0.5167	TARGET	1	42	H	Hit
63.468	1.0167	ISI	n/a	n/a	n/a	n/a
63.546	n/a	RESPONSE	n/a	n/a	n/a	n/a
64.484	0.5167	DISTRACTOR	1	43	I	Correct Rejection
65.001	1.0167	ISI	n/a	n/a	n/a	n/a
66.018	0.5167	TARGET	1	44	I	Hit
66.534	1.0167	ISI	n/a	n/a	n/a	n/a
66.566	n/a	RESPONSE	n/a	n/a	n/a	n/a
67.551	0.5167	DISTRACTOR	1	45	G	Correct Rejection
68.068	1.0167	ISI	n/a	n/a	n/a	n/a
69.084	0.5167	TARGET	1	46	G	Hit
69.601	1.0167	ISI	n/a	n/a	n/a	n/a
69.682	n/a	RESPONSE	n/a	n/a	n/a	n/a
70.618	0.5167	DISTRACTOR	1	47	J	Correct Rejection
71.134	1.0167	ISI	n/a	n/a	n/a	n/a
72.151	0.5167	DISTRACTOR	1	48	E	Correct Rejection
72.668	1.0167	ISI	n/a	n/a	n/a	n/a
73.684	0.5167	DISTRACTOR	1	49	A	Correct Rejection
74.201	1.0167	ISI	n/a	n/a	n/a	n/a
75.218	0.5167	DISTRACTOR	1	50	C	Correct Rejection
75.734	1.0833	ISI	n/a	n/a	n/a	n/a
105.939	n/a	RESPONSE	n/a	n/a	n/a	n/a
106.001	1.0167	ISI	n/a	n/a	n/a	n/a
107.018	0.5167	DISTRACTOR	2	1	B	Correct Rejection
107.535	1.0167	ISI	n/a	n/a	n/a	n/a
108.551	0.5167	DISTRACTOR	2	2	C	Correct Rejection
109.068	1.0167	ISI	n/a	n/a	n/a	n/a
110.085	0.5167	TARGET	2	3	B	Hit
110.461	n/a	RESPONSE	n/a	n/a	n/a	n/a
110.601	1.0167	ISI	n/a	n/a	n/a	n/a
111.618	0.5167	TARGET	2	4	C	Miss
112.135	1.0167	ISI	n/a	n/a	n/a	n/a
113.151	0.5167	DISTRACTOR	2	5	C	Correct Rejection
113.668	1.0167	ISI	n/a	n/a	n/a	n/a
114.685	0.5167	DISTRACTOR	2	6	H	Correct Rejection
115.201	1.0167	ISI	n/a	n/a	n/a	n/a
116.218	0.5167	TARGET	2	7	C	Hit
116.613	n/a	RESPONSE	n/a	n/a	n/a	n/a
116.735	1.0167	ISI	n/a	n/a	n/a	n/a
117.751	0.5167	DISTRACTOR	2	8	C	Correct Rejection
118.268	1.0167	ISI	n/a	n/a	n/a	n/a
119.285	0.5167	DISTRACTOR	2	9	E	Correct Rejection
119.801	1.0167	ISI	n/a	n/a	n/a	n/a
120.818	0.5167	DISTRACTOR	2	10	B	Correct Rejection
121.335	1.0167	ISI	n/a	n/a	n/a	n/a
122.351	0.5167	DISTRACTOR	2	11	H	Correct Rejection
122.868	1.0167	ISI	n/a	n/a	n/a	n/a
123.885	0.5167	DISTRACTOR	2	12	C	Correct Rejection
124.401	1.0167	ISI	n/a	n/a	n/a	n/a
125.418	0.5167	DISTRACTOR	2	13	I	Correct Rejection
125.935	1.0167	ISI	n/a	n/a	n/a	n/a
126.951	0.5167	DISTRACTOR	2	14	J	Correct Rejection
127.468	1.0167	ISI	n/a	n/a	n/a	n/a
128.485	0.5167	DISTRACTOR	2	15	B	Correct Rejection
129.001	1.0167	ISI	n/a	n/a	n/a	n/a
130.018	0.5167	DISTRACTOR	2	16	G	Correct Rejection
130.535	1.0167	ISI	n/a	n/a	n/a	n/a
131.552	0.5167	DISTRACTOR	2	17	E	Correct Rejection
132.068	1.0167	ISI	n/a	n/a	n/a	n/a
133.085	0.5167	DISTRACTOR	2	18	E	Correct Rejection
133.602	1.0167	ISI	n/a	n/a	n/a	n/a
134.618	0.5167	TARGET	2	19	E	Hit
135.135	1.0167	ISI	n/a	n/a	n/a	n/a
135.74	n/a	RESPONSE	n/a	n/a	n/a	n/a
136.152	0.5167	DISTRACTOR	2	20	J	Correct Rejection
136.668	1.0167	ISI	n/a	n/a	n/a	n/a
137.685	0.5167	DISTRACTOR	2	21	G	Correct Rejection
138.202	1.0167	ISI	n/a	n/a	n/a	n/a
139.218	0.5167	DISTRACTOR	2	22	E	Correct Rejection
139.735	1.0167	ISI	n/a	n/a	n/a	n/a
140.752	0.5167	DISTRACTOR	2	23	C	Correct Rejection
141.268	1.0167	ISI	n/a	n/a	n/a	n/a
142.285	0.5167	DISTRACTOR	2	24	C	Correct Rejection
142.802	1.0167	ISI	n/a	n/a	n/a	n/a
143.818	0.5167	DISTRACTOR	2	25	G	False Alarm
144.335	1.0167	ISI	n/a	n/a	n/a	n/a
144.528	n/a	RESPONSE	n/a	n/a	n/a	n/a
145.352	0.5167	DISTRACTOR	2	26	H	Correct Rejection
145.868	1.0167	ISI	n/a	n/a	n/a	n/a
146.885	0.5167	DISTRACTOR	2	27	A	Correct Rejection
147.402	1.0167	ISI	n/a	n/a	n/a	n/a
148.418	0.5167	DISTRACTOR	2	28	F	Correct Rejection
148.935	1.0167	ISI	n/a	n/a	n/a	n/a
149.952	0.5167	TARGET	2	29	A	Hit
