global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
549.3741718283707	n/a	301811.9806721081	n/a	616.0602387554662	n/a	n/a	379530.21777544206	486.9829600987236	n/a	n/a	237152.40342651503	487.1437516603725	677.2021320616536	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0102139	n/a	n/a	0.00010432375321	-0.0862726999999999	n/a	0.0074429787652899	n/a	0.0699949	n/a	n/a	0.00489928602601	-0.00318051	n/a	n/a	1.01156438601e-05	-0.000416021	n/a	n/a	1.7307347244099997e-07	-0.00094467	n/a	8.924014089e-07	n/a	0.0
546.2455382274225	-3.1286336009482056	298384.18803336646	9.788348208982136	577.9870014645933	-38.07323729087295	1449.5713978071187	334068.97386203177	488.2833808173815	1.3004207186579038	1.691094045514739	238420.659982452	488.1211295298376	657.1340686723419	1.365299	33.766163	0.12632985	0.072057	0.036264177	-0.0888464646	0.058992923	-0.0407268126	0.2762455965	-0.0130089871	-0.0303308453	0.1002145224	-0.0639972305	0.023573486	-0.2312802642	0.1797584002	-0.0883557946	0.0652703519	-0.073890968	0.1047630116	-0.0366653351	0.0804091481	-0.008168683	-0.0575596882	-0.0222551151	0.002905947	-0.0080094	0.0297289193	-0.162940158	0.2247940799	-0.2424335986	0.0321951494	-0.0074534127	0.0281950777	-0.0639065887	0.1739407901	-0.0030588001	0.0137113521	-0.0011303194	0.0587889592	0.0730815532	-0.022362689	0.0352923801	-0.0118705368	0.0048330201	-0.0518221519	0.0276947418	-0.0208240524	0.1019748958	-0.0910986141	0.098340732	-0.0030728613	0.0151315371	-0.0226269133	0.0041337951	-0.0355422522	0.017675148	-0.028638096	0.0540701269	-0.0300609521	0.0603633493	0.0023444926	-0.0596925241	0.0496039607	0.0245856011	-0.025081607	-0.0638278945	0.0320004406	-0.0498148073	-0.0175678066	0.0126257164	0.1409276081	-0.0676557297	0.0881449273	0.0222716377	-0.0421698606	-0.0185093428	-0.0093958858	0.1033830974	-0.0626137286	-0.111913759	0.014684602	0.0065883646	0.0910832811	-0.0666397558	0.0023559313	0.0653561681	0.0071922243	0.0735012252	-0.028990207	-0.0077749731	-0.0440111363	0.0035903524	-0.0589911437	-0.0312091555	0.0041946943	-0.0065359996	0.0314013099	-0.1231930692	0.2104407444	-0.2769165606	0.0310081372	-0.0404431039	0.0201969609	-0.0178768169	0.1812373884	-0.009796292	0.0065087071	-0.0432895355	0.0566806894	-0.0494931669	0.0353007041	-0.0516486862	0.0193653853	-0.0188336763	0.0408279689	-0.0038556652	0.0374143303	-0.0236486058	0.1316067803	-0.0409338986	0.0596586025	-0.0403724185	0.0110987843	-0.0391937977	0.0222159917	-0.0036288118	0.0418689596	-0.0288542677	-0.0885186472	0.0203148112	-0.0628236988	0.0293847562	-0.091977813	0.000586748	0.0164706814	0.0490284721	-0.065058247	-0.0099866262	0.01406325	0.0600097636	-0.1308464342	0.0536582171	-0.0115330382	-0.0804546813	0.0146501935	0.0478816473	-0.0239085902	-0.0960256407	0.0070053674	0.0496814049	-0.1078169952	-0.0290568183	0.0676963099	0.0222124107	0.0405733917	0.0236568478	-0.0663279464	-0.0558170379	0.0276896341	0.0412537154	0.0489520752	-0.0189774637	0.0932483061	0.093241782	0.0932309089	0.0932156873	0.0	-0.0162494	-0.0060355	3.642726025000001e-05	0.00026404300036	-0.0268262	0.0594464999999998	0.00071964500644	0.0035338863622499	0.0944299	0.024435	0.000597069225	0.00891700601401	-0.00320695	-2.643999999999997e-05	6.990735999999983e-10	1.02845283025e-05	-0.000557608	-0.000141587	2.004687856900001e-08	3.10926681664e-07	-0.00038444	0.00056023	1.477941136e-07	3.138576529e-07	0.0
543.5031185420032	-2.742419685419236	295395.6398648828	7.520865730974942	573.7767944172939	-4.210207047299377	17.72584338112934	329219.8098117855	486.0100783129466	-2.2733025044349238	5.167904276670095	236205.7962217565	485.8444112912166	647.2973239969625	1.12519	27.827875	0.0391239499999999	0.0226452	0.0153973617	0.0017563846	-0.0612335203	-0.0560551463	0.243335019	0.1023544695	-0.0841988951	-0.043696126	-0.0727349797	0.1514506004	-0.1632246977	0.0483276184	-0.0756190802	0.0883585712	0.0618863252	-0.0054916841	-0.1070927979	0.0870362658	-0.1036377576	0.0954870804	-0.0459698523	0.2163652509	0.0092064693	-0.0737925552	-0.1663781894	0.2009815637	-0.1079015182	-0.0561579246	-0.0285023611	-0.1165645868	-0.0909492129	0.077695688	0.0004540123	-0.0680280911	-0.0006490433	-0.100704189	-0.0441716176	-0.0629625028	0.0644639668	-0.0173111307	0.0903009517	0.077864966	-0.0142728847	-0.1162102046	0.0263583842	0.0333237842	-0.0418068608	-0.0645632189	-0.0096731531	-0.102545035	0.0064243207	0.0789470329	0.0078149605	0.0087711412	0.0715829543	0.0197940388	-0.0373813166	-0.038837853	0.019397366	0.0213700723	0.0208672711	-0.0350656253	-0.0459289624	-0.0002668831	0.0376935507	0.0394181441	0.0205086284	-0.0563244135	0.0385868009	0.0606090189	-0.0624859932	-0.0865850688	-0.0102657079	0.0679070725	0.0622402235	-0.1244093144	-0.05372857	0.0007149611	-0.0367643055	0.0436702229	0.137737419	0.0534973094	-0.0060458558	0.056044663	0.0576257793	0.0191507554	0.0347046467	0.0041427117	0.0330397556	0.0962725931	-0.0435895551	0.2126482392	0.0232724471	-0.067672257	-0.1520240415	0.2019773498	-0.1249084474	-0.0480560149	-0.1120185286	-0.0904086948	-0.0201758579	0.0703868091	-0.0264282617	0.0796137749	0.0085796638	-0.0688255083	0.1078774742	0.057156584	-0.0061075011	0.0447933652	-0.0780471294	-0.108041149	-0.0571343306	0.0757607009	0.0755269163	0.0121053382	0.0621675808	0.0066457822	0.0083526078	0.0184380217	-0.0662092216	-0.1158733611	0.001728667	-0.0342116255	0.0537653123	-0.0391615502	0.0100929827	0.0430334592	-0.0227839171	-0.0344541451	0.0321422112	0.033584526	0.0011022392	-0.046472852	-0.0377977797	-0.0057899723	-0.0775510514	-0.0220800011	-0.0485289698	0.0656080113	0.0226138089	0.0326844594	0.0195796731	-0.0907392697	-0.1719665737	0.012272289	-0.0299342724	-0.0195947972	0.0080347164	-0.0300582386	0.0886470192	-0.0220054892	-0.0740974391	0.0204905594	-0.0689380637	0.0020527416	-0.0197340451	-0.0395481851	-0.0066723259	0.0932309089	0.0931722015	0.0930743832	0.0929374951	0.0	-0.0158636	0.0003858	1.4884164000000166e-07	0.00025165380496	-0.0118613	0.0149649	0.00014069043769	0.00022394823201	0.0790581999999999	-0.0153717000000001	0.00023628916089	0.0062501989872399	-0.00326293	-5.597999999999975e-05	3.1337603999999713e-09	1.0646712184899998e-05	-0.000669658	-0.0001120499999999	1.2555202499999984e-08	4.4844183696400004e-07	-0.000384441	-1.000000000015745e-09	1.4779488248100002e-07	1.0000000000314906e-18	0.0
543.8989072747061	0.3957887327028402	295826.0213346193	0.1566487209345202	571.0683906057463	-2.708403811547555	7.335451206405324	326119.1067490373	486.5718475553903	0.561769242443745	0.3155846817558192	236752.162833466	486.3805995601231	644.9031390208972	1.10726	27.384418	0.0463248999999999	0.0221994	-0.0193525371	0.0653289024	-0.0503207785	-0.0008908896	0.2243816517	-0.0629490349	-0.0103397549	-0.0908524159	-0.1353259198	-0.0520610904	-0.1497815956	0.0428746843	-0.2263225791	-0.0357366116	-0.0622652688	0.0050151729	-0.1524958247	0.0013151437	-0.0790006418	0.0772118745	0.0506530289	-0.0386687122	-0.055111255	-0.1473276289	-0.1486511044	0.1701833844	-0.0874448708	0.0312325734	-0.0595732786	-0.1057052761	0.0584439944	0.1666927171	-0.0190441328	0.019062089	-0.0668316215	0.0679170583	-0.0020850868	-0.009982948	-0.0424180158	0.0510854111	-0.0305377779	0.0338229028	-0.0503262413	-0.0209392921	-0.042268489	-0.0136218613	0.0645917243	0.0033750541	-0.0058762866	0.0305137764	0.1457999112	0.0004021109	0.0439460899	0.074780855	-0.049042829	0.0759434964	0.1425986078	0.0005324508	0.1055989371	0.1448838562	-0.0086788801	0.0948294074	-0.0148201001	-0.0176747962	-0.0632409791	0.084471513	-0.0648569912	0.0182072655	0.0180401302	-0.0140028847	0.0834075614	-0.0238183179	-0.0674113167	0.0013442776	0.0224527285	0.0835984467	0.0517319467	-0.1176715253	-0.0331203368	-0.0336895891	0.069476199	-0.0606377006	0.0556955801	-0.0068627718	-0.0541650982	-0.0919878856	0.0485906207	0.0069668383	-0.0984512775	0.0784935139	0.0484637084	-0.0295816052	-0.0730316336	-0.1280165842	-0.1417916753	0.1470762663	-0.1166727699	0.0478986077	-0.1312086918	-0.0361693053	0.1190504337	0.1164988857	0.0115696675	-0.0056841349	-0.1175365151	0.0373852726	-0.0177809927	-0.0173283783	0.0373471677	-0.0680358807	0.0342678259	-0.0343262025	-0.0200983651	-0.0432072499	0.0445733619	0.017916309	0.0421751876	0.0339390839	-0.0593415577	0.1131471871	0.0860624619	-0.0025374843	-0.1108803238	0.0344576796	-0.0850367476	-0.0397199891	0.0966956499	0.0702627802	-0.0918885759	0.0038496742	-0.0476777765	-0.1477161938	0.1035931145	-0.0008669934	0.0665636488	0.0521425764	-0.0230420308	0.0259082205	-0.0335262158	-0.0647196489	-0.0813984257	-0.0023864963	0.0388460523	0.0373767353	0.0221046304	0.0846324473	0.0114015291	0.136865577	0.0293181881	-0.0079023928	0.0533510115	-0.0583386068	0.0833050625	-0.0102928151	0.0644144978	-0.0434481479	-0.0645213661	0.0300605035	0.0443342914	0.0931961179	0.0930330924	0.0927615946	0.0923819408	0.0	-0.0101413	0.0057222999999999	3.2744717289999976e-05	0.00010284596569	-0.026843	-0.0149816999999999	0.000720546649	0.0002244513348899	0.0870504	0.0079922000000001	6.387526084000162e-05	0.00757777214016	-0.00327688	-1.3949999999999988e-05	1.9460249999999964e-10	1.07379425344e-05	-0.000472116	0.0001975419999999	3.902284176399997e-08	2.22893517456e-07	-0.000525523	-0.0001410819999999	2.76174423529e-07	1.9904130723999985e-08	0.0
544.3783518078956	0.4794445331895076	296347.7899170809	0.2298670604053048	576.9029030846608	5.834512478914462	34.041535866608584	332816.9595875095	486.4096858410747	-0.1621617143156299	0.0262964215897839	236594.38248001295	486.2610822983867	650.0093001746609	1.086653	26.874788	0.0633427499999999	0.0413939	-0.0361213681	0.0762414953	0.0342324604	0.0772385967	0.1701935273	0.0934767877	0.065096108	-0.0566635617	0.0204051598	0.0994872765	-0.1487351647	0.0484020975	-0.0529149768	0.066812891	-0.0946088803	0.0797104532	-0.1729684676	-0.0265248276	-0.0629914681	0.0755861701	0.0816770771	0.0327402787	-0.0087766754	0.007447713	-0.20842235	0.1164657869	-0.1144000738	-0.0170771166	0.0409114877	-0.0444334421	-0.140069946	0.1444494024	0.0432112364	0.0608397355	-0.0004922953	-0.0320371257	0.1319188856	-0.1251533917	-0.0190381801	0.0523935527	-0.0003588511	-0.1562560461	-0.056265183	0.0203402464	0.0266707555	-0.0021245218	0.0753606502	-0.012323464	0.0006860639	0.1172920937	-0.0692433231	-0.0433001765	-0.0564094068	0.0789859835	-0.0038542911	-0.0065797114	-0.0190262954	0.0012393166	-0.0436344068	0.037786606	-0.0214634213	0.0342669603	-0.0429365817	0.1435061985	-0.0253719748	-0.1085561147	0.0687806882	0.0135182554	-0.0187428123	-0.0367205735	-0.2060463657	0.0634817446	0.0027874428	-0.0168724179	-0.044027251	0.0397885857	-0.0006398051	0.0509728771	0.0086903948	-0.092395051	-0.0454971068	-0.0437518844	0.0078047301	0.024725504	-0.092441486	0.0127925278	-0.1005872877	0.117237941	0.1019013914	0.0725040809	0.0806687135	0.0313861037	-0.0040320676	0.0236224557	-0.184364975	0.1251381817	-0.1458497942	-0.014421352	-0.0349979105	-0.0854103103	-0.0621778536	0.1819755645	-0.0631315108	-0.0565609755	0.0004484829	-0.0139129216	-0.0626977118	0.161366908	0.0395776491	-0.0125406864	-0.0233619031	0.1636571606	-0.0337654487	-0.0048925093	-0.0333348024	0.0392901307	-0.0068362209	0.0628742148	-0.022741105	-0.0586830083	0.0565521475	0.0739979933	-0.0075837721	-0.1120585375	-0.0760332283	0.0047451013	-0.0027546863	-0.0459672995	0.0226598107	-0.0274698372	0.0214286759	-0.0815380818	-0.0123293907	-0.0932169627	-0.0714006877	-0.063795789	0.0482748665	-0.0357985332	0.0642206212	0.0362076864	0.2069039049	-0.0627909289	0.0195911165	0.0216354864	0.1022919433	-0.009974871	0.0321185481	-0.035549055	0.0010104094	-0.0539227919	-0.0570513517	-0.0248979713	0.0820610057	0.0472827901	0.0385988643	-0.0033052582	0.0853083505	-0.0698364929	-0.0053262359	0.0931439394	0.0928245585	0.0922930681	0.0915506825	0.0	-0.0109238	-0.0007824999999999	6.123062499999976e-07	0.0001193294064399	-0.0267586	8.439999999999837e-05	0.00071602267396	7.123359999999724e-09	0.0567321	-0.0303183	0.0009191993148899	0.00321853117041	-0.00265864	0.0006182399999999	3.822206975999999e-07	7.0683666496e-06	-0.000472116	0.0	0.0	2.22893517456e-07	-0.000500612	2.4910999999999965e-05	2.50612374544e-07	6.205579209999982e-10	0.0
545.2238552414377	0.8455034335421487	297269.05232433625	0.7148760561315627	575.2179606012086	-1.6849424834522324	2.8390311725421764	330875.70219821355	488.0215384713263	1.611852630251633	2.5980689016491074	238165.02201192023	487.8578375577581	651.3582728040703	1.036558	25.635845	0.04055224	0.0290935	-0.0195895732	0.0078728969	0.072437869	0.0895244969	0.1503648132	-0.0504343852	0.0551030992	0.0494416138	-0.0231387374	-0.0652492548	-0.1415769153	-0.0178309842	-0.0663167572	0.1085331154	0.0335390554	-0.0092467043	-0.1033973844	-0.0223253221	-0.1473793435	-0.0495183049	0.0380754854	-0.0224719462	0.0166736438	-0.0090436377	-0.2391688978	0.0673666364	-0.0771534293	0.0044699152	-0.0769316488	-0.047917762	-0.0514276437	0.0189835157	-0.0617244465	-0.1051641206	0.0679949239	0.0069648061	0.0046355575	-0.0371344572	-0.030597465	0.0589720888	-0.0155663573	0.0130737498	0.0034405927	-0.036879573	0.1360521356	0.0809782348	-0.1184961397	0.0141320646	0.0890767181	0.0321681526	-0.1095707836	0.0053746385	0.0683941687	-0.0464522901	-0.0991800975	0.1178704763	0.0081459335	-0.0362907929	0.0432163356	0.0327947444	0.0086933676	-0.0601908389	0.1120403526	0.0296637512	-0.0405140293	0.0026423811	0.0475436699	-0.0699155455	0.0482565471	0.0480545266	0.1219953184	0.0699178955	0.0055434779	0.1023570469	-0.0656881423	-0.0220064042	0.1673983571	0.0557881449	0.0317624694	0.0748835038	0.0692415212	0.0783472525	-0.0589018423	0.0729994536	-0.0218699549	0.0200637096	-0.0556360882	-0.0317538467	0.034274717	-0.0523032652	0.025167009	-0.0242465907	0.0163231462	0.0074141025	-0.2356534806	0.0578976494	-0.0934717059	0.0087460277	-0.1237499585	-0.0161463552	-0.0392892862	0.0233248314	0.0449426746	0.1051693382	0.0432248851	0.0593152032	0.0214877724	0.0512992775	0.0645893713	-0.0473347374	0.0074691986	-0.0331781632	-0.0769726767	0.1280960849	-0.0587038388	0.001413811	-0.0137987103	-0.1056857868	0.0463124922	-0.146391578	0.0140161621	-0.0370185299	-0.0385624737	0.1085991589	-0.0267529096	0.0811612187	0.0638802942	0.0466361611	-0.0540209023	0.0313253241	0.0162395578	-0.0412276194	-0.106937576	-0.0192485411	0.0455825858	-0.0862358491	-0.0594120938	0.0038564302	-0.0565968246	0.0838882973	-0.1200643025	-0.0400613596	-0.0558967745	-0.0814360112	0.0779452394	-0.1200243188	-0.0303120566	0.0840245223	-0.0217029431	-0.0238559261	0.0792111126	0.0923541398	-0.0742888581	0.073669305	-0.0003844089	-0.0042957251	-0.0350503065	0.0025609815	-0.0795610933	0.0930743832	0.0925467555	0.0916695905	0.090446201	0.0	-0.00744081	0.0034829899999999	1.2131219340099997e-05	5.53656534561e-05	-0.0267341	2.4500000000000216e-05	0.00071471210281	6.002500000000105e-10	0.0573436	0.0006115	3.7393225000000113e-07	0.00328828846096	-0.00212067	0.00053797	2.894117209e-07	4.497241248899999e-06	-0.000306273	0.000165843	2.7503900649e-08	9.380315052900001e-08	-0.00047576	2.485200000000001e-05	2.263475776e-07	6.176219040000006e-10	0.0
547.8133307927211	2.5894755512833854	300099.4453942153	6.705383630694392	581.523830213454	6.305869612245374	39.763991566639625	338169.96510612604	490.0139416045198	1.992403133193477	3.969670245159184	240113.6629667977	489.8296257396695	668.8446243420985	1.334215	32.99741	0.28936242	0.154587	0.0853043696	-0.008793011	0.0712722987	0.1251307527	-0.0909157405	-0.0327585982	0.0269282214	0.0546990361	0.1128220499	-0.0745427125	0.0939471951	0.0125931559	0.0137636243	0.1678128659	0.088521803	0.0304636358	0.0455069332	-0.0066527274	0.0076741861	-0.1835946165	0.0197950739	-0.0172322597	-0.0656686063	0.0119685893	0.0396667956	0.004693137	0.0071617758	-0.0214031602	-0.0997581131	0.0671259841	0.0479419354	-0.0894269326	-0.0799634373	-0.1019148884	0.1055517164	0.0669164451	0.0409793987	-0.0613738717	-0.133617691	-0.0035922668	-0.0181589623	0.0590590803	-0.0362279902	-0.0226388585	-0.1420671241	0.137892134	0.1406636913	0.1086783595	0.0496239128	0.0398744616	0.0270222138	0.0311016104	-0.0720776721	-0.0204124732	-0.0204656988	-0.1200160582	-0.0668891707	0.0946895998	-0.0858083796	-0.0590069726	0.0184269493	0.0249454911	0.0619515493	-0.0024600549	-0.0526483041	0.0350905589	0.000278485	-0.1467393599	-0.0104617332	0.0458019456	0.0389225829	-0.0521456406	-0.0728399207	-0.0646491819	0.0562342219	-0.0041022449	-0.0735092915	0.0777038961	-0.010672461	0.0374735288	-0.0006280457	-0.0486971415	0.0463033446	-0.0028946522	0.1532647088	0.0335830751	0.002427152	-0.0384046137	0.0623552924	-0.1816706028	0.0143457779	-0.0106627599	-0.0676907796	0.0181967681	0.0401425349	-0.0096657548	0.0131264989	-0.0166775456	-0.0582058372	0.0835432889	-0.0267855691	-0.0977523365	0.0853275162	0.0837113952	0.0623367973	0.1400873007	-0.0454660628	0.0645569445	0.104005843	0.0278314244	0.0858037656	-0.0466739395	0.0050674278	-0.0510131087	0.028801571	-0.1583510708	-0.096037454	0.0414344539	-0.1662366252	0.062736774	0.0705261529	0.0327466972	0.0978120783	-0.029848302	-0.0147880063	0.0385185276	-0.148756909	-0.0158621751	0.0875990885	-0.0037891414	-0.0722024568	-0.0170664098	-0.0406639633	0.0032094731	0.0627985882	0.0107087915	-0.0314775713	0.0763869267	-0.0160539893	0.1106925624	-0.0408834172	0.0403769771	0.0540523392	0.0321150093	-0.07221877	0.0187751834	0.0328581773	-0.1126683303	0.0217619948	0.0070873918	0.0583011689	-0.0545085815	0.0081022413	-0.076439914	-0.1071061209	0.038828099	-0.0374284579	0.044538866	-0.0168496323	0.0929874623	0.0921998906	0.0908922084	0.0890717925	0.0	-0.00314954	0.00429127	1.84149982129e-05	9.9196022116e-06	-0.0993596	-0.0726255	0.00987233011216	0.00527446325025	-0.035431	-0.0927746	0.0086071264051599	0.0012553557609999	-0.000114759	0.002005911	4.023678939921e-06	1.3169628081000001e-08	-0.000346013	-3.973999999999997e-05	1.5792675999999972e-09	1.19724996169e-07	-0.00012799	0.0003477699999999	1.63814401e-08	1.2094397289999996e-07	0.0
545.3568644868533	-2.4564663058678207	297414.1096429321	6.034226711863897	578.0877050240998	-3.4361251893541294	11.80695631691395	334185.3947000306	487.3512090854077	-2.662732519112126	7.090144468337208	237511.20099700877	487.1856799058712	665.6507453223021	1.087219	26.888769	0.1696411369999999	0.110218	0.0987380645	-0.0858200686	0.041380311	0.059623359	-0.007465869	-0.0159688079	-0.0336358235	0.0865910391	0.0992454127	-0.0014623084	-0.0069432347	-0.0526592298	-0.0541504967	-0.0230050183	-0.0312182377	0.0167204865	0.1435051377	-0.0030105654	0.1177934347	-0.0217528664	-0.0865008571	-0.0093843086	0.0612347727	0.0889695002	-0.0227102691	0.0190689576	0.0653031279	-0.0501655983	0.0511573324	-0.1072829545	0.0669294163	0.0153076365	0.0827227437	0.0161341689	-0.0763033974	0.0303085923	-0.1065597481	-0.0094936923	-0.0237632377	0.0626066686	0.0455652339	0.0463901403	0.0225347069	0.0086136762	-0.00644756	-0.0933944002	-0.0618202086	0.0504730498	0.0778899713	0.0938574333	0.0712717748	0.0923221864	0.0336509748	-0.1795396087	-0.0720938795	-0.0351343532	0.0237633517	-0.0248967471	0.0817180871	-0.013941195	-0.0771003861	0.0665671173	0.0616748131	-0.0400672461	0.0686062618	0.0259234412	-0.0080181631	0.1218332631	0.1605502191	-0.0458464883	-0.0462166391	0.0004297621	0.0796395404	-0.0630399849	0.0247700291	0.0670839406	-0.0507950946	0.018786285	-0.1131845968	-0.0409415226	-0.0144350131	0.0344554447	0.0608914395	0.1100115222	-0.013523448	-0.057832086	-0.0257014808	-0.1039061881	-0.0314907716	-0.0215864636	-0.0909229957	-0.0097252626	0.0691314914	0.0827977658	-0.024982733	0.0258925812	0.0610478219	-0.0367510258	0.0146289254	-0.0850130562	0.0953791728	-0.0193154037	-0.0910200529	-0.0104410821	-0.1020649102	-0.010045031	0.0742711311	-0.0475836784	0.0432204939	-0.0402414575	-0.043350436	-0.0628955413	0.0485981965	-0.0366190966	0.0287787094	0.0687487234	-0.0041183324	-0.1155026862	-0.0081017909	-0.0087594475	0.1401673737	-0.0047915604	0.0902572263	0.1530421512	0.0305531308	-0.0083218216	-0.0125196043	-0.0198500922	-0.0705259377	0.0851062167	0.0690026575	-0.0441144271	0.0147940798	0.1084061327	-0.0606524994	0.0614225108	-0.0091795545	-0.1184565555	-0.1185889605	-0.1209926723	0.0737669492	0.0275464269	-0.063232007	0.0851386874	-0.0046856658	0.083418309	0.0260581889	-0.0220378132	0.126074943	-0.0914639968	0.0065300922	0.0863278175	0.0510126697	0.0029204131	-0.0405512652	0.0197679549	-0.0199063651	0.0595425604	-0.0686267737	0.092883193	0.0917842227	0.0899622271	0.0874315588	0.0	-0.00230455	0.00084499	7.140081001000005e-07	5.310950702499999e-06	0.00323744	0.10259704	1.04810177536e-05	0.0105261526167616	0.000765567	0.036196567	0.0013101914625854	5.86092831489e-07	-8.27686e-05	3.19904e-05	1.02338569216e-09	6.850641145960001e-09	-3.44026e-05	0.0003116104	9.710104138816e-08	1.1835388867600002e-09	-0.00038444	-0.0002564499999999	1.477941136e-07	6.576660249999998e-08	0.0
