onset	duration	trial_type	trial_number	stroop_condition	stim_text(PL)	stim_text(eng)	stim_color(PL)	stim_color(eng)	response_type	response_color
0.0	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.0619	1.0333	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.0952	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.6119	4.7834	T_INK	1	Incongruent	żółty	yellow	niebieski	blue	hit	n/a
6.3664	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
6.3953	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6.912	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.9286	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
8.4453	1.2334	T_INK	2	Incongruent	żółty	yellow	zielony	green	hit	n/a
9.6456	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
9.6787	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.1953	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
11.212	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
11.7287	0.8667	T_INK	3	Incongruent	zielony	green	czerwony	red	hit	n/a
12.5729	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
12.5954	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13.112	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
14.1287	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
14.6454	0.7833	T_INK	4	Neutral	xxxxxxxxx	xxxxxxxxx	zielony	green	hit	n/a
15.4043	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
15.4287	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
15.9454	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
16.9621	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
17.4788	0.6667	T_INK	5	Neutral	xxxxx	xxxxx	czerwony	red	hit	n/a
18.1237	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
18.1454	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
18.6621	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.6788	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
20.1955	0.7333	T_INK	6	Incongruent	niebieski	blue	czerwony	red	hit	n/a
20.907	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
20.9288	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
21.4455	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
22.4622	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
22.9788	0.8333	T_INK	7	Incongruent	czerwony	red	niebieski	blue	hit	n/a
23.7863	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
23.8122	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
24.3289	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
25.3455	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
25.8622	0.7667	T_INK	8	Neutral	xxxxx	xxxxx	niebieski	blue	hit	n/a
26.6017	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
