global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26
523.9981721630456	n/a	274574.0844302128	n/a	679.2502480408057	n/a	461380.89946349605	n/a	438.3458166924133	n/a	192147.0550117388	n/a	474.3414879805581	628.3465120457508	n/a	n/a	n/a	n/a	-0.1560752635	0.1252980472	-0.0919313186	0.0530517821	-0.1407072028	-0.0107579409	-0.5120681077	-0.0798148925	0.0223915414	-0.080462767	0.0618271224	0.1104160829	-0.0896183865	0.1219467767	-0.1606683714	0.0497834974	-0.2505638181	0.1353609755	-0.070367685	0.0847097802	-0.1721214438	0.1753788606	-0.0548607908	0.1131813218	0.1217687573	-0.0138515254	0.1024209046	-0.0142274304	0.0779096918	-0.1565523045	0.0562624588	-0.1755554947	0.0797046794	-0.0155266643	-0.0462261086	0.1058624398	-0.0296732835	0.0717740529	-0.0537806027	0.0212017233	-0.0266145202	0.0093036452	-0.0638208194	0.0561589737	-0.0116358459	0.0462502868	-0.0196010253	-0.012912318	-0.0386337916	0.0148630955	-0.1473630588	0.0136598283	-0.0644199554	0.0466332316	-0.0226118259	0.0844825319	-0.0995273396	0.030129216	-0.0299813172	0.1138931435	-0.0199846536	0.0746379515	-0.0143245711	0.0338248364	-0.0208990156	0.0066727902	-0.0853927109	-0.024785016	0.0642233254	-0.1139991597	0.0700652124	-0.0358036217	-0.0241849653	0.0238564944	0.0340949945	-0.066090099	0.0081429443	0.0566239206	0.0003001261	-0.1572065387	-0.0562356536	0.1166246461	0.0989699255	-0.0392594132	-0.0748331147	0.1954739358	0.0046443757	0.0487387821	-0.0599614132	0.2820810288	-0.0227005787	0.0937591518	-0.2507580058	-0.0209567192	0.1736205247	-0.3469464511	0.0757071253	-0.0550880163	0.1850671022	-0.0242937173	0.1027072349	-0.0338866986	0.1262952473	-0.0413105875	0.0374945473	-0.0456017945	0.071770837	-0.0209698875	0.0791004016	-0.1360154892	0.0699282685	-0.0867801396	0.0091010953	-0.0198033082	0.112311127	-0.1086774381	-0.0378307282	0.0153846464	0.0767878587	-0.0777244922	-0.0286068301	0.1482128441	-0.0626539913	0.0943871825	-0.0068014577	0.0106737332	-0.1306301059	0.0648382478	-0.0854366885	0.1461671185	-0.097575842	0.0017442824	-0.0404787438	0.012031989	-0.0926941193	0.0135031826	-0.0076826694	-0.1175719794	0.0332235782	-0.0567620751	0.0691275742	-0.0353801658	0.053512841	0.0032761108	0.0221284735	-0.0537510381	-0.0059872369	0.0586201338	0.0003752759	-0.0933051983	0.1514534505	-0.0177286739	0.014445759	-0.0377264093	0.0759310296	-0.253413526	0.1333756981	-0.0066891978	0.1302738444	-0.0990216636	0.0141313287	-0.0301294649	0.050330511	-0.0189807144	0.1204833738	-0.0283783111	0.0162380793	-0.0263356083	-0.0405558869	0.0312342307	0.0404743901	-0.0649904279	0.0146627886	-0.0199673087	0.0903489333	0.0903433624	0.0903340779	0.0903210801	-0.0610772	n/a	0.00373042435984	n/a	0.025351	n/a	n/a	0.0006426732009999	0.00911175	n/a	8.30239880625e-05	n/a	0.00441481	n/a	1.94905473361e-05	n/a	0.00105718	n/a	n/a	1.1176295524e-06	-0.00260529	n/a	6.787535984100001e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
521.7411293800321	-2.257042783013503	272213.80608675146	5.09424212435334	664.1339309030777	-15.116317137727949	441073.878176774	228.50304380836764	437.5590283225159	-0.7867883698973515	191457.9032665443	0.6190359390057315	470.8409853284634	620.6404295968289	1.242416	29.807364	0.06637465	0.0363623	-0.1444558011	0.068824098	-0.0413422684	-0.0001560263	-0.0654410366	0.0470731612	-0.2041767201	-0.0821016948	0.109155965	-0.1031118698	-0.1250748913	0.1899588093	0.1740344443	0.1073765588	-0.1202022935	-0.0403126073	-0.1016339774	0.1340930632	-0.0843596858	-0.03314221	-0.0221088778	-0.0282253868	-0.0006783956	0.0947866552	0.1218300297	0.0223116799	0.1055714932	-0.0898753063	0.0317145573	-0.1352659932	0.0549515624	-0.1248560479	0.1407913456	0.0151494404	0.0227297866	-0.0703438599	0.1348964059	0.0521978117	-0.1630543416	0.0402749609	-0.0045920937	-0.1257295194	0.0119372547	0.0577500952	-0.0947085813	-0.1260916785	0.0482078111	-0.0336985103	-0.0347790099	-0.0900635826	-0.0257187274	-0.0491099784	0.2058558751	-0.0418114191	-0.0310008656	0.0463246697	0.1304627294	0.0723348615	0.0100264975	-0.0283032663	-0.0797688257	0.0149767168	-0.021077613	-0.0108283348	-0.0725519813	0.0187484801	0.0293335958	0.0301519307	0.0515206356	-0.0975579499	0.0417552866	0.115311193	-0.1832176969	0.0021589415	-0.0329420224	-0.0225836718	0.0052149006	0.0603417163	0.0382918482	0.1240638255	-0.0331681376	-0.0593439572	0.133563809	-0.0699958956	-0.0370720229	-0.0079709399	0.0832481121	-0.0253350716	0.0613518002	0.0971301042	0.0231964274	0.0676955982	-0.1894313461	0.0133011924	0.0886205093	-0.1723076262	0.0642154203	-0.1096907024	0.1160518443	0.0427728907	-0.0471137761	-0.222170686	-0.0738530658	0.04180893	0.0531041229	0.0658130957	0.0218787915	-0.1007649528	-0.0591587102	-0.0529963557	0.0864224657	-0.0392966162	-0.0850196571	-0.1175461325	0.0184702926	0.0674681516	0.0760828501	0.0173261159	-0.0427827153	-0.1526554456	-0.0276094936	-0.1304133255	0.042632587	-0.0684052233	0.1034093916	-0.0547318755	-0.0633080558	-0.0320492028	0.0245790402	-0.174568359	-0.0987263978	0.0739411997	0.0017567077	0.0643389828	-0.041741022	0.0567573455	0.1484320884	-0.0169971917	-0.0232006445	0.039311766	0.020725135	0.0428778644	-0.0311452322	-0.0099460187	-0.0436929491	0.023389971	0.0072848499	-0.0221284052	-0.24228408	0.064793636	0.1388982467	0.0293809059	0.0060028999	-0.0449389107	0.0478875203	-0.1950047292	0.162039608	-0.068387482	0.1230178612	-0.1189043803	-0.0400789881	0.0171224827	0.0316517771	-0.0864931691	0.1252004171	0.0197612994	-0.0754635711	0.0834560776	-0.0515712562	0.0463537166	-0.0312969833	-0.0290831314	-0.0694710367	0.0225611323	0.0903340779	0.0902839469	0.0902004158	0.0900835156	-0.065178	-0.0041008	0.004248171684	1.6816560640000014e-05	0.050632	0.025281	0.000639128961	0.002563599424	0.0341756	0.02506385	0.00116797163536	0.0006281965768225	0.00455453	0.00013972	2.07437435209e-05	1.9521678400000084e-08	0.00105674	-4.39999999999989e-07	1.9359999999999039e-13	1.1166994276e-06	-0.00270371	-9.841999999999968e-05	7.3100477640999985e-06	9.686496399999936e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
522.5557778498983	0.8146484698661425	273064.5409643122	0.6636521294552472	658.0643832307347	-6.069547672342992	433048.7324768473	36.83940894684423	437.92483814823805	0.365809825722124	191778.1638671605	0.1338168285948507	470.5711907777617	621.8502682564175	1.157381	27.767258	0.0541575	0.0317312	-0.1715772791	0.1131897974	-0.1433602855	0.0765787911	-0.0201941542	-0.0984650646	-0.1546883788	-0.0138987241	0.0471835117	-0.1156927068	-0.0111199788	0.031647189	-0.0244146775	-0.0752277855	-0.0285478243	0.0433560416	-0.0778459858	0.055728723	-0.0253916869	0.1662558593	0.0029036019	0.049156567	-0.0370966092	0.1341803499	0.1766509662	0.0974306078	0.0948842489	-0.1410186415	-0.005346189	-0.0339542733	-0.00300874	-0.2931059044	0.0779395795	-0.0001980975	-0.0740414934	0.1264033291	-0.0064612532	0.0520794317	-0.0173148685	0.0168166928	-0.0761910816	0.0637639906	-0.0289538727	0.0465822856	-0.0491230102	0.0189130348	0.0702382624	-0.0503165001	-0.1199215906	0.0366228127	0.0953519083	-0.0583083866	0.0816575722	-0.0266808422	0.0450626449	0.0362682539	0.0393420587	0.0084245629	-0.0204716329	-0.0575647306	-0.0307744138	-0.0793814914	0.0650931485	0.0474882512	0.1013905812	-0.0862060044	-6.87875e-05	-0.0783310536	-0.0616118833	0.0570392596	-0.0412256496	-0.0371845518	0.015219773	-0.007517096	-0.0102554055	0.0914182676	0.1040712306	-0.169874334	-0.0216359902	-0.0146399043	-0.0569767922	-0.0110757605	-0.1269404072	-0.026426861	-0.0145704514	-0.1462488986	-0.1302778052	-0.0527184991	0.0468450597	0.1118100843	0.016220914	0.0370676812	-0.2379626492	-0.0362319027	0.0248730355	-0.1078073941	0.0684259474	-0.1325350347	0.0543616512	-0.0475952326	0.0259632093	-0.0120151976	0.0959850282	0.0759880042	-0.0268438568	-0.0498653381	-0.0332519155	-0.0259840745	-0.0804817299	0.0380561161	-0.0978762229	0.0677958872	-0.1135752695	0.0589449904	0.0012605301	0.1366483775	0.1500892251	-0.0837964276	0.029302291	0.1479248151	0.0263626617	-0.082949897	0.0834079908	-0.0491883289	0.0204375943	-0.0381931926	0.0881526609	0.008184884	0.1263833601	0.0006892709	0.0829927345	0.0013502129	0.1635870826	0.0614360621	0.080022941	0.0498552902	-0.0402454051	0.0758736136	-0.0244322657	0.0066555264	-0.0892719227	0.0751951402	-0.0510462181	0.0845157162	-0.0142559612	0.0858181965	-0.1259904945	-0.0414267454	0.1396219417	0.0373298319	0.152792132	-0.0082134309	0.0003642661	-0.0303166426	0.0896905907	-0.2820176002	0.0694342787	-0.1365955157	0.1368832372	-0.0589014531	-0.022187023	-0.0087893046	0.0247500288	-0.097703026	0.1111688641	0.0015233968	0.0094928064	0.0372176269	-0.038590565	0.0288164916	0.0444025212	0.0281464029	-0.0225330563	-0.0070341637	0.0903043695	0.0901651549	0.0899332895	0.0896090116	-0.0690998	-0.0039218	0.00477478236004	1.5380515240000023e-05	0.0246622	-0.0259698	0.00067443051204	0.0006082241088399	0.0164272	-0.0177484	0.00026985289984	0.00031500570256	0.00450316	-5.137000000000024e-05	2.02784499856e-05	2.638876900000024e-09	0.00100937	-4.736999999999992e-05	2.2439168999999926e-09	1.0188277969000002e-06	-0.0026721	3.1609999999999625e-05	7.140118410000001e-06	9.991920999999762e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
520.1239477064038	-2.4318301434944942	270528.92097769387	5.913797846808452	651.4129240308322	-6.651459199902547	424338.7975943987	44.24190948796823	436.5826438915613	-1.3421942566767484	190604.40494734584	1.8014854226560493	468.0092879046205	618.6644283366991	1.273528	30.553789	0.0580797499999999	0.0343095	-0.1447850951	0.0532295112	-0.0146186568	-0.029416005	0.0141816284	-0.0412789614	-0.0160847815	0.0371980441	-0.0272415118	-0.0168137871	-0.112514976	0.1076472273	0.1272016064	-0.0081842719	-0.0846842293	-0.0675367634	-0.1105524062	-0.0054115129	-0.0489861399	0.0119252546	0.0723229739	-0.0011682283	0.0411081563	0.1119528379	0.0486219263	-0.0321674874	0.0607258192	-0.0233659808	0.026638163	-0.0708705739	-0.016526932	-0.188095516	0.0828564623	-0.0155060569	0.018666494	-0.0231076791	0.0238012169	0.0924551666	-0.0824985263	0.0187759686	0.0345581623	-0.088843802	0.0210833913	0.0136738689	-0.1257167271	-0.1523996415	0.0314902601	-0.0258745448	0.0284528963	0.0787574558	0.0357966091	0.0292752587	-0.0728791646	0.1382460879	0.007743541	-0.0118255498	0.0164111024	0.1085880957	0.0088440382	0.0535504511	0.0472001459	-0.0078547303	-0.1135714	0.1062223161	0.1491239578	-0.0197967869	0.04578444	0.122961943	-0.1316557035	0.0875735446	-0.0983130621	-0.1305859465	0.1871041848	-0.1076820512	0.0115208877	-0.1096064975	0.0171878339	0.0169573904	-0.013392418	0.1650035501	0.0280757731	0.0183031693	-0.0374220314	0.1495877922	0.0606190288	-0.0149229182	0.0629236166	-0.1033461506	0.0690955773	-0.0169138638	-0.0048029476	-0.0609525678	-0.1019944791	0.0449498692	0.0994743427	-0.1072862379	0.0341210289	-0.0387337037	0.0838155811	-0.0453332759	-0.0546847326	-0.0936949289	-0.0599721915	0.0550889017	0.0220778722	0.0134703866	-0.00391719	0.0064477151	-0.0399632688	0.03598095	0.0540514502	0.0310352957	-0.1663625434	-0.0131761019	-0.0968410576	0.1762424943	0.0443710038	-0.017467886	-0.0645462455	0.0220834793	0.0834594879	-0.0869291649	0.0834174068	0.0513213448	0.0077240207	0.1506276569	0.1522982755	-0.0535946797	0.0240531269	0.1622679008	0.0034844893	-0.0923652379	-0.0289602499	0.0498165157	0.0594316888	0.0543584916	-0.0477197156	0.0613710319	-0.0808318489	0.1300413324	0.0545288094	-0.2601887657	-0.0076278441	-0.1520296123	-0.0061546835	0.071899116	-0.0517327978	0.0114893276	0.048496226	-0.0302288415	0.1358730148	0.0325875409	0.0096662855	-0.0468613862	0.0317095774	-0.1560615631	0.0472586461	-0.0593483225	0.2071574258	-0.1229772572	-0.0205051272	-0.009207381	0.0688560618	-0.076672757	0.1259645906	0.0168140591	-0.1099439011	0.0881994762	-0.0423942027	0.0986174667	-0.0154980415	-0.0554409215	-0.1247618007	0.0192944061	0.0902598131	0.0899870646	0.0895330941	0.0888988159	-0.0656975	0.0034022999999999	0.00431616150625	1.157564528999998e-05	0.0537492	0.029087	0.0008460535689999	0.0028889765006399	0.0341807	0.0177535	0.00116832025249	0.00031518676225	0.00459563	9.246999999999988e-05	2.11198150969e-05	8.550700899999977e-09	0.000952441	-5.692900000000005e-05	3.2409110410000053e-09	9.07143858481e-07	-0.00267944	-7.339999999999777e-06	7.179398713599999e-06	5.387559999999673e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
523.51533236161	3.3913846552062523	274068.303217687	11.501489879568432	656.9581833575843	5.545259326752102	431594.0546804973	30.74990100093118	438.77834512082	2.1957012292587024	192526.43614696545	4.821103888168176	471.4784540230708	622.204556250212	1.554913	37.304623	0.07800555	0.0455086	-0.1736561467	0.1314976834	-0.2037101168	0.0769859301	-0.1603654028	-0.0585744936	-0.130295258	-0.0252943189	0.0285504472	-0.1222077888	0.0067359766	-0.0033284543	-0.141437312	-0.0263417899	-0.1020042027	0.024502664	0.1133558582	0.019738723	-0.0391670745	0.2304480401	0.0369763602	-0.005186069	-0.0844553859	0.116014485	0.2478927643	0.043891352	0.020026865	0.0019597766	0.1212278195	-0.1603182472	-0.0526843548	-0.232602209	0.1020053563	0.0101328327	-0.0325827555	0.0158630758	-0.0300770283	0.0011626462	-0.044900644	0.0192489901	-0.0201195003	0.0462753759	-0.0035124907	-0.0166643357	0.0545738795	-0.0758981416	0.0644681558	-0.0191228067	0.0323425407	-0.0488442644	-0.0609113874	-0.0005614697	-0.0164258061	-0.0680952154	0.1051562587	-0.0609506809	0.0028288071	-0.0319841398	0.0710321158	-0.0569375226	0.0074738787	0.0713957209	0.2458671116	-0.0683852586	-0.1583092381	-0.0347312211	-0.0274611495	-0.0279979379	0.0149791571	0.0137888194	0.0585599617	0.0112137028	0.1334119083	-0.0134132432	-0.011560606	0.0753870416	-0.0433783458	0.1026173876	0.0462376976	-0.0147471904	-0.0031585164	0.0173657824	-0.0497934412	-0.0072112775	0.0073621205	0.0460135545	0.0119765912	0.0245467113	-0.1094983832	0.1430618447	0.0342694946	0.051685399	-0.2338541625	-0.0989476519	0.0916792825	-0.0811658738	0.0603574512	0.0760286828	0.0691771143	0.0306902905	-0.0610332181	0.0030778026	0.0408970771	0.0926455277	-0.0494005052	-0.0239532927	-0.0897559813	0.0427459269	-0.1288473325	0.1088198243	-0.0860372975	0.0151446471	-0.1175739814	-0.0260031294	-0.0714661188	0.1250814295	0.0172168793	-0.0244360558	0.0265674181	-0.0009739822	-0.0422394316	0.0143590525	-0.1574493471	-0.035344117	0.0401380881	-0.0343123723	-0.0167634582	-0.0360617369	0.0081329014	-0.0932949168	0.1737925406	0.0927157153	0.0715440931	-0.2010269381	0.0586349637	-0.1346223934	-0.0857281469	0.0401898531	-0.0202780386	-0.0846657431	0.0329534181	0.0116565744	-0.1149137711	0.0476519227	0.0139690554	-0.0437184542	0.0711687263	-0.0093476657	0.054911274	0.0607044916	0.1603955927	-0.0286507981	-0.0139784688	-0.0251523314	0.1034039612	-0.3517464882	0.0652104196	0.0212019101	0.1046056126	-0.0669854692	-0.0595497538	-0.0069725935	0.0577080785	-0.1048974899	0.0827005925	0.0095384017	0.0091735964	0.02806252	0.0019551316	-0.0136886405	0.0634228726	0.0750371737	0.0393547685	-0.0196995989	0.0902004158	0.089749793	0.0890004218	0.0879547967	-0.0610305	0.004667	0.00372472193025	2.178088900000004e-05	0.0127355	-0.0410137	0.00168212358769	0.00016219296025	0.0159333	-0.0182474	0.00025387004889	0.00033296760676	0.0044148	-0.0001808299999999	1.949045904e-05	3.269948889999996e-08	0.00100937	5.692900000000005e-05	3.2409110410000053e-09	1.0188277969000002e-06	-0.00272323	-4.379000000000015e-05	7.4159816329e-06	1.917564100000013e-09	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
513.18544822482	-10.329884136790042	263359.3042697094	106.70650627950656	640.239843608062	-16.71833974952233	409907.0573432757	279.5028839804583	433.6929241060411	-5.085421014778888	188089.55241964836	25.861506897554733	462.9813196368814	611.1253758085194	4.118276	98.803436	0.9002810999999998	0.458693	-0.0091397311	-0.0800173759	0.5197324995	-0.5013373677	0.1082903867	0.0831783007	0.1529452222	0.2946784812	-0.179253826	0.220874336	-0.1230820089	0.2319873957	0.2699955174	0.1928835569	0.1533107986	-0.0904207133	-0.338074813	0.0458053057	0.1708994604	0.072728474	-0.1477067159	0.0010917438	0.2191724259	-0.0390715328	-0.5187126975	-0.3532255147	0.363572659	-0.0196039323	-0.033210179	-0.1058576205	0.1683773546	-0.1327330789	0.1737723518	0.0013807674	0.0599282933	-0.1012213453	0.0874869337	0.2102333294	-0.037712817	-0.0672756842	0.0883306754	0.0530564208	0.0222873083	-0.0483046825	0.0334312279	0.1299827381	-0.0874803739	0.0015031691	-0.0325757687	-0.0084806704	-0.0281105213	-0.0657648751	-0.0259226364	-0.0723002755	-0.0014113861	-0.1064553172	-0.0770565896	-0.0837222654	0.0024828955	-0.0182133174	0.0288281106	-0.0282485377	0.0818550092	-0.0202029096	-0.0283773758	0.0309095103	0.0382698624	-0.0571495899	-0.0769020417	0.0280571696	0.0299008812	0.0508748168	0.0098243035	0.0094581386	0.0097358735	0.0023763637	0.0078285253	-0.0474782509	-0.0230754665	-0.0686767966	0.0242185882	0.0066507121	-0.0430194968	-0.00064147	0.0125824532	0.0590418013	0.04800223	-0.0094421256	0.0146205167	-0.2422795513	-0.2641300974	-0.333631548	0.2539337303	0.4322670606	0.1226417006	-0.3102415499	-0.0085109214	-0.1981636424	0.1077430469	0.0361655643	-0.0442890207	-0.2664297256	-0.0278778747	0.0356012956	0.0798143539	-0.1655130925	-0.0633876093	0.1011167058	0.0259530376	0.0166733238	0.0369056838	0.0529528289	0.0689771292	0.0452471783	-0.0891323711	-0.1208450353	-0.0409726425	-0.0499385832	-0.0140927629	0.0624354069	-0.0888637038	0.0338110459	-0.0584448077	-0.0484981433	-0.0346092212	-0.0378790382	0.0051215855	0.051161554	-0.0258990101	-0.0350828202	0.0221540448	-0.0719190695	0.0489662056	-0.0818440956	0.0687436471	-0.0196443237	-0.0220668571	-0.0304717971	0.0207834124	-0.0713753557	-0.0461905999	0.0624188176	0.0199079917	0.0094875904	0.00792876	-0.0114063503	-0.0079369513	0.0169692397	0.0357818085	0.0292454043	-0.0491845005	0.0584342455	0.1605855611	-0.1875630188	-0.2034794004	0.4416443507	0.3174419546	0.0042748753	0.6509754752	-0.0932726289	0.0363580502	-0.0372135729	-0.1061446494	0.1113705613	-0.1609698406	0.1338663056	0.0496561501	0.0202897508	0.0421392719	-0.1108915471	0.0040306263	0.0686216674	0.0415297914	0.0200482978	0.0901261876	0.0894534963	0.0883360609	0.0867794369	0.0193767	0.0804072	0.00037545650289	0.00646531781184	-0.108972	-0.1217075	0.01481271555625	0.011874896784	-0.0598656	-0.0757989	0.0035838900633599	0.00574547324121	-0.00257204	-0.0069868399999999	6.615389761599999e-06	4.88159331856e-05	0.00145435	0.00044498	1.980072004e-07	2.1151339225e-06	0.0022923	0.00501553	5.2546392900000005e-06	2.5155541180900005e-05	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
