global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05
584.9526351563828	n/a	n/a	342169.5853763963	674.1056276164418	n/a	454418.3971841569	n/a	471.3094209677666	n/a	222132.57029297145	n/a	469.46624429896633	1149.117423052643	n/a	n/a	n/a	n/a	-0.0468131094	0.03362893	-0.0632650293	0.1217518121	-0.1070105326	0.0296978897	0.0496030666	-0.045691561	0.187133718	-0.0755911428	0.0581113323	-0.23278551	-0.14640212	0.0388102353	-0.0272574354	0.0633584986	-0.1689075929	0.2219789978	-0.5564421347	0.2431046389	-0.067373973	0.0561024016	-0.0053591224	0.0469021698	-0.0200792463	-0.0263074942	0.0158808971	-0.049207017	0.1084606794	-0.0488150657	0.0193956943	-0.0848522184	0.0823130397	-0.0486418816	0.0099861573	-0.0572636116	0.0230606641	-0.0112647813	0.0967982634	-0.0468424656	0.0064304124	-0.0316605584	0.0385016229	-0.1094582716	0.0022239004	0.1161971465	-0.0864189623	0.0918413675	-0.0813085157	0.0333088347	-0.049894224	0.0671505774	-0.0472645583	0.1571111411	-0.0099018497	0.0647963823	-0.0283827873	0.0162955055	-0.0248692207	0.0585254392	-0.0774304745	0.0924996925	-0.0087765523	0.1206442671	-0.0401008035	0.000950459	0.0471908941	-0.0174301817	0.0719060241	-0.0042317814	-0.0973031348	0.0349364293	-0.0027586961	-0.0333345563	0.042261325	0.0972256395	-0.0927728956	-0.0591285611	-0.1071916687	0.1475179397	-0.0667763532	-0.0259418091	0.0846606817	0.0073013487	0.0747940242	-0.0605305611	-0.0278897838	0.081992987	0.0045728049	0.0135583256	-0.0240417182	0.0747315625	0.0254287684	0.0183912015	-0.0859080246	-0.0044456604	-0.1216757239	0.1155957072	0.030475193	-0.0900816889	-0.0655544645	-0.0236317782	-0.0020964673	0.0979160484	-0.0282184443	0.0118486175	-0.0075023804	0.0935161985	-0.0705081159	0.0370416419	-0.0984818777	0.0728548756	-0.0173700363	0.0417555781	-0.0105166106	0.0608664036	-0.0004920042	0.0836662033	-0.0669775299	0.0417232561	-0.0345653063	0.0270229323	-0.1021452508	0.0497878525	-0.0902246864	0.0437837094	-0.0985132585	0.0216551704	-0.032376592	0.0641860214	-0.1477292031	0.0308767124	-0.0819969138	0.0958644748	-0.0876412762	0.0097937992	-0.0251129222	0.0288805853	-0.0232642194	0.1280469868	-0.0019322993	0.0079518868	-0.000279419	-0.0935686329	0.0563621945	-0.0980724786	0.0165804346	-0.0322132972	-0.0439453538	0.1137783065	-0.033630221	0.0172197588	0.0494991983	-0.0573690906	-0.0630148939	0.0739293414	0.1796626937	-0.0741939519	-0.1216459703	0.0513268682	0.0180980301	0.0705999145	-0.0667447912	0.0572295329	0.0128997218	-0.1032512753	-0.0283485344	-0.0486644981	0.0317856654	0.0053359481	0.0679080245	-0.0566004484	-0.0355826477	0.0162757534	0.0502562955	0.1386114879	-0.051047483	-0.0053712627	-0.0464895006	0.0964054759	0.0105442876	-0.0027392156	-0.0366285708	-0.0281968142	0.0141182568	-0.1113828016	0.0957179248	0.0641237679	-0.0069916224	0.0485389111	-0.0413678186	0.0909419705	-0.0516764918	0.0233024278	-0.1081852476	0.0094398943	-0.0139922179	0.0130001824	-0.0254767738	0.0436245609	-0.0598948915	0.1322766965	0.0822469724	-0.0206335309	-0.1230954728	0.1578086245	-0.0105753301	0.0903489333	0.0903433624	0.0903340779	0.0903210801	0.105385	n/a	n/a	0.011105998225	0.0790841999999999	n/a	n/a	0.0062543106896399	-0.0802077	n/a	0.00643327513929	n/a	0.0011324	n/a	1.28232976e-06	n/a	0.000361703	n/a	n/a	1.30829060209e-07	0.00179434	n/a	n/a	3.2196560356e-06	0.0	0.0	0.0	0.0	0.0	0.0
584.4901378832107	-0.4624972731721755	0.2139037276916979	341628.7212827346	668.5015961707957	-5.604031445646115	446894.3840829016	31.405168443790483	472.6220138563097	1.3125928885431222	223371.5679815938	1.7229000910539771	470.7923849162951	1148.4592844210288	1.200578	30.22633	0.0829301999999999	0.0412164	-0.0350194001	0.0868744375	-0.0919058037	0.0746007963	-0.0408321514	-0.036989097	-0.0005352418	-0.1122704699	0.1794663641	-0.0357648471	0.0067538776	-0.1475925308	-0.0638945204	0.1231130481	-0.048965941	0.0672192164	-0.1052355674	0.1035823226	-0.2736450525	0.0931890555	-0.0312421701	0.0830525439	0.0433339815	-0.0917707183	-0.018071615	0.0458586367	-0.1039055856	0.0291925089	0.0414287277	-0.0658621301	0.0132084115	-0.0781891005	-0.0075526028	-0.143450308	0.0109337078	-0.0109693176	0.1312855849	-0.0640130322	0.0029876003	-0.1666869992	-0.0605672055	-0.0276283623	0.0823674206	0.0010171391	0.0437611896	0.1002818685	0.0474288694	0.0805105214	0.0195336544	-0.0175240276	0.0733144668	0.0868115797	0.0243129983	0.0370783654	-0.038095763	0.0334998315	-0.0917123021	-0.0076457493	-0.0896855289	-0.0183897167	-0.1341029877	0.0118183785	0.0653613454	0.0648160957	-0.0213814751	0.0794778486	-0.0609917751	0.0201762141	-0.074199171	0.0927242372	-0.0059970277	-0.0436181933	-0.0765860133	0.0759573299	0.0688899552	0.0267165983	0.0350829345	0.0995661281	0.0676846444	0.0146775252	-0.0334551938	0.1485669593	0.1620007983	0.1644318694	-0.0015408671	0.0655265836	-0.0531753578	0.0757291365	0.0363558406	0.0143259958	-0.0152381708	-0.0069290292	0.0191857098	0.0535640417	0.0589185846	0.0451495376	0.0463437062	0.0174484895	-0.0831844063	-0.0235032962	0.0695477096	-0.0660464609	0.0198407104	-0.0029133218	0.0327393547	-0.1083412793	-0.060037868	-0.0070994502	-0.0513335696	0.0303099365	-0.1057191539	0.04989209	0.1202297756	0.06174074	0.1040478085	0.0722372857	-0.0558062899	-0.0084772292	-0.0854378742	0.149891118	-0.0252505966	0.0867237848	0.0064555863	0.0279482685	-0.0191783092	-0.0694156173	-0.0279820446	-0.0154936172	0.0448528522	0.1577785918	-0.0275285519	0.0536283645	-0.0410281183	0.0401216177	-0.0064891701	0.0713773735	-0.0096712021	0.0186872549	0.0603386769	0.1321358528	0.0631344703	0.0730212773	0.0044446461	-0.0898189777	0.0583692138	0.0866622945	0.0086100314	-0.0459414521	0.092990294	-0.0311416731	-0.0102294657	-0.0584138312	0.0376279075	-0.1250724664	-0.0054124762	0.0219150114	-0.1036952723	0.1296798576	-0.0010287349	-0.0517127139	0.0014776832	0.0750279961	-0.1736029939	0.1424085604	-0.1371926632	-0.0364642093	0.1074594912	-0.0579327222	-0.0261919746	-0.0460871783	-0.0307111555	-0.0273509485	0.0067588278	0.0329981385	-0.0512648953	-0.0553959453	0.0421059914	-0.0211486941	-0.0256738103	0.0782416196	0.0134572865	0.0083709548	0.0031975785	-0.0133379885	0.0391486187	-0.0979710133	0.1248812515	0.0286644711	-0.0606424215	0.0158854406	-0.1055646182	0.0467071404	-0.0760805678	0.0031021566	-0.0654737478	-0.0336203218	0.0906726723	0.0037557284	0.0162911276	0.0876969002	0.0110205972	0.0302244213	-0.0560172168	-0.1469600723	-0.1406691245	0.2397199778	-0.0345503547	0.0903340779	0.0902839469	0.0902004158	0.0900835156	0.106243	0.0008579999999999	7.36163999999996e-07	0.011287575049	0.0470782	-0.0320059999999998	0.0010243840359999	0.00221635691524	-0.0936538	-0.0134460999999999	0.0087710342544399	0.0001807976052099	0.00142405	0.00029165	2.0279184025000003e-06	8.505972250000003e-08	0.000499715	0.0001380119999999	1.904731214399999e-08	2.49715081225e-07	0.00209708	0.0003027399999999	9.165150759999996e-08	4.3977445264e-06	0.0	0.0	0.0	0.0	0.0	0.0
583.3580143372274	-1.1321235459832906	1.28170372336978	340306.5728914728	662.2795998399907	-6.221996330804927	438614.26836421824	38.71323834054998	472.55044432716505	-0.0715695291446536	223303.9224338011	0.0051221975019874	470.6499803495629	1141.993863933347	1.128491	28.411423	0.12782695	0.0773004	-0.0081487083	0.0796755115	-0.0786889679	0.0330677575	0.0113607472	-0.0648851638	0.0344680233	-0.0697997984	0.1008374026	-0.018477812	-0.0129141454	-0.0816427883	-0.0170148798	0.0167593532	-0.066308058	0.0798745455	-0.0357836068	-0.0274931074	-0.0334881645	0.1543410259	0.0398256361	0.0257634423	-0.0143562476	-0.1094067942	0.041152772	0.0145858944	-0.0384859998	0.0099993889	0.0569264707	-0.1420382501	-0.0026405364	0.0301191412	0.0005430852	-0.0787378048	-0.0466097101	0.0236345747	0.1003562863	-0.0156318026	-0.0668709347	-0.0007465817	-0.0525679973	-0.0448266878	0.0778868873	0.1841885969	0.054901343	-0.0418893479	0.0860839832	-0.0187660617	-0.0213874411	-0.0825507199	-0.0208099688	0.0080435025	-0.0115192543	-0.0972387033	-0.0144709138	0.0638249056	0.0134740545	0.0315134156	-0.0008517671	-0.1301052188	0.0768196943	-0.0402167327	0.0911447139	-0.0020866324	0.0320212677	0.0006414857	-0.0956586064	-0.0066224353	-0.0251058164	0.1383748891	-0.0196968389	0.0292374623	-0.0761780021	0.0239056693	0.0987090422	-0.0098674203	0.0096199186	0.0297327201	-0.076662976	0.0267685694	-0.034141451	-0.0234028259	0.0330942172	-0.0902200202	-0.0085841504	-0.0123699503	0.0637130306	-0.0481567204	0.0343983473	-0.0373649551	-0.0259641319	0.021075207	-0.0131034411	-0.1030441837	0.0990158603	-0.0436659017	-0.0101113007	-0.0399155496	-0.0279231233	0.0189846197	-0.1045496697	0.0638438331	0.0023514788	0.0634121349	0.008598384	-0.0568645474	-0.0092611548	0.0092129031	-0.1458622201	0.0028197646	-0.000963891	0.0629810517	0.0931805852	-0.0108832088	0.0876503395	0.0292640471	-0.0293139492	-0.0645886322	0.0236372671	0.0199435173	-0.0723693876	0.095626817	0.1734538841	0.0175018812	0.0705865722	-0.0977048758	0.023458664	0.0495495833	0.0670302198	-0.0727921247	-0.0156898914	0.0141032125	0.0149372926	-0.0822475783	-0.0016398888	-0.0322193445	0.0645268808	0.0203867425	0.0921988277	-0.0864374861	-0.0099894188	0.0992573868	0.0448454717	-0.0120465126	-0.040183203	0.0778024201	-0.0593852488	-0.0754596543	0.0687982666	-0.004765422	0.0203992561	-0.0630226414	-0.0015542508	-0.1507320309	0.0454169657	-0.0014036221	0.0443949452	0.025994791	-0.0097875509	0.0315196288	-0.0443147168	-0.0574010334	-0.0230913506	-0.0279757285	0.0891507687	0.0530838633	-0.0481148818	0.038732709	-0.0535435712	0.0264916251	0.0803967118	0.037802828	-0.0315635374	-0.0650271796	-0.0601089578	0.0254366253	0.0580367837	-0.0163624402	-0.0116435123	-0.054986926	-0.013848663	-0.0515773904	-0.1031199318	0.0089103089	0.0077220558	-0.1417540138	0.1392414522	0.0368074726	-0.004973376	-0.0837705582	-0.0944221597	0.0134337751	-0.1096109914	-0.1030140962	0.0273965893	-0.0360414284	0.0144367244	0.0672191651	0.0608760229	0.0544077757	-0.0409860118	0.0301006746	0.0417474334	0.0135073945	-0.089892385	0.0798211713	0.0066116922	0.0903043695	0.0901651549	0.0899332895	0.0896090116	0.100693	-0.0055499999999999	3.0802499999999995e-05	0.010139080249	0.113275	0.0661968	0.00438201633024	0.012831225625	-0.132185	-0.0385312	0.017472874225	0.00148465337344	0.00151028	8.622999999999986e-05	2.2809456784e-06	7.435612899999974e-09	0.000733454	0.000233739	5.4633920121000025e-08	5.37954770116e-07	0.00206607	-3.100999999999972e-05	9.616200999999823e-10	4.268645244900001e-06	0.0	0.0	0.0	0.0	0.0	0.0
582.1885704360492	-1.1694439011781697	1.367599038002817	338943.5315463706	659.172742260176	-3.1068575798146867	434508.7041388005	9.652564021251973	472.0061770980782	-0.54426722908687	222789.8312187424	0.2962268166578994	470.0568301950211	1134.1994640522844	0.979339	24.656303	0.1169251	0.0649722	0.0190067206	0.0727590267	-0.0802027695	-0.0071653929	-0.0384838945	-0.0310771694	-0.0048288167	-0.0481503706	0.0267911597	-0.018368551	-0.0253136131	-0.0730682798	0.0208926847	0.0507025175	-0.0636585072	0.0318160419	-0.0236034553	-0.0833333094	0.0425788779	0.0386807793	0.0529014779	0.0657653098	-0.0136008223	-0.0394435946	-0.0517928238	0.0026735192	-0.0645246778	0.0451265114	0.0053958068	-0.0632164018	0.040806981	-0.1210109896	-0.0305616191	-0.095303735	-0.0152916814	0.006313986	0.0237993103	-0.0190037586	-0.0481821432	-0.0273089564	0.0637248417	-0.0817030232	0.0210439352	0.0838358097	0.0029657616	-0.0170946559	-0.0101637574	0.0654848274	0.0954080777	0.0279635535	-0.0270751502	0.0067253522	0.0568121463	-0.0186425165	-0.0831044456	-0.0024778275	-0.0161950538	-0.0163719687	0.0875248966	0.0534721699	0.0041875558	0.0174739994	-0.0322326423	-0.1651032101	0.0171918225	-0.0786927121	0.0198074231	0.1163563479	0.031528405	0.0886042229	-0.151759218	-0.0693856045	-0.0616683693	-0.0273075544	-0.0631731526	0.0364998757	-0.134445882	0.0070430757	-0.0323005385	-0.1478897332	0.0590243913	-0.0669294908	-0.0216899611	-0.0044621394	-0.0344656213	0.04245149	-0.0136012926	0.036335486	0.0740276467	0.0155837768	0.0122015635	0.0202635589	0.0061186957	-0.0033777612	-0.0626390525	-0.1435073348	0.03505354	-0.0225686754	0.1157605357	0.0723640548	0.0078646332	0.0881927778	0.0513774062	0.1022669656	-0.0053669069	-0.0836578578	-0.0207257176	-0.0292736864	-0.0523813282	0.0493869783	-0.1216199449	0.0070245792	0.090306043	0.0086022822	0.0286932958	0.008521969	-0.0431305567	-0.0155126303	-0.027519677	-0.0138278748	-0.0937001974	0.0136199302	0.0545067338	0.000828711	0.0440898954	0.0177658327	-0.0306336198	-0.1005590655	0.0276339952	0.0406760534	-0.0068240496	-0.0456566918	-0.0372284831	-0.0369939683	0.0885530272	0.0578295493	0.0235407011	0.0236922116	-0.0942438217	-0.0443952463	-0.0594449505	-0.047759681	-0.0775084853	0.1654636974	0.0303184279	-0.0285261993	-0.0079656234	-0.152004457	0.0432121225	0.1037885686	0.0446996241	0.0248558383	0.0453710568	-0.0080412493	-0.0994422184	-0.0735683643	-0.0173846034	-0.0909430865	0.1303405434	0.0646146606	-0.0565784301	-0.034402452	0.0393565677	-0.0347014847	-0.0511729782	0.0314461515	-0.0171428276	-0.065717496	-0.0689321549	-0.0811872101	0.0806360534	0.0676189915	0.1019463568	-0.0332672684	0.0333042559	0.0425858926	-0.0768673135	0.1302993015	0.0813314147	-0.0501915596	-0.0360215054	-0.0493740785	-0.1075858344	-0.0066713936	0.030878803	-0.078363574	0.1001736618	0.027014516	-0.0219251681	-0.0313378045	-0.0940841672	-0.0080517283	-0.1083716009	-0.0439072834	-0.0089407739	-0.0045958146	0.0298575373	0.0388120826	0.1091688976	0.0808508949	-0.0119105009	0.0609021573	-0.0713442419	-0.0741614606	-0.0153184589	0.0693631949	-0.0347468697	0.0902598131	0.0899870646	0.0895330941	0.0888988159	0.0917608	-0.0089322	7.978419684000002e-05	0.00842004441664	0.0541137	-0.0591613	0.00350005941769	0.00292829252769	-0.114829	0.0173559999999999	0.013185699241	0.0003012307359999	0.00135685	-0.0001534299999999	1.8410419225e-06	2.3540764899999992e-08	0.000403382	-0.000330072	1.0894752518400006e-07	1.62717037924e-07	0.00192006	-0.00014601	2.1318920100000073e-08	3.6866304036e-06	0.0	0.0	0.0	0.0	0.0	0.0
581.3057651592334	-0.8828052768158159	0.7793451567738493	337916.3926073618	656.7260600436817	-2.4466822164943096	431289.1179404975	5.986253868509508	471.7284131365786	-0.2777639614996019	222527.69576035457	0.0771528183079523	469.8589108296961	1129.4964933924905	1.063743	26.781313	0.1301062	0.0791894999999999	0.068263475	0.0428991686	-0.0502115839	-0.0172894986	-0.0084913395	-0.0675764172	0.0400305193	-0.0578923594	-0.0448459642	-0.0229160934	-0.016457677	-0.0852863615	0.0182187422	-0.04118445	-0.0832258423	0.0532404233	-0.0468702713	-0.0787218826	0.0879217594	0.1607708161	0.0284266659	0.0693966207	-0.0457385519	-0.0548583297	0.0070897063	-0.0603663449	-0.003473551	-0.0225337406	0.0167136599	-0.1561598937	-0.0662329551	-0.039557087	0.05177102	-0.0712696995	-0.060305271	-0.0212127386	0.0428547992	-0.0096906905	-0.0733241739	-0.0153783176	0.0418914309	0.0145427225	0.01068974	0.0717407391	-0.0350297653	-0.0923835558	0.0646822035	0.1026009123	0.0260277641	0.0878646009	0.0293191201	-0.0596491294	-0.0194108316	-0.0017846522	-0.0523112692	0.0087001616	0.0464833998	0.1007270784	-0.0347890127	0.0322154991	0.050097916	-0.0760497999	0.0936013724	0.0382049036	0.0236251219	-0.0469690734	-0.1002050857	-0.1165739217	-0.0830989022	-0.0783737938	0.0716761644	-0.0251625817	-0.0381717941	0.0663702615	-0.0218447042	-0.1429720498	-0.0163185044	0.0976414275	-0.0130641923	-0.0715282101	0.1154071247	0.0911217362	0.0266930458	-0.071337022	-0.089546127	0.0564188346	0.1227991612	-0.0219793128	0.0065163537	-0.0174580961	0.028278046	-0.0199880571	-0.0339572825	-0.0024535579	-0.0233182843	-0.0981324448	-5.6041e-06	-0.0676615989	-0.0289433528	0.0272551364	0.012577532	-0.0393529535	-0.0283732669	-0.0192355213	-0.0608697813	0.009862572	0.0111881838	-0.0244040297	-0.145303839	-0.0545038044	-0.0616893562	0.1045444523	0.0456142175	-0.0433352772	0.0089901704	0.0408118227	-0.0146115897	-0.0640868984	-0.0278695528	-0.0434959106	0.0099805806	0.0559441891	0.0925108956	-0.0610016848	0.084592016	-0.0079794644	-0.0743111947	-0.0769659367	-0.0685147462	0.0264062151	0.0330764687	0.0294246115	-0.0690277028	-0.0210944696	0.016883804	-0.1042506408	-0.0709801554	0.0602510094	-0.0212526783	-0.0764974998	0.0560677959	0.1006676777	0.0837639814	-0.0445834784	-0.0989982601	0.0841464472	-0.069738236	0.1305966921	0.0238781142	-0.0672476482	0.036970092	0.0356778176	0.0008877893	-0.0372205139	0.0313374736	-0.1628733419	-0.0810585563	-0.0317885768	0.1068118581	-0.0759893416	0.0173598131	-0.0682113447	-0.0217301894	-0.0439261531	0.0066004053	0.0506003246	0.0643400108	0.0672009047	-0.0058317112	-0.0213751615	0.0653834618	0.0246088976	0.0175369117	0.0088246117	0.0060480923	0.0717581181	0.0049488675	-0.0270763426	0.0295267955	-0.0264349864	0.0108141814	0.0547900267	0.013360921	0.0202323659	0.0145956056	-0.1382395521	0.0908376616	0.0242834355	0.0407158358	-0.0384217125	-0.0906771996	-0.0232173996	-0.1146801645	-0.1234740906	0.0711645724	-0.0182181697	0.0093483048	0.0481745284	0.1041369145	-0.0566654558	-0.0471155951	0.0102278475	0.0248228378	0.0157733383	0.0061866414	-0.0192213232	0.017774938	0.0902004158	0.089749793	0.0890004218	0.0879547967	0.088104	-0.0036568	1.3372186240000012e-05	0.007762314816	0.127308	0.0731943	0.00535740555249	0.016207326864	-0.118589	-0.0037599999999999	0.014063350921	1.4137599999999997e-05	0.00195502	0.00059817	3.8221032004e-06	3.578073489000001e-07	0.000776794	0.000373412	1.3943652174400006e-07	6.03408918436e-07	0.00193838	1.832000000000005e-05	3.3562240000000203e-10	3.7573170244e-06	0.0	0.0	0.0	0.0	0.0	0.0
580.3534731471027	-0.9522920121306696	0.9068600763678796	336810.1537939049	655.9554027726082	-0.77065727107356	430277.4904265746	0.5939126294585465	471.44773993674886	-0.2806731998297209	222262.9714914684	0.0787774451026544	469.5057920184833	1119.771776362017	1.134755	28.569128	0.1787022499999999	0.0950447	0.1107212733	0.019082698	-0.036872139	-0.0471543072	-0.1073486486	-0.0218859573	-0.0060309801	-0.0856118899	-0.0899616773	-0.0591511259	-0.0275036464	-0.0800107525	0.0100238285	0.0671013314	-0.0011996189	0.0137669241	-0.0883263616	-0.0296558555	0.0617129162	0.0102974861	-0.0425679838	0.0585531418	0.0085616334	0.034710563	-0.0676542025	0.0096610958	-0.0827590624	-0.0309375492	-0.0884302444	-0.0819521757	0.0643779873	-0.0804777528	0.0390921059	-0.0517201201	-0.1051488227	0.0062150403	-0.0319169644	-0.0914857589	0.0618591867	-0.1332159231	0.01261154	-0.0617999089	-0.0109064332	0.0426127422	-0.1449198525	0.1273947387	0.0072653564	-0.0529084086	-0.0597410465	0.0824408434	-0.0153781212	0.0465433177	0.0311934396	-0.1015806078	0.1019663748	0.0549022737	0.0650310364	-0.0254364163	-0.0552694402	0.0007113649	0.0511958803	-0.1297251308	0.0507072567	-0.1140913914	-0.1039954172	0.0254436699	0.0926551706	-0.0985150036	0.0085867467	0.0262499874	-0.0014132656	0.0299821922	0.0447779923	0.0177136819	0.0745294882	0.1089784129	-0.010402247	-0.1220399543	0.0641737424	0.0422994329	0.0662904779	-0.0635131141	0.170301621	0.0260495527	0.1196127184	-0.0215926462	0.0618116008	0.0293118447	0.0409313984	-0.0070829953	0.013984795	0.0606884258	-0.0006178394	-0.0002413696	0.0513969871	0.0219192968	-0.0774938769	-0.0681025445	0.0205165417	-0.1084347709	0.0705689847	0.0188883089	0.0600524145	-0.018910573	0.0060042612	-0.0131773065	-0.0608970522	-0.1239129217	-0.0387740205	0.0748978485	-0.0812222684	0.0784509777	0.0274677026	-0.0930698835	0.0147149632	-0.0067582489	-0.0528543152	0.0730213426	-0.1095964076	0.0912198247	-0.0336020004	-0.0344573212	0.0666742209	-0.048578819	-0.1766407709	-0.0149644131	0.0345646827	-0.0375303509	-0.0951499375	0.0509004317	-0.0408991339	-0.0525491119	0.1163324723	-0.1083802297	-0.0493791518	-0.0326399032	-0.0252337176	-0.077999373	0.0324289713	-0.1071202961	0.0613515305	0.0388291927	-0.0006831289	0.0690924669	0.1249892195	-0.0810757041	-0.1184510613	-0.0104743685	0.0368606773	-0.001034216	-0.0477765953	-0.0400491927	0.0666366659	0.0371571574	0.0071060988	0.1518087612	0.0206164813	-0.0618507012	-0.0562718324	-0.0299570268	0.1600072038	-0.0069231565	-0.1292776202	0.054666964	0.0903816121	0.0148363635	0.0168341596	-0.0407537873	-0.0268333784	-0.0498190915	0.0287737547	-0.0324029793	-0.0549339567	0.0176812001	-0.0427330678	0.0200193195	0.0087998684	0.0167370993	0.078404876	0.1043858971	-0.1012153023	-0.0136975606	-0.0450576993	-0.0046006273	0.0373115064	-0.0838669073	0.0688955125	0.0459477893	-0.0727990381	0.0890944244	-0.0940603162	-0.0415548898	-0.0943707955	-0.0697651016	-0.022565513	-0.0381611445	0.0306759671	-0.0356584745	0.0887988164	0.0048478069	-0.038400128	0.047774465	-0.0748827848	-0.1521209878	0.0879055358	0.0856097613	-0.071775287	0.0901261876	0.0894534963	0.0883360609	0.0867794369	0.0833392	-0.0047648	2.2703319039999994e-05	0.00694542225664	0.0447795	-0.0825285	0.00681095331225	0.00200520362025	-0.0757720999999999	0.0428169000000001	0.0057414111384099	0.00183328692561	0.00128516	-0.00066986	1.6516362256e-06	4.4871241960000006e-07	0.000652133	-0.0001246609999999	1.5540364920999996e-08	4.252774496890001e-07	0.0021157	0.0001773199999999	3.1442382399999974e-08	4.47618649e-06	0.0	0.0	0.0	0.0	0.0	0.0
