onset	duration	condition	trial_type	braille_stimulus	response_val	response_type
2.017	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
7.017	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
8.034	5.008	6_DOT_DETECTION	NO_6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-KŁMLK	n/a	n/a
13.0	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
15.067	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
16.084	5.008	6_DOT_DETECTION	NO_6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-PŁKL	n/a	n/a
20.536	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
23.116	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
24.134	5.008	6_DOT_DETECTION	6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-#M#ŁS	n/a	n/a
28.656	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
31.166	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
32.184	5.008	6_DOT_DETECTION	6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-KB##	n/a	n/a
36.68	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
39.217	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
40.234	5.008	6_DOT_DETECTION	NO_6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-TKLKŁ	n/a	n/a
45.2	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
49.275	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
54.276	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
55.292	5.008	LEXICAL_DECISION	PSEUDOWORD	SES-TP-1_TASK-LDTTACTBRA_WORD-SEMA	n/a	n/a
60.2	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
62.325	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
63.342	5.008	LEXICAL_DECISION	WORD	SES-TP-1_TASK-LDTTACTBRA_WORD-TYPU	n/a	n/a
70.096	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
70.376	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
71.392	5.008	LEXICAL_DECISION	WORD	SES-TP-1_TASK-LDTTACTBRA_WORD-STEK	n/a	n/a
76.856	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
78.426	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
79.442	5.008	LEXICAL_DECISION	PSEUDOWORD	SES-TP-1_TASK-LDTTACTBRA_WORD-LIŁCU	n/a	n/a
84.576	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
86.476	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
87.492	5.008	LEXICAL_DECISION	WORD	SES-TP-1_TASK-LDTTACTBRA_WORD-TOPI	n/a	n/a
91.6	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
96.034	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
100.534	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
101.55	5.009	6_DOT_DETECTION	6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-DK##L	n/a	n/a
106.12	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
108.584	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
109.601	5.008	6_DOT_DETECTION	NO_6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-KDTLŁ	n/a	n/a
115.816	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
116.634	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
117.651	5.008	6_DOT_DETECTION	6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-P#T#	n/a	n/a
121.6	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
124.684	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
125.701	5.008	6_DOT_DETECTION	NO_6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-SSŁKM	n/a	n/a
130.84	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
132.734	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
133.751	5.008	6_DOT_DETECTION	NO_6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-DDŁ	n/a	n/a
137.44	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
141.792	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
146.792	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
147.809	5.008	LEXICAL_DECISION	PSEUDOWORD	SES-TP-1_TASK-LDTTACTBRA_WORD-BYLU	n/a	n/a
154.176	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
154.842	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
155.859	5.008	LEXICAL_DECISION	PSEUDOWORD	SES-TP-1_TASK-LDTTACTBRA_WORD-OKCY	n/a	n/a
160.336	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
162.893	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
163.909	5.008	LEXICAL_DECISION	PSEUDOWORD	SES-TP-1_TASK-LDTTACTBRA_WORD-DOAST	n/a	n/a
166.816	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
170.943	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
171.959	5.008	LEXICAL_DECISION	WORD	SES-TP-1_TASK-LDTTACTBRA_WORD-SMOK	n/a	n/a
174.96	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
178.993	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
180.009	5.008	LEXICAL_DECISION	WORD	SES-TP-1_TASK-LDTTACTBRA_WORD-AKT	n/a	n/a
184.536	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
188.551	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
194.051	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
195.067	5.009	6_DOT_DETECTION	6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-SŁ#M#	n/a	n/a
199.856	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
202.101	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
203.118	5.008	6_DOT_DETECTION	NO_6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-KCTD	n/a	n/a
208.08	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
210.151	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
