global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
523.0971166901041	n/a	n/a	273630.5934895004	526.565002272115	n/a	n/a	277270.7016178324	434.6643355319461	n/a	n/a	188933.08458342825	433.47404035118745	506.6653267788712	n/a	n/a	n/a	n/a	0.0334892351	-0.0065934806	0.0214567197	-0.0168496198	0.2067412917	0.0031439969	0.0598877479	-0.1137429737	0.0084908976	-0.0403503056	0.1800171337	-0.2358748696	0.0135922609	-0.1240300764	0.1699876623	-0.1776920391	0.0572690687	-0.2462152984	0.0212907799	0.0304919187	-0.0672343309	0.0712556416	-0.098481007	0.1104075564	-0.0372912413	0.0211687166	-0.0550575123	0.0092282658	-0.065557562	0.0543709441	-0.0201239131	0.0846271334	-0.0522057013	0.0524125834	-0.1122366855	0.0250430799	-0.0832459742	0.059701463	-0.025843612	0.0177686673	-0.0271662039	0.0112464657	-0.0946352192	0.052509532	-0.031906666	0.0113119981	-0.0904243149	0.0454060157	-0.0119741562	0.0284674695	-0.0077935457	0.0104671137	-0.0447719602	0.0343220974	-0.0791854339	0.1381761713	-0.0163755864	0.0042612818	-0.0193240013	0.0535257893	0.0086079905	-0.0559081195	0.0515658768	-0.0391685871	-0.0447982765	-0.0111266762	0.1062814154	0.0181406705	-0.0764643063	0.0130318217	0.015902555	-0.0402567368	-0.0252214762	-0.0536699462	0.0194445614	0.0511590946	-0.0628401109	-0.022792284	0.0219234875	0.0758299939	-0.0177734233	-0.0727750001	-0.0362359163	-0.0184671816	0.1086857156	0.0868772447	-0.065408824	-0.0346748527	0.0393221037	0.0316649279	-0.0614540474	-0.0111379636	-0.0673624458	0.0434756973	0.0283036178	0.0334138772	0.0260400338	-0.0804841714	-0.0420097582	0.030247372	0.0010452515	-0.0947590581	0.0109564343	-0.0882532287	0.1231756823	-0.020280045	0.0365356258	-0.0524847328	0.0042295872	-0.0052595045	0.0968916601	-0.0218907872	0.0817039176	-0.0639977791	0.0343852915	-0.1178100754	0.0152196438	-0.0846469591	0.0271479998	-0.0645105851	-0.0137174157	0.1067126163	-0.055041346	0.0853602092	-0.0145098534	0.0528988462	-0.0092891938	0.0365331453	-0.0920019068	0.0223592895	-0.0337409888	0.0188842066	-0.041551654	0.0380445536	-0.0085182891	0.0288443334	-0.0071930672	0.1467255732	-0.0056042205	0.0189560118	-0.0534307148	0.0016450008	0.0336934219	-0.0365821865	-0.0569936328	0.0285199622	0.0177871569	-0.1169695246	-0.0201581601	0.0408354673	-0.0634730649	-0.0590684969	0.0593612317	0.0128110603	-0.0444821048	-0.0224706858	-0.0057509536	0.0572826672	-0.088067745	-0.0516658579	-0.0339024172	0.0900756102	0.0073026509	-0.1070063169	-0.0218772783	-0.0179095102	-0.0918192088	0.0449450277	0.055385977	-0.0304635085	-0.0557797049	0.0281147787	0.0618556829	0.0078483152	-0.0972193782	-0.0537471063	0.0568074123	0.0028441494	0.0362972701	-0.0445119635	-0.1530546629	0.1467989575	-0.0504743883	0.01412479	-0.0221440076	0.1004413547	-0.0694813766	0.1131561968	-0.0300448795	0.1020033887	-0.0539859455	0.0493577377	-0.0574554152	0.0179134045	-0.0844446188	0.0029189556	0.1016797286	0.0153280217	-0.0531209375	0.0497492419	-0.0776383128	0.0592590326	-0.0823005576	0.0903489333	0.0903433624	0.0903340779	0.0903210801	0.0596273	n/a	n/a	0.00355541490529	-0.0829043	n/a	n/a	0.00687312295849	-0.168062	n/a	0.0282448358439999	n/a	6.47056e-05	n/a	4.18681467136e-09	n/a	-0.00107069	n/a	n/a	1.1463770761e-06	0.000872626	n/a	n/a	7.614761358760001e-07	0.0	0.0	0.0	0.0
522.1028135978972	-0.9943030922069056	0.9886386391722142	272591.3479668406	521.4163364508213	-5.148665821293662	26.508759739357536	271874.99591779604	434.24367082246295	-0.4206647094831623	0.1769587978045534	188567.56564936755	433.0853312425705	501.4879499535698	1.235603	30.043009	0.05787903	0.0296135	-0.0338717504	-0.0220830165	0.003055288	-0.032827319	-0.0478843662	-0.0897041416	0.0704690782	-0.0870682042	-0.0082021912	-0.0749161509	0.0081720613	-0.0755031841	0.1444019674	-0.1347838487	0.2128032701	-0.098116472	0.1569750443	-0.0833783571	-0.0524301416	0.0129882867	-0.0402462534	0.1336462186	-0.0326573741	0.1403585241	-0.076070722	0.0282948994	-0.0959699101	0.1029139968	-0.0923417234	-0.1644185719	-0.0357387421	-0.0842419314	-0.0832055561	0.1487965543	-0.0846433539	0.0421949134	0.0296381702	0.0649238274	-0.0255969295	-0.0160337214	-0.0839159537	0.0056732514	-0.1419563862	-0.043119168	0.0007110174	0.0038484525	-0.0184499149	-0.0153057874	0.0344776296	0.0616277493	0.027326118	-0.0333124408	-0.0266326444	0.0676386796	0.0618518232	0.0850280862	-0.0065276956	-0.0328871507	0.0614220407	0.016233644	-0.039076787	-0.0321516824	-0.0267529612	-0.0113973609	0.0381309747	-0.0224779966	0.0634936813	-0.0763818496	0.0160269883	-0.0028508701	0.0020222679	-0.1217640504	-0.0896730766	-0.0663795956	-0.0520356833	0.0389234497	-0.0147728526	0.128888655	0.0403896128	0.0131678464	-0.0063983176	-0.0026928254	0.0552930489	0.0599319448	0.0870487423	-0.048987834	0.0247557147	-0.1000106843	-0.0308780323	0.075749491	-0.0269450502	0.0599561771	0.0337841842	-0.0476133765	0.056972252	-0.060503091	0.021491215	0.0902013378	-0.0061029111	-0.0354682782	0.0239484511	-0.1071596589	0.0836064155	-0.0279530584	0.1489309513	-0.0373343298	0.0591338503	-0.0574509654	0.1487039905	0.0762860679	-0.0399821936	-0.164027188	-0.0349568369	-0.0668451664	-0.0899844891	-0.1691868775	0.0523780731	-0.0187453892	0.0831595216	-0.0241610345	0.0015739869	0.0418381371	-0.0731864809	0.1369525175	0.0664539757	-0.0349121105	-0.014567411	0.0240100165	-0.0036867425	0.0173199835	-0.0468248522	0.0251457722	0.0237170667	0.0430928689	-0.0725262212	0.0218463911	-0.0893607636	0.0258185455	0.0211883453	-0.0360744481	-0.0050391544	0.0365554092	0.0413705721	0.0330478259	0.0101964283	-0.055637472	-0.031969519	-0.0811116079	0.0646524217	-0.0266658928	0.0464672419	-0.070123393	0.0730651187	-0.0543731614	0.028603267	-0.1021061283	-0.0089146118	0.0057044743	0.045626633	-0.1261733817	-0.0484910017	0.0465158638	0.0094046744	0.0187929875	0.0124775188	-0.1045633658	0.0772798513	-0.0618220443	0.0809623379	0.0009717766	-0.0026477368	0.052552656	-0.0893728865	-0.0284809358	0.0010627575	-0.0323831482	-0.0428278627	0.0087454499	-0.0502428881	-0.0427935002	-0.1614676816	0.1164963567	0.0362931981	0.0307078739	0.0026465181	0.1514079479	-0.0318758293	0.0805266784	-0.0482983362	-0.1076142523	-0.0962614773	-0.1082568695	-0.0497404364	-0.09058379	-0.0922363182	0.0170550667	0.0643665234	-0.0433932797	0.112994795	-0.0156869795	-0.137267466	0.0342666042	-0.0753045433	0.0903340779	0.0902839469	0.0902004158	0.0900835156	0.0543158	-0.0053115	2.821203225000004e-05	0.0029502061296399	-0.0939031	-0.0109988	0.00012097360144	0.00881779218961	-0.163075	0.0049869999999999	0.0265934556249999	2.4870168999999915e-05	-1.05879e-22	-6.47056e-05	1.1210362640999999e-44	4.18681467136e-09	-0.00144665	-0.00037596	1.4134592160000005e-07	2.0927962225000003e-06	0.000581657	-0.000290969	8.466295896100004e-08	3.38324865649e-07	0.0	0.0	0.0	0.0
522.4431159506432	0.3403023527459936	0.1158056912844586	272946.80940421723	513.9884877402402	-7.427848710581088	55.17293646728113	264184.16552949906	434.82519513651226	0.581524314049318	0.3381705278305298	189072.950325506	433.49185164057593	499.3405837400813	1.12208	27.282763	0.08947335	0.0507909	-0.005367416	0.0201071201	0.0045772413	-0.0086158477	0.1512187804	0.0515800637	0.0424004963	-0.0052228318	0.0075685956	-0.0323530883	0.164842482	-0.0500627598	0.0025601865	-0.0728206705	0.0916095424	-0.08236697	-0.0528740272	-0.0389578532	0.0375437878	0.0616942282	-0.0427662702	0.0571879597	-0.0464287567	0.1325901303	-0.0096479104	-0.0390646726	-0.096685483	0.02764491	-0.0196499139	0.0960876646	-0.0842754975	0.0393616215	-0.0826370332	0.04209559	-0.0820808833	0.0532561078	0.0626964664	0.0281991031	-0.0613900624	0.0420706489	-0.0016342603	-0.0222040558	-0.0558115122	-0.081806926	0.1187998253	-0.0257433607	-0.0134188438	0.0021215099	0.0180774477	-0.0036992497	0.1137633737	-0.0007235778	0.0267738824	0.0223649419	0.123379276	0.0614312021	-0.0374115964	0.0901544263	-0.0067442098	0.1055951219	0.0231225139	0.1167262519	0.0534514557	-0.0392004183	0.0105929643	-0.043168922	0.0336602169	0.0698582995	0.0810747563	-0.0382041731	-0.0778205446	0.1096334108	-0.0679952613	-0.1089026871	0.0530810341	-0.0356213427	0.0646077008	0.191267732	0.0455256125	-0.0080574061	-0.0137541594	0.0326511798	0.0862181248	-0.0424255431	0.0055932531	0.0172418927	0.0235094144	0.1120584848	-0.0567851232	-0.0005287301	0.0079823735	0.0606311863	0.0375029589	0.0192398658	0.0214533329	0.0070976717	-0.0699220359	-0.0404883121	0.0639121806	0.040248268	-0.0409200824	-0.0739439303	0.0155844353	-0.0408936413	0.1524492831	0.0003894533	-0.0372549951	-0.0654627667	-0.025860367	-0.0745021631	0.062605917	-0.0517016206	0.1095686786	-0.0726863885	-0.0090685001	-0.0697730232	0.0866073593	0.0452899011	0.0727451672	-0.0392645185	-0.033177271	0.0044216698	-0.0459662573	0.0001835938	0.0667939248	-0.1333894786	-0.0406359168	-0.0114762159	-0.0539771551	0.0009586066	0.0010985677	-0.0548776187	0.0777833989	0.0052325753	-0.0373786603	0.0164404023	-0.1451256129	-0.0088231134	-0.0060189639	-0.0450502547	-0.0518713524	-0.1012553633	-0.1186790198	0.0253671886	-0.0453171429	0.0519585763	-0.0118610505	-0.0235999218	-0.0959437029	0.0335317541	0.075820844	0.0768266334	-0.0650720481	-0.0080392917	-0.1192483962	-0.055313795	0.0711834162	-0.0155697905	0.0835448064	-0.1517591553	-0.0396329653	0.0226290349	-0.0439051775	0.0997809225	-0.0254401074	-0.0703143382	-0.0195338572	0.0198490282	-0.1250784686	-0.0122413597	0.012852142	0.0411819471	-0.077936134	0.04582404	0.0414650832	-0.0150239588	-0.0192898584	-0.0092980432	0.0307029202	-0.0378504995	-0.1334402836	0.1191796555	-0.0341045656	-0.0209241678	-0.0501904953	0.0674109931	-0.0368298841	0.1129518602	-0.0086789343	0.1314816612	-0.0664314642	0.0073092599	-0.1019948749	0.0417554016	-0.0802261617	-0.0108655187	0.062944479	0.0081808909	0.0072940684	0.0225683891	-0.0529162077	0.0673801283	-0.1094086226	0.0903043695	0.0901651549	0.0899332895	0.0896090116	0.0461836	-0.0081322	6.613267683999999e-05	0.0021329249089599	-0.0493784	0.0445247	0.00198244891009	0.00243822638656	-0.143721	0.019354	0.0206557258409999	0.000374577316	5.293960000000001e-23	1.588186e-22	2.802601248160001e-45	2.5223347705960003e-44	-0.00139764	4.901000000000016e-05	2.4019801000000153e-09	1.9533975696e-06	0.000281418	-0.0003002389999999	9.014345712099997e-08	7.919609072400002e-08	0.0	0.0	0.0	0.0
522.2423992142177	-0.2007167364255337	0.0402872082813172	272737.1235370224	514.0968165087277	0.1083287684874676	0.0117351220820113	264295.5367444084	435.3825823406234	0.5573872041111372	0.3106804953068305	189557.99300558973	434.0631747654962	505.66424836999215	1.177419	28.628298	0.0552645	0.0420712	0.0008899739	-0.0128761671	0.0444617372	-0.0231164985	-0.0110966176	-0.1598792106	0.0352337984	-0.0605901516	0.0249931905	-0.0443072491	-0.0746534371	-0.0730648178	0.1693928912	-0.0781817369	0.1265746457	0.0495884912	0.0431541232	-0.0095660539	0.0625888015	0.018166045	0.0009120507	0.0917035315	-0.074531224	0.0735309595	-0.04992463	0.0496375577	0.0627076308	0.113510355	-0.0027929246	-0.0798711458	-0.0587018041	-0.041802033	-0.0197297624	0.1981904551	-0.0845505784	0.0496855865	-0.0865622452	-0.1387094891	-0.0767587897	0.0603922092	-0.0099215499	-0.0663754758	-0.0699185369	-0.0031879872	0.0150799067	0.0938174755	-0.0506657549	0.0270162605	-0.1023302476	-0.0182675977	-0.0105235555	-0.0355870844	0.000885288	0.0101011787	-0.0332150281	0.0280081499	-0.0529149707	-0.0505954211	0.0224884498	-0.0703161048	0.0284698979	-0.0248025749	-0.1055204333	-0.0734695452	-0.1742313381	-0.0088916328	0.0332596794	0.0167865341	0.0470605924	0.0070474132	0.0373278241	-0.021863595	-0.0177385135	-0.0029657913	0.0887365521	0.0559496961	0.0083346272	-0.0571503353	0.0019031115	-0.0992958614	0.0558181403	-0.028245795	-0.0285698748	0.0226839112	-0.0513078022	-0.0126471489	-0.0301664679	-0.0488999803	0.2007623913	-0.0204599674	0.0500952176	-0.0279284852	0.0513022354	0.0149181188	-0.0154887426	-0.0543547694	-8.99093e-05	-0.0678068201	-0.0212247914	0.0702125844	-0.0076939729	-0.050500787	0.0695802453	-0.065959156	0.0677201009	-0.0316892488	0.0945740337	0.0621236605	0.1018996617	-0.0371503147	-0.0514925285	-0.0742871394	0.0093940966	-0.0180554388	-0.1241638251	-0.1717526382	0.0667181055	0.0129123742	-0.1489869316	-0.0726334084	-0.0878223746	0.0403164096	-0.0681079587	-0.0050446465	0.0328985934	0.0328265991	-0.1036867119	-0.0178104795	-0.0698506791	-0.0878894823	0.0340949848	0.0047867933	-0.0212464587	-0.0400033244	-0.0247684827	-0.0084523673	0.0147572491	0.0512553184	0.0069696229	0.0708714498	0.0685291539	0.0447543337	0.1017221912	0.0708829321	-0.0272217719	0.0782991194	0.1439423889	-0.0065899812	0.0382383446	0.0542778522	0.042169996	-0.0404570661	0.0441821372	0.0430986293	-0.0634822029	0.0108556099	-0.0428268645	0.006159083	-0.0166435401	0.0250095116	0.0012919062	-0.1159014209	0.0026835655	-0.0159081441	0.0944236291	0.0379941863	0.024446682	0.0321415791	0.0017173917	0.1137856759	-0.0735054837	-0.1083729698	0.0551911184	0.0007901945	0.0009502876	-0.0029727481	-0.0453876583	0.0828074172	0.0515949698	-0.0348008328	-0.1144802914	0.0906417117	0.0077988746	0.0273877191	0.0261648305	0.1357083441	-0.0647943582	0.0617507162	-0.11743638	-0.1297101178	-0.1307908749	-0.0520128489	0.0399165819	-0.04646362	-0.0746782857	-0.0241671355	0.0648187505	-0.0452129201	0.1234305636	-0.118466042	-0.1107183601	0.0388423878	-0.0581455498	0.0902598131	0.0899870646	0.0895330941	0.0888988159	0.0418919	-0.0042916999999999	1.841868888999996e-05	0.00175493128561	-0.0906947	-0.0413163	0.00170703664569	0.00822552860809	-0.148461	-0.00474	0.022040668521	2.2467600000000208e-05	5.293960000000001e-23	0.0	2.802601248160001e-45	0.0	-0.00129931	9.833e-05	9.668788899999998e-09	1.6882064760999998e-06	0.000281418	0.0	0.0	7.919609072400002e-08	0.0	0.0	0.0	0.0
521.0640049558507	-1.1783942583670068	1.388613028152328	271507.6972606308	513.5113868055024	-0.5854297032252589	0.3427279374184147	263693.9443789103	435.2990502606392	-0.0835320799841952	0.0069776083864859	189485.2631578145	433.9881122217063	500.0651247149608	1.221443	29.698696	0.07422395	0.0440364	0.0081473208	0.0180897568	0.0102391915	-0.0131932851	0.0736097176	0.1647768935	0.006823743	0.0165412554	0.0443287782	-0.0604872842	0.0874654009	0.0446240463	-0.1275496257	0.052045743	0.1848673915	0.0313955439	-0.0584423816	-0.0376620938	0.0703000497	0.0232904879	0.0412662535	0.0727315242	-0.0556849019	0.1164473933	-0.0207178471	0.088043028	-0.1330317069	-0.0496911605	-0.0550118116	0.0651761393	-0.0247446989	-0.025574935	-0.1662315793	0.067532962	-0.0684782471	0.0647875068	-0.041796721	-0.0467877763	-0.0642670774	0.043157358	-0.0338769034	0.0191710647	-0.0367215116	-0.0667899106	0.1006434304	-0.1157036044	0.0461335386	-0.1502045279	0.0455254267	0.0122650288	0.0960969531	0.0189822618	0.0770340209	0.0304050828	-0.041214892	-0.0548143697	-0.0700564789	-0.1704950369	-0.0505176546	0.1062066075	-0.0123952022	0.0339979424	-0.0652182261	-0.0447859312	0.039629917	-0.0656330193	-0.0402062321	0.013527943	-0.0456729962	-0.004685865	0.0123002875	0.03401573	0.1536157427	0.0091631339	-0.0364821618	0.1258920193	-0.0500606652	-0.1158818842	-0.0151912663	-0.0552057754	0.049179678	-0.0890103469	-0.0914600364	-0.0896401979	0.0216828586	0.0656623486	-0.0303169997	-0.0222936832	-0.0249214225	-0.0213481843	0.0332829971	-0.0724421088	0.0633192023	-0.0658235446	-0.0065904314	-0.0315753917	-0.0418146997	0.0655386003	0.0297805215	0.0669337345	-0.0250435603	0.0001742237	0.0798097269	-0.0507458864	0.1163266145	0.0090068515	0.0788744981	-0.1196011014	-0.0790769553	0.0161801364	0.0466314986	-0.0508343766	0.0377520091	-0.1773386643	-0.046164313	-0.0806893993	0.0821384374	-0.0261967569	-0.0254943629	-0.0444040646	-0.0807759062	-0.037567508	-0.0018016054	0.0048692157	0.0632194578	-0.1593187527	0.0060241759	0.090786849	0.1229806331	0.0044350335	0.016954313	-0.0609316192	0.0776236068	-0.0835022828	-0.0353294628	0.0023038735	-0.0023037278	0.0402981654	0.2075182377	0.0616696813	-0.0463066824	-0.0395377752	-0.0492171825	0.0979818018	0.0391121913	-0.0780799355	0.0295142454	0.0358045076	0.0047607201	0.0139355088	-0.0776543071	0.0095417285	-0.0439040478	0.0963889002	0.0876096041	-0.0168390093	-0.1097166853	0.067172791	-0.1415558944	-0.0009886461	0.0229991042	-0.0963800062	-0.0363936743	-0.0772674834	0.0083500084	0.0857013635	-0.0818106146	0.0311402762	0.0609377332	-0.0429001154	0.0097614596	-0.0283563929	0.0100786599	-0.0368711336	0.1115113794	0.0412794427	-0.0466052002	0.0006314224	0.0106555596	-0.0377775957	-0.1236894647	0.1070207795	-0.0221425539	-0.0183930718	-0.0478586899	0.1184599077	-0.009628887	0.0802736963	-0.0360579778	0.1353790717	-0.0339987073	-0.1310031923	-0.0470910292	0.0839387491	0.0049584126	-0.0804303802	0.1099291082	0.0428841859	0.0389161714	-0.0889916923	-0.0767856593	0.1048751139	0.0103972039	0.0902004158	0.089749793	0.0890004218	0.0879547967	0.0484783	0.0065863999999999	4.338066495999999e-05	0.00235014557089	-0.054979	0.0357157	0.00127561122649	0.003022690441	-0.129835	0.018626	0.016857127225	0.000346927876	-0.000174545	-0.000174545	3.0465957025e-08	3.0465957025e-08	-0.0013129	-1.3590000000000171e-05	1.8468810000000468e-10	1.7237064100000005e-06	0.0003592	7.778199999999998e-05	6.050039523999997e-09	1.2902464e-07	0.0	0.0	0.0	0.0
520.2993673018234	-0.7646376540272968	0.584670741956368	270711.4316146777	510.3599120394953	-3.151474766007084	9.931793200779405	260467.2398169614	435.294047329987	-0.0050029306522105	2.5029315110828175e-05	189480.90764092092	434.01688135912747	496.0334293129352	1.216039	29.567307	0.0837566	0.0404583	0.0261040746	-0.0173365557	-0.0225276487	-0.0349661211	0.0502543105	-0.1054945524	-0.0273041133	-0.0412770845	-0.0018424793	-0.0791070795	-0.0796300442	-0.1580326801	0.0026503002	0.0310736266	-0.0155873546	0.1197040339	-0.0532233331	-0.0395820074	0.0813495331	0.0032005136	0.0138762086	0.100415362	-0.06123912	0.06637864	-0.0747741596	0.1520274232	0.0239652478	0.0855838837	-0.0340594754	0.076034491	-0.00177729	0.0891882092	-0.0871251368	-0.0361319029	0.0334812717	0.0074077294	0.0811193734	-0.0081451795	-0.1673329923	0.0510163191	-0.0164126026	0.0411226368	0.0725811844	0.02812395	-0.0421008962	-0.065557423	-0.0813933863	0.0541279997	0.0024589639	0.0472476132	-0.0551595277	0.0686583144	0.1036678912	-0.0078477994	-0.1056934763	-0.08310107	0.0750145227	0.0521304981	0.0155889938	0.03449286	-0.0327450211	0.0778799948	0.0742646442	0.0285752478	0.0206787567	0.0937990251	-0.1173981327	-0.0372002229	-0.0252237369	-0.1315150113	0.0306637532	0.0439541411	-0.1092217398	0.0715234052	0.0570165311	-0.0459917045	-0.0401298347	-0.1240192145	0.0635491692	0.0215118116	-0.0157136417	0.0190026521	-0.0390201985	0.0351648198	0.0351312592	-0.1025728358	0.0205471547	-0.0677561826	0.0187286611	-0.0545917893	0.0713100384	-0.0344904448	-0.0009144866	0.0334394004	-0.0934462895	-0.0452930792	-0.0343102489	0.0358274774	-0.0396013705	0.0921669018	0.0016823122	-0.0386872096	0.0831401762	-0.0575375246	0.0489928946	-0.0345996677	0.1760866109	-0.015122099	0.0679838041	-0.0706834651	0.0736668656	0.0224178003	0.0740887192	-0.0769514633	0.0278264633	0.071098699	0.0147516774	0.0699532769	0.0380736424	-0.1201464382	-0.0986110899	-0.0518853695	0.0093534291	-0.0383936695	-0.0327575123	0.0073122137	0.070793103	0.0780353217	-0.044191773	0.0554843153	-0.0666256877	0.0323286257	-0.0611161097	-0.1053825783	0.0882715526	0.0799653189	0.1304680522	-0.02881859	-0.0335343569	-0.0264641345	-0.0394534397	-0.0289068715	-0.0340946929	0.0378736021	0.009778211	0.0704544354	-0.1130871469	0.083145078	-0.0387417069	-0.1821925783	-0.0207615908	0.0398827165	0.0620588817	-0.0537315783	-0.0648931789	0.092463331	0.0550195472	0.0220429775	-0.0770509301	0.0572764743	-0.0376420452	-0.0237512822	0.025280734	-0.0078003674	-0.0417683269	0.0321938756	0.0995038425	-0.0578890893	0.0490704138	-0.0277362469	-0.0051409403	-0.0807194715	0.0770086335	0.007945282	0.0047318916	0.0656064713	-0.0549690398	0.018789052	0.0029583297	-0.0167089408	-0.0618379361	0.073965457	-0.0111853188	0.0228397382	-0.0194985352	0.1242211203	-0.0742340969	0.0230667574	-0.0915614991	-0.0899454906	-0.0441737255	0.0740146662	0.0659904727	0.0554944965	-0.0871216291	-0.0935071411	0.0945814458	0.0125956634	-0.0195518927	-0.0454799145	-0.0109143759	-0.0391359956	-0.0196544202	0.0901261876	0.0894534963	0.0883360609	0.0867794369	0.0412282	-0.0072501	5.2563950010000034e-05	0.00169976447524	-0.0802535999999999	-0.0252745999999998	0.0006388054051599	0.0064406403129599	-0.103483	0.026352	0.010708731289	0.000694427904	-0.000244795	-7.025000000000003e-05	5.992459202500001e-08	4.935062500000003e-09	-0.000963334	0.000349566	1.2219638835600006e-07	9.28012395556e-07	0.000281418	-7.778199999999998e-05	6.050039523999997e-09	7.919609072400002e-08	0.0	0.0	0.0	0.0
