global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	c_comp_cor_42	c_comp_cor_43	c_comp_cor_44	c_comp_cor_45	c_comp_cor_46	c_comp_cor_47	c_comp_cor_48	c_comp_cor_49	c_comp_cor_50	c_comp_cor_51	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
469.70226732362096	n/a	220620.21992895028	n/a	625.2882614497897	n/a	390985.4099069006	n/a	394.6937986570545	n/a	155783.1946983355	n/a	428.7118192021932	520.6907720146952	n/a	n/a	n/a	n/a	-0.0450260467	0.0569030395	-0.0411985578	0.0421053262	-0.0026705165	0.0663328172	0.6464023523	-0.2000285794	0.0254413019	-0.3414665004	0.2238227259	-0.057788609	0.0340915486	-0.1336448909	0.0698281095	-0.0767190294	0.0182161209	-0.0767342464	0.2265671438	-0.0112068594	0.0699807513	-0.0303915923	0.0579103969	-0.0148020685	0.0412275881	-0.0027138072	0.0800958844	-0.0180596603	0.0144894334	-0.0446467529	0.0353699397	-0.041998491	0.0253991337	-0.0459434025	0.0471606632	-0.0545141472	0.0823492623	-0.0028924449	0.0445338651	-0.0413838559	0.0082749163	-0.0811402178	0.0284419815	-0.0336723815	0.0144595255	-0.018399589	0.016758847	-0.0212804924	0.0604740179	0.0338069573	-0.015696601	0.040789135	-0.0569701716	0.0308784712	-0.0242063185	0.0348376554	0.044589012	-0.0013941393	0.0400721728	-0.0342841734	0.0542004913	-0.0792729726	0.0037342449	-0.0656240329	0.0730514992	-0.0280783815	0.0611886141	-0.0396666835	0.0246206442	-0.0693500835	0.0057815326	-0.0408166049	0.0970352164	-0.0046521159	0.04002065	-0.025642191	0.0321601557	-0.0298065004	0.0208836128	-0.0663006452	0.0183084181	-0.0121454961	0.0763956039	-0.0672965155	0.0231366983	-0.0960982075	0.0159300981	-0.0619318904	0.096668079	-0.0022314891	0.0373516852	-0.0668465838	0.0351996122	-0.1037051178	0.043230382	-0.0729674568	0.0210081487	-0.0030172163	-0.0131166259	0.0448377128	-0.0604067367	0.0158148691	0.0508314357	-0.0031698203	-0.0090166678	0.0137033938	0.0570074019	-0.0723361186	0.0504789753	0.0133549943	0.06130556	-0.0710268964	0.0472278335	0.0236671712	-0.0754665967	-0.0136272117	-0.090858116	0.0994652991	0.0483088778	-0.0028937177	-0.040565858	0.094987037	-0.0139373881	-0.003314379	-0.022521383	-0.0930242927	0.025177665	0.0708213443	0.0173286714	-0.0902421972	-0.0835403867	0.0055657042	0.0604362129	0.0506432872	-0.0410827355	0.0572232268	-0.0490186948	0.2193671981	-0.1388502502	0.104364969	-0.0141939212	0.2780600275	-0.3117640988	0.4300714394	-0.1553368959	0.1298069699	0.2191622891	-0.0547753151	0.0163773711	-0.0833458926	0.0590915156	-0.0469237764	0.1097034572	-0.0345247483	0.0481598312	-0.0540801115	0.0590232137	-0.0134259642	0.0420238668	-0.0084351809	0.0154343147	-0.0578293204	0.0234012754	-0.0592492621	0.0755868468	-0.0823256523	0.0137961245	-0.0859632924	0.0220567397	-0.0090241962	0.0401955099	-0.0460905958	0.0096829314	-0.0763552461	0.0834442396	-0.0244839409	0.0508510332	0.0226715155	-0.040285094	0.0366248793	0.0021750088	0.0165065763	-0.0558646691	0.0594279685	0.0275980356	-0.0057600796	-0.0154600135	0.0110199362	0.0205977606	-0.0371160293	-0.0451521915	0.0851476601	-0.0241441299	-0.0238253705	-0.0264050425	0.0613691243	0.0543134894	-0.0067813056	-0.0212874405	-0.0269624813	0.0162880908	0.0459651044	-0.0219249718	-0.0333783856	0.0440406256	0.0059191113	0.0049270309	0.0479038872	-0.0110246036	-0.0806732769	0.0848785384	0.0131063938	0.0285095307	0.0019763499	-0.0570809634	0.0011321889	-0.0597511312	0.0439707044	-0.0092675252	0.0915309	-0.0241779305	0.0761283851	-0.0291362349	0.0143861303	-0.0257705826	0.0212363091	-0.1099925724	0.0023830304	-0.0703493207	0.0329854198	-0.0204495092	0.0510194585	-0.0024127889	0.0731257465	-0.0669478329	0.0046516941	-0.0983380604	0.0903489333	0.0903433624	0.0903340779	0.0903210801	0.0202484	n/a	0.00040999770256	n/a	-0.0512613	n/a	n/a	0.00262772087769	-0.0269477	n/a	0.00072617853529	n/a	-1.3234900000000002e-23	n/a	1.7516257801000006e-46	n/a	-0.000167705	n/a	n/a	2.8124967025000004e-08	0.000370338	n/a	1.37150234244e-07	n/a	0.0	0.0	0.0	0.0
468.6020563458303	-1.1002109777906526	219587.8872115407	1.2104641956510638	614.6837859903925	-10.604475459397236	377836.1567594826	112.4548997689582	395.0476538201405	0.3538551630859956	156062.64878879758	0.1252134764426165	427.63218801223496	514.2057902383375	1.05258	25.947567	0.1039436679	0.0645311	0.0693158615	-0.0338772089	-0.0842640748	0.0348732946	-0.0419038295	0.07818494	0.320217273	-0.0125016786	0.043094876	-0.107188984	0.1941126315	-0.0792420616	-0.0994484352	0.0226463503	-0.0872811543	0.073347899	0.053607138	0.179871296	-0.0674124663	-0.0139850995	-0.1008098177	0.0690599284	-0.0707213004	0.1510225543	0.0846124543	-0.0662303051	-0.1650992077	0.0216549894	0.1075140424	0.0055760233	-0.0920046464	0.0181065177	-0.0788481427	0.046348073	-0.1051572348	0.0703109924	-0.1043805302	-0.1213278267	-0.0796894857	0.0826450071	-0.0494307462	0.1597656166	-0.128163515	0.080908967	0.0219332789	0.0470065511	-0.0163718365	0.0741619474	-0.0709316277	-0.1036761215	-0.0320922146	-0.0323890994	0.0700673251	-0.0644829921	0.0523677065	-0.0615717291	-0.0338527991	0.0078002684	-0.0606084673	-0.1403927017	-0.0199048282	-0.1111170046	0.0780484633	-0.0194073881	-0.0093119878	0.0510287358	-0.1151673359	-0.0088374942	0.0661843923	-0.0448117367	0.0272904796	-0.0523081085	-0.0013149961	-0.0231560186	-0.0248118529	0.0068779014	0.0331734445	0.0994103049	0.076394476	-0.0535010345	-0.0107818435	-0.0561799058	0.0371408145	-0.053594472	0.0899324024	-0.0911663332	0.0615618513	0.1087371066	-0.1096363009	-0.0275533448	-0.0321782543	-0.0622223305	-0.0530485013	-0.0344329405	-0.050712075	0.0229471015	0.0005855933	0.114028966	0.0058458038	-0.0172248932	-0.0500008995	0.0498898675	-0.1075281113	0.0034489905	-0.0980187737	-0.0658491518	-0.0719826646	-0.011092028	0.1154481208	-0.077533671	-0.0265860477	0.0654311027	0.0590902317	0.0274900458	0.0477733077	-0.0357405404	-0.0597991124	0.0554234126	-0.0234776795	0.0575373374	0.0433183603	0.054006444	-0.0209955733	0.0330351541	0.0665348787	0.053577219	0.0146852365	-0.0515059969	0.0330610464	0.055837812	0.0165932198	0.0011901414	0.0576869366	0.1542822652	-0.0799734112	-0.0307514452	-0.1588157293	0.1575262632	-0.1391034734	0.0983204856	-0.0232133617	0.0826639406	-0.156285902	0.2657769162	0.0633817398	-0.004135524	0.0465850539	0.1011567124	0.0568495892	-0.0337468179	0.0194242988	0.0585359182	0.0381702791	0.0097270032	0.0709323574	9.5815e-06	-0.0705289424	0.1365416118	-0.0138332814	-0.0207985418	0.0239286352	0.0320686464	-0.0063176424	-0.0056640302	-0.0726895307	0.0082268466	-0.0128321161	0.1524935489	0.0348140372	-0.0559964844	-0.0217386113	0.0920067836	0.0360498175	0.0213662402	-0.0510993944	0.072705689	0.0387389319	0.0432243339	0.1125397689	0.0521494031	-0.010587621	-0.0034291544	-0.1183780962	-0.067517411	-0.1027275025	0.0128752139	0.0298827381	-0.0520252101	-0.0270634278	0.0228431758	0.0552900793	-0.0125144155	-0.0377677038	0.0195142467	-0.0380068212	-0.0416695902	-0.0437587743	0.0835045246	0.0242749538	-0.010368221	-0.0308511382	-0.0031365166	0.113349123	0.0594517795	0.0322347234	-0.025628718	-0.1136656109	-0.0298387415	-0.0412069084	0.1538994585	-0.0896278626	0.0957074605	-0.0122161131	-0.0754221343	0.0720579297	-0.0124278771	-0.0792080657	0.1095538779	-0.048727781	0.0486356597	-0.0685919061	-0.0147754108	-0.0264808148	-0.0485976141	-0.0429021843	0.1248967121	-0.0052480802	0.0036620705	-0.0552084764	-0.1057754311	-0.0893586021	-0.0867327008	0.1247284448	0.0532312539	-0.0892886375	-0.1391262224	-0.0848691042	0.0903340779	0.0902839469	0.0902004158	0.0900835156	0.0186139	-0.0016345	0.0003464772732099	2.6715902500000017e-06	-0.10956	-0.0582987	0.00339873842169	0.0120033936	-7.60821e-05	0.0268716179	5.78848594041e-09	0.0007220838485636	-0.000242072	-0.000242072	5.8598853184e-08	5.8598853184e-08	-0.000182822	-1.5116999999999984e-05	2.2852368899999952e-10	3.3423883684e-08	0.000455926	8.5588e-05	2.07868517476e-07	7.325305743999999e-09	0.0	0.0	0.0	0.0
467.6212135752299	-0.980842770600418	218669.5993855708	0.9620525406391044	608.5216483949106	-6.162137595481909	370298.5965652592	37.97193974565156	394.3533664507694	-0.6942873693711249	155514.5776310548	0.4820349512682768	425.9676110045529	510.6424931405901	1.019178	25.124178	0.1562739179	0.135553	-0.0691770634	0.0165583085	-0.0979950714	0.0014688477	-0.0631487629	0.0262037927	0.1364118903	-0.0996897613	-0.070028245	0.0331732204	-0.0202638785	-0.007470913	0.0286014011	0.0889179341	0.1186173467	-0.0034509693	-0.0132829681	0.0768502859	0.0571986966	0.0081358583	-0.0356674293	-0.0117891644	-0.0074984631	-0.0338375278	-0.0433413207	0.0173365119	-0.0558418916	0.0148902957	-0.0038177772	0.0606205422	-0.0603613598	-0.0408303973	-0.0495385426	-0.0348671642	0.0596588158	0.0460714155	0.0177073565	0.1755463542	0.0699626839	0.0143007822	0.0023484056	-0.0642229213	0.0017708757	0.0069688354	-0.0207184401	-0.0496712797	0.0022342494	-0.0095288527	-0.0617134628	-0.0071390332	0.0745569217	0.0576823556	-0.0805152297	-0.0841571113	0.0555539331	0.0505672217	-0.1014954636	-0.0551170987	0.0143548786	-0.0909286444	0.077611253	-0.0236060081	-0.064221698	-0.0310148053	-0.05720666	0.0190321033	-0.0647825747	-0.003330373	0.0010546996	0.0297274375	0.0571377484	0.0597924621	0.0658085341	-0.0862416014	-0.0379735888	0.0508326613	-0.0033247634	0.0921095228	0.0545584907	0.1003324723	0.0718786449	0.0218001449	0.0698366806	-0.0625952734	-0.0709075558	0.0367326024	-0.0641900182	0.0159442382	-0.0235936013	0.0881395206	-0.0470158441	0.1004029027	-0.0145340225	-0.0448907063	-0.0079639209	0.0177941123	0.0048980486	0.0383622067	0.109067134	0.0413329899	-0.0101729057	-0.0016138313	0.1172926444	-0.0521269573	-0.0883656956	0.0266298898	0.0445413465	0.104358007	-0.128930004	0.0724902133	0.0793824488	0.0468294977	-0.0925667024	0.033823543	0.0013512803	-0.1141374514	-0.0303976142	-0.0735602071	0.1328043523	-0.0345189619	-0.0306650745	0.0072757004	0.0415817936	0.0746938605	0.0431801041	0.0532835634	0.0735119367	0.0553855948	-0.0118434527	0.0346792706	0.1488713571	0.1136017221	0.0202063266	0.0264168747	0.0135388758	9.34927e-05	0.0131764169	0.1341064961	-0.0190700073	-0.0558158606	0.0335662825	-0.0181049069	-0.0584810195	0.0907944361	0.0605658822	-0.0198848112	-0.0195351408	-0.0413084711	-0.0503278157	-0.0511346673	-0.0086179485	0.0662669837	-0.0717009356	0.050910243	0.0274107829	-0.0133197101	-0.0270271061	0.0159374697	-0.0331051069	0.0226679076	-0.0737814236	0.0116925993	-0.1320730897	-0.0595119942	-0.0667134467	0.0125585843	0.0097873016	-0.0411107191	-0.1090920935	-0.0238402589	-0.0135074201	0.010732875	-0.0077182821	0.0126841836	-0.0348802368	-0.0778976241	-0.0285133084	-0.0213753626	0.0488102277	-0.0123983274	0.0344375131	0.0468542539	0.1021711747	0.0507922151	-0.0191372004	-0.0349239797	-0.1346830218	-0.1479204145	-0.0757593756	-0.057157239	-0.1125846452	-0.0287704825	0.0804663414	-0.0152701252	0.0667341114	0.0540663426	0.0395796959	-0.00651546	0.1237044485	-0.1003041074	0.1207964328	0.0732800259	0.0387623392	0.0377560936	-0.004976293	-0.0579332469	0.0624326797	0.0251717851	0.0787952594	-0.0408431095	-0.05135031	0.0454361958	0.056265655	0.0607182701	-0.0231331127	-0.0406829559	-0.1050493914	0.0417754744	-0.0091008753	0.0151751474	-0.018900644	-0.0380247165	-0.0229427083	-0.0919360744	0.0146595775	0.0598702167	0.0089266403	-0.0034445627	-0.0316855595	-0.0191183435	-0.0834563499	0.0320357153	0.0229898074	0.0166494028	-0.0720441884	0.0592314653	-0.0931004915	0.0903043695	0.0901651549	0.0899332895	0.0896090116	0.0186176	3.700000000002313e-06	0.00034661502976	1.3690000000017112e-11	0.025977	0.135537	0.018370278369	0.000674804529	-0.0113297	-0.0112536179	0.00012836210209	0.0001266439158392	-0.000111412	0.00013066	1.2412633744e-08	1.70720356e-08	-0.000241754	-5.893200000000001e-05	3.472980624000001e-09	5.8444996516e-08	0.000455926	0.0	2.07868517476e-07	0.0	0.0	0.0	0.0	0.0
467.8343593879138	0.2131458126839334	218868.9878238997	0.0454311374646944	606.4794316076241	-2.04221678728652	367817.30096310674	4.170649406274876	394.5430231438245	0.1896566930550989	155664.1971114684	0.035969661220596	425.8998580010007	508.1268010117986	0.981812	24.203051	0.1702078499999999	0.144053	0.0775249757	0.0203307712	-0.1026127234	-0.0224548669	-0.0327274371	0.0316615439	0.082210004	0.0842760929	-0.0778423757	0.0133049143	-0.0220735452	-0.02167381	0.0134734489	0.1013741446	0.0718131159	0.1104720433	-0.0085652333	0.0485494564	-0.0512347247	0.0160438386	-0.0261235094	0.0322922218	0.0375116925	0.0008987888	0.1112380133	0.0083898862	-0.0950185118	0.123775052	-0.0908452399	-0.0768319021	0.0117415063	-0.0081764416	0.0478452707	0.1330041239	0.0088438469	-0.0904970941	-0.0303297036	-0.0033770017	-0.0455651511	0.1199029943	0.0457513874	-0.1270713938	0.0419432233	0.0216835432	-0.0190514293	0.026933885	0.0465705399	0.0042369959	-0.0542360496	-0.0734117582	0.0463325825	-0.0135671156	0.0482945442	-0.0322196891	0.0647745335	-0.0971581024	-0.0818687097	0.0815555651	0.0253000609	-0.1536199878	-0.0378115313	0.0008654515	0.0378321267	0.0468971753	-0.0612895861	-0.0025247633	0.0112162594	0.0866440178	-0.0754539413	-0.0130028608	-0.0570483961	-0.1220686742	0.0176787745	-0.0242486728	-0.0280788645	-0.0659612573	0.0332333986	0.033931109	0.0763001346	0.0713497452	-0.0436311197	-0.0723166101	0.0360596528	-0.1258366717	0.0273364288	-0.0514116437	0.0706034308	-0.0157740106	0.1133797077	0.073000906	0.0772210289	-0.056815427	-0.0534109069	0.040862256	0.006293171	-0.0670331738	0.0471292165	0.0055696402	0.034639312	0.0751824296	-0.0401417417	-0.0194200209	-0.0532657795	-0.0258346729	-0.049729078	0.1734737404	0.0631242348	0.0360791208	-0.0399896358	-0.1456755319	-0.0595519116	-0.0661684284	-0.1486889511	0.0114670397	-0.015220563	0.0099879266	0.0931864895	0.0381201413	0.0342865683	0.0309791981	-0.0444442477	0.0500020076	-0.1957275277	-0.0124145644	-0.0446710173	-0.0448516121	-0.0854417223	0.0775030762	-0.0311275914	0.0524903968	0.0995702406	-0.0262291552	0.0284508596	-0.0422255145	0.0466082328	0.0378742091	-0.1312449918	0.1005003445	-0.0122441473	-0.012996616	-0.042436855	-0.0847926392	-0.0361400334	0.0110959557	0.009775825	-0.10050794	-0.0016105464	-0.0697698881	0.0698287117	0.0624701031	0.0674946389	-0.0155920874	0.0106592212	-0.0495162414	-0.0344591269	0.0298726045	-0.0797407964	0.026486372	-0.0302723714	0.0401272099	0.0286312175	0.0326700194	0.003261083	0.1402519561	-0.1096495363	-0.0709728419	-0.0099909998	-0.0678719615	-0.0312759465	-0.0234543929	0.0167867881	-0.0402585589	-0.0224766168	-0.0454559164	-0.0516154391	-0.1755767558	0.0433688175	0.0241723269	-0.075961138	0.0568261372	-0.0046432492	0.0005146863	0.1782461508	-0.1227348795	0.0209866008	0.0738147423	0.0359174778	0.0755414099	-0.0198152638	0.0238574138	0.0264991618	-0.0079436501	0.0268316889	0.038912737	0.0561362896	-0.0241227168	0.0060339406	-0.0293796114	0.147032774	0.1210918832	-0.0770636327	-0.0061425086	0.0306183879	-0.0833727443	0.0629816743	-0.0242898999	-0.0110478495	-0.0165176165	-0.003777109	-0.1002068274	-0.0487679179	0.0273873833	-0.0006797325	-0.0955035713	0.0225503368	-0.0617389659	-0.0872026146	0.0732407536	-0.019086297	-0.0116544227	-0.0223982308	-0.0915282072	-0.0565341782	-0.0564726947	0.0576290826	0.0069765049	-0.0053790708	-0.0229129204	0.0532520274	-0.1415238587	0.0379453715	-0.150737076	0.069070617	0.0870720855	-0.0602975799	-0.1645379996	-0.1004819355	0.0902598131	0.0899870646	0.0895330941	0.0888988159	0.0186182	5.999999999999062e-07	0.00034663737124	3.599999999998874e-13	-0.118047	-0.1440239999999999	0.0207429125759999	0.013935094209	0.0023319	0.0136616	5.43775761e-06	0.0001866393145599	-0.000332479	-0.000221067	1.10542285441e-07	4.8870618489e-08	-0.000212388	2.9366000000000017e-05	8.62361956000001e-10	4.5108662544e-08	0.000455926	0.0	2.07868517476e-07	0.0	0.0	0.0	0.0	0.0
467.4608336383708	-0.3735257495430346	218519.63098588056	0.1395214855716858	605.4592382071462	-1.020193400477865	366580.8891303778	1.0407945743785894	394.444012424436	-0.0990107193885023	155586.0789374886	0.0098031225538287	425.5381728344709	510.0448625753592	1.016353	25.054527	0.164778535	0.13919	-0.0635031762	-0.0345952074	-0.0864745109	-0.0304811211	-0.0795518024	0.0229838731	0.0440912541	-0.0370757905	-0.0444639677	0.1257188936	-0.0147671358	-0.0510881761	0.1298783459	0.0637945021	0.053406586	0.0583480163	0.0294572716	-0.0174787518	0.0052534905	0.0458413257	0.0586209784	-0.0089383669	0.0255825259	-0.0278385952	-0.0075813796	0.0223995584	0.0743228126	0.0971547595	-0.0214503717	-0.0787004446	0.1148922827	0.0081814292	-0.0596451986	0.0363414176	0.0936631203	0.026591572	-0.0047015398	0.047996923	0.0076232711	0.0576939371	-0.0909496967	0.0499997939	0.0314741456	-0.0604718244	0.0087752497	-0.0277283818	-0.0290202589	0.0736181243	-0.0404085803	0.0209436328	0.03599951	-0.0472699809	0.0243553431	0.0965836771	-0.0145619802	0.0182789462	-0.0081866414	-0.0861287729	-0.014906269	-0.047802841	0.045587068	0.1269205238	-0.0006752932	0.0010538547	0.0488935594	0.0267269617	0.0222423232	0.0880623999	-0.0754718956	0.058812705	0.0806509921	0.0063335872	-0.0558469945	-0.0091506662	-0.0817545362	0.0418202555	-0.0376907225	-0.0502411428	0.0440444567	-0.0477410442	0.0070790756	0.0375357874	0.017089129	0.0697461157	0.0359732715	0.0602735256	0.0677318285	-0.0449682103	-0.0032932302	-0.0102847073	-0.0498991738	-0.0318148178	-0.1016918952	-0.0515215018	0.0314657783	0.1506009812	0.0999582391	0.016566251	-0.0627705647	0.0753772412	-0.0609208497	-0.0018566486	-0.0229217217	-0.0718140552	-0.0530386911	-0.0915027801	0.0359990215	0.0735323153	0.0781267646	-0.020266689	-0.0537524214	0.0324065336	-0.1087182716	-0.0878626277	-0.0633620666	0.0014205001	-0.0838882304	-0.0910422005	-0.0159119965	0.0338897424	0.0520902869	-0.1253983502	-0.072760978	-0.0143642219	-0.1512714023	0.0091203043	0.0687974765	-0.0376130128	-0.0471633575	0.0934155209	-0.0716293451	-0.079403276	0.0133059643	-0.0746414164	0.0838407801	-0.0422043265	0.0209157898	0.0753714326	0.1023699077	-0.0193652741	-0.0358341167	0.0265483818	0.0297256476	-0.032421465	-0.0042292201	-0.0903074684	0.0057144364	-0.0242833416	-0.1118496153	0.0492489425	-0.0007142863	0.0123069297	0.0733226704	0.0079163757	0.042886242	-0.0647390784	0.0222788981	-0.0475700475	0.0154159125	0.0141185753	0.0282921245	-0.0361754794	-0.037383211	0.038848862	-0.0292181946	0.0105649618	0.0569244524	0.072023238	0.015277459	0.109595928	-0.0225367427	-0.0735144878	0.0532249629	-0.1838322578	-0.0565297791	0.0500540455	-0.1204907178	-0.124409361	0.0209761786	0.0629345822	0.1650820234	-0.0075790495	0.112814626	0.0789351539	-0.0055954131	-0.0485338636	0.2003920178	-0.024399638	-0.0428976952	-0.0418761114	0.0361854629	-0.0001079487	-0.0630262273	0.0197713087	0.0109256998	-0.1002182627	6.38971e-05	0.0366279168	0.0186509469	-0.0434766237	-0.0754758241	-0.0045641187	-0.1032821357	-0.0132659275	-0.0708112952	0.0289678436	-0.0136713617	-0.0134928173	0.0591983371	0.0790272654	0.0255577213	0.031499611	-0.0171555223	0.0697903854	0.0200391261	-0.0766062701	-0.0451217869	0.0363252443	-0.0301223733	-0.021834779	0.0580616674	-0.029435086	-0.0925635027	-0.0068131346	0.051551341	0.0087827322	-0.1040912095	-0.0117547904	0.0056394083	0.0782109578	-0.0390585535	0.0176420392	0.0336822784	0.0062283086	-0.0286069776	-0.0283283386	-0.097665097	0.0902004158	0.089749793	0.0890004218	0.0879547967	0.0186215	3.299999999997749e-06	0.00034676026225	1.0889999999985144e-11	0.0195995	0.1376465	0.01894655896225	0.0003841404002499	-0.0165444	-0.0188763	0.00027371717136	0.00035631470169	-0.000322806	9.672999999999972e-06	1.0420371363600001e-07	9.356692899999948e-11	-5.70123e-05	0.0001553757	2.414160815049e-08	3.25040235129e-09	0.000455926	0.0	2.07868517476e-07	0.0	0.0	0.0	0.0	0.0
