onset	duration	condition	trial_type	braille_stimulus	response_val	response_type
0.009	1.008	n/a	FIXCROSS	n/a	n/a	n/a
1.025	5.009	n/a	NO_6-DOT	BDMTŁ	n/a	n/a
5.816	n/a	n/a	RESPONSE	n/a	NO	n/a
8.059	1.008	n/a	FIXCROSS	n/a	n/a	n/a
9.076	5.008	n/a	NO_6-DOT	BCŁI	n/a	n/a
12.952	n/a	n/a	RESPONSE	n/a	NO	n/a
16.108	1.009	n/a	FIXCROSS	n/a	n/a	n/a
17.126	5.008	n/a	6-DOT	#KCD#	n/a	n/a
22.296	n/a	n/a	RESPONSE	n/a	YES	n/a
24.159	1.008	n/a	FIXCROSS	n/a	n/a	n/a
25.176	5.008	n/a	6-DOT	D#E#L	n/a	n/a
30.072	n/a	n/a	RESPONSE	n/a	YES	n/a
32.209	1.008	n/a	FIXCROSS	n/a	n/a	n/a
33.226	5.008	n/a	NO_6-DOT	YMTKO	n/a	n/a
37.712	n/a	n/a	RESPONSE	n/a	NO	n/a
42.267	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
47.267	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
48.284	5.008	LEXICAL_DECISION	PSEUDOWORD	TOSY	n/a	n/a
52.432	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
55.317	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
56.334	5.008	LEXICAL_DECISION	WORD	TYMI	n/a	n/a
60.512	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
63.367	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
64.384	5.008	LEXICAL_DECISION	WORD	SPIS	n/a	n/a
68.056	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
71.417	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
72.434	5.008	LEXICAL_DECISION	PSEUDOWORD	DAPIE	n/a	n/a
77.136	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
79.468	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
80.484	5.008	LEXICAL_DECISION	WORD	MIAŁ	n/a	n/a
84.192	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
89.526	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
94.526	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
95.542	5.008	6_DOT_DETECTION	6-DOT	#IML#	n/a	n/a
99.632	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
102.576	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
103.592	5.008	6_DOT_DETECTION	NO_6-DOT	BLPAK	n/a	n/a
106.152	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
110.626	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
111.642	5.008	6_DOT_DETECTION	6-DOT	LT##	n/a	n/a
114.656	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
118.675	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
119.693	5.008	6_DOT_DETECTION	NO_6-DOT	TCBYK	n/a	n/a
122.896	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
126.725	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
127.743	5.008	6_DOT_DETECTION	NO_6-DOT	KDB	n/a	n/a
130.352	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
135.784	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
140.784	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
141.801	5.008	LEXICAL_DECISION	PSEUDOWORD	TYBE	n/a	n/a
146.592	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
148.834	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
149.851	5.008	LEXICAL_DECISION	PSEUDOWORD	LIET	n/a	n/a
153.896	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
156.884	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
157.901	5.008	LEXICAL_DECISION	PSEUDOWORD	ALTUM	n/a	n/a
162.472	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
164.934	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
165.951	5.008	LEXICAL_DECISION	WORD	SŁUP	n/a	n/a
170.912	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
172.984	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
174.001	5.008	LEXICAL_DECISION	WORD	KIT	n/a	n/a
177.592	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
182.543	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
187.043	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
188.059	5.009	6_DOT_DETECTION	6-DOT	#AL#K	n/a	n/a
190.856	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
195.093	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
196.109	5.008	6_DOT_DETECTION	NO_6-DOT	AYDL	n/a	n/a
198.976	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
203.143	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
204.159	5.008	6_DOT_DETECTION	6-DOT	##ŁK	n/a	n/a
207.512	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
211.193	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
212.21	5.008	6_DOT_DETECTION	6-DOT	E#T#	n/a	n/a
215.072	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
219.243	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
220.26	5.008	6_DOT_DETECTION	NO_6-DOT	CPK	n/a	n/a
222.552	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
228.801	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
235.301	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
236.318	5.008	LEXICAL_DECISION	WORD	TEMU	n/a	n/a
241.736	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
243.351	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
244.368	5.008	LEXICAL_DECISION	PSEUDOWORD	DET	n/a	n/a
248.912	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
251.401	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
252.418	5.008	LEXICAL_DECISION	WORD	SKOK	n/a	n/a
255.952	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
259.451	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
260.468	5.008	LEXICAL_DECISION	WORD	UKŁAD	n/a	n/a
265.616	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
267.501	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
268.518	5.008	LEXICAL_DECISION	WORD	METKA	n/a	n/a
272.216	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
277.06	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
282.56	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
283.576	5.009	6_DOT_DETECTION	NO_6-DOT	PŁS	n/a	n/a
286.072	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
290.61	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
291.626	5.008	6_DOT_DETECTION	NO_6-DOT	ETBY	n/a	n/a
294.712	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
298.66	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
299.676	5.008	6_DOT_DETECTION	NO_6-DOT	OKOŁI	n/a	n/a
302.632	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
306.71	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
307.726	5.008	6_DOT_DETECTION	6-DOT	I#T#	n/a	n/a
311.496	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	MISS
314.76	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
315.776	5.008	6_DOT_DETECTION	NO_6-DOT	OTŁP	n/a	n/a
318.936	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
324.818	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
330.818	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
331.835	5.008	LEXICAL_DECISION	PSEUDOWORD	MEKLE	n/a	n/a
337.392	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
338.868	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
339.885	5.008	LEXICAL_DECISION	WORD	MYK	n/a	n/a
344.072	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
346.918	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
347.935	5.008	LEXICAL_DECISION	PSEUDOWORD	SABI	n/a	n/a
351.632	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
354.968	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
355.985	5.008	LEXICAL_DECISION	WORD	BIAŁY	n/a	n/a
360.536	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
363.018	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
364.035	5.008	LEXICAL_DECISION	WORD	POBYT	n/a	n/a
369.552	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
373.076	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
379.077	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
380.093	5.008	6_DOT_DETECTION	6-DOT	#AC#	n/a	n/a
382.256	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
387.126	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
388.143	5.008	6_DOT_DETECTION	6-DOT	O##P	n/a	n/a
390.952	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
395.177	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
396.193	5.008	6_DOT_DETECTION	NO_6-DOT	UDM	n/a	n/a
398.216	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
403.226	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
404.243	5.008	6_DOT_DETECTION	6-DOT	#S#U	n/a	n/a
407.912	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
411.277	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
412.293	5.008	6_DOT_DETECTION	NO_6-DOT	DMTP	n/a	n/a
415.896	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
420.835	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
426.335	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
427.351	5.009	LEXICAL_DECISION	WORD	SALTO	n/a	n/a
431.576	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
