global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02
536.195696996884	n/a	287505.8254779742	n/a	686.8152435682714	n/a	n/a	471715.178797744	457.7006907605498	n/a	n/a	209489.9223226844	456.81668842288656	598.639629533842	n/a	n/a	n/a	n/a	-0.0741275209	0.0227129698	-0.0740696734	0.0947034258	0.6142116439	-0.049312319	0.2004201453	-0.5224213908	0.1176524629	-0.0063762186	0.0403978289	-0.015720145	0.0356018138	-0.0098801529	-0.0556161489	0.074703915	-0.1090260539	-0.0498968315	0.0242799128	-0.0443273718	0.0398644936	-0.0435344045	0.0046469662	-0.0164518683	0.0313579174	-0.0223293482	0.0014380251	0.1004352122	-0.049672771	0.0940986249	-0.0746165701	0.0224593863	-0.0576000153	0.0760246803	-0.0177094271	0.112862451	-0.0540507322	0.1774339356	-0.0420587218	0.0406081136	-0.0028148846	0.0468308301	-0.0149817345	0.0799034526	-0.0145536711	0.0690647116	-0.0120827286	0.0721403483	-0.120234918	0.0207000568	0.027355666	-0.0232772585	-0.0098821256	0.0328320779	-0.0731664837	0.058538711	0.0102818112	-0.1007899747	-0.0215352358	0.0195080472	0.0515308708	-0.0105366029	-0.0864548598	0.1493033272	0.0803594135	-0.1224913806	0.0439070448	0.0160563402	0.0619659938	-0.1008828192	-0.0401127158	-0.0725852658	0.0153823103	0.0656132828	0.0644378774	-0.0549680739	0.1335775385	0.0188196723	0.0066397161	0.0655420236	-0.0701514204	0.0619208384	0.056053848	0.0944876575	0.0167906443	-0.0123582522	0.0657998842	0.0775228308	-0.133403294	0.0210748155	-0.0052888752	0.053485303	-0.0419404947	0.0994690184	-0.0166933579	0.0115672271	-0.018690491	0.0322787392	-0.1114855918	0.010072168	0.1837298177	0.0183392948	-0.059812333	0.0136929269	-0.105908637	0.0824426655	-0.0099682472	0.1534361918	-0.1299310527	0.166908642	-0.0319067865	0.0138265324	-0.0049486613	0.0499082729	-0.0804737392	0.1037575516	-0.061603709	0.0320027811	-0.0540678306	0.0970640786	-0.0767716001	0.008834918	0.0457757458	-0.0174792202	-0.0152172193	0.0607461982	-0.0246481115	-0.1034635772	0.0087502266	0.0533538522	-0.0751198138	0.0769278806	0.0459704922	-0.1762910341	0.1204914847	0.0234699461	0.120993825	-0.0842232546	0.0334044347	0.0521637882	0.0638393088	-0.0871141345	0.0804119914	0.0311603865	0.0013142699	0.026934136	0.0856888821	-0.0660767999	-0.0311977828	0.1653629832	0.0500373664	-0.0874837216	0.1282340323	0.0394357646	0.0373485412	0.0932483061	0.093241782	0.0932309089	0.0932156873	0.0327262	n/a	0.0010710041664399	n/a	-0.0759225	n/a	n/a	0.00576422600625	-0.100695	n/a	n/a	0.010139483025	-0.000104194	n/a	1.0856389636e-08	n/a	-0.00091494	n/a	n/a	8.371152036000001e-07	0.000892013	n/a	7.95687192169e-07	n/a	0.0	0.0	0.0
531.6215327279855	-4.574164268898471	282621.4540600525	20.922978758867487	647.0396752115712	-39.775568356700205	1582.0958380985307	418660.34129789553	458.36966323041605	0.6689724698662758	0.4475241654389852	210102.74816996505	457.2479201054985	575.5746927037461	1.684418	39.482525	0.2140102	0.12423	-0.1081177834	-0.0641370212	0.0100521644	-0.0101606906	0.0046697735	0.0710700713	0.1096496601	-0.0662856459	0.0333568019	-0.0028257225	0.0270943783	-0.0487793727	-0.0145950922	-0.0976542833	0.087113868	0.0683217758	-0.0123672359	0.0015951725	0.0008590378	-0.0211500536	0.0673184081	-0.0305434712	-0.0325383534	-0.0740196809	-0.1402677553	-0.0539699288	-0.0102243057	-0.1077658852	-0.0394853101	-0.0492359675	-0.0138951855	0.0741174497	-0.1054825076	-0.0717773997	-0.0024274533	0.0101184827	0.0024676034	-0.0663515549	0.0427760045	0.1341234262	-0.193399378	0.0723667155	0.0439857716	0.0152532575	-0.1224869115	-0.0346223756	-0.0914255141	0.1662947669	-0.0461125847	0.0213582522	0.0536355422	0.0665945943	0.0025220152	0.0575156969	-0.0352901969	-0.0305323851	0.0765876207	-0.0126817258	0.0492315636	-0.0148518693	-0.0202620206	0.0733705048	-0.0495102032	-0.0347566738	-0.0943380183	-0.0186388542	-0.0130229163	0.064469512	0.0245130837	0.0249441013	0.0242602871	-0.1289089897	-0.0236629278	0.0173198714	0.008021884	0.1441391417	-0.0668240262	-0.0566378589	0.0825025469	-0.0417357614	0.000207911	-0.0114752765	-0.0205885613	-0.0525648283	-0.0044887287	-0.0994541883	-0.0893217859	0.0670090945	-0.0091149679	0.0107755316	0.0011485734	0.0173004149	0.04347362	0.0654798503	-0.0210859871	-0.1326061313	0.0395690724	0.0296504064	0.0919561001	-0.041408231	-0.0345556071	-0.0045735702	-0.0056663633	-0.0306054455	-0.153513136	-0.0842236656	0.0089211653	0.0123164902	0.0482377175	-0.0500025849	-0.0800931388	0.082712747	0.1807689287	0.1366730771	-0.0010829405	0.0484403835	-0.1098888503	-0.0695728868	-0.1429266454	0.0692012946	0.034821012	0.0186760054	0.0213017739	-0.0988884057	-0.0667994414	0.0727856055	0.0002526428	-0.0106344568	-0.0016822565	-0.0847866482	-0.0125166154	0.0285587752	-0.0218686093	-0.0083886738	-0.0574289831	0.0458929138	-0.0984339635	-0.0420674456	-0.0377763816	0.0164305647	0.0033908408	0.0089321119	0.0508935336	0.1177963317	-0.0166397695	0.1075669959	-0.0124803414	0.1212039175	0.0529214591	-0.0684681522	0.0660965228	0.0641998542	-0.0118593366	-0.0151998991	0.0078967137	0.0932309089	0.0931722015	0.0930743832	0.0929374951	0.0232169	-0.0095092999999999	0.0005390244456099	9.042678648999996e-05	-0.0484205	0.027502	0.000756360004	0.00234454482025	0.0129413	0.1136363	0.01291320867769	0.0001674772456899	-0.000808414	-0.00070422	6.535331953960001e-07	4.959258084e-07	-0.000780541	0.000134399	1.8063091201e-08	6.09244252681e-07	0.00046338	-0.000428633	2.147210244e-07	1.83726248689e-07	1.0	0.0	0.0
529.3034698321995	-2.3180628957859426	280162.1631764062	5.37341558881951	640.9348685595021	-6.104806652069101	37.26866425914714	410797.5057353862	457.4788596814998	-0.8908035489162671	0.7935309627618163	209286.90705548535	456.358097202226	568.5521032819009	1.115008	26.13563	0.04553	0.0234296	0.0203305923	-0.1241751283	-0.0335611054	-0.0465827636	-0.0712994901	0.1053513241	-0.0350819833	-0.0715330959	0.0167584653	0.00595515	0.1059740399	0.0411137264	-0.0158170282	0.0599565175	0.0183881193	0.0144234373	-0.0210470602	-0.0185479804	0.0547808082	-0.0606329382	-0.0707158378	-0.0657891006	0.0649829726	0.0100362392	0.0674395099	-0.0581897197	0.0210910474	-0.0563689433	-0.0410266818	-0.1159126866	-0.0661452754	0.0630992659	0.0090293385	0.006100715	0.010865678	0.0191821768	-0.0326187417	-0.0720946065	0.0055492334	-0.0013015195	-0.0255811015	0.0668851368	0.0041182572	-0.098408723	0.1305683183	-0.0235149211	-0.108852991	0.0797103982	-0.0010841487	0.0589705103	0.0423597965	0.0252646824	-0.0045088108	0.0154356918	-0.0110393754	0.0564530142	0.0022249946	0.0030826425	0.0388921675	0.1267986985	-0.0086640155	0.0288907999	-0.0149919155	0.021969565	0.0216783208	0.0041463617	-0.0678024756	-0.0132447937	0.0182779526	0.1656498565	-0.048166605	-0.0223728729	0.0381566493	-0.1274320992	-0.0115816918	-0.0553257771	-0.0009678932	-0.1494453177	0.049137506	-0.0200582581	-0.0037856109	-0.0779157985	-0.1083593767	0.0467245318	-0.0228003231	0.0625920204	-0.0221069669	0.0161239585	-0.0123330703	-0.0043585597	-0.0455174211	0.0686691431	-0.079265461	-0.0023151397	0.0856252448	0.0503756311	-0.0465095071	0.040637781	0.0707340111	-0.0650441055	-0.0409654622	-0.079827039	-0.0601638315	-0.0789174956	-0.0406430819	0.0172629809	0.0161183042	0.0131612419	0.0618930847	-0.0131218782	-0.0044702264	-0.0251833577	0.0202826426	0.0539528352	0.0288663909	-0.0590906238	0.1196744548	0.0600961429	-0.1592147813	-0.0168880292	0.0442792443	0.0475624268	0.0520218756	-0.0450344368	-0.0341411052	0.0638746071	0.0121060941	-0.0023018675	-0.0870013602	0.0120997867	0.0045051236	0.0635090351	0.0236007018	0.0060940613	-0.0052419133	-0.0384157864	-0.0568796845	-0.0024566652	0.0724471636	-0.0073832815	-0.0704469421	0.1863621239	0.0277746115	0.0003834872	0.0074394816	0.0080188186	-0.0909198035	-0.1322857206	0.1463426629	-0.0595913433	0.0633401383	0.0550374155	-0.0146878689	0.0597044309	-0.0777953259	0.0931961179	0.0930330924	0.0927615946	0.0923819408	0.0215035	-0.0017134	0.0004624005122499	2.9357395600000013e-06	-0.0344391	0.0139813999999999	0.0001954795459599	0.00118605160881	0.0303132	0.0173719	0.0003017829096099	0.0009188900942399	-0.000770539	3.787500000000004e-05	5.93730350521e-07	1.434515625000003e-09	-0.00063102	0.000149521	2.2356529441000003e-08	3.981862404000001e-07	0.00040151	-6.187e-05	1.612102801e-07	3.827896900000001e-09	0.0	0.0	0.0
529.154475513373	-0.148994318826567	280004.4589558328	0.0221993070425926	637.6751624704525	-3.259706089049587	10.625683786986952	406629.612831718	456.9527037159608	-0.526155965538976	0.2768401000722521	208805.77343332663	455.8073388330956	571.779425803834	1.079827	25.311005	0.06254518	0.044029	-0.046032074	-0.024688191	-0.1403093353	0.0062248096	-0.12498995	-0.0547581888	0.0114040396	-0.0632957944	0.0764995907	0.0392286085	0.0503620102	0.0102067732	0.0548225598	0.0185225225	-0.0628712545	0.0730924969	-0.1068576683	-0.0212689202	0.1024967127	0.0166393577	0.0060501153	0.0210818238	0.0556632337	0.1289530642	-0.0357727164	-0.1194118409	-0.0201193798	-0.0009184574	-0.0041124504	-0.0070582649	-0.0860376381	-0.0862108616	-0.0593674008	0.0108847242	0.0601273847	-0.1281112439	-0.077688195	-0.0093830337	-0.0357053355	0.1105229714	0.1241733814	-0.0174959905	-0.1291897314	0.1163167901	-0.0051502608	0.0317610321	-0.0182506062	0.0117843785	0.0312706578	0.101638009	0.0267147038	0.0135046466	0.0171039956	0.0163963926	0.0402824217	0.0332973354	0.2110428621	0.0339407042	-0.0526396256	-0.0206431757	-0.0567581796	-0.0373275062	0.0196744526	-0.104803721	-0.084868812	-0.0596241899	0.0151439924	0.1014274621	0.0288438074	-0.024462522	0.0296396791	-0.1004923116	0.0309407107	-0.0329478292	-0.0084588205	0.0594891062	0.0651309354	0.0001488043	0.0226398672	-0.0600230676	0.0508376357	-0.0110343729	-0.0360706768	-0.0238790142	0.0566074923	0.0200237242	0.0718640234	0.0738009494	-0.0761669555	0.0124814497	-0.1244408531	-0.0070404789	0.0138176874	-0.0307989398	0.0633495552	0.0712055342	0.0900595936	0.1172376462	0.0394630976	-0.0104020053	0.0143062837	0.0186874302	-0.1083762042	0.1046476649	-0.0353569694	-0.0159865201	-0.0168749321	-0.1235271306	0.0503819448	0.0828983921	-0.0806475332	0.0513076101	-0.1325337361	-0.0091346602	-0.1381349061	0.0764002784	-0.0260378699	0.0339646419	0.0395695651	-0.0433960837	0.0465492935	0.0790986411	-0.0099469461	-0.017210461	-0.0027249901	0.0186988071	0.0607635588	-0.0474529697	-0.0774204959	-0.1390208453	-0.1627331	-0.0444337466	-0.0793614943	0.1167382697	-0.0444638036	0.0380574311	-0.0398109979	-0.0881081826	-0.0251871624	0.0766346247	-0.0079834924	-0.0444188756	0.031607992	0.1108432162	0.0298713237	0.0275738862	-0.0307682232	0.0280539434	0.0567376281	0.03027834	-0.0237235844	0.0724503506	-0.0140738196	-0.0341481763	-0.0670374578	0.0931439394	0.0928245585	0.0922930681	0.0915506825	0.0265652	0.0050617	0.00070570985104	2.5620806890000025e-05	0.0081534799999999	0.0425925799999999	0.0018141278710563	6.647923611039838e-05	0.020987	-0.0093262	8.697800644e-05	0.0004404541689999	-0.000881833	-0.000111294	7.776294398890001e-07	1.2386354436000012e-08	-0.00063102	0.0	0.0	3.981862404000001e-07	0.00040151	0.0	1.612102801e-07	0.0	0.0	0.0	0.0
528.7089401173876	-0.4455353959854164	279533.1433600513	0.1985017890758818	639.331754738111	1.6565922676585387	2.74429794126606	408745.09261651215	456.78500469903486	-0.1676990169259511	0.0281229602779304	208652.5405178973	455.6582553399288	571.6738693437646	1.103794	25.872784	0.04509678	0.0381183	-0.0827309262	-0.1021263126	0.0141950016	0.0081920953	-0.1083281442	0.0951824983	0.0695006777	0.0151295951	0.0427780909	0.0246394854	0.0858902558	-0.0358183188	0.089755855	0.0086059662	0.0885012034	0.0272215867	0.0226495561	-0.0706520162	-0.0495606364	-0.1835643238	-0.027175283	0.0092111697	-0.0623210189	0.0169884713	-0.0371991709	-0.000739862	-0.1238960648	-0.0403230694	0.0677310778	-0.01080849	0.0101668968	0.0504860008	0.0805294559	-0.0333695004	-0.0963320967	-0.0663888534	-0.0523193205	0.0628441732	0.0752849781	0.0321981947	-0.0018420754	0.110501431	-0.0760984205	0.0344474673	-0.0180353385	0.0694258047	-0.0066445253	-0.0794726802	-0.0905832698	0.0773926893	-0.0367595096	0.0139808327	-0.047029624	-0.0528153346	0.0112258691	0.0062667329	-0.0193906438	-0.0012335133	-0.0059199219	-0.1342073135	-0.0947563188	-0.0548115591	-0.0017969423	-0.0634636146	-0.1159214706	-0.0081710744	-0.017730904	0.1389766109	0.0458491254	0.0789561525	-0.01351041	0.0698566682	-0.0493476346	-0.0702996028	-0.0580304583	-0.0224737214	-0.0782223652	0.0062489179	-0.043951773	0.0702801775	-0.0191074283	-0.04829793	-0.0488956544	-0.0008750844	0.0889492553	0.0179836145	-0.0922379002	0.0286474572	0.0110105129	-0.0416569987	0.0550439971	0.1853950271	-0.0176176551	-0.0066460039	-0.0535048766	-0.0103379849	0.042020041	0.0025096073	0.107170409	0.0959441015	-0.0322437512	0.0427533071	0.0167801018	-0.0846448214	0.0681581997	0.0069584935	-0.1076016442	0.0217152676	0.0355896206	0.0673226644	0.0569567849	0.1095002531	0.0123782457	0.0976007262	-0.0803312507	0.0134140832	-0.0212370073	0.0443023939	0.0570659757	-0.0583583727	-0.0839312157	0.081750484	0.0222684009	0.0462375255	-0.0578924867	-0.021530841	-0.0402440737	-0.0628279992	0.0449544164	-0.0055960224	0.0092025677	-0.0450188593	-0.1148703401	0.0825816013	0.0189649627	-6.13032e-05	-0.1448161186	-0.0519195526	0.0166801287	0.1051354336	0.0013657899	-0.0026884749	-0.0056849744	-0.0262527748	-0.0456332186	-0.0854788694	-0.0962667511	-0.0051192567	-0.0442952705	-0.081984851	0.0168735388	-0.0969320597	-0.0138399471	0.0474747956	-0.0411966191	0.0930743832	0.0925467555	0.0916695905	0.090446201	0.0293406	0.0027754	0.00086087080836	7.702845160000004e-06	-0.0297974	-0.0379508799999999	0.0014402692927743	0.00088788504676	0.0212994	0.0003124	9.759376000000055e-08	0.00045366444036	-0.0008006709999999	8.116200000010004e-05	6.410740502408399e-07	6.587270244016238e-09	-0.00063102	0.0	0.0	3.981862404000001e-07	0.00040151	0.0	1.612102801e-07	0.0	0.0	0.0	0.0
528.919763859098	0.2108237417104419	279756.116600764	0.0444466500687911	638.5216094014421	-0.8101453366689384	0.6563354665264275	407709.8456726078	457.7343553364186	0.949350637383759	0.9012666327009496	209520.74005524677	456.5950478128393	571.4742652021498	1.045081	24.496557	0.06088211	0.0389528	0.0357762769	-0.1002369785	-0.0600595406	-0.0303678057	-0.1101146671	0.0773929785	-0.0478112095	-0.0590164589	0.0094740876	0.0281532957	0.080927928	0.1178880567	-0.0076680869	0.0967657529	-0.0308225987	0.0039116462	-0.0054005454	-0.030401446	-0.0059506121	-0.1057751076	0.0652034371	-0.0911539634	-0.0006987566	0.0929565741	0.0350869824	0.0298987717	-0.0654389294	-0.0776334998	-0.0650788741	-0.0152588478	0.0184629226	0.0751193726	-0.0693142073	-0.0929525501	-0.0487961579	-0.0732413981	0.0439819269	0.0536318027	0.0245367419	-0.0212094417	0.0887536155	-0.0512514226	-0.0276368682	-0.0178129628	-0.0964805737	0.0624045391	-0.0809071339	-0.1641812918	0.2165065644	0.0883892357	0.0482157644	-0.0889896762	0.0485390288	-0.0849118383	0.0140165303	-0.1092205907	0.0275590965	-0.1175453498	-0.089250123	0.0848063266	0.0540954503	-0.1474263824	0.042813597	0.0654543348	0.0407875	-0.0152888228	0.0583568239	-0.0401375994	-0.0759164501	-0.0145101617	0.1021099781	-0.0574027682	-0.0920402173	0.0050953161	0.0615275485	0.0771297016	-0.0189677369	-0.0564702048	0.0379181222	-0.0436751039	-0.0559898931	0.0257870395	-0.0360941888	-0.072398752	-0.0165610148	0.0973245182	0.0268079311	0.0043992338	-0.0060220341	-0.0125104236	0.0048931948	0.1115411824	0.0246717044	0.0880651493	0.0290576749	0.1051434648	0.0442672834	-0.0543323005	0.1209874518	-0.0262400544	0.0032553329	-0.0105406439	0.031183083	-0.0522239123	-0.0588682582	-0.1217141092	-0.073771092	-0.0357391984	-0.0248878522	-0.0225108382	0.0515421468	0.0414601211	-0.0792805347	-0.032683536	0.0166780427	-0.0468383659	-0.0992643922	0.032998632	0.1016537211	-0.1823126401	0.1524057961	0.0653398329	-0.0474721243	0.0312808727	0.1667873487	-0.043884707	-0.0578369685	0.0255919952	0.0890838874	0.0718643805	-0.1523741838	0.060797314	0.1197165481	0.0567281127	0.1002929796	-0.0475361046	0.097381272	0.0253124342	-0.0411105077	-0.0152610763	-0.0593825518	-0.0136024121	-0.0386947065	0.0607191152	-0.0656147629	0.1117715562	-0.0138492896	0.0641241976	0.0324334708	0.0117584456	0.0450045151	0.0320382791	0.0622746275	0.0013360475	0.0985261233	0.0929874623	0.0921998906	0.0908922084	0.0890717925	0.0267867	-0.0025539	0.00071752729689	6.522405210000006e-06	0.00388306	0.03368046	0.0011343733858116	1.5078154963599998e-05	0.0261732	0.0048738	2.375392644000001e-05	0.00068503639824	-0.00119615	-0.0003954790000001	1.4307748225e-06	1.5640363944107908e-07	-0.00063102	0.0	0.0	3.981862404000001e-07	0.00040151	0.0	1.612102801e-07	0.0	0.0	0.0	0.0
532.215392847189	3.295628988091039	283253.2243834878	10.861170427145966	644.2782158829458	5.756606481503695	33.13851818289035	415094.4194613117	459.03916358386687	1.30480824744825	1.7025245626089731	210716.9537037761	457.86910920254167	580.7487389551635	1.163404	27.270037	0.07352851	0.0431936	-0.0135086081	0.0103106489	-0.1233695875	0.0564747826	-0.035280206	-0.0654188648	0.0023634766	-0.0758881404	0.0914272684	0.0218094968	-0.0048882781	-0.0374600481	-0.0606162247	-0.06182479	-0.1149850181	0.1168960559	-0.08139771	-0.0033389194	0.0872424946	-0.0428271046	0.1200600242	-0.0121479453	-0.1391256462	0.0742594496	0.0055949269	0.0420527428	-0.062119368	-0.0265127035	-0.0524772912	-0.0438870389	0.0657997024	0.074553477	0.0791906107	-0.0143148561	0.0256199701	-0.0264947104	-0.0844248645	0.01848172	0.0094111769	-0.0880611533	0.0604113669	-0.0066884854	0.0064356414	0.1192871727	-0.0052461142	-0.1403600526	-0.0010382265	-0.1546211262	-0.1220431896	-0.0660200044	0.0940003014	-0.0362172026	0.0923297366	0.0819702362	0.0015205029	-0.1171835382	0.0079699398	-0.016425988	0.0420787327	-0.0802891344	-0.0129113889	0.0177769924	-0.0030402166	-0.0863901621	0.1523036546	-0.0052448788	0.033917443	0.0262598213	0.123470331	-0.091265846	0.0393739238	0.0793364562	0.0060678209	0.0121364416	-0.1117132608	-0.0232704192	-0.0551201123	-0.0182268188	-0.1385340808	0.1333063554	0.0038256048	-0.0453866214	0.1039742168	-0.0973256916	-0.0454603482	-0.0809993888	0.1136353953	0.1188950959	-0.0539618509	0.0357947998	-0.0946544294	0.0462596461	0.0739022856	0.0755794917	-0.1339063592	0.069353043	0.0675106614	-0.047306567	0.0895547567	-0.000339855	0.023512179	-0.0537709989	0.0665893934	-0.079044208	0.0343976585	0.0131946231	0.0211622968	-0.0210249566	0.0683517912	0.0736805771	0.0604726008	-0.00118195	-0.044845896	-0.0708467092	-0.0513932324	0.081351791	0.0474479612	-0.1361872811	0.00123432	-0.0854075415	-0.1792900005	-0.020437918	-0.0556429761	-0.0966436755	0.1266120016	0.0271897545	0.0166965895	0.047843387	0.1258094909	-0.0594200458	0.0333100531	0.0231126467	-0.046216557	-0.0103818919	-0.0489261176	0.0743604525	0.0990994643	0.0500498432	0.085010008	0.0936178117	0.1079066175	-0.0675850637	-0.0530120134	-0.0372536915	0.0043059871	-0.1411620192	-0.0219404504	0.0283871591	0.0648091354	-0.0428829086	-0.0332117634	-0.1691772386	-0.1366621558	-0.0464281247	0.08988528	0.092883193	0.0917842227	0.0899622271	0.0874315588	0.0215748	-0.0052118999999999	0.00046547199504	2.7163901609999985e-05	-0.0333516	-0.03723466	0.0013864199053156	0.00111232922256	0.0106256	-0.0155476	0.00024172786576	0.00011290337536	-0.0008854629999999	0.0003106870000001	7.840447243688229e-07	9.652641196906213e-08	-0.00063102	0.0	0.0	3.981862404000001e-07	0.00040151	0.0	1.612102801e-07	0.0	0.0	0.0	0.0
530.2405208414428	-1.9748720057461924	281155.0099422046	3.900119439079989	642.7020183656365	-1.5761975173093106	2.484398613572034	413065.8844112629	457.3928866413445	-1.6462769425223769	2.7102277714808256	209208.25275010185	456.23942107129454	575.3439634463296	1.156168	27.100409	0.03858504	0.0217835	-0.085104401	-0.0780345407	0.0171890385	0.0479869771	-0.0561552137	0.0783023272	0.0676229203	0.0259572182	0.0475164906	0.0248374499	0.0302609093	0.0130929939	0.0384589939	-0.0180831917	0.1113037854	0.0648710809	0.0102369493	0.0858402897	3.6056e-06	-0.1040357232	-0.0530993338	0.0553529717	0.0673981477	0.0713553177	-0.0640678358	-0.0421523116	-0.0893700843	-0.0028660875	0.1158949265	-0.0052408488	-0.0539053483	0.0631853693	0.0360043035	-0.011028594	0.1192069692	0.1859958593	0.0201363425	-0.0455886411	0.0626468107	0.0112010574	-0.0590300044	0.0303416512	0.0909494765	0.0671779658	-0.0896522244	-0.0848915125	0.0162219923	0.0335477267	0.0433550059	-0.1524252165	-0.0705238287	0.0674129878	0.0731750526	-0.0203324056	0.0612886528	-0.0395524567	-0.0806243667	-0.0585330016	0.068356007	-0.1080129768	-0.075569188	0.1299667272	0.0308085446	-0.0055497645	-0.0304314456	-0.028726672	0.0592555635	0.1295931838	-0.0621958444	0.0781626539	0.0029455613	-0.0785681524	0.0811113318	-0.0657741147	-0.014852357	0.0539512297	0.0981048098	0.0661478121	-0.0517756891	-0.0725790363	-0.0311065728	0.0098265154	-0.0596720738	-0.0744039981	0.0400693276	-0.0122818165	-0.1052488412	0.0652946757	0.0583896899	0.0870643712	0.0202880216	0.085036149	0.0046462689	-0.0808516773	0.0768937077	0.0059380752	0.0747710784	0.0607243649	0.0376744618	0.1250659294	-0.0387336606	0.0495159333	-0.047327698	-0.0499056871	-0.0252678349	0.0391459809	0.1852929639	0.1250155873	-0.0275663592	-0.0544161854	0.0126567776	0.0347584315	0.0585144666	0.0309958309	0.0425661083	0.0602747488	-0.0372441845	-0.1235499647	-0.0280638541	0.0225241867	0.0114363839	-0.1386620146	-0.1473218331	-0.037689592	-0.0299721358	-0.085024503	0.0206394621	-0.0216243098	0.0579917646	-0.0052634597	0.1219695056	0.047590759	-0.0939777968	-0.0333779796	-0.0906762671	-0.0208411111	-0.0833498443	-0.032732234	-0.0362510193	0.1063437427	-0.1280019503	0.0034231792	0.0858195085	0.0836973224	0.0492429818	-0.0104034812	-0.0351679262	0.0142571209	0.005100828	0.0797690182	-0.1435214913	0.0396938646	-0.0177230511	0.0331926093	0.0167722458	0.0927615946	0.0913000619	0.0888812078	0.0855303949	0.0226984	0.0011235999999999	0.00051521736256	1.2624769599999975e-06	-0.0175846	0.015767	0.000248598289	0.0003092181571599	-0.00135949	-0.01198509	0.0001436423823081	1.8482130601e-06	-0.00107965	-0.000194187	1.1656441224999998e-06	3.770859096903881e-08	-0.00063102	0.0	0.0	3.981862404000001e-07	0.00040151	0.0	1.612102801e-07	0.0	0.0	0.0	0.0
