global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
597.0496299161995	n/a	n/a	356468.26058307075	731.1776065003448	n/a	534620.6922475732	n/a	477.8387467764419	n/a	n/a	228329.86792088056	486.46966967858015	1006.5278249038372	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.0212599	n/a	0.00045198334801	n/a	-0.0519186	n/a	n/a	0.00269554102596	-0.016935	n/a	0.0002867942249999	n/a	0.000265741	n/a	n/a	7.0618279081e-08	0.000602303	n/a	n/a	3.62768903809e-07	-0.00124588	n/a	1.5522169744e-06	n/a
594.5496508919846	-2.4999790242148947	6.249895121514457	353489.28737578075	714.1816207890583	-16.995985711286494	510055.3874728864	288.86353029825466	477.7474572839648	-0.0912894924770739	0.0083337714367217	228242.6329412938	485.4526704995241	992.2734341480692	1.348018	30.381609	0.08065685	0.0427334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0401224	-0.0188625	0.00160980698176	0.00035579390625	-0.0186706	0.033248	0.001105429504	0.0003485913043599	-0.0328989	-0.0159639	0.00108233762121	0.00025484610321	0.000125606	-0.000140135	1.9637818225e-08	1.5776867236000002e-08	0.000643587	4.128400000000005e-05	1.704368656000004e-09	4.142042265690001e-07	-0.00117565	7.02299999999999e-05	1.3821529225e-06	4.932252899999986e-09
592.5880356436853	-1.9616152482992677	3.847934382360197	351160.57998804166	706.7536714839451	-7.427949305113202	499500.75215603627	55.1744308793317	476.80919425718247	-0.9382630267823516	0.8803375074267796	227347.00772818355	483.9921925463247	981.668443642288	1.107271	24.955658	0.0436129999999999	0.0245708	-0.0399282196	0.0787936167	-0.0450313118	0.035270434	-0.0726814324	-0.0619701798	0.0564547846	-0.0554330422	0.1548229488	-0.0279222436	0.0818313264	-0.0180657208	0.0606139589	-0.0724486295	0.0778793684	-0.0953424332	0.0570378444	-0.2309935652	0.0023491387	-0.0525338329	0.0573916454	-0.0394151057	0.0275110354	-0.060665579	0.1242573966	-0.0091968377	0.0645885199	-0.0279124138	0.0377502238	-0.0306775946	0.1294433333	-0.0456951427	-0.0332451848	0.1124474404	0.0296779612	-0.1523459037	-0.0956829055	0.0832406058	-0.0401840418	0.0570575592	-0.0772582629	0.0353685519	-0.0603337005	0.1229648808	-0.0005342629	-0.0546613873	0.0737901495	-0.0370426367	0.018908271	-0.0735498482	0.0012750461	-0.0783922863	0.0002523991	-0.0257766599	0.0651877624	0.0030508378	-0.0822502005	0.0545095775	-0.0047628289	0.1300780074	-0.0118522536	0.0149582749	-0.0404373145	0.0227317622	-0.0358355639	0.1024252673	-0.0431384928	0.0307008407	-0.0494541109	0.0718090952	-0.0212947154	0.0142308932	-0.0100829295	0.0129353232	-0.0038411372	0.0165118103	0.0790938343	-0.0244953958	0.0084145024	0.01375091	-0.0178643277	0.0238857641	-0.0961286743	-0.096131663	0.0621184093	-0.0269973789	-0.029240932	-0.0212709944	0.0284374512	0.0278997187	-0.0402497989	-0.0489419455	0.0926927377	0.0172944552	-0.0885387562	-0.0681131566	0.0055922079	0.0037828627	0.0466844585	-0.0030455725	-0.0594273001	0.0925958743	0.0704504536	-0.0534525639	-0.0149052557	-0.0233323729	-0.0650005307	0.0511910938	-0.0489712234	-0.0279931921	-0.0163549285	-0.0907941169	0.0916815751	-0.0364247643	-0.0030019249	-0.0226283186	-0.0439141887	0.0743048732	0.0386690206	0.0667763777	-0.036466286	0.0366833615	0.0725873188	-0.0617613972	0.0689863188	-0.058295528	0.0284249843	-0.045919367	0.0218496283	-0.1540814438	0.0101019971	-0.0744742611	0.0255263026	-0.011252801	0.0569305318	-0.0772804298	0.1150803551	-0.0477203474	0.0245388149	-0.0208377484	0.0059337952	-0.0384993234	0.0114176052	-0.0107300022	0.0162708664	-0.0221438351	0.0636221862	-0.0499729798	0.0252490231	-0.0059998423	0.0243131791	-0.0335052848	0.0159054396	-0.0408798201	0.0117453618	-0.0124280686	0.0452413254	-0.0918571675	0.0406382847	0.0061870988	0.0197181263	-0.0218982153	-0.0221252624	0.184295856	-0.0248404066	-0.031351664	0.0313778814	-0.0373383449	0.01316872	0.0403676253	-0.043563374	-0.0862293784	0.1153159779	0.0090929169	0.019774752	0.0583913357	-0.0011387872	-0.0295642491	0.0814002017	0.0183558419	0.0218333381	-0.0479981549	-0.0909051001	0.0573526673	0.0327432058	-0.0463029436	-0.0396757821	0.0373862082	0.0389586413	0.0721955411	-0.0638359547	-0.006373708	-0.0432678022	-0.0142076278	0.0486910133	0.0042638484	-0.068553429	-0.0261467676	-0.0101091041	0.061000376	-0.111778362	0.0777342746	-0.0081201403	0.0377246383	-0.0933399206	0.0296105413	-0.0520246153	0.037792998	-0.0894641726	0.1047250189	-0.1003980414	0.0834965586	-0.0165197439	0.0810474323	-0.0342490967	0.0100391206	-0.0092119049	0.06413351	-0.0647515737	0.0659520236	-0.0271220381	0.0804580735	-0.0474976092	0.0907199469	0.0907142607	0.0907047839	0.090691517	0.0	0.0	-0.0408615	-0.0007390999999999	0.00166966218225	5.462688099999993e-07	-0.0204895	-0.0018189	3.3083972100000066e-06	0.00041981961025	-0.0121727	0.0207262	0.00014817462529	0.00042957536644	0.000192035	6.642899999999998e-05	4.412812040999998e-09	3.6877441225e-08	0.000828504	0.0001849169999999	3.4194296888999985e-08	6.86418878016e-07	-0.00133088	-0.0001552299999999	1.7712415744e-06	2.409635289999997e-08
591.392721219519	-1.1953144241663267	1.4287765726200772	349745.3507114277	705.1819571649968	-1.5717143189483522	497281.59271105536	2.4702859003872826	476.8152902783762	0.0060960211937413	3.71614743945432e-05	227352.82104325216	483.830170882932	975.7613185236364	1.235648	27.849022	0.09887365	0.0536554	-0.0162965726	0.0727668251	-0.0755909429	0.0313184827	-0.1006221621	-0.0487730197	0.093088882	-0.010407813	0.1564874286	-0.0414730383	0.1871594192	0.0039303874	-0.0271694793	-0.0585119878	0.1399422869	-0.1246069062	0.002279332	-0.1656679864	-0.0524297893	-0.0049458104	0.0276952363	0.0045437487	0.0689824959	-0.1037139443	0.0387441884	-0.0523605005	-0.0659994987	-0.0618492447	0.0550017977	0.0635447403	0.0204554656	0.0217574838	0.059593763	0.0910420005	-0.0587874868	0.0292777064	-0.0468968112	0.1367404318	0.026193959	0.0072457879	-0.0702905566	0.0477938254	-0.0235458478	0.0695666132	0.1713282574	-0.0698833687	0.0278250314	0.0281497396	-0.0720780576	0.0738695244	0.1172049655	-0.0161540361	-0.0034729464	-0.0285829491	0.0676840027	-0.077043326	0.0307483879	-0.0283027509	0.0053249338	0.1114791303	-0.0715913866	-0.0480838313	-0.0609501417	-0.0689845596	-0.0638414426	-0.0136511121	0.0474478467	-0.0135718085	-0.0471909282	0.0524368344	-0.0500850378	0.0040217531	-0.0469704437	-0.0400814396	0.073036609	0.0662038312	-0.0423859468	0.0274165176	-0.1005221277	0.0436158443	0.0397456468	0.0653561926	-0.0077018704	-0.1460955142	0.0094034457	0.0126802313	-0.0401145073	-0.0223671659	0.0515059189	0.0517597526	-0.0273051009	0.0051105303	-0.0304167794	0.0078582821	0.0232527834	0.0574693443	0.0459083854	-0.023609246	-0.0240750625	-0.0468411116	-0.0537901338	0.0131886661	-0.0191707696	-0.002807891	0.0138017137	0.0369499905	-0.114885115	-0.0068231342	-0.0061933923	0.0312068589	0.0442948027	-0.0509594587	0.0168310796	0.0001112378	0.0238123794	0.0238961713	0.0164509918	0.0887201833	0.0661549981	0.0451029481	-0.0194386703	0.0851050825	0.0406733757	0.1006509668	0.0794711385	-0.0834026499	0.1184444593	-0.0166828694	0.0016025892	-0.0173068493	-0.0944358241	-0.0026321332	0.0774048198	-0.0453817483	0.0550187903	0.0010814842	0.058486843	0.0266218089	0.1382337754	-0.1009839795	-0.1134459278	-0.0255203142	0.0447962171	-0.0099181615	0.0497218469	0.0616662473	0.0652954208	-0.095078241	0.0239830572	-0.0294376791	-0.0377095839	-0.0184998955	-0.0866910145	-0.0177296773	-0.0590653927	0.0259051743	-0.0385321484	0.0933249019	0.0121592355	0.0351908797	-0.0574991256	-0.0775462184	0.0218548869	0.0534873975	-0.0662793379	-0.0764114813	0.0096587642	-0.0649352773	0.0252800808	0.0036362041	0.0099054293	-0.0629764911	0.0126392188	-0.0275538132	0.001977521	0.0623861309	-0.033271512	0.0383516572	-0.001003773	0.0267726653	-0.0339905774	-0.0364296801	-0.0649896292	0.0263612916	0.0013680706	-0.0314241525	-0.0763452829	0.0651097105	-0.0121699269	0.0299926675	-0.0627611937	-0.0469698461	-0.0322432019	-0.0149862623	-0.0779705763	0.0051756435	0.0133143642	0.0643863609	-0.042049296	0.0249345497	-0.0466195997	0.1387563977	0.0674463757	0.0396001242	0.0616122912	0.0403966739	-0.1179541191	0.0118207992	0.0160685133	-0.0107266851	-0.1083988964	0.1311121289	-0.0089732882	0.0251660634	0.0712649351	-0.0475769797	0.002417865	-0.078741771	-0.0827464627	0.0682441761	-0.0663722668	0.0059851586	-0.0007300755	0.0907047839	0.0906536152	0.0905683553	0.0904490364	0.0	0.0	-0.0380688	0.0027927	0.00144923353344	7.799173290000011e-06	-0.0271089	-0.0066193999999999	4.381645635999997e-05	0.0007348924592099	0.0340237	0.0461964	0.0011576121616899	0.00213410737296	-0.000243885	-0.00043592	1.900262464e-07	5.9479893225e-08	0.000435261	-0.000393243	1.54640057049e-07	1.89452138121e-07	-0.00136702	-3.614000000000005e-05	1.8687436804e-06	1.306099600000003e-09
589.5165806592986	-1.876140560220392	3.519903401704087	347529.79887223133	699.9653139961553	-5.216643168841529	489951.4407977362	27.213365951020982	476.6409522462462	-0.1743380321300378	0.0303937494469741	227186.59735820832	483.71644879136295	961.8513837981094	1.111252	25.045383	0.0374301299999999	0.0173617	0.0512454306	0.0228993587	-0.0763450075	-0.0179204685	-0.113901452	-0.0004786738	0.109513773	0.0755302371	0.1011923568	0.0318620733	0.1226360544	0.0965284079	0.0461501867	-0.044994337	-0.00207772	-0.0670626195	0.0441781594	-0.0494369276	-0.0965210802	0.0834662115	0.0082872483	0.0001374408	0.0526676191	0.0480289342	0.0169878239	-0.0312614124	-0.0938574421	-0.0647824581	0.0495061519	-0.048353677	-0.019206458	0.024703306	0.0019691617	0.1101624334	-0.0255880327	-0.0080872624	-0.0334691454	-0.0009640035	0.041048393	0.0217373662	-0.0031070774	0.0750647504	-0.0392819324	-0.0109637539	0.1079065246	0.0664081992	-0.0202318138	0.0661751972	-0.1426798459	0.0124408823	0.0424510048	-0.1073340487	0.0332749717	-0.0023153051	0.1005750816	-0.089802488	-0.0192350632	-0.0588881617	-0.0087058463	-0.0256171296	0.0657716555	-0.0005335604	0.0416951308	-0.0014892151	-0.0039577608	-0.0093807431	0.0534213755	0.0413138174	0.0608564003	-0.0368196625	-0.0120274076	0.0558714315	0.045026529	-0.0917266092	0.0115166714	-0.0015589516	-0.036234822	-0.0133395778	0.0402240504	-0.0378700862	0.0673510962	-0.0360109097	0.0163454745	0.0101874025	-0.014974772	-0.0684007658	0.0363558701	0.0079627657	-0.0261797885	-0.055220543	-0.0275763	0.0796087018	0.0761021529	0.0096839959	-0.0624560739	0.0121242825	-0.085702948	-0.0545067213	-0.021886775	-0.0071028516	0.0508086018	-0.0360154643	0.0476436142	-0.0412058503	-0.0016047996	-0.0817158382	-0.0455519252	0.1232357852	-0.0020829453	0.0325526784	-0.0731342599	-0.0683888722	-0.0375313521	0.0080910888	0.1045118016	-0.0650240685	-0.010974106	-0.0112299749	0.015443313	0.0411719999	0.0543505946	0.0625515214	0.0458290527	0.1089296067	0.0329592073	-0.0799527847	-0.0257872442	0.0247843642	-0.1161928044	0.0320406926	-0.0438726003	-0.1149243533	0.0442277218	0.0214664312	-0.0423527144	-0.0716653333	0.0006918463	0.0675706332	0.0538383539	0.0066369435	-0.0422690807	-0.0028462223	0.0030585267	0.0595657984	-0.0369863021	0.0356937434	0.0138995269	0.0329367445	0.0109908918	-0.0396049945	-0.0130114124	0.0789518231	-0.0181262384	0.0991611099	-0.0607664718	0.0580892079	0.0066268792	-0.0064651697	-0.0063311515	-0.012680966	0.0263978657	0.0999244428	-0.0436777761	-0.0671266147	0.0192127615	-0.0310365728	-0.0570560637	0.0751890983	0.0100160114	0.0353678992	-0.0121767768	0.0053212782	0.0088291657	-0.0021469879	0.0739924937	-0.01473734	0.0102360329	0.0583677229	0.0777876266	0.0637309564	0.0993176491	-0.0186402873	0.0786828204	-0.0330699233	0.0243127528	0.0456303535	-0.1014022622	0.0299778151	0.002064892	-0.0521656561	-0.059054405	0.0469750625	-0.0986687745	-0.0755116563	0.0214666406	-0.0859210756	-0.0908197092	0.1044133452	-0.1503451707	0.0464790166	-0.0253545635	0.1628304742	0.0620883915	-0.0134014336	0.0214821322	0.0217990803	-0.0897342954	0.1036769298	-0.0066451494	-0.0620875309	-0.0263981945	0.0725355857	-0.0147638277	-0.0096083884	0.0743522617	0.0007081495	0.0130273782	-0.1346752427	-0.0733807534	0.0636225228	-0.0406683617	0.137670831	-0.0090942907	0.0906744606	0.0905323647	0.0902957033	0.0899647235	0.0	0.0	-0.0332597	0.0048090999999999	0.00110620764409	2.312744280999997e-05	-0.0205126	0.0065962999999999	4.351117369e-05	0.0004207667587599	0.0332454	-0.0007782999999999	0.00110525662116	6.057508899999933e-07	-1.22624e-05	0.0002316226	5.3649028830760004e-08	1.5036645375999998e-10	0.000533317	9.805599999999996e-05	9.614979135999992e-09	2.84427022489e-07	-0.00119177	0.00017525	1.4203157329e-06	3.071256250000002e-08
588.6594689158188	-0.857111743479777	0.7346405408109431	346519.9703442539	698.0454018515379	-1.9199121446173424	487267.3830460751	3.686062643049162	476.1183039400257	-0.5226483062204466	0.2731612519951016	226688.6393467267	483.2364083375997	953.5823349379452	1.057465	23.833141	0.11173623	0.0504676	0.083452658	-0.0576710806	-0.0746963242	-0.0401288765	-0.0848380196	0.0472107721	0.0765054158	0.1250307938	0.0099682531	0.0794807348	0.0685915607	0.0876383582	-0.0535452596	-0.0945500202	0.0166030086	-0.0646584991	0.0159539778	0.0172993795	-0.0592175796	-0.0060250108	-0.0335422294	-0.0516781612	0.1397984113	0.0691965062	-0.016893263	-0.0727373835	-0.0024600797	-0.1283538695	0.0712580291	0.0082477784	-0.0580090287	-0.0428959501	0.0341213342	-0.0016207871	-0.0094575454	-0.020913716	-0.0540543136	-0.002088871	0.044388959	0.005259457	0.0337644023	0.0604143743	0.0086356641	0.0813256405	0.0470271631	0.1150772255	-0.0176084166	-0.0454632807	-0.0848805501	-0.1036478363	-0.0793680386	-0.0532678842	0.0288454438	0.0322734601	0.0820518194	0.0351610333	0.0255969231	0.0176298984	0.046557571	0.031267937	-0.0440718609	0.0488592451	-0.0073189366	0.1256421708	-0.0985037826	-0.0386282347	-0.0784651322	0.0607244513	0.0065328715	0.0706766219	0.0641257192	0.0060483761	-0.0622747945	-0.0134245153	0.1893947295	-0.0954419675	0.034745683	-0.0334748448	0.0530173144	-0.0469431418	0.0784427343	-0.0171440524	-0.0014897911	-0.068654789	-0.0011052003	0.0685414539	0.063733212	-0.0110377324	-0.1281543887	-0.0084156284	0.059995053	0.0386434611	-0.0305506822	0.0116381748	0.0107278288	-0.0815756365	0.0262440093	0.02452108	0.0212085596	0.0585090616	0.010408195	0.0230062719	0.0707349878	0.063898145	0.0388721691	-0.1398419537	-0.0624173431	-0.017967977	0.0723793736	-0.1210236992	0.0819973079	0.0228106651	0.0935081497	-0.0560544808	0.0256391016	-0.0450094598	-0.0112496202	-0.0712708442	-0.0170887897	0.0064408061	0.0782804179	0.058377263	0.0090013886	0.0342057981	0.0574007537	-0.1442132113	-0.1189804203	0.0029294378	-0.052679116	-0.0836539481	0.021361976	-0.0115593838	-0.0737745225	0.0422700498	0.0506647559	-0.0546547425	0.0798888266	0.0677293798	-0.0423776822	0.0252722607	0.0351929526	-0.0638911913	-0.0839992098	-0.0937177561	0.0389587997	-0.0075703672	0.027110871	-0.0973353853	0.0702928812	0.0309258127	-0.1439355789	-0.0201427441	0.0041244319	0.0069688744	-0.0087403875	0.142636319	0.0683181371	-0.0699605646	-0.0153716691	-0.0050854672	0.1372518116	0.0531860453	0.0022999621	-0.0818817913	-0.092797785	-0.0149027004	-0.009565296	-0.049564744	0.0546549891	-0.0719857984	0.0507437419	-0.04774291	-0.0172571406	0.0323289865	0.0515696984	-0.0401397893	-0.0883272411	0.0107088047	0.0403790904	-0.0140854712	0.0317321544	-0.0248384148	0.0386180875	0.1190530584	-0.0761099401	-0.0677837766	-0.0172564536	-0.0021629042	0.048150882	0.0234465423	0.0581040731	0.082853354	0.0467354607	-0.0018145687	-0.0235408517	-0.0560010814	-0.0525662274	0.0714143714	0.0552325317	0.0133992151	0.0670715778	0.1172109407	0.037757053	-0.0051822141	0.0995713192	0.0624086952	-0.0975241472	0.0673740204	-0.0334821617	-0.0686502441	0.0666516684	0.0295531488	0.0032519986	-0.0034966436	0.0208055117	-0.0579362917	0.0342789757	-0.104917294	-0.0963218254	0.0740253025	-0.0095517236	0.0889143577	0.0435117681	0.0906289818	0.0903505904	0.089887238	0.0892398731	0.0	0.0	-0.0607259	-0.0274661999999999	0.00368763493081	0.0007543921424399	-0.0441956	-0.023683	0.000560884489	0.00195325105936	0.0635991	0.0303537	0.00404484552081	0.00092134710369	-0.000146773	-0.0001345106	1.809310151236e-08	2.1542313529e-08	0.000455321	-7.799599999999994e-05	6.0833760159999905e-09	2.07317213041e-07	-0.00158393	-0.00039216	2.5088342449e-06	1.537894656000001e-07
