onset	duration	trial_type	n_back_condition	trial_number	stimulus	response_type
0.0	n/a	RESPONSE	n/a	n/a	n/a	n/a
1.4745	2.1833	ISI	n/a	n/a	n/a	n/a
3.6579	0.5	DISTRACTOR	1	1	A	Correct Rejection
4.1579	1.0	ISI	n/a	n/a	n/a	n/a
5.1579	0.5	DISTRACTOR	1	2	C	Correct Rejection
5.6579	1.0	ISI	n/a	n/a	n/a	n/a
6.6579	0.5	DISTRACTOR	1	3	A	Correct Rejection
7.1579	1.0	ISI	n/a	n/a	n/a	n/a
8.1579	0.5	DISTRACTOR	1	4	J	Correct Rejection
8.6579	1.0167	ISI	n/a	n/a	n/a	n/a
9.6746	0.5167	TARGET	1	5	J	Hit
10.1913	1.0167	ISI	n/a	n/a	n/a	n/a
10.3609	n/a	RESPONSE	n/a	n/a	n/a	n/a
11.2079	0.5167	DISTRACTOR	1	6	B	Correct Rejection
11.7246	1.0167	ISI	n/a	n/a	n/a	n/a
12.7413	0.5167	DISTRACTOR	1	7	G	Correct Rejection
13.258	1.0167	ISI	n/a	n/a	n/a	n/a
14.2746	0.5167	DISTRACTOR	1	8	J	Correct Rejection
14.7913	1.0167	ISI	n/a	n/a	n/a	n/a
15.808	0.5167	DISTRACTOR	1	9	F	Correct Rejection
16.3246	1.0167	ISI	n/a	n/a	n/a	n/a
17.3413	0.5167	DISTRACTOR	1	10	A	Correct Rejection
17.858	1.0167	ISI	n/a	n/a	n/a	n/a
18.8747	0.5167	DISTRACTOR	1	11	H	Correct Rejection
19.3913	1.0167	ISI	n/a	n/a	n/a	n/a
20.408	0.5167	TARGET	1	12	H	Hit
20.9247	1.0167	ISI	n/a	n/a	n/a	n/a
20.9449	n/a	RESPONSE	n/a	n/a	n/a	n/a
21.9413	0.5167	DISTRACTOR	1	13	E	Correct Rejection
22.458	1.0167	ISI	n/a	n/a	n/a	n/a
23.4747	0.5167	DISTRACTOR	1	14	G	Correct Rejection
23.9914	1.0166	ISI	n/a	n/a	n/a	n/a
25.008	0.5167	DISTRACTOR	1	15	D	Correct Rejection
25.5247	1.0166	ISI	n/a	n/a	n/a	n/a
26.5414	0.5167	DISTRACTOR	1	16	E	Correct Rejection
27.0581	1.0166	ISI	n/a	n/a	n/a	n/a
28.0747	0.5167	DISTRACTOR	1	17	J	Correct Rejection
28.5914	1.0167	ISI	n/a	n/a	n/a	n/a
29.6081	0.5167	DISTRACTOR	1	18	D	Correct Rejection
30.1247	1.0167	ISI	n/a	n/a	n/a	n/a
31.1414	0.5166	DISTRACTOR	1	19	F	Correct Rejection
31.6581	1.0167	ISI	n/a	n/a	n/a	n/a
32.6748	0.5167	DISTRACTOR	1	20	B	Correct Rejection
33.1914	1.0167	ISI	n/a	n/a	n/a	n/a
34.2081	0.5167	DISTRACTOR	1	21	H	Correct Rejection
34.7248	1.0167	ISI	n/a	n/a	n/a	n/a
35.7415	0.5167	DISTRACTOR	1	22	I	Correct Rejection
36.2581	1.0167	ISI	n/a	n/a	n/a	n/a
37.2748	0.5166	DISTRACTOR	1	23	H	Correct Rejection
37.7914	1.0167	ISI	n/a	n/a	n/a	n/a
38.8082	0.5166	DISTRACTOR	1	24	D	Correct Rejection
39.3248	1.0167	ISI	n/a	n/a	n/a	n/a
40.3415	0.5167	DISTRACTOR	1	25	B	Correct Rejection
40.8582	1.0166	ISI	n/a	n/a	n/a	n/a
41.8748	0.5167	TARGET	1	26	B	Hit
42.3915	1.0167	ISI	n/a	n/a	n/a	n/a
42.4642	n/a	RESPONSE	n/a	n/a	n/a	n/a
43.4082	0.5167	TARGET	1	27	B	Hit
43.9249	1.0167	ISI	n/a	n/a	n/a	n/a
44.2362	n/a	RESPONSE	n/a	n/a	n/a	n/a
44.9415	0.5167	DISTRACTOR	1	28	G	Correct Rejection
45.4582	1.0167	ISI	n/a	n/a	n/a	n/a
46.4749	0.5167	DISTRACTOR	1	29	F	Correct Rejection
46.9916	1.0167	ISI	n/a	n/a	n/a	n/a
48.0082	0.5167	TARGET	1	30	F	Hit
48.5249	1.0167	ISI	n/a	n/a	n/a	n/a
48.5943	n/a	RESPONSE	n/a	n/a	n/a	n/a
49.5416	0.5167	DISTRACTOR	1	31	J	Correct Rejection
50.0582	1.0167	ISI	n/a	n/a	n/a	n/a
51.0749	0.5167	DISTRACTOR	1	32	E	Correct Rejection
51.5916	1.0167	ISI	n/a	n/a	n/a	n/a
52.6083	0.5167	DISTRACTOR	1	33	J	Correct Rejection
53.1249	1.0166	ISI	n/a	n/a	n/a	n/a
54.1416	0.5167	DISTRACTOR	1	34	E	Correct Rejection
54.6583	1.0167	ISI	n/a	n/a	n/a	n/a
55.675	0.5167	DISTRACTOR	1	35	J	Correct Rejection
56.1916	1.0167	ISI	n/a	n/a	n/a	n/a
57.2083	0.5167	DISTRACTOR	1	36	D	Correct Rejection
57.725	1.0167	ISI	n/a	n/a	n/a	n/a
58.7416	0.5167	DISTRACTOR	1	37	A	Correct Rejection
59.2583	1.0167	ISI	n/a	n/a	n/a	n/a
60.275	0.5166	DISTRACTOR	1	38	J	Correct Rejection
60.7916	1.0167	ISI	n/a	n/a	n/a	n/a
61.8083	0.5167	DISTRACTOR	1	39	D	Correct Rejection
62.325	1.0167	ISI	n/a	n/a	n/a	n/a
63.3417	0.5167	DISTRACTOR	1	40	J	Correct Rejection
63.8583	1.0167	ISI	n/a	n/a	n/a	n/a
64.875	0.5167	DISTRACTOR	1	41	B	Correct Rejection
65.3917	1.0167	ISI	n/a	n/a	n/a	n/a
66.4084	0.5166	TARGET	1	42	B	Hit
66.925	1.0167	ISI	n/a	n/a	n/a	n/a
66.9846	n/a	RESPONSE	n/a	n/a	n/a	n/a
67.9417	0.5166	DISTRACTOR	1	43	E	Correct Rejection
68.4584	1.0167	ISI	n/a	n/a	n/a	n/a
69.4751	0.5167	DISTRACTOR	1	44	B	Correct Rejection
69.9917	1.0167	ISI	n/a	n/a	n/a	n/a
71.0084	0.5167	TARGET	1	45	B	Hit
71.5184	n/a	RESPONSE	n/a	n/a	n/a	n/a
71.5251	1.0166	ISI	n/a	n/a	n/a	n/a
72.5417	0.5167	TARGET	1	46	B	Hit
73.0584	1.0167	ISI	n/a	n/a	n/a	n/a
73.0988	n/a	RESPONSE	n/a	n/a	n/a	n/a
74.0751	0.5167	DISTRACTOR	1	47	G	Correct Rejection
74.5918	1.0167	ISI	n/a	n/a	n/a	n/a
75.6084	0.5167	DISTRACTOR	1	48	E	Correct Rejection
76.1251	1.0167	ISI	n/a	n/a	n/a	n/a
77.1418	0.5167	TARGET	1	49	E	Hit
77.6585	1.0167	ISI	n/a	n/a	n/a	n/a
77.7604	n/a	RESPONSE	n/a	n/a	n/a	n/a
78.6751	0.5167	TARGET	1	50	E	Hit
79.0693	n/a	RESPONSE	n/a	n/a	n/a	n/a
79.1918	1.1167	ISI	n/a	n/a	n/a	n/a
89.3498	n/a	RESPONSE	n/a	n/a	n/a	n/a
89.4085	1.0167	ISI	n/a	n/a	n/a	n/a
90.4252	0.5167	DISTRACTOR	2	1	H	Correct Rejection
90.9419	1.0167	ISI	n/a	n/a	n/a	n/a
91.9586	0.5166	DISTRACTOR	2	2	E	Correct Rejection
92.4752	1.0167	ISI	n/a	n/a	n/a	n/a
93.4919	0.5167	DISTRACTOR	2	3	J	Correct Rejection
94.0086	1.0166	ISI	n/a	n/a	n/a	n/a
95.0252	0.5167	DISTRACTOR	2	4	B	Correct Rejection
95.5419	1.0167	ISI	n/a	n/a	n/a	n/a
96.5586	0.5167	DISTRACTOR	2	5	E	Correct Rejection
97.0753	1.0166	ISI	n/a	n/a	n/a	n/a
98.0919	0.5167	DISTRACTOR	2	6	C	Correct Rejection
98.6086	1.0167	ISI	n/a	n/a	n/a	n/a
99.6253	0.5167	DISTRACTOR	2	7	D	Correct Rejection
