global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07
468.6777922936309	n/a	219658.8729892318	n/a	610.0400899153939	n/a	n/a	372148.91130398185	399.2770931809037	n/a	159422.19713899205	n/a	398.8578662637892	483.4864679530761	n/a	n/a	n/a	n/a	-0.0640865817	0.0674759264	-0.0594484509	0.022586236	-0.1655597778	0.0383474108	-0.1980338609	0.1798644926	-0.2624560362	0.2614868911	-0.3475242899	-0.1946708934	0.1920895329	-0.1943444242	0.1733139716	-0.0233229371	0.1901480399	-0.1384430582	0.1096871958	-0.0520392214	0.0671932037	-0.225317196	0.0643513498	-0.0254279211	0.0597840704	-0.0615553075	0.0305206187	-0.0347201137	0.0272061731	-0.042326073	-0.0655583304	0.0139748288	-0.0188723576	0.002928911	-0.0142936067	0.0502790663	-0.0302458679	0.091729819	-0.0207425016	0.0931955179	-0.0839609361	-0.1117385881	0.0737747991	-0.1016560896	0.0495466129	-0.0489831322	0.0449943522	-0.0474144936	0.0379367913	-0.0520336156	0.0133606589	-0.074079061	0.1818265185	-0.1109795608	0.00907263	-0.0396754036	0.0783589628	-0.0857536887	0.0827908835	-0.0133475821	0.0549580838	0.0187697111	-0.0072747506	0.0325822062	-0.0994325953	-0.0042346483	-0.004431104	0.0758652103	-0.0492178977	-0.0723484194	0.0499969865	0.0581756661	-0.0633264701	0.1241123783	-0.0720205572	-0.0757203722	0.0343902173	0.0695771268	0.07880885	-0.1273180292	0.0580115097	0.0515723504	-0.0519022139	-0.0503589121	-0.0561188716	0.0987001817	0.0273298041	-0.0682758642	-0.0293692745	-0.1011552782	0.0624437766	0.0510606766	0.0022909786	0.0169619713	-0.1459699032	0.0417717819	0.004304329	0.0187112585	0.0782491835	0.0467058064	-0.0349756044	0.0629461061	-0.0848243293	0.0215790247	-0.0266132938	0.0911658165	-0.0204864377	0.0642889534	0.0272864589	-0.0011604662	0.0227555811	-0.0187933908	0.0737275089	-0.0391201382	0.0962087193	-0.0470760234	0.0219777518	-0.0285422447	0.178579731	-0.0913523757	0.0347729145	-0.0862547777	0.0310406139	-0.0773020561	0.1075818627	-0.0169022866	0.0568142952	-0.181819073	0.0548682952	-0.0340178814	0.0704974064	-0.1290697227	0.0248210412	-0.0789543536	0.0211531715	-0.0293665023	0.0429709102	-0.038486178	0.083259114	-0.0298280379	-0.0046646398	0.1303803149	0.0514151197	-0.0328041605	0.0880426564	0.0676829692	-0.0843017265	0.0832900449	0.019929987	0.0513824924	-0.1424675826	0.0046739014	0.0771019918	-0.0765008845	-0.0332559544	0.0202983999	0.1055743122	-0.0907572642	0.069764389	0.0042560397	0.0431996088	0.0549080632	-0.0759918071	0.0381108281	0.0976005512	-0.050997363	-0.0387389479	-0.0244490248	-0.0556996059	0.0054957036	0.0124991742	0.1479761333	-0.1455357101	-0.0455481964	0.0574671618	-0.0455665614	0.0298315009	-0.1136055043	-0.0607298974	0.00158934	-0.060899289	0.0606670638	-0.10821582	0.2112550983	-0.0330466112	0.2498843746	-0.2719379623	0.0538032968	-0.0330801635	0.0069781718	-0.1366085809	0.2158362342	-0.1779910198	-0.0290695416	0.0726692684	-0.1191630666	0.082301187	-0.023642933	0.0093551113	0.0903489333	0.0903433624	0.0903340779	0.0903210801	0.0283944	n/a	0.00080624195136	n/a	-0.109437	n/a	0.011976456969	n/a	0.0221384	n/a	0.0004901087545599	n/a	-0.000334406	n/a	1.1182737283599998e-07	n/a	-0.0	n/a	n/a	0.0	-0.0008696329999999	n/a	n/a	7.562615546888261e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
468.3101494831853	-0.3676428104456022	219314.39610896332	0.1351612360723409	599.3640113468375	-10.676078568556363	113.97865360198848	359237.218097772	398.678246445126	-0.5988467357777267	158944.34418856062	0.3586174129516384	398.2224026813187	497.6165959587213	1.512662	38.535351	0.21884745	0.120653	-0.0168404744	0.098010788	-0.1178590384	0.0765149826	-0.0011935612	0.0106059696	-0.1090064583	0.1735309825	-0.0955972907	0.2070743747	-0.0604497308	-0.0710128647	0.1136867401	-0.120665183	0.1840503255	-0.0758808029	0.082414541	-0.0019619104	0.063705592	-0.0731486001	0.1905775404	-0.0290068986	0.1354388489	0.0773643375	0.0149195485	-0.0129335174	-0.0166644664	0.0227349152	-0.0214898819	-0.0172120157	-0.1616122244	0.0470369942	0.1071958869	-0.0477936702	0.0394804057	-0.0754300627	-0.2569269709	0.0360060009	0.0237867859	-0.0024336875	0.1081387052	-0.1197212399	-0.0437751029	-0.0742744864	0.0160178367	-0.0678211484	0.0201994562	0.0515035891	0.1061663016	-0.0870142904	0.009751966	-0.0384701521	0.1533818846	0.0463235126	-0.0876401466	-0.0324290696	-0.0145757511	0.054597561	0.0076830704	-0.0077470618	0.0841555764	-0.0242249332	0.0746018316	-0.0659600933	0.0410263429	0.0356238218	-0.0500212517	0.0664109966	0.0424971633	0.0356710367	0.0642881373	0.0015404196	-0.0528536459	-0.0022670144	-0.0368518877	0.0698188085	0.0827702712	0.0272412157	-0.04278762	-0.0538592355	0.0570937912	0.0246320555	-0.0649384728	-0.0067653272	-0.0204350164	-0.0840681202	-0.0045272087	-0.0882587289	0.0095615566	0.0508374605	0.0327284123	-0.0133922806	0.079920403	-0.0128389906	0.110599148	0.0349262621	-0.0429093005	-0.0283494419	0.0760996272	0.1525895456	0.0187419413	0.0226526688	-0.0321790291	0.0382769729	0.0029363006	0.0236956769	-0.0135466274	0.1457821348	0.1057433838	0.0659410732	0.1000056047	0.0514722137	0.0306615376	-0.2774803384	-0.0164412793	-0.0246747869	-0.0190596061	-0.0258716957	0.0605942255	-0.1251210166	-0.1308995895	-0.0475486896	0.031659734	-0.0108332479	-0.0368684734	0.0932177004	0.071526949	-0.127706877	0.0216322588	-0.1243003706	-0.0798984981	-0.0244935019	-0.0033412817	0.0415711598	-0.0306064775	-0.0383721869	0.0521466388	0.0102227692	-0.0465198372	-0.0643857823	-0.0296302834	0.0144242544	-0.0761664911	-0.0396935853	-0.068655154	0.0267623656	-0.0796402901	0.0230763997	0.055782139	0.0043621093	0.0051300543	0.0014145308	-0.0833626172	-0.0935419834	-0.083459782	0.0579627028	0.0759876948	-0.0501850067	-0.0584225069	-0.0176259559	0.0155584978	-0.0223270183	0.041205923	0.0588082638	0.0210472564	-0.0150683887	-0.0816788275	-0.0177399783	0.026089511	0.0006748365	0.0083894889	-0.1041741717	0.0708139312	0.0115022767	0.056602293	0.0607043286	0.0538793723	0.0208821718	-0.1264149416	0.0305967185	-0.0038240333	0.1150540835	-0.0649851868	-0.0066713875	-0.165372343	0.2944793895	-0.1502282642	0.1038177554	-0.135051222	0.0255455418	-0.0554483344	0.1352901814	-0.2130524347	-0.0860661043	0.0051471255	-0.0014723057	0.07130362	-0.0150012773	-0.0461111299	0.0903340779	0.0902839469	0.0902004158	0.0900835156	0.0345735	0.0061791	0.00119532690225	3.818127681e-05	-0.0263299	0.0831071	0.0006932636340099	0.00690679007041	-0.0466928	-0.0688312	0.0021802175718399	0.0047377340934399	0.000462953	0.000797359	2.14325480209e-07	6.357813748809999e-07	-0.000167242	-0.000167242	2.7969886564000003e-08	2.7969886564000003e-08	-0.000619633	0.0002499999999999	6.249999999995002e-08	3.8394505468900005e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
467.6224572175017	-0.6876922656836086	218670.7624941342	0.4729206522810549	592.6935907396022	-6.6704206072353145	44.49451107742954	351285.69250380306	399.5993174270348	0.9210709819088264	159679.61448815212	0.8483717537144898	399.0438788898831	482.8005463255213	1.520683	38.739693	0.216842	0.131315	0.0589899044	0.0773553269	-0.0706814985	0.0468602795	-0.1287596632	0.048500385	-0.0227934932	0.1497535502	-0.0295752038	0.1155233916	-0.0455058931	0.022820864	0.084291468	-0.0497683721	-0.0909787389	-0.1107701432	-0.0339274876	-0.0697137601	0.0178331475	0.0004700189	0.0068667597	0.006007488	-0.0051513757	0.1000625376	0.0059496704	0.0076832297	0.0741647025	0.1044125974	0.1017192519	-0.0130237348	0.0417469878	0.1179332185	0.0571294508	0.0051653481	-0.1026128639	0.0470895996	-0.0695759575	0.01472149	0.1055998001	-0.0027393826	0.0504661698	-0.0745352535	0.0181644833	-0.0501405309	0.0432413545	0.1126022148	0.0974319021	0.0687879209	0.01970249	0.0022315908	0.0074405414	0.0788822172	-0.0250896213	0.1256432946	-0.0757784852	0.1315223011	-0.1652067055	0.0611298873	-0.0862379298	0.1010823849	0.1101527347	0.0108326654	0.0744642145	-0.0117115374	-0.0265066146	0.0698442719	0.056705895	-0.0615199367	-0.0488831991	0.0423708425	-0.0716323892	-0.0243383756	-0.0079964679	0.040715091	0.0763785913	0.0010730802	-0.0627234274	-0.1249916289	-0.0409383104	0.069708683	-0.0544200003	-0.022740397	-0.0049432236	-0.096465033	0.0459586753	0.0414937656	0.0870974768	-0.0303201024	0.0728072135	-0.0540201148	0.0104854184	-0.0730214077	0.0059529283	-0.0416304182	0.0906632614	0.0028109797	0.0352078553	0.0515423921	-0.0579560692	0.0437741548	0.1041619959	0.0001838571	0.0110074005	-0.0938422996	0.0243127351	0.0822921932	-0.0356985477	-0.0904513158	0.0683530892	0.074489362	0.0299337886	-0.1130338205	0.0836525679	-0.077415251	-0.0051882915	-0.1110692215	-0.0285565373	0.0354570282	0.0061913013	-0.0392480826	-0.0400334164	-0.0650537559	-0.0770925864	-0.0573990803	0.0042032109	0.0656504368	-0.0227512573	0.1369269672	-0.0248356663	-0.0763778082	-0.0765938721	0.1278912489	-0.0603615907	0.157434701	-0.1940672439	0.0215257337	0.0439453453	-0.0640787932	-0.0847756301	-0.0299771235	0.0103091539	-0.0136105457	-0.0993724849	0.094438925	0.0140744064	-0.0304871008	0.0845067023	-0.0239794851	0.0574280101	-0.0637992226	0.0182738112	-0.0799656138	-0.006258432	0.1084963274	-0.0294362537	-0.0104365908	-0.1231343241	-0.0300731409	0.0431726764	0.0671146036	0.1161825252	0.0820537699	-0.0168466755	0.0379279434	0.0132348998	-0.057293664	0.0228517197	0.0064423413	-0.0424028424	-0.0462761156	0.0319152481	-0.1160685479	0.0013204988	0.0216338052	0.0394142194	-0.0859226635	0.0647827959	-0.0582793101	-0.1450264862	0.0131391907	0.0093042008	0.0660369811	0.0018767471	0.1640411359	-0.0536832361	0.1111984965	-0.2469740557	0.2355659447	0.0305819971	0.0348171226	0.0172723039	0.2721345966	-0.0481712311	0.0802842322	0.0734585657	0.0014276517	0.0381829301	-0.0099054565	-0.1076330364	0.0903043695	0.0901651549	0.0899332895	0.0896090116	0.0236857	-0.0108878	0.00056101238449	0.0001185441888399	-0.151684	-0.1253541	0.023008035856	0.01571365038681	-0.0121331	0.0345597	0.00014721211561	0.0011943728640899	0.000953619	0.000490666	9.09389197161e-07	2.40753123556e-07	0.0002629	0.000430142	1.85022140164e-07	6.911641e-08	-0.000619633	0.0	0.0	3.8394505468900005e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
467.4393852458678	-0.1830719716338649	218499.5788790348	0.0335153467979106	589.5326522225442	-3.160938517057957	9.991532308620558	347548.7480365473	399.5351346951944	-0.0641827318403898	159628.32385590713	0.0041194230664953	398.84733073484966	494.5049790138894	1.569739	39.98941	0.27675972	0.180097	0.078082202	-0.0160512283	-0.0902385575	0.1585093515	0.0212951248	-0.0874105674	0.0724089132	0.067150933	-0.018841832	0.1764972028	0.0657731983	0.023742704	-0.0149176119	0.002157371	-0.0826150371	0.0978269268	0.1078314882	-0.0291783298	-0.0166301961	-0.0590080453	0.0743679518	0.0318906594	-0.0424930301	0.0762403214	-0.0943721557	-0.0236372396	0.0145840927	-0.0504144738	0.0027589586	0.0506611931	-0.1729045449	-0.1219772149	-0.0757165603	0.0164963879	0.127798556	-0.0109212179	-0.0340775078	0.0352898309	0.0402768899	-0.0238984954	-0.0839884193	-0.0833314535	-0.0027241445	0.0341234191	0.0511405342	-0.0192166623	0.0064449103	0.0925173838	-0.0522334373	-0.1155842588	-0.0014777218	-0.0893698394	0.0104613842	0.0158369137	-0.1442783713	0.0829015467	-0.0140394859	-0.0588611415	0.0198064746	0.0508815063	-0.1736445445	0.0829651026	-0.0686820806	-0.1225056229	0.1002692009	0.0265367342	0.1043411255	-0.0265465094	0.0094755359	-0.114652086	-0.0405330068	-0.0876348285	0.0470923478	0.1160820604	-0.0357948066	0.0184618054	0.0592553036	0.0169998103	-0.0951470708	-0.0032350674	0.0611697311	0.0189456227	-0.0211020687	-0.0599307325	-0.0876420393	0.0123959035	0.0500863758	0.1652635196	0.0029971473	0.0400022055	-0.0247471248	0.0563599195	-0.0501284633	0.0666039372	-0.0246518033	-0.1450276639	0.0170803519	0.0839400195	-0.0632886677	-0.0105247433	0.0970197291	-0.0839593714	-0.0260526027	0.0556318028	-0.0418190151	0.0825337021	0.020001758	0.1788562214	-0.0319403166	-0.0928550167	-0.015243026	0.1535570017	-0.0053992053	-0.0223813344	0.0075417736	-0.0257571425	-0.0786732979	0.0546323019	0.1014143064	0.0216176749	0.0181364402	-0.0381353385	-0.0304047558	-0.0230732509	-0.0629132998	-0.0207912589	0.0304776571	0.0278290228	0.0208936763	0.0377253003	-0.1495187726	-0.0971543738	-0.1214236683	-0.083332983	-0.0584604712	0.0727587364	-0.1420961089	-0.022305085	0.040466888	-0.016045991	-0.1525603565	-0.0916990286	0.0566680752	0.0915851375	-0.0356858412	0.109872986	0.0407360723	0.002919391	-0.112213435	-0.0113588329	-0.0313261686	-0.0946577842	-0.0117063527	-0.0448381774	-0.1139787982	0.0340421841	0.0317236227	0.0216887893	-0.0637330579	0.0033202733	-0.095665862	0.0955518151	-0.0349212863	-0.0466514031	-0.0430413974	-0.1229475277	0.1207802871	0.044932808	-0.0091289404	0.0632873207	-0.1531529521	0.0500204075	0.0405241813	-0.0206899964	0.029879501	0.0652120815	0.1621456759	-0.0014262468	-0.04184962	0.1664748007	0.0833029188	0.0234405174	0.0090583238	-0.0733049064	-0.1936442995	0.1811858803	-0.0270187966	-0.0564116315	0.0487954254	-0.0298816638	-0.0509933207	0.2453455759	-0.017636238	-0.1831866924	-0.0919524394	0.1220214011	-0.0250998394	-0.0248216339	0.0376555393	0.0902598131	0.0899870646	0.0895330941	0.0888988159	0.03737	0.0136843	0.0013965169	0.00018726006649	0.0150041	0.1666881	0.0002251230168099	0.02778492268161	-0.0690284	-0.0568953	0.00476492000656	0.00323707516209	0.00106573	0.000112111	1.1357804329e-06	1.2568876321000005e-08	0.000149757	-0.0001131429999999	1.2801338448999996e-08	2.2427159049000003e-08	-5.50466e-05	0.0005645864	3.1875780306496e-07	3.0301281715600003e-09	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
466.7503194966467	-0.689065749221129	217855.86075022176	0.4748116067496757	582.1931281476802	-7.339524074864016	53.868613645508496	338948.8384623812	400.2199907832676	0.6848560880731611	160176.04102255878	0.4690278613708734	399.329574623321	485.7692971284629	1.164088	29.65535	0.17913103	0.0802509	0.0671315611	-0.0691054936	-0.0279841381	0.1659041497	0.0914673578	-0.1837885905	0.0915772173	-0.0315724963	0.0403957803	0.1125183093	0.1014004086	0.1015388152	0.0356053816	-0.0023382015	0.0705160759	0.0447859156	0.0510896869	-0.104628748	0.0353627512	-0.1492987133	-0.0117259932	0.1152047076	-0.083521655	0.0391469057	-0.0173262534	0.0069147697	-0.147660864	-0.033251129	-0.1427066038	0.125273841	-0.1238050584	-0.3265899199	-0.0258502816	0.1312307715	0.1242497571	-0.1445805501	0.0525653051	-0.1020312881	0.0714759577	0.1017938801	0.0871251641	0.1132529102	-0.07411357	0.1196159038	0.0559371435	-0.0166594502	0.0302903398	0.102446361	-0.073819842	-0.0480904533	0.0587666909	0.0349245724	-0.1588346919	0.0357123399	0.0678553971	0.0418215321	-0.0575340439	0.0940884648	0.0741599925	0.0156440081	0.0451417943	0.0021669161	-0.0428926782	-0.0652932161	0.0028699985	-0.0012070585	-0.0498345495	-0.0063430491	0.0734032123	-0.0177231553	-0.0462744746	0.1534821914	-0.0668847685	-0.0145754482	0.0080418797	-0.0413256499	0.0634992704	-0.0256775953	-0.0068945578	-0.0489466488	-0.001350602	-0.0052018408	0.0804246643	-0.0037760273	0.1081348196	-0.0119574424	-0.0773727937	-0.0215505285	-0.0526818004	0.0764643703	-0.0785476418	0.026199911	-0.014223183	-0.0207472151	-0.0462831264	0.0224282621	0.0360254811	-0.0110528619	0.0207861644	-0.0631748984	0.0512825504	-0.0058433502	0.0073915982	0.1188761456	0.0587491236	-0.0958876498	0.1177707521	0.2542687024	-0.2526779353	-0.0538539585	-0.1720003902	0.2169903954	-0.1374785865	-0.0226005369	-0.0536894139	-0.0764160797	0.0991924486	0.0090998391	-0.1233969353	0.0867690989	-0.0339768519	0.0139933298	0.0092691462	-0.0567006022	-0.1237336057	-0.0037886373	0.0222533905	0.1213698666	-0.0139667485	0.1527454724	-0.0173958387	0.0870582637	-0.002273197	0.0306998218	-0.0531163785	-0.092529703	-0.0159335488	-0.0027681994	-0.0045009761	0.0256025391	-0.0629599938	-0.0190824962	-0.0634577754	-0.082355506	-0.0528008857	-0.020802356	0.0246205074	0.1247196215	0.0819515119	-0.0360688078	-0.0065091303	0.0203548662	0.0682671061	-0.0386688841	-0.0056400431	0.038141891	0.0213905347	0.0438134043	0.0559590912	0.0610214525	0.0292515641	-0.0508039669	0.0784425041	-0.0700266554	-0.0133742567	0.0841271826	0.0510987427	-0.013298811	0.0668784561	-0.0566453129	-0.0235806777	0.0625469015	0.0229317934	-0.0548588247	0.1079684438	0.0918944998	0.1304192011	0.0252393952	-0.169242136	0.1550288656	0.0325352622	-0.0868184484	0.0316103924	-0.2194799689	-0.0570603069	0.0318560224	0.1460099849	-0.1382113916	-0.0623513065	0.073620323	-0.0983009217	0.0536113559	0.0975776882	-0.0412025295	-0.217580503	0.2291904319	-0.2433927899	-0.0198630536	-0.2711795696	0.0902004158	0.089749793	0.0890004218	0.0879547967	0.00643319	-0.03093681	4.13859335761e-05	0.0009570862129761	0.0302645	0.0152604	0.00091593996025	0.00023287980816	-0.0943013	-0.0252729	0.00889273518169	0.00063871947441	0.00160627	0.0005405399999999	2.5801033129e-06	2.921834916e-07	0.000779342	0.000629585	3.96377272225e-07	6.073739529640001e-07	-0.00103814	-0.0009830934	9.664726331235598e-07	1.0777346595999995e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
466.1231815451751	-0.6271379514715818	217270.82037379628	0.3933020101759721	583.999381691902	1.8062535442218175	3.262551866013878	341055.2778165239	399.8496862782373	-0.3703045050302762	159879.7716168048	0.1371254264457178	399.16768752796025	488.1155092427796	1.240944	31.613285	0.1428716599999999	0.0838643	0.0461600918	-0.0451137421	0.0032601127	0.0726849033	0.0509836952	-0.0594638054	0.0575379588	-0.0498410299	0.0249550296	0.0549772572	-0.0061665105	0.0680256673	-0.0545682498	0.0531256193	0.0313036792	0.0315494723	0.0059904452	-0.0098660303	-0.0275902545	-0.1110305825	0.0241433436	0.1032088545	-0.0580461627	-0.0306158423	-0.0216049991	-0.0390251556	-0.1387571584	-0.0209399807	-0.0879164095	0.0070325802	0.0715266762	0.1668762608	-0.0487057105	0.0484682602	0.0569472469	0.1680136805	-0.0267924215	0.0258375571	-0.05085853	0.0180405862	-0.06587118	0.1128920106	0.0528226752	0.0238674376	0.0865410381	-0.0173957043	0.0369082983	-0.039443931	0.0238933342	0.0047815569	0.0083243511	0.1057978065	0.071911006	0.0284444735	-0.0159505912	0.059836758	-0.0362567802	0.0771883263	0.0652609669	0.0775742848	0.0682210059	-0.0266549382	0.0678183387	0.0585703995	0.0817056827	-0.0649812563	-0.0652004148	0.0970730179	0.0850698148	-0.0017275182	0.0285364599	-0.0221582523	-0.041587773	0.0180055644	-0.0252264792	-0.069698229	-0.1433761237	0.0860736915	0.0316440836	0.1049097254	-0.1231166483	-0.0868938923	0.156414559	-0.0159526205	-0.0896076069	0.1183829236	-0.0050609795	0.0545842231	-0.0130990605	0.0442766062	-0.0285367862	-0.0784542208	-0.0966348644	0.0034972071	-0.0657010902	0.044888009	0.0389571192	0.0538226369	0.0721387617	-0.068398266	-0.0078637869	-0.014203425	-0.05932256	0.0731633094	0.0594356853	-0.1373451655	0.0469773838	-0.074669192	0.0849528348	-0.0638777749	-0.0300596819	-0.0080195108	0.2009428678	0.0012931449	0.0722829469	0.0840216337	0.0524919359	0.0252319839	-0.0240952877	0.093141354	0.0971182038	-0.0699301728	0.049883877	-0.032882798	0.0302053338	0.028917293	0.006639008	0.0288811717	-0.0014203428	-0.1113369776	0.0606702773	0.0454356551	0.0378778619	-0.0338143444	-0.1109745434	-0.1062243034	0.0523309506	-0.0955756086	-0.1303101174	0.0008555792	0.0479223461	-0.0650534578	0.0247548084	-0.0561693385	-0.0758341813	0.0546415061	-0.0843169036	-0.0794072038	-0.0302622822	-0.0323339283	-0.0923880047	0.0798099203	0.0603913081	0.0763191004	0.0695610535	-0.1511518061	-0.075677931	0.0684587621	0.0838423657	0.021530359	-0.111524708	0.0715871846	-0.0681397031	-0.0700721966	0.0734655632	0.0185142082	-0.000379873	0.0769199368	0.0457371352	-0.0843014836	-0.0096233264	0.1121529372	-0.0315541071	-0.0061759093	-0.0497477479	0.0339451433	0.0624435898	0.0244865975	-0.0510434749	0.0944256901	-0.0249571423	-0.0483620831	0.0070969599	0.0077223137	-0.0126698129	0.042130077	0.0023196911	-0.0207885248	0.0468151037	-0.0248124505	0.0967595271	-0.060127541	0.0315613305	0.0611693543	-0.018622393	-0.0962173638	0.0554957995	0.1116758633	-0.0415888116	0.0901261876	0.0894534963	0.0883360609	0.0867794369	0.0100398	0.0036066099999999	0.00010079758404	1.3007635692099996e-05	-0.0159067	-0.0461711999999999	0.0002530231048899	0.0021317797094399	-0.0454913	0.04881	0.0020694583756899	0.0023824161	0.000743663	-0.0008626069999999	5.53034657569e-07	7.440908364489999e-07	0.000779342	0.0	0.0	6.073739529640001e-07	-0.00106121	-2.3070000000000035e-05	5.322249000000015e-10	1.1261666640999998e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
