global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11
563.0140007388624	n/a	n/a	316984.76502797974	647.1791453436407	n/a	n/a	418840.8461677252	460.2338105492449	n/a	211815.16037267825	n/a	457.6458826342729	744.5021446924753	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0623932	n/a	n/a	0.00389291140624	-0.0564244	n/a	n/a	0.00318371291536	-0.148635	n/a	0.0220923632249999	n/a	-0.0007628319999999	n/a	n/a	5.819126602238475e-07	-0.000628636	n/a	n/a	3.95183220496e-07	1.05879e-22	n/a	n/a	1.1210362640999999e-44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
559.893116675123	-3.120884063739368	9.73991733930235	313480.3021001829	632.0065505175899	-15.17259482605084	230.20763375550476	399432.2798971429	459.1901338414287	-1.0436767078161893	210855.5790173092	1.0892610704380392	456.4040233680409	738.0557811643175	1.481631	32.729099	0.13753418	0.0774400999999999	-0.0121851716	-0.0644113024	0.0618307311	-0.0125835489	-0.0566967559	0.0506029832	-0.0347221065	0.071463086	-0.0155653837	0.1187487953	-0.2339099074	0.0879199269	-0.0223313337	0.1383516193	-0.0057887712	0.2391663812	-0.0904840612	0.187283978	-0.0813056041	0.0157255078	-0.0075553995	0.0235509796	0.0756112345	-0.0264455187	0.0611302038	-0.0013045528	0.0423803674	-0.0076047725	-0.003168642	0.0199288913	-0.0520381519	0.0972198649	-3.40143e-05	0.0191836055	-0.0128072783	0.0907448683	-0.0140237546	0.0202208869	-0.0605739521	-0.0242050053	0.0291637739	0.0305761405	0.0473078854	-0.0829444109	0.0499173614	-0.0011486159	0.036839736	-0.0107111178	0.0238169325	-0.0589277161	0.0573285953	-0.0931190724	0.0100859587	-0.0647977056	0.0227356822	-0.0598768488	0.0750283637	-0.0340341472	0.064327425	-0.0494483456	0.045947312	-0.1005389178	-0.007385462	0.0457652822	0.0850135839	-0.0542516246	-0.0155538378	0.0622515457	-0.0549029585	0.0088995829	0.0459211994	-0.0956933919	-0.0092559519	-0.1196049275	0.090749092	0.0430076162	-0.0299014801	-0.0750008238	0.0449406662	0.0322467906	-0.1032174197	0.0366933475	0.0751034287	0.1195863307	-0.0025506589	-0.0381241481	0.0146253094	0.0261674311	0.037180111	0.0778957435	-0.0338315514	-0.0431789203	-0.0131581883	0.00147947	-0.011962733	0.0725594985	-0.0390405706	0.0611271112	-0.0388970437	0.0422197749	-0.0120080348	0.0062687134	-0.0198167377	0.0638534355	-0.0917061909	0.0147177248	-0.0241769905	0.0053833615	-0.092069225	0.0217985437	-0.0090608122	0.0517567574	0.0334067397	-0.0174578739	-0.0247947624	-0.0843731669	0.0690635001	-0.0565335672	0.0148379697	-0.0173615349	0.0687335635	-0.054185866	0.0156592143	-0.006148951	0.1088380544	-0.0493867554	0.0307567831	-0.0149724266	0.0310108207	-0.0266312798	0.043065157	-0.0341336064	0.0865994018	-0.0234818748	0.0617580487	-0.1210323141	-0.0105096113	0.0428466623	-0.0662405575	0.0479475122	0.0069485536	0.0405708088	-0.0952675004	-0.0286070245	0.0257957092	0.075409415	-0.1496754961	0.0471499983	0.049141305	0.0186290159	-0.0355746241	0.0734780139	0.0283451519	0.1259811651	-0.0191192218	-0.0434412848	0.0023240102	0.005698964	0.1161503548	-0.026606307	-0.0033353211	-0.0261884226	0.0552910889	0.009018865	-0.0258840847	0.1191352465	-0.0729982684	0.0435183808	-0.0302619346	-0.0433340672	0.0371572635	-0.0474047176	0.0742487775	-0.0065467181	0.0431869126	-0.0161215148	0.0633478221	-0.0145051691	0.1079495204	-0.0526416178	0.0111496509	0.0348192168	-0.0856665958	0.052914055	-0.0563707828	0.0004222856	-0.0353323667	0.0930211815	0.09053387	0.0905282418	0.0905188619	0.0905057305	0.0	0.0623807	-1.2500000000005562e-05	1.5625000000013902e-10	0.0038913517324899	0.00165298	0.05807738	0.0033729820676643	2.7323428804e-06	-0.105344	0.0432909999999999	0.0110973583359999	0.0018741106809999	-0.000506224	0.0002566079999999	6.584766566394868e-08	2.56262738176e-07	-0.000617208	1.1428000000000067e-05	1.3059918400000154e-10	3.8094571526400005e-07	0.00045503	0.00045503	2.070523009e-07	2.070523009e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
559.6672833967908	-0.2258332783321748	0.0510006696022575	313227.46810474375	629.3711400242169	-2.6354104933730014	6.945388468580527	396108.0318953824	459.1863249537576	-0.0038088876710844	210852.08102453788	1.4507625290939115e-05	456.4142444216524	740.3085186493829	1.016885	22.462902	0.12688087	0.0602068	0.0307448846	0.0004261158	0.071216011	-0.0272554959	-0.0272173099	0.0821569508	0.0206004625	0.0111617183	0.0401827969	0.0176960937	-0.2013467964	-0.0007854379	-0.0611016567	0.0958155493	-0.0504269554	0.0357908692	-0.0183720687	0.1901083858	-0.111434349	0.0065038322	0.0799408246	0.0150662087	0.0733404532	-0.0487409806	0.070248232	0.0831089583	-0.0607744414	-0.1177867756	-0.0281716908	0.0480734538	-0.0898816568	0.1050737876	0.0878432615	-0.0134315393	0.0318586127	0.0747229055	0.0453062833	-0.118151536	-0.0035389959	0.0678693166	0.1369272117	0.0283425166	-0.0861048308	-0.0261252635	-0.0244350728	0.0486705585	0.0738705079	0.0184984053	-0.0231393768	-0.155655164	-0.0154814863	-0.1306530927	0.0869246964	-0.0427041745	0.0267387628	-0.0020706374	0.0821107525	-0.0861994141	0.0074535985	-0.0658838437	0.0403343953	-0.0916654961	-0.0450939957	0.0336972271	0.0184148368	-0.0012954429	0.0068629185	-0.0552552287	-0.0027921692	-0.0904467739	0.0364983878	0.0248513916	-0.0349719883	-0.0655050826	-0.0096069079	-0.0155521057	0.0173716348	-0.0367331856	-0.0317591342	0.0497976259	-0.117504216	-0.1048665316	-0.0281647074	0.0035554318	0.0339839822	0.0045639463	0.0141994364	0.0255527236	-0.0017411238	-0.0529562722	0.0108305161	-0.004870548	0.0006190268	-0.0891687373	-0.0065502078	0.070257099	-0.0628018693	-0.0030498728	-0.1259230531	-0.0601884143	-0.0894931635	0.0035608456	-0.0762569678	0.0933276977	-0.0767965084	0.0524139694	-0.0195353927	0.0704445156	-0.0247041561	0.0833000629	-0.1470801462	-0.028356375	-0.0067650458	-0.152303234	-0.0027864332	0.0227922642	0.0879701928	-0.0086187353	0.1170983465	-0.0195940103	0.1302825305	-0.0604177914	-0.0687242285	-0.0114442494	0.0670484746	-0.0797456254	0.0282426355	0.0019527154	0.0752392267	-0.003433669	0.0670542984	-0.0321533747	0.0396796849	-0.0170817482	0.1530683799	-0.0297151009	-0.0270590126	0.0472321722	-0.023344576	-0.0262280965	-0.0060954009	-0.0420474285	0.0816251872	-0.0175642032	-0.0105997665	0.0586833094	-0.050947014	0.0385041786	0.0066377722	-0.0776621562	-0.0526298463	-0.0627762196	0.0299406623	-0.0057838437	-0.0049532685	-0.141309682	0.0616467551	0.0137668755	0.0451811116	-0.0020632946	-0.0318800585	-0.0085748959	-0.0223619629	0.0009975592	0.0194183563	0.1072620125	-0.0719342865	-0.0159439655	-0.0513169697	-0.0695843401	0.0878003113	-0.0494016449	-0.0322740016	-0.0597044507	0.0523509751	0.0157901096	-0.0098813607	-0.0481371822	0.0430090839	-0.0832030714	-0.0160721141	-0.0398656157	0.0371176854	-0.0341477542	-0.0351140096	0.0649174793	-0.0130056941	0.0611898764	0.0905188619	0.0904682157	0.0903838265	0.0902657256	0.0	0.0449512	-0.0174295	0.00030378747025	0.0020206103814399	-0.0139694	-0.01562238	0.0002440587568644	0.00019514413636	-0.14973	-0.044386	0.0224190729	0.001970116996	-0.000186371	0.000319853	1.0230594160900001e-07	3.4734149641e-08	-0.000738836	-0.000121628	1.4793370384000009e-08	5.45878634896e-07	-9.23488e-05	-0.0005473788	2.9962355068944e-07	8.528300861440002e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
559.4926158625138	-0.1746675342769776	0.0305087475303991	313031.9872046785	628.3947072486811	-0.9764327755357272	0.9534209651404038	394879.9080981556	459.423478026313	0.2371530725553725	211069.93216179407	0.0562415798224537	456.5050752251039	732.3708269311974	1.205561	26.630739	0.18099784	0.11021	-0.0688131579	0.0382268164	0.066679293	-0.0351833522	0.0591118478	0.0404882173	-0.0769149225	0.0284326419	-0.0077593067	0.0547258594	-0.0013397319	-0.0922215268	-0.0255898652	0.0173918191	0.0177856289	0.1287835617	-0.0047123847	0.0340996262	-0.0435015877	0.0265487529	0.0328594696	0.0676472071	-0.0833999426	0.0845800738	0.0043914562	0.0523399873	-0.0254029534	0.0733712874	-0.1161262062	0.0786014084	-0.0588101801	0.0230976738	0.0414081048	-0.136032589	0.089326836	-0.0452272055	0.0245732862	0.0414101715	-0.0814060418	-0.0613669307	0.023711957	0.0399697859	-0.0534724194	-0.0382415116	-0.0478733059	-0.1177501318	-0.0021263572	-0.041792362	0.0809433147	-0.0483959626	-0.0720391826	0.0014438279	-0.1135451742	-0.0020229064	-0.0163235743	0.0036843929	-0.0264901823	0.0262353724	-0.0067473984	-0.0189656774	-0.0686601808	0.043598047	0.1144376695	-0.0102126613	0.057376648	-0.0422128534	-0.0585775854	-0.0526871169	-0.0425225033	0.0091365784	0.0254693902	-0.1185027295	-0.0290396543	0.0108484494	-0.0336046696	-0.067677218	0.1162316909	0.0886989444	-0.0375217092	-0.044444731	0.1446932979	-0.1462223455	0.0361300216	-0.0865709781	0.0948597788	0.0243581863	-0.0733194428	0.1692016674	-0.1118820558	0.1326880169	0.0489138569	0.1136739245	-0.030938609	-0.0318131771	-0.0693369479	-0.0738229108	0.0848384025	-0.0224127914	-0.0470927946	-0.0198640206	0.0734014074	0.1169936331	-0.0679164332	0.0479594837	-0.0174871187	0.0832780158	0.1142818698	0.0336288381	0.06275158	-0.1033482595	-0.0186407873	0.0875131754	0.071022208	-0.0226383198	-0.0316399323	0.039573705	0.0601214664	0.0506453822	-0.0444339657	0.0430834837	-0.0162547068	-0.0828873363	0.0316939423	-0.1187764143	0.0262654927	0.0921447007	-0.0082401062	-0.0710084627	0.0076836402	-0.0327988122	0.0007755424	0.0704912773	-0.0908252147	-0.0328809801	-0.0641564353	-0.0781034474	0.0165559934	0.0285558495	-0.052332202	-0.0802312817	0.0184480339	-0.0138102783	-0.0329081719	-0.0909130694	-0.0592642292	-0.14505892	0.0240913856	-0.0341806476	-0.079852347	0.0315303721	-0.0719421045	-0.060006027	-0.0670628931	-0.1627742907	-0.038213163	0.1159384694	0.1066010617	0.0041362416	0.0792392112	0.1138359906	-0.0334573029	0.1789298708	0.0331754316	0.0260889331	-0.0742797505	0.051965723	-0.0447297424	-0.0513868007	0.0099122669	-0.0059003245	-0.0391193806	0.0339575544	-0.0332514927	0.0657054213	0.0629598135	-0.0155336988	0.0858827871	0.0053291859	0.1383737002	-0.0341879144	0.0556509872	0.0452362615	-0.0804583898	-0.0134409845	-0.039699506	0.0645525198	-0.0387964086	0.0511241348	0.0904888482	0.0903482033	0.0901139571	0.0897863522	0.0	0.0450067	5.55e-05	3.080249999999999e-09	0.0020256030448899	0.0191597	0.0331291	0.00109753726681	0.00036709410409	-0.048862	0.100868	0.002387495044	0.010174353424	0.000205679	0.00039205	1.537032025e-07	4.2303851041e-08	-0.000617208	0.000121628	1.4793370384000009e-08	3.8094571526400005e-07	0.000332878	0.0004252268	1.8081783143824002e-07	1.10807762884e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
558.7824473102013	-0.7101685523125525	0.5043393726937067	312237.82342197787	627.0994551726869	-1.295252075994199	1.6776779403672823	393253.7266778808	457.7888910104166	-1.6345870158963862	209570.66873254708	2.6718747125370528	455.0647082601122	739.0028790111986	1.148143	25.362387	0.17525168	0.0772468999999999	0.0039683729	0.0678536379	0.0209829299	-0.0683044753	0.0532897504	0.0175420732	0.0220015485	-0.062811005	-0.0122459713	0.0510947201	-0.0152971341	0.0327152444	0.0979740114	0.0031517252	-0.0313188902	-0.0181264576	0.0319278048	0.0957272501	0.0271445541	0.0794816788	0.0578521132	-0.0729713204	0.0009666533	-0.1064567026	0.059078309	-0.0781689115	0.0860491694	-0.0342611427	-0.039914745	-0.0085960406	-0.0066278358	0.0379761111	-0.0536908565	0.0232694632	0.045747432	-0.0144219174	0.1066229429	0.0155632033	-0.0411743771	0.0707751744	0.0936831402	-0.0203941327	-0.1065216089	0.0628794692	0.0398287209	0.111237829	-0.1042708428	0.1047519697	-0.1033546335	-0.0045885187	-0.0730565572	-0.015018003	-0.0958998457	-0.0474620372	-0.0267326824	-0.0243851081	-0.0115158182	0.0171912504	-0.0879036441	-0.0271792826	0.0381482581	-0.0140880484	-0.0090337295	0.1479669179	0.0666014103	-0.0594707541	-0.0565342676	-0.1277937876	-0.082434037	0.0484477076	0.027101738	0.0052166723	0.0185925145	-0.0719938421	-0.0279919703	0.1109272486	-0.0967694859	0.0639172359	0.007469787	0.0684520851	-0.0709355953	-0.0121002441	0.024198561	0.0245067215	-0.0366010222	-0.1077804429	0.0878638619	0.0978886317	-0.0585115779	-0.0713436776	0.0056525614	0.0683229602	-0.0685922601	-0.0591501945	0.0855161357	-0.0044228275	-0.1075259523	0.1038064336	0.0413959966	0.0618031226	-0.061340088	0.0463094871	0.0181025606	0.0066778686	-0.0532646821	-0.0431598712	-0.0200981202	-0.0312571845	-0.0126686626	-0.0867585059	-0.0551262501	0.0133147501	-0.0509839279	-0.1232428766	0.0498100938	0.1111576406	-0.0218624612	-0.0164927208	0.0669282012	-0.1644687322	0.0073958604	0.1287591114	-0.0269304106	0.0022218407	0.0463719664	0.0708666426	-0.0556073391	-0.0719713979	-0.0662248343	-0.0460007688	-0.0135179374	-0.0177279583	-0.0476016361	-0.0264760283	0.0548957475	0.0065590059	-0.1442323332	0.0285487231	-0.1139323772	-0.1186723849	0.0931392784	-0.0038880065	-0.023490574	0.0236657978	0.0136688235	0.0140002281	-0.0052800849	0.0258675799	0.1005114965	0.080918935	0.0714351935	-0.0210163429	0.1184654643	0.0496554981	0.0189145913	-0.0631136532	0.0431713111	0.0839963648	0.1380745698	0.0531239308	0.0122640004	0.0399765231	-0.0869486761	-0.0439834552	-0.0072515107	0.071030091	0.0152225443	-0.0616441052	0.0135655914	-0.0963922196	0.0722103955	0.0761035381	0.0963347351	-0.0288371455	-0.013456944	0.0639981636	-0.0062681518	0.0368458946	0.0443307212	-0.0691076205	-0.0200845426	-0.0522876723	0.0141115879	0.0207353729	0.0544090913	-0.0093097009	-0.0461724744	0.0878099158	0.0904438339	0.0901682842	0.0897096563	0.0890688815	0.0	0.0271144	-0.0178922999999999	0.0003201343992899	0.00073519068736	-0.00432218	-0.02348188	0.0005513986883344	1.86812399524e-05	-0.0961892	-0.0473272	0.00925236219664	0.00223986385984	-0.000180593	-0.000386272	1.4920605798400004e-07	3.2613831649e-08	-0.00110773	-0.000490522	2.40611832484e-07	1.2270657528999998e-06	-0.000521334	-0.000854212	7.296781409440001e-07	2.71789139556e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
559.5330861824477	0.7506388722464408	0.5634587165274084	313077.2745328545	628.3624190119133	1.262963839226359	1.5950776591933835	394839.3296265033	459.8785529362412	2.0896619258246005	211488.2834507312	4.366686964240978	457.0032414274013	731.916674727603	1.120928	24.761208	0.150756665	0.0793952	-0.0774112015	0.0618170023	-0.0273966351	-0.0612304407	0.070352481	-0.0573170483	-0.0211472242	-0.0025501813	-0.0304219571	0.0244277209	-0.019921919	0.0142630106	0.1011409237	-0.0575480951	-0.0860613674	0.0643369786	-0.037143283	0.0650070776	0.0459124527	-0.0046331666	-0.0535245876	0.0188228303	-0.1062322172	0.0695231893	-0.045980467	-0.0380494338	0.0392353474	0.0138906499	-0.0787141309	-0.0844413552	0.0535719874	0.033362341	-0.0332608557	0.0651052813	-0.0165368625	-0.1553409048	-0.0074440138	-0.075180289	-0.007601598	-0.0065037709	-0.0045317358	0.0304418857	0.0458671613	0.0361156636	0.0163851655	-0.0448331254	-0.029992245	0.0471165273	-0.0826120532	-0.0783067232	0.0106896862	-0.0072866713	0.1332993287	-0.0060316512	0.0333645346	0.0261718223	-0.0130722658	0.0761881151	-0.0275990839	0.0882141344	-0.0890459983	0.064056725	0.0297377154	0.1182698125	0.0968763991	0.0077341653	-0.0696500879	0.0205392019	0.0278601133	-0.0138204476	-0.1840082176	-0.0149737487	0.0462366016	0.0997945037	0.0364728832	0.0214598767	0.0318597723	0.0522998932	0.0872114631	-0.0306305473	-0.0971860717	-0.0449349074	-0.0210783799	0.0357619794	0.1340738269	0.0300258391	0.0299468062	0.0247461487	-0.0892683286	-0.1299303479	0.0045893714	0.0429985732	-0.004956461	0.0604305113	-0.0268114039	-0.0989557383	0.0797762754	-0.0171815401	0.0477675659	0.0395257002	-0.0192876888	0.0906746607	0.0813352092	-0.0411193171	-0.0429085737	-0.0437916288	-0.0734350443	-0.0411438983	0.1505702868	0.0110721848	-0.0177565091	0.0150165813	0.0014737737	0.0162114485	-0.025485713	-0.0317544753	-0.0393309528	-0.0165491746	-0.0582270168	-0.0521962504	0.0741526616	-0.0356046943	-0.0897000729	0.0657083545	-0.0233550748	-0.0784162828	-0.0040181155	0.0324985503	0.051749177	-0.0192690596	-0.0536446479	0.0803584364	-0.0808329329	0.0938593382	-0.0496437698	0.0452442284	-0.0965178967	0.0825792686	-0.0554224363	0.0039984829	-0.0580369342	0.0653884463	-0.0323616188	0.1341161455	-0.0894659487	0.0408147371	0.1021075627	-0.1063015241	-0.0015325167	0.0114447877	-0.0282520731	0.067051257	-0.0661164136	-0.0391971179	0.0627836341	-0.099562525	0.1061874099	-0.1159483133	0.0645071133	-0.0211141569	0.0455823954	0.0528954038	-0.1475305924	0.0045833323	-0.0685650471	0.0075930536	0.0323568351	-0.0231783615	0.0522698699	-0.0455764131	-0.0296767174	-0.0013743007	0.0746716942	-0.0362455029	0.083572087	0.0191546169	0.0262433067	0.0579874215	0.1068426818	-0.0461080489	0.0861465631	0.0415125949	0.0259595381	-0.025901569	-0.0238952692	0.074315352	0.0139291358	0.0041137587	0.0903838265	0.0899285776	0.0891715273	0.0881152162	0.0	0.0197817	-0.0073327	5.3768489290000014e-05	0.0003913156548899	0.000912185	0.005234365	2.7398576953225004e-05	8.320814742250001e-07	-0.0385943	0.0575949	0.0014895199924899	0.00331717250601	0.000392767	0.00057336	3.287416896e-07	1.54265916289e-07	-0.000948919	0.0001588109999999	2.5220933720999973e-08	9.00447268561e-07	0.000358389	0.000879723	7.73912556729e-07	1.28442675321e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
