global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	c_comp_cor_42	c_comp_cor_43	c_comp_cor_44	c_comp_cor_45	c_comp_cor_46	c_comp_cor_47	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
548.2914653063559	n/a	300623.5309277909	n/a	648.0244009833553	n/a	n/a	419935.6242698365	445.5955306439067	n/a	198555.3769298248	n/a	486.4806409378981	558.0138174678095	n/a	n/a	n/a	n/a	-0.0402281293	0.0417672385	-0.0374594893	0.0458454472	-0.0126388987	0.0081135284	0.7774317824	-0.1734958259	0.1867903067	-0.1528807042	0.035926218	0.0266493715	-0.0969905769	0.0744705544	-0.0852065344	0.0763850902	-0.0835401516	0.0131832841	-0.0453846774	0.0135247434	-0.0304508717	0.0448674766	-0.0024343939	0.0324925699	-0.122401505	0.0214673078	-0.0776684817	0.0434300457	-0.0198937114	0.0422506253	-0.0477785079	0.0885040471	-0.0620731141	0.006810286	-0.0645361447	-0.0213755395	0.0255512847	0.0062335415	-0.0167020701	0.0207390295	-0.0367822624	0.0512667542	-0.0159564142	0.0820687273	-0.0798550752	0.0354065326	-0.017726845	0.0111067543	-0.0013250699	0.0049655048	-0.0609975986	0.0233420448	-0.0333623457	0.0039066109	-0.011609902	-0.0988367494	0.0111437725	-0.0218168672	0.0442992114	-0.0274125521	0.0981812059	0.0477325951	-0.030959348	0.025195406	-0.0425000674	0.1271971881	-0.0082008497	0.007893294	-0.0414036401	0.0354486918	-0.1502018651	-0.0007044793	0.0193334798	-0.0603882042	0.0396176911	-0.041445142	0.0436957573	-0.0227326404	0.0387360904	-0.0377653944	0.0764399888	-0.0488848939	0.0539877843	-0.0535616776	0.0212550569	-0.0553185227	0.0935570451	-0.0573536746	0.0036633909	-0.0684945189	0.0133084154	-0.0631273513	-0.0220391476	0.0363317921	-0.0338626586	-0.0674323768	0.0940743925	-0.1411631279	0.0471503488	0.0502397223	-0.0476180508	-0.0070233791	-0.0289237257	0.0852342724	-0.0401104464	-0.0241192232	-0.0165303725	0.0245781488	0.0314398072	-0.0014268836	-0.0265769849	-0.0387347381	0.0465487675	0.020320125	-0.1000236554	0.0168567618	0.0122751266	0.1100544713	-0.0439025398	-0.0606859036	-0.0087567625	0.1406321127	-0.013779794	-0.0432781428	0.0532025709	0.0801661573	-0.0765900932	-0.0370161223	-0.081911967	0.0471769538	0.0021490767	0.0074281889	0.0333323072	0.0577175056	-0.0647197165	-0.01664904	-0.1223701066	-0.274506742	0.0551932897	-0.1875867059	0.6641306726	-0.1280412837	0.0455915498	-0.1381590836	0.1210217754	-0.0946750836	0.0750367722	-0.0170470155	0.0445396494	-0.0113958816	0.0781328647	-0.0506466447	0.0369455957	-0.0425564618	0.083467544	-0.0748461152	0.0507551678	-0.0366245092	-0.0153386012	0.017963748	-0.1756701538	0.0100609228	-0.0295848698	0.0610968646	-0.028117473	0.0625392556	-0.0145277558	0.0391301028	-0.0017058393	0.0770456163	-0.0041159427	0.0209911294	-0.0161608787	0.0168537195	-0.0283960142	0.0381415928	-0.0195379604	0.0330014677	-0.0200511524	0.0358254906	0.0381347153	-0.0020182553	-0.0331870636	0.0264893937	-0.0081707372	-0.0079612024	-0.0062362413	-0.0113047984	0.060982918	0.0136766768	-0.057986342	-0.0027376013	0.0285947971	0.0359452927	-0.0364851943	-0.0104653804	-0.0553782427	0.0357508931	-0.0523841771	-0.0160446427	0.0287061207	0.053489286	-0.0702614466	-0.0404866338	0.0206112681	0.0421365519	-0.0127412671	-0.007795279	-0.0260594362	-0.0188942771	-0.0167962347	0.0006664043	0.0196401009	0.0183106462	-0.1217693798	-0.0302825424	-0.0106310131	0.0532671873	0.0134855791	-0.0031009152	0.0544969009	-0.0259074026	0.0090781358	-0.0348754415	-0.0020962122	0.0997749463	-0.0306854159	0.0591754406	-0.094364373	0.0891279615	-0.160105533	0.1066918047	-0.0183409964	0.0567739267	-0.0341119096	0.0372592798	-0.0182790186	0.068009887	-0.0811868396	0.035340872	-0.0675213386	0.2027629836	0.0903489333	0.0903433624	0.0903340779	0.0903210801	0.019743	n/a	n/a	0.000389786049	-0.110635	n/a	n/a	0.012240103225	-0.0269901	n/a	0.00072846549801	n/a	0.000472848	n/a	2.23585231104e-07	n/a	-0.000825437	n/a	n/a	6.81346240969e-07	0.0007948859999999	n/a	n/a	6.31843752995841e-07	0.0	0.0	0.0	0.0
547.0932253040568	-1.1982400022991442	299310.9971735954	1.435779103109853	635.3791763354243	-12.64522464793106	159.90170639664316	403706.6977206822	445.608782164108	0.0132515202012655	198567.18674177944	0.0001756027876445	484.08021726079176	548.1150807016742	1.193896	30.018627	0.1150785	0.0800683999999999	0.0366433656	-0.0357528464	-0.0076793409	0.0411908965	-0.0040862751	0.0958703263	0.3346576202	-0.1094999605	0.0932154924	-0.0395300212	-0.101916509	0.0391068376	0.0895217872	-0.1701968992	0.0192529541	-0.1295585489	0.0748523248	-0.0747847452	0.0044562935	-0.193321305	-0.2434088132	-0.1228785148	-0.0687647938	0.0049868347	0.1799387097	-0.0358490317	0.1933419284	-0.0858826562	0.0409362177	-0.0375815741	0.0431771341	-0.1510618658	0.0442295704	-0.0324313773	0.1006959493	0.0221992318	-0.03385233	-0.0375994999	0.0233583233	-0.0631443733	0.0447556441	-0.0611046168	0.0045806805	-0.115388508	0.1525793394	-0.0653874792	-0.0209436153	0.0013036307	-0.0109018233	-0.0340123694	0.0858888173	-0.0550319837	0.1110109752	0.0064412166	-0.0639991623	0.0195136581	-0.0497009855	0.0532762694	0.0990094418	-0.0746473666	-0.0545587676	-0.0174606001	0.0271723136	-0.0260431529	0.0472934398	-0.0913911155	0.0704447158	0.0508889248	0.1308365689	-0.0107398654	-0.0512802526	-0.0057713938	-0.0915443594	0.0883549364	-0.0556249949	0.0061780184	0.0001152834	-0.1059425559	-0.104079763	-0.045767926	0.0855984723	0.0934774724	-0.0960974384	0.0404056725	0.0697105203	0.1099601386	0.0133600188	0.0606927617	0.1458333478	-0.1253601329	-0.0135843423	-0.1383321239	-0.0477611555	-0.020138344	0.0145360698	-0.064556559	0.0672298828	0.0159930266	0.061150699	-0.0661969396	-0.1108861832	0.0804093148	-0.056259579	0.0106766703	-0.1144225028	0.0793930791	-0.0089265709	-0.0523304273	-0.021166666	-0.0262140374	-0.0736240201	0.0157941858	0.0192175927	0.0106361512	0.0739874992	-0.0103586822	0.0352967803	0.0052493059	-0.0530484115	-0.0225396711	0.0805846881	0.0075411081	0.0788535334	-0.0779830265	0.1196851239	0.0192508523	0.0403473891	-0.0760398897	-0.1288586941	-0.0147045554	-0.0026842706	0.0245384374	-0.0879390946	0.004772288	-0.0574843038	0.1357103915	-0.0260340182	-0.100095274	0.1429020112	-0.1088009619	0.3091419739	-0.1441862219	0.0123485505	-0.0338908019	-0.1452648176	-0.1048917712	0.0461095457	-0.0425209049	0.0289606992	-0.0070085885	-0.2223329037	0.196746776	0.0182971185	-0.0423751748	-0.1416935433	-0.0020975529	0.0243827103	-0.0780810364	0.0301114767	-0.0327072176	0.1534931801	-0.0282057736	0.152061744	-0.1258376329	0.0819224066	0.0163776713	0.0986825927	-0.0240903396	0.0586516346	-0.1026257869	-0.0341202021	0.0439060832	0.0299870077	-0.0077293797	-0.0814699991	0.0441200942	0.0096966312	0.0076160182	-0.0602874068	-0.0178636443	-0.0663125311	-0.0522580634	0.0325690099	-0.0434526112	0.0608913817	0.021663619	0.0815966551	-0.0035242753	-0.0789766768	-0.0307287111	0.0057986295	-0.0064028428	0.0438822536	0.0201906081	0.025560379	0.0527355417	0.0251761869	-0.0344038239	0.0669139264	-0.0290769504	-0.0246276475	0.0166700401	0.1176690827	-0.0219947913	-0.0783144274	-0.0641580925	-0.0933631909	-0.0034933322	0.0097972255	-0.0167733509	-0.0420772248	-0.0614434055	0.029177275	0.0170234583	0.0999129283	0.0797173813	0.0622557707	-0.0975465552	0.0719801422	-0.0057948122	-0.0506470325	0.0590489282	0.07263693	0.0126111123	-0.0041181857	-0.1134836583	-0.1109604765	0.0068049066	0.0098556082	-0.0980762128	-0.0215781117	0.0780638583	-0.0207879575	-0.1676565731	0.0047563939	-0.0263825694	0.1167446287	0.0175470705	-0.0798403777	0.0362411066	-0.0949693033	-0.0525327832	0.0903340779	0.0902839469	0.0902004158	0.0900835156	0.030423	0.0106799999999999	0.0001140623999999	0.0009255589289999	-0.119592	-0.008957	8.022784900000012e-05	0.014302246464	-0.104479	-0.0774889	0.010915861441	0.00600452962321	0.00059989	0.0001270419999999	3.598680121e-07	1.6139669763999993e-08	-0.000811203	1.4234000000000011e-05	2.026067560000004e-10	6.58050307209e-07	0.00057711	-0.0002177759999998	4.742638617595643e-08	3.3305595210000005e-07	0.0	0.0	0.0	0.0
547.23028666198	0.137061357923244	299460.9866401528	0.0187858158357636	628.8946795463562	-6.484496789068089	42.04869860743436	395508.51796171407	445.817604100427	0.2088219363189978	198753.33612584503	0.0436066010880155	482.420708931186	551.7038562423949	1.096832	27.578089	0.0905031	0.0674928	-0.0156126426	0.0550581277	-0.060121071	0.0417404011	-0.0248273158	0.0256843189	0.1319372474	-0.0230225464	-0.0420582824	-0.0406763706	0.006076756	-0.0451733319	0.0708294332	0.0650636868	-0.0122466048	-0.0010695358	-0.0019193009	-0.0307012641	0.0693328406	0.0360317524	0.0870562449	0.1061598732	0.0144812573	0.0022470872	-0.0638340359	0.0005865163	-0.0791231599	0.0596459397	0.0059473766	0.0914440845	-0.0565464182	0.0708402948	-0.0685618429	-0.0542560206	0.0721921429	0.0413638388	-0.0144480395	0.0266990659	0.0029668814	0.0902694451	0.1388572751	-0.0181684487	-0.0191556734	-0.0544920542	0.0596434574	-0.0683426897	0.1488626934	-0.074561276	0.0734575962	-0.0258168607	-0.0334935518	0.1345155872	-0.1040782663	0.0140754932	-0.0041923219	-0.0544533704	-0.0051324756	0.046058697	0.0217538968	-0.080276831	0.1244613709	-0.0567915795	-0.0359362176	0.076234615	-0.0618480421	0.071395277	-0.0356623066	0.0023685135	0.0252644184	0.0325813582	0.0223392431	0.0659697255	-0.0478745221	-0.070878815	0.0220760982	-0.0441114103	-0.0140855336	-0.1282530265	-0.0778474269	-0.0762741646	-0.0074122017	-0.1154798317	-0.0889980709	0.0453788275	-0.068401328	-0.0468071249	-0.0516946071	0.0274386044	0.003431763	0.0102633298	0.0117867026	-0.0128213878	0.0747022782	0.0202417157	0.0372738213	0.0122204068	0.0490825788	-0.0551941842	0.0160957037	-0.0087274133	-0.0019611829	0.0896757939	0.0724646724	-0.0077357833	-0.1303650881	0.0473643306	-0.0966500939	-0.1794694616	0.0855014474	-0.0245717587	-0.0415192965	0.0309448448	0.0675567408	0.0525806478	0.0134170447	0.0897039891	0.0246968856	0.0624975258	-0.0312586156	-0.0443867519	-0.0494407001	0.0109332204	-0.0327767401	-0.1021411064	0.014844311	-0.0179287862	0.0021665026	-0.0376355438	-0.0443434886	0.0829933515	-0.0450067019	0.1225858282	0.1402833639	-0.050289442	0.066032942	-0.0509470995	-0.0322026967	-0.0502491347	-0.0164151331	-0.0404404162	0.12030012	-0.002241726	0.0086060742	0.0118548121	-0.0283008121	0.0829528727	-0.074364443	0.0571527477	-0.0176942778	0.0903684307	0.0636046469	-0.1321251995	0.0034145403	0.0260599965	0.026123346	-0.0579006566	0.0502251568	-0.0915094414	-0.0081779038	0.0204548985	-0.0470612111	-0.0668294219	0.0297859277	-0.0509167781	0.0119905235	-0.1056874777	-0.1006087092	-0.0274529735	-0.0503508393	-0.044914522	0.0157902721	0.0145735351	-0.0541846881	-0.0747611108	0.0667070144	0.0074460012	0.0884238204	0.0305253304	0.0149785869	-0.1062332818	0.0231205215	0.0489324035	0.0294782925	-0.0365196623	-0.0701587263	0.08361341	-0.0897576917	-0.0420516563	0.043480075	-0.0545514956	0.0649862724	0.0656140033	-0.050772261	-0.0026006223	0.0531657588	-0.0967881543	-0.0537236965	-0.0431894169	-0.0002294841	0.0693727342	-0.0493102683	-0.1591055136	0.0185099418	0.0575705483	0.0350455451	-0.0874803599	-0.027203484	-0.073979554	-0.0038156037	0.044402439	0.0769498164	-0.0449318625	-0.0287550562	-0.1204623933	0.0032486088	-0.0094367269	0.0046046633	-0.1144298039	0.0253362344	-0.0426650835	0.0401756021	-0.0266089288	0.0518659968	0.0309665169	0.017704148	0.0916339763	-0.0234062315	0.0614424896	-0.1473738617	0.0738863369	-0.0421449266	0.1306094884	-0.0650514309	-0.0227731275	-0.0143188144	0.0589187991	-0.0036852498	0.0374067382	-0.106026202	0.0272648753	-0.0254189693	0.101739726	0.0903043695	0.0901651549	0.0899332895	0.0896090116	0.0199635	-0.0104595	0.00010940114025	0.0003985413322499	-0.118711	0.000881	7.761610000000119e-07	0.014092301521	-0.0387915	0.0656875	0.00150478047225	0.00431484765625	0.000511378	-8.85119999999999e-05	2.615074588840001e-07	7.834374143999983e-09	-0.00093269	-0.0001214869999999	1.4759091168999996e-08	8.699106361e-07	0.000517607	-5.950300000000003e-05	3.540607009000003e-09	2.67917006449e-07	0.0	0.0	0.0	0.0
546.8286576614254	-0.4016290005546352	299021.58083979634	0.1613058540865151	626.2575883660814	-2.6370911802747514	6.954249893082881	392198.56698610034	445.7217366063318	-0.0958674940952164	198667.8664833642	0.0091905764240963	482.0970282909512	553.888081309608	1.128174	28.366148	0.1348758	0.0870936999999999	0.0092418512	-0.0762101715	-0.0446535795	0.0241160612	0.016766445	0.0640867752	0.0312316338	-0.022303144	-0.0207105656	0.0636254972	-0.1046083469	0.0784357712	0.0732203849	-0.0213575055	0.0834634959	-0.1076126524	0.0618847366	-0.0674550797	0.0668396304	0.0018820002	-0.0701606029	-0.0290724559	-0.01517321	0.01790546	0.1507790749	0.0204505497	0.0699255087	0.0136023227	-0.0340054923	-0.0339473013	-0.0174531968	0.0539229594	0.0624730154	-0.0795254619	0.0468585428	-0.0164739459	-0.1291158368	-0.0227961977	-0.0115829606	-0.0165095724	-0.0276327603	-0.100213836	0.0694676338	-0.1164474256	0.0844383542	0.0725147215	0.1013136259	-0.0275283054	-0.0238951604	-0.0045863942	0.0048151863	-0.0231466521	0.0038480403	0.1136669334	-0.0785595521	0.0044069959	-0.026148226	0.042877828	0.1057124891	-0.1053406811	-0.0103265361	-0.0142650236	0.1167888937	-0.0146991214	0.0219790257	-0.1118007661	0.1060679823	-0.073723221	-0.0296160444	0.0255713151	0.0009617196	-0.0354124278	0.067550115	0.1465545541	-0.0001913266	-0.154305139	-0.0136679875	-0.0256363871	0.0527736472	0.0331979719	0.1022184696	-0.0325126781	-0.0208404823	-0.0122270959	0.0437979564	-0.0299510397	0.0479537389	0.0739439385	0.0169835262	-0.064625912	-0.0712424322	0.0679472948	-0.0017702562	0.0791139211	0.0743040129	0.0696610547	0.0045566913	-0.0765540083	0.0810321989	-0.0559767171	0.0408516117	-0.0381076863	-0.0796625826	0.0522809015	-0.060825612	0.1197488583	0.1026056097	0.1186548898	-0.0321961432	0.0264818057	0.0672988996	-0.0003336744	-0.068925922	0.0623353377	-0.0027515364	0.010310066	0.0492107898	-0.1059895381	-0.0120821175	0.0962176965	-0.045321434	0.0414331177	0.0150827549	0.1376560264	-0.0537027665	-0.0365819029	-0.0119170717	0.0430944208	-0.0370685297	-0.031092803	-0.0037210961	-0.0313822249	0.0426445392	-0.0365460902	-0.0683661124	0.0378585404	-0.1366524809	-0.0490931829	0.0353952598	-0.0165461055	0.0052055989	-0.0920013574	-0.0873040693	-0.0126908475	-0.1583869465	0.0515090893	0.0108556085	0.0338772319	-0.0254557866	-0.0330788403	-0.1601427611	0.0657511165	0.0154057802	0.0028085068	0.0367529169	0.0407444041	0.0229237279	-0.0003823724	0.0334650633	-0.1193731009	0.1641277413	0.0405111718	0.0027219964	0.0506494403	-0.038093384	-0.0980155846	-0.0371657713	0.029134942	0.1042161813	-0.0052526702	0.0486218375	-0.112929056	0.0109018142	-0.0428571093	0.0153197338	-0.0254438536	0.0112516803	0.0157706642	-0.0090064367	0.1262533817	-0.0395875495	0.1097293181	-0.0176561137	0.0123826892	0.0233193098	0.0400014311	0.0575359417	0.0649583371	-0.0788116522	0.0089366988	-0.0576421644	-0.0077920785	0.0038723283	-0.094137714	-0.0168155771	0.1008510616	0.0500559734	0.0876078959	0.0945532822	-0.0154517057	0.0051339887	-0.112467002	-0.0455297361	0.0566874809	0.0275969519	0.0954004762	0.032934156	0.0778441673	-0.0046774267	0.0362398097	0.0318158116	-0.0262569381	0.1350046222	-0.0214215418	0.0612376418	-0.0246383942	0.1306818936	0.0659460179	0.0873708587	0.0229960542	-0.0266536804	0.0906404333	0.105195898	-0.0510071128	-0.0082972294	-0.0302106633	-0.096023595	0.0050070137	0.0223468727	-0.0916499358	-0.1201277867	0.0642267805	0.0535649128	-0.0957552368	-0.0442466745	-0.0925302926	0.1337788769	-0.0250430717	-0.0836419145	0.0876777548	-0.0482302764	-0.1275394664	0.0902598131	0.0899870646	0.0895330941	0.0888988159	0.0276859	0.0077224	5.963546176000001e-05	0.00076650905881	-0.110813	0.007898	6.237840400000003e-05	0.0122795209689999	-0.122508	-0.0837165	0.015008210064	0.00700845237225	0.000435203	-7.617500000000005e-05	1.89401651209e-07	5.8026306250000075e-09	-0.00119472	-0.00026203	6.86597209e-08	1.4273558784e-06	0.0008901799999999	0.0003725729999999	1.388106403289255e-07	7.924204323998219e-07	0.0	0.0	0.0	0.0
545.8676197066657	-0.9610379547597176	297971.458244221	0.9235939504887412	624.3694385881398	-1.888149777941635	3.5651095839410454	389837.1958428689	445.4966836192996	-0.2250529870321997	198467.2951157943	0.0506488469721154	481.2538568137947	553.5784832229967	1.092867	27.478413	0.1199580999999999	0.0925495	0.0156650679	0.0443749587	-0.0620807587	0.0127343321	0.0668014338	-0.0038914313	-0.0154035502	0.0627688384	-0.0406447077	-0.019167269	-0.007322696	0.0042694785	0.0369037785	0.1520282566	0.0574273916	-0.1035954995	-0.0132912227	-0.0196840282	0.0310089253	0.0246532814	0.0973205934	0.0278887543	-0.0036481691	-0.0458657688	-0.0549208703	-0.0200535726	-0.033901881	-0.0035745138	-0.0392283176	0.053377322	-0.1860397111	0.1541375569	0.0302606552	-0.0528271463	-0.0196013495	-0.0769133426	-0.0780373052	0.0343339473	-0.0273238624	0.0042786159	0.0790810456	0.0053878458	0.0557512767	-0.031914771	0.0279407775	-0.075386468	-0.1415375437	-0.0047796537	-0.003583589	0.0117960957	0.0673161325	-0.0280988718	-0.0561200478	-0.0568337987	-0.0505139064	-0.0520205848	-0.0880568093	0.1050533874	0.0184521873	-0.0691923332	0.0140188315	0.0170039862	-0.0849287159	-0.0223833384	0.0071846734	0.0234847254	-0.1567461727	-0.1327378221	-0.0106792083	-0.1350715737	-0.0585270371	0.0610176628	-0.0791876091	0.0790722538	0.0559552077	-0.0207129759	0.0368422154	-0.0353132414	0.035994764	0.0521164578	-0.0127778656	0.0119842118	0.0175905165	-0.023061413	-0.0639783861	-0.046647081	-0.0762391464	-0.0461217367	0.0152355831	0.0580571421	-0.0152526076	-0.045659257	0.0057471375	0.0251223345	-0.0397295409	0.0679787588	0.0737639374	-0.0704481967	-0.100681177	-0.0493758557	0.0038557331	-0.0984075669	-0.0019208275	-0.0860697385	-0.0064552221	-0.0533457803	0.0569413518	0.007162726	0.0470877324	0.0186171795	0.066331963	0.0736131844	-0.0666014764	0.0803080791	-0.0509016229	-0.0737658915	-0.0097393918	-0.0208285176	-0.053536443	-0.1452072148	0.007967052	-0.061851062	0.0580472086	0.0579914781	0.0932937757	-0.0448780333	-0.0766791804	-0.0601778228	-0.0462282506	0.0510825905	0.1412076696	-0.0202957764	-0.0215760157	0.0211304055	0.0789553707	-0.0143215623	0.0471863867	0.0152063624	0.0039301388	-0.0627505913	-0.0557104717	-0.001184876	0.0126281121	-0.0454555084	-0.1061357827	0.1473034643	-0.0328995176	-0.0009805894	-0.0087530536	-0.0270080345	0.1023138823	-0.1587681332	-0.0188406724	-0.0444945288	0.0399628396	-0.1690970673	-0.0041514533	-0.0269303988	-0.0310761302	0.0415906822	0.0382958148	0.0196559906	0.0721331993	0.0430681544	0.0128218204	-0.1411125368	0.0509132132	0.0045022745	0.0806827632	0.0487632639	-0.0438662366	-0.060981865	-0.06154422	0.003928239	-0.0246269945	-0.0081015787	0.0163562985	0.0315452485	0.0255383274	0.028973167	-0.0883179031	0.0506901791	-0.0123239922	0.0320499687	-0.0014141047	-0.0772306787	-0.0224184523	0.0615491673	-0.0110141067	-0.0056356478	0.1163520496	0.0059043955	-0.0700145106	-0.0033926564	-0.0552480935	0.0093484376	-0.0374749514	-0.1043364516	-0.02045009	-0.032981212	0.0882167975	-0.0095365017	0.0883818757	-0.0925319262	-0.037871167	-0.0774123337	-0.1811218026	0.0878422635	-0.1892916431	-0.0320944838	0.0413206309	0.1045357803	-0.0182419805	-0.073137183	0.0427977184	0.0107906484	-0.0126887342	0.0529879562	0.0298981949	-0.0456164149	0.0017661181	-0.0250012695	0.0714127149	0.0504443614	0.0110658272	0.1234263002	-0.0176714582	-0.0301851225	-0.1379436641	-0.0207416202	0.0348863944	0.1528514687	0.0224692652	-0.0151802679	-0.0547289341	-0.0232232538	0.0099495366	-0.00997426	-0.0349960974	0.0989694551	0.044311237	0.0864108872	0.0902004158	0.089749793	0.0890004218	0.0879547967	0.0188461	-0.0088397999999999	7.814206403999997e-05	0.00035517548521	-0.104956	0.005857	3.430444900000001e-05	0.0110157619359999	-0.0312772	0.0912308	0.00097826323984	0.00832305886864	0.000366798	-6.8405e-05	1.34540772804e-07	4.6792440250000005e-09	-0.00125212	-5.739999999999999e-05	3.2947599999999982e-09	1.5678044944e-06	0.000735375	-0.0001548049999998	2.3964588024969033e-08	5.407763906250001e-07	0.0	0.0	0.0	0.0
