onset	duration	trial_type	braille_stimulus	targets	response_count
2.015	2.008	CUE_6_DOT	n/a	n/a	n/a
7.015	1.008	FIXCROSS	n/a	n/a	n/a
8.031	5.008	6_DOT_DETECTION	ETMMP	0	n/a
11.2	n/a	RESPONSE	n/a	n/a	1/0
13.065	1.008	FIXCROSS	n/a	n/a	n/a
14.081	5.009	6_DOT_DETECTION	#MAM#	2	n/a
15.296	n/a	RESPONSE	n/a	n/a	1/2
17.6	n/a	RESPONSE	n/a	n/a	2/2
19.115	1.008	FIXCROSS	n/a	n/a	n/a
20.131	5.008	6_DOT_DETECTION	#MUEI	1	n/a
21.24	n/a	RESPONSE	n/a	n/a	1/1
25.165	1.008	FIXCROSS	n/a	n/a	n/a
26.181	5.008	6_DOT_DETECTION	#ODY#	2	n/a
27.696	n/a	RESPONSE	n/a	n/a	1/2
30.096	n/a	RESPONSE	n/a	n/a	2/2
31.215	1.008	FIXCROSS	n/a	n/a	n/a
32.231	5.008	6_DOT_DETECTION	L#OPP	1	n/a
34.24	n/a	RESPONSE	n/a	n/a	1/1
37.265	1.008	FIXCROSS	n/a	n/a	n/a
38.281	5.009	6_DOT_DETECTION	EESLŁ	0	n/a
43.315	1.008	FIXCROSS	n/a	n/a	n/a
44.332	5.008	6_DOT_DETECTION	TLE#A	1	n/a
47.256	n/a	RESPONSE	n/a	n/a	1/1
49.365	1.008	FIXCROSS	n/a	n/a	n/a
50.381	5.009	6_DOT_DETECTION	MIT##	2	n/a
53.416	n/a	RESPONSE	n/a	n/a	1/2
54.4	n/a	RESPONSE	n/a	n/a	2/2
57.423	2.008	CUE_REST	n/a	n/a	n/a
62.423	1.008	FIXCROSS	n/a	n/a	n/a
68.473	1.008	FIXCROSS	n/a	n/a	n/a
75.532	2.008	CUE_6_DOT	n/a	n/a	n/a
80.532	1.008	FIXCROSS	n/a	n/a	n/a
81.548	5.008	6_DOT_DETECTION	O#CLC	1	n/a
83.2	n/a	RESPONSE	n/a	n/a	1/1
86.582	1.008	FIXCROSS	n/a	n/a	n/a
87.598	5.008	6_DOT_DETECTION	CPCPO	0	n/a
92.632	1.008	FIXCROSS	n/a	n/a	n/a
