global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
522.1258873906365	n/a	272615.44228345965	n/a	618.8029868689173	n/a	382917.1365578934	n/a	438.56871472678137	n/a	n/a	192342.5175371009	438.273749535827	527.7251791740866	n/a	n/a	n/a	n/a	-0.0213346736	0.0504021288	-0.0419738479	0.0168061077	-0.0416113235	-0.1359685935	0.0976293725	-0.0229340999	0.1102664576	-0.2931834273	0.6364551401	-0.3077217277	0.0402652806	-0.1134579394	0.0303010035	-0.0057040118	0.058085097	-0.0309807121	0.0513511872	-0.0274919219	0.0223986237	-0.0554003735	0.0208768071	0.0182682495	-0.1014125709	0.0019597251	-0.046906127	0.0496806706	-0.0031756036	0.0226691419	-0.050509647	0.0112409914	-0.0136647993	0.0301891483	-0.0153961398	0.0855595806	-0.0412304482	0.0205739472	-0.1102237982	-0.0011024123	0.1151559841	-0.0731024106	0.1044126854	-0.003506644	0.0116902883	-0.055416965	0.0864092125	-0.0304047011	0.0058559322	-0.0951563438	0.0423738469	-0.0555606954	0.0272906124	-0.0317264196	0.0380493369	-0.0069686337	0.0268869821	-0.0112394991	-0.0553084085	0.024967864	-0.068941492	0.0308460142	-0.0384273622	0.0710617929	-0.004283985	-0.0632018124	0.0454396321	0.0461072495	-0.0508693819	0.0778125419	0.0189201637	-0.05968425	0.0782796375	0.014434518	0.0520826978	-0.0174724599	-0.0096248153	0.0222979919	0.0164920277	0.0115091598	-0.0279845136	-0.0261502924	0.0148047632	0.0474047977	-0.0343063978	-0.011042092	-0.0284646101	0.1122993562	0.0278017127	-0.1005134296	-0.0292037586	-0.0018409404	-0.0656075388	0.0475125952	0.0291882349	-0.0746940226	-0.0408410689	0.0115206361	0.0273786063	0.0015263621	0.0076122502	-0.0378841304	-0.0818343012	0.006692818	0.0291497939	-0.0969294261	0.0031088415	-0.0522110566	0.0456858238	-0.0155383375	0.0347141076	0.0474453711	-0.0140149316	0.0107754893	-0.0282876178	0.0524508974	-0.0717247342	0.0662146406	-0.0518638227	0.0940220415	-0.0318144038	0.1437629433	-0.0560765026	0.1159178056	-0.0697450003	0.0210032931	-0.0487064073	0.0865814739	-0.0305522484	0.0346485146	-0.0750345634	0.0006740646	-0.0479639246	0.0097894844	-0.0520565758	0.0596480281	-0.0256288878	0.0072162306	-0.0116266467	0.0305924219	-0.0548830258	0.0492749221	-0.0543015668	-0.0643733724	0.078832191	-0.0141329666	-0.0461096549	0.0252251383	0.1213648437	-0.0376160718	0.0109107679	0.0753846527	-0.0327572334	-0.0396470449	0.040118579	-0.0679056854	-0.0223378828	0.0065229625	0.0102034602	0.0502922054	-0.0096607721	-0.046317569	0.0302992612	0.0388029509	0.0073178474	0.0615521827	-0.0165258261	-0.0360084823	-0.0253779861	0.142848381	-0.0531254987	-0.0073965542	-0.0110024344	-0.0524693283	0.0319165875	0.0987846763	-0.0722801119	-0.0588213846	0.0077213453	0.002350525	0.0021764989	0.0396503117	-0.0119422648	-0.0530085585	-0.0282309867	0.0283895081	-0.0195261404	0.0774509316	0.0113395667	-0.0012624944	0.0281596144	-0.0670783367	0.061049125	-0.1042631816	0.0257779419	-0.0033895019	0.0265919781	-0.0291056471	0.0281588438	-0.1267307397	-0.0757493086	0.0664499088	-0.1317937439	0.0261659155	-0.0291278135	0.0231545241	-0.1162351722	0.0511604189	0.0903489333	0.0903433624	0.0903340779	0.0903210801	-0.027808	n/a	0.000773284864	n/a	-0.0352715	n/a	n/a	0.0012440787122499	0.0114698	n/a	0.00013155631204	n/a	0.00031961	n/a	1.0215055210000001e-07	n/a	-0.0	n/a	n/a	0.0	-0.000434477	n/a	1.8877026352900002e-07	n/a
521.2126495679032	-0.913237822733322	271662.6260695939	0.8340033208706984	611.9413611365279	-6.861625732389371	374472.2294696265	47.08190769138797	438.7118215806276	0.1431068538462341	0.0204795716177674	192468.0623945924	438.2966694540928	525.3998069426592	1.064257	21.630461	0.1147093589999999	0.0754262	-0.0078027213	0.0814118623	0.0660943067	0.0372813354	0.0574520177	-0.1180972177	0.0703223163	0.0615592388	0.1247444739	-0.0829524384	0.3259712385	-0.1632564015	0.0537756819	-0.0387605539	0.0036404638	-0.0255090968	-0.0716599393	-0.0098171019	-0.2025744019	0.0365220205	0.0289629408	0.1760894852	0.0165503329	-0.0962031938	-0.0245329693	-0.0436472959	-0.0951584671	-0.0064569063	-0.0993592378	0.1289747196	0.0535794524	0.0906809949	-0.0730705929	-0.0175756044	-0.0410610086	0.1723589557	0.0310973088	0.0182440731	-0.0652082402	-0.0107614802	0.0152152107	-0.1054628565	-0.0356947883	-0.1321160213	0.0440435122	0.0117974906	0.0531752942	-0.0057112919	0.0455300312	0.0396572065	0.0263441189	0.0951866119	-0.061083388	-0.0393908403	0.0430193495	0.0527475789	-0.0572990737	0.11109191	-0.0611389574	-0.0408889606	0.0525634229	0.0480599409	0.03002961	0.0063096557	-0.0461982316	0.0271277087	-0.081516858	-0.0398247039	-0.0173275362	0.0064165018	0.0698452269	-0.0056221072	-0.0360328338	-0.0008577076	-0.0363692608	0.008070441	-0.0258588689	0.0333995863	0.0404987784	0.0028019462	0.1023334665	-0.1189705246	0.100663284	-0.0223868794	-0.0423027658	0.0208198873	-0.0266582559	0.1084577207	-0.0333152927	-0.0651803024	-0.0382550358	-0.0757822043	0.0265711326	-0.0436144599	-0.0515611447	-0.0005382439	-0.109903616	-0.0164448935	0.0655022979	-0.0312763091	0.0254303052	-0.0941333265	-0.0804463036	0.0122913734	0.0949426351	-0.0016942754	-0.0177172394	-0.0455163253	0.0336001656	0.1217480611	0.1424846865	-0.0628906561	-0.1016027609	0.0512671773	0.0137057184	0.1089330461	-0.0278733631	0.1514371972	-0.0203428166	0.0963185996	-0.0347401417	0.0293042757	-0.146670424	-0.0052914493	0.0464320896	0.070232554	0.0476137681	0.0350194069	-0.0169879754	-0.0088037805	0.0539826531	0.0985958874	0.0644220503	0.002090635	-0.0347751032	0.0041222552	0.0660112759	-0.0084452008	-0.0872513682	-0.0512393855	-0.061648554	-0.0895282029	-0.0116366855	0.0587961839	0.0215194987	0.0285446607	0.0718188354	-0.0573463373	0.00449252	-0.0506923094	0.0268846836	0.0132216797	0.0689756638	0.0063799236	-0.0659229566	0.0189358609	0.0263034235	-0.0035816775	0.0535723197	0.0399609339	0.0670263922	-0.0240983551	0.117892671	0.1107296186	-0.0167314823	-0.0430573884	0.0673837219	-0.0202408147	-0.0787700686	0.1130901898	-0.0385901965	-0.0145904243	0.0071041779	0.006543671	-0.0600736827	-0.0738251371	-0.1074842134	-0.0634178933	0.0354084952	-0.0598665158	-0.0067225233	0.0990465397	0.008516586	-0.0644988451	0.0002396286	-0.0950060743	-0.0097575381	0.0474107768	-0.0922404022	0.0570446433	0.0311133884	-0.0532094094	0.1541696283	-0.101605646	-0.1458629378	-0.0488003895	0.0004355388	0.00251858	-0.0539593076	-0.0287194412	-0.1413474914	0.0643949699	0.0438018254	0.0840432392	0.0240818147	-0.023326069	-0.2076420515	0.0395112923	0.0903340779	0.0902839469	0.0902004158	0.0900835156	-0.0278075	5.000000000005e-07	0.00077325705625	2.500000000005001e-13	-0.0336762	0.0015952999999999	2.5449820899999808e-06	0.00113408644644	0.0813742999999999	0.0699044999999999	0.0066217767004899	0.0048866391202499	5.60982e-06	-0.00031400018	3.14700804324e-11	9.859611304003242e-08	0.000368118	0.000368118	1.35510861924e-07	1.35510861924e-07	-0.00061654	-0.0001820629999999	3.8012157160000005e-07	3.3146935968999976e-08
521.4983136886577	0.2856641207545181	271960.49118011363	0.0816039898864518	606.9653460699866	-4.976015066541322	368406.9313298586	24.76072594244624	439.33301176330417	0.6211901826765711	0.3858772430537517	193013.4952250156	438.8818892514399	527.9304445008671	1.113854	22.638493	0.148429859	0.103874	0.0141233439	-0.0349588118	0.1048624508	0.0566352187	-0.014391003	-0.011939637	0.1087395529	0.0583177955	0.0271121948	-0.1038314284	0.0261984688	-0.1443436591	0.0912324311	-0.0282535127	0.0636210928	-0.0827546274	-0.0680652345	0.0342513699	0.0018147247	-0.0863149863	-0.0315424532	-0.031414823	-0.0454102676	0.009343931	0.0245434916	0.0134676265	-0.059935457	-0.0050976933	-0.0757598419	-0.1126319661	-0.0552924436	0.0514781073	0.0145466585	0.0128729234	0.0315338043	0.0709137177	-0.0286402153	0.0633440906	0.025037363	-0.0553942425	0.0076750648	-0.1229085506	-0.14339915	-0.000300604	-0.1055447719	0.0067827633	-0.0284602018	-0.0403461737	-0.0705599853	0.1216940792	-0.0611498985	-0.0093983997	0.0115474435	0.0566015297	-0.0191461062	0.0249327164	0.0035336953	-0.0701923689	0.1250144095	0.0422305291	0.0151052438	0.0089985872	0.0840989537	-0.0220514884	-0.0469665381	-0.076770997	-0.0033183049	0.011114104	-0.0213414868	-0.024299078	0.0671502093	0.0297352666	0.0405149148	0.062970752	0.0002532165	0.0450521983	-0.0656268486	-0.0044728396	-0.1092427492	-0.0245145964	0.0786688408	0.0220916978	0.0263442888	0.0265649246	-0.0265405709	-0.0559460561	0.0018502015	-0.0804619617	0.1280911747	0.046973127	-0.0600862756	0.0632815802	-0.0411028696	0.0182613151	-0.0616644831	-0.0346295105	-0.0409455451	-0.1113366493	-0.0308047133	-0.1453545936	0.0074274127	0.0198730561	0.1059694022	-0.0429724637	-0.0122972184	0.0264909231	-5.15085e-05	-0.0331432936	0.0354289781	0.089153839	-0.1141575003	0.0524672119	-0.0492431568	0.0029623011	-0.0110229428	-0.0376106337	-0.0258128038	0.0493468912	-0.0748926417	-0.0052377848	-0.0334672422	-0.0249440322	-0.1019550942	-0.1404160408	0.0425664763	-0.1235758337	-0.0340600459	0.0172578276	-0.0363735695	-0.0920327269	0.0977539025	-0.0339564756	0.0010411733	-0.0036051762	0.068840632	-0.0228819346	0.0095163757	-0.0436662005	0.113519374	0.0260528758	0.1056085558	0.0308357791	-0.0373304203	0.0628657679	-0.0207054191	0.0267271358	-0.0646082776	-0.0356232222	0.0555352428	-0.080977254	-0.0397297261	-0.0283365258	0.071421438	-0.0228670251	0.0629233547	-0.0173277552	0.0522891956	-0.0501643186	0.0518054177	-0.0876719433	-0.0338292173	0.0528191522	0.0705307012	0.0439303514	-0.0227629325	0.0374321376	0.0160631448	0.0103498294	0.1883724148	0.0322009333	0.0177263522	0.0476699418	0.0054624956	0.0389320432	0.0037764746	-0.0292212777	-0.0829537306	0.0006149292	0.031127089	0.1279007913	0.0511444693	-0.0597104962	0.0903538454	0.0435865402	0.011310138	0.1070439428	-0.0164772834	-0.0582439846	-0.1223448867	-0.0460769789	-0.0357149446	-0.0140138358	0.0843229014	0.0124185006	-0.1090596299	-0.0849754599	-0.0013284303	0.0025723598	-0.1960760705	-0.2107127533	0.0174338139	0.1276738751	-0.1185211988	0.1224824676	-0.1498602689	0.0106662773	-0.0517557096	0.1531247555	0.0903043695	0.0901651549	0.0899332895	0.0896090116	-0.0158017	0.0120058	0.0002496937228899	0.00014413923364	-0.0223245	0.0113517	0.00012886109289	0.00049838330025	-0.0202448	-0.1016190999999999	0.00040985192704	0.0103264414848099	0.000189425	0.00018381518	3.5881830625000004e-08	3.37880203984324e-08	0.000185512	-0.000182606	3.3344951236e-08	3.4414702144e-08	-0.000513896	0.0001026439999999	2.640890988160001e-07	1.0535790735999986e-08
521.7694849784557	0.2711712897979623	272243.3954546829	0.0735338684106904	605.0997516778486	-1.8655943921379503	366145.7094805941	3.480442435976568	439.8091179162553	0.4761061529511039	0.2266770688778999	193432.06020227453	439.28909391125006	531.3185204472261	1.056132	21.465328	0.12809125	0.0792202999999999	0.0315445072	-0.0818945008	0.0486886704	0.068303586	-0.0443053077	0.0554154202	0.0916388504	-0.014452128	0.0274153856	-0.0563127857	0.0539856254	0.0384906462	0.0537906276	-0.0363278674	0.0265825562	-0.0176663249	-0.0085550935	-0.0066849903	-0.0598534334	0.0510624183	0.0608036858	-0.023473334	0.0190127883	0.126438626	0.078252457	-0.003494871	-0.1209526836	0.0018661787	-0.0261139265	0.0263246271	0.0353255982	-0.025090239	-0.0594698994	-0.0280001639	0.0007732548	0.0296050944	-0.056325674	0.0264624644	0.0817838039	0.1299885762	0.0486672714	0.0048339606	0.0213479915	0.0994638962	0.0702909026	0.0473759977	0.0420241078	0.0993243847	0.0864195036	0.0320778839	0.0018496285	0.0230419706	-0.0021136952	0.044079389	0.0653402627	-0.0462068569	0.0234067783	-0.1100738693	-0.0623228553	0.0935121089	-0.0721616524	-0.0617605408	0.0955101038	0.0221702176	0.0200244091	0.0315040489	-0.0973115721	-0.0260175797	-0.0093719867	-0.076861644	0.0749364343	-0.1317811544	0.0095366927	0.1123829417	-0.0055706997	-0.0488733223	0.0970610907	-0.0594791961	0.0037479054	0.0651117499	0.0328082477	-0.034079526	-0.0915715326	-0.1225809301	-0.1055082776	-0.0117252586	-0.0074205027	0.0547113922	0.0240293174	0.0005546143	0.1059450825	-0.0704352563	0.080555311	0.0272718125	-0.0639970169	-0.0160146337	-0.0046328806	0.0045310179	-0.0608293836	0.0234897998	-0.0385544438	-0.0647470676	0.0533398348	0.0357968058	-0.1291147851	0.0298665585	-0.0503738787	-0.0850304465	0.0599224336	0.0600515719	0.0292243224	-0.0361200086	0.0279801756	0.0593684912	0.0020388814	0.0141939239	-0.0648881395	0.013022707	-0.029689699	-0.0892040808	0.130540996	0.0296255882	0.0118295892	0.0502590719	-0.0922267594	-0.0178131785	0.0729168473	0.0190005138	0.0494926151	0.0628507456	0.0758020086	0.0444634847	0.0250522052	-0.0272518164	0.0109618891	0.0396930901	0.0033571901	0.0651996289	-0.0322370765	0.0568327435	0.0262958789	0.1884837251	0.0907434732	0.0781728745	0.0292308094	-0.0495428932	0.0404218238	-0.0660057055	-0.0227670661	-0.058277905	-0.0369600949	0.0452126967	0.0484636773	0.1226276415	0.0807713498	0.0028248416	0.0895593875	0.0983646349	-0.1180276167	0.0473131521	0.0313199399	0.0560672179	0.0395999336	-0.0359923025	0.1076425467	-0.1308885273	0.0656653468	-0.0638274549	-0.0122366307	0.0390925185	0.0004280126	0.0794855819	0.0729221297	0.0030637731	0.0365709911	-0.0323767397	-0.0292711531	0.071748321	-0.0488403427	-0.0064678346	0.0151129988	-0.0212025989	-0.0134024066	-0.1285068345	-0.0781098246	0.0064064689	0.0563749605	-0.0805949029	-0.0056855774	0.0018182378	-0.0302962004	-0.0745765084	0.0441769913	-0.0485128548	0.0918413859	-0.070889168	0.0249364463	0.0364086177	-0.0188755884	0.0256749149	-0.1185874411	0.0021504642	-0.1452927722	0.0047370653	-0.0370883289	-0.0718343963	-0.0975439674	0.1032276242	0.0902598131	0.0899870646	0.0895330941	0.0888988159	-0.0150657	0.0007359999999999	0.0002269753164899	5.416959999999982e-07	0.0278756	0.0502001	0.00252005004001	0.00077704907536	0.0416422	0.061887	0.0017340728208399	0.0038300007689999	0.000347667	0.000158242	1.20872342889e-07	2.5040530564000003e-08	0.000125064	-6.0448e-05	3.653960704e-09	1.5641004096000003e-08	-0.000427223	8.6673e-05	1.8251949172900002e-07	7.512208929e-09
521.5797409068881	-0.1897440715675884	272045.4261244965	0.0360028126950461	604.1359630210567	-0.9637886567919622	364980.2618153796	0.9288885749608548	439.36426552291056	-0.4448523933447177	0.1978936518645234	193040.95781848664	438.8463608379928	534.4778372714098	1.11732	22.708946	0.1630042	0.0813518	0.0793254694	-0.0657381519	-0.0029151584	0.0151512755	0.0931951756	0.018087672	0.0869503352	-0.0154206972	-0.0690268038	0.1020675409	0.0558620172	0.0399450664	0.0583212299	0.0290840074	-0.0343765835	-0.0134330155	-0.0997618072	-0.1303098324	-0.0087218776	-0.0190096722	0.197387649	0.0752596272	-0.0381043687	0.0668289699	0.0812286781	0.0134270906	0.0240789892	-0.0368032398	-0.0952864095	0.214198438	-0.0803325	0.1640873645	0.0490677442	0.0004794535	0.055718232	0.1292028052	0.0021678421	0.0758510767	0.1445512055	0.030321605	-0.0275990603	0.0771155959	-0.0414673938	-0.0186567701	0.056675684	0.012353631	0.0249162534	-0.0756479958	0.0011936083	-0.0291678212	-0.1119317384	0.028339359	-0.1040817876	-0.081506263	-0.0425150073	-0.0925282469	0.0012962111	0.0787564671	-0.0039385194	-0.0519122659	-0.0255200821	0.006339167	0.0795075842	-0.0505527112	0.05692056	0.0460126012	0.0432118432	0.0444017867	0.0494559578	0.014344784	0.0121900573	0.08766637	0.0536355043	0.0820280264	-0.0909334081	-0.0964043522	0.1505119841	-0.0380013119	-0.0008478152	-0.03093298	-0.1053482546	0.1173233653	-0.127362202	-0.1065001599	-0.0245774854	-0.0241387394	-0.0177996225	0.0237859982	0.0291450817	0.0976782688	-0.0446926922	0.0369030081	-0.0455198917	-0.0389450534	0.0268399634	-0.0627370576	-0.0571522332	0.0376947587	0.0098085237	-0.1007205299	0.0124181359	0.0990437517	-0.1368260009	-0.0151015026	-0.1088544473	0.0566519863	-0.0070345902	0.0638161431	-0.0329696189	0.0950089411	0.2085378824	0.054515774	-0.1614386437	-0.0385533352	0.0107629975	-0.0409315839	-0.0320114913	0.1580321149	-0.071400696	-0.1415807232	0.0223697053	-0.0330801584	0.0336223012	-0.0510152236	0.0191938779	0.0775821513	0.0358363434	0.0258762397	-0.0722225385	-0.0221803079	0.0145692582	-0.0617573936	0.1145360699	0.0967203462	-0.0320468322	-0.0657146308	-0.0235832219	0.0810352159	-0.024389212	-0.0414608095	-0.052232675	-0.0372894918	-0.0291668993	0.0646770788	-0.0793615484	-0.0448446932	-0.0371791016	0.0521507619	-0.0439548075	0.0345758118	-0.1102386985	0.0214172324	0.0047332875	-0.0870781937	0.0558313421	0.1317993442	0.0350338969	0.1539313761	-0.1279710418	-0.0355011087	-0.0042612006	-0.0098177308	-0.1373670601	-0.0884679982	0.0500667239	-0.0685447648	-0.0562881271	-0.03597753	0.0705634973	0.0624520382	0.068219326	-0.0298605873	-0.0329382039	0.0404167029	-0.0437023833	0.0767298627	-0.0346565976	-0.0096408499	0.0481149356	0.0144346978	0.1029761383	0.0094004716	0.0260713675	0.0941311136	0.0514781728	-0.1108578287	0.0856542209	-0.051119908	0.0271905844	-0.027253096	0.0477767151	-0.0314386261	0.1431399913	-0.0777899947	-0.2136257947	0.0045773816	-0.0650234684	-0.0114766392	-0.0267161482	0.0248764981	-0.1192895551	0.0219339197	-0.0682966661	0.06354133	0.0489375096	0.0047513617	-0.1299825394	0.0207737864	0.0902004158	0.089749793	0.0890004218	0.0879547967	-0.0196485	-0.0045828	0.00038606355225	2.100205584e-05	-0.0385443	-0.0664199	0.00441160311601	0.0014856630624899	0.0666505	0.0250083	0.00444228915025	0.00062541506889	-0.000523968	-0.0008716349999999	2.74542465024e-07	7.597475732249999e-07	0.000593205	0.0004681409999999	2.19155995881e-07	3.51892172025e-07	-0.000427311	-8.799999999997613e-08	1.82594690721e-07	7.743999999995797e-15
521.04131009292	-0.538430813968148	271484.04682334635	0.2899077414304024	600.7170397508373	-3.418923270219352	360860.9618470091	11.68903632764739	439.7941522408458	0.4298867179352328	0.1848025902571264	193418.89634524423	439.35682334708986	530.160576100069	1.109025	22.540356	0.17355218	0.0843075999999999	0.0408225461	-0.0638738093	-0.0768759574	0.0078023259	-0.0590070499	0.0242832908	-0.0076862778	-0.0212075194	-0.1117703754	-0.0477004027	-0.0826257342	0.0540090367	0.0402548097	-0.0532320082	0.0419525203	-0.0643112793	-0.0292774963	-0.1408907122	-0.1441862446	-0.148904952	0.0587681824	0.0003852101	-0.0709140308	0.0796202774	-0.0061980805	-0.0673894737	-0.0067775646	0.0257989604	0.0175091283	-0.0912806708	0.0004885987	0.0442227877	0.0458732496	0.0494852834	0.0402529592	0.099137286	0.0234934313	0.0720037351	0.0106014045	0.0677083769	-0.053457113	0.0906201897	0.0448404394	-0.0481417643	-0.0710511178	0.0460921669	-0.0108499422	-0.0634293209	-0.1301973	-0.0049708288	-0.030846029	0.0032890426	0.0811073824	0.0966440503	-0.0653466423	0.0072515159	-0.0583254174	0.05559202	0.0463831217	0.099828084	0.0045857256	0.0211176674	0.0241997378	-0.0057127009	0.0142052322	0.0142377132	-0.0988681138	-0.1042327325	-0.0571044821	-0.0208392205	0.0821063474	-0.0090599948	-0.0214346251	-0.0108070966	-0.0487399856	-0.0118401421	-0.0124329916	0.0504221736	-0.0562404293	0.0815809692	-0.0040055338	0.1153954474	-0.0037255446	0.1190971643	0.0511451336	-0.0117403632	0.0352647422	-0.088771574	0.0149416235	0.0062054861	-0.1356760847	-0.071435727	-0.0272688194	-0.1321934251	0.048557018	0.0011535197	0.0333984275	-0.1251910305	0.0733006025	-0.0114727652	0.0172595909	-0.039854315	0.0032467392	-0.0710922816	-0.0549716719	-0.0493564325	-0.076746785	-0.0077438144	0.0229542014	-0.0132161637	-0.0910280622	0.0123013691	-0.0401762709	-0.0168001072	-0.0604747068	-0.0385679218	-0.0012793186	0.0863969762	-0.0767764602	0.0037331058	0.0762577386	-0.0398807112	0.0701479606	0.0360766788	0.1348170673	0.0108645815	0.0126672831	0.0032395583	-0.0571834425	-0.0992450495	-0.0226962996	-0.1057229695	-0.0081700613	-0.0877846776	0.0830014767	-0.0023875577	-0.0065749526	-0.0203071258	-0.0055143297	-0.1141359354	0.0562879838	0.0497397931	-0.0290785573	-0.0045502349	0.0018385548	-0.0118748941	0.0423949508	-0.1060244887	-0.0537611837	-0.1228679403	-0.0131017297	0.0197345195	-0.0020041058	0.0241481093	-0.0250823313	0.0608138001	-0.0201197958	-0.0359758234	0.0014256507	0.0175414872	-0.1301221158	0.0840338698	-0.0433795899	-0.0308898745	-0.0609821369	0.1380982946	-0.0290723903	0.0814092079	0.0046700916	0.0014937942	-0.077111463	-0.0356036356	0.0046568241	0.1224122332	-0.1356460583	-0.0258479757	0.0340217694	-0.0456971165	0.1247451189	0.0331945826	-0.0892398414	0.0479457108	0.0171631433	0.0363427346	0.0060335499	0.0743935854	0.0034971382	0.0006873691	0.045138676	-0.0873960918	0.0312110232	0.0036698062	0.1478558309	-0.0465290356	-0.0495481107	-0.0464867962	-0.0358569574	0.0438013726	-0.0582774367	-0.088865871	-0.0418851271	0.0045503487	0.1129559586	0.1816096208	-0.0653925338	0.0112912992	0.0146228969	0.0102417875	0.0901261876	0.0894534963	0.0883360609	0.0867794369	-0.0231384	-0.0034899	0.00053538555456	1.2179402010000004e-05	-0.0012811	0.0372631999999999	0.0013885460742399	1.6412172100000002e-06	0.00371222	-0.06293828	1.37805773284e-05	0.0039612270893583	0.000203179	0.000727147	4.1281706041e-08	5.287427596090001e-07	0.000131972	-0.0004612329999999	2.12735880289e-07	1.7416608784000002e-08	-0.000636147	-0.000208836	4.04683005609e-07	4.3612474896e-08
