global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05
578.3631649664757	n/a	334503.9505900388	n/a	629.1000142995049	n/a	n/a	395766.8279916373	464.19566872798816	n/a	n/a	215477.61886582413	467.7654982271168	784.0067037113229	n/a	n/a	n/a	n/a	-0.0182869022	-0.0807734732	0.0678635539	0.0972280207	-0.0174289927	0.265224168	-0.1588863854	0.1469661147	-0.3635894665	0.5059472772	-0.0624788668	0.1524327637	-0.079563639	0.0549988159	-0.1461668357	0.0666843984	-0.0338398894	0.0297753167	0.0544135918	-0.0186727645	0.0058093731	-0.0008051656	0.1413259509	-0.0790152252	0.0152628082	-0.0985526001	0.0582616873	-0.182034294	0.0589222735	0.0719194196	-0.0358734365	0.0198330543	-0.0421027231	0.0802004883	-0.0773976095	0.0595673168	-0.0165760097	0.0369315272	-0.1044424538	0.0610437525	0.0802933333	-0.0393193238	-0.0379343579	0.0805365752	-0.0018933526	0.0090868499	-0.0153746404	0.0542319495	-0.0555224001	0.0614351909	-0.0145494782	0.0441813145	-0.0132257308	0.0419305913	-0.0367872629	0.0607918099	-0.0431449196	0.0100858739	-0.1084683198	0.0115484407	0.013197546	-0.0693400112	0.0573317368	-0.0406785462	0.0331248057	0.0055506829	-0.0441498838	-0.0737098877	0.0337163165	0.0442426846	-0.1154056353	0.0126847532	0.0464553444	-0.046461207	-0.0151399748	0.0155331277	0.0534248616	0.0214346242	-0.1066783062	-0.0450260876	0.0300258215	0.0337820407	0.0234264685	-0.0049063456	-0.0276081711	0.0230321343	0.0135850308	0.0056647931	0.0584126277	-0.0176942341	0.0558741021	-0.0244487004	0.0249769029	-0.0339735258	0.2100895038	-0.1379315903	0.0398109756	-0.1242935873	0.0526620066	-0.2213358186	0.1058192675	0.0867614101	-0.0509590388	0.027721118	-0.1845398033	0.0278657362	-0.0336413441	0.0203391829	-0.0440984626	0.0562046669	-0.0875544313	0.0599144596	-0.1226871563	0.0170369538	0.0083489054	-0.0886908058	0.0265249586	-0.032438148	0.0212766233	-0.0367706477	0.0602213507	-0.0492433533	0.0221313952	-0.0468477951	0.0390936241	-0.0463261679	0.0431726313	-0.0323895556	0.0022628039	-0.0075280519	-0.1150092047	0.075844959	-0.0381155439	0.030347833	-0.0576571242	0.0654295389	0.0674949003	-0.0808497714	0.0580744998	0.0063215057	-0.061824208	0.0930011986	0.0612898898	-0.1191580635	-0.0677459218	0.0839249993	-0.0501299795	-0.023762377	-0.0023390013	-0.0327471264	0.0556967511	-0.0482332285	-0.0357224868	-0.0317739104	0.0080514549	0.0010314395	0.0115335095	-0.0609699894	-0.0020916558	-0.0139124125	0.038886558	0.0379982324	-0.0185010118	-0.033082821	0.0007392888	-0.0095218599	0.0875235658	-0.0778650461	0.0383799339	-0.0228866707	0.0106695751	-0.0495907536	0.0019571571	-0.006041627	0.0381578123	-0.0359766125	0.0017957827	0.0902467785	-0.0550747038	0.0768331613	-0.1291527082	-0.0164634077	0.1052268786	-0.0244326302	0.0453701635	-0.0211464347	0.0903489333	0.0903433624	0.0903340779	0.0903210801	0.00768442	n/a	5.90503107364e-05	n/a	0.0569611	n/a	n/a	0.00324456691321	0.0325073	n/a	n/a	0.00105672455329	-0.000545119	n/a	2.971547241610001e-07	n/a	0.000207347	n/a	4.299277840900001e-08	n/a	0.000866469	n/a	n/a	7.50768527961e-07	0.0	0.0	0.0	0.0	0.0	0.0
576.5677762153489	-1.7953887511267794	332430.4005699126	3.223420767672577	618.6175719134948	-10.48244238601012	109.88159837602154	382687.7002801479	464.0689963782394	-0.1266723497487873	0.0160458841908791	215360.0333995064	467.4598969228792	769.6424532669367	1.060636	22.460283	0.10904079	0.0867213	0.0066105498	-0.1203898554	0.0940008424	0.0679983127	0.051300937	0.232390848	-0.0819623273	0.1283258874	-0.2499641448	0.1771341922	-0.0118052984	0.0188071456	0.0165961906	-0.0279206314	-0.0938013073	-0.0444597154	0.1152958232	0.0003210341	0.0559980967	-0.0570893824	-0.0015076317	0.0287163395	0.0702443298	-0.0698169061	-0.0889431363	-0.1357793826	0.0172467503	-0.1429520796	0.0548473623	0.1603801692	-0.0664961918	0.0438541854	-0.1331319072	0.0130514437	-0.0254147989	-0.0035154271	-0.0378909055	0.0091467921	-0.1671392135	0.0869452937	0.121728584	0.1434683648	0.033789629	-0.0421030817	0.0391377791	0.1085940748	0.0586978159	0.0089792437	-0.0109814918	0.0683058316	0.0495032258	0.144829916	-0.0141114598	-0.0014639121	0.0934956697	0.0708968895	0.0739124164	-0.0842469268	-0.0306780576	-0.0157621947	0.012584978	-0.0887658066	0.0161696786	0.0461004053	-0.0271928086	-0.018241337	0.0847947089	-0.0184107383	0.0806392695	-0.0269265686	0.1112382524	0.0293312693	-0.0446783593	-0.0668137111	0.0210657396	-0.0145094457	0.0389994026	-0.0307397546	-0.0401077312	0.0217557649	0.0756340053	0.0773413395	0.0419536325	0.0082097221	-0.0348027784	-0.0159127696	-0.0852660077	-0.0076305647	-0.0461779746	-0.0083414144	0.056738262	-0.0638672036	0.0107387027	0.0052027639	0.1321303465	-0.166780257	0.1159396128	-0.109354656	0.0010671641	-0.156552238	0.0959921515	0.1414342386	-0.1116295847	-0.004724194	-0.0770608218	-0.113159829	-0.045147298	0.013219422	-0.052240493	0.0999274029	-0.1034695721	0.1103858793	-0.1259385379	-0.0013289759	0.0682561162	0.1306281075	0.0115585375	-0.1034415038	-0.0146797917	0.0386722806	0.0831644278	-0.0597094511	0.0732239074	0.0726942715	-0.0055625396	-0.0119917286	-0.0584017003	-0.0081292092	0.0573891887	0.0881677039	-0.0065576854	0.0010473308	0.0587641801	-0.0497082009	0.0352082917	0.0151732021	0.0900387433	-0.0143860075	0.0406545796	-0.0642669165	-0.0665516126	0.0110238519	-0.1190924076	0.0307282148	0.07249253	0.0405655349	0.0247994349	-0.0631825026	-0.006343048	-0.0510949176	-0.0311175597	-0.0339076591	-0.0677614692	-0.0973232889	0.0146536113	0.0016198449	0.0073794232	0.071841305	-0.0266601979	0.0064409232	-0.0629321497	-0.0528145136	-0.0317964129	0.0932789683	0.0229026714	-0.0128716345	0.0951504382	-0.1347602749	0.0312071484	-0.008710856	-0.0260338864	-0.0524544603	-0.0226142444	-0.0047856475	0.0010393175	0.0240378403	0.0390957054	0.2085004704	-0.0608090897	0.0225987539	-0.1788654663	-0.0291995406	0.0120385467	0.0103141471	0.0278796545	-0.0275011336	0.0903340779	0.0902839469	0.0902004158	0.0900835156	0.00780536	0.0001209399999999	6.09236447296e-05	1.4626483599999984e-08	-0.0292829	-0.086244	0.007438027536	0.00085748823241	0.0405823	0.0080749999999999	6.520562499999998e-05	0.00164692307329	-0.000607501	-6.238199999999993e-05	3.69057465001e-07	3.891513923999992e-09	0.000135397	-7.195000000000001e-05	1.8332347609e-08	5.176802500000002e-09	0.000708784	-0.000157685	2.4864559225000025e-08	5.02374758656e-07	0.0	0.0	0.0	0.0	0.0	0.0
576.1258775284642	-0.4418986868846559	331921.026757943	0.1952744494703832	610.3411933744655	-8.276378539029224	68.49844172130352	372516.3723297668	463.0832971571047	-0.9856992211346663	0.971602954545488	214446.14010589532	466.3094183264682	760.8841971419552	1.060315	22.453493	0.1729744899999999	0.142177	0.0373353071	-0.1205125825	0.0597191823	0.0186851182	0.1179460736	0.0807269711	-0.054726985	0.0413460343	-0.1277578669	0.0307360934	0.0276227999	-0.0602108158	-0.0697820247	-0.0191238662	-0.0191414382	0.0323205879	0.0141200622	0.0057124708	-0.0128337146	-0.0151179635	0.024821166	0.0235643496	0.0694598705	0.0042964604	-0.0095073351	-0.1217067407	0.0440914164	-0.0734498701	0.1204400301	0.1309647113	-0.0983086725	0.0315106458	0.0211268146	0.0136813777	-0.0298754965	-0.0947767059	-0.02809854	0.0354680663	-0.0873808075	-0.096891896	0.0072535307	0.0478646531	0.0228340295	0.017251108	0.0586149169	-0.0368016382	-0.1203702752	0.038064336	-0.0280642338	0.0996384873	-0.1018092748	0.0080631284	0.0049959283	-0.1062922892	0.046732282	-0.0196925225	0.0137184912	-0.0501892618	0.1344894444	0.0139060448	-0.0393318051	0.0080963067	0.0013811704	-0.0768658737	0.1006173722	0.016125214	-0.0787643602	0.0847511826	0.083394035	0.0281745652	0.0544038718	-0.128928913	0.0122414475	-0.0304713143	0.06924909	-0.1033038504	-0.0373299858	-0.0744532834	-0.1049958542	-0.0542959833	-0.0470989016	-0.043976711	-0.0355504767	-0.0470625258	-0.0415432287	-0.0457720729	0.0400719573	0.0605385958	0.0413381009	0.1923789633	-0.0113924538	-0.0179820761	0.0317558328	0.0035263422	0.0989596158	-0.058867511	0.0635969383	-0.1258239052	0.0464576831	-0.0790092034	0.1438757333	0.0816003213	-0.1148752234	-0.0014835567	0.03855257	0.0246395895	-0.05922095	-0.0088744338	-0.0861365536	0.0089192596	-0.10785191	-0.064555067	0.0005951141	-0.0817944385	-0.0232013376	0.0329313805	0.0588963936	0.001125046	0.0408417583	-0.1062940303	-0.0330100756	-0.0801307414	-0.079116856	-0.0074812333	0.035694589	-0.0164691744	-0.0280562423	0.0963244247	-0.0156544016	0.0004560651	0.0580559191	-0.0766213524	0.0155176695	-0.0614456678	-0.0443919846	0.0192879707	-0.075769796	-0.0406006748	-0.1089431624	0.0793049099	0.0537423625	0.0426324569	0.0893688138	0.063325554	0.1682236377	0.0205514779	-0.009842353	0.0307825469	-0.074090593	-0.1155526318	-0.0291850402	0.1031777914	-0.0164940629	0.0089002927	0.01292628	-0.0046822941	0.022380452	-0.0064669189	0.092554199	-0.0565578167	0.0464511873	-0.1209902356	0.0033823025	-0.0024720672	0.0108108375	0.0060273136	0.1421200137	-0.0226848215	0.1021011169	-0.0318901484	0.0476890814	-0.0885872133	-0.0479616608	0.0365063159	-0.034196762	0.0143726115	-0.0241419539	0.0506362172	-0.086789947	0.1085363036	-0.1366879738	-0.0517695784	0.0602323992	-0.0507901951	0.0314248294	0.0022932866	0.0903043695	0.0901651549	0.0899332895	0.0896090116	0.0117596	0.00395424	0.00013828819216	1.5636013977600003e-05	0.109755	0.1390379	0.0193315376364099	0.012046160025	0.0508483	0.0102659999999999	0.0001053907559999	0.00258554961289	-0.000790426	-0.000182925	6.24773261476e-07	3.3461555625000015e-08	0.000125357	-1.0039999999999978e-05	1.5714377449000004e-08	1.0080159999999956e-10	0.000910146	0.000201362	4.0546655044000025e-08	8.28365741316e-07	0.0	0.0	0.0	0.0	0.0	0.0
576.3910730683384	0.2651955398741847	332226.66911287064	0.0703286743691603	609.768743555686	-0.5724498187795461	0.3276987950207352	371817.92061748	462.04815519118927	-1.035141965915443	1.0715188895992882	213488.49771558127	465.12783487455056	764.7500455650706	1.066201	22.578133	0.0520301	0.025663	0.0429951153	-0.0689067945	0.0130712077	-0.0216872538	0.0928464553	-0.0284439027	-0.0341967196	0.0037673882	0.0074872912	0.0534285366	0.0670833769	-0.0126864347	-0.024040979	0.0680231825	-0.0400226494	-0.049420623	0.0487249248	-0.0020138358	-0.02773322	0.0667097031	0.0518666364	-0.0132408666	0.0713047455	0.0215218656	0.0973866015	-0.1389812194	0.0458141693	-0.0212991984	0.0640305225	0.0939363844	-0.0209117112	-0.0232462211	0.0480279652	-0.0330360136	-0.007251201	-0.0285680538	0.0001550905	0.0158427756	-0.0482775939	-0.0103979083	-0.0747835179	0.0107608549	-0.0463201418	0.0995464885	0.0302433294	0.0692551322	0.0142418038	0.0133661324	0.0674346695	-0.0082483308	0.0539015157	-0.0604671942	-0.0850118016	-0.0059051851	0.0659038526	-0.028136175	0.022962976	-0.0922821625	0.0436390456	-0.0900393478	0.0395729276	-0.0098606375	0.0795492952	-0.0357444411	0.0905699188	-0.0933804638	0.0085470493	0.0089622613	0.0341057738	-0.0273290306	0.0328244892	-0.014254549	-0.003371746	0.0462937864	-0.0118460662	-0.0022240903	0.0662739355	0.0247599338	0.1159069288	-0.0873673065	-0.0230569088	0.0745409313	-0.0127450826	-0.0307175041	0.0384662317	0.0412329982	0.051863477	-0.07063494	0.0329178287	-0.0048750036	-0.0280720497	0.0666985502	0.0554208669	-0.016470626	0.0593368196	0.0396559844	-0.018929067	-0.167859667	0.0334829081	-0.0380439782	0.0785238906	0.0703499872	-0.0013224394	-0.0007558575	0.0730757963	0.0178052708	0.001783446	0.0184237394	-0.0285708419	0.0024369476	-0.0404912231	0.0123143999	0.0428775375	-0.0720641803	0.0496792949	-0.0818935975	0.0371634481	-0.0714151913	-0.0310868885	0.0106601934	0.0138634226	0.0885321607	-0.0005231653	-0.0048777837	-0.0640720901	-0.0884176266	-0.0254007637	0.0636626668	-0.0064125544	0.1061088323	-0.0383713805	-0.1176477735	-0.0513175257	0.0317314859	-0.0469852998	0.0290210375	-0.0490486939	-0.0111956618	-0.0039114207	0.0220104605	0.0326166756	-0.0250328235	-0.0635593943	0.0911764054	0.0028152298	0.0094902094	-0.0101537794	0.0195806774	-0.0387491103	0.0530595667	0.0780109086	-0.0258451539	0.1031813069	-0.0367651236	0.0498124121	-0.0026941669	-0.0692206	-0.00867279	-0.0120537528	0.0620511043	0.0563030759	0.0307166569	0.0199736509	-0.0991864338	-0.0164824005	0.0087013403	0.1001402551	-0.0018464115	0.0796945161	0.0200582336	-0.0870998623	0.0145430168	-0.0802081813	0.0955322235	0.0149317211	-0.0209678233	0.0439792372	0.0124145333	-0.0899191634	0.0148193621	-0.0827711005	-0.0889556919	0.0384505792	-0.0145847588	0.0257686708	-0.0097091102	0.0902598131	0.0899870646	0.0895330941	0.0888988159	0.0120921	0.0003324999999999	0.0001462188824099	1.1055624999999965e-07	0.132631	0.0228759999999999	0.0005233113759999	0.017590982161	0.0559474	0.0050991	2.600082081000002e-05	0.00313011156676	-0.00056744	0.000222986	3.219881536e-07	4.9722756196e-08	0.000283532	0.000158175	8.039039502400001e-08	2.5019330625e-08	0.000816857	-9.328899999999998e-05	8.702837520999996e-09	6.672553584490001e-07	0.0	0.0	0.0	0.0	0.0	0.0
576.8254635230974	0.4343904547589545	332727.6153686361	0.1886950671856913	611.5595385214862	1.7907949658001598	3.2069466095351955	374005.06915661314	462.77149745396207	0.7233422627728032	0.5232240291132791	214157.45885578243	465.795340154625	779.113502768266	1.055703	22.35582	0.1523214799999999	0.126294	-0.0020780325	-0.0381441124	0.0412099071	0.0164118547	0.0099230484	0.0427027935	-0.1063674146	-0.0463282654	0.0428246425	-0.0600699645	0.0252279213	-0.0407451917	0.0158046827	0.0128194343	-0.0477665596	-0.0366851547	0.022503149	-0.0325748889	-0.0049541564	-0.00304361	0.0286438662	0.0618466439	-0.0035800419	0.0054959895	-0.0089161021	-0.1044905295	0.0335112631	0.0652280333	0.0859371481	0.1593192789	-0.0256475787	-0.0781285428	-0.0143417452	0.0025029321	-0.0351981125	0.1243895943	0.0240871193	0.0076824523	0.0217633852	-0.113146383	-0.0497331583	-0.012161084	0.0932655086	-0.0521732794	0.1099873422	-0.0633105037	-0.0879177727	0.0130476795	-0.0092505941	0.0953170741	-0.0050123022	-0.0052069087	-0.0584357394	-0.0221497797	-0.0202578958	0.0245616925	0.1119737178	-0.0445373716	-0.042459938	-0.0519364178	-0.0187393045	0.0676044119	0.0750042661	-0.0216441264	-0.0448990633	0.0384674205	0.0170102371	0.0435015867	0.0399963705	0.0847707205	-0.0146618521	0.029382908	0.0111574583	0.1535449826	0.0498484247	0.0380254847	0.0150723298	-0.0037430558	-0.002733479	0.064735747	-0.1077879006	-0.0148025512	0.0323024139	-0.0224551271	0.1282808453	0.0303462091	-0.0565679444	0.0117288521	0.1072120084	-0.065635153	-0.0016834023	-0.0090695276	0.038025333	0.0582240892	0.0142851891	-0.0326939765	0.0314166235	-0.1053360239	0.0316496208	0.0507081349	0.128757787	0.1274590251	0.0219454975	0.0630389345	0.0075729074	0.0039934524	-0.0011835684	0.0504001412	0.0305694298	-0.0337385549	0.0416456543	-0.0508497186	0.0675972625	-0.0688710763	-0.1474762936	0.0687439715	0.0571787435	0.0074099636	-0.0785730372	-0.1079855123	-0.0196614195	0.0012028434	-0.0794350998	-0.0631941407	-0.0018683456	-0.0613125416	0.0003821098	-0.0573255885	0.0127489899	0.034057771	0.0062312214	-0.0657059694	0.0560615674	0.0963357386	0.0739403321	-0.0486758957	0.062461381	0.0305699722	-0.0865967678	0.0254218173	-0.0147623254	0.0296505002	0.0064840531	0.1035012496	-0.0968707558	-0.0484264387	0.1186282844	-0.0221332254	-0.0507199047	0.0387572612	0.0369524823	0.0626185451	-0.0814647412	0.0762563972	0.0246943428	0.0493444327	0.0540602547	-0.0848192154	-0.0529485554	-0.0043528033	-0.1176280539	0.0492350623	-0.0216754412	0.0647572258	0.0162043946	-0.0383880592	0.074818962	-0.0484842086	0.0237510113	0.0511320621	-0.0341317816	-0.002578559	-0.0940319787	0.0139656354	0.0386308638	0.0225089361	0.0643021772	0.0794444905	-0.0413970149	-0.0647215736	-0.0855425855	-0.1495026474	-0.0015437327	0.0149044179	0.0858053005	-0.0083126253	0.0902004158	0.089749793	0.0890004218	0.0879547967	0.0106075	-0.0014845999999999	0.00011251905625	2.2040371599999976e-06	0.00791267	-0.12471833	0.0155546618379889	6.26103465289e-05	0.0460964	-0.0098509999999999	9.704220099999998e-05	0.00212487809296	-0.000520246	4.719399999999997e-05	2.7065590051600005e-07	2.227273635999997e-09	0.00054333	0.0002597979999999	2.952074889e-07	6.749500080399996e-08	0.0008352159999999	1.8358999999899947e-05	3.3705288099632617e-10	6.97585766655833e-07	0.0	0.0	0.0	0.0	0.0	0.0
576.972602084771	0.1471385616736142	332897.3835564715	0.0216497563313799	611.7304132973446	0.170874775858465	0.0291981890246806	374214.09855294006	462.6786733812019	-0.0928240727601519	0.0086163084837819	214071.5548017889	465.7556937023819	776.7961702443362	0.885649	18.754725	0.09631868	0.0736088	0.0125108127	-0.0335176013	0.035069112	-0.0072312275	0.0154868519	0.0597515032	-0.102332477	-0.0559977602	0.0780469736	-0.0653833528	0.0393857452	-0.038573981	-0.1021546429	-0.0908240832	0.0153965754	-0.003160655	0.0349660575	-0.0237621903	-0.0237732403	-0.0026140802	0.0410726013	0.0504464807	0.0159849396	0.0105344226	0.0113253882	-0.1011323042	0.0296178292	0.0566619549	0.0982520191	0.1379167506	-0.0395621464	-0.1361822916	-0.0083909186	-0.0362657034	-0.1635750781	0.0283672634	-0.0264252697	0.0126021	0.0397376123	0.0217482109	0.0902810246	0.1126711487	0.0632156772	-0.0417261836	0.0039339926	-0.0514467675	0.0471401375	-0.0845071553	-0.0209147445	-0.0054704833	0.0113297139	-0.0113759645	0.0419435366	0.0267665853	-0.0188460832	-0.0194265443	-0.1046438732	-0.0233776479	0.0002743909	0.0071888241	0.0169570198	-0.0121715461	0.0440148097	-0.1025252408	-0.0560169032	-0.03277713	-0.0075812489	-0.0161877042	0.046088718	0.0676372255	-0.1241495048	-0.0315806965	-0.0075271503	-0.0236997366	0.0643640759	-0.0574276042	-0.0860664298	7.2675e-06	-0.0103783107	0.0174900231	-0.039993003	0.0947168645	-0.0978067248	-0.0347414193	0.0504285821	0.0599766339	-0.0223270143	-0.1024274059	0.0249591573	0.0627120696	-0.0222204382	-0.009199093	0.0491113494	0.046864728	0.0309692862	-0.0281225964	0.0342251368	-0.1056041412	0.0230433442	0.0366519572	0.1331565197	0.1074507883	0.027465606	0.1059789749	0.0331800343	0.0089201225	-0.0876626001	0.1322616456	-0.0383872755	-0.0166200399	0.0221134369	-0.0383510911	-0.0736330417	0.0178044238	0.0420865389	0.1306920899	-0.0306346535	0.0354496216	-0.1009854333	0.0593766281	-0.037271345	-0.0111523225	0.0026797416	-0.0150709237	-0.0169083471	0.0032490376	0.0820986306	-0.011210857	-0.0311341308	-0.0097337123	-0.0241473705	0.0269879168	-0.0795793257	7.09117e-05	-0.0825858486	-0.0099889613	0.0212202406	0.0560650336	-0.1101284488	-0.02133998	-0.0290257723	-0.0007494921	0.1434778718	0.0551632998	-0.0373133233	-0.0131968809	-0.0633307744	-0.0449158577	-0.0095071843	-0.0460660851	0.017410128	0.0124874102	0.0138212127	0.0897518647	-0.0134687626	0.137154755	-0.1334708025	-0.0219454753	-0.0311231918	0.1171000852	0.0560795818	0.0522063521	-0.0038868949	0.0277498296	0.0175421043	-0.0371372657	0.0855600634	0.0171164063	0.0638543308	0.0630523118	0.0577385843	-0.0288218372	-0.0881049659	0.0331224558	-0.0013980055	-0.0100383879	0.0782387907	0.0988027827	0.0074666971	0.0064081154	-0.0834134007	-0.1261729093	0.0585282841	-0.0170276751	0.0235297399	0.0224437928	0.0901261876	0.0894534963	0.0883360609	0.0867794369	0.0132668	0.0026593	0.00017600798224	7.071876489999999e-06	0.0793119999999999	0.0713993299999999	0.0050978643244488	0.0062903933439999	0.0432414	-0.002855	8.151025000000019e-06	0.0018698186739599	-0.000631308	-0.0001110619999999	3.9854979086400003e-07	1.2334767843999998e-08	0.000317493	-0.0002258369999999	1.0080180504900001e-07	5.1002350568999975e-08	0.0007840139999999	-5.1201999999999975e-05	2.6216448039999972e-09	6.146779521958432e-07	0.0	0.0	0.0	0.0	0.0	0.0
