global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45
490.6435468412565	n/a	n/a	240731.09005696827	603.1525034984569	n/a	363792.94247645605	n/a	394.5535134683065	n/a	n/a	155672.47499018512	393.8993739449559	641.3685985138542	n/a	n/a	n/a	n/a	-0.0037893256	-0.0367102489	0.0499249031	-0.0179833944	-0.0003787044	0.0173850465	-0.1328042776	0.2777042262	-0.0772067204	0.1925163299	-0.1127257777	0.0488005857	-0.0744585822	0.0203811638	-0.0002342049	0.1920221546	-0.2636067817	0.2380874041	-0.0114164836	-0.0396097636	0.0531172839	-0.0390310328	0.0392836706	-0.065938112	0.0895654199	-0.1027241116	0.0021744042	-0.0066944859	0.0557036319	0.0822811373	-0.017057714	0.0770290162	-0.0565400344	0.072334775	-0.0242957151	0.0187137961	-0.019254876	0.0131594276	-0.0266922912	0.0026184189	0.1383696445	0.0020793455	-0.0997975479	0.040595755	-0.0212839384	0.0169636295	-0.0401375798	0.0410151031	-0.0355368245	0.0491877712	-0.023553539	0.0446372962	-0.0209319234	0.0098679159	-0.0224126715	0.1217673236	-0.0310787059	0.145715007	-0.0931894434	0.0897215943	-0.0749829664	0.0520503081	-0.0066091772	-0.0611772045	-0.0303324326	0.0440843898	0.0585469722	-0.1339319254	0.0661469161	0.0215055021	-0.0551118687	0.0207922845	0.0090615079	0.0027885038	0.0080572152	-0.0192666409	-0.0847291783	0.0698083072	0.0222564689	0.0651159138	-0.0057064075	-0.0891679877	0.0163527354	0.0495972187	-0.0504641793	-0.0182003591	0.0333453813	0.0568117352	-0.1743971647	-0.0551097247	-0.0123431679	-0.0324318055	0.0517598228	-0.0495781381	0.0556476268	-0.0766655126	0.065903468	-0.0849399274	0.0727647231	-0.0471296458	0.0610279505	-0.0639301836	0.0455048031	-0.092961326	0.0387742643	-0.0773600213	0.0046236068	-0.0142393461	0.0069795497	-0.0153091709	0.0101642962	-0.0153134758	0.1335604523	0.0361968441	0.0754906919	-0.0850492973	0.0356614763	-0.0681060011	0.0383032885	-0.0267108748	0.0145552023	-0.0500196688	0.0149142034	-0.0359968441	0.0014006365	-0.0432441453	0.0001770236	-0.1019067739	0.0250810044	-0.1090046785	0.0179149566	-0.1901268479	0.0410121201	0.0067955227	-0.1006453168	-0.0144755083	0.0420018306	-0.0294147344	-0.0003883596	-0.0576801026	0.1380670136	-0.0064925195	-0.0677934235	0.0015764944	0.0110822048	-0.0119772463	-0.0086570823	-0.0487176073	0.0907839147	-0.0188008296	-0.0093000389	-0.0113056569	-0.0663265142	0.1014296544	-0.003752581	-0.0100000478	-0.0436136413	0.0588035494	0.029287666	-0.0514262074	-0.1218902048	0.0459269252	-0.0152150758	-0.0434194742	0.0218907766	-0.0028444042	0.0017449765	-0.0186248488	0.0112106113	-0.0480559789	0.0001458607	-0.0425189732	0.0381334678	-0.0760342596	0.0841520946	-0.1598327103	0.0510720785	-0.042276515	0.0144062328	-0.0435944192	0.015918945	-0.027710006	0.0206634125	-0.079992041	0.0236798627	-0.0424862211	0.0903489333	0.0903433624	0.0903340779	0.0903210801	0.059137	n/a	0.003497184769	n/a	-0.000287019	n/a	8.2379906361e-08	n/a	0.110202	n/a	0.012144480804	n/a	-0.000872273	n/a	7.60860186529e-07	n/a	0.00102235	n/a	n/a	1.0451995225e-06	0.000987369	n/a	9.748975421610002e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
489.51938909059663	-1.12415775065989	1.2637306483687036	239629.2322956309	591.815586378408	-11.336917120048838	350245.688280419	128.52568978685645	394.576629239658	0.0231157713515131	0.0005343388851754	155690.71634213056	393.8124385596083	633.1844159025895	1.133654	33.246998	0.0734040109999999	0.0478281	-0.0262350979	-0.0581771662	0.0395468972	-0.0611158272	-0.0347482671	-0.0689135069	-0.080819259	0.094312806	0.0521649244	-0.0301854484	-0.0968181542	0.0004185281	-0.067913062	-0.0203551764	0.0593179105	0.1117280262	-0.2282742453	0.0995659124	-0.0128327589	-0.0313731075	0.0863532632	-0.0451799484	-0.0101901491	-0.017545914	-0.013529112	-0.0120428653	-0.1077544839	-0.0149902182	0.0547274405	-0.0067650318	0.1069810402	-0.0002108076	0.1271715217	-0.0521143403	-0.1897838429	-0.0435615354	0.1353356727	-0.0283750346	-0.0862509134	-0.0163451264	0.0645794868	-0.0026210175	-0.0107208594	0.0722619618	0.1635085829	0.0413600675	-0.1602719621	0.078652312	-0.0183879946	-0.0016107857	0.0328555776	-0.0229465523	0.0008916375	-0.1534913032	-0.0217594912	0.0595508717	-0.0064173254	-0.0276420253	0.0902030334	-0.0616078518	-0.075230524	0.0770895026	0.106346353	0.0506742228	-0.0412381304	0.0129266366	-0.1370487338	-0.0017027182	-0.0864191854	0.056556452	-0.0342841057	0.0011260601	0.0733237365	-0.0519023407	0.1264019538	-0.1295785236	0.0174651549	0.0174191623	-0.0237557235	0.0576537836	-0.0054481977	-0.0630967557	0.0008967755	-0.0616577438	0.0720871094	-0.0247852223	-0.0026103259	0.0576174833	0.0762015614	-0.0416288045	-0.0127083565	-0.0311464107	0.0858283988	-0.0395212708	-0.0035575847	-0.0064536945	-0.018390057	-0.0658760937	-0.0901951201	-0.0093982113	0.0709680875	-0.0181067216	-0.1234331175	0.0397922063	-0.0746319016	9.94272e-05	0.2047360181	0.1455623339	-0.0232140421	0.0064663079	0.0184080552	-0.0802859665	0.051884486	0.004786324	-0.0141874413	-0.1157842746	-0.1190783875	-0.0524924741	0.1690768183	0.0263824211	0.0207669155	-0.0200588881	0.0002245714	0.0422910453	0.0960435705	0.0938513913	0.0660787626	-0.0771058813	0.0358446409	0.0345790583	-0.065342161	0.0515757718	0.0207486651	0.1273911998	-0.0635583212	-0.0135340758	-0.0142690736	0.0695043984	0.06711836	-0.0238715724	-0.1137625298	0.1186404339	-0.0658803332	0.0515087049	-0.035355451	-0.0412306454	-0.1470633349	-0.1175188783	-0.042829535	-0.0453665778	-0.0118976621	-0.0581509868	-0.0812688533	0.0726301555	0.0220490944	-0.0133260978	0.0570002904	-0.0679383048	-0.0329831978	0.0255510579	0.1161859626	0.014465816	-0.0262320719	-0.0641069952	0.0251895577	0.0073601041	-0.0022797771	-0.0106461482	0.0383129371	-0.1252966615	0.0134263354	-0.0923369758	0.0281898181	-0.0737838535	-0.0092515629	0.0492461874	0.133608638	-0.1069158202	0.1065851491	-0.0503517102	0.067543014	-0.0325263296	0.0292734178	-0.0154391064	0.0466338689	-0.0198344163	0.0903340779	0.0902839469	0.0902004158	0.0900835156	0.0549173	-0.0042197	0.00301590983929	1.780586809e-05	-0.00300733	-0.002720311	9.0440337289e-06	7.400091936721e-06	0.147221	0.0370189999999999	0.0216740228409999	0.0013704063609999	-0.00135948	-0.0004872069999999	1.8481858704e-06	2.3737066084899994e-07	0.000992458	-2.9891999999999896e-05	8.935316639999936e-10	9.849728817640003e-07	0.00105917	7.180099999999981e-05	1.1218410888999998e-06	5.155383600999972e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
488.8339167322097	-0.68547235838696	0.4698723541125809	238958.5981477529	587.4972521066666	-4.318334271741492	345153.02123288414	18.64801088249712	395.1092855727522	0.5326563330941667	0.2837227691853238	156111.34754581063	394.3632628079801	623.4975660615219	1.011523	29.665216	0.11532972	0.0730252	-0.0522864927	-0.0907692046	0.0312912471	-0.0886810838	-0.0588478891	-0.0944531906	-0.0710862613	0.0864289696	0.0189387133	-0.0369623887	0.0340087028	-0.0369497582	0.0320410866	0.0005772095	0.0173265579	0.1073101499	-0.1771720218	0.0752171359	-0.0304862255	0.0118301144	0.1151730569	-0.085869191	0.0022977224	0.0165986554	0.1472416248	-0.0807463652	-0.054410823	0.0240410635	-0.0244789818	-0.0760865013	-0.0114878629	0.1232895167	0.0802306888	0.0745739258	-0.2011296947	-0.1077612844	-0.0642409397	0.0850348489	-0.0618965107	0.0467491441	-0.0225460724	0.0013403426	0.1300593353	0.0761472212	0.0488724699	0.079805174	-0.0849928226	0.0074754576	0.0034662851	-0.0596263978	0.0273423979	-0.0089865932	0.0544178453	-0.0663106109	0.015161381	-0.076922515	0.1069179011	-0.1191252256	-0.023400145	-0.001741176	-0.0419687805	-0.0623049308	-0.0396884272	-0.0524039495	-0.0644243538	-0.0138263597	-0.1098481194	0.0295597781	0.0627574561	0.0879311849	-0.0551086547	0.0651907668	0.0677066125	-0.0688150998	0.1164951244	-0.0928610065	0.0754482533	-0.0004004655	-0.0766350198	-0.0747290435	-0.036215085	0.0974686947	0.0171551235	0.0378293694	-0.0964035883	0.0785575027	-0.0182941396	-0.0563110953	-0.0152024547	0.0354307975	-0.0321164825	0.0164760763	0.1213755846	-0.0815090336	0.0034735581	0.0137961736	0.1175642359	-0.1372917354	-0.0150989391	-0.0487962593	-0.0126987502	0.0741920563	0.0207122328	-0.0780884899	-0.0794977103	-0.0922516802	0.2139300299	-0.0149321931	0.1303238534	-0.0860426193	0.0686067144	-0.0168973092	-0.0385741769	-0.0284612177	-0.1516478642	-0.0557391922	-0.0498405287	-0.0625633006	0.0607667681	0.0314110958	0.0456482881	0.0282093711	-0.0543051827	0.0697013666	0.0237914739	0.126185194	-0.044008681	0.0872949638	0.0448619289	0.0877685075	0.0964794262	0.0258602312	0.0173878319	0.0308779913	0.068460945	-0.0026859427	0.0837909463	-0.0574292783	0.1218714965	0.0267901725	-0.0243677138	0.0341290507	-0.0456461092	-0.0008935557	-0.0818317033	-0.0555048123	-0.1000467871	-0.0882813933	-0.0717455198	-0.0263145715	-0.0666083097	0.022476911	0.0240121705	-0.1585270246	-0.0381925899	-0.0143697137	-0.0836405677	0.0754914411	0.0392590484	0.0128058081	-0.0123115236	0.0105261451	-0.0358650839	-0.0909368512	0.0066305491	0.0723648098	-0.0435297635	-0.0338213478	0.0665854977	-0.1530091903	0.0322883568	-0.1273619247	0.0163691484	-0.0054636214	-0.0172152137	-0.1285893734	0.0270379623	-0.0946351047	0.1050689846	-0.1138123688	0.036831006	-0.0583599561	0.0387104681	-0.0890746221	0.1410613666	0.0819487786	0.0903043695	0.0901651549	0.0899332895	0.0896090116	0.0464834	-0.0084339	0.00216070647556	7.113066921000001e-05	-0.0212667	-0.01825937	0.00045227252889	0.0003334045927969	0.214366	0.067145	0.045952781956	0.004508451025	-0.00148241	-0.00012293	2.1975394081e-06	1.5111784900000012e-08	0.00098231	-1.0148000000000188e-05	1.0298190400000382e-10	9.649329360999998e-07	0.0007624189999999	-0.000296751	5.812827315608475e-07	8.80611560010593e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
488.6627516565489	-0.1711650756607809	0.0292974831259608	238791.28485655	584.426589003521	-3.0706631031455345	341554.4379342905	9.428971893019364	394.9230635832809	-0.186221989471278	0.0346786293626407	155964.2261500041	394.1168542769009	630.8862826460286	1.233263	36.168259	0.2911121	0.165428	-0.0074598554	-0.0239800708	-0.0246844315	-0.02949529	-0.0125213309	-0.0301182085	0.0436245335	0.015288776	-0.0325552134	-0.0452748018	-0.0793369732	-0.0126287661	-0.0318909943	-0.0138218173	0.0432152051	0.0822484253	-0.043687967	-0.0700268288	-0.0247695802	-0.0199098976	0.0513082622	0.0095771453	0.0856585076	-0.0980718506	0.0520723823	0.0169761442	-0.0958825583	-0.0584339498	0.0304313056	0.0794632312	0.0313390665	0.1002438037	0.108656603	0.0465659915	-0.0303408928	0.1222262675	-0.0310150252	0.1078098697	0.0428919776	-0.0143197944	0.1178912305	0.0176723221	-0.0186759757	-0.1222267009	-0.2222295347	-0.0622906995	0.0448400922	0.0160709524	0.0777794801	-0.0707956658	-0.0819588785	-0.0187110406	0.0562184227	0.0627939206	0.1334873299	-0.1055871399	0.0886110223	0.0388533877	0.0226666258	-0.0443533629	0.0227104751	-0.0091255051	0.0491938809	0.0646383478	0.0239851001	-0.0321891693	0.0923501513	0.0015783347	-0.0722991086	0.0277972085	0.0780169644	0.1102620701	-0.0229610176	-0.0316189796	-0.0411862607	-0.012839177	-0.0476536618	0.1436690707	-0.0421768873	-0.0112276046	0.0483034197	-0.0255165072	-0.0711018694	0.1045551202	-0.0272555277	-0.0225074712	0.0147094443	0.1348416665	0.0139718061	0.0401136713	-0.0237708709	-0.0229393056	0.0468979451	0.0090452284	0.0907369324	-0.0747403502	-0.0068532294	-0.0941831435	-0.0715327519	0.0573258386	0.0450037469	-0.0913763519	-0.0126614518	-0.0559371858	-0.1345744794	-0.0505778689	0.0279746585	-0.0974312856	-0.0724509598	-0.1106233714	-0.0365522242	0.0362551845	0.1184657321	-0.0024674865	0.0288363283	0.1102166676	0.1776381282	0.0274640663	-0.0556971649	-0.1312380468	-0.0040469775	0.0643199345	-0.0353321549	0.0509117039	-0.1756789282	-0.0210536413	0.0099350415	0.1644029177	0.0223430234	-0.0469857345	-0.0300348051	0.0326013217	-0.013076571	0.0404062316	0.0317536904	0.0487016732	-0.0859294963	0.0239443534	-0.0991594142	0.0138031283	0.0387716047	0.055020324	0.049277683	-0.0773995474	-0.0360665074	-0.093299451	0.0424034027	-0.0284072088	0.0418579944	-0.0953438078	-0.0806232052	-0.0145387244	0.0212298085	0.0631937913	0.0235047732	0.1147766019	0.0030165324	0.0715416242	-0.0248458391	-0.1180756755	0.0371054451	-0.0104882194	-0.0133069086	-0.0228689823	0.0535130818	-0.0719219225	0.0214889243	0.0390964171	0.0142308171	-0.0324275684	0.0242039043	-0.0547397677	-0.0261647539	0.0078566464	-0.0052865841	-0.0062366103	0.0895409039	-0.0644104784	0.0568287233	0.0646378104	0.0843351894	-0.0165991497	0.0765789595	-0.087955186	-0.015563875	-0.0682944755	0.0902598131	0.0899870646	0.0895330941	0.0888988159	0.0293713	-0.0171121	0.00086267326369	0.00029282396641	0.0817501999999999	0.1030168999999999	0.0066830952000399	0.0106124816856099	0.10153	-0.112836	0.0103083408999999	0.012731962896	-0.000623546	0.000858864	3.88809614116e-07	7.37647370496e-07	0.00098231	0.0	0.0	9.649329360999998e-07	0.000458341	-0.0003040779999999	2.1007647228100006e-07	9.246343008393919e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
488.8819368681256	0.2191852115767005	0.0480421569739229	239005.54819592997	584.6781762428678	0.2515872393468044	341848.569774686	0.0632961390021462	396.2694133887409	1.3463498054599654	1.8126577986620869	157029.4479874568	395.5175528396813	623.047837229277	1.151308	33.764748	0.25014135	0.144736	-0.0509908096	-0.0775574844	0.0209247234	-0.0279778454	-0.0443998295	-0.0975549752	-0.0590852172	0.0394075157	0.0411442738	-0.0428867265	0.0720291571	-0.0674974593	0.0710350089	-0.0185675451	0.0117728285	0.0719473103	-0.0433777443	-0.0408949994	-0.0235958746	0.0805462492	0.1614507266	0.0267403363	-0.0220225986	-0.0491388901	-0.0641202919	-0.0284398475	-0.1749780505	0.0409777378	-0.0341939844	0.0271360459	-0.0394238675	0.1016485202	0.06344646	0.0274580754	-0.1069389303	-0.043930402	0.0023935908	0.0706779825	-0.025638227	0.0284807459	0.0555874937	-0.1014181555	0.0289660975	-0.0267174044	0.0084655732	0.1666750329	0.1097296815	-0.0020386732	-0.2057003406	-0.0424562719	-0.0032166219	-0.0029586397	-0.0365428134	0.0162238993	0.0243742345	0.0625160421	0.0338468073	0.0468336452	0.0371069796	-0.0827241207	0.0022132768	-0.0948303112	0.0825667482	-0.074079278	-0.0320570933	-0.0051565951	0.0022867514	-0.0383368311	0.0053147216	0.0613873501	0.0347906232	-0.0263606155	0.0629076409	-0.0793623051	-0.1977882531	0.0760797497	0.1345043454	-0.0819607716	0.0413248304	-0.0337061264	0.0145722568	-0.0457359417	0.0280270995	-0.1041332363	-0.0901154224	0.001168798	0.0311178301	-0.0898666383	0.0506503825	0.0865090363	-0.0247860803	0.0787094105	0.1604417511	0.033595163	-0.009428355	-0.0392065837	-0.0633586101	-0.0428283582	-0.1535616241	-0.081004853	0.0007153225	-0.0455879938	0.0554536613	-0.0597300896	-0.0692475422	-0.0506246244	0.1152532583	0.0141556407	0.0394759791	-0.0536200896	-0.0052932817	-0.0004031715	0.0295340926	0.0740008994	-0.0781981633	0.0565741288	-0.0945922918	-0.1283538651	-0.1352755775	-0.0145803121	0.1921335317	-0.0743099396	-0.0550899897	-0.039329808	0.0043751465	-0.0244415928	0.0497788432	-0.0334647344	0.0433785302	-0.0860574548	-0.0802961314	0.0629614874	0.003279835	0.059679952	0.0783450826	-0.00961329	0.070672478	-0.0801680095	-0.0057508886	-0.0162482521	0.0377057289	0.0158675697	0.0487295335	0.1165469978	-0.1058701485	-0.029041019	0.1304348992	0.1225539178	-0.1108881386	0.0288930891	0.0703563045	0.0508077253	0.0052269355	0.029075585	0.0188691905	-0.1216061413	-0.0284189232	0.0331437437	0.0336952849	0.0586292027	0.0544795389	0.0483492854	-0.0322742482	-0.0864190588	0.0052215717	0.0813217285	-0.064091896	0.0094741196	0.0330242934	-0.1276028474	0.0145921921	-0.0952689236	-0.0691032303	0.0376731256	-0.0693179083	-0.0254914771	0.0397568184	-0.0649415943	0.0516136955	-0.0610190439	0.0189205854	-0.0579037035	0.081122528	-0.0143221376	0.0745194885	0.0609433504	0.0902004158	0.089749793	0.0890004218	0.0879547967	0.0435114	0.0141401	0.0018932419299599	0.0001999424280099	-0.0294542	-0.1112043999999999	0.00086754989764	0.0123664185793599	0.192208	0.090678	0.0369439152639999	0.0082224996839999	-0.000349518	0.000274028	1.22162832324e-07	7.5091344784e-08	0.00060673	-0.0003755799999999	1.4106033639999998e-07	3.681212929e-07	0.00049111	3.2768999999999984e-05	2.411890321e-07	1.073807360999999e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
