global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24
627.0419514826432	n/a	393181.60891916143	n/a	854.2142203527983	n/a	729681.9342529391	n/a	527.9024574759212	n/a	278681.0046091168	n/a	525.0633928451881	777.2731403369523	n/a	n/a	n/a	n/a	-0.048249481	0.1068900982	-0.0209272212	0.1099883169	0.3785892136	-0.3921849091	0.3577232994	-0.183094264	0.0668286961	-0.1494645548	0.0890826449	-0.1330172219	0.1285998326	-0.0071750405	0.0501048665	-0.0264995197	0.0112657608	-0.0743591668	0.0303195541	-0.060123352	0.0910001636	-0.0228908012	0.0298554043	-0.1812109477	0.0178818472	-0.0917477997	0.0410475681	-0.0781759964	0.0401242067	-0.0465292873	0.0222770545	-0.0057867883	0.0906127175	-0.0406951933	0.0353486964	0.0327702069	-0.3291688636	0.0245476846	-0.0172228996	0.1797121787	-0.0693671547	0.1003609772	-0.0492719458	0.1054151699	-0.0198914755	0.1489337005	-0.1105686681	0.0029235323	-0.1628827533	0.0013213945	-0.0317622168	0.0684113615	-0.0233865127	0.0240033085	-0.0947310068	0.0596966747	-0.0073467278	-0.0763260967	-0.0652567315	0.1751161937	-0.012955908	-0.1116409812	0.0689336888	0.014611677	-0.0215463226	-0.0631774563	0.1002737669	-0.043838905	-0.0881691218	0.0915575049	0.0468950644	-0.0244054046	-0.0049958903	-0.0552412167	-0.0845649627	-0.1435872678	0.0006273382	-0.035136258	0.0035732028	-0.008163898	0.0673287231	-0.0767313933	0.0583309504	-0.1447493599	0.0351816629	0.0142893823	-0.0703526396	0.1786497897	-0.0932698818	0.1235304668	-0.2152159206	0.0373228921	-0.0529488156	0.077756337	-0.0676658919	0.1011903018	-0.0787118135	0.0937150245	-0.2524237743	0.2832669908	-0.2051848608	0.0764042146	-0.0430739183	0.1282733015	-0.0887759203	0.0256761641	-0.0860774193	0.0275618684	-0.1717290192	0.1023746159	-0.0011807525	0.0443055994	-0.063145826	0.0940350857	-0.1544024435	0.0245505604	-0.0581319074	0.0311398679	-0.050618217	-0.1391142465	0.031292058	-0.1750692893	-0.0013664107	-0.0054652201	0.0868956978	-0.0209902533	-0.0356022947	0.0195770796	0.0512492497	-0.104806607	0.0645321747	0.0906652831	-0.0392477423	-0.0188468709	0.0478488581	0.0179813198	0.031022347	0.0932483061	0.093241782	0.0932309089	0.0932156873	-0.0380472	n/a	n/a	0.00144758942784	-0.106197	n/a	n/a	0.011277802809	-0.0229891	n/a	0.0005284987188099	n/a	-0.00190533	n/a	n/a	3.6302824089e-06	0.000471674	n/a	2.22476362276e-07	n/a	-0.000903587	n/a	n/a	8.164694665689999e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
616.7339586595048	-10.30799282313842	380360.7757638237	106.25471604187318	797.0865480092648	-57.127672343533504	635346.965017326	3263.570947390123	524.8279686970732	-3.0744887788480355	275444.396726696	9.452481251262483	521.5537639714785	726.3082234194343	1.606948	50.476971	0.148054425	0.0823924	0.0365153699	0.0418402849	0.0625740792	0.0457785422	-0.0059337209	-0.0865931146	-0.0126539166	-0.0406015335	-0.0785082338	0.00764536	0.0025856104	0.0457355829	-0.000911247	0.0276295908	0.0250093329	0.0328916258	-0.0221199107	-0.1407411303	0.0515885677	0.0145655792	-0.0193630969	0.0130669665	0.1375588885	-0.0205268606	0.087520524	0.0632384316	0.0908637562	-0.0412042965	0.0564692747	-0.0066407035	-0.0858420033	-0.0469020645	0.0089731774	0.0374016869	-0.0937681874	-0.0565930143	-0.000521465	-0.0148039491	-0.0433894387	-0.0591466487	0.1021866944	0.0596508682	0.0594725565	0.0038285613	-0.0184534068	0.0683772521	0.1308699973	0.0680127295	-0.0847927147	0.0113021739	0.0996131815	0.049010499	0.0481816403	-0.0655473874	-0.0459496132	-0.0371797226	0.0593894854	-0.037622883	0.0509628748	-0.0600046668	-0.0626918999	0.0590092009	0.0012541854	0.0445835438	0.0143835912	-0.0631532561	-0.0440725769	0.0493572375	0.0307316182	0.0313075474	-0.0334865318	0.1302062156	0.0146558325	-0.1321999002	-0.0328940897	-0.0015442493	-0.0305662145	-0.0177719055	0.0298180018	-0.0437176811	0.1181585568	-0.0724237052	-0.0319847256	0.0088751632	0.0096260997	0.1125386303	0.0737233737	0.0790866568	0.0763911028	0.0802167737	-0.0480329541	0.0670212964	-0.0093528406	0.024846467	-0.0030742334	-0.062769234	-0.0673083045	-0.0513675167	0.0048795142	-0.075613036	0.0302547765	-0.0609352155	0.0095834858	-0.0296639248	-0.1015896723	-0.0214234881	0.0191434773	-0.0313662797	0.0023034232	-0.1102489315	-0.0017825748	0.1781734938	0.0511270234	-0.1182884983	-0.038693004	-0.032860945	-0.0049727126	0.0396681754	0.0073934755	0.0225581936	-0.0658422993	0.053693641	-0.0229897603	-0.0098502025	0.0085006811	-0.038118394	0.0699189973	0.0328399497	0.0203265548	-0.018594818	0.0256807199	0.0582828569	0.0558175158	0.05567688	0.0813228171	-0.1138238963	0.1084298921	0.0932309089	0.0931722015	0.0930743832	0.0929374951	-0.0379725	7.470000000000393e-05	5.580090000000587e-09	0.00144191075625	-0.123008	-0.016811	0.000282609721	0.015130968064	0.0486283	0.0716174	0.00236471156089	0.00512905198276	-0.00154875	0.00035658	1.271492964e-07	2.3986265625e-06	5.82805e-05	-0.0004133935	3.39661668025e-09	1.7089418584225002e-07	-0.00132464	-0.000421053	1.7728562880900005e-07	1.7546711296e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
614.3922131823647	-2.34174547714008	377477.7916191242	5.48377187970602	789.1892262978179	-7.897321711446921	622819.6349045484	62.36769021409092	523.5054251162949	-1.3225435807783017	274057.93012619263	1.7491215230578916	520.1460138391466	725.7507221675945	0.944661	29.673395	0.224328365	0.140206	0.0456332119	0.0541060191	0.0609181544	0.1056466056	-0.0412456313	-0.0387016805	-0.0225199546	-0.0530284235	0.0295167769	0.0171704334	0.0407519102	0.1003264095	-0.0629991211	-0.000325943	0.0583568206	0.0480326365	-0.0808015513	-0.0786604932	0.0845171199	-0.0832026772	0.0315286721	-0.0223535969	0.0572744818	-0.1900872995	-0.0487250315	-0.0690958208	0.0472585636	0.0126707537	-0.075730604	-0.0211255617	0.0662755076	-0.1179215922	-0.0381873756	0.0413673574	0.0244193188	-0.0057107554	-0.0321411901	0.045448997	0.0255057052	0.0898783466	-0.041871832	-0.0512509368	-0.0223070982	0.0685381269	-0.0512049703	0.0019742932	-0.1265755574	-0.0154614007	-0.018836862	0.0114448624	0.0431307118	-0.0035629699	0.0523039189	-0.0586058874	0.0576993039	0.0253268462	0.0011077176	0.0680331472	-0.1010815003	-0.0103135937	0.0001988894	0.0305237438	0.0179595775	-0.0723548052	0.0132327664	-0.0593696679	-0.0915798647	-0.078843858	-0.0652521788	-0.0177362319	0.0748500842	0.1927100674	0.0407042102	-0.1343951077	-0.0286295206	0.0600005851	0.0050778984	-0.0545339073	0.0510925675	-0.0578596391	0.037257313	-0.1247211478	0.0871504248	-0.0477994895	-0.0110185853	0.0203574045	-0.0538100696	0.1918596305	-0.1001312368	0.0540362708	0.012115301	-0.0692308539	0.0337104159	0.0133983086	-0.1080896835	-0.0523756465	0.0072993192	0.0874175302	-0.0100974443	0.0257384286	-0.0326092175	0.0574063419	-0.0239940683	-0.0001543897	0.0685854283	-0.0103064281	-0.0366937846	-0.0536005414	-0.0046422754	0.0869427972	0.0074948563	-0.0336044905	0.0433374289	-0.0595604454	-0.0232914377	0.0076611717	-0.1201014425	-0.0812099941	0.002577967	0.0292194425	0.0211924033	0.0983015891	0.0472267303	0.0295191786	-0.0165089912	0.0628937278	-0.0491824547	0.0694606604	0.1166035231	0.0120713716	0.0737137149	-0.0545425642	-0.0817881248	-0.033676282	0.091559191	-0.0176937189	0.1723070293	0.0931961179	0.0930330924	0.0927615946	0.0923819408	-0.0327718	0.0052007	2.7047280490000025e-05	0.0010739908752399	0.00884204	0.13185004	0.0173844330480016	7.818167136160001e-05	0.0634919	0.0148636	0.00403122136561	0.00022092660496	-0.00252734	-0.0009785899999999	9.576383880999995e-07	6.3874474756e-06	0.000294681	0.0002364004999999	8.683689176099998e-08	5.588519640025e-08	-0.00109135	0.0002332899999999	5.442422409999997e-08	1.1910448225e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
614.1205140968939	-0.2716990854708001	377144.00583463325	0.0738203930456691	784.3308252181496	-4.858401079668283	615174.8433873835	23.604061050921946	523.6974498009146	0.192024684619696	274259.01892798144	0.0368734795032937	520.3096739356137	715.9989912294033	0.843439	26.493864	0.19230459	0.105011	0.0463169363	0.0315209426	0.0538242938	0.0413013459	-0.0632665849	0.0016295942	-0.0481673925	-0.0504732605	0.0632093828	-0.002952117	0.0418820116	0.0781231882	-0.0660829914	-0.0093543225	0.0624289163	-0.0079276693	-0.0674405482	-0.0821450139	0.0575530695	-0.0662625963	-0.0120468066	-0.0651322632	0.1117800648	-0.0686630116	-0.0277642865	-0.0020226136	0.1086647588	-0.0525641517	0.0158269153	-0.002770976	0.0410240403	0.0551778586	0.0819154088	0.1102780312	0.0289211926	-0.0021091496	0.0399946192	0.0132074658	0.0410531648	-0.0023134597	0.084579615	0.0368622272	-0.1220170457	0.0703759954	-0.0747410102	0.0030068757	0.0552724339	0.0156685262	-0.0610115728	0.0227705486	-0.0444916062	0.0286994601	0.1275952735	0.0407577791	0.0734058858	0.1310839163	0.0663575411	0.055435963	0.0348402514	-0.0746060552	0.2159284846	-0.0769675482	0.0456724191	-0.0646291342	0.0350447308	-0.099847149	0.063874323	0.0844154474	-0.064337932	-0.0268080635	-0.0788308074	-0.0108643868	-0.1072932533	-0.0108667471	-0.174140801	0.0659110598	0.0009689148	-0.060130889	-0.0046583702	-0.0416454719	0.0506769056	-0.0996937227	0.0742903763	-0.0284088006	-0.0701116107	0.0868453335	-0.0212231077	0.0979837739	-0.0161003218	0.1039832377	-0.0169027318	-0.0667065557	-0.0784018318	-0.0021840703	0.0343464481	0.053027176	-0.0855511846	0.0144686651	0.0624800989	0.0196356661	-0.0031506158	-0.0144788018	0.0089972003	-0.1143718319	-0.0510241866	-0.0846538725	-0.0102729434	-0.0540471424	0.0311669922	0.0246888239	0.016079037	0.0539603491	0.0154367852	0.0732135798	0.032984334	-0.0419246072	-0.0921617175	0.0343518778	0.0655404202	0.0485605939	0.1869208497	-0.0302716948	-0.0353988013	-0.0627895765	-0.1989505057	-0.0935226729	-0.0435445138	-0.0108467729	0.0431145893	0.0392356149	-0.0917480788	0.1462261596	0.0339711655	0.0113704123	-0.0288440004	0.0019358117	-0.0293457741	0.0931439394	0.0928245585	0.0922930681	0.0915506825	-0.020674	0.0120977999999999	0.0001463567648399	0.000427414276	-0.0837146	-0.09255664	0.0085667316080895	0.00700813425316	0.0415203	-0.0219716	0.00172393531209	0.00048275120656	-0.00162872	0.0008986199999999	8.075179043999999e-07	2.6527288384e-06	-0.0	-0.000294681	0.0	8.683689176099998e-08	-0.00121162	-0.00012027	1.4464872900000005e-08	1.4680230244e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
615.2668608580792	1.1463467611853275	378553.310070155	1.3141108968800903	786.5402800301102	2.2094548119606543	618645.6121098442	4.88169056609609	524.1229150273317	0.4254652264171454	274704.8300567476	0.1810206588901928	520.5816905203113	722.067671949628	0.918291	28.845076	0.179800492	0.0981541	0.0257910976	0.0616878636	0.0511254154	0.1003821252	-0.047356061	-0.0202247024	-0.0379857731	0.0905623922	0.0833568649	0.0359498783	0.0012346399	0.0917614291	-0.0386542371	0.0280738413	0.0490019298	0.0241945061	-0.1277620499	0.0726625427	0.1373397423	-0.0505959585	0.009806859	-0.0714116416	0.0709241763	-0.0671171895	0.0029969499	0.1084171068	0.0353927299	-0.0399043812	0.0193594101	0.065057619	-0.0624700512	0.0261786677	-0.0194156425	0.0110964408	-0.0237094514	0.011755303	-0.0025000514	-0.0576284791	0.0561526862	-0.0477707265	-0.0730948686	-0.0800261848	0.0809570333	0.008506038	0.0531702699	0.0411924	0.0182975987	0.0628336455	0.0325588998	0.1526620143	0.0440635235	-0.040157962	0.1352422864	-0.0026895471	-0.1248156316	0.00814855	0.0476393928	0.0095940719	-0.0704167449	0.0109432545	-0.0617816092	-0.0174612661	-0.0929772305	-0.0973649203	-0.0139127077	0.0705832053	-0.0271654764	-0.0398970838	-0.0867086616	0.0608669075	0.0156500037	-0.033860135	-0.0692787136	0.0677665489	-0.0570389332	0.0375504345	-0.0272180098	-0.0492856548	0.0307157194	-0.097154259	-0.1134318874	-0.1181178132	0.0704436963	0.0188818161	-0.0496051277	0.0222845646	0.007129905	0.0964637282	0.1348180087	-5.5065e-06	-0.0384252653	0.030012827	0.0144473164	-0.0500539175	0.0712770428	-0.030545652	-0.0001136132	-0.0122805256	0.0129722579	-0.0225441075	0.0526374266	-0.0629740815	-0.0876547125	0.0015948628	0.1076081767	0.0741414787	-0.0445404808	0.0490016473	-0.0142969506	-0.0368886293	0.0058283126	0.0757981825	0.1547695141	-5.58815e-05	0.0215369376	-0.0552899669	-0.1062326632	0.0201930737	-0.0646844759	-0.0690821742	-0.0201397775	-0.0621152688	-0.0104007207	0.0867676313	-0.0404714885	0.0718644208	-0.0263051567	0.0725261118	0.0186302864	-0.07249631	0.0327482151	-0.0097580405	-0.024957116	-0.0885048626	-0.0185964406	0.0184178707	-0.1290906651	0.0930743832	0.0925467555	0.0916695905	0.090446201	-0.0222674	-0.0015933999999999	2.5389235599999944e-06	0.00049583710276	-0.000694608	0.083019992	0.00689231907168	4.82480273664e-07	0.0641619	0.0226415999999999	0.0041167494116099	0.0005126420505599	-0.00259222	-0.0009635	9.283322500000004e-07	6.719604528400001e-06	0.000236229	0.000236229	5.5804140441e-08	5.5804140441e-08	-0.000960439	0.000251181	6.309189476100004e-08	9.22443072721e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
614.7070399376415	-0.5598209204376872	377864.7449488972	0.3133994629596993	788.4639208800942	1.92364084998394	621675.3545296114	3.700394119726935	524.4611933835323	0.3382783562005897	275059.54336527886	0.114432246273773	521.0048877172047	713.9836010666842	1.035328	32.52142	0.1491757169999999	0.0814803	0.0139963766	0.0555385249	0.0873196391	0.0413760115	-0.0500041625	-0.0402645903	-0.0657105869	0.0627385905	-0.0550547573	0.0603873409	-0.0445618381	0.0877147171	-0.0137357967	0.0396609753	0.0545038107	0.0830776638	-0.0625415963	-0.0356078781	0.0239776832	-0.0778760694	-0.08867327	-0.0243383581	0.0598141253	-0.1231619691	0.1096318282	-0.0190577864	0.0583329375	0.0505888104	-0.0287305084	-0.0690356478	-0.0135366865	0.0328775834	0.0156793866	0.0563608232	-0.0931743825	-0.0158756752	0.0387605943	-0.0498015913	0.0266612385	-0.1208567784	-0.0121007336	0.0882129382	0.0041463614	-0.0755123003	0.0103037746	-0.0646935837	0.0307192154	0.0328557798	0.0496741102	-0.1083150783	-0.1053397111	-0.0289788182	-0.0283817424	-0.0738739773	0.0414174328	0.0424684944	0.018626638	0.0236160554	0.0246188446	0.0088174265	-0.0115302091	0.0889985982	-0.0766000311	0.043182185	-0.0955048543	0.0297495154	0.0833703942	-0.0351076471	0.0237306801	0.0747241688	-0.0987422545	-0.0031784101	-0.0772886859	0.0854206602	0.0266143629	0.0107846944	-0.0415404177	-0.0477097277	0.0807331989	-0.0649315397	0.0180769774	-0.0253678678	0.0537916933	0.099309688	-0.0206828005	0.0289547049	0.0989517708	0.1582875832	-0.0185138341	0.0602927036	0.0456201015	-0.0628681773	0.0256515124	0.038172079	0.0241871642	-0.0051771002	-0.1030951841	-0.0564878204	0.0432631694	-0.1047492143	0.0243242539	-0.0724468246	-0.0560537778	0.0298222136	-0.0766472274	0.0032805351	0.0458023684	-0.0048159974	0.0284131852	-0.0135535635	-0.0582327233	-0.0426906088	-0.1086017666	0.0195274647	0.034963709	-0.121416207	0.05603718	-0.0584723018	0.0041538132	0.0375791161	0.0269647479	0.0327792155	-0.0779373286	0.0375138967	0.0081927741	0.0311448042	0.0020422403	0.0275575872	-0.082438157	-0.0468946981	0.1037309052	0.0079179855	0.0355800059	0.0967973602	0.0740061122	0.0313646112	-0.1410487017	0.0929874623	0.0921998906	0.0908922084	0.0890717925	-0.0159325	0.0063349	4.0130958010000014e-05	0.00025384455625	-0.0696962	-0.069001592	0.0047612196985344	0.00485756029444	0.0932672	0.0291053	0.0086987705958399	0.00084711848809	-0.00193425	0.00065797	4.329245209000002e-07	3.7413230625e-06	9.73315e-05	-0.0001388974999999	9.473420892250001e-09	1.9292515506249997e-08	-0.00105825	-9.781099999999996e-05	9.566991720999991e-09	1.1198930624999998e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
617.3357003307966	2.628660393155087	381103.3669029151	6.909855462542257	794.3336049421888	5.8696840620946205	630965.8759404533	34.453190988807606	525.4050477869001	0.9438544033678228	276050.46423995483	0.8908611347568285	522.03556048582	725.8884432704169	0.935679	29.391275	0.077074675	0.0332806	0.0298049024	0.0559348086	0.0678383069	0.08162758	-0.0173904084	-0.0724400072	-0.0256660406	0.0103944317	-0.0752684145	0.010026908	-0.0310996095	0.087486802	0.0207914737	0.0156030906	0.031740553	0.0559978675	-0.041817313	-0.0773442029	0.0509666196	-0.0178556249	-0.006845609	0.0515307514	0.1456233457	-0.0521620207	0.0364994518	-0.0343117398	0.0899003981	0.0380034586	0.0253093474	-0.0307643915	-0.0202139204	0.1247959586	-0.0643123058	0.0076983503	-0.1074937996	-0.0677046112	-0.0237682755	-0.0567638925	0.0348034565	0.0427239081	0.0391032448	-0.1020193456	-0.0022534656	-0.0448663718	0.0705190007	-0.0583321438	-0.0482439399	0.0533556637	0.0740031165	0.0502165484	-0.0288880919	-0.0131291475	-0.0397946509	0.0158788397	-0.0132287076	-0.0250202413	-0.0234839471	0.0024711945	0.0129102339	-0.0902945984	-0.0790445085	-0.0763806967	0.0522405235	0.0439110888	-0.0012602406	0.0134757127	0.0725442216	-0.0414422673	0.0179982246	0.0329308623	-0.0194921466	-0.0991737158	-0.0428270952	0.1436664334	-0.0198117185	-0.0231493392	-0.014349402	-0.0240867985	0.0535148808	-0.052598039	0.0543467455	-0.0697534653	-0.0057446404	0.0228465533	0.0421754873	0.134550485	0.0637052808	0.0962477019	-0.0115666042	0.0616051825	0.0694830352	-0.0142375734	0.0124260076	0.030568386	0.1457867043	-0.0916302156	-0.0555753474	-0.0019798713	-0.0750740053	-0.0379086615	-0.0025935298	-0.0556663457	0.0047372312	-0.0727344245	0.075307415	0.0306012383	0.0212596164	0.0781638479	0.0364821388	0.0475745606	-0.0533748571	-0.0442339159	0.0041276001	0.0311078299	0.0079825429	0.0479976171	0.0107386986	-0.0203793731	-0.050276706	-0.016750073	-0.0853161606	0.0262983006	0.080081429	0.047532244	-0.0206069271	-0.0854029731	0.0423791662	-0.0981290551	-0.0109701852	-0.044020311	0.0123409729	0.0190066141	0.0065789108	0.0223774604	-0.0903447048	0.0047172133	-0.1588549302	0.092883193	0.0917842227	0.0899622271	0.0874315588	-0.0305369	-0.0146044	0.00021328849936	0.0009325022616099	-0.0538443	0.0158519	0.00025128273361	0.00289920864249	0.0789031	-0.0143640999999999	0.00622569918961	0.0002063273688099	-0.00230802	-0.00037377	1.3970401290000004e-07	5.3269563204e-06	0.000240447	0.0001431154999999	5.7814759809e-08	2.0482046340249997e-08	-0.00118645	-0.0001281999999999	1.6435239999999992e-08	1.4076636024999995e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
615.8559878470916	-1.4797124837050433	379278.597767117	2.189549034432548	791.3136622266032	-3.0199427155855574	626177.3120264787	9.12005400541827	524.1369436543839	-1.268104132516214	274719.5357033588	1.6080880909047	520.8713311109768	728.6234905257774	0.826546	25.963221	0.0783578999999999	0.0418124	0.0217366691	0.0684639388	0.055695026	0.1092041841	-0.0225542024	-0.0448393447	-0.0567496435	-0.0465590021	-0.0348084585	0.016302365	0.0181260547	0.1140967297	-0.0277685164	-0.005295785	0.0724555078	0.0284103498	-0.0328206787	-0.0317896009	0.0301521746	-0.1540892246	-0.0097556235	-0.036587313	0.0643861749	-0.1274770403	0.0062019905	-0.0656535668	0.008419247	-0.0015099163	0.0502147971	-0.0457024877	-0.0619902107	-0.085726863	-0.1058071165	-0.0313498657	-0.0674409083	0.0244855115	-0.1334833696	0.087934078	-0.0009789606	0.1033082406	0.0197421047	-0.0130044871	0.1351893934	-0.0448552809	0.018954694	-0.0781096708	0.0806053026	-0.0144325155	-0.0273486909	-0.0124547501	-0.0836244191	-0.1380674179	-0.0765389593	-0.0278481689	-0.0704554185	0.0292007533	-0.1289926449	0.0063796115	0.0436271023	-0.0157786641	0.0085607125	-0.0384431793	0.0192311704	-0.0209895816	0.0122803327	0.0027657446	-0.1061130046	-0.0673227126	0.0445334289	-0.142185296	-0.0604285523	-0.0837005862	0.0746576961	0.114480777	0.0815984709	0.0255242741	-0.0022166148	-0.0731316671	0.0266271669	-0.0402251228	0.0414728408	-0.0156635768	0.1457916196	0.0318794133	-0.0136000323	0.0196985091	-0.0051921681	0.1553626823	-0.0326205943	0.0028271301	-0.0151767783	0.1330495789	0.045373011	0.0710703712	-0.0002202278	-0.1746604828	0.0261600606	-0.003029148	-0.0736890934	0.0878131595	0.0077232262	0.0727127917	-0.0280497437	0.03044704	0.0153966474	0.0975535182	0.0938242367	-0.034142158	0.0797947226	-0.0486035432	0.0441713211	0.037313671	-0.0687871631	0.0592111975	0.0600913402	0.0067066042	0.069084804	-0.0484622255	-0.0399787566	-0.1052630491	-0.0740568329	0.1064515035	-0.0325785469	0.0129009571	-0.0223558736	-0.042323611	-0.0222281852	-0.0070184993	-0.0051766904	0.1968056349	-0.030277603	-0.0294026499	-0.0666988158	-0.0100260408	-0.1246578794	-0.0281143859	-0.0376137174	0.0927615946	0.0913000619	0.0888812078	0.0855303949	-0.0261523	0.0043845999999999	1.922471715999999e-05	0.00068394279529	-0.0167873	0.0370569999999999	0.0013732212489999	0.00028181344129	0.0758871	-0.003016	0.00575885194641	9.096256000000028e-06	-0.00265052	-0.0003424999999999	1.1730624999999997e-07	7.0252562704e-06	0.000426243	0.0001857959999999	1.81683095049e-07	3.452015361599999e-08	-0.00133616	-0.00014971	2.2413084100000052e-08	1.7853235456000005e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
