global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
509.6805439858003	n/a	259774.2569176613	n/a	604.830404603363	n/a	n/a	365819.8183326678	383.19327259601965	n/a	146837.08416284743	n/a	379.59194520581184	514.6795072784265	n/a	n/a	n/a	n/a	-0.0318753983	0.004234398	-0.0415443888	0.0014725188	0.0886726756	-0.0307050611	-0.3367630053	0.1027184218	-0.4066547514	0.4948960255	-0.1356892082	0.0436076242	-0.0027624612	0.0141515931	-0.1366455253	0.0280025239	-0.0223179084	0.0830337026	-0.0472807045	0.1249244402	-0.0751202654	0.0159799948	-0.0287672302	-0.0483994229	0.031153479	-0.0358286199	0.0210848741	-0.0719936215	0.0252332094	-0.062004021	0.0855171015	-0.1031386931	0.0458286265	-0.0105706431	0.1038952595	-0.0281216923	0.0488694535	-0.0299268955	0.1087413812	-0.0022959298	-0.0014410702	0.0671098893	-0.0970381347	0.0831613704	-0.0336958708	0.0568748845	-0.0644263511	0.1073450038	-0.0392961115	0.0348606061	-0.0765289366	0.0632419254	-0.050733124	0.0685085911	-0.0303936836	0.0476416173	-0.1274370587	0.0439008485	-0.0705617254	0.0400553542	-0.0568918947	0.1161323966	-0.0124305059	-0.0194633248	0.01928529	0.1253413465	-0.0333259593	0.0056676099	0.02395101	-0.1228236154	0.1098271102	0.011790241	0.0311479789	-0.0687700742	0.0667653373	0.0138207271	0.0019391436	0.0030250681	-0.0265185539	0.0611159882	0.0800507201	-0.0357716148	-0.0183993962	-0.0457386185	0.0757788219	0.0025491962	0.0339103473	-0.0574827504	0.0782583233	0.0358995703	-0.0754155821	-0.0106682113	-0.0973570869	0.0489199394	-0.0357915679	-0.0291739099	-0.0215025482	-0.0160158844	-0.0103357844	0.1147256368	0.0359386151	-0.1459482422	0.0532694206	-0.0366209218	-0.0398483605	0.0260942475	-0.0704360177	0.0134037064	-0.0318280733	0.0748556169	-0.0765479758	0.0217712857	-0.0417557588	0.1376632821	-0.0157833136	0.0516797821	-0.0676570628	0.0302972067	-0.0540453206	0.0160965845	0.0766161145	-0.0543652207	0.1130585177	-0.0937262909	0.0657806297	-0.0712876466	0.0537921227	-0.0585141834	0.042985535	-0.0859849273	0.0731050145	-0.0274884145	0.0888030492	-0.0361934424	0.0236607493	-0.0692360684	0.1267420116	-0.0300078032	0.0348536526	-0.0254128425	0.1654283255	-0.0117644031	-0.0315025951	0.050962782	-0.1024606659	-0.0246211567	0.0563037601	0.0375344944	-0.0810360481	0.1417789933	-0.0048206402	-0.0020894313	-0.0268486769	-0.0060964832	0.012713588	0.0325402716	-0.0458036473	-0.0399128879	0.0737041896	-0.0816669459	-0.011822691	0.0452034951	0.0881546822	-0.0291093097	-0.0095087564	-0.0103459709	-0.0249567002	0.0592174865	0.0271863118	-0.0528428841	-0.0559464612	0.0059176765	0.1131573857	-0.0197138949	-0.0786353766	-0.0358851024	0.02754035	0.0240365169	0.0344222883	-0.0582718913	-0.0531880864	-0.0177553069	0.0053539373	-0.0625310472	0.1047803453	-0.0031297424	0.0543242697	-0.1001009628	0.0120859321	-0.0083551855	0.0477629313	-0.0958113477	0.0912357999	-0.0158374358	0.0972210841	-0.0610938945	0.0908338964	-0.0458694363	-0.0221843944	-0.1026044954	0.1280430442	-0.1137252703	0.0693908177	-0.0534420929	0.0171989711	0.0903489333	0.0903433624	0.0903340779	0.0903210801	-0.0042852	n/a	1.8362939040000003e-05	n/a	-0.0321707	n/a	n/a	0.00103495393849	0.0103946	n/a	n/a	0.00010804770916	0.00095263	n/a	n/a	9.075039169e-07	0.00116727	n/a	n/a	1.3625192529e-06	-0.000283813	n/a	8.0549818969e-08	n/a
507.1486789725441	-2.5318650132562084	257199.78258359656	6.41034044535086	591.1105591775038	-13.719845425859262	188.2341585094713	349411.6931711412	382.3177390086339	-0.8755335873857462	146166.85356067392	0.766559062640554	378.66016941350057	504.016838575926	1.134051	27.266542	0.09031854143	0.0625801	0.0104264594	0.0335920139	0.0031724033	0.0876322932	0.0158957819	-0.0466065691	-0.1586386502	0.0345082577	-0.1587406675	0.3907746669	0.0369406341	0.0794756809	0.064816989	-0.1759440593	-0.0287102423	-0.019315529	-0.0383649393	0.0169039374	-0.0689398686	-0.0583080156	0.0014425638	-0.0169593325	-0.0568924548	0.0239578586	-0.0408928046	-0.0244419088	0.0760170453	0.0161274123	0.0559732597	0.0009558801	-0.0470284331	-0.0889645443	0.0965100514	-0.0612138084	0.1095609687	-0.0372798256	0.0665745393	-0.0970121677	0.1095456437	-0.0879423482	0.1149273142	0.1424231382	0.0013282479	0.0427862784	0.0280651165	0.0177852523	-0.0125451723	0.071961438	0.0679958932	-0.0980518848	0.0020359217	-0.0580414949	0.0799177643	0.0876176767	0.006808511	0.1041934933	-0.0324883322	-0.0493449435	0.0145737559	0.0124349016	-0.0235590094	-0.0433959697	-0.0206647449	0.0099262287	0.0173442673	0.0890862469	-0.0055489518	-0.0172096816	-0.0646272484	0.0062040108	-0.0577343055	0.0287794055	-0.016871238	-0.0366736793	-0.1339636436	0.0745828925	0.0237991076	-0.0454212284	0.0032962543	-0.0736119622	0.0814415268	0.0240275324	0.0237224259	-0.0008722323	-0.0071167394	-0.0869510816	-0.0161444888	-0.1004603454	0.0444781766	0.006096141	0.0030791162	0.03844347	0.0409925035	-0.0583025475	0.1310125133	0.0355186654	0.0580445133	-0.0575425273	0.0459648153	0.0692583476	0.0313837029	-0.0576461381	-0.024629895	0.0443916297	0.0057747166	0.0675134207	0.0282611966	0.0539715688	-0.0650658925	-0.0524244677	-0.0783725482	0.0115742239	-0.0869421977	0.1532394189	-0.0202253776	0.0743713617	-0.134509546	0.0844506184	-0.0021343026	-0.1035117558	0.0803124069	-0.0549376953	-0.0064702535	-0.01581091	0.0193627023	-0.028011817	0.0160182152	0.0505292554	0.0971683174	-0.0202872096	-0.1269519637	0.1045278252	0.1088855724	-0.009199772	-0.061532935	-0.0399159484	0.0369165646	0.0352940889	-0.0350573046	0.0239692792	-0.0133144614	0.0087043335	0.0347426745	0.0186870273	-0.0949984377	-0.0228223185	0.0281036029	0.0280484392	0.0543806761	-0.026398755	0.0102366751	-0.0324459385	0.0536322111	-0.1064415011	-0.0901760041	-0.0669365943	0.0582053125	0.0618930494	-0.0393753309	-0.0896942685	0.0037963429	0.0081803839	-0.0071520176	0.0064503681	-0.0256661834	0.0858943131	-0.0520315107	0.0885270682	0.0089391214	-0.0222154655	-0.0268795125	-0.0386469865	-0.0523908597	-0.0465693515	0.028620278	0.0224308343	-0.1116569048	0.1141829452	0.0306929637	-0.0187405023	-0.0768510772	-0.1167674066	0.0076263912	-0.045898451	0.0750298171	0.0080780538	0.0681205457	-0.1127085261	-0.0124486576	0.0790117733	0.0329025016	0.0465018761	0.0244206101	0.0780114708	0.0642009471	-0.023236999	0.0067325757	0.0379055981	-0.0712139282	-0.0597537773	0.1127982381	0.0124473805	0.1124494861	-0.0334202286	0.0986008985	0.0903340779	0.0902839469	0.0902004158	0.0900835156	9.74143e-06	0.00429494143	9.48954584449e-11	1.8446521887130445e-05	0.0284834	0.0606541	0.00367891984681	0.00081130407556	0.0162435	0.0058489	3.420963121000001e-05	0.00026385129225	0.00103192	7.928999999999998e-05	6.286904099999997e-09	1.0648588864e-06	0.00086206	-0.00030521	9.31531441e-08	7.431474436e-07	-0.000289725	-5.912000000000007e-06	8.3940575625e-08	3.4951744000000076e-11
507.44452049248696	0.2958415199428827	257499.94137785	0.0875222049221151	584.7100788003949	-6.40048037710892	40.96614905775634	341885.87625076395	382.7771699297666	0.4594309211327072	146518.36181944143	0.2110767712928478	379.0979670528934	502.89929080680713	1.056429	25.400238	0.1555556388299999	0.0893391999999999	0.001857633	0.0320236392	-0.0825551995	0.0528743618	-0.0158437728	0.0539982424	-0.0728502227	-0.0195234417	-0.0359546149	0.115374835	-0.1334837655	0.068434933	-0.0185681014	-0.0032316132	0.0288368108	0.0249776105	0.0022603429	-0.0310957779	-0.0630541204	0.003205733	0.0870093583	-0.0847136203	0.0356094678	-0.0143100884	-0.0143249078	-0.0449869843	0.0754287085	-0.1799379847	-0.0349947403	0.0993963303	0.0514011008	-0.163878416	0.0693199459	-0.017839607	0.0225982902	0.0590627197	0.0730910671	-0.0598809934	0.0606243529	-0.0072730515	0.0713814176	0.0319572378	0.0698788645	-0.0615506042	0.0275142166	-0.0418363999	0.0108300188	0.0352432541	0.0491035684	-0.0524885434	0.0106986566	-0.0629833298	-0.0179646523	-0.061553515	-0.0002309003	0.0041560319	0.0209160894	0.017373067	0.0056027698	-0.0018006821	0.0234845666	-0.0576738173	0.0192359126	-0.0308197015	0.0210372867	0.0095580547	0.0848253677	-0.0265436277	-0.024815058	0.0782886585	-0.1299559437	-0.0275211737	-0.03777311	-0.0409161162	-0.0603751663	-0.0774854212	0.020789204	-0.0884266454	-0.0844128193	-0.0183305064	-0.124262234	0.0774553199	-0.0356865833	-0.098379018	-0.1512715896	0.0487373832	0.0278646872	0.0051639451	0.1406731391	0.0096997169	0.0714784005	0.0208707584	0.067224346	0.0551770785	-0.0266094301	0.0137051652	0.0279152449	-0.0690050258	-0.0450687454	-0.0066285956	-0.1476762612	-0.1140832188	0.0141020109	0.0090930894	-0.0552508493	0.0711872055	-0.1713830071	-0.0765725722	0.0273516592	-0.0466928527	-0.1476315654	0.0448976157	-0.0314100948	0.0762606724	0.0600966629	0.0723676999	-0.1234542993	0.0800510969	0.0201674218	-0.0364181166	-0.0017770712	-0.0210099173	-0.0738026541	0.0567297067	0.0007872859	0.0421259805	0.0639169139	0.0287459176	0.0097127341	0.0207583715	-0.0588211142	2.3682e-05	-0.0768847482	0.006958811	0.0194705472	-0.0179589913	-0.0135804898	-0.0059603969	-0.0276555895	0.0013946593	-0.0529522805	0.0214129358	0.0329192344	-0.0326642332	-0.0501569691	0.0699049604	-0.029033996	-0.0143822781	0.0746660748	-0.1576221673	-0.0293286204	0.0190837467	0.0096248411	-0.0592755137	-0.0060452436	0.0183833345	-0.0625861827	0.1187487654	-0.0357050271	0.1375600931	0.0578775653	0.0101475005	0.0840836641	0.1289705061	-0.0112132249	-0.0625953498	0.0560611324	0.1445763849	-0.0596266844	-0.0557787578	0.0244281324	-0.0556972679	-0.0435667396	0.0291595302	0.0711703152	0.0488114205	0.0872383754	-0.0536966757	0.0878769554	-0.1295525467	-0.0325574968	-0.0011464732	0.0650674354	-0.0518722794	0.1138995316	0.0196488467	-0.0148718757	-0.0756891178	-0.050238472	-0.0513782544	-0.0520452502	0.0454091959	0.0168247088	0.0080641275	0.1178884573	-0.0072294202	0.0098110086	-0.0361985664	-0.0399891838	0.0737317764	0.1892810819	0.0050566018	0.0844668728	-0.0699048145	0.0500964011	0.0903043695	0.0901651549	0.0899332895	0.0896090116	-2.84474e-05	-3.818883e-05	8.0925456676e-10	1.4583867367688999e-09	-0.0489088	-0.0773922	0.0059895526208399	0.00239207071744	0.0546975	0.038454	0.001478710116	0.00299181650625	0.000604259	-0.0004276609999999	1.8289393092100003e-07	3.65128939081e-07	0.000938099	7.603899999999997e-05	5.781929520999995e-09	8.800297338009999e-07	0.0	0.000289725	0.0	8.3940575625e-08
508.0762468297237	0.6317263372367279	258141.4725925783	0.399078165158532	584.6629914774784	-0.0470873229164681	0.0022172159794397	341830.813603394	383.3824541264158	0.6052841966491656	146982.1061319933	0.3663689587132257	379.69623075343554	512.9665568692841	1.054022	25.34236	0.1203487026	0.0627145	-0.0392574231	-0.0002826948	-0.0325774661	0.0578093625	0.0018490375	-0.087100386	-0.0853219974	0.0052869358	-0.0107505973	0.1026152494	0.0540732186	0.0067445345	0.0826446473	-0.0333427183	-0.0509266294	-0.0226542252	-0.0139553687	-0.0409455505	-0.0493341683	-0.0336920389	0.0123284804	-0.042667471	0.0088422854	-0.0544657528	0.0220917525	-0.028086693	0.0887878187	-0.0087534175	0.0076516149	-0.0103336382	-0.0810587734	-0.0075739691	0.0456764303	-0.0858481932	-0.0137524563	-0.0179645869	0.0471371649	-0.0048907916	-0.0115978732	-0.0218800324	-0.0096365999	0.0744805703	-0.0132839479	-0.0348768441	0.0095089767	-0.0169848046	-0.047216119	0.0128084854	-0.0267918327	0.0007328262	0.0741400358	-0.0012735306	0.0356468491	0.1027664792	0.0134611149	0.0354079248	-0.1068888447	0.0924298418	0.0295091346	-0.078839063	-0.0369629097	0.0106620904	-0.1084118403	0.0051344723	0.0627515626	-0.0890656267	0.0406860705	0.1668333717	-0.0225020737	0.1564547062	-0.0608425136	0.053336891	0.0761051177	-0.0827296013	0.0391329064	-0.0259624415	0.0279826342	0.0684275786	0.0353837049	0.1445916138	0.0473411075	0.0777372344	0.0255146974	0.0497468818	0.0512165311	0.0165737239	-0.0626811701	-0.0480103084	0.0437609835	-0.0091830137	0.0752710598	0.1039218078	0.084748417	0.0006454971	-0.0394610757	-0.062270557	0.059054174	0.0154897443	-0.0554402081	-0.1067840864	0.001770414	-0.0005989822	0.0529575785	-0.0137206979	0.0005981381	0.0905128041	0.0166830701	-0.0010493829	-0.0730450582	-0.0498502184	-0.0222453026	0.0066969031	-0.0979803886	-0.0229744703	-0.017126197	0.0419991032	-0.0075191007	0.0049980952	0.0057768172	-0.0377802411	0.0416779881	-0.0152600247	-0.0167641661	0.000842379	-0.0320997179	-0.0537674381	0.0274404726	-0.0263340463	-0.0043283136	0.0821991493	-0.0560197615	0.0227833455	0.0913777667	0.0061635007	0.0894776636	-0.0878678549	0.0828880838	0.0472202145	0.0142830307	0.0503165634	-0.0326081701	-0.128451725	0.0041287827	-0.0212648903	0.0339662865	0.0026357304	-0.2198507066	-0.0074795421	0.0077561691	-0.0492165809	0.0664538189	0.0011793438	-0.1544133552	-0.0584367397	0.007422052	-0.0067122744	-0.0559791049	-0.0930260312	0.1068156271	-0.0429944494	0.084387878	-0.0101775805	-0.0655685659	-0.0752589005	0.0493989027	0.014191846	-0.0221482742	0.0740621581	-0.0287652818	0.0305237241	-0.0274233367	-0.0790911939	-0.0737966714	-0.0165893631	0.0263252335	0.0875165575	0.1060441162	-0.0491253328	0.0043455369	0.0824872668	0.0302677093	-0.0117740861	-0.0174713384	-0.0521224293	0.0543894839	-0.0401059834	0.0576951493	-0.1113755524	0.0554758009	0.0549303021	0.0398357915	0.0293118115	0.0684307342	0.0711713109	0.0911593967	-0.033747003	-0.0224622114	0.1345943493	-0.0505531434	0.0790322229	0.0723267249	-0.006096463	0.0589479205	0.005369455	-0.0772087827	0.0902598131	0.0899870646	0.0895330941	0.0888988159	-0.0170955	-0.0170670526	0.0002922561202499	0.0002912842844511	-0.0356086	0.0133002	0.00017689532004	0.0012679723939599	0.00611475	-0.04858275	0.0023602835975625	3.739016756250001e-05	0.000616989	1.2729999999999968e-05	1.620528999999992e-10	3.8067542612100006e-07	0.000430932	-0.000507167	2.57218365889e-07	1.8570238862400002e-07	-0.000308077	-0.000308077	9.491143792900001e-08	9.491143792900001e-08
507.75244256529646	-0.3238042644272241	257812.54293102468	0.1048492016612556	581.6760377989057	-2.9869536785727178	8.92189227793909	338347.01294943393	382.72313337193935	-0.6593207544764255	146476.9968180353	0.4347038572833629	379.0836382056801	514.701359224767	1.145517	27.542236	0.10869165	0.0600258	-0.0412588886	-0.0529206554	-0.0094120481	0.075295587	-0.0965291306	0.1315324014	-0.0234677035	0.0359013435	0.1416939446	0.0645207689	-0.071408898	0.0729868955	-0.0629620842	-0.0230618546	0.0523596232	0.1028498474	-0.0379408721	0.0467005611	-0.0160220979	0.0083229757	0.0118892496	0.0334057612	0.0472157647	-0.0016627019	-0.0901782131	-0.1620180201	0.023512907	-0.121866752	0.0009509169	0.1255901745	-0.032756572	-0.0055241783	0.0594608069	-0.108219629	0.1220403021	0.00821891	-0.0435795595	-0.0476245474	0.0563831173	-0.0060814769	0.0103704912	-0.0155844798	-0.0714786904	0.1525076468	0.0233980943	0.0396990668	0.0576323776	0.0011508748	-0.0523507015	-0.1331745354	0.0286628089	-0.0163326165	0.0523345382	-0.021952618	0.1012824187	0.0135818479	0.0353664845	0.0098928868	-0.0097855621	0.1339449727	-0.091785879	-0.0362539367	0.0278259352	-0.059035399	0.0682974484	-0.0424987894	0.0412542694	-0.0272641041	0.1040728909	0.1003899178	-0.0429846116	0.0736966538	-0.0836205145	-0.0378986283	-0.0072045669	0.0342289541	0.0253976362	-0.1372635848	0.0295585574	0.0722313017	0.0018013177	-0.0458336711	0.0172297214	-0.0535882576	-0.1593796486	0.0979799968	0.0218206718	0.0375848531	-0.1035900105	0.0748737859	-0.0935702931	-0.0340764733	0.0195323687	0.0652420549	-0.0022046199	0.07273644	0.010615967	0.061109352	-0.0944128714	0.0621214555	-0.0162746201	-0.0144925246	0.0018212931	0.0857613491	-0.1644695919	0.0356488815	-0.106816633	-0.0255055625	0.0179958815	-0.1488425341	-0.0020837029	0.000901565	-0.1144771711	0.1392573249	-0.0012911349	-0.0372219242	-0.0418416858	0.0112268997	-0.0167496593	-0.0010180664	0.0260108399	0.0142498546	0.1458173684	-0.0190175227	0.0082868891	0.0058525719	-0.0831371541	-0.0085189271	0.1146286225	0.0391057436	-0.0484605472	0.1038982612	-0.0226933898	0.1046836555	-0.008235885	-0.0115114144	-0.018034306	-0.0606158928	-0.1640474959	-0.0325378689	0.0294132587	0.0077696264	0.0588063797	-0.0891591304	0.0006938382	0.0088966101	-0.0111031454	-0.1051043344	-0.0512796685	-0.0854854103	0.0325327876	0.0987266815	0.0027263229	-0.0561289619	-0.0190980368	-0.0594756928	0.0163064597	0.0769625865	0.1388708454	0.0531223279	-0.0590042729	0.0287237386	-0.0211225904	0.1546010829	0.0503190656	-0.0693236481	0.0502358176	-0.1051424881	-0.008559818	-0.1261772416	0.0415668692	-0.0287867309	0.0414952518	0.0584775042	0.0087498003	0.0258227736	-0.0586115221	-0.0660112694	0.1073736219	-0.0218762164	0.04567931	-0.1087238747	0.0217461232	-0.062924183	0.1044005194	0.0620351108	0.0142037675	-0.0584504397	-0.1170564632	0.0098228845	-0.0495507832	0.0357113174	-0.0308388765	-0.0474934851	0.13516489	-0.0556926006	0.034601606	0.0310708788	-0.0607911021	-0.0207534914	0.0668441741	-0.008266776	-0.0359923671	-0.072314282	0.010489854	0.0902004158	0.089749793	0.0890004218	0.0879547967	-0.0122826	0.0048129	0.00015086226276	2.3164006410000003e-05	0.0140388	0.0496473999999999	0.0024648643267599	0.00019708790544	0.0385916	0.0324768499999999	0.0010547457859224	0.0014893115905599	0.000967505	0.000350516	1.2286146625600004e-07	9.36065925025e-07	0.000430932	0.0	0.0	1.8570238862400002e-07	-0.000392651	-8.457399999999997e-05	1.54174807801e-07	7.152761475999993e-09
507.8348967841458	0.0824542188493637	257896.28239176405	0.0067986982060587	581.9427234351043	0.2666856361986447	0.0711212285546758	338657.3333590663	383.5990213024243	0.8758879304849643	147148.2091441778	0.7671796667692337	379.93734132526737	518.3289103930636	1.177304	28.30649	0.1103746	0.081053	-0.0454246903	-0.1095736911	0.0303484519	-0.0375055907	-0.0059267724	-0.0686621709	-0.0455076288	0.0738614291	0.0677518587	-0.0566035906	0.0181924475	0.0007101151	0.0509632754	0.0956369612	-0.1083536697	0.0535803987	-0.0391298389	0.0838817748	-0.0419621685	-0.0354346177	-0.0262762448	-0.0399785842	-0.0101752047	-0.0924748147	0.0178618834	0.0026150175	0.0946775818	-0.0608427629	-0.0084720737	-0.0813944431	0.0863286049	-0.0875680482	0.0122087308	-0.0205819727	0.0859951641	0.0427818197	-0.0592524038	0.0053103506	0.0663301864	0.0711418031	-0.0216875163	-0.0348694635	-0.2072946957	0.0386142049	0.0930825386	-0.1728020489	-0.0635688601	0.0040362901	0.0499112048	-0.0089275867	0.0723904408	-0.0085174815	0.062248376	0.0004037618	-0.1044812	0.0643502707	-0.033815963	0.0013140344	0.021831259	0.0283939123	-0.0125682158	0.0354813621	0.092161428	-0.0482710694	-0.0639101763	0.1162033968	-0.0621856302	0.0304983582	0.0623182099	-0.0063249221	-0.0038933456	-0.068454757	-0.1015045234	0.0177737625	0.0796345061	-0.0668967829	0.0198923579	-0.019525501	0.0757065401	-0.0445513657	0.0544220602	0.0503675985	-0.0568426465	0.1071916696	-0.1136111399	-0.0196852114	0.0078123737	0.0763232932	-0.0164778477	0.0435252531	-0.0404307453	0.062727156	0.0588731703	-0.0216313092	-0.0608805372	0.0417658123	0.0389373931	-0.0483918452	0.0226827494	-0.0575845511	-0.1377167367	0.2572667395	0.090055045	-0.0055820843	0.006565542	0.1081822471	-0.0639143281	-0.0294905117	-0.0211361971	0.1072220935	-0.0564558834	0.0368843475	-0.0316169658	0.084724309	0.0421921529	-0.055669034	0.0011915314	-0.0204919964	-0.066713836	0.1009981529	0.0082850587	-0.1314522301	0.1638014803	-0.0113428918	-0.1502490514	-0.0223312028	0.0861434245	0.1118495756	-0.0138417115	0.0772671723	-0.0328425332	0.0444919004	-0.0027586035	-0.1033333119	-0.0587330991	0.0005747176	0.044662201	0.0554765387	-0.0255399069	-0.0172946719	0.0336422924	0.1068998254	-0.0418634653	0.0907367406	-0.0710452419	-0.0744305818	-0.0234537595	-0.0210681759	-0.0483102173	-0.0412940343	-0.056917668	0.0848574079	0.0672809442	0.0553010158	0.0250477741	0.1066673431	0.0749911278	0.0158358581	0.0199628416	0.0236286422	0.0322731615	0.1004391528	-0.1126492614	0.0222046682	-0.0336093131	0.020157732	0.0919114701	-0.0502772165	-0.0235072897	-0.0474080791	-0.0555911506	-0.0095977464	-0.06847333	0.0223990495	0.0616606759	0.0331517327	0.0317975515	0.0335201085	-0.0743316373	-0.0232745994	0.1953098226	0.0456838274	3.43637e-05	-0.0788190743	0.0875835606	0.0019091617	0.004548758	0.0163437096	0.0404594875	-0.0132214709	0.0938783345	-0.0715164405	0.0859088674	0.0027521382	0.1250454981	-0.0406444397	0.0505091224	0.0507903621	0.0100019625	0.0619283295	0.0806952192	-0.022083024	-0.1009242072	-0.1334065989	-0.0464057878	0.0901261876	0.0894534963	0.0883360609	0.0867794369	-0.012818	-0.0005354	0.000164301124	2.866531600000001e-07	-0.0666541	-0.0806929	0.0065113441104099	0.0044427690468099	0.0302153	-0.0083762999999999	7.016240168999993e-05	0.00091296435409	0.000616989	-0.000350516	1.2286146625600004e-07	3.8067542612100006e-07	0.000430932	0.0	0.0	1.8570238862400002e-07	-0.000457535	-6.488400000000002e-05	2.0933827622500002e-07	4.209933456000003e-09
