global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01
501.7681857414343	n/a	n/a	251771.31222225053	656.7485197349048	n/a	n/a	431318.6181739887	428.1345038909721	n/a	n/a	183299.1534219688	432.6570458179814	501.96319788754215	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0163835	n/a	0.00026841907225	n/a	-0.0283424	n/a	n/a	0.00080329163776	-0.0595986	n/a	0.00355199312196	n/a	0.000139056	n/a	n/a	1.9336571136e-08	0.000186475	n/a	3.4772925625e-08	n/a	-0.000678429	n/a	n/a	4.602659080410001e-07	0.0	0.0
498.55106788080514	-3.2171178606291733	10.349847329179228	248553.1672850912	612.7928550143162	-43.95566472058863	1932.1004610288	375515.0831565967	429.4261543368093	1.291650445837206	1.668360874231453	184406.8220285012	433.0572034490365	479.5618916277938	1.568416	35.614731	0.186014675	0.088006	-0.0655437157	0.0451754253	-0.0917942561	0.0082099389	-0.0800990105	0.0250718706	-0.0881790043	0.1106178387	-0.1205200352	0.0232285153	-0.0681307383	-0.0235024743	0.0171564682	-0.0882271462	0.068198318	-0.1343777173	0.0894822583	-0.039225945	0.0642140213	-0.0543647145	0.0563320015	-0.0317269873	0.1284750083	-0.0038865499	-0.0032419937	0.009903807	-0.080234401	0.0806971172	0.0617014687	-0.0964414954	0.0025728162	-0.0031392489	0.0264466186	-0.0309650008	0.0935741146	-0.0835305591	0.1667190798	0.0073458948	-0.0330159055	0.0697741709	-0.1178833476	0.0243615265	-0.0107612927	0.0602553598	-0.1449262693	0.1014139281	-0.001304049	0.2022857131	-0.0583004295	0.1082750764	-0.0052779487	0.0440539159	-0.0656883993	0.0014725403	-0.0263566197	-0.1409670537	0.0790000463	-0.138501351	0.0487618264	-0.0545783973	-0.0788301757	0.0694292743	-0.005047057	-0.0275125241	0.0734371477	-0.0573075036	-0.0068064904	0.0743140524	0.0673839947	-0.0820987016	-0.0939800994	0.0410082938	0.1473472681	-0.0335754218	0.0558981808	-0.0859808569	-0.0331335404	-0.0140259982	-0.0181671083	0.0623794347	0.1076166841	-0.0085412242	-0.0233561695	-0.0305149131	0.0122816428	0.0071658485	0.1234006326	-0.0255163057	0.0024640131	0.0004984474	0.0220556636	-0.0801425725	-0.0326437476	-0.0310564185	0.005659545	0.0958819337	-0.1235795268	0.0041296102	-0.0318080063	0.0321088858	-0.0719992444	0.0491730636	-0.05158028	-0.0689490012	0.0766999706	-0.0455986424	0.0515513529	-0.0798125132	0.0115870227	-0.0498046114	0.193228824	-0.0189162361	0.0483738721	-0.0141178849	0.0974441458	-0.0531129443	0.0531626921	-0.0042606576	0.1559529056	-0.0158174842	0.0082671028	-0.2069343277	0.0726837365	-0.0301585308	0.0420949845	-0.1042488542	0.0600676388	-0.0430295148	0.0220283662	-0.0593574521	0.0958362467	-0.0381891542	-0.117511256	0.018839749	-0.0697470687	-0.0920990942	0.1236302297	-0.2243252687	-0.0364275633	0.0031658496	0.0136834272	-0.1263133756	-0.0492844392	0.0853418244	-0.0239616284	-0.0180909407	0.0009400987	0.0069253978	0.0446754335	-0.0442524883	0.0777256245	0.0115887845	0.0892370868	-0.0413213836	-0.0942815433	0.0120094314	0.0908582813	-0.015520323	-0.0177532636	-0.0282488717	-0.0002063169	0.0846186308	0.0222924513	-0.0329097997	-0.0201874246	-0.0248916724	0.0357546144	0.0651844998	-0.0245320697	-0.0827277641	0.0932483061	0.093241782	0.0932309089	0.0932156873	0.0	-0.0024685	0.0139149999999999	6.093492250000001e-06	0.0001936272249999	0.0195805	0.0479229	0.00229660434441	0.00038339598025	-0.0214811	0.0381175	0.00046143765721	0.0014529438062499	-0.000300186	-0.0004392419999999	1.9293353456400001e-07	9.011163459599999e-08	-7.10325e-05	-0.0002575075	5.04561605625e-09	6.631011255624999e-08	0.000346007	0.001024436	1.0494691180960002e-06	1.1972084404900004e-07	1.0	0.0
495.92312243882185	-2.627945441983286	6.906097246040728	245939.7433694707	611.1248035274239	-1.6680514868922955	2.782395762923598	373473.5254864324	427.2020055368054	-2.2241488000038885	4.946837884558737	182501.55353466872	430.7894768698789	476.75868125346346	1.173387	26.64463	0.1188886799999999	0.0604729	0.0445495306	0.0014158347	-0.0962233032	-0.1018955271	-0.0915864895	-0.0798451921	-0.0278106753	0.0533648446	-0.0162510774	0.1153822056	0.0755062733	0.0664135647	-0.0629271153	0.070459449	0.0135912188	-0.0469176073	-0.0117950238	-0.0876568137	0.1177888659	0.0156288693	0.0920345443	-0.081126161	-0.0466599124	-0.0328307841	-0.0035641923	-0.0624911845	0.1056234745	0.0421261023	-0.0855545467	0.0649377441	-0.0703535554	0.0415412629	-0.0115700076	-0.1317275627	-0.1529357967	-0.0457890438	0.0427420329	-0.0841488	0.0261876521	0.01820972	-0.0055070017	-0.0620199627	0.0618097332	0.0590328528	-0.0057384063	-0.0074323088	0.0598579936	-0.0770305164	-0.0069867241	-0.0487729714	-0.0066258531	0.0365050997	0.0728833579	-0.0331283339	0.052066433	0.1704528345	0.0606544627	-0.0198261427	-0.0545549755	0.121306173	0.1134049245	-0.0012012516	0.0730196453	-0.0831576635	0.0482947953	0.0234127494	-0.0398312194	-0.0128099646	0.0471878854	-0.092237778	0.1040606256	0.0509836972	0.0815284941	0.0428785968	0.0392663523	-0.0085197953	0.0384905123	0.0081313019	0.1113175878	-0.1269064603	-0.0723102237	-0.0281852022	0.0942284581	-0.0483914172	0.0631877906	-0.0685340459	0.0679378697	0.008330198	0.0085841764	0.0591610174	-0.0412724127	0.0025584419	0.0122881277	0.0014114398	0.035266305	-0.0324279281	0.0456557583	-0.0568444671	-0.0077826794	-0.0773166454	0.073187997	0.0473375952	0.0438092158	0.1070299101	-0.0780267788	-0.0375896093	0.0858742009	-0.1512534332	-0.119576371	0.0518479651	-0.0404562199	-0.1007138245	-0.0112243243	0.0252654745	0.0411875593	0.0231006201	-0.0730868385	0.0420088099	0.0192703567	0.0214253988	-0.0030922004	0.0676139366	-0.020074067	0.0281432401	-0.0383162343	0.0466181707	0.053180699	0.0255042623	0.0332899633	0.0954845288	-0.1221470179	0.0085245123	-0.148086069	-0.0236776163	0.0971825216	0.0008898338	-0.053988268	0.0818116088	-0.0271499435	0.0505128268	-0.0777990735	0.0916187777	-0.0554835893	0.0271945873	0.0856496176	-0.0535244585	0.0222091157	-0.0140683433	-0.0247357136	0.0722607023	0.0431267619	0.1898245761	0.0583328945	-0.0286626078	0.0454800654	0.0651004787	-0.0565566367	-0.0192243869	0.0556264453	0.0397343423	-0.0124576185	0.009942146	0.0961738151	0.0339696064	-0.029780553	-0.0050596243	0.0725870053	-0.0064031232	-0.0283847728	-0.0088166271	0.0932309089	0.0931722015	0.0930743832	0.0929374951	0.0	-0.00458237	-0.0021138699999999	2.09981148169e-05	4.468446376899998e-06	-0.0158218	-0.0354023	0.0012533228452899	0.00025032935524	-0.0437693	-0.0222881999999999	0.0019157516224899	0.0004967638592399	9.29683e-05	0.0003931543	1.5457030360849e-07	8.643104804890001e-09	2.32084e-05	9.42409e-05	5.3862983056e-10	8.88134723281e-09	-0.000348284	-0.000694291	4.82039992681e-07	1.2130174465599997e-07	0.0	0.0
495.51516722638667	-0.4079552124351835	0.1664274553530357	245535.28095139397	608.2617562953793	-2.8630472320445506	8.197039452917963	369982.3641715394	427.4196527560477	0.2176472192422807	0.0473703120438974	182687.5595621004	431.0730822782689	472.74344983686456	1.089964	24.750305	0.039934085	0.019265	0.0348966491	-0.1050370239	-0.0122096211	-0.0937139938	-0.0785177774	-0.0265376295	0.1001592929	-0.0432615165	0.0319577466	-0.0103912707	-0.0109399464	0.0329672091	-0.0203432578	-0.1107664807	0.0666099355	-0.0760920224	0.0627475377	-0.0705647516	0.0398584694	0.047075908	0.097691363	-0.0327546006	-0.0370861779	-0.0191921334	0.0721552308	-0.0691455399	-0.0071008406	0.0763913334	0.0398990598	-0.0366577896	-0.026602812	0.0485009887	-0.0963866723	0.0243321974	-0.0750343376	-0.0718422209	0.1448348177	-0.0041404148	-0.0360800939	-0.1063270329	0.0951104912	0.0083003282	0.0319329826	0.099089339	-0.0062606973	-0.0621606191	-0.0674375985	-0.0140836703	0.0834704601	0.0464789185	-0.0628607019	0.0380772422	0.0146101604	0.058104293	0.0821067824	0.030610229	0.0481336138	-0.0040295142	0.1527896387	0.0927044491	0.120727424	0.0040026339	0.0295275378	0.0004959745	-0.0874433769	0.039699596	-0.0793655527	-0.1088793306	-0.0750347261	0.116682631	0.0329323212	0.0128184553	0.0289758375	0.0022456541	0.0786218165	0.107311947	0.0475033779	0.142730768	0.0163196159	-0.0172152063	0.0230575446	0.040112802	-0.0106154671	-0.0550650556	0.0935126526	0.0802199714	-0.0324617339	0.0828398355	0.1118302236	-0.1014962165	-0.0092467457	-0.0715284536	0.08953353	0.012002133	-0.0223557376	-0.0051578519	0.0285808572	-0.0191690074	0.0882534491	-0.047074112	-0.0340748123	0.0845603474	-0.0029995596	-0.0628111443	-0.053495168	0.029504651	-0.0432652082	-0.1299209259	-0.0212504537	0.002093128	0.0021808545	0.0085077725	0.0545899148	-0.1075397494	0.0004834886	0.1125500344	-0.0397934096	0.058508099	0.0044183207	0.0455364913	0.1318456568	-0.0203103248	-0.0391156233	-0.0807654295	0.0477632927	-0.0617711426	0.0133153869	-0.0829395553	-0.0178804521	0.0220820124	-0.0991766522	-0.0228979022	-0.100828297	0.147019161	-0.0220339006	0.0274318528	-0.0764164659	0.1066226327	0.0240963308	-0.0937981729	0.0160894451	0.1473650023	-0.0533879768	-0.0078187825	-0.0241169761	0.0356376215	0.0702264631	0.0293567823	0.0919219917	-0.0256690723	0.0272072425	0.0305038153	-0.0125323759	0.1773556655	0.0643313863	-0.0599295162	0.0844699464	-0.0299226904	0.0817995385	0.0332900174	0.1064637239	0.0269877316	-0.029203898	0.0181522879	0.0007192302	-0.1341227597	0.0595239969	0.0162415285	0.0937022871	0.0262306496	0.0931961179	0.0930330924	0.0927615946	0.0923819408	0.0	-0.0128872	-0.00830483	0.00016607992384	6.897020132889999e-05	-0.0238439	-0.0080221	6.435408841000001e-05	0.00056853156721	-0.043723	4.629999999999912e-05	0.0019117007289999	2.143689999999918e-09	0.000306051	0.0002130826999999	4.540423703929e-08	9.3667214601e-08	-0.000112339	-0.0001355474	1.2620050921e-08	1.837309764676e-08	-0.000470871	-0.000122587	1.5027572569000004e-08	2.2171949864100003e-07	0.0	0.0
495.6537565871517	0.1385893607650246	0.0192070109172581	245672.6464189554	607.9018483305687	-0.3599079648106453	0.1295337431341407	369544.6572037217	427.33830454436185	-0.0813482116858494	0.0066175315444857	182618.02653084972	430.90116233306776	477.02622203349824	1.115904	25.339321	0.1715621499999999	0.101767	-0.0564184233	-0.071835477	0.0224832714	0.0108133532	-0.0989816118	0.0597091532	0.0623004214	-0.0387442373	0.0546812118	0.0940543535	-0.0190046478	-0.0065725711	0.0748806765	0.0607681216	0.0311209005	-0.0654608493	0.0635033121	-0.1118080618	0.0816645996	-0.0122912113	0.0559323049	0.0609157105	-0.031386892	0.0194755871	0.0695541371	0.0824072302	-0.0078697757	-0.1009674307	-0.0075188123	0.0836291436	0.0298436264	-0.046794622	0.0442329043	0.0526076921	0.0698626408	0.0448928127	-0.0147282829	-0.1469576261	-0.0458016092	-0.0696912126	-0.0678275441	0.0194361838	0.0225165877	0.0585056389	-0.0356882722	-0.0148823944	0.0073460899	0.0375874149	0.1142373728	-0.0059305231	-0.0623570383	-0.0421035433	0.1571384608	-0.0433547242	-0.0476128875	-0.0297581052	-0.0522531501	0.0924533812	0.147181414	0.1103585585	0.0015013585	-0.035634216	-0.130102736	0.0653706911	0.0376878085	-0.12182386	0.1063677913	-0.0765137442	0.038914641	-0.0977347288	0.028260637	0.0736768642	0.0443462728	-0.0641614818	-0.0223284818	-0.0433810716	-0.0600638448	0.042156567	-0.084668466	-0.0326093767	-0.1180430056	-0.015082783	0.0024287264	0.0991745117	0.0427826453	0.0826713333	0.1320021736	0.0677574154	-0.0053297042	0.1403914625	-0.038064531	-0.0503346614	-0.0056864966	0.0933696604	-0.043180372	0.0144229408	0.0290134193	0.0319318106	0.0554502284	0.0641900648	0.0423329987	-0.1295466364	0.0054533651	0.0658553151	-0.0056513502	0.0292847886	-0.0157831686	0.0888307914	0.0363927866	-0.0096083588	-0.0151918177	-0.0970491453	0.1391677656	0.072529934	-0.0079117483	0.0640950999	-0.051495564	0.0464701267	0.069997195	-0.0609833329	-0.0072243278	-0.058544193	-0.0611036641	-0.0900369157	0.017718157	0.0671961985	-0.0842376075	-0.0262800613	0.0151023982	0.0589802198	-0.0547265115	0.1434437702	0.0369855577	0.1406335877	-0.0630775184	0.0907336015	-0.063383113	0.0360969832	0.0926305474	-0.0329284118	-0.0549311825	-0.1558592662	-0.0553599222	0.1170983685	0.0168364111	0.0064705106	-0.0200469156	-0.0076633682	-0.005154991	-0.0860969575	0.0542005086	0.0666813135	-0.0248667748	0.0177827069	-0.0724377803	0.0526133892	-0.1473360105	0.0607541185	-0.0873081203	0.1109145637	-0.0567335704	0.1225118136	0.0554954866	0.0237404308	-0.0575214364	-0.0457776897	-0.1079457825	0.0078007059	0.0131528976	0.0342639022	0.0931439394	0.0928245585	0.0922930681	0.0915506825	0.0	-0.012931	-4.380000000000009e-05	0.000167210761	1.9184400000000077e-09	0.0582096	0.0820535	0.00673277686225	0.00338835753216	-0.0394547	0.0042682999999999	0.00155667335209	1.821838488999996e-05	-0.000543139	-0.00084919	7.211236561e-07	2.94999973321e-07	0.000271531	0.0003838699999999	7.3729083961e-08	1.4735617689999997e-07	0.0	0.000470871	2.2171949864100003e-07	0.0	0.0	0.0
495.3780393525955	-0.2757172345561685	0.0760199934313012	245399.40187282168	607.1081799891464	-0.7936683414222898	0.6299094361760084	368580.3422097337	427.6631890743332	0.3248845299713707	0.1055499578147184	182895.80328922888	431.2303519440874	470.6588395184161	1.110637	25.219725	0.1821964	0.117205	-0.0659162998	0.0460061301	0.0285971953	-0.0970784455	-0.0335695124	0.0351386051	-0.0631152776	-0.0108216552	0.0991234402	-0.0045088102	0.0684243259	0.0244118843	-0.1230896632	-0.0721294623	0.0717856711	0.0002447657	0.0828388978	-0.0996297662	0.0335341846	-0.0209123394	0.1128639156	0.0452500014	-0.0384332699	-0.0182876871	0.0211862097	0.0410478522	-0.0600412567	0.1821507782	0.0207757541	-0.0565047968	0.0177728434	-0.0465650787	0.0480100917	-0.0687777635	0.033507807	0.0212193479	-0.0130666652	-0.079459051	-0.1216754535	-0.0138396428	0.1139381956	-0.0487774905	0.0306248085	-0.0057702031	-0.0316738455	0.0823596089	-0.1403618789	-0.0034746933	0.1250880311	-0.043289755	0.0050494757	0.0027207405	-0.1239345798	0.0754036998	-0.0485907283	-0.0026524057	-0.0288462638	0.0902725496	-0.0401051771	0.1090310301	-0.032298138	-0.0165696447	0.0378857641	-0.009932149	0.0192379946	0.0683497768	-0.0152107855	0.0243821962	-0.01715269	0.0399340338	-0.03888415	0.0190118118	0.056979494	-0.0291966557	0.0921526205	-0.0148402142	0.0265363476	-0.0778052155	0.0716711821	-0.044490916	-0.008100322	-0.0183973509	0.0741566326	0.0264018879	-0.1561126269	-0.0433973698	-0.1256328862	-0.0081280431	-0.0198559419	0.0047630973	-0.0338136592	0.1147386206	-0.0602741858	0.0776272052	0.0304151478	-0.0279421819	0.038475161	-0.0142335282	0.011857647	0.0629858651	-0.0568654459	0.1420499271	-0.0476905124	-0.0143062572	0.0836777045	-0.0790413147	0.0708363793	0.0361908602	-0.0226973059	-0.06817293	-0.0388764341	-0.0842757898	0.0367058992	-0.0776747682	-0.0108178794	0.1151117347	0.0166781111	-0.0966050348	0.01114982	-0.0640628383	0.0828508052	-0.0005743771	-0.13452804	0.1031280832	-0.0051148082	-0.100969287	0.032847211	0.0111023869	-0.06389894	0.0085786448	-0.0329000357	0.0945174502	-0.0029550604	-0.0413297132	-0.0049123187	0.0488120346	0.0632904061	-0.0068179562	0.0252114652	-0.0600525979	0.030029721	0.0488796684	0.0262751817	-0.0312550818	0.0116086796	0.0046578003	0.0315861252	0.0991214485	0.0220067876	0.1082557617	0.0182712296	0.0251887302	0.0012770857	-0.1460384119	0.0819013762	-0.0006517599	0.0670592401	0.0108112855	-0.0011396662	0.0487379161	0.0317560216	-0.1480999544	-0.0102898225	0.0342845871	0.1129815124	0.0950864051	-0.1950943401	0.0307561719	-0.0039283911	0.0879806028	0.0930743832	0.0925467555	0.0916695905	0.090446201	0.0	-0.0128819	4.909999999999984e-05	0.00016594334761	2.410809999999984e-09	-0.0392598	-0.0974694	0.00950028393636	0.0015413318960399	-0.0266381	0.0128166	0.00070958837161	0.00016426523556	0.000451469	0.000994608	9.892450736640005e-07	2.0382425796100006e-07	0.000271531	0.0	7.3729083961e-08	0.0	-0.000442618	-0.000442618	1.95910693924e-07	1.95910693924e-07	0.0	0.0
498.2638734542824	2.885834101686896	8.328038462459016	248266.8875896652	612.8634396202851	5.755259631138756	33.12301342181541	375601.5956232069	429.34789108208463	1.6847020077514117	2.8382208549216377	184339.6115766336	433.04675324975	475.3756969567663	1.199456	27.236588	0.209874745	0.103227	-0.0413410124	-0.077896886	0.0516712671	0.0328900423	-0.0333858679	0.0666569558	0.0721171187	0.1075708989	-0.0206783371	-0.0055465891	-0.0010472847	-0.1197561374	0.0327170099	0.0736408454	0.0442436156	-0.063894273	-0.0173970084	-0.0252555782	0.0655633563	-0.027730936	0.0738459229	0.0407607044	0.1146550971	0.0033111624	0.0179577127	0.0577037397	0.0931673967	-0.0324369157	0.0523609918	-0.0579729287	-0.0904443269	0.0554854412	-0.0578546923	0.0607529865	-0.0786044354	0.0450370022	-0.0559558532	-0.0590943295	-0.0713533239	0.0144310951	-0.0301571191	-0.0736062612	-0.0466518004	0.0605099401	0.0415720456	-0.0063287085	0.0867685095	0.0035321256	0.1365684521	0.1941026227	-0.0255344704	-0.1507157265	-0.0018098643	0.0637370426	0.0011635937	-0.0271634907	0.0186257196	0.1230746553	0.0678858029	-0.0999894641	0.0361185731	0.0278761378	-0.0122407783	-0.1395251197	0.0869805777	0.0439223816	0.0586535642	0.0899922566	-0.0700332277	-0.0874040626	0.0111088972	0.0295773634	-0.0943298317	-0.0631830476	-0.0106246232	0.0068510581	0.0274831164	0.0238914384	0.0073188789	-0.0088613122	0.0302072342	0.0002035512	0.0768988543	-0.0915077683	0.0619018408	-0.0488901393	0.0200635421	0.0965477944	-0.0107423157	0.0782369217	0.1217301333	0.0606941498	-0.0928303433	-0.057730112	0.0206878125	-0.0165893596	-0.1168858715	0.0241938516	0.0263498166	0.0333860168	0.1031665594	-0.0136247427	0.0095803741	-0.1215908992	-0.0594572415	0.0008379048	-0.0191412245	0.0111319993	0.0282569075	0.0687837006	-0.071484819	-0.1111427016	-0.0181687494	-0.0328296841	0.0197154666	-0.0950051333	-0.0475604088	-0.0463845175	-0.0210524391	-0.0357724023	-0.0345919915	0.0280512554	-0.0241043295	-0.0817929325	0.2090360455	-0.1017092723	-0.0545911734	0.0012536198	-0.0598651099	0.0026723783	-0.1618861262	0.0142408591	0.0910549294	0.0808596861	-0.1010734049	-0.0762210814	0.0182858511	-0.0444726475	-0.091623358	0.1013301898	-0.0515446868	-0.0310219696	-0.0049190456	-0.0250323239	0.0560983153	0.0267947706	-0.1452165897	0.1081318593	-0.0248573787	-0.0111639368	-0.0129877208	-0.0057800881	-0.0207564582	-0.0187983075	0.0322633121	0.003693557	0.0033846577	-0.1202961675	0.0750531243	0.0046011203	0.0212047416	0.0541103176	0.0545726264	0.055218428	0.0039506515	0.0121175512	-0.0522987493	-0.1148181964	-0.0823332571	-0.1088038685	0.0929874623	0.0921998906	0.0908922084	0.0890717925	0.0	0.00313932	0.01602122	9.8553300624e-06	0.0002566794902884	0.0219079	0.0611677	0.00374148752329	0.00047995608241	-0.0532586	-0.0266205	0.00283647847396	0.00070865102025	-0.0007788829999999	-0.0012303519999999	1.5137660439037536e-06	6.066587276888442e-07	6.53955e-05	-0.0002061354999999	4.27657142025e-09	4.249184436024999e-08	0.000242201	0.0006848189999999	4.689770627609999e-07	5.8661324401e-08	0.0	0.0
