onset	duration	trial_type	trial_number	stroop_condition	stim_text(PL)	stim_text(eng)	stim_color(PL)	stim_color(eng)	response_type	response_color
0.0	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.0	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
0.0001	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
0.0001	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
0.0001	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
0.0001	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
0.0001	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
91.1783	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
91.2338	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
92.2505	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
92.7672	0.75	T_INK	1	Incongruent	czerwony	red	żółty	yellow	hit	n/a
93.4954	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
93.5172	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
94.0339	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
95.0505	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
95.5672	0.4833	T_INK	2	Neutral	xxxxxxxxx	xxxxxxxxx	żółty	yellow	hit	n/a
96.0203	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
96.0505	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
96.5672	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
97.5839	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
98.1005	0.6167	T_INK	3	Incongruent	zielony	green	żółty	yellow	hit	n/a
98.689	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
98.7172	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
99.2339	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
100.2506	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
100.7672	0.9667	T_INK	4	Neutral	xxxxxxx	xxxxxxx	niebieski	blue	hit	n/a
101.7092	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
101.7339	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
102.2506	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
103.2673	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
103.7839	0.8	T_INK	5	Incongruent	żółty	yellow	czerwony	red	hit	n/a
