global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23
548.9398421573104	n/a	301334.95030769287	n/a	634.9117321115069	n/a	403112.90757283394	n/a	473.2262959605185	n/a	223943.12718851224	n/a	471.4560828573606	587.4435079993478	n/a	n/a	n/a	n/a	0.0096240235	-0.0210600911	0.1089437585	-0.0886660753	0.0176068899	-0.1226979191	0.1360010378	-0.3132887004	0.0784275127	-0.1284292405	0.0619705683	-0.0319650237	-0.1944028985	0.0191352608	-0.1487512643	0.3746917207	-0.0292598967	0.0531332114	0.0142444632	-0.1078240337	0.0704257948	-0.1052882241	0.0946903181	-0.1182693788	0.0355838613	-0.0005550081	0.0208110304	-0.0242724392	0.0804597665	-0.004623703	0.0020558568	-0.1261777536	0.0261328222	-0.0556859206	0.0089724674	-0.0512659421	-0.0369656984	0.0179364201	0.0468534861	-0.1744642455	0.0807270362	-0.0775224362	0.0182450101	-0.0040472975	0.1070521092	-0.1341930588	0.0148003327	-0.0418890037	0.0818087165	-0.0757844789	0.0514739935	-0.0823189719	0.0797793123	-0.1253538147	0.1129910501	-0.049771344	0.0946836659	0.0016230416	-0.1404715165	0.0476675179	-0.0120051074	-0.0275727277	0.0250510621	0.0028230381	-0.054131247	-0.0049252708	0.0952104487	0.017482975	-0.0188001515	-0.0585022044	-0.1319613457	0.0734362752	-0.0995151325	0.0594585268	0.0133507203	-0.0549606863	-0.0015222264	-0.0273222788	0.0529504799	0.0226589832	-0.0989621318	0.0005979146	-0.1185970745	0.1028987156	-0.0948112997	0.0752612351	-0.0105278268	0.0044510099	-0.0429638339	0.0816632874	-0.0032319083	0.0229041482	-0.1416328047	0.0166773868	-0.0567720274	0.0342662293	-0.0711037088	0.0215886369	0.0079220643	0.0173498882	-0.1162551605	0.0968389631	-0.0891176813	0.1136349485	-0.0150682419	0.1893536381	-0.0027805037	0.0130159881	-0.0133996186	0.1433606182	-0.0935783028	0.02394774	-0.0183093288	0.0226156805	-0.1137906298	0.0517652974	-0.1261679607	0.0765107669	-0.0614145163	0.1180082686	0.070148459	-0.0327633037	0.0318357963	0.0641609344	-0.0618007394	-0.0275702013	0.0037253102	0.0423888567	-0.0647015719	-0.0446371468	0.0550294598	0.1172397034	-0.0867604153	-0.0542908659	0.0610633785	0.052758715	-0.0499654893	0.0930462698	0.0930398161	0.0930290603	0.0930140029	0.0484323	n/a	n/a	0.0023456876832899	0.0721452999999999	n/a	n/a	0.0052049443120899	0.244992	n/a	n/a	0.060021080064	0.000434945	n/a	n/a	1.89177153025e-07	0.000196988	n/a	3.8804272144e-08	n/a	0.000507103	n/a	2.57153452609e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
544.7866120638784	-4.153230093432057	296792.45268403867	17.249320208989655	597.8922335349579	-37.01949857654904	357475.1229214206	1370.4432748591164	475.0941126971404	1.8678167366219327	225714.4159194832	3.488739361605006	473.09849085404267	572.0646080439885	1.320265	42.824547	0.10344313	0.0555204	0.0230335116	-0.079164907	-0.0100192601	-0.0121274591	-0.0925033538	0.0245156601	0.0621330785	-0.0134940751	0.0278362394	0.0663479141	0.0260218159	-0.0665479275	-0.1391348108	-0.0056307451	-0.0685771003	-0.0348628847	0.0408581046	0.0321289017	-0.0876841029	0.03042143	0.0950364103	-0.0433695495	-0.0512705659	0.0075273319	0.0656930683	0.0322875197	0.0153065404	0.0591808896	0.0379249267	0.0446604869	0.0740256059	-0.0502603037	0.1408441095	0.163072506	0.0750669044	0.0276682625	0.0091574791	-0.0258774441	-0.1177979594	0.0107455246	-0.0254997341	-0.0384750714	0.0463529764	0.0382647951	-0.0628146197	0.0959371103	0.0375002357	0.0834370833	0.0272530189	0.0150020414	0.0671598024	-0.1275333913	-0.0495298641	-0.1217599293	0.0454574832	-0.0035204816	-0.0302896896	-0.0168106474	0.052049138	0.0884845758	-0.0656561213	-0.0962097714	-0.0191931532	-0.0033990464	0.0526935412	-0.0338812096	-0.0505207009	-0.1030467181	0.0395803552	0.0099670342	-0.0263265319	0.0093701212	0.0411503214	0.0178543128	-0.0080421219	0.059749569	-1.71238e-05	0.0421167027	0.0335410381	-0.0871360697	0.0380410226	0.0088682499	-0.101524111	-0.0143902968	0.041085267	0.0567359121	-0.0149909386	0.0527612922	0.0616351784	0.0305524642	-0.0431948689	-0.0624517223	-0.0807692906	0.1170526045	0.1764737335	0.0413701945	0.0423462447	-0.0225998008	-0.0522359388	-0.0921143095	0.0448319399	-0.0376084116	-0.043126487	0.0146695699	0.0607054887	-0.097528396	0.0114441956	0.0526793205	0.0648256626	0.0517592553	0.0532160367	0.0081956453	-0.0819071584	-0.089765703	-0.1453326727	-0.0204820077	-0.0447863704	-0.0754949601	-0.0004134816	0.0360589062	-0.0892245945	0.0410281327	0.0702980247	0.0639263711	-0.0018407626	0.030694767	0.0715180758	-0.0478583478	0.0924591131	0.0539017978	-0.0152123533	0.0360795205	-0.0369530562	0.0476307496	0.0060368778	0.0007152984	0.0307934691	0.0930290603	0.0929709861	0.0928742226	0.0927388101	0.0484245	-7.79999999999531e-06	6.083999999992685e-11	0.00234493220025	0.0935859	0.0214406000000001	0.00045969932836	0.00875832067881	0.287486	0.042494	0.001805740036	0.082648200196	0.00100544	0.000570495	3.254645450250001e-07	1.0109095936e-06	9.27524e-05	-0.0001042356	8.60300770576e-09	1.086506030736e-08	0.000391819	-0.0001152839999999	1.53522128761e-07	1.3290400655999989e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
542.358100568905	-2.4285114949733497	294152.3092527105	5.897668081217694	596.9397151432108	-0.9525183917470486	356337.0235152577	0.9072912866163838	473.0908788301032	-2.0032338670372383	223814.97963223935	4.012945926044968	471.1795442334919	572.3261256743832	1.046984	33.960339	0.12693333	0.0752417999999999	0.0057911762	-0.0228693254	0.0443122107	0.016737006	0.0709380339	0.009014473	0.0118781912	0.0028770892	-0.0186722739	-0.0812717749	0.0389194421	0.0011562316	-0.043226744	-0.0415503896	-0.0649911184	-0.0395206667	-0.04019093	0.0216201422	0.0264327763	0.0094522613	0.0653385182	-0.0149931608	0.110881798	-0.0350088583	0.068697449	-0.0317901937	0.0339290722	0.0360033215	-0.0337943098	-0.0519182088	-0.0967494666	-0.0279622281	0.0570667591	-0.0543220024	0.0769859187	-0.0262697179	-0.0219257402	0.0642826549	0.0063741117	-0.011076043	-0.0638170802	0.0682031537	0.0804394179	-0.1064505861	0.0376421194	-0.022811562	-0.0462279807	0.0135578873	0.0064241017	-0.0538071329	-0.1181159944	-0.004528591	0.0049467003	0.0646296316	-0.0838599424	-0.0297458164	-0.0139399741	0.1265066201	0.0724370328	0.0702459117	0.0139314076	-0.0866016848	0.0080645269	-0.0810219581	-0.0617103695	-0.0417578978	-0.1000176547	-0.0101917336	0.0015075098	0.0689380298	-0.0728344179	-0.070089974	0.0045046089	-0.0059458486	0.027823435	0.0700802384	0.0275831031	-0.0411911482	0.0169835531	0.021107945	0.0248814996	-0.0341465723	-0.0408152028	0.1134180956	-0.0267201818	0.0767964952	0.038732008	0.0389513222	0.0068018795	-0.0315968617	0.0488794185	0.1026656088	-0.0263311496	0.05552734	-0.053801807	0.072348558	-0.0006133542	0.01398891	0.0495454845	-0.0383184884	-0.0235664762	-0.0663559012	0.0927737843	0.0915359101	-0.0755873484	0.0312906027	0.0149522962	0.0102964859	0.0006571442	-0.0344304085	-0.0300605796	-0.1069261838	0.0041930993	0.0249618878	0.0740668165	-0.0510174679	0.0101367766	0.0707751862	0.0579384275	-0.0816590311	-0.1129676472	-0.0422002966	0.0677715293	0.0877097689	-0.0209753111	-0.0780446051	-0.0319614779	-0.0932513239	0.0642317627	-0.0055064191	-0.0854152085	0.0572375301	0.0529943402	0.0350600909	-0.0148528284	0.0318775731	0.0642423584	0.0929946445	0.092833377	0.0925648049	0.0921892388	0.0484842	5.969999999999587e-05	3.564089999999506e-09	0.0023507176496399	0.0685952	-0.0249907	0.00062453508649	0.0047053014630399	0.220348	-0.067138	0.004507511044	0.0485532411039999	0.00116599	0.0001605499999999	2.577630249999999e-08	1.3595326801e-06	-6.29324e-05	-0.0001556848	3.96048696976e-09	2.4237756951040004e-08	1.31552e-05	-0.0003786638	1.7305928704000003e-10	1.4338627343044e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
539.5551933913428	-2.802907177562247	291119.8067155693	7.856288646029961	588.0247565406523	-8.9149586025585	345773.1143046935	79.4764868853318	472.9073387161631	-0.1835401139400687	223641.35101160384	0.0336869734251334	470.96362580850456	553.5671310931315	1.189103	38.570148	0.27855171	0.143797	0.0258123466	-0.0446642095	0.1672729254	-0.0789536082	-0.1213235174	0.0464378552	0.0441066676	0.0688258573	0.0091815933	0.0263837288	0.0220009406	0.0001338978	-0.1681297667	0.0185953126	-0.0064916822	-0.0864221303	-0.043944125	0.0247000889	0.0346218597	-0.0693471213	0.1165034344	-0.0800820297	0.0043001878	-0.1073034263	-0.0272868317	-0.1276690819	0.0789577803	-0.0376986449	0.0274288631	-0.009143045	0.0470585676	-0.1120484635	-0.0428641977	0.0664948975	0.0077111124	-0.0500061921	0.0003410057	0.0151667797	-0.09531641	-0.0512750473	-0.0007510643	-0.0524774704	-0.0778432187	0.0249540218	-0.1226284728	-0.1138012447	-0.0068027555	0.0264942937	0.1164564142	-0.0601081311	0.0162497996	-0.0437695957	0.0182612671	-0.0583208885	-0.1151727679	0.052425304	-0.1061613196	0.0913892769	-0.0406273927	-0.0380151784	-0.0900578878	-0.0308484255	0.0331599198	0.0002708572	-0.0424665264	0.0399741189	-0.0678974862	-0.0311306054	0.0229399038	0.0138901186	-0.0051963172	0.0541407298	-0.0886732082	0.0331394893	-0.0179157804	-0.0383290346	-0.0541535514	-0.0417219026	0.0309104549	0.0404620299	-0.0362627737	-0.0112161252	-0.1500782252	0.0100737035	-0.1059802598	0.0034299989	0.1297067168	0.0374825412	-0.0687532623	0.0289012105	0.0054585163	-0.019681782	-0.1229058698	-0.073481695	0.0668521158	0.0139153583	-0.0562718928	-0.0016290866	-0.0130200796	-0.0795113792	-0.0056635015	-0.001027985	-0.0898585775	-0.0522657413	0.006622101	0.0385006153	-0.151083654	0.0972000193	-0.005152783	0.118122027	-0.0336154773	-0.0365005404	0.0401228119	0.0094516936	-0.058735016	-0.0927931589	0.0418851314	0.0213734789	0.148952389	-0.0314683139	0.0383998992	0.0875977797	0.027067755	0.0724413314	-0.0078665454	0.0165244639	-0.0565050737	0.0052169426	0.0749591637	0.0003453688	-0.0331675645	0.0042079113	-0.0535440317	-0.0656937717	0.031673379	0.0195025334	-0.0455931422	0.0929430287	0.0926270906	0.0921013223	0.0913669149	0.0484416	-4.259999999999681e-05	1.8147599999997281e-09	0.00234658861056	0.143262	0.0746668	0.00557513102224	0.020524000644	0.311969	0.091621	0.008394407641	0.097324656961	-0.000283966	-0.001449956	2.1023724019360003e-06	8.063668915600002e-08	0.000258339	0.0003212714	6.6739038921e-08	1.0321531245796e-07	0.000486354	0.0004731988	2.36540213316e-07	2.2391710432144e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
538.3957745260748	-1.1594188652679804	289870.01002753194	1.3442521051392913	580.9360786100942	-7.088677930558106	337486.7274308736	50.24935480318155	471.76336838164025	-1.1439703345228622	222560.6757467912	1.3086681262683493	470.0383744606844	552.7001730448983	1.185152	38.441994	0.1538665	0.0839214999999999	0.0103413449	-0.0040441769	0.1080505044	-0.0453818449	0.0814682538	0.1221350976	-0.0024000046	0.1240433718	0.0183600244	-0.0674238167	0.0185412036	7.69904e-05	0.0088982076	-0.0498234524	-0.1263241263	-0.0392408617	-0.0799333056	0.0446405772	0.045113278	-0.0890239661	-0.0210775073	0.0764484347	0.0849873042	-0.0073048158	0.1591828358	-0.1003718455	0.0469218283	-0.0251794459	-0.0609646255	0.0042860187	0.0149947928	0.099464958	0.0416029015	0.1013076586	0.0017233536	0.0315939049	0.1307943769	-0.0521051401	-0.0196039566	-0.0737581749	0.109005343	0.0852698226	-0.0126808581	0.03856361	0.0959620361	0.031049267	0.0251958465	-0.0089810511	0.0049254044	-0.0192146835	-0.1098678996	-0.0849587835	0.0404976951	-0.0212722464	-0.0173998222	0.13244843	-0.0739658604	-0.0546142097	0.0553953193	0.0528523796	0.0912540364	0.0993158923	-0.0696561684	0.0109606602	-0.0625433443	0.074199948	-0.0978635559	0.0438742412	-0.0571442701	-0.1865827151	0.1097698084	-0.1597891285	0.0568610136	-0.0867345417	-0.075020862	-0.0960754115	-0.0441066502	-0.0815737542	0.0305303653	0.043758264	-0.0763907052	-0.1086433102	0.0540358804	0.070150319	0.0171788055	0.1470892563	0.1016861856	0.0257493123	-0.0572452308	-0.0613619554	0.0071767161	-0.0266603354	0.0910877778	0.0484236948	0.0934188651	-0.0076582336	0.0203335222	-0.1074162313	-0.0508656746	-0.0405953741	-0.0554319592	0.1493553952	0.0594938817	-0.0271807004	0.0496262246	0.0385600404	0.0646701768	-0.0612335892	0.0071815923	-0.0047574886	0.0103567002	-0.0921010579	-0.0604819027	0.0449454197	-0.0458859805	0.0281048373	0.0915262864	-0.0800947008	0.065222505	0.0552632733	-0.056726759	-0.0103104875	-0.0559173786	-0.1131423038	0.005086784	-0.0396471025	-0.1122829621	-0.0414618991	0.0770947502	-0.0157805011	0.1734989958	-0.1292027702	0.1846650739	0.0695810557	0.0383796981	-0.1106557112	-0.0681184476	0.0928742226	0.0923522795	0.0914845461	0.0902742713	0.0484902	4.859999999999587e-05	2.3619599999995984e-09	0.0023512994960399	0.0814794999999999	-0.0617825000000001	0.00381707730625	0.0066389089202499	0.270137	-0.0418319999999999	0.0017499162239999	0.072973998769	0.000407143	0.000691109	4.776316498810002e-07	1.6576542244900001e-07	0.000112634	-0.000145705	1.2686417956e-08	2.1229947025e-08	0.0003191	-0.0001672539999999	1.0182481e-07	2.7973900515999995e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
540.354703294738	1.9589287686632133	291983.2053727443	3.837401920696373	584.3067146028129	3.370635992718689	341414.33672993304	11.361186995410703	472.9760898070104	1.2127214253701482	223706.3815291292	1.4706932555518035	470.9621486014921	554.1629131392309	1.079883	35.027435	0.1134545999999999	0.0635742	0.0292129648	-0.085841642	0.0026065618	-0.0863045781	-0.0127372064	0.0532255611	-0.0037112221	0.0953361519	0.1131547879	0.0351891888	-0.042089008	-0.0592651831	-0.0439608512	0.0147465078	-0.1164270073	-0.0375746042	-0.0465117732	0.0709261176	-0.0595322281	0.0041304062	-0.0053704897	-0.0593598737	-0.1277183683	0.0234776103	0.047008786	-0.0982033355	0.0420962768	0.0627011918	0.0460295913	0.0477024489	-0.035910237	-0.1726638625	0.0768712117	0.0413305448	0.0433780171	0.0325363516	0.0010774115	-0.0160070732	-0.0188354008	0.0236414302	-0.0355633748	-0.0770939423	-0.1668067466	0.0336135198	0.0542070645	0.1121434765	-0.0558454772	0.0280550278	-0.0086519505	0.0525393305	-0.0458614061	0.0352758703	-0.0570419422	-0.0501002572	-0.0588454938	-0.0195017807	0.0616433759	-0.0344537387	-0.0611804885	0.0198114056	0.0047302075	-0.0268642962	0.1122064618	0.0947191656	0.0806933393	-0.0190568021	0.1071496873	-0.0525507632	-0.1323018189	0.1034794735	0.0887752053	-0.0063869599	0.1284687562	-0.124986229	0.0654772611	-0.0070286656	0.0720716195	-0.0433328854	0.0787164231	-0.0538695134	-0.0207597714	0.0597712421	-0.0349934733	-0.0851099192	0.0719144292	0.0292587895	0.1181439819	0.0561874685	0.0609788493	0.0251656495	-0.0705176874	0.0583140967	-0.1860657477	0.0372077569	0.0451797353	-0.000543474	0.0405262674	-0.0193471264	-0.0277909793	-0.0051581294	-0.0028640837	-0.0283984077	-0.0986530378	-0.1487165369	-0.0300647385	-0.0354299716	0.1322454491	0.0333804802	-0.040620527	-0.03150926	0.0538229474	-0.0189090602	0.0197752878	0.0059390098	-0.0378384602	-0.0445733068	0.0339565974	0.040164996	-0.0562361987	0.0119889837	0.052225719	-0.0789670283	-0.0270638423	0.0720413719	-0.0456887607	0.1051189618	0.1444140989	0.0868056399	-0.0286024374	-0.0816444689	-0.0418652124	-0.0967046761	0.0229721714	0.0939552279	-0.1729982495	-0.0967397209	-0.0009080167	0.0927882388	0.0920091471	0.0907155029	0.0889145408	0.0485278	3.760000000000568e-05	1.4137600000004275e-09	0.00235494737284	0.135505	0.0540255	0.00291875465025	0.0183616050249999	0.291126	0.0209889999999999	0.0004405381209999	0.084754347876	0.000895305	0.000488162	2.38302138244e-07	8.01571043025e-07	-0.0	-0.000112634	0.0	1.2686417956e-08	0.000486354	0.0001672539999999	2.36540213316e-07	2.7973900515999995e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
545.2639209470301	4.909217652292114	297312.7434865291	24.100417957576493	598.958670220096	14.65195561728308	358751.4886318257	214.6798034108332	475.2513533642784	2.2752635572679765	225863.8488745782	5.176824255031726	473.3442543318186	574.9429793920694	1.179479	38.257965	0.2868868799999999	0.144222	0.0525776686	-0.0526649015	-0.0087543186	0.1041017002	-0.0293095731	-0.0169909806	-0.0072464607	-0.0171261108	-0.0821654827	0.046770041	0.0433253049	-0.0533354898	-0.0383075295	-0.0179054552	-0.0001227899	0.0683113466	0.0454111714	0.018649353	-0.0908630902	0.0542783506	0.0989025784	0.0300075977	0.0197549347	-0.0191405829	0.0574440681	-0.016836839	0.0379963171	-0.0553056289	-0.0411338871	0.092524481	0.0639657174	0.0948052311	-0.0462375331	-0.0408745209	-0.0042496741	0.0447739723	-0.035930493	0.0560760846	0.0212076991	0.0542370919	0.035424452	0.0424059054	0.0167025327	0.0811218566	-0.1066882228	0.0573644204	-0.0641212191	-0.091186204	-0.213152938	0.0896005033	0.0956895628	-0.0681121879	-0.049421514	0.0123097536	0.0246749177	-0.0677078839	0.0287806191	-0.0678662699	-0.1129177133	0.0120643884	0.0457339899	0.0177251743	0.0119428053	0.0424402835	-0.0412760752	-0.0899879575	0.0645303057	0.0802721787	0.0077338576	0.0371139685	0.0229848882	-0.0227387068	-0.1296194992	0.0837588656	0.0030572093	-0.0028602528	-0.0726278437	0.0443980357	0.0142125923	-0.0959752192	0.0821093	-0.0503044117	-0.0609660272	0.0082238836	-0.0078247285	0.0560105238	0.014368826	0.0178562389	-0.0614772084	-0.0470058214	-0.0734853751	-0.0988503521	0.0839354098	-0.0296793283	-0.0467358118	-0.0145446798	0.053466771	0.0481780596	0.0676234265	0.0256365855	0.0486150967	0.0399594527	0.0396324245	-0.0546898704	0.0801609754	-0.1174119741	-0.0550894589	-0.0478561145	-0.0817214173	-0.1349410656	-0.0001485195	0.1296585324	-0.1348475485	-0.069604554	0.0092983554	-0.0595665135	-0.0848709094	0.0113782691	-0.0482962975	0.0897530677	0.093167512	-0.0820452944	-0.0168625642	-0.0148776998	-0.0723269208	0.0079754128	0.0093066432	-0.0306987921	-0.1183466926	-0.0071947886	-0.0602013661	-0.0161999716	0.020502836	-0.1031498227	0.0535941407	0.0903667912	-0.0242843276	0.0926850932	0.0915979471	0.0897954726	0.0872917462	0.0376136	-0.0109142	0.00011911976164	0.0014147829049599	0.0336451	-0.1018598999999999	0.0103754392280099	0.00113199275401	0.205987	-0.0851389999999999	0.0072486493209999	0.042430644169	-7.1601e-05	-0.000966906	9.34907212836e-07	5.126703200999999e-09	0.000396236	0.000396236	1.5700296769600004e-07	1.5700296769600004e-07	7.00204e-05	-0.0004163336	4.90285641616e-09	1.7333366648896e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
542.168800186922	-3.0951207601081023	293947.00789612654	9.579772519652158	599.3920082321997	0.433338012103718	359270.77953262936	0.187781832734002	473.07898013746967	-2.172373226808702	223803.72144790844	4.719205436555252	470.9799571526978	566.307971289747	1.080567	35.049629	0.195181375	0.115832	0.0633802668	-0.0997731672	-0.0367283984	-0.0862516595	0.0342931154	0.0022815661	0.0233284537	-0.0144861452	0.0661544156	-0.0060630861	0.003370893	-0.0909040306	-0.0380299172	0.0241706725	-0.0129784494	0.0094467481	-0.0245561864	0.0909202035	-0.0707189167	-0.007308493	-0.0347161728	-0.04537243	-0.0516479198	0.0634140043	0.0833909284	0.0283352566	0.1432664831	0.043350954	-0.0134095818	0.0195106819	-0.0331301663	0.0641366472	-0.051305299	0.030911511	0.0113060704	0.0681162687	-0.0084574852	-0.027771361	0.077041551	-0.0626091993	-0.0420001934	0.0213358271	0.0034977076	-0.0034037285	0.1324629406	-0.0619702825	-0.0231595714	0.0949711992	0.0783179076	0.010927428	0.0852534519	-0.037800688	-0.0066615235	0.1052864761	0.139531683	-0.066996013	0.0501686185	-0.1061535585	0.0475159323	0.0508939078	0.0157005738	-0.137390333	-0.0480903981	-0.0872764652	0.0908073502	-0.0409429597	0.070486531	-0.0293568028	-0.0598813939	0.0676250341	0.1094985818	-0.015472253	0.0571151545	-0.0220772267	0.0320908631	0.0343991591	-0.0538920334	-0.0208535999	0.0957552958	-0.0646077505	-0.0428793316	0.0566202831	0.002173508	-0.0231435978	0.097079175	0.051691174	0.0032024527	0.1522912993	-0.0114990405	-0.0286864042	-0.0202763297	0.0194926	0.0769040702	-0.0223817639	0.0225544861	-0.0002362555	0.0363146132	0.0236035797	-0.0143310165	0.0542914064	-0.1142609138	-0.028283252	0.0231887805	0.0330705038	-0.0012555039	0.1419646125	0.0567939	0.0585502628	0.0444987152	0.049755593	0.0375360973	0.0200580682	-0.01699145	-0.1190877321	0.088772781	0.1113253134	-0.0786666058	-0.0948336108	-0.1183900654	0.0307502483	-0.0485925895	-0.0412033096	0.11832929	0.0170009071	0.0749491975	-0.0292058088	0.141333725	-0.0062229006	-0.0317358375	-0.0283589197	-0.0669176707	-0.0920145704	0.0141157389	0.0466994796	-0.0709354925	-0.0005377037	0.0108096374	0.0925648049	0.0911189838	0.0887259867	0.0854106889	0.042644	0.0050304	2.5304924160000043e-05	0.001818510736	0.123484	0.0898389	0.00807102795321	0.015248298256	0.275396	0.0694089999999999	0.0048176092809999	0.0758429568159999	-0.000216844	-0.000145243	2.1095529049e-08	4.7021320336e-08	0.000818763	0.000422527	6.703728501690001e-07	1.78529065729e-07	1.97289e-05	-5.02915e-05	3.8922949521e-10	2.52923497225e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
