onset	duration	trial_type	trial_number	stroop_condition	stim_text(PL)	stim_text(eng)	stim_color(PL)	stim_color(eng)	response_type	response_color
0.0	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.0694	1.0333	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.1027	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.6194	2.3167	T_INK	1	Incongruent	niebieski	blue	żółty	yellow	hit	n/a
3.9133	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
3.9361	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.4528	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5.4694	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5.9861	1.9	T_INK	2	Incongruent	żółty	yellow	czerwony	red	hit	n/a
7.8587	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
7.8861	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
8.4028	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
9.4195	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
9.9361	4.3167	T_INK	3	Neutral	xxxxxxx	xxxxxxx	czerwony	red	hit	n/a
14.216	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
14.2528	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
14.7695	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
15.7862	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
16.3029	0.7167	T_INK	4	Neutral	xxxxxxxxx	xxxxxxxxx	czerwony	red	hit	n/a
16.9953	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
17.0195	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
17.5362	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
18.5529	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.0696	1.2833	T_INK	5	Neutral	xxxxx	xxxxx	zielony	green	hit	n/a
20.3336	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
20.3529	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
20.8696	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
21.8862	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
22.4029	0.9833	T_INK	6	Neutral	xxxxxxxx	xxxxxxxx	zielony	green	hit	n/a
23.3525	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
23.3863	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
23.9029	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
24.9196	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
25.4363	1.6167	T_INK	7	Incongruent	niebieski	blue	zielony	green	hit	n/a
27.0263	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
27.053	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
