global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02
518.3415339203813	n/a	n/a	268677.94578693376	497.9428541047771	n/a	n/a	247947.08595401133	429.55969568078433	n/a	n/a	184521.53215336805	428.8798014959496	467.43148645195527	n/a	n/a	n/a	n/a	-0.044808254	-0.0540503724	-0.1887827643	0.0505311054	-0.0119674782	-0.0293253758	0.0235867111	-0.2150248422	0.1548098806	-0.0511841847	-0.2125608253	0.0231075877	-0.3862006696	0.1130548268	-0.0905680161	0.0721097036	0.0546398671	-0.0299316198	0.0138285943	0.0752323262	-0.0724377137	0.0461210385	-0.0708520206	0.2224102509	-0.0712510039	-0.0160197177	0.0254337305	-0.1027786653	0.0122496914	-0.031404221	0.0662453963	-0.0699760666	0.0317915244	-0.0358996822	0.0290725209	0.0540374333	-0.0074278563	0.0079565671	-0.0097920823	0.0683177653	-0.061692472	0.0242469646	-0.0324103323	0.0110916932	-0.009132503	0.0163251094	-0.1021378218	0.0185465205	-0.018312728	0.0612482343	-0.0054061936	0.0507508112	-0.0528622242	0.0147713163	-0.016936171	0.0499509516	-0.0178078658	0.0038517255	0.1509838704	-0.0091742122	-0.0192410605	0.0015831767	0.013372217	-0.0559163199	0.0543391439	0.0090825839	0.0532400353	-0.0261143883	0.0210712739	0.0490460114	-0.0176364285	-0.0023957119	-0.0221130494	0.0087567998	0.0245616953	0.0222176226	-0.0876652277	0.0615648028	0.0793058177	-0.0621165317	-0.0448471239	-0.0584287938	0.1279805086	0.1354833655	0.052268738	-0.0947328477	-0.1222163881	0.075285889	0.0071006782	-0.1142226588	-0.0074805478	-0.0073866992	-0.0953459042	0.1264075274	0.0532494607	-0.0753815382	0.0562352458	-0.0302688912	0.0065334295	0.0589863516	-0.0863848996	0.0531629672	-0.1000056828	0.2293976274	-0.0693328836	0.0572557187	0.0551239387	-0.081052586	0.0622077273	-0.0299837377	0.0779118293	-0.0461092047	0.0185241851	-0.0640119251	-0.020952636	0.0580852844	-0.0031182611	0.0175592434	-0.0481411962	0.0371965783	-0.029606476	0.0722033155	-0.0050404692	5.62157e-05	-0.0068617342	0.009008266	-0.0743909203	0.0900132523	-0.0273687869	0.0697294008	-0.0369154064	0.0349880329	-0.0638403595	0.0087383564	-0.0189289149	0.0435494628	-0.0423698218	0.0718056894	-0.0708689029	-0.0583278116	0.0302979757	0.0360893557	0.0476451784	-0.0353536267	0.1120331858	-0.0193198102	-0.0028482131	-0.0280268567	0.0886067527	0.0215906687	-0.0604960846	0.0042204472	0.0427948183	-0.0206844495	-0.0224663332	-0.0269011703	0.004807175	0.108490667	-0.0436387333	-0.0538485282	-0.0019771397	0.1190364247	0.1977594931	-0.0595139921	-0.0365896541	-0.0621905864	-0.1444703267	0.0064969146	0.0476354654	-0.103296439	-0.0650360756	0.0259692231	0.0522947902	0.1252495833	-0.0733553846	-0.0370461346	0.0700861378	-0.0213345236	0.048881563	-0.2006672314	0.0369866623	-0.1360284678	0.060797568	-0.0200078298	0.1121452544	-0.0043333214	0.0547667872	-0.0160760796	0.0323673835	-0.0434691557	0.0636860674	0.0757723918	-0.0276821533	0.09661039	-0.0083292074	0.0351952275	-0.1110117572	0.0388506246	-0.0487713202	0.0903489333	0.0903433624	0.0903340779	0.0903210801	-0.0110633	n/a	n/a	0.00012239660689	-0.0615088	n/a	n/a	0.00378333247744	0.0558556	n/a	0.0031198480513599	n/a	-0.000798512	n/a	6.376214141440001e-07	n/a	-0.000421509	n/a	n/a	1.77669837081e-07	0.000445177	n/a	n/a	1.98182561329e-07	0.0	0.0	0.0
518.1955961186405	-0.1459378017407289	0.0212978419769162	268526.6758367532	492.2687231467176	-5.674130958059493	32.195762129209136	242328.4957884997	429.7052285228818	0.1455328420974524	0.021179808128962	184646.58341990205	428.8818090038594	461.041601259192	1.172147	30.184715	0.04676928	0.0270264	0.0411179	0.0535797859	-0.1887649657	0.0456999007	-0.0925534094	0.1037675092	-0.0024424353	-0.1670437607	0.1245515933	-0.0145525324	-0.1156697078	-0.0059236784	-0.2357323932	0.1147970741	0.0132235389	0.0550086435	-0.0534760106	0.0449170505	-0.0011270854	0.0338504893	-0.0820829313	0.1004669948	-0.0652691548	0.2196781168	0.0134455204	-0.0274969492	0.0046697313	-0.0211264131	0.0639195974	-0.0077871859	0.2209673437	0.0907560199	-0.001075573	-0.0704639278	0.0160257499	0.022181537	-0.0401087863	0.1389897378	0.0019869988	0.0281130114	0.0516998494	-0.0355989063	-0.0096618499	-0.0023945073	0.0520695369	-0.0050873763	-0.1184306472	-0.0737220163	0.0075128675	-0.017460776	0.0173475534	-0.0282339727	0.0247734478	-0.0317488345	-0.020476498	0.0103723393	-0.0374229664	0.0551225471	0.0122198978	0.0126586115	-0.0864208493	0.0155309318	-0.1164474877	-0.050662705	0.0588307688	0.0765008459	0.0476965713	0.065955655	0.0572375592	-0.0599955783	0.0019293719	-0.187549422	0.0032412112	0.0872277384	0.0383393648	-0.0622406724	-0.0633768332	-0.0618094716	-0.0272152684	-0.0736896554	-0.0522979861	0.0433892569	0.0371683091	0.0293602942	0.0438989171	0.0304007319	-0.0938657216	0.0148625725	-0.0070376792	0.0100679104	-0.0047917977	0.025656199	-0.0107492241	-0.0674897611	-0.0564896287	-0.0286061388	-0.0598647082	0.036708286	-0.006779453	0.0263121518	-0.0883088352	0.0980772177	-0.0768496942	0.2225371858	0.009653055	0.0450299711	0.0123428863	-0.0280563759	-0.0206422535	-0.0696311081	0.2148055567	0.1083811113	0.0124983654	-0.0007713224	-0.0367869844	0.048059157	-0.0287077237	-0.1242768003	0.0026688188	0.0935522116	-0.0272466705	-0.0559669259	-0.0175535652	-0.0308585998	-0.0273498937	0.0078466835	-0.040076359	0.1126150147	0.0592263011	-0.0330688361	0.0015389922	-0.0267838649	0.0168530159	0.020889886	-0.0356042032	0.0041808614	-0.0061469718	-0.0444585542	-0.0624660519	-0.0346889297	-0.0820597489	-0.0265406811	-0.025022086	-0.1192119507	0.0760602114	-0.0491665085	-0.0085935859	-0.0749738673	0.0002076572	-0.0500056552	-0.1579055855	-0.1659335268	-0.0324745841	-0.0547455011	0.0741389771	0.0679829009	0.0961828262	0.011792277	0.0197396982	0.0448177776	0.0163948125	0.036125283	0.0419460897	-0.0473740083	0.024815899	0.0226473335	-0.009190756	0.0656727665	0.0233190402	0.0016465465	-0.030869538	-0.0590218507	-0.0594485928	-0.0356380709	-0.0338844645	-0.0286129418	-0.0501279485	0.0257481994	0.0567202477	-0.1991210598	0.0562323437	-0.1294857428	0.0445669474	-0.0449724585	0.1329008961	0.0214907354	0.0425275009	-0.0058404103	-0.0086063979	-0.0158209508	-0.0025943779	0.0731967114	-0.0181114373	0.0784505829	-0.0438393729	-0.0333855655	-0.2077441757	0.0850398752	-0.0462269791	0.0903340779	0.0902839469	0.0902004158	0.0900835156	-0.00368032	0.00738298	5.45083936804e-05	1.35447553024e-05	-0.0514805	0.0100283	0.00010056680089	0.00265024188025	0.0559228	6.720000000000337e-05	0.00312735955984	4.5158400000004525e-09	-0.000300242	0.00049827	9.0145258564e-08	2.482729929000001e-07	-0.000421509	0.0	0.0	1.77669837081e-07	0.000357631	-8.754599999999998e-05	7.664302115999996e-09	1.2789993216100002e-07	0.0	0.0	0.0
518.9939836587973	0.7983875401567957	0.6374226642776191	269354.755074028	490.004428957762	-2.2642941889556027	5.127028174138111	240104.34039822244	429.73470737271	0.0294788498281945	0.0008690025871932	184671.9187207087	428.94368078671846	465.9986232971647	1.250205	32.194836	0.03948555	0.0213246	0.0023281801	-0.0937377159	-0.1101927727	0.0603601268	0.0025875764	-0.0561369038	0.0476325853	-0.1237344955	0.0547531085	-0.0363750885	-0.1040077675	-0.0087406301	-0.0516784656	0.1110317868	0.0297956531	0.0008845587	0.1027316483	0.0162519742	-0.0082726754	0.0409785479	-0.0470997109	0.1008487717	-0.0128382779	0.1936039018	-0.0489736901	-0.0107075131	0.0118296354	-0.0670077865	0.0024211842	0.0032670005	0.0350947573	0.1029692489	-0.0127972135	-0.0508360301	0.0210092019	0.0280574001	-0.0074894708	-0.053508523	0.014888583	-0.0325501171	0.0181167461	-0.0967472387	-0.0634196358	0.0378805566	0.0900489871	-0.0395161765	0.0670629379	0.0011853329	0.0584610607	-0.0915329242	0.0964846186	-0.0127656709	0.0229443224	0.0372307395	-0.0194689985	-0.0598781576	-0.008201608	0.0420007473	0.024685001	0.0121063315	-0.059561949	0.0558124653	-0.041126507	-0.0338721879	0.0397293022	0.0901429213	-0.010326581	0.0290467425	0.0549759719	-0.1211495336	0.0239542156	0.2233796484	-0.0369204804	-0.0248570062	0.0278358412	0.0420895287	0.0724659896	0.009976452	0.1820842678	0.0014730389	-0.0546133936	-0.0209522155	-0.1322553384	0.0017944084	-0.0093416447	0.0506611717	0.0642589562	0.0061519562	0.0728701079	0.0222511785	0.0379567989	-0.051152088	0.0385059989	0.0211759759	-0.0186970457	0.1435990229	0.0997950519	0.0224034178	-0.0117432146	0.0365462384	-0.0575603276	0.1018939071	-0.0135439765	0.1887701215	-0.0566328655	0.0405044416	0.0136078013	-0.0451576761	0.015587475	-0.0071411138	0.0602572455	0.0917899815	0.0070957677	-0.0255332867	-0.0067360345	0.0323575581	0.0033217655	0.0340013176	0.0208748715	-0.0601719377	-0.0479750696	-0.0419141129	0.0364355468	-0.0824185116	0.015012929	0.0166646608	0.1027091088	-0.0430515929	0.0196766411	-0.0623051071	0.1465100243	-0.0007724327	0.0219968947	-0.058975283	-0.0256778164	-0.0294763288	0.0383396935	0.0449443107	-0.0521465032	-0.0635175369	-0.0760166666	0.0226358996	-0.0382046423	-0.0431332365	0.0028294877	-0.0936729578	0.0234321771	-0.001283429	-0.0262130901	-0.1557076618	0.0894055751	0.0837721539	0.1273214609	-0.0246715339	-0.0337043832	-0.0503469762	0.0240911165	-0.0182772767	-0.1288961727	-0.1576775996	-0.0241998257	0.0574620744	-0.0813517997	0.0910578957	-0.0206893811	0.0341032858	0.0611984192	-0.0257602878	-0.0857901783	0.0435272026	0.0295249068	0.0290036027	0.0473860301	-0.0048870916	0.0497498061	-0.0264540048	0.0556868878	-0.0863529521	0.0378327191	-0.1507028262	0.0442036948	-0.1383449682	0.0230989502	-0.04988495	0.0621392066	0.0371867815	0.046784403	0.0006818132	0.0068945397	-0.0154376052	-0.0190183099	0.0476194051	-0.1300677014	0.029122537	-0.0836827282	-0.0313939818	-0.044679136	0.0248548229	-0.0370784255	0.0903043695	0.0901651549	0.0899332895	0.0896090116	-0.00166617	0.00201415	4.0568002225e-06	2.7761224689e-06	-0.0436605	0.00782	6.115240000000001e-05	0.0019062392602499	0.041298	-0.0146248	0.001705524804	0.00021388477504	-0.000547865	-0.000247623	3.00156058225e-07	6.131715012900001e-08	-0.0003686	5.290899999999997e-05	2.799362280999996e-09	1.3586596000000002e-07	0.000357631	0.0	0.0	1.2789993216100002e-07	0.0	0.0	0.0
519.095130238108	0.1011465793106936	0.0102306305062544	269459.75423691835	491.0326435858082	1.0282146280462143	1.0572253213282148	241113.05706686736	430.6732955025513	0.938588129841321	0.8809476774790285	185479.48745902788	429.8794515050348	467.4197822913435	1.285253	33.097389	0.043904171	0.0256778	-0.0622378976	0.0736674163	-0.1011392573	-0.0296464719	0.080342922	0.0539583142	-0.1020811458	-0.085770445	0.0687873329	-0.093045291	-0.0255828302	0.0780255981	-0.0700420435	0.1482719616	-0.054976725	-0.0513894453	-0.0565138724	-0.0511068579	-0.0321067389	0.0097733433	0.0510952523	0.0843235703	-0.03352547	0.1811138329	-0.0168716521	-0.0644662288	-0.022580499	-0.0710425404	-0.0192097341	0.0429710794	0.0516321045	0.0063340147	0.0358965056	-0.0276108885	0.0597331531	-0.0642424444	0.0358764843	0.082135701	0.0639309984	-0.0172521809	-0.0735617309	0.017312393	-0.0005184212	0.0456721542	0.007604941	0.0102280478	0.0130723886	-0.0281560767	0.0083907622	0.0535468141	0.0637191954	0.0538571545	0.0239315891	0.0428816185	0.084914657	-0.0289702782	0.0622478058	0.0951666366	-0.1081615105	-0.0354744319	0.0289037135	-0.094710992	0.1580786446	-0.055068814	0.0122367582	-0.0338904847	0.0588439747	0.0607404487	-0.0401367496	0.0286392825	-0.0128695555	-0.0392302633	-0.035761796	0.0019473278	0.037486276	-0.0067532501	-0.0011791445	0.0666279195	0.0416997736	-0.0089518666	-0.034697289	0.11779801	0.0400463255	-0.0992363642	0.0060974587	-0.0350469805	-0.0554518804	-0.01107764	0.0716883686	-0.0752297954	-0.0688973871	0.0168162236	-0.0083979279	-0.0451146127	0.0044780273	0.0153102061	-0.050963549	-0.0609720032	-0.0363472036	0.0128810725	0.0410922809	0.0937158331	-0.0434754502	0.1723399133	-0.0170869383	0.0863051156	0.0001666057	-0.0507756619	0.0057049119	0.035061963	0.0822171208	-0.0072866095	0.0029298896	-0.0474756539	-0.0564009733	-0.0651780281	-0.0084785186	-0.0235853837	0.0943020722	0.0096614375	0.0275055505	0.0724907916	-0.0062298944	0.0246228928	0.0349203299	0.0273592639	0.0133273876	0.0195609374	0.0745765939	0.0640780085	0.029087702	0.0365172533	0.0124958429	-0.081322182	0.0719741185	0.0382562502	0.1029257956	-0.0716519806	4.23922e-05	-0.0413821594	0.0333390988	0.0418964466	0.0051088611	0.1939080836	0.0563453575	0.0393842079	-0.0473034174	-0.0290017747	-0.036580546	0.0558349073	-0.0422426094	-0.0376695326	0.0267663041	0.0206978319	0.0378145516	-0.0284704433	0.007397041	0.0450375035	-0.0536149397	0.0048017894	0.0425756434	0.0050883039	-0.0589566643	-0.0709837913	0.0936292665	-0.0701364293	0.0239007172	0.0518294166	-0.00112879	-0.0836682389	-0.0625559257	-0.0373838488	-0.0246023316	-0.0949520242	-0.001426518	-0.0173732275	0.024901282	0.0832736417	0.0485262672	-0.1744516251	-0.0054928213	-0.1230651351	0.0251944637	-0.0158435664	0.0531196459	0.130968149	0.125523856	-0.0466071654	0.0212408227	-0.0502435124	-0.0400840809	0.0311428345	-0.0875167213	0.0107324341	-0.0780078808	-0.0061478352	-0.0335331939	0.0657682884	-0.0212480943	0.0902598131	0.0899870646	0.0895330941	0.0888988159	-0.000339449	0.0013267209999999	1.7601886118409995e-06	1.1522562360100001e-07	-0.0555937	-0.0119332	0.00014240126224	0.00309065947969	0.0368037	-0.0044943	0.00135451233369	2.019873249e-05	-0.000184262	0.000363603	3.3952484644000004e-08	1.32207141609e-07	-0.000421509	-5.290899999999997e-05	2.799362280999996e-09	1.77669837081e-07	0.000464118	0.000106487	1.1339481169e-08	2.15405517924e-07	0.0	0.0	0.0
518.8942320777043	-0.2008981604037671	0.0403600708536177	269251.2240835104	488.07414050912666	-2.958503076681552	8.75274045473421	238216.3666337227	430.3227739176173	-0.350521584933972	0.1228653815046237	185177.6897521528	429.4127118648168	463.5928734399072	1.347664	34.704586	0.068295381	0.0424204	0.1037334386	-0.0316383358	-0.0964903676	-0.0687869117	-0.0232277756	0.0485072392	0.0998368169	-0.0981190045	0.0467943266	-0.0012227814	0.0013935466	0.0972260423	-0.0268571442	0.0941322771	0.0013361644	0.0139075855	0.0269279107	0.1008020212	-0.031264154	0.0064127776	0.009357064	0.0473905803	-0.0090636356	0.1653054755	0.0454466104	-0.1255970934	0.0604348191	-0.0528804962	-0.0806268852	-0.1323823264	0.0111781593	-0.0552662173	-0.0509913916	0.0195158999	0.0194448334	-0.0014752917	0.0209865882	0.0392276088	-0.0494412847	0.0809307321	0.0047333696	0.0726391731	0.0644006213	0.0308739748	0.0491964975	0.0461874137	-0.0416683481	-0.0374952888	0.0034339647	0.0732646297	-0.0410689285	0.0496230861	-0.0171204048	-0.2111406047	0.0241075121	0.0809139659	-0.0094627192	0.0213198571	0.0859399589	0.0218918616	0.0729105301	-0.0289253541	0.0108253942	0.1047752483	-0.113550308	-0.0802033952	-0.0355849036	0.0201264843	-0.0350226022	0.0356371399	-0.0048995297	-0.0149086213	-0.0013228822	-0.113987422	0.0565570069	-0.0081592214	0.0632384064	-0.134745686	0.0624649256	0.0444204254	0.1022941852	0.0773220288	-0.0270003069	0.0600603566	-0.0404102557	0.1384076446	0.0344957712	-0.0032428396	0.026847716	0.0676883055	0.0958557507	-0.048533349	-0.060188829	-0.028324076	0.0652910792	-0.0239992173	0.0163750634	0.1003186929	-0.0349150362	0.0106711721	0.0213580797	0.0445199397	-0.0227808531	0.1670687846	0.0593920117	0.1275783764	0.0779826863	0.014121291	0.134248268	0.0264376964	-0.0113924256	-0.0115164914	0.0464412044	0.0402936838	-0.0455727594	0.0083876429	-0.0267469353	-0.0400188911	-0.0678083537	0.076165115	-0.026396604	0.0211415386	-0.1070052388	0.0217291889	0.0195101428	0.0735550365	-0.0666504742	0.0288986942	0.0280921537	0.0299701727	-0.0496193768	0.041727644	-0.0446101512	0.2077617586	0.0565707192	0.0138894332	0.0260600874	0.0390408244	-0.0416358304	0.0863655371	0.0553102331	-0.0190993337	0.077924666	-0.0107232195	-0.068258117	0.0797179305	-0.0126248771	0.0168048257	-0.0245232762	0.0903011202	0.0481852561	-0.0242066227	0.0198284148	0.0367395523	-0.04225481	-0.1224816145	0.0745769719	-0.138229167	0.0028439868	-0.0781099243	0.020015209	-0.1466793267	-0.0062085467	0.0032920803	-0.03484736	0.1335915561	0.0190596598	0.0069845713	-0.0650896777	0.0086447608	0.1488339235	-0.0138183097	0.0183732917	0.0332727681	-0.068864415	-0.0291786855	-0.0687014533	-0.0671834324	0.045197235	-0.1132884933	0.1180357122	-0.0752607645	0.023386737	-0.002278693	0.0758167378	0.1221763264	0.0449906208	-0.0784749322	0.0382613331	-0.0682807143	-0.0805583051	-0.0768788767	-0.0511028612	0.0043950349	-0.0355193369	0.0201714711	-0.0184793114	-0.0523568591	0.0350731151	0.0902004158	0.089749793	0.0890004218	0.0879547967	-0.00168708	-0.001347631	1.8161093121610004e-06	2.8462389264e-06	-0.0186446	0.0369491	0.0013652359908099	0.00034762110916	0.0499999	0.0131961999999999	0.00249999000001	0.0001741396944399	-0.000348025	-0.000163763	1.21121400625e-07	2.6818320169e-08	-0.000421509	0.0	0.0	1.77669837081e-07	0.000291832	-0.000172286	2.9682465796000003e-08	8.5165916224e-08	0.0	0.0	0.0
519.5913639357359	0.6971318580316392	0.4859928274826456	269975.1854765984	490.5948324768911	2.520691967764435	6.35388799635214	240683.28965302889	430.8867111562417	0.5639372386243622	0.3180252091072708	185663.35785104244	430.0101805914925	464.99572536976274	1.237336	31.863451	0.0582028519999999	0.0328011	-0.0634133523	-0.0260132103	-0.0859462011	-0.0471697126	-0.0860910869	-0.0483710658	-0.021792497	-0.0925903839	0.0551976094	0.1039303258	-0.0010423192	0.0172934402	-0.0603643325	0.086742006	-0.0397030954	-0.1092196003	0.0096719992	-0.0500610752	-0.048028686	-0.0343989171	0.0776398794	0.0579276755	-0.0608747317	0.1936582167	0.030040618	0.0018816771	-0.0058044143	-0.0503437059	0.0014180496	-0.0300921657	-0.0035634631	-0.0129720039	-0.0086480805	0.0533462624	0.0862764892	0.0548386966	-0.0027104533	-0.0084899757	-0.2143538408	-0.0576669326	0.0226163763	-0.0474274367	0.005223667	0.1096958981	0.0528633335	0.0422486722	0.0913407809	0.0471882412	-0.0456382588	0.0735096638	-0.0182700688	0.1296079321	0.0497324192	-0.0565032954	0.1134596455	0.0505053295	-0.1249184051	-0.0995664231	0.1005877701	-0.0418945577	0.0581154851	-0.0826357612	-0.0824863834	0.0928516332	-0.0833276197	0.1418698127	0.1562651216	-0.0128418848	0.0324364042	-0.0526631571	0.0973391074	-0.022614761	0.0083419035	0.0209456386	-0.0184434055	0.0217270424	-0.0586662394	0.105609176	-0.0081703295	-0.0658464411	0.0513265816	-0.0459684464	0.1537341012	-0.0969061837	-0.0329991414	0.0078658458	0.0558466835	-0.074838519	0.033325053	-4.08441e-05	-0.0926435451	-0.1105380532	0.0391576878	-0.0204110788	-0.0071664951	-0.027750512	0.0142108376	-0.0504402397	-0.047903198	-0.0192043987	0.0754413879	0.0633957973	-0.0812286645	0.1765036116	0.0116113727	-0.0018094962	-0.0009794559	-0.0218931042	0.0498767853	-0.0090641467	-0.0069681929	0.0029906708	-0.0102312581	0.0559746806	-0.115417296	0.0590777202	-0.0268154783	-0.0526598951	-0.1385109658	-0.1058605531	0.0274505471	-0.0467405485	0.0135934798	0.0178309654	0.021709832	0.1309475009	0.0866094805	-0.0315670569	0.0148365926	0.0598760302	-0.022631192	0.1412578693	0.019824087	0.0541426492	0.1539198377	0.0197912022	-0.1747075585	-0.0075731666	-0.0305676455	0.0154061526	0.0817598491	-0.0143723538	0.119701018	-0.1090583402	0.0047118112	-0.106691158	-0.1461941987	0.1285405246	-0.0185892212	-0.1135955117	0.0379970224	-0.057292641	-0.0324735113	-0.0223070717	0.0150699791	0.0064196565	-0.0406819887	0.0985821617	0.0064335261	0.078255755	-0.0579815035	-0.0458702574	0.0182263002	-0.151967487	0.0305993057	-0.0728384667	0.061530162	-0.0287516899	-0.0456048095	-0.0401355179	0.028557811	0.1291752063	0.0040943379	-0.1112545303	0.0688804798	-0.0304093357	0.0580462605	0.0170997567	0.0788741905	-0.17591343	0.0838402245	-0.044518638	-0.0087682571	-0.0483267989	0.1291169719	0.1157314502	-0.0193271618	-0.0500130524	-0.0778330211	-0.0762841518	-0.0573421957	-0.0703829923	-0.0116170996	0.0153042971	-0.0097936681	0.0312912949	-0.0011553246	0.0261661987	-0.0521998749	0.0901261876	0.0894534963	0.0883360609	0.0867794369	-0.000941128	0.000745952	5.564443863040002e-07	8.857219123839999e-07	-0.0502255	-0.0315808999999999	0.0009973532448099	0.00252260085025	0.0559589	0.0059589999999999	0.00313139848921	3.550968099999999e-05	-0.000592969	-0.000244944	3.516122349610001e-07	5.999756313600003e-08	-0.000421509	0.0	0.0	1.77669837081e-07	0.000445228	0.0001533959999999	2.3530332815999992e-08	1.98227971984e-07	0.0	0.0	0.0
