onset	duration	trial_type	melody_number	melody_part	key	sound	action
774.089	n/a	RESPONSE	        M2	1	07	G3	release
774.101	n/a	RESPONSE	        M2	1	00	C3	release
774.3	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
774.361	n/a	RESPONSE	        M2	1	07	G3	press
774.372	n/a	RESPONSE	        M2	1	00	C3	press
774.384	n/a	RESPONSE	        M2	1	12	C4	press
774.417	n/a	RESPONSE	        M2	1	14	D4	release
774.999	n/a	RESPONSE	        M2	1	00	C3	release
775.047	n/a	RESPONSE	        M2	1	07	G3	release
775.079	n/a	RESPONSE	        M2	1	12	C4	release
782.058	6.317	CUE_LISTEN	        M2	2	n/a	n/a	n/a
788.375	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
796.133	6.317	CUE_PLAYBACK_BOTH_HANDS	        M2	2	n/a	n/a	n/a
796.689	n/a	RESPONSE	        M2	2	00	C3	press
796.691	n/a	RESPONSE	        M2	2	12	C4	press
796.694	n/a	RESPONSE	        M2	2	07	G3	press
797.08	n/a	RESPONSE	        M2	2	14	D4	press
797.144	n/a	RESPONSE	        M2	2	12	C4	release
797.187	n/a	RESPONSE	        M2	2	07	G3	release
797.21	n/a	RESPONSE	        M2	2	00	C3	release
797.452	n/a	RESPONSE	        M2	2	00	C3	press
797.455	n/a	RESPONSE	        M2	2	16	E4	press
797.462	n/a	RESPONSE	        M2	2	07	G3	press
797.519	n/a	RESPONSE	        M2	2	14	D4	release
797.825	n/a	RESPONSE	        M2	2	14	D4	press
797.874	n/a	RESPONSE	        M2	2	00	C3	release
797.885	n/a	RESPONSE	        M2	2	16	E4	release
797.895	n/a	RESPONSE	        M2	2	07	G3	release
798.179	n/a	RESPONSE	        M2	2	07	G3	press
798.187	n/a	RESPONSE	        M2	2	00	C3	press
798.215	n/a	RESPONSE	        M2	2	16	E4	press
798.299	n/a	RESPONSE	        M2	2	14	D4	release
798.547	n/a	RESPONSE	        M2	2	17	F4	press
798.621	n/a	RESPONSE	        M2	2	16	E4	release
798.669	n/a	RESPONSE	        M2	2	00	C3	release
798.676	n/a	RESPONSE	        M2	2	07	G3	release
798.901	n/a	RESPONSE	        M2	2	19	G4	press
798.926	n/a	RESPONSE	        M2	2	00	C3	press
798.936	n/a	RESPONSE	        M2	2	07	G3	press
798.975	n/a	RESPONSE	        M2	2	17	F4	release
799.341	n/a	RESPONSE	        M2	2	19	G4	release
799.38	n/a	RESPONSE	        M2	2	00	C3	release
799.43	n/a	RESPONSE	        M2	2	07	G3	release
799.571	n/a	RESPONSE	        M2	2	16	E4	press
799.574	n/a	RESPONSE	        M2	2	07	G3	press
799.584	n/a	RESPONSE	        M2	2	00	C3	press
799.935	n/a	RESPONSE	        M2	2	19	G4	press
800.016	n/a	RESPONSE	        M2	2	16	E4	release
800.057	n/a	RESPONSE	        M2	2	00	C3	release
800.079	n/a	RESPONSE	        M2	2	07	G3	release
800.2	n/a	RESPONSE	        M2	2	19	G4	release
800.291	n/a	RESPONSE	        M2	2	07	G3	press
800.302	n/a	RESPONSE	        M2	2	00	C3	press
800.314	n/a	RESPONSE	        M2	2	19	G4	press
800.675	n/a	RESPONSE	        M2	2	17	F4	press
800.747	n/a	RESPONSE	        M2	2	19	G4	release
800.78	n/a	RESPONSE	        M2	2	00	C3	release
800.799	n/a	RESPONSE	        M2	2	07	G3	release
801.022	n/a	RESPONSE	        M2	2	16	E4	press
801.061	n/a	RESPONSE	        M2	2	00	C3	press
801.065	n/a	RESPONSE	        M2	2	07	G3	press
801.084	n/a	RESPONSE	        M2	2	17	F4	release
801.445	n/a	RESPONSE	        M2	2	14	D4	press
801.516	n/a	RESPONSE	        M2	2	00	C3	release
801.519	n/a	RESPONSE	        M2	2	16	E4	release
801.529	n/a	RESPONSE	        M2	2	07	G3	release
801.83	n/a	RESPONSE	        M2	2	00	C3	press
801.832	n/a	RESPONSE	        M2	2	07	G3	press
801.852	n/a	RESPONSE	        M2	2	12	C4	press
801.934	n/a	RESPONSE	        M2	2	14	D4	release
802.45	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
802.517	n/a	RESPONSE	        M2	2	00	C3	release
802.689	n/a	RESPONSE	        M2	2	12	C4	release
803.619	n/a	RESPONSE	        M2	2	07	G3	release
