global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02
551.1259240613446	n/a	n/a	303739.7841724709	740.2357692950754	n/a	n/a	547948.9941438722	457.40983191792185	n/a	n/a	209223.75433518155	463.27493668473903	588.217792511748	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0348203	n/a	n/a	0.0012124532920899	-0.128767	n/a	n/a	0.0165809402889999	-0.0868385	n/a	n/a	0.00754092508225	0.00057896	n/a	n/a	3.351946816e-07	0.000483091	n/a	2.33376914281e-07	n/a	-0.000651524	n/a	n/a	4.24483522576e-07	0.0	0.0	0.0
543.7349280782752	-7.390995983069388	54.62682162174783	295647.6720122871	687.0792175983466	-53.1565516967288	2825.618988287001	472077.85125555616	457.03762214155097	-0.3722097763708802	0.1385401176260607	208883.38805280311	461.2587955061124	546.7295001602995	1.959259	48.500252	0.1814944	0.0789875	-0.0703458871	-0.0553641771	0.0804104689	-0.0634660727	-0.02828884	0.0831765646	-0.0457780064	0.126239703	-0.1438051752	0.0898845298	-0.0393062645	0.1037929403	-0.0063809972	0.02227666	-0.0956289742	0.0124496035	-0.0990789393	0.1229082811	-0.0351694173	0.0970799159	0.0138886041	0.0167436695	-0.080406837	0.024818893	-0.130766579	0.0323147587	-0.0466287796	0.0322976151	-0.0253218574	0.022099889	-0.0256582193	0.0080888351	-0.1199098676	0.057735561	-0.142110002	0.0930611086	-0.0297912685	0.0095471594	0.109871061	0.1491657801	-0.1278467363	0.0703368057	-0.0524358049	0.076285279	-0.045999585	0.0127235833	-0.0193726663	0.0234283564	-0.0681294044	0.1296951301	-0.085176977	0.0234889783	-0.0058556433	0.0697026454	-0.0326983433	0.0684512847	-0.1276857475	0.0451893753	0.0533800411	-0.1357473943	0.0870023166	-0.0054951074	-0.0603648663	0.0178441797	0.0520607171	-0.0246741313	-0.0661405666	-0.0541983927	0.0965811361	0.1168175675	-0.1188452182	0.0911535649	0.016796846	-0.0398175846	-0.0580036289	0.017598614	0.0146874238	0.0084878784	-0.0398835957	-0.0235389419	0.0414763639	0.0711918842	0.0809805949	-0.1115955452	0.0530858071	0.0352773692	0.0138709656	-0.0707650439	-0.0643593214	-0.0590316036	0.1013348173	-0.1011854997	-0.0786871148	0.0427440709	-0.0954697265	0.0672432034	0.0696710491	-0.0858640388	0.0103305875	-0.0411653136	0.0414308933	0.0799453463	-0.0469874561	0.0445819728	-0.0326664326	0.0150283565	-0.0099587932	0.1904366212	-0.0282714629	0.0273805699	0.1154657968	-0.1012360447	0.1353191508	-0.0364644306	0.0732816136	-0.052893793	0.1402883409	-0.0477377669	0.0357153816	-0.1219582291	0.0269962046	-0.0261732786	0.0268016676	-0.0081066487	0.0104698477	-0.0539526414	0.031884372	-0.0093892603	0.054587968	0.1314030605	-0.2134059184	0.0862401875	-0.0645626034	0.000392459	0.0169166724	-0.0614574371	-0.0575048604	0.0466612911	0.0368726568	-0.0172402216	-0.0974623463	0.0934284523	0.0557094462	-0.0419357965	-0.0088726413	0.043738294	0.0174744579	-0.0563267029	-0.0792625036	0.0282431942	-0.0125548989	-0.0074806513	-0.0052802903	-0.0090879591	0.0502056802	0.0148638944	0.1755889114	-0.0990416459	0.0838024922	0.0014004782	0.0424357863	0.039488958	-0.0848192227	0.0338472664	0.1111402953	0.0934516642	0.0934450686	0.0934340765	0.0934186881	0.0	-0.0188818	0.0159384999999999	0.0002540357822499	0.00035652237124	-0.107115	0.0216519999999999	0.0004688091039999	0.011473623225	-0.0366782	0.0501603	0.00251605569609	0.00134529035524	0.00128734	0.00070838	5.018022244000001e-07	1.6572442756000002e-06	-0.000241164	-0.000724255	5.8160074896e-08	5.24545305025e-07	-0.000209287	0.000442237	1.95573564169e-07	4.3801048369e-08	1.0	0.0	0.0
543.2305831245704	-0.5043449537047309	0.2543638323274271	295099.46644186083	683.0323464517714	-4.046871146575199	16.37716607698287	466533.1862994128	456.2132624233153	-0.8243597182356552	0.6795689450495689	208130.54081092475	459.9728363741253	542.1704113927437	1.367379	33.848637	0.10655145	0.0556235	0.0938717118	2.30078e-05	0.0157997048	-0.067426324	-0.0515500045	-0.0930451358	-0.03381349	-0.0105037235	-0.0654813733	0.0274412519	-0.061653082	-0.0357503442	0.1094859293	-0.1264151167	-0.0720827569	0.0113816957	0.0462522598	0.0050996224	0.0051965533	0.0736177133	0.0120124	0.047072967	0.0744104479	-0.0304081563	0.0159768038	0.0498027535	-0.0172603024	0.0246573767	0.1432370916	0.0099527714	-0.0163895767	0.0882702	-0.0708760231	0.0367215919	-0.0914407107	0.0151600815	-0.0874422127	-0.0376555814	-0.137576873	-0.0155717496	-0.0074162271	-0.0387020759	0.0169158905	0.0395266581	-0.0385377246	-0.0919260124	0.027076562	-0.0094507823	0.0056065669	-0.1321640366	0.0637314473	0.0276398756	0.1020049025	0.1430628465	0.0981235761	0.0293227836	-0.0115263818	0.1068296081	0.0247210721	-0.0002424064	-0.0599894701	0.1684623256	0.0352201711	0.1846441241	0.0996152611	-0.0133877846	0.0586188605	-0.0471209193	0.002838571	-0.0398083705	-0.0950556596	0.0782476498	-0.0897600717	0.0191076311	-0.0517035462	0.0746681726	0.0831756663	-0.0456481275	0.0709248068	0.0179291336	-0.0481806016	-0.1019066746	-0.0270293204	0.0267631774	-0.0819377819	-0.0373399768	0.0833702466	0.0996064523	0.0129453557	-0.0291942097	0.0389584843	0.0555274587	-0.099873809	0.0271646473	0.1212689737	-0.0295915463	-0.002655366	-0.0313574925	-0.0092660118	0.0047415891	-0.0581952321	0.0969974194	-0.1164447536	0.0065695829	0.1075502773	-0.03805044	0.0215403791	0.0271349646	0.136281575	-0.0033060007	0.0107405874	0.0133873003	-0.0359600736	0.0270558201	-0.0219793309	-0.0626615634	0.0197323949	-0.0952347528	0.0382223586	0.0458602903	0.0595603223	0.0070599846	-0.0833761559	0.1149715657	0.0008780838	0.209518895	-0.0156211992	-0.0431429583	-0.0469492429	0.1150098967	-0.049049143	-0.0593920876	-0.0111412418	-0.0508703017	-0.0637778806	-0.1018369007	0.0541704794	-0.014351865	-0.2006066335	-0.0202763049	0.0341180777	-0.0086975519	0.1084414044	-0.1025241156	-0.0708176585	0.0257406013	0.0818415066	0.0631840071	0.0358459721	-0.1530191749	-0.0305115608	-0.0528315854	-0.0249257202	0.0572076218	0.0071362028	0.0664849834	-0.0657089983	0.0674834045	0.0353198929	0.0374333061	-0.0803233747	0.0589539946	0.0352878887	0.0763821419	-0.0397376866	0.0934340765	0.0933747261	0.0932758368	0.0931374504	0.0	-0.015565	0.0033168	1.100116224e-05	0.000242269225	-0.0937553	0.0133597	0.00017848158409	0.00879005627809	-0.0270269	0.0096513	9.314759169000004e-05	0.00073045332361	0.000446264	-0.000841076	7.074088377760001e-07	1.9915155769600003e-07	0.00033278	0.000573944	1.1074252840000003e-07	3.2941171513600004e-07	-0.00039874	-0.000189453	3.5892439209000005e-08	1.589935876e-07	0.0	0.0	0.0
544.2014210359335	0.9708379113631054	0.9425262501398768	296155.18665752944	682.6972987823732	-0.33504766939825	0.112256940769199	466075.6017647489	456.8070970131499	0.5938345898346142	0.3526395200840445	208672.72388158136	460.77331484776767	542.114284814625	1.362991	33.740017	0.06537709	0.0325075	-0.0626841132	0.0667958658	-0.0547982408	0.0032940927	0.010378257	0.0457096841	0.0979715878	-0.0056813709	0.0653475241	-0.1075994303	-0.0629290233	-0.1539399389	0.0398237244	-0.0061944408	0.0178820726	0.0181534387	0.0593411743	-0.0238753476	-0.0898784854	0.1044501776	0.0625841593	0.0033015327	-0.0851660238	-0.0473379923	-0.0015552913	0.0316493725	-0.0710048193	-0.0062565735	0.2099286257	0.0167688518	-0.1273988329	0.02981693	-0.0161688922	-0.0905298632	-0.1240653477	-0.1198233359	0.1062326024	-0.0135593636	0.0018360154	0.0328161383	0.0219816097	-0.1087835462	0.023214762	-0.0917369566	-0.0040288586	0.0377318846	0.0120004978	0.0670249241	-0.0524300366	0.0546877979	-0.1049357465	-0.0039687093	0.0395837033	0.0758386094	0.0284027596	0.1707324723	0.0638473772	-0.0909901753	0.0165017966	-0.0493280445	0.0710539704	-0.0648310961	-0.0032892207	-0.0562917295	-0.0381538334	-0.0090547899	-0.0060646182	-0.0052551792	-0.1265621722	0.0366962799	0.0965598056	-0.0232453144	0.0835991882	-0.1370418813	0.0786557665	-0.004212006	0.0938643341	-0.026499528	0.0876436535	-0.0626884827	-0.1102106653	0.0140680594	0.0438268126	0.0413901134	0.0450347188	0.0210657733	-0.0723398204	-0.0282812451	-0.1080805737	0.1309121275	-0.0008437182	0.0101755986	-0.013326519	0.0031172249	-0.0453373118	-0.0855205593	0.0055657258	-0.0311089463	-0.0394551085	0.0539346737	-0.1462609321	0.1261664615	-0.1972892583	0.0343700552	-0.0486400971	-0.0349034523	0.1807995688	0.0062676602	-0.056685501	-0.0863557404	-0.0773639976	0.0188247333	0.052251787	0.0596387795	-0.1116423491	0.0109643955	0.0781030961	0.0833592774	0.0310399469	-0.086376291	-0.0127607512	-0.074063037	0.0078180921	0.0041798831	0.0329510035	0.0437545708	0.1132551186	0.0025964537	0.0416889243	0.0281239782	0.1209146509	0.1549708558	0.0211301074	0.0201788974	0.0483252424	-0.0075080933	0.0340910329	0.0029286973	0.0567406672	0.0405719613	0.1429202681	0.079095591	-0.0216028926	-0.0190085589	0.1120437854	-0.0894142102	-0.0605202028	-0.0363836972	-0.0114823224	-0.0568612816	0.0131203916	0.1338934792	0.0392844004	0.0267353084	-0.0262893145	0.0453063271	0.043419017	-0.0023427492	0.0258965103	-0.0545430949	0.073735941	-0.1045819601	0.0263522378	-0.0578621479	-0.0668256816	0.0933989044	0.093234094	0.0929596255	0.0925758217	0.0	-0.0178427	-0.0022776999999999	5.187917289999995e-06	0.00031836194329	-0.0955223	-0.001767	3.122289000000017e-06	0.00912450979729	-0.00741701	0.0196098899999999	0.000384547785812	5.50120373401e-05	0.000925402	0.000479138	2.29573223044e-07	8.563688616039999e-07	0.000166921	-0.000165859	2.7862620241e-08	2.7509207881000012e-08	-0.000209287	0.000189453	3.5892439209000005e-08	4.3801048369e-08	0.0	0.0	0.0
544.1397549487749	-0.0616660871586418	0.0038027063054572	296088.0729157128	683.3139597945847	0.6166610122114662	0.38027080398167	466917.9676501553	457.4282367467216	0.6211397335716811	0.3858145686214989	209240.5917732148	461.28084125866417	547.5381848155325	1.26078	31.209827	0.061889115	0.0375064	0.0873689184	0.0114273134	-0.0860304604	0.0550526501	-0.0687253714	-0.0929445475	-0.0316128054	-0.0043252625	0.1615530357	-0.1125955728	-0.0408605097	0.090463236	-0.0622029948	0.0566690889	0.009313995	-0.0439890985	0.0727107214	0.0334554579	0.0126823733	-0.0261711366	-0.0122087768	-0.0253594362	0.0985390335	0.0103444837	-0.0808243807	0.0516595762	-0.0393373289	-0.0584428938	0.1679162072	0.0606625161	-0.0320895217	0.0595321537	0.0105336468	-0.0047120025	-0.0231484647	0.0689266527	0.0434143854	-0.0019934848	0.0570942588	-0.0092706623	-0.0639331707	0.0751852067	0.0176996174	-0.0376578526	0.0809767645	-0.1005937405	-0.0349174547	0.0898395154	0.1085184904	0.1342146705	0.0323239269	-0.0428638203	-0.0859988999	-0.157069484	0.0716890422	-0.0313002746	-0.107864551	-0.0973844258	0.0478116607	0.0962637271	0.1001127844	-0.0257165509	0.0014678642	-0.0103262985	-0.0747523457	-0.1580329974	0.0400494073	0.0225277986	-0.0480675499	0.0014223429	0.0417544293	0.0083330114	-0.0693679447	0.0377440307	-0.0477794005	-0.0373745045	0.0540225197	-0.003567766	0.0470317381	-0.0525851377	-0.0169938432	0.0842085895	-0.0762004571	0.0737768471	-0.1150558843	-0.0242668961	0.0823934503	-0.1198633552	-0.0118469877	-0.1048634781	0.073824274	0.0809163654	0.0148838715	-0.0346753195	0.0988886493	0.0184234733	0.0175813715	-0.067873577	0.0197567444	0.090019816	-0.1117751633	-0.0424842616	-0.1012186326	0.1180437238	-0.1010538907	-0.0639682838	0.0089240695	0.025208828	0.0148078538	-0.0195484518	0.0296894133	0.0056684929	0.0542992513	-0.0406825988	0.0083926072	0.0481682914	0.0364407755	0.0802222497	0.0063565089	0.0275360143	0.1139795249	0.1674431822	-0.0332892618	-0.0244799422	-0.0421360388	-0.1884140935	-0.0347197729	-0.1356761789	0.0804549829	-0.0372315847	-0.0380591305	0.1341292643	0.1483005071	0.020967542	0.0019997615	0.0307014186	0.0537741869	-0.0498418564	0.0178719123	-0.049938146	0.0123919433	-0.0924294985	-0.0314033922	0.0406123927	-0.0455124294	0.0927075577	0.0409686194	0.0024606044	0.0529494621	-0.1397254116	-0.0852024223	0.070606444	-0.0029994727	-0.0195663842	-0.0684567517	-0.1391741179	0.0194249494	-0.10569479	-0.0542925051	0.0213880681	-0.0168700057	0.0691995998	-0.0008386423	-0.0186701739	-0.0652055557	0.0933461545	0.0930232783	0.0924859781	0.0917354927	0.0	-0.00716255	0.01068015	0.0001140656040224	5.13021225025e-05	-0.0608707	0.0346516	0.00120073338256	0.00370524211849	0.000157905	0.007574915	5.7379337257225e-05	2.4933989024999995e-08	0.000995503	7.010100000000004e-05	4.914150201000005e-09	9.91026223009e-07	0.000276469	0.000109548	7.6435107961e-08	1.2000764304000001e-08	-0.000209287	0.0	0.0	4.3801048369e-08	0.0	0.0	0.0
543.6589827797011	-0.4807721690738162	0.2311418785559421	295565.08955705934	684.5065029908243	1.192543196239626	1.4221592748974232	468549.1526367273	457.2363803495362	-0.1918563971854041	0.0368088771409635	209065.10751514573	461.5152632491416	559.2265344890727	1.374101	34.015034	0.124244065	0.0520874	-0.090038132	-0.0188840102	-0.0395100766	0.0434725363	-0.0526589229	0.0890986797	-0.0137043172	0.034219342	0.0966324777	-0.0023696214	0.0517161353	0.1681243718	-0.0828854599	0.0454434803	-0.0186789081	-0.0192484463	0.0050011011	-0.0318008729	-0.0793781799	0.0490036214	0.0398268001	-0.0008958688	-0.0797678595	0.0360075956	-0.0241238093	0.0156284628	9.39132e-05	0.0269858685	-0.028205023	0.1169315525	0.043961978	-0.0903295039	0.0414749025	-0.0681347375	0.1073721817	-0.0786107531	0.1107026169	-0.0895455108	0.0758234446	-0.000342056	-0.0883549883	0.0048759307	0.0188237654	0.0631995912	0.0929230292	-0.0468486707	0.0451157045	0.1583280205	-0.1306929028	0.0014576215	-0.0977086489	-0.0751577156	-0.013522426	-0.0092322365	-0.0183165595	0.0409696439	0.0994526787	-0.0410096559	-0.0187105454	-0.0053587173	0.0178570679	0.0559961063	-0.0418808633	-0.0227626511	-0.0419024112	0.0765137725	-0.0737292198	0.1588007565	0.0210355176	0.0376431698	0.1166577399	0.0274754665	0.0360420218	0.1166896761	-0.0328419053	0.089945825	0.1032961684	0.0040791435	0.0753046102	0.0709262998	0.0315917453	0.0514754125	0.0585245749	-0.0452647106	0.0024757862	-0.0312389232	0.0029258215	0.0867393304	0.2091945596	0.0792933693	0.0524925213	0.135276796	0.0333979515	0.022072582	-0.112125885	0.0187073222	-0.0041526016	-0.0219740568	0.0524618834	-0.0512233436	-0.023070562	-0.1102833807	0.0215756745	0.0944217961	-0.0565252882	0.0639377547	0.0030303927	-0.0419920296	-0.1452135841	0.0151511374	-0.0764000503	0.0572778375	0.0797838974	-0.0506621338	-0.0444398808	0.1097791569	0.0468587177	-0.0314888105	0.0380135895	-0.0196132048	0.1315571789	-0.080204252	0.0153605141	-0.1984825486	0.0805489044	0.0340520514	0.0860141097	0.0233044222	0.0452457959	0.0123773474	0.0816537396	0.0197207884	-0.0372570204	0.1239649785	-0.0201837692	0.0017305881	-0.1843783512	0.0093903141	0.0654362462	-0.0032038852	0.0249975701	-0.0690728225	-0.0107570638	-0.0753087898	-0.0702399647	-0.1106932603	-0.0175704698	0.0469087441	0.0195725825	-0.077695131	-0.0174691001	-0.1112199825	0.0345518749	-0.0742099886	0.0178249633	-0.0374486955	0.0854079474	0.0065656473	-0.0883163985	0.0637866328	-0.1471584266	-0.0809000948	0.0340107869	-0.0133192819	-0.1428321831	0.0932758368	0.0927424375	0.0918556968	0.0906189933	0.0	0.00677846	0.01394101	0.0001943517598201	4.59475199716e-05	-0.0368468	0.0240239	0.00057714777121	0.0013576866702399	-0.0243939	-0.024551805	0.000602791128758	0.00059506235721	0.000384847	-0.000610656	3.72900750336e-07	1.4810721340900005e-07	-0.000177132	-0.000453601	3.1375745424e-08	2.05753867201e-07	-0.000379577	-0.0001702899999999	2.8998684099999994e-08	1.4407869892899997e-07	0.0	0.0	0.0
544.7321968250899	1.073214045388795	1.1517883872197827	296733.1662578885	686.0439750263855	1.5374720355612226	2.363820260132769	470656.33567000384	457.0818913320352	-0.1544890175010209	0.0238668565284307	208923.8553836704	461.3873634041808	543.919410405717	1.160225	28.720654	0.11869734	0.0745215999999999	-0.0868139072	0.0276108836	0.0407687035	-0.0434094579	-0.1019978955	0.0422438176	0.0391297399	0.0735857272	-0.1348280603	-0.0895754376	-0.0185702586	-0.0126569093	0.0041168215	-0.0254538842	-0.0536908315	-0.009956367	0.0314818862	-0.1462608949	-0.0828419738	-0.0488650212	-0.0236549322	-0.0198305074	-0.1152543133	-0.03312721	-0.0688350189	0.0375187376	-0.0145965276	0.0574278746	-0.0138291725	0.0384067828	-0.0177087519	0.0725819853	0.0350472608	0.0220614807	-0.0773907722	-0.0361457216	0.0314967747	0.06344961	0.0197454051	-0.057901559	0.0529246199	0.0546920134	-0.0148322931	0.0707118249	-0.1429127413	0.0918726474	-0.0071458234	-0.0667758956	-0.1343637204	-0.019287085	0.0623033235	0.0867119789	0.0438383939	-0.1120192435	0.0244374069	-0.0042334141	0.0127498579	0.0511611331	0.0123342679	0.0142066284	0.1669557311	-0.0704831926	0.0189743639	0.0471756717	0.1245868776	-0.0489897837	0.1483864992	-0.0764877486	-0.0252390445	-0.1512814876	-0.0324307998	-0.0511940821	-0.0421919899	0.1190515424	0.0096232461	0.0499973334	-0.108839335	-0.0758913279	0.0252499501	-0.1263768982	0.0029293221	0.0665033747	0.0613039668	-0.1054465338	0.0611226637	-0.1164713357	-0.0455618982	-0.0662145899	0.0849825105	-0.0302486419	0.0849808103	0.0070612827	0.0654907699	-0.0273975973	-0.1017366466	-0.0141989316	0.0610864528	-0.0755576963	-0.0380733266	-0.0230288118	0.0277233108	0.0969003594	-0.0376579672	0.0452887833	0.0913669815	-0.0543156264	0.0393012469	-0.0437434072	-0.0286648643	-0.0392594184	0.039655328	0.004212829	-0.0439689752	-0.0182177936	0.1041815641	-0.0407306546	-0.0467075487	-0.0667515774	-0.0519712019	-0.0049243675	-0.1259905497	-0.0791214251	0.0040067822	-0.0621361071	-0.150303989	0.0219167609	-0.0422317515	-0.0125648966	0.0655929018	0.0870229532	-0.0482761554	0.03515424	0.1283913373	-0.1846609156	0.0310226687	0.0074556663	-0.0302910831	-0.0140173909	-0.1393542612	0.1358154366	-0.0819112823	-0.1277943593	0.0372714995	0.1041807112	0.0082122219	-0.0322592611	-0.0624416654	-0.1093819168	0.1331706521	0.066739962	0.0239656458	0.0809358351	0.0749256526	-0.0782278147	0.0658456511	-0.0027403711	0.0867417134	-0.0065270611	0.0392866849	-0.0371954092	-0.0480117586	0.0076556102	-0.0252552413	0.0133336367	-0.0914749968	0.0931879645	0.0923917831	0.091069849	0.0892296847	0.0	-0.00994293	-0.01672139	0.0002796048835321	9.886185698490002e-05	-0.107459	-0.0706122	0.00498608278884	0.0115474366809999	-0.0204635	0.0039304	1.5448044160000003e-05	0.0004187548322499	0.000706782	0.000321935	1.0364214422499998e-07	4.99540795524e-07	-0.000233574	-5.6442e-05	5.455681347600001e-08	3.185699364e-09	-0.000209287	0.0001702899999999	2.8998684099999994e-08	4.3801048369e-08	0.0	0.0	0.0
