onset	duration	trial_type	trial_number	stroop_condition	stim_text(PL)	stim_text(eng)	stim_color(PL)	stim_color(eng)	response_type	response_color
56.112	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
56.6287	0.8333	INK	7	Neutral	xxxxxxxx	xxxxxxxx	niebieski	blue	hit	n/a
57.4436	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
57.4621	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
58.4787	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
58.9954	0.5833	INK	8	Neutral	xxxxxxxxx	xxxxxxxxx	żółty	yellow	hit	n/a
59.5551	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
59.5787	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
60.5954	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
61.1121	0.7	INK	9	Incongruent	zielony	green	czerwony	red	hit	n/a
61.7946	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
61.8121	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
62.8288	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
63.3455	0.4667	INK	10	Incongruent	żółty	yellow	czerwony	red	hit	n/a
63.7942	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
63.8121	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
64.8288	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
65.3455	0.7667	INK	11	Incongruent	żółty	yellow	niebieski	blue	hit	n/a
66.0818	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
66.1122	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
67.1288	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
67.6455	0.6667	INK	12	Incongruent	czerwony	red	niebieski	blue	hit	n/a
68.2892	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
68.3122	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
69.3289	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
69.8455	0.7167	INK	13	Neutral	xxxxx	xxxxx	niebieski	blue	hit	n/a
70.5287	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
70.5622	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
71.5789	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
72.0956	0.65	INK	14	Neutral	xxxxx	xxxxx	zielony	green	hit	n/a
72.7203	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
72.7456	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
73.7622	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
74.2789	0.6333	INK	15	Incongruent	żółty	yellow	zielony	green	hit	n/a
74.8798	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
74.9123	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
75.9289	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
76.4456	0.6	INK	16	Incongruent	zielony	green	żółty	yellow	hit	n/a
77.0233	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
77.0456	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
78.0623	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
78.579	0.7	INK	17	Neutral	xxxxxxx	xxxxxxx	żółty	yellow	hit	n/a
79.2468	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
79.279	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
80.2956	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
80.8123	0.7833	INK	18	Neutral	xxxxxxx	xxxxxxx	czerwony	red	hit	n/a
81.5663	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
81.5957	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
82.6123	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
83.129	0.4833	INK	19	Neutral	xxxxx	xxxxx	czerwony	red	hit	n/a
83.5819	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
83.6124	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
84.629	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
85.1457	0.7	INK	20	Incongruent	czerwony	red	zielony	green	hit	n/a
85.8214	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
85.8457	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
86.8624	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
87.3791	0.7	INK	21	Incongruent	czerwony	red	zielony	green	hit	n/a
88.0609	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
88.0791	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
89.0958	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
89.6124	0.75	INK	22	Incongruent	żółty	yellow	niebieski	blue	hit	n/a
90.3324	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
90.3624	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
91.3791	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
91.8958	0.6	INK	23	Neutral	xxxxxxxx	xxxxxxxx	zielony	green	hit	n/a
92.476	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
92.4958	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
93.5125	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
94.0291	0.7333	INK	24	Neutral	xxxxxxxx	xxxxxxxx	niebieski	blue	hit	n/a
94.7315	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
94.7625	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
95.7792	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
96.2958	0.5	INK	25	Neutral	xxxxx	xxxxx	niebieski	blue	hit	n/a
96.7631	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
96.7958	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
97.8125	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
98.3292	0.7667	INK	26	Incongruent	żółty	yellow	zielony	green	hit	n/a
99.0666	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
99.0959	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
100.1125	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
100.6292	0.5333	INK	27	Neutral	xxxxxxxxx	xxxxxxxxx	zielony	green	hit	n/a
101.1301	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
101.1626	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
102.1792	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
102.6959	0.5	INK	28	Neutral	xxxxxxx	xxxxxxx	żółty	yellow	hit	n/a
103.1777	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
103.1959	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
104.2126	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
104.7293	0.4	INK	29	Incongruent	czerwony	red	żółty	yellow	hit	n/a
105.0972	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
105.1293	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
106.1459	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
106.6626	0.6	INK	30	Neutral	xxxxxxxxx	xxxxxxxxx	zielony	green	hit	n/a
107.2408	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
107.2626	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
108.2793	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
108.796	0.9167	INK	31	Neutral	xxxxx	xxxxx	czerwony	red	hit	n/a
109.6883	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
109.7127	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
110.7293	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
111.246	0.5667	INK	32	Neutral	xxxxx	xxxxx	czerwony	red	hit	n/a
111.7838	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
111.8127	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
112.8294	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
113.346	0.7333	INK	33	Neutral	xxxxxxxxx	xxxxxxxxx	zielony	green	hit	n/a
114.0554	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
114.0794	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
115.0961	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
115.6127	0.7667	INK	34	Incongruent	zielony	green	czerwony	red	hit	n/a
116.3588	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
116.3794	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
117.3961	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
117.9128	0.7	INK	35	Neutral	xxxxxxxx	xxxxxxxx	zielony	green	hit	n/a
118.5823	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
118.6128	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
119.6294	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
120.1461	0.7167	INK	36	Incongruent	niebieski	blue	czerwony	red	hit	n/a
120.8378	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
120.8628	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
121.8795	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
122.3961	0.8333	INK	37	Neutral	xxxxxxxxx	xxxxxxxxx	żółty	yellow	hit	n/a
123.2053	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
123.2295	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
124.2462	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
124.7628	0.7833	INK	38	Incongruent	żółty	yellow	niebieski	blue	hit	n/a
125.5248	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
125.5462	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
126.5629	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
127.0795	0.7333	INK	39	Incongruent	czerwony	red	żółty	yellow	hit	n/a
127.7803	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
127.8129	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
128.8295	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
129.3462	0.6167	INK	40	Neutral	xxxxxxxx	xxxxxxxx	zielony	green	hit	n/a
129.9399	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
129.9629	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
130.9796	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
131.4962	0.7167	INK	41	Incongruent	zielony	green	żółty	yellow	hit	n/a
132.1794	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
132.2129	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
133.2296	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
133.7463	0.65	INK	42	Incongruent	niebieski	blue	żółty	yellow	hit	n/a
134.3709	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
134.3963	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
135.413	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
135.9296	0.7	INK	43	Neutral	xxxxxxx	xxxxxxx	czerwony	red	hit	n/a
136.6104	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
136.6296	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
137.6463	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
138.163	0.5	INK	44	Neutral	xxxxxxxxx	xxxxxxxxx	czerwony	red	hit	n/a
138.642	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
138.663	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
139.6797	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
140.1963	0.65	INK	45	Neutral	xxxxx	xxxxx	zielony	green	hit	n/a
140.8175	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
140.8463	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
141.863	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
142.3797	0.75	INK	46	Neutral	xxxxxxxxx	xxxxxxxxx	czerwony	red	hit	n/a
143.1051	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
143.1297	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
144.1464	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
144.6631	0.5667	INK	47	Incongruent	żółty	yellow	zielony	green	hit	n/a
145.2006	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
145.2297	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
146.2464	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
146.7631	0.7167	INK	48	Incongruent	zielony	green	niebieski	blue	hit	n/a
147.4561	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
147.4798	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
148.4964	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
149.0131	0.7167	INK	49	Incongruent	niebieski	blue	żółty	yellow	hit	n/a
149.7116	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
149.7298	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
150.7465	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
151.2631	0.65	INK	50	Incongruent	zielony	green	niebieski	blue	hit	n/a
151.8871	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
151.9131	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
152.9298	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
153.4465	0.5667	INK	51	Neutral	xxxxxxx	xxxxxxx	niebieski	blue	hit	n/a
153.9827	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
154.0132	1.0333	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
155.0465	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
155.5632	0.6167	INK	52	Neutral	xxxxxxx	xxxxxxx	czerwony	red	hit	n/a
156.1582	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
156.1799	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
157.1965	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
157.7132	0.55	INK	53	Incongruent	żółty	yellow	czerwony	red	hit	n/a
158.2377	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
158.2632	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
159.2799	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
159.7966	0.8667	INK	54	Neutral	xxxxx	xxxxx	zielony	green	hit	n/a
160.6372	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
160.6633	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
161.6799	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
162.1966	0.5667	INK	55	Incongruent	niebieski	blue	zielony	green	hit	n/a
162.7328	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
162.7633	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
163.7799	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
164.2966	0.65	INK	56	Neutral	xxxxxxxx	xxxxxxxx	żółty	yellow	hit	n/a
164.9243	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
164.9466	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
165.9633	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
166.48	0.55	INK	57	Incongruent	zielony	green	żółty	yellow	hit	n/a
167.0038	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
167.03	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
168.0467	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
168.5633	0.5	INK	58	Incongruent	niebieski	blue	czerwony	red	hit	n/a
169.0354	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
169.0633	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
170.08	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
170.5967	0.6333	INK	59	Incongruent	czerwony	red	niebieski	blue	hit	n/a
171.2109	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
171.23	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
172.2467	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
172.7634	0.55	INK	60	Neutral	xxxxxxxx	xxxxxxxx	żółty	yellow	hit	n/a
173.2905	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
173.3134	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
174.3301	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
174.8467	0.7667	INK	61	Incongruent	niebieski	blue	zielony	green	hit	n/a
175.594	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
