onset	duration	trial_type	n_back_condition	trial_number	stimulus	response_type
105.7981	1.0167	ISI	n/a	n/a	n/a	n/a
105.8464	n/a	RESPONSE	n/a	n/a	n/a	n/a
106.8148	0.5167	DISTRACTOR	2	18	D	Correct Rejection
107.3314	1.0167	ISI	n/a	n/a	n/a	n/a
108.3481	0.5167	TARGET	2	19	I	Hit
108.8648	1.0167	ISI	n/a	n/a	n/a	n/a
108.9816	n/a	RESPONSE	n/a	n/a	n/a	n/a
109.8815	0.5167	DISTRACTOR	2	20	C	Correct Rejection
110.3981	1.0167	ISI	n/a	n/a	n/a	n/a
111.4148	0.5167	DISTRACTOR	2	21	D	Correct Rejection
111.9315	1.0167	ISI	n/a	n/a	n/a	n/a
112.9482	0.5167	TARGET	2	22	C	Hit
113.4286	n/a	RESPONSE	n/a	n/a	n/a	n/a
113.4648	1.0167	ISI	n/a	n/a	n/a	n/a
114.4815	0.5167	DISTRACTOR	2	23	A	Correct Rejection
114.9982	1.0167	ISI	n/a	n/a	n/a	n/a
116.0149	0.5167	TARGET	2	24	C	Hit
116.4038	n/a	RESPONSE	n/a	n/a	n/a	n/a
116.5315	1.0167	ISI	n/a	n/a	n/a	n/a
117.5482	0.5167	DISTRACTOR	2	25	B	Correct Rejection
118.0649	1.0167	ISI	n/a	n/a	n/a	n/a
119.0816	0.5167	DISTRACTOR	2	26	J	Correct Rejection
119.5983	1.0167	ISI	n/a	n/a	n/a	n/a
120.6149	0.5167	DISTRACTOR	2	27	H	Correct Rejection
121.1316	1.0167	ISI	n/a	n/a	n/a	n/a
122.1483	0.5167	DISTRACTOR	2	28	C	Correct Rejection
122.665	1.0167	ISI	n/a	n/a	n/a	n/a
123.6816	0.5167	DISTRACTOR	2	29	F	Correct Rejection
124.1983	1.0167	ISI	n/a	n/a	n/a	n/a
125.215	0.5167	DISTRACTOR	2	30	A	Correct Rejection
125.7317	1.0167	ISI	n/a	n/a	n/a	n/a
126.7483	0.5167	TARGET	2	31	F	Hit
127.265	1.0167	ISI	n/a	n/a	n/a	n/a
127.3612	n/a	RESPONSE	n/a	n/a	n/a	n/a
128.2817	0.5167	DISTRACTOR	2	32	I	Correct Rejection
128.7984	1.0167	ISI	n/a	n/a	n/a	n/a
129.815	0.5167	DISTRACTOR	2	33	G	Correct Rejection
130.3317	1.0167	ISI	n/a	n/a	n/a	n/a
131.3484	0.5167	DISTRACTOR	2	34	B	Correct Rejection
131.8651	1.0167	ISI	n/a	n/a	n/a	n/a
132.8817	0.5167	DISTRACTOR	2	35	C	Correct Rejection
133.3984	1.0167	ISI	n/a	n/a	n/a	n/a
134.4151	0.5167	DISTRACTOR	2	36	A	Correct Rejection
134.9318	1.0167	ISI	n/a	n/a	n/a	n/a
135.9484	0.5167	DISTRACTOR	2	37	A	Correct Rejection
136.4651	1.0167	ISI	n/a	n/a	n/a	n/a
137.4818	0.5167	DISTRACTOR	2	38	F	Correct Rejection
137.9985	1.0167	ISI	n/a	n/a	n/a	n/a
139.0151	0.5167	DISTRACTOR	2	39	F	Correct Rejection
139.5318	1.0167	ISI	n/a	n/a	n/a	n/a
140.5485	0.5167	DISTRACTOR	2	40	I	Correct Rejection
141.0652	1.0167	ISI	n/a	n/a	n/a	n/a
142.0819	0.5167	DISTRACTOR	2	41	E	Correct Rejection
142.5985	1.0167	ISI	n/a	n/a	n/a	n/a
143.6152	0.5167	DISTRACTOR	2	42	A	Correct Rejection
144.1319	1.0167	ISI	n/a	n/a	n/a	n/a
145.1485	0.5167	DISTRACTOR	2	43	F	Correct Rejection
145.6652	1.0167	ISI	n/a	n/a	n/a	n/a
146.6819	0.5167	DISTRACTOR	2	44	B	Correct Rejection
147.1986	1.0167	ISI	n/a	n/a	n/a	n/a
148.2152	0.5167	DISTRACTOR	2	45	E	Correct Rejection
148.7319	1.0167	ISI	n/a	n/a	n/a	n/a
149.7486	0.5167	DISTRACTOR	2	46	I	Correct Rejection
150.2653	1.0167	ISI	n/a	n/a	n/a	n/a
151.282	0.5167	TARGET	2	47	E	Miss
151.7986	1.0167	ISI	n/a	n/a	n/a	n/a
152.8153	0.5167	DISTRACTOR	2	48	C	Correct Rejection
153.332	1.0167	ISI	n/a	n/a	n/a	n/a
154.3487	0.5167	TARGET	2	49	E	Hit
154.8105	n/a	RESPONSE	n/a	n/a	n/a	n/a
154.8653	1.0167	ISI	n/a	n/a	n/a	n/a
155.882	0.5167	TARGET	2	50	C	Hit
156.2502	n/a	RESPONSE	n/a	n/a	n/a	n/a
156.3987	1.0833	ISI	n/a	n/a	n/a	n/a
163.3365	n/a	RESPONSE	n/a	n/a	n/a	n/a
163.3988	1.0167	ISI	n/a	n/a	n/a	n/a
164.4154	0.5167	DISTRACTOR	3	1	H	Correct Rejection
164.9321	1.0167	ISI	n/a	n/a	n/a	n/a
165.9488	0.5167	DISTRACTOR	3	2	B	Correct Rejection
166.4655	1.0167	ISI	n/a	n/a	n/a	n/a
167.4821	0.5167	DISTRACTOR	3	3	B	Correct Rejection
167.9988	1.0167	ISI	n/a	n/a	n/a	n/a
169.0155	0.5167	TARGET	3	4	H	Hit
169.367	n/a	RESPONSE	n/a	n/a	n/a	n/a
169.5322	1.0167	ISI	n/a	n/a	n/a	n/a
170.5488	0.5167	DISTRACTOR	3	5	J	Correct Rejection
171.0655	1.0167	ISI	n/a	n/a	n/a	n/a
172.0822	0.5167	DISTRACTOR	3	6	G	Correct Rejection
172.5989	1.0167	ISI	n/a	n/a	n/a	n/a
173.6155	0.5167	DISTRACTOR	3	7	I	Correct Rejection
174.1322	1.0167	ISI	n/a	n/a	n/a	n/a
175.1489	0.5167	DISTRACTOR	3	8	G	Correct Rejection
175.6656	1.0167	ISI	n/a	n/a	n/a	n/a
176.6822	0.5167	TARGET	3	9	G	Hit
177.1989	1.0167	ISI	n/a	n/a	n/a	n/a
177.2371	n/a	RESPONSE	n/a	n/a	n/a	n/a
177.4131	n/a	RESPONSE	n/a	n/a	n/a	n/a
178.2156	0.5167	TARGET	3	10	I	Hit
178.7323	1.0167	ISI	n/a	n/a	n/a	n/a
179.1086	n/a	RESPONSE	n/a	n/a	n/a	n/a
179.749	0.5167	DISTRACTOR	3	11	B	Correct Rejection
180.2656	1.0167	ISI	n/a	n/a	n/a	n/a
181.2823	0.5167	DISTRACTOR	3	12	C	Correct Rejection
181.799	1.0167	ISI	n/a	n/a	n/a	n/a
182.8157	0.5167	DISTRACTOR	3	13	B	False Alarm
183.3323	1.0167	ISI	n/a	n/a	n/a	n/a
183.4596	n/a	RESPONSE	n/a	n/a	n/a	n/a
184.349	0.5167	DISTRACTOR	3	14	I	Correct Rejection
184.8657	1.0167	ISI	n/a	n/a	n/a	n/a
185.8824	0.5167	DISTRACTOR	3	15	D	Correct Rejection
186.399	1.0167	ISI	n/a	n/a	n/a	n/a
187.4157	0.5167	DISTRACTOR	3	16	E	Correct Rejection
187.9324	1.0167	ISI	n/a	n/a	n/a	n/a
188.9491	0.5167	DISTRACTOR	3	17	J	Correct Rejection
189.4657	1.0167	ISI	n/a	n/a	n/a	n/a
190.4824	0.5167	DISTRACTOR	3	18	G	Correct Rejection
190.9991	1.0167	ISI	n/a	n/a	n/a	n/a
192.0158	0.5167	DISTRACTOR	3	19	C	Correct Rejection
192.5324	1.0167	ISI	n/a	n/a	n/a	n/a
193.5491	0.5167	DISTRACTOR	3	20	B	Correct Rejection
194.0658	1.0167	ISI	n/a	n/a	n/a	n/a
195.0825	0.5167	DISTRACTOR	3	21	B	Correct Rejection
195.5991	1.0167	ISI	n/a	n/a	n/a	n/a
196.6158	0.5167	DISTRACTOR	3	22	F	Correct Rejection
197.1325	1.0167	ISI	n/a	n/a	n/a	n/a
198.1492	0.5167	DISTRACTOR	3	23	D	False Alarm
198.6658	1.0167	ISI	n/a	n/a	n/a	n/a
198.7999	n/a	RESPONSE	n/a	n/a	n/a	n/a
199.6825	0.5167	TARGET	3	24	B	Hit
200.1992	1.0167	ISI	n/a	n/a	n/a	n/a
200.2555	n/a	RESPONSE	n/a	n/a	n/a	n/a
201.2159	0.5167	DISTRACTOR	3	25	H	Correct Rejection
201.7325	1.0167	ISI	n/a	n/a	n/a	n/a
202.7492	0.5167	DISTRACTOR	3	26	E	Correct Rejection
203.2659	1.0167	ISI	n/a	n/a	n/a	n/a
204.2826	0.5167	DISTRACTOR	3	27	A	Correct Rejection
204.7992	1.0167	ISI	n/a	n/a	n/a	n/a
205.8159	0.5167	DISTRACTOR	3	28	G	Correct Rejection
206.3326	1.0167	ISI	n/a	n/a	n/a	n/a
207.3493	0.5167	TARGET	3	29	E	Hit
207.8659	1.0167	ISI	n/a	n/a	n/a	n/a
207.9816	n/a	RESPONSE	n/a	n/a	n/a	n/a
208.8826	0.5167	DISTRACTOR	3	30	G	False Alarm
209.3993	1.0167	ISI	n/a	n/a	n/a	n/a
209.5013	n/a	RESPONSE	n/a	n/a	n/a	n/a
210.416	0.5167	TARGET	3	31	G	Miss
210.9326	1.0167	ISI	n/a	n/a	n/a	n/a
211.9493	0.5167	DISTRACTOR	3	32	C	Correct Rejection
212.466	1.0167	ISI	n/a	n/a	n/a	n/a
213.4827	0.5167	DISTRACTOR	3	33	C	Correct Rejection
213.9994	1.0167	ISI	n/a	n/a	n/a	n/a
215.016	0.5167	TARGET	3	34	G	Hit
215.5327	1.0167	ISI	n/a	n/a	n/a	n/a
215.5958	n/a	RESPONSE	n/a	n/a	n/a	n/a
216.5494	0.5167	DISTRACTOR	3	35	E	Correct Rejection
217.0661	1.0167	ISI	n/a	n/a	n/a	n/a
218.0827	0.5167	DISTRACTOR	3	36	A	Correct Rejection
218.5994	1.0167	ISI	n/a	n/a	n/a	n/a
219.6161	0.5167	DISTRACTOR	3	37	C	Correct Rejection
220.1328	1.0167	ISI	n/a	n/a	n/a	n/a
221.1494	0.5167	DISTRACTOR	3	38	B	Correct Rejection
221.6661	1.0167	ISI	n/a	n/a	n/a	n/a
222.6828	0.5167	DISTRACTOR	3	39	B	Correct Rejection
223.1995	1.0167	ISI	n/a	n/a	n/a	n/a
224.2161	0.5167	DISTRACTOR	3	40	H	Correct Rejection
224.7328	1.0167	ISI	n/a	n/a	n/a	n/a
225.7495	0.5167	DISTRACTOR	3	41	H	Correct Rejection
226.2662	1.0167	ISI	n/a	n/a	n/a	n/a
227.2828	0.5167	TARGET	3	42	B	Hit
