onset	duration	trial_type	trial_number	stroop_condition	stim_text(PL)	stim_text(eng)	stim_color(PL)	stim_color(eng)	response_type	response_color
0.0	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.0245	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.0412	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.5411	3.5166	T_INK	1	Incongruent	zielony	green	żółty	yellow	hit	n/a
5.0526	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
5.0577	0.5	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5.5577	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6.5577	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.0577	1.8497	T_INK	2	Incongruent	zielony	green	niebieski	blue	hit	n/a
8.89	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
8.9074	0.5003	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
9.4077	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.4076	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.9076	0.9167	T_INK	3	Neutral	xxxxxxxxx	xxxxxxxxx	czerwony	red	hit	n/a
11.8159	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
11.8243	0.5	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
12.3243	1.0166	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13.3409	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13.8409	1.1667	T_INK	4	Incongruent	żółty	yellow	niebieski	blue	hit	n/a
14.9978	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
15.0076	0.5	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
15.5076	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
16.5075	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
17.0075	0.8	T_INK	5	Incongruent	czerwony	red	żółty	yellow	hit	n/a
17.7959	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
17.8075	0.5	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
18.3075	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.3075	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.8075	0.6833	T_INK	6	Neutral	xxxxxxxx	xxxxxxxx	żółty	yellow	hit	n/a
20.4821	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
20.4908	0.5	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
20.9908	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
21.9908	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
22.4908	0.9333	T_INK	7	Incongruent	zielony	green	czerwony	red	hit	n/a
23.4082	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
23.4241	0.5	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
23.9241	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
24.9241	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
25.4241	1.2	T_INK	8	Incongruent	niebieski	blue	zielony	green	hit	n/a
26.606	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
26.624	0.5	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
27.124	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
28.124	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
28.624	0.85	T_INK	9	Neutral	xxxxxxxx	xxxxxxxx	niebieski	blue	hit	n/a
29.468	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
29.474	0.5	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29.974	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
30.9739	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
31.4739	1.9	T_INK	10	Neutral	xxxxx	xxxxx	zielony	green	hit	n/a
33.3693	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
33.3739	0.5	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
33.8739	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
34.8739	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35.3739	1.5833	T_INK	11	Neutral	xxxxxxx	xxxxxxx	niebieski	blue	hit	n/a
36.9509	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
36.9572	0.5	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37.4572	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
38.4571	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
38.9571	0.9167	T_INK	12	Neutral	xxxxxxx	xxxxxxx	żółty	yellow	hit	n/a
39.8609	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
39.8738	0.5	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
40.3738	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
44.4657	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
44.4904	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
45.4904	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
45.9904	1.1666	INK	1	Incongruent	czerwony	red	zielony	green	hit	n/a
47.1519	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
47.157	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
48.157	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
48.657	0.8666	INK	2	Incongruent	żółty	yellow	niebieski	blue	hit	n/a
49.5183	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
49.5236	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
50.5236	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
51.0236	0.45	INK	3	Incongruent	żółty	yellow	czerwony	red	hit	n/a
51.4531	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
51.4736	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
52.4736	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
52.9736	0.7	INK	4	Neutral	xxxxx	xxxxx	czerwony	red	hit	n/a
53.6594	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
53.6736	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
54.6735	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
55.1735	0.8666	INK	5	Incongruent	żółty	yellow	czerwony	red	hit	n/a
56.0259	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
56.0402	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
57.0402	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
57.5401	1.3333	INK	6	Neutral	xxxxx	xxxxx	zielony	green	hit	n/a
58.856	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
58.8735	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
59.8734	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
60.3734	0.8833	INK	7	Incongruent	niebieski	blue	żółty	yellow	hit	n/a
61.2384	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
61.2567	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
62.2567	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
62.7567	0.9666	INK	8	Neutral	xxxxxxx	xxxxxxx	niebieski	blue	hit	n/a
63.7168	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
63.7234	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
64.7234	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
65.2233	0.9833	INK	9	Incongruent	czerwony	red	zielony	green	hit	n/a
66.195	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
66.2066	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
67.2066	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
67.7066	0.8833	INK	10	Neutral	xxxxx	xxxxx	niebieski	blue	hit	n/a
68.5774	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
68.59	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
69.5899	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
70.0899	0.8833	INK	11	Incongruent	żółty	yellow	zielony	green	hit	n/a
70.9597	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
70.9732	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
71.9732	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
72.4732	1.0	INK	12	Neutral	xxxxxxxx	xxxxxxxx	niebieski	blue	hit	n/a
73.4541	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
73.4732	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
74.4732	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
74.9732	0.85	INK	13	Neutral	xxxxxxxxx	xxxxxxxxx	czerwony	red	hit	n/a
75.8044	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
