global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38
445.7521187165536	n/a	n/a	198694.95134029648	477.4457685490872	n/a	n/a	227954.46190542853	373.06191033677527	n/a	n/a	139175.18894412415	373.314114112603	508.5001038381599	n/a	n/a	n/a	n/a	-0.0219035826	0.0262296375	-0.214236967	0.0240872294	-0.0765719643	-0.0783100616	0.0835011641	-0.0904395978	0.0989929209	-0.1325660401	0.0250846206	-0.1301575484	0.345250511	-0.2375799312	0.0452987853	-0.1928288318	0.0776719741	-0.0928536469	0.0729558931	-0.0475426707	0.0333175491	-0.0758318357	0.1102900346	-0.0885982768	0.0713434532	-0.0433819394	0.132803429	-0.2257991049	-0.1208122978	0.2718764157	-0.1764112973	0.2069981431	-0.1067538764	0.0775601638	-0.1120005807	0.1254206358	-0.1699359047	0.0785318361	-0.0084738514	-0.0094736867	0.0690728577	0.0297297999	-0.022068477	0.1513207151	-0.0628309604	0.0300357899	-0.1332483002	0.2398499447	-0.0474987667	0.0984139222	-0.0574348321	0.0891196193	-0.0273773242	0.2058758323	-0.1536097521	0.0266162555	-0.1676012542	0.0132216411	-0.1845412546	-0.1030758177	0.0837977618	-0.0684292291	0.0625011771	-0.0739008559	0.0198154311	0.0684149355	-0.0575916301	0.0077864228	0.011330372	-0.0121317496	-0.0092485021	-0.0753078346	0.1088242499	-0.1279568961	-0.0172207799	0.0806343978	0.0518892095	0.0772434113	-0.0884542509	0.0692190761	0.0282349456	-0.0389058733	0.0100027355	-0.1362566631	0.058621282	-0.1738135501	0.1853737612	-0.0680606479	0.0252473675	-0.2196731904	0.2129210969	-0.1018163918	0.0898017034	-0.2513736867	0.0928709619	-0.0992536247	0.0422091672	-0.1169573933	0.117958503	-0.0046630062	-0.179378161	0.0335157295	0.0342620412	-0.0253642036	0.0726166861	-0.198481569	-0.0345062082	0.117635288	-0.1668504052	0.0180095539	-0.215226144	0.0100187643	-0.0702805551	0.1157352238	-0.325819732	0.110545448	-0.0862019642	0.0976925082	-0.0816882562	0.0282263726	-0.0028498107	-0.0330732553	0.0986628634	-0.067171177	0.0310929912	-0.0752206126	0.0990204365	0.0422003585	-0.0122519024	0.0424526561	0.0707286996	-0.0333750851	-0.0124022225	0.0277153299	0.1138821925	-0.056764864	0.0846575608	-0.0233122041	0.0432911669	-0.0619408503	0.3434869166	-0.0924016251	0.2029432796	-0.0790989719	0.0998894986	-0.1223021611	0.2335704274	-0.4459177281	0.3160677214	-0.0955163377	0.1352382311	-0.3467324402	0.0299546143	0.0832976279	-0.0842721635	0.058594109	0.1054653931	-0.1509895859	0.0408659468	-0.0919372226	0.0903489333	0.0903433624	0.0903340779	0.0903210801	-0.0677094	n/a	n/a	0.00458456284836	-0.370299	n/a	0.137121349401	n/a	-0.074204	n/a	0.005506233616	n/a	-0.017377	n/a	0.000301960129	n/a	-0.000928147	n/a	n/a	8.614568536090001e-07	-0.00159003	n/a	n/a	2.5281954009000005e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
445.12190694329104	-0.6302117732625447	0.3971668791587211	198133.51204083185	483.5164037460976	6.070635197010404	36.85261169518154	233788.11269155925	372.54154803440105	-0.5203623023742239	0.2707769257322032	138787.20501186795	372.8106780052185	511.9676043489678	2.407063	62.12299	1.0676302	0.778807	-0.1220819926	-0.0206833662	-0.1072720801	0.1242816967	0.047189437	-0.0834347022	0.0645037763	-0.1105435187	0.192538447	-0.135342784	0.2024905719	-0.1341672097	0.3544182116	-0.0183695176	0.065873189	-0.1038666628	0.1125843174	-0.0917463057	0.0155191782	-0.0367526605	0.0266316261	-0.1201274649	0.0273066196	-0.0679283342	0.0884918071	0.0457744598	0.0704784625	-0.092349575	-0.0868756872	0.0417104021	0.0053254243	0.1021733379	-0.0524911672	-0.067040911	0.0695741849	-0.0544958611	0.0693719497	0.2032738953	0.0056862778	-0.029686808	-0.1928889314	-0.0136355336	-0.0909303824	-0.1253366721	0.134735729	0.02626773	0.0149386543	-0.0169122388	-0.1944947591	-0.1282786759	-0.0034069552	0.1141814722	-0.0136722263	0.0598260431	0.1034175347	-0.0515947725	-0.007187546	-0.0527013464	0.0696884982	0.0251275125	-0.0520973981	0.0296543917	0.0604082264	0.0702847209	-0.260121468	-0.0363090924	0.0457776203	-0.0128733699	0.1375862664	0.1387886567	0.0232836288	0.1167586329	0.2155026839	-0.1224826523	-0.1218891897	-0.029577367	0.0075375659	0.115371778	-0.0919376566	0.0173392192	0.0196871602	-0.0201854288	0.0117994098	-0.1519898407	-0.0036201622	-0.1063999108	0.1086566162	-0.0811843129	-0.0102230423	-0.1351633902	0.0039769689	-0.0707761995	-0.0443251587	-0.0327072287	0.0281863722	0.0952594098	-0.2201894023	0.1283889395	-0.0437248528	0.0833926786	-0.0016499767	-0.1355515494	-0.0002089503	-0.0743339094	0.0900778929	0.1224183377	0.1386201379	0.0663160529	0.084373424	0.0558759549	0.0145977354	-0.2312251419	0.0193218032	0.0799467618	0.0537166327	0.0584002851	-0.0056536051	-0.0778176719	-0.0020276959	0.0259532373	0.045111678	0.014579113	-0.0280925707	0.0749655267	-0.1145832529	-0.1074726429	-0.1847386169	-0.0965900788	-0.1124585216	0.0131339217	0.1819931454	-0.0096183038	0.0553803019	-0.064836735	0.1221535645	-0.0421283555	0.1205923277	-0.0717143852	0.0213318895	-0.0388809678	0.1021375753	-0.0158682209	0.0757592011	-0.0961064378	-0.0547866345	0.0782024416	-0.0447546684	0.1744316957	-0.0848865188	-0.0467695412	-0.0186724006	0.0716379277	0.1675640471	-0.1600317624	0.1887062699	0.1256457205	-0.104960312	0.0768152407	-0.067323338	-0.0240320584	0.0903340779	0.0902839469	0.0902004158	0.0900835156	-0.0838604	-0.016151	0.000260854801	0.00703256668816	-0.163209	0.20709	0.0266371776809999	0.0428862681	-0.167385	-0.093181	0.028017738225	0.008682698761	-0.00352482	0.01385218	1.24243560324e-05	0.0001918828907524	-0.000238063	0.000690084	4.762159270560001e-07	5.6673991969e-08	-0.00110813	0.0004819	2.3222761000000013e-07	1.2279520968999998e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
445.0546684110597	-0.0672385322313289	0.0045210202166234	198073.65787447832	467.0364893362032	-16.479914409894377	271.58757895744435	218123.08237148545	372.7776964838234	0.2361484494223305	0.0557660901645709	138963.21099578554	372.689596799382	503.5359751700439	1.606415	41.459354	0.19414105	0.0979908	-0.1231301017	-0.038756586	-0.0446924134	0.0647854756	0.0329519409	-0.0869055994	0.0047987438	-0.0923178589	0.0600098952	-0.0260348068	-0.0090722204	-0.1322645891	-0.0430936166	-0.0283918588	0.0334205097	-0.0576040325	0.0923452068	-0.0896731542	0.032570918	0.0587159191	0.0221533235	0.0702178751	0.0312866544	-0.0720328784	0.0654888545	0.081872136	0.0083986411	-0.039182179	-0.0355913784	0.0654502723	-0.0861055698	0.0711549065	-0.1272223768	0.0502538148	0.150151151	-0.0056105642	0.0123378256	0.1771969447	0.0157741211	-0.1843138318	-0.1233172509	-0.0813233715	-0.0493528704	-0.1918753049	0.0249379344	-0.0931187014	0.1411965326	-0.0458269123	0.0888066542	-0.181439923	-0.0187516516	-0.0627114435	0.0924769893	0.1056263543	-0.0170605839	-0.1150948582	-0.0588531797	-0.0612315018	-0.1037630132	0.2216402688	0.041275461	0.0635094322	-0.1289728108	-0.0298133549	0.0636495481	-0.0430893055	0.009316194	0.0623953576	-0.1254401798	-0.1315719801	0.0421097278	-0.0178141098	-0.1302639666	0.1312368196	0.0568259623	-0.1339049719	-0.070779026	0.09523514	-0.0893856189	0.0297849999	-0.056516836	-0.0187497926	-0.0446991637	0.0332862012	0.0193386617	-0.1075684612	0.0725801734	-0.0725340791	-0.0502166522	-0.0538509281	0.0034460237	-0.0672102907	0.0184721427	-0.1138145349	0.1194164248	0.1742500887	-0.1092739304	0.0506032515	-0.0070851196	0.0017682297	-0.0448918692	-0.063732142	-0.1105190951	-0.1207199577	0.0709311354	0.2282684805	-0.0292497035	-0.0994754546	0.0874394442	-0.0240288937	0.2054633156	-0.0236126534	-0.1000895185	-0.10570265	-0.0489806738	0.1607256416	-0.0735589589	-0.0814630531	-0.1481736116	0.1735452668	-0.1046963402	0.1220728442	-0.0244595193	-0.1511544994	0.0616244546	0.1515840851	-0.008398766	0.0395849893	-0.00479517	0.045870665	-0.1256639274	-0.0382183591	-0.0287285124	-0.007042077	-0.1209804367	0.1286818993	0.1170624239	-0.0686551972	0.0119804374	-0.0284021154	0.0277774439	0.0078855201	0.0322145171	-0.0378492567	0.0386243755	0.0073439852	-0.0193870326	-0.0966417684	0.0427503658	-0.1390611358	0.055992093	-0.111604815	0.1659554224	-0.0761813005	0.089033451	0.1136017604	-0.1032239843	0.1334731891	-0.0482351755	-0.0712092152	0.0903043695	0.0901651549	0.0899332895	0.0896090116	-0.0661388	0.0177216	0.00031405510656	0.00437434086544	-0.17701	-0.013801	0.0313325401	0.000190467601	-0.111499	0.055886	0.012432027001	0.003123244996	-0.00447391	-0.00094909	2.00158706881e-05	9.007718281000002e-07	-0.00114527	-0.000907207	8.230245408490003e-07	1.3116433729000003e-06	-0.000829778	0.0002783519999999	7.747983590399996e-08	6.88531529284e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
443.3368308057	-1.7178376053597049	2.950966038387965	196547.54554884188	472.0712048381778	5.034715501974574	25.34836018582309	222851.2224373688	372.0094622731556	-0.7682342106677993	0.5901838024403766	138391.04002076236	372.17844761359066	504.2763515611617	1.389241	35.854408	0.1577013	0.0727272	-0.1199294296	-0.0056314135	-0.0969617422	0.1080803529	0.0079895839	-0.0978941215	-0.0113237316	-0.1168291614	0.0804444391	0.0280099406	0.0732899875	-0.0290952439	0.0823897871	0.0048508514	0.0495288368	0.0253394766	0.1321013349	-0.0714124595	-0.0081953306	-0.0078467626	0.0130525418	-0.0856042151	-0.0077861417	-0.0751007681	0.1169974048	0.0454090764	-0.0578285195	0.0654295413	-0.1036105359	0.1145778938	-0.0988874199	0.0359140681	-0.0659333845	0.0487906813	0.0316662225	-0.1520455256	0.0645008985	0.0117548765	-0.0811284078	-0.0079040537	-0.0448282565	-0.105461705	0.0256566666	-0.2022070124	-0.1332297077	-0.019171921	0.0880611466	-0.0722755315	0.0667181617	0.1307107855	0.1454376589	-0.0040718538	0.024289959	-0.0423115437	-0.0419148506	0.0806304476	0.0825510941	0.2419000911	0.1694882932	-0.1020310808	-0.0846965394	-0.1046919207	-0.1001254176	-0.1203844775	0.0283086399	0.132991941	0.037594091	0.0103831718	-0.1077905612	0.0082486111	-0.0854613913	-0.0340332827	-0.0045314275	0.0336423857	-0.1136459418	-0.0087228902	-0.0318741905	0.1335930267	-0.0733435503	-0.0020837313	0.0018828673	-0.0112426389	-0.0590488701	-0.1300776228	-0.0575600815	-0.1158990908	-0.0344118401	-0.0035654105	0.0143972571	-0.037769547	-0.0349065054	-0.0637859074	-0.0032941687	-0.1292297309	0.0368939222	0.0822626638	-0.0365129043	0.21087305	-0.0034708536	0.0823123928	0.0195541056	0.0239788652	-0.0070875816	-0.0704505284	-0.028111925	0.1806896269	-0.0975687612	-0.1410995918	0.0393503075	0.0915279137	-0.0604370248	0.0937240125	-0.1087850556	-0.046565512	0.0528727874	-0.2276608415	0.1929672027	0.0456871174	0.1500693045	0.0258675829	0.0887885933	-0.094684022	0.0694445138	-0.0600813489	-0.0771876058	-0.0294623225	0.1967449814	-0.0585071073	0.1200564791	0.0604721473	-0.0443024084	0.0425342878	-0.0465071336	-0.0193648714	-0.0504598516	-0.1008033012	0.1167274996	-0.0648307175	0.018075839	-0.0255591766	0.0929839263	-0.0226359924	0.0880730977	-0.1136404135	-0.0738865785	-0.0051059732	-0.0508756703	0.1772592367	-0.0010621283	-0.0018274878	0.0164725671	0.020908423	0.1204444932	-0.1000808642	0.1751273889	0.1454271992	-0.0692897237	0.0362646504	-0.0627207511	-0.0184085577	0.0902598131	0.0899870646	0.0895330941	0.0888988159	-0.0776491	-0.0115103	0.00013248700609	0.00602938273081	-0.149598	0.0274119999999999	0.022379561604	0.0007514177439999	-0.0711701	0.0403289	0.00506518313401	0.00162642017521	-0.00392905	0.00054486	1.5437433902499998e-05	2.968724196000003e-07	-0.000247164	0.000898106	8.065943872360001e-07	6.109004289600002e-08	-0.000955814	-0.000126036	1.5885073296000014e-08	9.13580402596e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
445.13455130307534	1.7977204973753371	3.2317989866834305	198144.7687637902	465.4861589729363	-6.585045865241455	43.36282904733358	216677.3641953777	372.856054353853	0.8465920806974054	0.7167181510995623	139021.63726832336	372.44987358545	496.76767230934433	1.462996	37.757915	0.16987345	0.0851916999999999	-0.1251654779	-0.0056342166	-0.0485231096	0.0553068628	0.0340573303	-0.0855942235	-0.0697805165	-0.0488469172	0.0459192358	-0.0107372499	-0.087373251	0.0683467711	-0.0539977187	0.0904553268	-0.0136790761	-0.0738278247	0.1037534365	-0.0926370715	-0.0113119137	0.0414923439	0.1160994875	0.0515260452	0.0027293674	-0.0818128926	0.0008794122	-0.0299469546	0.0174179733	-0.0695885453	-0.0946262738	0.0714631434	-0.0760501228	0.1529143707	-0.0779359253	0.0820463988	0.1555881544	0.1780322765	0.2189722852	-0.1993256304	0.1348214252	0.0010124361	0.0715154714	-0.1779300205	0.1589386806	0.1074135199	0.0335290778	-0.2636828383	-0.1554092809	-0.0125840744	-0.0755006793	0.1158405771	0.0780251206	-0.1434413266	-0.0220656481	-0.0492957462	0.0613801602	0.0118602914	0.0302415235	-0.0359615583	-0.0052255597	0.0813318405	-0.1498726797	0.1185343781	0.0813103632	-0.0055935538	-0.0500486485	0.0026392891	0.0515783626	0.0726592787	-0.0129888664	0.0106213111	0.1589068187	0.0752121374	-0.0799882387	-0.0437490826	0.0924518348	0.0605587601	-0.0065132137	0.1034291895	-0.0890478533	-0.0215032292	-0.0430487492	-0.1094169197	-0.0806846737	0.03837465	-0.0035882922	-0.0122630843	0.0694533497	-0.0185037469	0.0445514007	-0.1247883657	0.019100727	-0.0279705029	0.0939628059	-0.1191621592	0.0630138001	0.1752788527	0.0471146012	-0.0744419834	-0.0430029932	-0.1793576405	0.1036860929	0.3359649124	0.1916728556	-0.2002104248	0.0357780905	-0.0059157395	-0.1338433537	0.0534759544	-0.0859416598	-0.2158632102	-0.0538370875	-0.0069848986	0.1332526707	-0.0986738368	0.1264953534	-0.0205809151	0.0689701597	0.0128109433	-0.0148197988	-0.0313290427	-0.0481509176	0.1230524426	-0.0307873868	0.1287230964	-0.1179192667	0.0104275277	-0.0127976577	-0.0643554295	-0.044707386	-0.0760838188	0.0142532643	0.1341038121	-0.1137143721	0.0459720266	-0.0345680722	0.1065098769	0.1161937622	-0.0718972536	-0.0019585846	-0.0159003344	-0.0044355825	0.036140183	0.0279392505	-0.0411029064	-0.0086722391	-0.0540954696	-0.0381123511	-0.0751290833	0.1887971454	-0.1531249298	0.147761804	-0.1418347756	0.1812774088	-0.0243356199	0.0940365035	0.1982134915	-0.0432561074	0.0201710194	-0.09310206	-0.0484675152	0.0902004158	0.089749793	0.0890004218	0.0879547967	-0.0661332	0.0115158999999999	0.0001326159528099	0.00437360014224	-0.121947	0.027651	0.014871070809	0.000764577801	-0.0164958	0.0546742999999999	0.00027211141764	0.0029892790804899	-0.00484065	-0.0009116	2.34318924225e-05	8.310145600000005e-07	-0.000721285	-0.000474121	2.24790722641e-07	5.202520512250001e-07	-0.00082089	0.000134924	1.8204485776000008e-08	6.738603921e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
438.5962009785176	-6.5383503245577685	42.75002496664468	192366.62751278817	466.9168707867886	1.4307118138522696	2.0469362942964517	218011.36422532663	369.65278697556033	-3.203267378292651	10.260921896833873	136643.182918799	369.8455381958108	497.16964612391786	2.619306	67.600677	0.7647303500000001	0.442689	-0.0659904742	0.037219261	-0.1947035211	0.1149856762	-0.1143754963	-0.1388944224	-0.0398769559	-0.1131340929	0.0167568008	0.1837686083	0.1336299346	-0.0421257885	0.1657412574	-0.1152097085	0.110306554	0.2121202608	0.142378463	-0.0378723929	-0.038466321	-0.214150697	-0.3022265981	-0.451101049	0.0350471112	-0.1683345156	0.2408392183	-0.0888374555	-0.1089363319	0.2572648695	0.2220459824	0.0159604937	0.053553011	-0.0062180629	0.0595893847	0.0493439201	0.0936424383	0.0020784623	-0.1030937022	-0.0620075405	-0.1505613488	0.0402403702	-0.0035453729	-0.0139056919	0.0237610096	-0.0002705512	0.0090061047	0.0419605243	-0.1174178565	0.0228402835	0.0075578257	0.0172191595	-0.0135166119	-0.0702144444	0.003651104	-0.068350049	0.0069985211	-0.0050471982	-0.0543164481	-0.046010757	-0.0679416496	0.0393711046	0.0233808735	0.1165367436	-0.0010456076	0.0596555703	0.1146069639	-0.0695285575	0.0871258836	-0.0194794671	0.0146447025	-0.0415293551	0.067949168	0.0307138691	-0.0190466905	0.0741672883	-0.0321388602	-0.0702408733	0.0293158277	0.1411870284	-0.0463660882	-0.0210326899	0.2149596848	0.2589141471	-0.0274165876	-0.5088795539	-0.1289711746	-0.0993752519	-0.1012368855	0.1921900766	-0.1267978926	0.2485164834	-0.13184399	-0.0617285409	0.0972142695	0.0841101409	-0.0520281977	0.1259775471	0.1047497122	-0.0021444623	0.0758553325	0.1269380993	0.0068731016	-0.0052261143	-0.0231696241	-0.0120064775	-0.0834476616	-0.0756616804	0.0204933078	0.1085743933	-0.0845501534	-0.0514382856	0.000763385	0.0405510256	0.0411983395	-0.0631448339	-0.0023800192	0.0037052613	-0.0541566764	0.0843060077	-0.0711260441	-0.0175796325	-0.0185565939	0.0181503343	-0.0187109865	0.051785936	0.0961840233	0.1821010632	-0.0615746543	-0.0413393301	-0.0472195608	-0.0440339408	-0.0105263477	-0.0490243523	-0.034865425	-0.0611467961	-0.0352637795	0.0519122428	0.0971140248	-0.0428458033	0.0366628793	-0.0532979079	0.3612945919	-0.0861718387	0.2212013194	-0.2108899234	-0.1393529468	-0.0335031559	0.0310361133	0.2923181077	-0.0482413028	0.3600332095	-0.0533709037	0.1939629421	0.0507886652	-0.0702847317	0.1753540471	-0.0068808665	0.1014532089	-0.2054144837	0.0092196743	0.027661022	0.0901261876	0.0894534963	0.0883360609	0.0867794369	-0.0856578	-0.0195246	0.00038121000516	0.00733725870084	-0.33061	-0.208663	0.1093029721	0.043540247569	-0.158701	-0.1422052	0.025186007401	0.02022231890704	-0.0117458	-0.00690515	0.00013796381764	4.768109652250001e-05	0.000250249	0.000971534	9.43878313156e-07	6.262456200100002e-08	-0.000830957	-1.0066999999999995e-05	1.0134448899999993e-10	6.90489535849e-07	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
