onset	duration	trial_type	braille_stimulus	targets	response_count
2.015	2.008	CUE_6_DOT	n/a	n/a	n/a
7.015	1.008	FIXCROSS	n/a	n/a	n/a
8.031	5.008	6_DOT_DETECTION	ŁKTMO	0	n/a
13.065	1.008	FIXCROSS	n/a	n/a	n/a
14.081	5.008	6_DOT_DETECTION	CKBPD	0	n/a
19.115	1.008	FIXCROSS	n/a	n/a	n/a
20.132	5.008	6_DOT_DETECTION	#TAK#	2	n/a
22.0	n/a	RESPONSE	n/a	n/a	1/2
23.984	n/a	RESPONSE	n/a	n/a	2/2
25.165	1.008	FIXCROSS	n/a	n/a	n/a
26.182	5.008	6_DOT_DETECTION	DBA#Y	1	n/a
29.104	n/a	RESPONSE	n/a	n/a	1/1
31.215	1.008	FIXCROSS	n/a	n/a	n/a
32.231	5.008	6_DOT_DETECTION	LDEAC	0	n/a
37.265	1.008	FIXCROSS	n/a	n/a	n/a
38.282	5.008	6_DOT_DETECTION	ŁMLSI	0	n/a
43.315	1.008	FIXCROSS	n/a	n/a	n/a
44.332	5.008	6_DOT_DETECTION	ULI#Ł	1	n/a
47.224	n/a	RESPONSE	n/a	n/a	1/1
49.365	1.008	FIXCROSS	n/a	n/a	n/a
50.382	5.008	6_DOT_DETECTION	K#SET	1	n/a
52.56	n/a	RESPONSE	n/a	n/a	1/1
57.423	2.008	CUE_REST	n/a	n/a	n/a
62.423	1.008	FIXCROSS	n/a	n/a	n/a
68.473	1.008	FIXCROSS	n/a	n/a	n/a
75.532	2.008	CUE_6_DOT	n/a	n/a	n/a
80.532	1.008	FIXCROSS	n/a	n/a	n/a
81.548	5.008	6_DOT_DETECTION	DLPOO	0	n/a
86.582	1.008	FIXCROSS	n/a	n/a	n/a
87.598	5.008	6_DOT_DETECTION	LDABD	0	n/a
92.632	1.008	FIXCROSS	n/a	n/a	n/a
93.648	5.008	6_DOT_DETECTION	OSA#U	1	n/a
96.24	n/a	RESPONSE	n/a	n/a	1/1
98.682	1.008	FIXCROSS	n/a	n/a	n/a
99.698	5.008	6_DOT_DETECTION	LEK##	2	n/a
102.16	n/a	RESPONSE	n/a	n/a	1/2
