global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
581.1268515491472	n/a	n/a	337708.4175914246	637.7275792250662	n/a	n/a	406696.4653042631	476.3625127316429	n/a	226921.24353600465	n/a	474.909466926592	628.679554867718	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0406508	n/a	n/a	0.00165248754064	-0.0538738	n/a	n/a	0.00290238632644	-0.0608913	n/a	0.00370775041569	n/a	-0.000386763	n/a	n/a	1.49585618169e-07	0.000196467	n/a	n/a	3.8599282089e-08	0.0007411969999999	n/a	n/a	5.493729928088517e-07
578.5251233681721	-2.601728180975101	6.7689895276800085	334691.3183681588	615.7556875083311	-21.97189171673506	482.76402561193066	379155.0666988575	475.3104367007301	-1.052076030912758	225920.0112366388	1.1068639748211428	473.82674133203113	613.8888793588345	1.255318	31.40118	0.072106	0.035267	-0.0685119126	0.0728732822	-0.0060986894	0.0873417798	-0.0802545822	0.021818413	-0.0602866746	0.0547883203	-0.1202145354	0.0747927433	-0.1393614464	0.0052119624	-0.0059581789	0.060107498	-0.05723505	0.0417408281	-0.0004534663	0.0741495807	-0.0473113983	0.0052713847	0.0544963362	-0.0252180245	0.0037578433	-0.0717809552	-0.0871501017	0.003217249	-0.0786598063	0.0514476717	-0.0189212403	0.0148391307	-0.0225317027	0.0019752143	-0.0209052496	0.0263870782	0.0769140864	0.0230916308	-0.0703815143	0.0296249723	-0.0279971416	0.0870185496	-0.0123947924	0.0322520303	-0.034319468	0.0196123227	-0.0697113306	0.0630148488	-0.0057090969	0.0311022128	-0.0103034248	0.0958070049	-0.0438605566	0.035879659	-0.0004855466	-0.010637622	0.046263741	-0.1175962817	-0.0108889494	0.0078572477	0.098070828	-0.0262785401	0.018986198	0.022076217	-0.1140613073	-0.0811938604	0.0458005378	-0.0327692797	-0.0339034952	0.0386557698	-0.0885540612	-0.0116875429	-0.0185114487	0.0339831232	-0.0551156855	-0.0375095793	0.0381645425	0.0363309474	0.0907040427	-0.0646624736	-0.0161638857	-0.1364418291	0.0623961937	0.0461250039	-0.0734214185	-0.0232202387	-0.0278133313	0.0455602392	0.0037262315	-0.0287300675	-0.0706909273	0.0408510595	0.0131112353	0.1045733009	-0.0497870875	-0.0667553466	-0.0398928514	0.0459967175	0.0159845578	0.029343095	-0.1382350939	-0.0781955699	0.0750346825	-0.0454555011	0.01113077	0.0577268072	-0.0277713035	0.0036729339	-0.0706977905	0.0877461264	0.0338978118	-0.0881761672	0.0171679583	-0.0532658612	0.0028735971	-0.0240532107	0.0010355401	-0.0321438911	0.0452463136	-0.0395310461	0.0065489809	-0.0729785387	0.0175264118	-0.0153869885	0.0927041137	-0.0005110456	0.0267889623	-0.0290133768	0.0088894462	-0.0521122195	0.0868765758	-0.0256853478	0.0310919129	-0.0330753336	0.0944412496	-0.0459574039	0.0165393917	-0.0514830157	0.0129271682	0.0655498377	-0.1044832371	0.0146958774	0.0068881353	-0.0833989149	-0.0098447389	0.0266768497	-0.0610121505	-0.1256932923	0.0595470794	-0.0307460077	-0.0158404139	-0.0333986453	0.0383938808	-0.0314627501	-0.0840241408	0.0132725601	0.0332192814	0.0456807576	-0.077168168	0.0106084904	0.0528067652	-0.0705150439	-0.0635720963	-0.0061508673	0.039875686	0.1345539627	-0.0505931755	-0.0339646657	-0.0019418673	0.0866048805	0.0078080248	0.027323627	-0.0331982479	-0.0103708104	0.0562770459	0.043270809	0.0457727881	-0.1086692654	-0.0310837638	-0.0511126058	0.0112987339	0.0012360168	0.0889411872	-0.0321471682	-0.0934146802	0.1247728842	-0.0765319706	0.0108500908	-0.0750308535	0.0684352531	-0.0334910136	0.0023089153	-0.054728091	0.0499718275	-0.1659489882	0.0362447997	-0.0485160088	0.0489544329	-0.0087369977	0.0582940762	-0.0016543258	-0.0736506095	0.0447387062	0.0692451836	-0.1019116098	0.0449792653	-0.0368903943	0.1731172835	-0.1555009976	0.09053387	0.0905282418	0.0905188619	0.0905057305	0.0	0.035225	-0.0054258	2.9439305640000017e-05	0.001240800625	-0.0337344	0.0201394	0.00040559543236	0.0011380097433599	-0.0831246999999999	-0.0222333999999998	0.0069097157500899	0.0004943240755599	-0.000408267	-2.1504000000000043e-05	4.624220160000019e-10	1.6668194328900006e-07	0.000327116	0.000130649	1.7069161201000006e-08	1.0700487745600003e-07	0.000407202	-0.0003339949999999	1.115526600249332e-07	1.65813468804e-07
577.8651092425266	-0.660014125645489	0.4356186460515793	333928.0844798772	615.0663598838851	-0.6893276244460367	0.4751725738244162	378306.6270608128	475.9099611017136	0.599524400983455	226490.2910758345	0.3594295073745706	474.4293336789292	612.4445879588756	1.19758	29.956877	0.133996365	0.0821743	-0.0232618154	-0.0812610879	0.0772200994	0.0982150508	-0.0715874546	0.0717771164	0.0848990574	0.0236151651	0.0521291793	0.0789107013	-0.1316257766	0.132818006	0.0873039265	-0.0233692615	-0.038214174	0.0151756821	-0.0102095677	-0.0333139116	0.0065327647	-0.0861796226	0.0279910691	-0.1163028613	0.0300699611	-0.052166124	-0.1518167375	-0.0914045143	-0.0877221975	-0.0809500137	0.0501749275	0.0842149657	-0.0591538106	0.0284890836	0.0434215	-0.0555499897	-0.0790333397	0.1160461511	0.0308327384	-0.011429048	-0.0141971261	-0.116026925	-0.0447688829	0.0017982202	0.067832722	0.0229809889	-0.0770614201	0.0395476585	-0.0778532786	-0.0579111627	-0.0304376534	-0.0437975362	-0.0384258093	-0.0381017974	0.0733572324	-0.0597219408	0.1107094494	-0.0079821744	0.052773187	-0.0557197274	0.043540122	0.0102981483	-0.0079821393	0.0654549343	0.0505204937	-0.0759450472	-0.0989670637	-0.0398568465	0.0223253624	-0.0404141075	-0.0394510302	0.0358883732	0.0315521411	0.0322757691	-0.012416708	0.0762605273	-0.0122085471	0.0168813606	0.0769062714	0.1176398369	0.0672749688	0.1840047965	0.0481374238	-0.0275195629	-0.1193011227	-0.0450925401	-0.0457795835	-0.06020613	-0.0683080308	-0.011632115	-0.0302696195	-0.0272071325	-0.0016669152	0.0973394599	0.0269191519	0.0109576921	0.0624692932	0.0058525006	-0.0370401654	0.1614073541	0.0090348992	0.0639273162	-0.0349605495	0.0026700964	-0.0906842058	0.0287236269	-0.1205051472	-0.022025114	-0.0575746301	0.1543230786	-0.0605704484	-0.0987567616	-0.0529257819	0.0664733271	-0.1096756775	-0.047364486	0.0351111201	0.0472870294	-0.0622184038	0.0520331925	0.1218575707	0.0114241667	-0.0095000928	-0.0369827285	-0.1050964954	0.0644266392	-0.071853407	0.0023010498	-0.0103277409	-0.0137781803	0.0846331794	-0.0300843647	0.049672698	0.0785322481	-0.0559319424	-0.0253796961	-0.0106817707	-0.025433784	0.1114247156	0.0878800282	0.0143832746	0.0739787238	-0.0806268586	-0.0059353611	0.0174809084	0.0215684834	-0.0667917068	0.0486966988	0.0308289951	0.0570657245	0.0938631041	0.0044286179	-0.0521807431	-0.035445585	-0.0076790041	-0.0185219496	0.0509473382	0.0308993843	0.0350939249	0.0619365012	-0.0106441089	-0.046704052	0.0489814969	0.1298976202	-0.0861144124	-0.0937742221	0.1113840194	-0.1699906595	-0.0266930319	-0.0215099435	0.0400170819	-0.0151024543	-0.0097273813	0.0038008708	-0.015508122	0.041585155	0.0509779276	-0.0741814019	0.0416385634	-0.03180062	0.0347364055	0.1038119006	0.1132479923	0.093752678	0.0120001857	-0.0248593767	0.058531917	0.0622069481	-0.1302215675	0.0801456504	-0.0795134073	0.1078804061	-0.0520652022	0.0412208564	-0.1043687743	-0.1067598269	0.0379398397	0.0533642428	0.0146810714	0.0526880495	0.0207070651	-0.0720729523	0.0753469089	0.0332117981	0.0158485367	0.1556084168	-0.0526881827	0.0596844059	-0.050848023	0.0905188619	0.0904682157	0.0903838265	0.0902657256	0.0	0.0333331	-0.0018919	3.579285610000007e-06	0.0011110955556099	-0.0789821	-0.0452477	0.00204735435529	0.00623817212041	-0.0181865	0.0649381999999998	0.00033074878225	0.0042169698192399	-7.97907e-05	0.0003284763	1.0789667966169e-07	6.36655580649e-09	0.000251549	-7.556700000000002e-05	5.710371489000003e-09	6.3276899401e-08	0.00044153	3.4327999999999974e-05	1.1784115839999982e-09	1.9494874090000003e-07
576.094974384252	-1.7701348582745595	3.133377416478695	331885.419510792	608.1866082454615	-6.879751638423613	47.33098260639239	369890.9504491184	474.9610320550828	-0.9489290466307808	225587.9819708294	0.9004663355396024	473.4486779434136	605.0150080394508	1.203374	30.101812	0.117535265	0.0704	0.0729442043	0.0475736721	0.1067233618	0.0944843939	0.024516193	-0.0662616847	0.0176838509	0.1365741374	-0.0012461206	-0.0164041563	-0.0525411723	0.0425794412	0.0951715031	-0.0646111835	0.0207047341	-0.0044673329	0.0249960723	0.0589511977	0.022354344	0.0860075332	0.1026294965	0.0012739869	-0.0011931839	-0.0081478696	-0.0835877907	-0.1244806163	-0.1243045741	-0.1240732195	-0.0449706056	0.0122544754	-0.0292180145	0.0089080213	0.0092584215	-0.0354667061	-0.0799399656	0.0310956461	-0.0815725938	0.0300342052	-0.0594267885	-0.1732449749	0.0042353712	-0.0689539392	-0.066119688	0.0385548912	-0.0253485337	-0.091875173	0.0576629848	0.0347923765	-0.0045759969	0.0211060102	-0.0781971157	-0.0001843089	-0.0500979822	-0.0296721641	-0.0127457278	0.1128283588	0.0726822174	0.0319609976	0.0625097751	-0.1007243422	0.0384357825	-0.0525259137	-0.1122822656	-0.0038651659	0.0211729443	-0.0116618846	-0.0022037616	-0.091471336	-0.0267566644	0.0200959201	-0.0275054936	-0.105638239	0.0179465027	-0.0469092708	-0.0399052591	-0.0402219415	-0.0111389071	-0.1208193927	-0.0777206908	0.0232131568	0.0146580556	0.0381143875	-0.0983484311	0.0293312047	-0.0818653186	0.0331318545	-0.0508993408	0.0237555447	-0.0198447167	-0.0335392979	-0.0544603419	-0.0291895371	0.0388267425	0.0546388317	0.1294602299	-0.0012902419	0.1024142184	-0.0800916907	0.0741612961	-0.0710652066	0.053837186	0.0261787826	0.079584234	0.1098743158	0.0020253178	0.0015032966	-0.0075113781	0.0847387097	-0.1080822824	-0.1300909362	-0.1193088765	0.014081764	-0.0452957554	-0.0272458369	0.0349463363	0.0410879583	-0.0791060013	0.0882645878	0.00167266	-0.1175782899	0.0301095578	-0.0859220395	-0.1272582162	0.0413623318	0.0695192582	0.0662790633	-0.0431226966	0.0992515278	0.0090299527	0.0288952402	-0.0229531189	-0.0280636809	0.046556641	-0.0898623227	-0.0311538475	-0.0391032753	-0.0339889799	-0.0380695974	0.1259777703	0.0758895015	0.0244481394	-0.0620032018	-0.0809381003	-0.0166945688	0.0064995006	-0.1133358321	0.0120683132	0.0011449621	-0.0590591217	-0.0216870741	-0.072778044	-0.0031699444	-0.0293191231	0.023733408	-0.1045330373	0.0010971308	0.0075934928	-0.0798431778	-0.0199178915	-0.0566404384	0.011775634	-0.1145633497	-0.0140569382	0.0320317356	0.0430863757	-0.0590335995	-0.0963312633	0.071225329	0.0825295304	-0.021742603	0.0179557555	-0.0136142744	-0.0036905688	0.0429920433	-0.0217028627	0.0361526413	0.132436981	0.0276031113	-0.1038068837	-0.0036698271	-0.1161685001	0.0285622756	-0.0223613507	0.0699927893	0.0015621922	-0.0879051132	-0.0777134109	0.063538051	-0.0465048242	0.1422028466	0.0571350846	0.0380140443	-0.0329208059	0.0385388689	0.004833552	0.0397773983	-0.0375773871	0.0742577288	0.0212945719	0.0254956907	-0.0391083212	-0.0439938354	-0.0433695412	0.0023176708	-0.1122536516	0.1519284822	-0.0639125884	0.0904888482	0.0903482033	0.0901139571	0.0897863522	0.0	0.0206902	-0.0126428999999999	0.0001598429204099	0.0004280843760399	-0.0157485	0.0632336	0.00399848816896	0.0002480152522499	-0.0366382	-0.0184517	0.00134235769924	0.00034046523289	-0.000408267	-0.0003284763	1.0789667966169e-07	1.6668194328900006e-07	0.000305808	5.425900000000002e-05	2.9440390810000024e-09	9.351853286400001e-08	0.000522936	8.140600000000001e-05	6.626936836000002e-09	2.73462060096e-07
576.8608870473473	0.7659126630952642	0.5866222074896796	332768.4830050524	606.6160765646022	-1.5705316808592895	2.466569760582706	367983.0643466313	475.475112894694	0.5140808396112106	226076.58298222203	0.2642791096553673	473.9284850323057	597.6050715319737	1.185888	29.66441	0.09781697	0.0557304	-0.0850204546	-0.0118014353	0.0923023702	0.0425134529	0.0994147329	0.1028935786	-0.0217282515	0.1093756418	0.0558144853	-0.0498780265	-0.027457149	-0.056865565	0.0321028061	-0.0596042935	-0.0093692896	0.0039363813	0.0586409089	-0.0187730645	-0.0530940082	-0.0463891898	0.0056199983	0.0172575077	-0.0160088027	-0.0310054708	0.0019895731	-0.0340653792	-0.1744960709	-0.0465129764	-0.0069135268	-0.0076831698	0.0680912742	-0.0083986533	-0.0797261862	-0.109655346	0.0149053424	0.0159235931	-0.0206276818	-0.0205141788	-0.0285182732	-0.0020878876	0.0209638413	-0.0214743386	-0.070441913	-0.0833167056	-0.0143379273	0.0765477279	0.0555956937	-0.0214654747	0.0088019349	0.1350550027	-0.1348608744	0.0363072401	0.0640809109	-0.0083455575	-0.0340522255	0.036232175	0.0287653784	0.0060884889	-0.0014321264	0.1070945615	0.0051086694	0.092755381	-0.1232445383	0.0376221276	0.1292843802	-0.0347394457	-0.0254182707	0.0166118392	0.1527788412	-0.1628525642	-0.0192916913	0.1280299546	-0.0292428236	0.0033771612	-0.0562084886	-0.0209254412	0.0423633907	-0.1845194556	0.0132400028	-0.0685200643	-0.0450554171	-0.060156648	0.0204301797	-0.1086684031	-0.044134916	0.0228109832	-0.1452388977	-0.0016476542	-0.0956787336	0.0929923741	-0.0407239343	-0.0255773121	0.1036325657	0.0434085258	-0.0069343047	0.0430539269	0.1051462733	0.0868821626	-0.0099073044	0.0497787297	-0.0114783233	-0.0548085313	-0.0538394477	0.0003755807	0.0126579267	0.0176570059	-0.020721743	-0.0011849684	-0.0041822506	-0.1690397789	-0.0846430254	0.0147572817	-0.0083761413	0.0633568635	-0.0116491116	-0.0459478021	-0.0943965682	-0.0628404448	0.0143337353	-0.0252591656	-0.0145720427	-0.0071899843	-0.0041742423	-0.0270584594	0.0962191925	0.0399780208	0.0494551017	-0.0895441884	-0.0057979641	0.0521842043	0.1087043545	-0.0714850151	0.0781827399	-0.1425067907	0.0594328674	0.0020289796	0.0471301861	-0.0253275071	0.0254412477	0.001848585	-0.0536813377	0.0531762032	0.1135809613	0.0583343303	-0.0927338562	-0.0839408808	-0.0458328857	-0.1369481565	-0.0508680763	-0.0899197149	0.0599746259	0.2137461751	0.0294864211	0.0173862572	0.1031389002	-0.051691276	-0.0193812766	-0.0715115974	0.0276569565	-0.089474779	-0.0917389904	-0.1638362402	-0.0514200343	-0.0082915595	-0.0678543911	-0.0059607549	0.0488760445	0.0041447876	0.0967106529	-0.1192038295	-0.0638155598	-0.0941814597	0.0776147163	-0.0084764753	0.0407945084	0.0458983979	-0.0160318661	0.0485832251	-0.0881279358	-0.0083293481	0.0681418406	0.0454380959	0.009838553	-0.0222566793	-0.0516353775	0.0629107063	-0.0869363679	0.0598208249	-0.0371004893	0.0382760585	0.0927331103	0.0660671973	-0.0901055273	-0.0446651734	-0.0281525741	-0.0501599809	-0.006723903	0.0519525437	-0.0488897092	0.1192988796	0.0538372658	-0.0469876478	0.0757420494	0.0024484392	-0.049004059	0.0075172989	0.0390964609	0.0904438339	0.0901682842	0.0897096563	0.0890688815	0.0	0.029123	0.0084328	7.111211584e-05	0.000848149129	-0.0518423	-0.0360938	0.00130276239844	0.00268762406929	0.00237382	0.03901202	5.6350213924e-06	0.0015219377044804	-0.000408267	0.0	0.0	1.6668194328900006e-07	0.00032994	2.413199999999995e-05	5.823534239999977e-10	1.0886040360000001e-07	0.000261501	-0.000261435	6.8348259225e-08	6.838277300099998e-08
577.2717365506984	0.4108495033510735	0.1687973144038237	333242.65782025893	609.992434958889	3.3763583942868536	11.3997960066713	372090.7707070744	475.2331015247164	-0.2420113699776038	225846.5007848014	0.0585695031984366	473.7216756530555	605.4776332249013	1.12747	28.203129	0.08897122	0.0428143	0.0722154655	-0.0649072471	0.0481542867	0.0210894467	0.0143457284	-0.0211477589	0.0909657765	0.0532152294	0.0135722351	0.0447455642	-0.049033336	-0.0985181698	0.0302709502	-0.0493849888	-0.0766143215	-0.0090901235	-0.0224311346	0.0048647697	0.1088178877	0.0143333808	0.0898601479	0.0280520903	-0.0025861533	-0.0392283925	-0.0049271321	-0.012751805	-0.1041395638	-0.0563549962	-0.0817797338	0.0606895457	-0.0562039217	0.0517897819	0.0173923177	0.0130902201	0.0146657609	0.038401403	-0.0351954725	0.0851400109	0.0159738083	0.0131125232	-0.1170001259	-0.0879771025	0.0290990971	-0.0641395123	0.0181034794	-0.0907138357	0.0278307303	-0.0386617074	0.0995950139	-0.0377443992	0.0805431077	-0.0129902537	0.1037985053	0.0348924316	0.055366371	-0.0789555246	-0.0262100739	0.0371378312	0.1172534543	0.0074380203	0.0072399614	-0.0701379377	-0.0293019859	0.1015104578	-0.001352234	-0.0973252075	-0.0406039391	0.0615156087	0.0773898344	-0.1012880355	-0.0627454414	0.0281681358	0.1666713915	0.0563576188	-0.0062364414	0.040453424	0.0045637646	0.0350603299	-0.0108321963	0.0566184385	0.040054295	-0.0343696759	0.0695235482	-0.0318617601	-0.0324317976	-0.0878949014	0.0375716396	-0.0726493399	0.0504713047	-0.0748012997	0.0293439949	-0.0851679598	-0.1318732698	0.0339021393	0.0547234022	0.0461515924	-0.0337221238	0.0327678909	0.0654118076	0.0962533345	-0.0020027005	0.1068915154	0.011892033	0.0874433118	0.0326016812	0.0090045374	-0.0473960931	-0.0066837859	0.0154863658	-0.0955830718	-0.0759955688	-0.0566104147	-0.0774611576	-0.0616832303	0.0624416624	0.0114996161	0.0116409671	0.0026290292	0.0449727921	-0.0319122573	0.0808447597	-0.0023149068	0.0348399	0.1170067086	0.0008318207	0.071764919	0.0695268907	0.0902075195	-0.0620441484	0.0129852533	0.0340047283	-0.0760755221	-0.0523885541	0.1192913803	0.0076382401	0.0686943655	0.0596639264	0.0681635709	-0.0701114255	0.0126673311	0.0124325383	-0.1253605013	0.0541072389	-0.0242664215	0.0849142684	-0.0436720048	-0.0522109303	-0.0104518555	0.0529906234	-0.1038440452	0.0659307484	0.0809377353	-0.0295792252	0.0432506687	-0.0278548793	-0.1681519884	0.07372764	0.0779050024	0.0503191519	0.0198518633	0.0498986076	0.0106700307	-0.0516041684	-0.0170291907	0.0381372617	0.0307511894	0.0555718676	-0.089786293	0.0288787931	0.0582341838	-0.0258961841	0.0398797799	-0.0683982952	0.0210706608	-0.1614138787	-0.0227103937	0.0219340172	-0.0088530121	0.0062466708	0.0393685389	0.046059646	-0.018303719	0.0908531544	0.0153470343	0.0844237358	-0.0282726327	-0.0880945013	0.0585297701	-0.0424644482	-0.0149806542	0.0377206292	0.1570370418	-0.0256683108	0.0690654731	0.0264520832	0.0370046859	0.0166322469	-0.0416685539	-0.079238522	0.0812947903	-0.0418951798	0.0182685516	-0.0347032165	-0.0149670683	-0.1178294903	0.1105039673	0.0472773655	0.0903838265	0.0899285776	0.0891715273	0.0881152162	0.0	0.0207004	-0.0084225999999999	7.094019075999998e-05	0.00042850656016	-0.0311	0.0207423	0.00043024300929	0.0009672099999999	-0.0234707	-0.02584452	0.00055087375849	0.0006679392140304	-0.000837644	-0.000429377	1.84364608129e-07	7.016474707360001e-07	0.000196809	-0.0001331309999999	1.7723863160999996e-08	3.8733782481e-08	0.000378229	0.000116728	1.3625425984000006e-08	1.43057176441e-07
