global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41
527.733299041112	n/a	278502.4349168157	n/a	586.3829438997352	n/a	n/a	343844.95689652	466.1562550196889	n/a	n/a	217301.65409398123	464.773709441108	652.3870654398422	n/a	n/a	n/a	n/a	0.0239374441	-0.0351077102	0.0910946378	-0.0641370636	0.0045642535	-0.068269268	-0.2811514148	0.0155973097	-0.0119349797	0.1554350435	-0.1676377543	-0.0466237704	0.0744392982	-0.1262215204	0.303428597	-0.0228543156	0.0750932664	-0.1648769217	0.1766750727	-0.0121335034	0.025747281	-0.1040740428	0.0707229461	-0.0002876955	0.0186765341	-0.0839229263	0.021943498	-0.0728175691	0.0598798106	0.092126696	-0.0781559575	0.0059405852	-0.037909475	0.0798874305	-0.0165008135	0.0314291369	-0.0712700518	0.0227796445	-0.0543102374	0.026213443	-0.072691233	-0.0133078832	0.0253388426	-0.0298590336	-0.009150592	-0.0466095669	0.0909859496	-0.0102294271	0.0109697958	-0.0430947628	0.0341910826	-0.0648968441	0.0773005276	-0.0065925427	0.0261471501	-0.11686512	0.0209246465	-0.0915346558	0.040375488	-0.0002823623	-0.0149130315	0.0767861186	-0.0869777321	0.068244104	-0.1156522207	-0.0129351415	0.0362400456	-0.044285621	-0.0043366636	0.02042228	-0.0501316515	-0.0054261608	-0.1260793708	0.0394809871	-0.0421027868	0.0739290346	0.0021810038	0.0236644797	-0.0188672503	-0.0514095023	0.1147834215	0.0166430655	-0.0248611452	-0.0027734483	-0.0140460542	-0.0132247933	-0.0020936847	0.0413892725	-0.1237065873	0.0303814053	-0.0012449953	0.0825157531	-0.0320660617	0.0546791333	-0.0821841157	0.0323626463	-0.0879530583	0.0659696646	-0.0036241133	0.1079123913	-0.0328555906	0.0360177923	-0.0585232627	0.0072337215	-0.0204893811	0.0783679875	-0.0442720445	0.0602440335	0.0238925673	-0.0142374583	-0.0342035235	-0.0811792525	0.0554915811	-0.0142640637	0.0373646536	-0.0400951652	0.0287822845	-0.1055439331	0.0597853785	-0.1020125914	0.041309755	-0.1029492343	0.0307571196	-0.0373456136	0.0607311979	-0.0275989202	0.0331100701	-0.0913000409	0.0699182771	-0.0826242784	0.1123840666	-0.0018713323	-0.0483431425	0.0236273346	0.0038604586	-0.0045346473	-0.0121901851	0.0708193805	0.098954314	-0.0701700564	0.027813765	0.101172493	-0.0272879114	-0.0012575865	-0.0239250666	0.06892796	-0.0885018695	-0.0185067044	0.052096882	0.031446001	-0.0008885116	0.0542288132	-0.1487367128	0.0211133511	-0.0508209826	0.0532987697	-0.039240054	0.018141671	-0.0431784634	0.0877606677	-0.0135712814	0.005140505	-0.0245865869	0.1030162418	-0.0385911201	0.0742789669	-0.1432609726	0.048893494	-0.1750786731	-0.0381424863	0.0515463668	-0.0397366332	0.0796532663	-0.0799657464	0.0903489333	0.0903433624	0.0903340779	0.0903210801	-0.0899241	n/a	0.00808634376081	n/a	-0.127886	n/a	0.016354828996	n/a	-0.258822	n/a	0.066988827684	n/a	0.000494133	n/a	2.44167421689e-07	n/a	0.00115112	n/a	n/a	1.3250772544000002e-06	-0.00155272	n/a	n/a	2.4109393984000004e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
526.3872934939587	-1.3460055471532542	277083.58275189507	1.811730932967331	573.528350258651	-12.854593641084191	165.24057767740217	328934.7685504099	466.22937413160713	0.0731191119182312	0.0053464045277108	217369.8293031501	464.7070664254556	650.6389999890703	1.085896	29.645264	0.1131671299999999	0.0576103	0.0188639571	-0.0402144536	0.0933784517	-0.0858945233	-0.043157337	-0.0065058786	-0.0725639758	0.0432272697	0.0588422542	0.1183380864	-0.1076452514	-0.0345164385	-0.0065008767	-0.0414751518	0.1179659372	0.0975562379	-0.0442399855	0.0119498053	0.0220815429	-0.0084196788	0.0235080061	-0.1417242118	0.0756129893	0.0218125266	0.1194148473	-0.1087468252	0.0510528228	-0.0697918036	0.0175959916	0.1272209126	0.030760446	0.100561208	-0.0125643406	0.0414663121	-0.0460280348	0.026669818	0.0479721245	0.133292362	0.0819289704	-0.0121205931	-0.0003229366	-0.0088734159	0.0690659529	-0.0528372974	-0.0457297715	0.0489376077	-0.0061292979	-0.104268352	0.0576859596	-0.1031931998	-0.0570271903	0.0392935669	0.0930897836	0.0049545325	0.0049404158	0.0438847494	0.1056690671	0.0151566773	0.0661991371	0.1190554581	0.0206728741	0.0242118522	0.0082811687	0.0821195375	0.0764185618	-0.0057330898	-0.1083141053	-0.0064794418	0.013036513	0.0974837334	-0.0252737388	0.0107763567	0.0225271673	-0.0548634129	0.0476416933	0.0866830649	-0.094851859	0.0112300669	-0.0196753764	-0.2066074449	-0.015116445	-0.0712922127	0.0256021935	-0.0344018979	-0.0484740448	-0.0087683624	-0.0129188216	0.0435116898	-0.1630424172	-0.0152167777	-0.0952354701	0.1128448907	-0.0546556169	0.0665796813	-0.0423344295	0.0239819937	-0.1413411029	-0.0734590739	-0.0083676014	0.0397072552	-0.0225540963	0.0048350777	0.1030688598	-0.040428016	-0.158014077	0.0434529729	-0.0032061104	-0.0208803461	0.0727803067	-0.043742603	0.0071444014	0.0345404548	0.0638530231	-0.0699107087	-0.0225696181	-0.0918580362	0.0307075378	0.0299052592	-0.0063280351	-0.0884608794	0.0302691205	0.0768046034	0.0211362462	-0.1238665216	-0.0389390152	-0.0785885753	0.0477815775	-0.0044623778	-0.1370563551	-0.1085367887	-0.0290189884	-0.0196290419	0.0848846269	0.0283707785	0.0467767844	-0.0565910399	-0.0176286775	0.0007375608	-0.0262730619	0.0301084252	0.0910810103	0.0884071434	-0.0313580812	0.1238052068	0.0394427444	0.1535142265	0.0463108857	-0.0350114529	-0.0969752293	0.0490215621	0.0003466431	0.0456254089	-0.1471864497	0.014467002	-0.0308989896	0.0631285322	-0.0216020649	-0.0671300793	0.0607093025	0.0704965692	0.0702654516	0.0429020014	-0.0173307976	0.0698986201	-0.0146995879	0.1295737482	0.1448552447	-0.0114355259	-0.0793857674	-0.0678556072	-0.0177318164	0.0031082202	0.0633602096	0.0700659204	0.0903340779	0.0902839469	0.0902004158	0.0900835156	-0.0931644	-0.0032402999999999	0.00867960542736	1.049954408999992e-05	-0.160895	-0.033009	0.025887201025	0.001089594081	-0.219374	0.0394479999999999	0.048124951876	0.0015561447039999	6.98104e-05	-0.0004243226	4.87349194816e-09	1.8004966887076002e-07	0.000957476	-0.000193644	3.749799873600003e-08	9.16760290576e-07	-0.00168415	-0.0001314299999999	1.7273844899999965e-08	2.8363612225e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
525.5280652596341	-0.8592282343246325	276179.74737553427	0.7382731586606255	564.8194732147714	-8.708877043879625	75.84453936541351	319021.03732261184	465.8427172888844	-0.3866568427227435	0.1495035140243203	217009.43725109147	464.0714363173166	647.4881171623448	1.001726	27.347399	0.15155552	0.106288	0.0260357059	-0.0203902806	0.0820508228	-0.0146736961	-0.0674071902	0.073595832	0.0428755547	0.0589458703	-0.0102955877	0.1364354819	-0.102858533	0.0031856115	0.0226136573	0.0700901524	0.0595071771	0.0437729584	-0.0037054427	-0.0435902759	0.0734859143	-0.0176228727	0.0256698263	-0.1622800029	-0.0030099503	-0.0673097965	0.0377021378	-0.0275860643	0.0932088146	-0.0944937226	-0.0421429241	0.053415719	-0.0226948848	-0.097472909	0.0404683524	0.1616935116	-0.0209491278	0.0671536825	0.021901989	0.0445879767	-0.0788173881	-0.0875379744	0.1249394075	-0.1540904234	0.0004484012	-0.0752306986	-0.001276008	0.0877747397	0.0713999246	-0.0366257188	0.0641023299	0.0235331254	-0.0043228121	0.1103092655	0.0034437127	0.0443114513	-0.0592959458	0.0291407815	0.0771978395	-0.0324005505	-0.0292346357	0.039374399	-0.0285140022	0.1132707867	-0.0034220983	-0.0032005134	-0.0096624673	0.0646617567	0.0120109004	-0.0601306653	0.0629338085	-0.05659105	-0.0835344947	0.1046598708	-0.0174221501	-0.1258994146	0.027206436	-0.0018907099	-0.104923121	-0.0321058828	-0.0799512461	0.0085441102	-0.0907982531	-0.1496117323	0.0442188471	0.0336160992	0.058948729	-0.0176652841	-0.1249252667	-0.0385488848	-0.1160461436	0.0113011072	-0.0631771322	0.0349387017	-0.0841734667	0.1019223047	0.045783859	0.0901551404	0.0323666135	0.0850417598	-0.0278310577	0.1344846431	-0.0220831036	0.0840738844	0.0534680346	0.0171167836	-0.0395113523	0.1508341915	0.1301479535	-0.0912926958	-0.0651516676	-0.0335345224	-0.0586884229	0.0314768908	0.0925099438	0.077651754	-0.0441619175	-0.0333103558	-0.0570978746	0.0775652054	0.0161905865	-0.0016089778	0.0930591404	0.0383703831	0.0014094682	-0.06394813	0.0523058547	0.0105055123	0.0415774138	-0.0813992689	-0.0330343083	0.0138224223	-0.0104374066	-0.0543941269	-0.0522072974	0.0677686807	-0.0098165588	0.0402736872	-0.0575229027	0.1057993573	-0.0156547753	0.1284762822	0.0113168328	0.028825833	-0.0082178977	0.1068118812	0.0984754291	-0.0784369744	0.0805508909	0.0305438004	-0.1873004386	-0.0707863892	-0.0025602162	0.0492428276	-0.127671221	0.0151479587	-0.0377297889	0.0742597787	-0.0309972082	-0.0217895297	0.0156827269	-0.0374268954	-0.0202148001	0.0374433463	0.0088499388	0.045587193	-0.0116530595	0.0160172851	-0.1012023108	-0.0253026989	-0.1829678774	-0.0201648123	-0.013988834	-0.0022408184	0.0440143379	0.0469423104	0.0903043695	0.0901651549	0.0899332895	0.0896090116	-0.0746862999999999	0.0184781	0.0055780434076899	0.00034144017961	-0.0579855	0.1029095	0.00336231821025	0.01059036519025	-0.217985	0.001389	0.047517460225	1.929321000000004e-06	-0.000166377	-0.0002361873999999	2.7681306129e-08	5.578448791875999e-08	0.000670975	-0.000286501	8.2082823001e-08	4.5020745062500006e-07	-0.00173704	-5.28900000000001e-05	2.7973521000000102e-09	3.0173079616e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
524.705266968526	-0.8227982911081426	275315.6171845121	0.6769970278504798	561.9607343388641	-2.8587388759073065	8.17238796062377	315799.8669386754	465.7507519081209	-0.0919653807634972	0.008457631258975	216923.76290298	464.1653863418403	639.3173252524372	0.976546	26.659981	0.13431645	0.0778853999999999	0.0281526263	-0.0085152548	0.0461509696	0.0875966876	0.0180744006	0.03190665	0.0466955839	-0.0217058744	-0.1178185887	0.1146688217	-0.0455033951	-0.029057136	-0.0394619132	0.06766474	0.029450907	0.0601331264	-0.0233571439	0.0874623743	-0.0252589058	-0.0312534233	0.0211462797	-0.1156015558	-0.0105118726	-0.0959100728	0.000756845	-0.0957541311	0.0513895956	-0.0003069266	0.010124546	0.0653077378	-0.0550688413	0.0728588137	-0.1220833236	0.0407980065	-0.0409790365	0.0193588496	0.0723028368	0.0247524983	-0.00267917	-0.0731989045	0.0101947383	0.0488616063	-0.0103625603	0.001475499	0.0099043761	-0.0713776589	0.1211066247	-0.0693439656	0.0054175464	-0.0753786375	-0.0450977297	-0.1191007419	-0.0107659945	-0.0429516136	-0.0565163645	-0.0015239928	-0.0328460639	0.078371811	0.0207793695	-0.0648435595	-0.0895457151	0.057336629	-0.0055560932	-0.1208277858	-0.1048527864	0.0312170308	0.0178044268	-0.044290654	0.0501535708	-0.0074128854	-0.0259003332	0.0381106415	0.0262987969	0.1206364441	-0.0028188754	0.0864543402	-0.0110024435	0.0714228374	0.034626471	0.0073718084	0.0241023742	-0.0027599778	-0.081263786	0.0041361981	-0.1189420491	-0.0313054515	-0.0889970806	-0.0355733435	-0.076063265	0.0691623689	-0.0200660751	0.0969580658	-0.0600006207	0.0108883444	-0.0105619997	-0.0469082212	-0.135116217	0.011936531	0.0706838139	0.0739791033	-0.0348063253	-0.0143472839	0.0774171802	0.0176092482	0.0189521135	-0.0186310763	-0.0468960205	-0.0857517463	-0.0104797183	0.0057654246	-0.0143768948	-0.0845749817	0.1216179622	-0.0589888957	-0.0179080832	-0.0387451765	0.0788591206	-0.0786706998	-0.0467887985	0.0175530716	-0.0116636711	-0.008039908	-0.0842346569	0.0638717388	-0.0214840847	0.0628895269	-0.0057324483	-0.1410672714	0.0786022446	0.0899098048	0.019430699	-0.0209155283	-0.0232885242	0.0750246764	-0.0468770554	-0.0118015018	-0.0126860725	0.0408893089	-0.0433014651	-0.0974630999	0.0582680286	0.0311286968	-0.0178695716	0.0152602854	-0.1040094332	0.0528928908	-0.0033454233	0.0716818022	0.0380073806	-0.0519473434	-0.0059554577	0.0447675379	-0.1129596058	0.0085535823	-0.0219855779	0.0849327602	0.0372632314	0.0158181625	0.1003093832	-1.737e-05	-0.0013545663	0.025219425	-0.0395124867	0.0990370505	-0.0179105674	0.0705442947	0.1091517404	-0.0133569868	-0.0641814187	-0.0495773053	0.0110919974	0.0571493974	-0.0108894045	-0.0086211947	0.0902598131	0.0899870646	0.0895330941	0.0888988159	-0.0922273	-0.017541	0.00850587486529	0.000307686681	-0.117918	-0.0599324999999999	0.013904654724	0.0035919045562499	-0.173066	0.044919	0.029951840356	0.002017716561	-0.000211788	-4.5411e-05	4.4854156944e-08	2.062158921e-09	0.000530597	-0.000140378	1.9705982884000008e-08	2.81533176409e-07	-0.00178973	-5.268999999999999e-05	2.7762360999999983e-09	3.2031334729e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
524.5474685837565	-0.1577983847694213	275150.04679762706	0.0249003302358383	563.0560287237167	1.0952943848526502	1.1996697894897457	317032.0914821229	465.49333387311634	-0.2574180350045481	0.0662640447456027	216684.04388030857	463.9145510617664	638.7778328023177	0.933107	25.474081	0.1240745499999999	0.0793540999999999	0.0168635135	-0.0043416105	0.0220857733	0.0343393164	0.0345279358	-0.078934458	-0.0510027206	-0.0626434367	-0.0541907943	0.0772073264	-0.0361560024	0.0567414495	-0.0429117194	0.1000432101	-0.0419660765	0.0796914903	-0.0050257158	0.0621618913	0.0126619347	-0.0392787162	-0.0062817777	-0.1305554718	0.0289465853	-0.035152654	-0.0588202502	-0.1000176923	-0.0183595368	0.0262069422	-0.0041477529	0.0362044286	0.004835924	-0.0584986343	-0.0196128786	0.0573171262	-0.0375775496	0.0904787276	0.023088505	0.0404731536	0.0282902843	0.0320512069	-0.04042658	0.0716948602	-0.000511343	0.0747675883	-0.1429137134	0.0538597799	-0.0548689554	0.0690327449	0.0646542597	-0.0046878064	0.0538154598	0.0709750171	-0.0372559604	-0.0520838071	-0.0190171287	0.0130459418	0.0493452138	0.0871934402	-0.1168400833	-0.0662095971	-0.0338780992	0.0012178895	0.0208081915	0.0954011997	0.015587091	0.0630949785	-0.0267605547	0.0694737593	-0.087466014	0.0104332036	-0.0030097035	0.1272725611	0.1142907894	0.0009356012	0.0551349949	-0.1401002119	-0.0387579489	0.0509305271	0.0890652995	-0.0148552651	-0.0423161454	0.0097848731	0.0444250175	0.0653030687	-0.0334444917	-0.0387802613	-0.0337077167	-0.0245430963	-0.1198165753	0.0618568186	0.0675715478	0.0749767565	-0.0343025759	-0.0121515043	0.0265090832	0.0581164446	0.0098873373	0.025652108	0.0261225457	0.0643430716	-0.0560464031	0.0671466589	0.05574139	0.0164480112	-0.0228676137	-0.0553416802	-0.041570647	0.0401990876	0.0292288306	-0.0313793738	0.1539926953	0.0592564289	-0.0678944952	0.0871464339	-0.0032152495	-0.0967382417	-0.0658195194	0.043397354	-0.0396567325	0.0446020405	-0.0275330482	0.0086212104	-0.125586185	0.0014260109	0.0542796104	0.081405934	0.0144278053	0.0288248503	-0.0353569789	-0.0658499592	-0.0010951904	-0.0357324587	-0.0242848452	-0.0853818827	0.0564253512	-0.0372005796	0.0595863037	0.039074446	-0.1020936724	0.0634004985	-0.0570218732	-0.1698655093	-0.0290940686	0.0783869572	-0.0792063068	0.0232054021	0.0407843506	-0.0335275514	-0.0014777731	-0.0938100658	-0.008430424	0.0475427329	-0.1001866534	0.0050182836	-0.0195812628	0.0963691098	0.0375151948	0.0368820413	0.0103001372	0.0282550308	-0.0233624213	-0.0659254195	0.0044101994	0.0445478851	0.0129244363	-0.0131529515	-0.0443584371	-0.0550782951	-0.1196378056	0.0092957012	-0.0523128307	0.0188959512	0.0517878199	-0.0554801068	0.0902004158	0.089749793	0.0890004218	0.0879547967	-0.0823864	0.0098409	0.0067875189049599	9.684331281e-05	-0.043633	0.0742849999999999	0.0019038386889999	0.0055182612249999	-0.162887	0.0101789999999999	0.026532174769	0.0001036120409999	-0.000434802	-0.0002230139999999	1.89052779204e-07	4.9735244195999996e-08	0.000427738	-0.0001028589999999	1.0579973880999992e-08	1.82959796644e-07	-0.00152021	0.00026952	7.264103040000004e-08	2.3110384441e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
524.9271491573276	0.3796805735710222	275548.5119224392	0.1441573379472204	563.7818034602249	0.7257747365081286	0.5267489681534435	317849.9219128636	465.39428828773697	-0.0990455853793719	0.0098100279831424	216591.8435708492	463.96181498148746	640.4668420495447	0.906306	24.742416	0.1132818	0.0770977999999999	0.0062456028	-0.0109648687	-0.0183360516	-0.0399863569	-0.0156400745	-0.0626014008	-0.0774729958	-0.0378833637	0.0278710395	0.052238721	-0.0504410076	-0.0106864255	-0.0307946346	0.1156870102	0.0549694754	0.0983123498	0.0397453974	0.0913746431	0.0251137794	-0.0330857975	-0.023782722	-0.0726701528	0.0982013111	0.0041165224	0.0051297087	-0.0732699807	0.0347798862	0.0086126938	0.0368120616	-0.000755805	-0.1037566903	0.0085865369	-0.0187757163	0.0544797521	0.0452611035	0.0657893623	0.0652271402	-0.1197172122	-0.1005884712	-0.025363272	-0.1458792773	-0.0414558327	-0.0193568859	0.0207087558	0.0164880816	-0.1214150865	-0.0004125874	0.1328513177	0.0564221662	-0.0986697592	-0.0417443401	-0.0930593839	-0.0803716473	0.0443725869	-0.015392073	-0.0400629699	-0.081349122	0.0436093061	-0.0487474666	0.0100657154	-0.0312957234	0.030583914	0.0870665772	-0.0956462151	0.0750990809	0.0094900251	-0.0097152496	0.004998899	0.0438569478	-0.0180889861	-0.0262743554	-0.0081392198	0.0854567329	-0.0338836016	-0.1613221106	-0.1185140997	0.1112332279	0.0316250113	-0.1702115453	0.1094948024	0.0381924408	-0.0034274942	0.0148353712	0.091736348	0.0405441933	-0.0327655635	0.0487299776	0.0087178848	-0.1030631765	0.0604019532	-0.0087822789	0.0527416844	-0.0566363495	-0.0205707873	-0.0352781185	-0.0220606543	-0.0274266813	0.0758541746	0.0005639772	0.0641163618	0.042052671	0.0624507718	0.0506389143	-0.0031494968	0.1519310484	0.0680577706	-0.0898661878	0.0678643624	-0.0553168024	0.0798758325	-0.02846437	-0.1014817998	-0.0927941031	0.0266062356	0.0254391673	-0.0781327223	0.1310043286	-0.0624500951	0.065598801	0.0893538715	-0.0401994462	-0.0222179122	-0.0479393063	0.1118389407	0.0210918155	0.0105121825	0.0048394418	-0.0315473908	-0.0696859772	0.1048040753	-0.0683147662	0.0148921428	0.0278046004	0.0165927968	-0.0113078048	-0.0375279014	-0.0656933592	0.0199706593	-0.0752359808	0.039929862	-0.2031248026	0.0379169044	-0.0664573857	-0.1747564693	0.0454031427	-0.0932315023	0.0197856954	0.049568745	0.0401387767	-0.0424358532	-0.0079360777	0.0422535583	-0.0831295347	-0.0016858512	0.0015441882	0.089917516	0.0244605576	-0.0531309407	0.0172118399	0.0842864413	0.028610142	0.016339731	-0.0146063116	0.0368259991	0.0217822033	0.062643372	0.0384150189	0.0253396737	-0.0566169002	-0.0413460123	0.0847411306	0.0631185651	0.0511146583	-0.0211285424	0.0901261876	0.0894534963	0.0883360609	0.0867794369	-0.0824165	-3.0100000000005123e-05	0.00679247947225	9.060100000003083e-10	-0.115848	-0.072215	0.013420759104	0.005215006225	-0.139158	0.023729	0.019364948964	0.000563065441	-0.000587146	-0.000152344	3.44740425316e-07	2.3208694336000002e-08	0.000233928	-0.00019381	3.75623161e-08	5.4722309184e-08	-0.00152021	0.0	0.0	2.3110384441e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
