global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27
531.2093550886992	n/a	282183.3789337517	n/a	692.3192659601376	n/a	479305.96601958375	n/a	457.4510197742504	n/a	209261.43549250165	n/a	460.4721650213101	560.884733271289	n/a	n/a	n/a	n/a	-0.0543473873	-0.074025559	0.0670197511	-0.3159678399	0.3290343518	-0.0606889435	0.4891092532	-0.2718608375	0.145902339	-0.3007788443	0.0855758898	0.0495710285	-0.0269153042	0.0028654463	0.0866767021	-0.0680447498	0.0408003651	-0.1501930907	0.057296105	0.0308378094	-0.0417810406	0.0991295981	-0.0808189109	0.0076895958	-0.1380480513	0.0833742867	-0.0049465913	0.0304396282	-0.0748942286	0.129873079	-0.1065648737	-0.0278112319	0.1232300239	-0.0071081265	0.0469832514	-0.1011797817	0.0392979066	-0.0067110921	0.0336145377	-0.0619147294	0.1259748164	-0.0319222924	0.0069106899	-0.0533648391	0.0165980845	-0.1222494408	0.0325773578	-0.018331497	0.0061126409	0.0140447291	-0.048276777	0.1079480856	-0.0361971838	-0.0269640498	0.0615749776	-0.0040778538	-0.0360861112	0.0207269002	-0.1528549948	-0.0566002897	0.1390521982	0.0671637429	-0.0524482324	-0.0232510646	0.0791518546	0.0627623767	-0.0389584514	-0.0684209759	-0.0219589356	0.0522321975	0.0553418438	-0.0224114588	-0.0152159833	-0.0525910512	-0.0099779986	0.1285999773	-0.0041053294	-0.2089260551	0.0846475173	0.0650633692	-0.0075645097	0.0300769253	-0.0805359896	0.0621415003	-0.1037279585	0.117853205	-0.147343648	0.1573835439	0.0048824139	-0.036610422	0.3012008484	-0.0010540474	0.1914472805	-0.2623382033	0.0222391755	-0.1629283925	0.0635273914	-0.149784614	0.1177949065	-0.0651396018	-0.0016040988	0.0732524448	-0.0622781681	0.0751366182	-0.0025637563	0.0797767082	-0.0199326156	0.0347500218	-0.117896096	0.0119345083	-0.0546991367	0.0179791401	-0.0187061089	0.088789958	-0.1429641217	0.1233439722	-0.1638088453	0.0298286848	0.0314179516	-0.1358320692	0.1172079945	0.0072879686	-0.0686280601	-0.0888862459	0.061372164	-0.0639911805	0.0796729849	0.0151682939	-0.1477334523	-0.0424597902	0.0963858539	0.0253864118	0.0001793414	-0.0749866831	0.0237425862	0.0818206913	-0.0196894798	-0.0060629301	-0.0723435022	0.0334757092	0.0200974932	0.1556626458	-0.0176303713	-0.0721914808	0.1065424685	0.0859323457	0.0932483061	0.093241782	0.0932309089	0.0932156873	0.0220731	n/a	0.0004872217436099	n/a	-0.129103	n/a	n/a	0.016667584609	-0.0534286	n/a	0.00285461529796	n/a	-0.00153684	n/a	n/a	2.3618771856e-06	0.000975834	n/a	9.52251995556e-07	n/a	0.000478143	n/a	2.28620728449e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
523.7151414913427	-7.49421359735652	274277.5494272971	56.16323744280335	640.783185043348	-51.536080916789615	410603.0902342976	2655.9676362618866	457.5635988493771	0.112579075126689	209364.4469919937	0.0126740481563807	459.6821955441244	524.8060775942511	1.608592	47.709827	0.322296355	0.140912	-0.0290032903	0.0723529468	-0.0596087381	0.0120931222	-0.0467475776	0.0496331889	0.0352997583	-0.0988720809	0.03314744	-0.0312894305	0.095661619	0.0257088158	-0.0079997778	0.0648427154	0.0466433419	0.0511002725	-0.0223799309	0.0097287767	0.0751100672	-0.0134392875	0.0665567051	-0.0664087398	0.0141606526	-0.12331225	0.0908663862	0.0594914931	-0.0078722117	-0.0119645223	-0.073275346	0.1072635087	-0.0859817768	-0.0477734185	-0.0194734144	0.0109984807	0.035063192	-0.040517897	-0.0223684223	0.0504585585	0.0760890005	0.0085406596	0.0793940653	0.097450347	-0.05843178	-0.0940360099	0.0118154399	0.0051497646	0.0057176157	0.0260326083	-0.1270222101	-0.1273279857	0.10017422	0.0309341703	0.0834887756	0.0950491319	-0.0588484377	0.0072185268	0.0908252731	0.0092829251	-0.0397541573	0.0273384321	0.0844401021	-0.1291514173	-0.0066017798	-0.1543189403	0.0141091511	-0.0419655837	-0.0267336793	0.0523167245	0.0455237127	-0.0090829407	-0.057562532	0.0571582071	0.0141084535	0.0501793784	0.0765148473	0.0547916361	-0.0209399418	-0.037348172	-0.1324321358	0.0246126695	-0.0016134741	-0.0574890975	-0.0461172834	-0.0376239527	0.0415277611	-0.0383861482	-0.0532532054	0.0560309491	0.0241560235	0.0813688622	0.1490530138	0.0647599093	-0.0577934937	0.0153147288	-0.0609068878	0.0211374524	0.0563124081	-0.0008455657	0.0692016786	0.0916823295	0.0155948221	-0.0424909645	-0.0102938361	0.0347473737	0.0100925252	-0.0044491737	0.0059936013	0.0875978411	-0.0249082222	-0.0664218878	0.0061255209	0.0192093545	0.034179082	0.0192142634	0.0504518898	0.0612464505	0.1426988522	-0.1184049066	-0.1167311675	0.1228919002	0.07790898	0.0155971015	-0.0602536307	0.0744878931	-0.069901949	-0.0141882166	0.0766593302	0.004516302	-0.0621365317	0.0506129283	0.1474926359	-0.0495800086	0.0109728048	0.0955104776	-0.0194873446	-0.0661266813	-0.0399761392	0.098806794	0.0794821505	-0.0158293557	0.0540315095	-0.0296521206	-0.0503717396	-0.0521854511	0.0402319596	-0.0522932882	0.0932309089	0.0931722015	0.0930743832	0.0929374951	-0.0157733	-0.0378464	0.00024879699289	0.00143234999296	-0.0474603	0.0816427	0.0066655304632899	0.0022524800760899	0.0273757	0.0808043	0.00074942895049	0.0065293348984899	-0.000858042	0.000678798	4.6076672480400006e-07	7.362360737640001e-07	2.26299e-05	-0.0009532041	5.121123740100001e-10	9.0859805625681e-07	-0.000329914	-0.000808057	1.08843247396e-07	6.52956115249e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
521.0661159933308	-2.649025498011952	271509.8972363752	7.017336089117468	634.9179657965437	-5.8652192468042585	403120.8232912211	34.40079681308311	455.48728708322426	-2.0763117661528554	207468.6686944356	4.311070550264789	457.54278508002096	520.3665314079723	1.104614	32.762157	0.047246095	0.0229093	0.0002014459	-0.0672003012	-0.084464662	0.0699225572	-0.0174777537	-0.0563732321	-0.0224511619	-0.0310486715	-0.0532570606	-0.0613986535	-0.0222924915	-0.0578790439	-0.0447212272	-0.0486847428	0.039947554	-0.0649659644	-0.0880962509	-0.0275569415	0.0649851436	-0.0802098155	0.102869483	0.063260312	-0.0279921704	0.0595062615	-0.0358133639	-0.0110199391	0.0322007481	-0.010107469	-0.0790537156	0.0698155899	0.0347415823	0.0411754045	-0.0191944305	0.070685415	-0.0263753483	-0.0863313446	0.0058134124	-0.0830029884	-0.0803994665	-0.0523127663	-0.0658210599	0.0530748581	0.1229573232	0.0256590851	-0.018422805	-0.0257584271	-0.0253975601	-0.0731187276	0.0502625791	0.0531894052	0.0461583312	-0.1457327621	-0.0126003543	0.169787295	-0.0094242299	0.1297836908	0.0116873132	-0.0431795639	0.009408474	0.001373881	0.0316212299	-0.053384035	0.0226228172	-0.0866074209	-0.1169397501	0.01532266	0.0135376903	0.1380884358	0.0509480208	0.0592033871	-0.0879202469	-0.1246882574	0.011402386	0.0165452037	0.033658983	0.0685846902	0.1190313884	0.0787360406	0.1227627121	-0.0598042331	0.0464389864	0.0462887917	-0.033131381	0.0717923205	0.0519675453	-0.0393473882	-0.1031841419	-0.0886856901	-0.0952048795	0.028394209	-0.0006021408	-0.0306772072	0.0378480792	-0.0321848532	0.0126990785	0.0171939746	0.0279189216	0.0600293546	0.0960996904	0.0209460151	-0.0398588323	0.0081820901	-0.063315039	0.0567924399	0.0155841042	0.0846545275	0.0502151756	-0.042905259	0.005693845	0.1317807848	0.0991959159	0.0415463156	0.0292404583	0.0076379286	0.0923460153	-0.0796814628	0.0338560419	0.0664294987	-0.0353691072	-0.0812651409	-0.1155047861	0.0685347875	-0.1547673127	0.0639799156	-0.0041138997	0.0747700903	0.0878787976	-0.0507504089	0.0795376012	-0.0514913072	0.1108719232	0.0460256705	0.088161909	-0.011897201	-0.0038281296	-0.0675979841	0.1024898427	0.039825446	-0.0298812793	-0.0806163502	0.0525512136	-0.0034601725	0.0018544247	-0.045178318	0.0935943676	-0.0767948926	0.0931961179	0.0930330924	0.0927615946	0.0923819408	-0.0102177	0.0055556	0.0001044013932899	3.086469136000001e-05	-0.0381284	0.0093318999999999	8.708435760999994e-05	0.00145377488656	0.036502	0.0091263	0.001332396004	8.328935169e-05	-0.000732881	0.000125161	1.566527592100001e-08	5.37114560161e-07	-0.000297408	-0.0003200379	8.845151846399999e-08	1.0242425743641e-07	-0.000310467	1.944700000000002e-05	9.6389758089e-08	3.781858090000008e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
522.3890581918834	1.322942198552596	272890.32811860286	1.7501760607111765	635.890062364283	0.9720965677392996	404356.1714136518	0.9449717370105268	455.5542512740499	0.0669641908256153	207529.6758538602	0.0044842028529294	457.5919788658359	523.9635456972225	1.006318	29.84676	0.21458527	0.114776	-0.0480662219	-0.0221835823	-0.0402244638	0.0128341552	-0.0679353894	-0.051837794	-0.0161189709	-0.0045507202	-0.0039499356	0.0003977367	-0.1189714499	-0.0416203663	-0.0909201173	0.002516292	-0.0235410884	-0.0191971216	0.0770145453	0.0758701672	0.0088083524	-0.0286297674	0.0161333506	-0.0004973952	0.0066584063	0.0460784313	-0.062967589	0.0544781269	0.0194687861	0.0202359768	0.0282239211	0.0447040867	-0.0164569769	0.0693644026	0.0177178305	0.0837549383	0.0696258965	-0.0369345227	-0.0373883564	-0.0019805284	-0.0426341961	-0.1337642069	0.0270520345	0.1436950181	-0.0358286023	0.067410889	0.0494267995	-0.006055221	-0.0167133469	0.0651860909	-0.0028271594	0.1586044848	-0.1017328439	0.0376603805	-0.1916508918	0.0788503084	-0.0482452286	0.0399997744	-0.0897847808	0.0167143235	0.0480091072	-0.0433757942	-0.0816727242	0.0668034375	0.0944994481	0.0773854996	0.0792583178	-0.0328986957	0.1393582365	0.0934734716	0.1162920461	0.0144461901	0.0100577636	0.028055044	0.1104261978	0.0586303127	-0.0072578268	-0.0311009023	-0.0935980663	0.1309258848	-0.0458659794	-0.0368361496	0.0940549411	-0.0170400777	0.0289256169	0.005304507	-0.077932347	-0.077284446	0.0257388099	-0.0191195238	-0.0032749968	0.0296782902	-0.0010016822	0.003917503	0.0697035212	-0.0700507194	-0.0208741692	0.0126230256	-0.0305797194	-0.0412546273	0.0154410764	0.0334663137	-0.0600420314	0.0266859871	-0.1005634812	-0.0306924065	0.0568356557	0.0193491576	-0.0451576692	0.0734551709	0.0714049089	0.0891931157	0.0364132028	0.1398414807	-0.1121097239	0.0270383213	-0.0553784642	-0.0192988294	-0.0349230349	0.0783368089	0.0541788836	0.0482001318	-0.1117120268	0.2088240863	0.0220675423	0.0258688258	0.0412704631	0.0400854598	-0.0688810147	-0.0714252256	0.0435063823	-0.0008678706	-0.1731278096	-0.1104600781	-0.0428605705	0.0202480151	-0.1594009301	0.0735440924	0.012450891	0.0263910784	0.0034156393	-0.0097665041	0.1029484416	0.0053586362	0.0106672429	-0.0636297899	-0.069371648	-0.1051964058	0.0931439394	0.0928245585	0.0922930681	0.0915506825	0.00793717	0.01815487	6.29986676089e-05	0.0003295993047169	-0.0897093	-0.0515809	0.00266058924481	0.00804775850649	-0.0572981	-0.0938001	0.00328307226361	0.00879845876001	-0.000185095	0.000547786	3.00069501796e-07	3.4260159025000004e-08	0.000171722	0.00046913	2.9488445284e-08	2.200829569e-07	-0.000306395	4.071999999999984e-06	9.3877896025e-08	1.6581183999999872e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
523.6351673028353	1.2461091109519202	274193.7884362683	1.552787916397385	638.3178679746485	2.427805610365453	407449.7005757008	5.894240081721972	456.1702447960654	0.6159935220155148	208091.29223730223	0.3794480191650785	458.1759680656003	524.6542282600092	0.982852	29.15078	0.278740615	0.145229	-0.0168123982	0.0322153027	-0.0452244281	0.0295122395	-0.0336786122	0.0343004786	0.0146983961	-0.0596344438	-0.0231776429	0.033388612	-0.1170376399	-0.036744201	-0.0590553807	0.0682529037	0.0864789307	0.0038128913	-0.005185593	-0.0748937691	-0.0376665223	0.0817372073	0.120731597	0.0538880806	0.0896479799	-0.0876126065	0.0731374139	-0.0583971722	-0.0259981968	0.0276928839	-0.0448270532	0.0743219141	-0.0572086532	-0.018357725	-0.0121305114	-0.1084555306	0.0001580963	-0.0901710122	-0.0466959007	-0.0083143111	-0.0072721232	0.0445476376	-0.0358118726	-0.0846524305	0.1084617001	0.0448191036	-0.0228133144	0.1297930452	-0.0397719015	0.0546118982	-0.0243497081	-0.1077209579	-0.0023426981	0.0757533106	-0.0063952953	-0.0203219976	0.0162502869	-0.0567511001	-0.0861142094	-0.0204361527	-0.0739686189	0.1713436634	-0.0507700563	0.1333782993	-0.0009614282	-0.0300160973	-0.0751066968	0.0185390849	0.0741956913	0.0972252776	-0.0124701702	-0.0166425498	-0.1434069651	0.0090882052	0.1138319716	-0.0137998942	0.029071343	-0.0388044467	-0.0822326021	0.0590187904	0.0166820261	-0.0405401735	0.0467163374	-0.0647999094	-0.0933723158	-0.0037921746	-0.0047081674	0.075073297	-0.0016856755	0.0338391092	-0.1440903113	-0.0151605244	0.0597422262	0.0895459926	-0.0439076456	0.0870250763	-0.0117921087	-0.0749975635	0.0427387024	-0.0175412739	0.0633567276	0.0467922933	-0.0004601164	-0.0499897476	0.0745255967	0.072796586	0.0388101741	-0.0379126812	0.1230157544	-0.0205665671	-0.0663092751	0.0110713212	0.0572086806	-0.0515003755	-0.0051095705	-0.1344052716	-0.0359619328	-0.0923815569	-0.0264085698	-0.0636570163	0.0619373466	0.0808801812	0.100412491	0.0224347447	0.0420416298	-0.0136825352	0.1041700581	-0.0056709783	-0.0514711134	0.1322172589	0.0993876735	-0.063529106	-0.0123073771	-0.0379291186	0.1344720017	0.0196927161	-0.0531242879	-0.0769831442	-0.0019062171	-0.0485300807	0.1133445627	0.0122590728	0.1113666764	-0.006988123	0.0254776395	-0.0036019132	-0.0867826281	-0.0504971124	0.0930743832	0.0925467555	0.0916695905	0.090446201	0.0024351	-0.00550207	5.92971201e-06	3.0272774284900004e-05	-0.00112606	0.08858324	0.0078469904088976	1.2680111235999998e-06	0.0433786	0.1006767	0.00188170293796	0.01013579792289	-0.00103453	-0.000849435	7.215398192250001e-07	1.0702523209000002e-06	2.26299e-05	-0.0001490920999999	5.121123740100001e-10	2.2228454282409997e-08	0.00037465	0.000681045	1.4036262250000006e-07	4.638222920250001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
523.9509092810374	0.3157419782021406	274524.5553364259	0.099692996799001	639.7845729549681	1.466704980319605	409324.2997911709	2.151223499294333	455.8115801147192	-0.3586646813461698	207764.1965666771	0.1286403536451495	457.7510358398646	532.0306978646564	0.922189	27.351551	0.140209545	0.0782737	-0.0051465706	-0.0408163294	0.0053214916	0.0227095026	0.0097235883	0.0026918644	-0.0646491958	-0.0704715595	-0.0154708344	0.057823788	-0.0403573621	-0.0462902961	-0.0773847084	-0.0231508998	0.0801459143	0.0857625576	0.0205430293	-0.0430743161	0.0472259872	0.0673211286	-0.0039747282	0.0072703929	-0.0864089247	-0.0513558614	-0.0861825622	0.0570686403	-0.0095460522	-0.0684869768	-0.0288557758	0.00585876	0.0732232136	-0.0467027441	0.0421994597	0.0682797933	0.0657446772	-0.0577903774	0.0115911705	-0.0976069609	0.0703754469	0.0188048449	-0.0071106525	0.0323426242	0.1234236293	-0.0769914379	-0.0288996016	-0.0184099444	-0.0074646304	-0.0231144313	0.0235743239	-0.0154941642	0.0187742681	-0.0132725381	-0.0815614902	-0.0336174291	0.0227501826	-0.0112116346	0.031526227	0.0138770658	-0.0392431469	0.0014365056	0.002879498	0.0545419592	0.0411539539	-0.0872150838	0.0238447548	0.0689361755	-0.0226361106	0.00453085	-0.0829774419	0.0253711582	-0.0399420531	0.1017446249	-0.109037529	0.0428725398	0.0106194582	-0.0271130001	0.0176359413	-0.0678931677	-0.0229286344	-0.0477777439	0.0768668192	0.0224915719	-0.0715504849	-0.0683551982	0.0205274288	0.023590818	-0.0359623119	0.0893245868	0.0063596364	0.0068133925	0.0442417579	-0.0726035898	0.0886615012	0.0110474471	6.68642e-05	0.0774768364	0.0335278778	0.012630896	0.0114446818	-0.0736689957	0.0745190232	0.0036071188	-0.1125573908	0.0006458121	0.0090891702	0.0826645244	0.0878701834	0.0208560802	-0.0324582086	0.0068577555	0.0535941943	-0.0220190831	0.0794453334	0.026316145	0.0101059583	-0.0408191839	-0.0160936743	0.0247011	-0.0109656329	-0.0345612286	0.0477499325	0.0328591397	0.0119363176	-0.0117613216	-0.0090268167	-0.0421545528	-0.0133718106	0.000904995	-0.0027344128	-0.0169701265	0.0111154511	-0.1024334184	0.0437561692	-0.0243973392	-0.0023037538	-0.0296971954	0.0254506481	-0.0100592721	0.0713324874	0.1276558954	-0.111462093	-0.0793590114	-0.0306682052	0.0022782695	-0.0047729183	0.0324669816	0.0929874623	0.0921998906	0.0908922084	0.0890717925	-0.0114781	-0.0139132	0.00013174677961	0.00019357713424	-0.0687872	-0.06766114	0.0045780298660996	0.00473167888384	0.0338006	-0.009578	0.00114248056036	9.173808400000008e-05	-0.000717554	0.000316976	1.0047378457600005e-07	5.14883742916e-07	6.0484e-05	3.78541e-05	3.6583142559999997e-09	1.43293288681e-09	-0.000251664	-0.000626314	6.333476889600001e-08	3.92269226596e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
527.8320804374434	3.881171156406026	278606.70513891976	15.06348954531809	647.8523202785059	8.067747323537787	419712.62889024377	65.08854687645113	458.2570111195369	2.445431004817692	209999.4882402114	5.980132799323668	460.22746333823824	543.2691820376074	1.01397	30.0737	0.195530515	0.109589	-0.0582765904	0.006753723	0.063010501	-0.0886393887	-0.0056900103	0.0240816236	-0.0426916307	-0.050329232	-0.0093188806	0.0116106941	-0.1130095096	0.0767565505	-0.0343021001	0.0247247609	0.0308140857	0.1038756083	0.0400368813	0.0454677659	-0.0344758601	-0.0337606025	0.0784515545	0.0092083045	0.0015879602	0.0512201615	-0.0169777823	-0.1013620608	0.0301361327	0.0121460483	-0.0884919989	-0.1018632231	-0.0479269901	-0.0322488814	-0.0164957743	0.0935476376	-0.0146761677	0.0587583121	0.080126806	0.0218915226	-0.0569590889	0.0783368926	0.0362361306	0.0139440672	-0.0506720135	0.0038900494	0.0792350665	0.0790007679	0.0141033387	0.0871505476	0.0388377788	-0.0102503673	0.0049022436	-0.013949658	0.1663103916	-0.1408717305	0.0082405994	-0.0142721249	0.0010390097	-0.0501734006	-0.0150860634	-0.1075787576	0.1339169735	-0.0002578834	-0.0117357508	-0.0099126702	-0.0253287276	-0.1083690687	-0.0382489903	-0.0475966521	0.0413696008	0.0804629124	-0.0395121655	0.0750628222	0.0133961671	-0.0881144737	0.039790128	0.0703750322	-0.021084825	-0.0400823991	-0.1370614345	0.0704825344	0.0364860214	-0.0232836438	-0.0472970147	-0.1219800964	-0.0105450733	-0.03594344	0.0533098275	-0.0563298756	-0.0656182164	0.0454425862	-0.0134451087	-0.0046659787	0.0083581882	-0.0092674498	0.0581886657	-0.1032757259	0.0804721356	0.0752908296	-0.0608090883	0.0235149341	0.0202208499	-0.006418253	-0.0570123025	-0.0082248791	-0.0899435606	0.0318178222	-0.1356898264	-0.0527021673	0.0277566525	-0.0542221786	0.0197341545	-0.073135717	-0.0200303916	-0.0667526724	-0.0194318745	0.0411469528	0.0678218682	0.0413584134	0.0544885196	0.0196023359	0.0360431923	-0.2018427743	0.0588017719	-0.0168342869	-0.0018529675	0.0233304622	0.0890618556	-0.0577571469	-0.0517446089	-0.0564472997	0.0210262498	0.0388510981	-0.0687041694	0.0311923988	0.0651702748	0.0097574164	-0.0134871452	0.1179972625	0.0625903977	0.0330657115	0.0628190222	0.0865381677	-0.1021022541	0.0609980003	0.0081928095	-0.0480497446	0.092883193	0.0917842227	0.0899622271	0.0874315588	0.00210249	0.01358059	4.420464200099999e-06	0.0001844324247481	-0.11592	-0.0471327999999999	0.0022215008358399	0.0134374463999999	-0.052194	-0.0859946	0.0027242136359999	0.00739507122916	-0.00165003	-0.000932476	8.69511490576e-07	2.7225990009e-06	9.08255e-05	3.0341500000000008e-05	8.249271450250002e-09	9.206066222500004e-10	-0.000265297	-1.3632999999999984e-05	7.0382498209e-08	1.8585868899999954e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
