global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
543.9354161668023	n/a	n/a	295865.7369605524	562.0098096891654	n/a	315855.026186852	n/a	432.7862026460516	n/a	187303.89720078924	n/a	429.50410020004057	753.304984233543	n/a	n/a	n/a	n/a	-0.0804158359	0.106989279	-0.0825493153	0.1067929335	-0.1387516984	0.0714514549	-0.0492549246	0.0358020053	-0.2242225652	0.184752728	-0.1121473076	0.0045978086	-0.1073318085	0.0767419494	-0.0896742896	0.4422906037	-0.0080568333	0.2742124257	-0.0015125673	0.0046745376	-0.0746438894	0.0827324401	0.1714318933	-0.0130678075	0.0118824197	-0.0093307891	0.0412346986	-0.0189122847	0.0644233283	-0.0329874258	0.069355003	-0.025893806	0.0181969218	-0.0301088924	0.009463347	-0.0247798935	0.1249319155	-0.0099925824	0.0407459274	-0.0638768748	-0.0295072671	0.1715068047	-0.0290164429	0.0005782377	-0.122507251	0.0672965104	-0.0505994511	0.0141486236	-0.0472963596	0.060748678	-0.0241981923	0.0503703638	-0.0964068245	0.0431605474	-0.0696077809	0.0359646008	-0.002581179	0.0147181553	0.0138610093	-0.0525980256	0.0095960199	-0.0477320602	0.0170029898	-0.0523379002	-0.0269320028	-0.0305398788	0.0312442783	-0.0843345442	0.0878600737	0.0441314999	-0.0593879767	0.0388041066	-0.0149553154	-0.0003715728	-0.0079933798	-0.0136049418	0.0453447799	0.0104643792	0.0359762612	-0.0134633131	-0.1290608116	0.1461674183	-0.0464824776	-0.0047553414	0.0608120841	0.0410066575	-0.0621290635	-0.0310648068	-0.0304287478	-0.0245689058	-0.0533208528	0.1285531302	-0.0563339878	-0.0689278921	-0.0682590932	0.0819095306	0.1703324217	-0.0128602974	0.015810476	-0.0120354174	0.0441628335	-0.0291780003	0.0567144621	-0.0124799463	0.0709780725	-0.0141712293	0.0315854248	-0.0162711526	9.25251e-05	-0.025688346	0.0865833046	-0.096303921	0.0663362495	-0.0740102818	0.0045680747	0.1724804366	0.0299447452	-0.0016685233	0.1213004191	-0.0138764429	0.0719515426	-0.02822783	0.0583595568	-0.0332782	0.0531639374	-0.0780139062	0.0933886775	-0.0455859418	0.0673118611	-0.0306891316	0.0039547914	-0.0016492155	0.0095578633	0.0549313623	-0.0121405337	0.0197120457	-0.0556217503	0.0248610226	0.0474652813	-0.0353537232	-0.0563146673	0.0615617162	-0.0601562698	0.0556750871	0.0830994343	-0.0431472227	0.0231378271	0.0026261229	0.0053612258	0.0141574282	-0.004329265	-0.0199279732	0.0518277182	0.1020815223	-0.1751237154	-0.0043159722	0.0649865851	-0.0010326575	-0.0436188361	-0.0228606752	0.0217443392	0.0535205392	1.44904e-05	0.0465396325	-0.0690908689	-0.116857972	0.0557057035	0.13721749	-0.0530820227	0.0589245994	-0.0169340594	0.017562882	0.001670498	-0.0598555534	0.0192050743	-0.0059540567	0.1072789876	-0.05828644	0.0042608419	-0.0680772005	0.040027103	-0.0024850642	-0.0619960878	-0.0167839605	0.0468989339	-0.1775982827	0.0768622103	-0.0209276119	0.013608111	-0.0599985571	0.0576324431	0.0903489333	0.0903433624	0.0903340779	0.0903210801	0.0259856	n/a	n/a	0.00067525140736	-0.102671	n/a	n/a	0.0105413342409999	-0.0205871	n/a	0.00042382868641	n/a	-0.000894423	n/a	n/a	7.99992502929e-07	-0.0	n/a	0.0	n/a	0.0015089	n/a	2.27677921e-06	n/a	0.0
541.8229114859327	-2.11250468086962	4.462676026696054	293572.0674110928	554.607793455022	-7.402016234143389	307589.8045610484	54.78984433052228	430.1868849568397	-2.5993176892118868	185060.7559888693	6.756452449449823	426.8175439946931	743.2119866445953	1.228634	31.01984	0.0799041199999999	0.0404622	0.0176114584	0.0919800174	0.0494908353	0.1755399039	-0.0309797588	0.1042363566	0.0427265321	-0.0777593284	-0.0899545178	0.1334729176	-0.1195732828	-0.0606480939	-0.0526295591	0.1370865548	-0.085951276	0.1926388751	0.0514658951	0.2465332014	0.020286623	-0.014179177	0.071273446	-0.0256650035	0.1331063625	-0.0453091121	-0.003413798	0.0645266742	0.0383430464	0.0367986322	-0.0319525263	0.0656459024	0.0268947816	0.0093040439	-0.0493663582	0.0338729455	-0.0500119107	0.0579417429	0.091462104	0.0237419983	-0.0081637733	-0.0636400729	0.0717229025	0.1491584186	0.0393187742	-0.0183527574	-0.0170899444	-0.0828072243	0.0453060381	-0.0294975963	-0.0747539323	0.0008532554	0.0956160098	-0.0935536031	-0.0454000503	0.0210537373	-0.0729516773	-0.0777086217	-0.0895466402	0.0175448189	0.0764663817	-0.0805929283	-0.0202054647	0.0452071985	-0.0262289426	-0.1535679634	0.0868413506	-0.0064396353	-0.0092045735	0.0065849759	0.0024399501	0.0212368451	0.0037054689	0.0169652328	-0.0537871104	0.1161563692	0.0009515324	0.0008036358	0.0086964572	-0.03221877	-0.0743482774	0.0695925758	0.071523566	-0.0147436614	-0.0593319003	0.075508304	0.0359879563	-0.0516572932	0.0802214281	-0.0779361085	0.070134548	0.0814187823	-0.064885939	-0.0151646577	0.0070552223	-0.0754459607	0.0765456417	-0.0310620891	0.1330263112	-0.0466547286	-0.0088371005	0.0571121397	0.0532881214	0.0328995913	-0.072355191	-0.0215626367	0.065998835	0.0047570341	-0.0132584033	0.0447878909	-0.0491681494	-0.0803070603	0.0210341887	-0.0317668321	0.0370853512	-0.1432125541	-0.0345796532	0.1046236995	-0.0375353448	0.0373158661	-0.0119584506	0.0890796992	-0.0907885425	-0.0452080114	0.0402655807	-0.0685827734	-0.0327283532	-0.0766103416	-0.0713069456	-0.0856807986	0.0326991735	0.0510348505	0.1002874203	0.0405572231	0.0796576606	0.0210443936	0.0321366375	-0.0254690598	0.0005184022	0.158286843	0.0192827501	0.0877162556	0.0344521574	0.0195781135	-0.003471046	0.0233671243	-0.0028618527	-0.003280789	0.0636550839	0.0740301343	0.079945348	-0.0265709893	-0.0215357098	0.0111029675	-0.0931832025	0.0412855599	0.0582962013	-0.0357209354	0.0316973048	-0.0733889661	-0.0214434345	0.021462018	-0.0801765426	-0.0525089527	-0.096521992	-0.1167665486	-0.0714494858	0.0109220273	-0.0106084332	0.1312873525	0.0106723292	-0.0651700455	0.0314563634	0.0258667518	-0.0071046709	-0.0231439169	0.0188344128	0.0309641662	0.1592798732	-0.080407839	-0.0058808673	-0.0373756341	0.05444552	0.1030190208	0.0543709445	0.0873192242	-0.0255313966	-0.0196935167	0.0032747709	-0.0576106853	0.0383742667	-0.0966450656	-0.0219370975	0.0903340779	0.0902839469	0.0902004158	0.0900835156	0.0435409	0.0175553	0.00030818855809	0.00189580997281	-0.0727004	0.0299706	0.00089823686436	0.0052853481601599	-0.0148922	0.0056949	0.0002217776208399	3.243188601000001e-05	-0.000973946	-7.952299999999996e-05	6.323907528999994e-09	9.48570810916e-07	-4.46534e-05	-4.46534e-05	1.99392613156e-09	1.99392613156e-09	0.00109941	-0.00040949	1.2087023481000003e-06	1.676820601e-07	0.0
540.8691317677675	-0.9537797181651512	0.9096957507831954	292539.41769921867	545.6624607013214	-8.945332753700654	297747.5210186211	80.01897807442974	431.39744268543313	1.2105577285934146	186103.7535555316	1.4654500142572473	428.0808804113527	734.4535549598581	1.143579	28.87241	0.10761378	0.0521196	-0.0729952888	0.0245506887	-0.0722292653	0.1262577298	-0.0538287184	0.1310488969	-0.0404195493	0.0543316207	-0.0461400076	0.1864430934	-0.0541125942	0.0106905759	-0.0764241584	0.0497431108	-0.1152177297	-0.0017392194	-0.0122402869	0.039847814	0.0018886816	-0.0539684104	-0.0627171172	0.0353255456	0.0382948354	-0.1039274725	0.0560299831	0.0074230655	0.0844524064	0.0071062906	0.0077273135	0.0026369192	0.0658899333	0.0071568543	-0.023411299	-0.1335299275	-0.0021925117	-0.0401752039	0.0266165713	-0.095002039	-0.0701050725	-0.1082176553	0.0488667981	-0.0134057365	0.0332845219	-0.0048367286	-0.0933686614	0.0114754862	0.0395351609	0.021086478	-0.0500645002	0.0704014006	0.0071755779	-0.0005109527	-0.0522989361	0.0652824609	0.0903001754	0.0464020111	0.0111596463	0.0040839354	0.1751387747	0.0798663315	0.0400790005	-0.0909502666	0.0473207981	-0.0248124431	-0.0264273764	-0.0111944365	0.0694537059	0.0430535129	0.0848064953	-0.1166684671	0.018716091	-0.0247852498	-0.0063365502	-0.0501798564	-0.1006793016	-0.1465710578	-1.44052e-05	0.0688873946	0.0102377869	-0.0240806468	0.0812583583	-0.0178958631	-0.0698564222	0.0219381977	-0.1150046108	0.0108312074	-0.0750475276	-0.0604574504	-0.0499974148	-0.1656218712	-0.071656522	-0.0252191076	0.0743772718	-0.0085965128	-0.0640499101	0.0322650448	0.036675018	-0.1031366346	0.0638489412	0.0226647091	0.0797917596	-0.0092863958	0.0014505291	0.0160285774	0.0730303578	-0.0001955657	-0.0163235298	-0.0889288252	0.0069597236	0.0682365344	0.0264904258	-0.1057977239	-0.0791311738	-0.099638181	0.033256023	-0.036053597	-0.0164913053	0.0278129678	0.0932101494	0.0102377658	-0.0179278837	0.0327317348	0.0260036428	-0.0577218721	0.0591628513	-0.0707814583	0.0104098483	0.0958444096	0.0308632218	0.0138868087	-0.0334169436	0.0155890048	0.165465585	-0.0620752838	-0.0387414723	-0.0090836066	-0.1209303493	-1.02831e-05	0.0020877232	-0.0266570384	-0.0843897145	-0.0714925573	-0.1261768915	-0.0761264706	-0.0224459118	0.0307050064	-0.062196546	0.0781082138	-0.144593835	0.0223859231	-0.0262117777	0.0573249647	0.0568782497	-0.0532733413	0.0527569353	-0.0228893049	0.076992898	-0.0686246773	0.1274879563	0.0054411149	0.0035620626	0.0986897247	0.0117252923	0.1736979598	-0.1012506959	-0.0001643394	-0.0847517361	0.1314399428	-0.0479207805	0.0812097285	-0.0125584309	-0.0549127513	-0.0049549233	-0.0409042335	-0.000272445	0.0688941642	0.0987932855	-0.0578536056	0.0438336608	-0.0499569082	0.0239831926	0.078638888	0.0476271561	0.0159213833	0.061036366	-0.1252301693	-0.0466244669	-0.1206252909	-0.0380084912	-0.0247810409	0.0673925707	0.0903043695	0.0901651549	0.0899332895	0.0896090116	0.0319976	-0.0115433	0.0001332477748899	0.00102384640576	-0.113716	-0.0410156	0.00168227944336	0.012931328656	0.00905081	0.02394301	8.191716165609999e-05	0.0005732677278601	-0.000906489	6.745699999999993e-05	4.550446848999991e-09	8.217223071210001e-07	0.000192077	0.0002367304	3.6893573929e-08	5.604128228416e-08	0.00141746	0.0003180499999999	2.0091928516e-06	1.011558024999999e-07	0.0
540.1406387849626	-0.7284929828049371	0.5307020259960344	291751.9096670274	546.127816929936	0.4653562286146098	298255.59242465766	0.2165564195104129	429.6447519266381	-1.7526907587950404	184594.6128581024	3.0719248959655348	426.2602908589126	726.4268988861758	1.157598	29.226372	0.13427564	0.0662787	0.065543839	0.0037442786	0.0127592765	0.1146795154	0.0257312096	0.1255681949	0.0099879513	-0.0870846026	0.02925587	0.1133361781	-0.138215146	-0.0682305803	-0.0456739186	0.0072867877	-0.1022714033	0.0181903607	0.0034625625	0.0208156397	-0.0345588688	0.0875808122	0.0819522873	-0.0373207109	0.0871575988	-0.1023806298	-0.0570201223	0.0364970754	-0.0024399579	-0.0172943918	-0.0601150235	-0.0188771324	-0.0680529065	0.0005078316	0.0799132122	0.0441279575	-0.093306616	-0.0715928083	-0.0787200099	0.0122299569	-0.0018463714	-0.0608445925	0.1354035566	-0.0171960583	-0.0275193968	0.0369030791	0.0157847999	0.0155708102	-0.094908858	0.0852503983	0.0604522774	0.0599512299	-0.0228770253	-0.0629817144	0.0137227365	-0.0412749194	0.041603848	-0.0357770903	0.0002124104	-0.0415032819	-0.1084333011	0.0886686624	-0.0539852156	-0.0565091014	-0.0261514939	-0.0413657999	0.0805720309	-0.1191482494	0.0927583085	-0.0291485087	0.0045880121	0.0096268291	-0.0019811792	-0.0133336757	-0.0047139713	-0.0594599136	-0.052399619	0.0763995816	0.153983241	0.0005298645	0.0647746743	-0.0107750578	-0.0198281298	0.072809942	0.0887765015	-0.0186724233	0.0065792324	0.0335021554	-0.0228819129	0.0459330289	0.0951533152	0.0599505803	0.0205427847	-0.0020643622	-0.1173325542	-0.0613870493	0.0814408029	-0.0398622228	0.0863376766	-0.0993152562	-0.0614567258	0.0171897996	0.0085549177	-0.008712955	-0.025904912	0.0170352662	-0.1146807162	-0.0227255948	0.0272041065	0.0196069539	-0.1010340237	0.0914623791	-0.0021799505	0.0317514534	0.0264354758	-0.0923128853	-0.0451558854	-0.0850226676	0.017351791	0.0044824149	-0.0290767176	0.0152694503	0.1404162164	0.0657652421	-0.0293912134	-0.0288211741	0.024867979	0.0211607837	-0.0519367154	-0.0083601197	-0.0482582225	0.0516252428	-0.0104244611	-0.0474685774	-0.1054805506	-0.0832265981	-0.0155976716	0.0765157608	-0.0195912411	0.1232702315	-0.0701605905	-0.0548648112	-0.0967071408	0.0093750629	0.0076233966	0.0032559314	0.0010166222	-0.0039732059	-0.0079290908	-0.0475563623	-0.0681432721	-0.01328633	-0.121471747	-0.0966514632	0.0468862267	0.0614288548	-0.0735223458	-0.0374961487	-0.1002141127	0.0291242759	-0.0586414247	0.0274278858	0.1057698366	-0.0812430405	0.0109168419	-0.0594168884	0.0100159865	-0.011974452	0.0525233534	0.1137917733	0.018863028	-0.0919829884	-0.0253623183	0.0528464168	-0.0970876522	-0.0556639132	-0.0398174795	0.0252020122	0.0939756478	-0.0722578805	0.010378338	-0.0372596787	0.0515893355	0.1433298847	0.006536246	0.0097829155	0.0141621745	0.0072400387	-0.0859800211	-0.0914345822	-0.0132230044	-0.0740388985	-0.0121894216	0.0902598131	0.0899870646	0.0895330941	0.0888988159	0.0437721	0.0117745	0.00013863885025	0.00191599673841	-0.0562169	0.0574991	0.0033061465008099	0.00316033984561	-0.00518708	-0.01423789	2.6905798926400003e-05	0.0002027175116521	-0.000631255	0.0002752339999999	7.575375475599997e-08	3.984828750250001e-07	-0.000148162	-0.000340239	2.1951978244e-08	1.15762577121e-07	0.00101765	-0.00039981	1.0356115225e-06	1.598480361e-07	0.0
539.8691091814078	-0.2715296035547681	0.0737283256066095	291458.6550483268	542.815291430178	-3.312525499757953	294648.4406104291	10.972825186546675	430.5047322135301	0.8599802868919824	185334.32445824324	0.7395660938428162	427.14694936602143	722.3824724075841	1.104011	27.873423	0.05307023	0.0282121	-0.0547750102	-0.0388928807	-0.0275377389	0.0536244313	-0.026275541	0.1651820622	0.0017423003	0.0800139048	-0.0058036996	0.0875118288	-0.0511709216	0.009837988	-0.0788903874	-0.0981610816	-0.1019102699	-0.0671648968	-0.0215490831	0.0468043913	-0.0651682512	-0.0194250844	-0.0412312375	-0.026566595	-0.0325256125	-0.0918856577	-0.0537067112	0.0769406368	0.0897762884	-0.0996379659	0.1048587433	-0.0668846851	0.0280367854	0.090230951	0.0840782614	-0.0148500546	-0.0230138127	0.0248952495	0.0315483262	-0.1372676979	0.0162749346	0.0269971466	0.07739031	-0.0294406169	-0.0016865061	0.0202564523	0.0095121919	0.048253822	-0.0081575436	-0.0424547841	0.0364129419	-0.0720447507	-0.0190461918	-0.0546739322	-0.0254019009	-0.0545485429	-0.0817972752	0.0192206997	0.0388074536	0.1556614504	0.0496382074	0.1552093803	0.0055484187	-0.0017989812	-0.0086803616	-0.2235644889	0.0498158723	-0.0474044883	0.0133085102	-0.0155126757	0.0300070194	-0.0095189246	0.1245756478	-0.0487366947	-0.0038004043	-0.1384862777	-0.004060941	0.00687463	0.0015351243	-0.0116810035	0.0678448842	0.03179185	0.1042774207	-0.0746395893	0.0125317648	-0.0186936275	0.0255061339	-0.023915118	0.0266013569	-0.0268992205	0.0151121664	0.0338762593	0.1195127938	-0.0384782902	0.0075062012	0.0299579876	-0.0476606597	-0.0284382003	-0.0272649132	-0.0915155712	-0.0667153088	0.063976338	0.0764106351	-0.1221973492	0.1326449589	-0.0309041515	-0.0191331784	-0.0805848117	-0.0432698461	-0.0450796415	-0.0451241435	-0.0125604899	-0.0135302995	-0.1067901844	-0.071486063	-0.0018817458	-0.0872277918	-0.0476742531	0.0078855583	0.0339215295	-0.0191178356	-0.0548272477	0.0152379012	-0.0494368867	-0.0162946218	0.0503112179	-0.0545738399	-0.0336377172	-0.0288818133	-0.1053808703	-0.0373723866	-0.0229175561	-0.1119387842	0.1048017774	0.0547676092	-0.1313279658	-0.034200534	0.017641154	-0.0463293517	0.1765513415	0.0904914143	0.03577838	-0.0373075033	0.0614546545	-0.0581959877	-0.0003599868	-0.1072921752	0.0130660597	0.0366765664	-0.1101337638	-0.1126979175	0.032844998	-0.0137436225	-0.0366787243	0.0404795135	-0.0254385631	0.1401144841	-0.0116833023	0.0028751841	0.0115643861	-0.0559699539	0.0115117838	-0.0118862162	-0.0395495494	-0.0437006866	-0.0002067504	0.1129334941	0.01913885	-0.0293807167	0.1103389961	0.0020361177	0.0457453381	-0.0085075365	-0.0574102679	-0.0482753114	-0.0665238619	-0.0195197986	0.0498964168	0.0988998127	-0.0633371851	-0.0285487993	-0.1012823802	-0.0263536241	0.0125162156	0.0186188726	-0.0048476112	0.0508288476	-0.089526765	-0.0034355787	-0.0217410308	0.0220361132	-0.0670455201	0.0120677201	0.0902004158	0.089749793	0.0890004218	0.0879547967	0.0465368	0.0027647	7.64356609000001e-06	0.00216567375424	-0.0776211	-0.0214041999999999	0.0004581397776399	0.00602503516521	0.002338	0.00752508	5.466243999999999e-06	5.66268290064e-05	-0.000314845	0.00031641	1.0011528810000005e-07	9.912737402500001e-08	-0.000103437	4.472499999999999e-05	1.0699212969e-08	2.000325624999999e-09	0.00108404	6.639000000000016e-05	1.1751427216000005e-06	4.4076321000000205e-09	0.0
538.6424691831575	-1.2266399982503344	1.5046456853075805	290135.7096077288	545.2488741925603	2.4335827623822297	297296.33480825444	5.922325061363924	429.4329522090888	-1.0717800044412795	184412.66044301356	1.1487123779201496	426.1108308615924	717.6391338098283	1.099669	27.763807	0.04454811	0.0283813	0.0897811294	-0.0545558302	-0.0038941714	0.0723874316	0.0129531123	0.194758843	0.0155723355	-0.0732161213	0.0622819782	0.089131988	-0.1341992153	0.0340842205	-0.0165512625	-0.1271548132	-0.0916233269	-0.0476606843	0.0961470897	0.0131800268	0.0249234613	0.0329752135	0.0872111207	-0.0035920286	0.0359420619	-0.1251992534	-0.118277691	0.162437457	0.0006104172	-0.0574969377	-0.0164108574	-0.0336928314	0.0592893195	0.0224590925	-0.0584592193	0.02609678	0.0559537844	-0.0220135826	-0.0015689256	-0.0685640909	-0.0100550942	0.0275539804	-0.0068808529	-0.0079349956	0.0559896015	-0.0347299153	-0.0693468361	0.126331545	0.0801301844	0.0237772471	-0.0058471246	-0.1109376267	0.0733004215	0.049413783	0.0842661853	-0.0389473934	0.0683158379	0.0170764915	-0.0501423523	0.0564190843	0.0650365572	0.0318303388	-0.0331481208	-0.0005546477	0.0343902178	0.0166364299	0.0084060545	0.0749219112	-0.0535683057	-0.0691699245	0.0640936953	-0.0013322629	0.0523345739	-0.0075460015	0.1055350927	-0.0456326877	-0.0854703926	0.0168642369	0.0245722486	0.0359229951	0.0381962088	-0.026717368	-0.0514402164	0.1048701867	0.131983863	-0.0592879697	0.0322444314	0.0503578495	0.0497625077	-0.1165558314	-0.0607063911	0.0842579783	0.0245169384	-0.0504019379	0.0491086269	0.0157966606	0.0929532531	0.0042207682	0.0443516972	-0.1213376885	-0.1662136806	0.124831684	0.0104206321	-0.0611261328	-0.0015600898	0.047615782	0.041028352	-0.0046731132	-0.024593671	0.043953152	0.0697709311	0.0205955316	0.0125943637	-0.0240506571	-0.056645458	0.0104534904	-0.0431317821	0.0113302708	-0.0533281806	0.0035258658	0.0951261223	-0.135683439	-0.050911551	0.0089364814	0.0546235405	0.0014588234	-0.1103871478	0.0769794345	0.0132988396	0.0641871195	-0.0575168527	-0.0251603454	0.0265111542	0.1024337875	0.0604236021	-0.0291353925	0.0377723895	0.0114971921	-0.0132108259	-0.0661927248	-0.0126869881	0.0412598275	0.0175340971	0.0925490888	-0.0822609569	0.0010100642	-0.0455876867	-0.0341082115	-0.1146299218	-0.046715763	-0.0588013698	-0.0395306443	-0.0194389811	-0.0400940087	0.0530097039	0.0131244377	-0.1028932666	-0.0441902102	-0.0800061599	0.0869895374	-0.0297800823	-0.0981244896	-0.0514042182	-0.0064311521	-0.1097197078	0.0160259397	0.0274345035	0.0269668414	-0.1075641007	0.1163173222	-0.0477912211	-0.086654045	-0.0091981282	-0.0371811033	-0.0784298802	-0.0917553424	-0.0472190979	0.0259567937	0.0605851316	-0.0320845774	-0.0200539721	0.0025271802	0.0846509657	0.1280384357	0.0137778404	-0.0048845943	0.0863851468	-0.0176186072	0.0289855512	-0.0243640012	0.0198159353	-0.0694569513	0.0197861026	0.0901261876	0.0894534963	0.0883360609	0.0867794369	0.0470107	0.0004738999999999	2.2458120999999935e-07	0.00221000591449	-0.0776170999999999	4.000000000101145e-06	1.600000000080916e-11	0.0060244142124099	-0.00185206	-0.00419006	3.4301262436e-06	1.7556602803599997e-05	-0.0008101509999999	-0.0004953059999999	2.4532803363590093e-07	6.563446428008379e-07	0.00013247	0.000235907	1.7548300900000004e-08	5.5652112649000016e-08	0.00101765	-6.639000000000016e-05	1.0356115225e-06	4.4076321000000205e-09	0.0
