global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
495.6557661739791	n/a	245674.63854151423	n/a	610.2711496074793	n/a	n/a	372430.8760432344	409.57114466372246	n/a	n/a	167748.52254115188	413.7136397220223	510.6068382665176	n/a	n/a	n/a	n/a	0.0712468393	-0.0273795021	0.1755519058	-0.0294349663	0.1064369791	-0.0071941177	0.0466996747	-0.0630492861	-0.0313608033	0.5438632579	-0.0781260781	0.0517441638	0.0555067661	-0.1536163316	0.498126567	-0.0195670185	0.2382534661	-0.0505825965	0.0783044196	-0.0560953295	0.1135872736	-0.013870538	0.1051534838	-0.091199526	0.1178190528	-0.1626176254	0.0002693124	-0.0230406194	0.0107134324	-0.1407929408	0.0687228754	-0.0201714375	0.0581151974	-0.017113051	0.121806136	-0.140464912	0.1074807045	-0.1011695024	0.0330308339	-0.0195747238	0.0775445169	0.0026367733	-0.0525368896	0.0299069714	-0.0460660097	0.0289805587	-0.0080194448	0.016378884	-0.0111606341	0.0205267657	0.0001928021	-0.0799371252	0.0317392158	-0.0396066976	0.0967664206	-0.0929149233	0.0310480763	-0.0240961369	0.0036250119	-0.0145822491	0.0087553374	-0.0046259115	0.0640193237	-0.0475722863	0.0437708407	-0.0174124936	0.0673307383	-0.011903345	0.0397269551	-0.0483911451	-0.0140565204	0.0546606233	-0.0955988012	-0.0358691784	0.0852980664	-0.0571727602	0.023096011	0.0365337199	-0.0554611686	-0.072635456	0.0413886509	0.0035332933	-0.0609803852	-0.0002539492	0.0433208761	0.0144083222	-0.050166142	-0.0267323419	0.0656486614	0.0409736201	-0.0653845541	0.0250795807	0.030612807	0.0311513353	-0.0278600781	-0.0523132161	0.0884272881	0.0223139944	0.0060052154	-0.099501465	-0.0298709027	0.1003831957	0.0275999979	-0.098839763	-0.0136396888	-0.0630675115	0.0801944017	0.064318027	-0.047210616	-0.0602761875	-0.0028131909	0.0865159058	0.0041146829	0.1212017651	0.2035738454	-0.1193654082	0.0055873323	-0.1784806566	0.0044105469	-0.0085237498	0.039358509	-0.0162189591	0.0704358237	-0.0320122435	0.0041125689	-0.0456646095	0.0005344864	-0.0135832169	0.0875393773	-0.009553125	0.1026745431	0.0839018778	-0.0599052335	-0.0370477026	0.0780490297	-0.1039841082	0.0098122267	-0.0022727433	0.0069978756	-0.0209839259	0.0285169206	-0.0290113795	0.007592347	-0.0496190775	0.0404159948	-0.0828740889	0.0421685827	-0.0771527797	0.0345029026	-0.0525734695	0.0798587106	-0.1788454618	0.121930436	0.0555646487	-0.0197176425	0.0279903503	0.0001780189	0.0097384902	-0.054647283	0.0691790916	0.0138363562	-0.0551511696	-0.0468676821	0.0319887407	0.0076100196	-0.0866079495	-0.032850987	0.1040591368	0.0411016274	-0.0100239022	-0.0386808267	0.0418616604	0.0058903093	0.066253791	-0.0317561584	-0.0944875891	0.0567717758	0.0897884601	-0.1940249122	-0.0415329854	-0.02417712	0.0980870985	-0.1784215775	-0.0117658499	-0.0853033069	0.0980112142	0.0135021592	0.0877549537	-0.0134429412	-0.1143786805	0.0663346396	0.0573777814	0.0558868295	-0.0701499517	-0.1255834659	0.1398834916	-0.0041332073	0.074433893	-0.0497780534	-0.0222804893	0.0329394017	-0.1367333428	0.0723907166	-0.0519051029	0.0699380244	-0.1627303422	0.2196556151	-0.0326872166	0.013426707	-0.0132883472	0.0678108392	0.027183203	-0.2202238654	0.057662006	-0.038343341	0.1369629737	-0.0326578427	0.0357651837	0.0903489333	0.0903433624	0.0903340779	0.0903210801	0.0223458	n/a	0.00049933477764	n/a	-0.0780667	n/a	n/a	0.00609440964889	-0.0476169	n/a	0.0022673691656099	n/a	-0.00135455	n/a	n/a	1.8348057025e-06	0.00105829	n/a	n/a	1.1199777240999998e-06	0.00165508	n/a	n/a	2.7392898064e-06	0.0
494.57353565274514	-1.082230521233953	244602.9821680572	1.1712229010903137	599.939672765393	-10.331476842086316	106.73941373856589	359927.6109578468	409.0841658357573	-0.4869788279651743	0.2371483788863348	167349.85473753736	413.0498036087621	505.0013148106275	1.116974	26.186359	0.0548355	0.0247471	0.0390295204	-0.0002332643	0.1758246736	0.0049604006	0.0548504905	0.061216784	0.0344477584	0.0716677489	-0.0183385621	0.3318839616	0.0532647591	0.0635687224	-0.018801707	-0.0667615587	0.1686047192	-0.0459348183	0.1335878512	-0.006816635	0.0051805253	-0.0227270905	0.0237934425	-0.0526370561	-0.0600090378	0.0205018519	-0.1139755501	0.1718491393	0.0209812554	0.0364085724	-0.058398863	0.1751710683	-0.1310136805	-0.0475341741	-0.1974375969	0.0015858834	0.1046874042	-0.116755084	0.1000434389	-0.0176311783	-0.0480658671	0.121757173	-0.013377553	0.0331252371	-0.056019743	-0.039709875	-0.0466801815	0.1127001432	0.0705880782	-0.0888867025	-0.0495933588	0.0573977399	-0.0469410756	-0.0876027207	0.0538813703	0.011279832	0.0227452888	0.0369702204	0.0659998579	-0.0708456364	0.0559153548	0.0079663989	0.0098541763	0.0193135525	0.0867898099	0.03029739	-0.1602348764	-0.0985823511	0.1093987134	0.0414154797	-0.0308737939	-0.0443353325	0.1485766731	0.0406201981	0.0312836031	0.0023235471	0.0378902585	-0.0546679673	0.0234269717	0.0184491225	0.0361723271	-0.0373889594	-0.0965189224	0.004217615	0.0216415818	-0.1133169588	0.0125575589	0.0181111864	-0.0511447146	0.0109511411	-0.0796848849	-0.0776193366	0.1204521724	-0.054633745	-0.0098373417	-0.0907755691	-0.0037662059	-0.0146483588	0.0265619396	0.0660954739	-0.0798173356	0.0203151513	-0.0406105828	0.0269640417	-0.0260363504	0.0372667675	-0.1378729717	0.026483047	-0.0625879891	0.1395285278	-0.0385080815	-0.0327161351	-0.0714475672	0.1252623562	0.0815778743	0.100440898	0.1414833781	-0.0742152683	-0.1225047786	-0.0991528805	0.0635429554	0.0805748066	0.0068726797	0.0514794162	0.0540770304	0.023383365	-0.0423855134	-0.0894512344	0.0412156806	-0.1175121287	0.1107977149	0.0328453676	0.1071469802	0.0483928761	-0.0640330641	0.0143448842	0.0309879091	0.0472227586	-0.0289770647	-0.0721286455	-0.0062061164	-0.0047755893	0.0292024276	-0.0309900584	0.0552327145	0.0603213748	0.1254752209	0.0906880328	-0.0097205834	0.0844864919	-0.0013067637	-0.1519667012	0.1553920291	-0.0073101432	0.0294348236	-0.0309620286	-0.0098812314	0.035055103	0.0204249142	-0.041987458	-0.0325162908	-0.0866340995	0.0810324393	-0.1049078862	-0.016144172	-0.0388849456	-0.009880804	-0.0128521712	0.0915532774	-0.0363939845	0.0912819609	-5.4667e-06	0.1272598993	-0.0850801056	0.1003839149	-0.0655334049	0.0217723411	-0.0467282068	-0.0903661778	0.0254133868	0.0403950785	-0.0331230329	-0.0186484161	0.0432372696	-0.1174464178	-0.0411771529	-0.0129032731	-0.0043362262	-0.0334656247	0.0836831979	0.0988015086	-0.1696805775	-0.0348972102	0.0251491832	0.0070224697	-0.0332083859	-0.1274307766	0.1465660448	0.0190447831	-0.0627261154	-0.0463973433	-0.0773230247	-0.0026541129	-0.1182185871	0.0164545394	0.0032330009	0.0776108781	-0.1515717579	0.0749486965	-0.0931828647	0.0529754025	0.0227718645	0.2095997172	-0.1011588094	-0.0098559966	0.0493225153	-0.1445678705	0.1586235437	-0.0785254299	-0.0279496035	0.0903340779	0.0902839469	0.0902004158	0.0900835156	0.0168465	-0.0054992999999999	0.00028380456225	3.0242300489999985e-05	-0.0625588	0.0155079	0.00024049496241	0.00391360345744	-0.0354286	0.0121883	0.00125518569796	0.0001485546568899	-0.00140702	-5.246999999999999e-05	2.753100899999999e-09	1.9797052804e-06	0.0012497	0.00019141	3.663778810000005e-08	1.5617500900000002e-06	0.001844	0.0001889199999999	3.569076639999999e-08	3.400336e-06	0.0
493.8661750914337	-0.7073605613114182	243903.79889944263	0.5003589636988046	594.1311378938898	-5.808534871503184	33.73907735346851	352991.8090150883	409.8550532666071	0.7708874308498253	0.5942674310422441	167981.16468817336	413.630296718476	501.4966056493673	1.070704	25.101608	0.0281734	0.0161568	-0.0018782764	-0.0030677149	0.1699264752	0.0503839505	0.1373333445	-0.0370916618	0.0698584688	0.0201198389	-0.0158490854	0.2409296219	-0.0078959101	-0.0294463352	-0.061991822	0.1114663369	-0.0306214559	-0.0593575632	0.0354887981	0.0624848857	-0.1102490411	-0.003182568	-0.0176703088	-0.0217964127	0.0514975101	-0.0119043569	-0.0826171611	0.0570880237	0.0001078442	-0.0389010994	0.0337521946	0.0680966018	0.0201910346	-0.0222259737	0.074894332	-0.0884975345	0.1054855326	-0.098275141	0.0012952068	-0.1405957071	-0.0188937271	0.0391589017	0.0309421845	-0.0023510355	-0.1582577929	-0.0522398065	0.0693072248	0.1332951686	-0.0755990677	-0.0926176025	-0.0250014304	-0.0285189919	-0.1164727049	-0.009743741	0.0139735755	0.0393287548	-0.1119612862	-0.1031235303	-0.0768012701	0.0745802073	0.1091446278	0.0004981291	-0.0276488247	0.0895575906	-0.0275055332	0.0106412778	0.083579545	0.0295538296	0.0153519012	-0.1945519213	-0.0443379101	-0.0787146547	0.0179714545	-0.0461831279	0.110047835	-0.0747997783	0.0152121142	0.0661054413	-0.0402234071	0.055612632	-0.0451923687	-0.0381298317	0.0753387238	-0.013096386	0.0326082487	-0.0075187089	0.007177163	-0.0040491341	0.1088681104	0.0795590529	0.0010122481	-0.0113987989	-0.1012767534	-0.0278284579	-0.0248286468	0.0484835088	-0.0177146172	0.0530441829	-0.0185996195	-0.0522967394	0.0503180649	0.0330226338	0.1629314701	-0.0020913729	-0.0115046739	0.0211461404	-0.0238494382	-0.0384819158	-0.0484991646	-0.0328852854	-0.032554143	0.0465473137	-0.1528114553	0.0010204292	0.0042255814	-0.0234577234	0.1351150858	-0.0824958418	0.0660555072	-0.0826661525	0.0931857896	0.0475003044	-0.0011482857	0.0042679069	0.1442299183	0.0561543163	-0.0047931248	-0.152988457	-0.1120348039	-0.0946932653	-0.0029262714	0.0142164788	0.0561255293	-0.0946186079	0.004107736	0.0199395222	-0.0505245899	-0.0453373707	0.1462855154	0.0136160569	-0.0574636701	0.0809080276	-0.0343908217	0.0221985486	0.0862150933	-0.0525508218	0.0001043796	-0.034594101	0.143294186	-0.0519091269	0.1344608601	-0.0647086708	-0.0739455538	0.106826393	-0.0090867779	0.0606596402	0.1000909725	-0.0187378294	-0.0025120519	0.0780787744	-0.0266786914	0.012853932	0.023917544	0.039203174	0.0846243727	0.0306919664	-0.0315646147	0.0855355054	-0.0639163987	0.0446080274	-0.1327808818	-0.0416194426	-0.0200853676	-0.0273932863	0.0080880938	0.0075126157	0.0015072379	0.0138753273	-0.1059707232	0.0483863879	0.0100278998	0.0597973545	0.0583022479	-0.1010787208	0.0857994455	0.0251894894	-0.0203677362	0.0348785412	0.0554353398	0.0073105299	-0.0282023194	-0.0129172644	-0.1607490348	0.0757196671	0.0313128536	-0.0354217982	-0.1437331819	0.1770156211	-0.0140427272	0.0696258799	-0.0276308964	-0.0495117475	0.0198484038	-0.0997485089	0.0434986375	0.0144360617	0.0723104731	-0.0918397424	0.1027091104	-0.0266319926	0.1055747266	-0.0089791276	0.1108265777	-0.1053073766	-0.0960515999	-0.0750159127	0.0277724672	0.0600930573	-0.0197365667	0.0846206787	0.0903043695	0.0901651549	0.0899332895	0.0896090116	0.0170782	0.0002317	0.00029166491524	5.3684890000000634e-08	-0.0603302	0.0022285999999999	4.966657959999988e-06	0.00363973303204	-0.0408332	-0.0054046	0.00166735022224	2.9209701160000023e-05	-0.00168028	-0.00027326	7.46710276e-08	2.8233408784e-06	0.00129648	4.677999999999996e-05	2.1883683999999957e-09	1.6808603904e-06	0.00175787	-8.613000000000002e-05	7.418376900000003e-09	3.0901069369e-06	0.0
493.6404679519199	-0.2257071395138155	243680.91159979047	0.0509437128275089	591.6210401917472	-2.510097702142616	6.300590474301641	350015.4551975649	409.56329368091866	-0.2917595856884531	0.0851236558410978	167742.09153076244	413.3059775223297	498.3784530129753	1.018695	23.882299	0.0927201	0.0500588	0.018937816	0.020045347	0.1604343357	0.0253078434	0.0922034824	0.0607809025	-0.0064780721	0.0775416251	-0.0295578474	0.1201179365	0.0752278895	0.0158164745	-0.1230455644	0.0267466571	-0.0684577917	-0.0304373038	0.0209844378	0.1132713477	-0.0756948822	0.0060781381	0.0887728144	0.0071573384	0.0087196235	0.0747343978	-0.0570712889	0.0903828788	-0.0298951766	-0.0420204216	-0.018520258	0.1595460883	-0.0692195759	0.005744927	0.0453253508	-0.0143566932	0.1231662967	-0.0923765715	0.1042982975	-0.0677430824	-0.0065825851	0.0742044916	-0.0341761075	0.0240801114	0.013914931	-0.0410080745	0.0474721135	0.0707658823	0.0918633129	-0.112032467	-0.000854231	-0.0671108603	0.0637195212	-0.0533780566	0.0145560853	0.0208736538	0.0388884853	0.1069755527	-0.0305527147	-0.0258831219	0.0236700377	-0.0617105244	-0.0858652508	-0.0935101964	0.0387107386	-0.0333218058	0.0036643724	0.0994142614	0.0594790221	-0.0652644642	-0.0800463786	0.0280356805	-0.0151177466	0.0206951985	0.0983887581	-0.0180053052	-0.0123977705	-0.0223512728	-0.0483496713	0.0258786772	-0.0603225351	0.0850833705	0.0004420445	-0.0027066917	0.0077792701	-0.088489423	0.0185022176	-0.0366251075	-0.1527408938	0.0106412109	-0.0787495458	0.0770259432	-0.0640921732	0.0040255052	-0.0240967174	0.0979348194	0.0564955186	-0.0297462008	-0.0567597909	0.0134770041	-0.0403202768	0.0588537009	-0.1187046808	-0.0046107719	-0.0748764961	-0.0253503889	-0.0087206266	0.0454240306	0.040163728	-0.0366285647	-0.0163717413	-0.002229989	-0.016333355	0.0288477096	-0.1215694532	-0.0687917811	0.1308788759	-0.0510759552	-0.0551714758	-0.1111031045	0.0458814152	0.0621852267	-0.0512174307	0.0200328028	-0.002602703	0.0536206735	-0.0189533515	-0.0539497683	0.0319895229	-0.1405154062	-0.0539288988	0.0040688963	-0.0247065921	0.0737085418	0.0223376146	0.0097368652	0.0059902013	0.1284906066	-0.0573815516	0.0132273772	-0.0925089063	-0.0416368071	0.1101026203	0.0682786567	-0.0492095347	0.0657757734	-0.0078295875	-0.054396688	0.0618429883	-0.0034899087	0.017482436	-0.0221394518	-0.0601077481	0.0572737839	-0.0604489518	0.0142434349	0.0623771985	0.0393987031	0.0138199807	0.1011950883	0.0328410386	-0.0021647294	-0.0254822831	0.0072938445	-0.0503960738	0.0068710994	0.0505469883	0.0911959063	0.1582836541	-0.0877855448	0.0479216041	-0.0820327608	-0.0331653416	0.1228465902	-0.0516285405	0.011697513	0.0280637163	0.0981922076	0.023310214	0.0142151574	0.0042327509	-0.0161056542	-0.0570342287	-0.0019432751	-0.1149300798	-0.0065964347	0.0362039599	-0.0513114442	0.0144346495	0.0049185777	-0.0373824655	0.0455223872	0.0165216298	-0.0701782293	-0.0287586647	-0.0037386334	-0.1256499206	0.1244129841	0.0644316155	-0.0447333469	-0.0530877335	-0.0660455828	0.0163222319	-0.0634446534	0.019727459	0.0179265543	0.0473340774	-0.0745827102	0.0241874279	0.0200856146	0.1423995289	0.0518024504	0.1491181751	-0.168631519	0.0739098149	0.0669437213	-0.014073733	0.0018505121	-0.0478430867	-0.0012357273	0.0902598131	0.0899870646	0.0895330941	0.0888988159	0.0190849	0.0020066999999999	0.0003642334080099	4.026844889999987e-06	-0.0214686	0.0388615999999999	0.0015102239545599	0.00046090078596	-0.0429958	-0.0021626	0.00184863881764	4.676838760000002e-06	-0.000985986	0.000694294	4.82044158436e-07	9.721683921959995e-07	0.00104791	-0.00024857	6.178704490000002e-08	1.0981153681e-06	0.00170695	-5.091999999999987e-05	2.592846399999987e-09	2.9136783025e-06	0.0
493.76491566333874	0.1244477114188384	243803.791940024	0.0154872328773865	590.2662489039038	-1.3547912878433408	1.835459433616218	348414.2445950853	409.8931345971928	0.3298409162741222	0.1087950300485525	168012.3817899124	413.6496894041783	496.8310986718269	1.064031	24.945154	0.1057971	0.0522685	0.0256224858	0.0607237815	0.114813021	0.0434840713	0.081863617	-0.0567237734	0.0727499462	0.0207731376	-0.027008678	0.1118655193	0.0766149647	-0.0519417919	-0.0180926897	0.1582050304	-0.0446805958	-0.059613294	-0.025524232	0.0314059256	-0.1034740364	0.1007193759	0.0422035524	0.0079863649	0.0337133586	0.087848393	-0.0060509816	0.0437079795	-0.0841613051	-0.0137639898	0.0295184772	0.0754901747	0.0696132841	0.0920331722	0.1225037595	-0.0431806898	0.0727155001	-0.030319308	0.0208816812	-0.1404139371	-0.0148223299	0.0389610039	0.0290614993	0.0165734415	-0.0303966518	0.0558491367	0.0632211597	-0.0237253192	0.0097104839	-0.0437965482	0.0377310422	-0.054638192	0.0702068444	0.0778930375	0.0349547719	-0.0292460366	-0.0406997926	0.0012163556	0.0182635	0.0026787003	0.0961038418	0.0511765609	-0.0839276236	0.0090794365	0.0743288753	-0.0672723957	0.0581870736	-0.0229496711	0.0037809906	0.0527629729	-0.0739543459	-0.1706349087	-0.056036358	0.0074770993	0.0055681348	0.0019520705	0.0752325232	0.107262575	0.0405534321	0.0329424528	0.0531061439	0.0744014211	0.0102017814	0.1195539462	-0.0190169736	-0.0458621851	0.0684630043	0.0063528556	0.0210212163	0.0532502937	-0.044174987	-0.1208092744	-0.0388979079	0.0425764551	-0.0019801529	0.0747219932	-0.1567905184	0.1410032396	0.0712715112	0.0058782419	0.031048274	0.0161521709	0.0632546556	0.0446964031	0.0706513906	-0.0276503017	-0.0344645174	-0.072524915	0.0440837726	-0.0082784006	0.0890934602	0.0651290423	0.0397847472	0.0462787932	-0.0011187372	-0.0277628014	0.0889535476	-0.0309132616	0.0611057182	-0.0825566057	0.10212393	0.0333854556	0.0013692257	-0.0044753939	0.0217540758	-0.0371060869	0.0244240858	-0.0041045886	-0.0063195555	-0.0509936187	-0.0743711194	-0.0218233748	-0.1085754336	0.0155377377	-0.0275294051	-0.0563062241	-0.0308886978	0.0019126564	0.0011462655	-0.0717421653	0.0152857109	0.0703863711	0.039748768	0.1107340356	0.1150113996	-0.0360739271	0.0019384559	-0.1377331788	-0.0455823548	0.0265506175	0.0299500206	-0.1427454165	-0.0190437507	0.0221141079	0.0148259898	-0.0032934271	-0.0454513476	-0.0406822275	-0.0174235527	-0.0005845414	-0.0891320702	-0.0584853343	-0.0689927306	0.0051125164	-0.071013257	0.0315529887	0.0924401592	0.0209583571	-0.006877888	0.0329498154	-0.0804578955	-0.0587165448	-0.0666412467	-0.1298288607	-0.082837647	-0.0517179136	0.0205813673	-0.1834631261	-0.0068884375	0.0656183489	0.0099835293	0.04944016	0.0497347249	-0.0924117346	0.006499951	-0.021989032	-0.0900235214	0.0086795396	-0.0177483836	-0.0236903968	-0.0304174771	0.1130302329	0.0329422965	0.0037657675	-0.0051315808	0.0755015232	-0.1160527683	0.1490989718	-0.0456508888	0.0528117762	0.0034934487	-0.0725076687	-0.0468627339	-0.0491784628	0.0112452036	0.0651857969	0.0884368941	-0.0941399024	0.0683141436	0.0091313623	0.0821254046	-0.042306204	-0.003100618	-0.0440635013	-0.0123502799	-0.0825622007	0.0902202321	0.106283295	-0.0042825766	0.0931800728	0.0902004158	0.089749793	0.0890004218	0.0879547967	0.012422	-0.0066628999999999	0.000154306084	4.439423640999997e-05	-0.0591067	-0.0376380999999999	0.0014166265716099	0.0034936019848899	-0.0306234	0.0123724	0.00093779262756	0.00015307628176	-0.00172152	-0.000735534	5.410102651560002e-07	2.9636311104e-06	0.00097968	-6.823000000000007e-05	4.6553329000000095e-09	9.597729024e-07	0.00152824	-0.00017871	3.193726410000004e-08	2.3355174976e-06	0.0
