global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
554.0454731336057	n/a	306966.386299841	n/a	687.2416612758558	n/a	472301.1009931981	n/a	461.3667308595339	n/a	n/a	212859.2603440136	460.9751736842714	595.8532911839376	n/a	n/a	n/a	n/a	-0.092118246	0.0554042189	-0.0496927875	0.0493109984	-0.1042346258	0.0522137144	0.2385681233	-0.0426662173	0.0319347013	-0.1251353061	0.2963092014	-0.5469839125	0.094394075	-0.0434629269	0.0589324861	-0.2777868516	0.1480503581	-0.0379514013	0.0994245328	-0.0013299368	0.0504659878	-0.0907985137	0.0354618577	-0.0497991669	0.0119212738	-0.0096619234	0.0632672116	-0.0719086012	0.0966128956	-0.0511258032	0.0682111668	-0.008292649	0.0820903888	-0.0560299191	0.0830943542	-0.0454949215	0.0412306941	-0.1018383209	-0.0881777818	0.0569688272	-0.0347729697	0.1132359474	-0.0216666959	0.0944948025	-0.0265778927	0.1200328685	-0.0540970905	0.0288194057	-0.0833922973	0.0428833657	-0.0318195168	0.0221923666	-0.0796558521	0.0577720859	-0.0405484274	0.0081911337	-0.1380658603	0.0188435288	0.064699607	-0.0964556803	0.0304933128	-0.0357414499	-0.0118734507	-0.0478604468	0.0890174306	0.0077169704	-0.1009127288	0.0468662166	-0.0294348743	-0.0163032552	0.1152596935	-0.0732194187	0.0047508508	0.0171914404	0.0140153958	-0.0125888426	-0.0047047507	-0.0082480812	-0.0709046018	0.0400758897	0.0189359564	-0.181900973	-0.0174464004	0.0173322379	0.1230240663	-0.0562020003	-0.0619824747	0.0233936377	0.0158434704	0.0260677225	0.0328447955	-0.0661016611	-0.0298675792	-0.0511475348	0.0312387592	0.0835933856	-0.1071542481	-0.0068978284	-0.0357923459	0.1167451287	0.0151886256	-0.0981467396	0.0126386342	-0.0963096499	0.0005938172	-0.0020777504	0.0896619866	-0.1098621127	0.0292331615	0.0784816574	-0.0736975784	0.004903788	-0.0898383057	0.0014085263	-0.07357387	0.04879592	-0.0233753766	0.0744117208	-0.06676855	-0.1203295921	0.0087256552	-0.1396873034	0.1333000011	-0.0096831979	0.017158525	-0.1177664376	0.0062717497	-0.1330478411	0.0489390371	-0.0155243268	0.0223664006	-0.0270785009	0.0538187335	-0.0148460846	0.0343377712	-0.0528079397	0.1001485631	-0.0298725091	-0.0031182435	0.1214408979	-0.0672661337	0.0267647877	0.0741762236	-0.0957967427	0.0052057946	0.0196960976	-0.1047369426	0.0507564232	0.0200342904	-0.0367610733	0.1120333253	0.029125553	0.0001092974	-0.013608803	-0.0054253544	-0.0061509059	0.0674679612	-0.0053228793	-0.0167346734	-0.0648944653	0.0391388941	0.0998399338	-0.0016187622	-0.1664533376	0.0759211491	0.060632897	-0.0297452992	-0.0381816753	-0.0479952561	0.0881369788	0.0516726005	0.0617803094	-0.012812545	-0.0134475977	-0.0358045529	0.1339536447	0.0786063753	-0.0776195806	-0.0518241779	-0.0652993952	0.0033227874	-0.0071834692	0.0130555469	-0.0705236897	0.0403909731	-0.0753615355	0.114316821	-0.0900641345	0.053127451	-0.0514906852	0.0930103115	-0.0538052109	0.1444769281	-0.0139369785	-0.0838267882	0.0661317083	0.0790562054	-0.0609808697	0.0861366252	-0.0957202884	0.027925463	-0.1058661549	0.0417477786	0.0903489333	0.0903433624	0.0903340779	0.0903210801	-0.0444128	n/a	0.00197249680384	n/a	-0.0850245	n/a	n/a	0.00722916560025	-0.0305558	n/a	0.00093365691364	n/a	-0.000250352	n/a	6.267612390400001e-08	n/a	0.000262629	n/a	n/a	6.8973991641e-08	-0.000402815	n/a	1.62259924225e-07	n/a	0.0
552.3864868365049	-1.658986297100796	305130.8308395762	2.7522355339682107	672.0894198633516	-15.152241412504168	451704.18829225656	229.5904198228063	460.38818538362045	-0.9785454759134496	0.9575512484306794	211957.2812408229	460.01288748372696	582.1924484329089	1.142639	24.967918	0.10104585	0.0511249	-0.0014924795	-0.0096626872	0.0775848972	0.0109660185	-0.1233225738	0.049162656	0.0408490097	0.0123058418	0.083586958	0.0119094837	0.1211331937	-0.3699675556	-0.0839652298	0.0008260419	0.019512419	-0.2004455913	0.0461242489	0.0553868203	0.1095913093	-0.0761387388	0.0267575381	0.04229318	0.0033874625	0.0295530081	-0.0312637719	0.0121009594	0.0879137329	0.0172370423	0.0420528966	-0.0943091761	-0.1342346626	-0.0369400133	0.013920166	-0.1088206249	0.124261632	-0.0293427323	0.0172569372	-0.0034186681	0.0010861017	-0.2002079757	-0.0185317044	0.0671175461	-0.0234097665	0.12356789	0.0062557548	0.1351989932	-0.0864942369	-0.0765656167	-0.1410231807	-0.0201179296	-0.0353474019	-0.034232232	0.0655216707	0.1609007765	-0.0179581507	0.001648957	-0.0252249748	-0.0094704506	-0.0924905139	0.0640772709	-0.0210619523	0.0419514971	0.0203601161	-0.0073360867	0.0069884825	-0.00201311	-0.1444688171	0.0409146329	0.0350288682	-0.0241981726	0.0821162107	-0.0288118646	-0.0101800359	-0.0345888923	-0.1034713177	0.0845378871	-0.1043704195	0.0864464723	0.0437726253	-0.0632165926	-0.0421733375	0.0044814608	0.0190143186	0.099293892	-0.0100561858	0.0459225748	-0.092978626	-0.0427733779	-0.0568503737	-0.0107499043	-0.0618238162	0.0458232522	-0.0222067503	0.0793441651	0.0187953397	0.0296121896	-0.055600961	0.0077164964	-0.0418669311	0.0566732508	0.0404861008	0.0311638995	0.0170919872	0.015474809	-0.0483007736	-0.018967529	0.0719271283	0.0159986437	0.0330402044	0.1023605695	0.0908209661	0.0005023263	-0.0613637245	-0.0184301959	-0.1714062857	0.0610912817	-0.0438071501	0.0214204826	-0.1418656069	0.1250920507	-0.0893700873	-0.0375021934	0.1703653989	0.0712120322	0.010217731	-0.0831912895	-0.0245438865	-0.1438778338	-0.0860841792	-0.0031533294	0.0091465284	0.0127842399	0.05874296	0.1327758125	0.0547552392	-0.0622948557	-0.0186137463	0.0212177683	0.0838238919	-0.1124682762	0.0236600218	0.0218341415	-0.010595515	0.0052535323	-0.0220653621	0.0002051226	-0.1260060236	0.0823899999	0.0131166091	0.0252072144	0.0618362478	0.0225663777	-0.0046563677	0.021716017	-0.0367494665	0.1018907521	-0.0295889775	0.1622871425	-0.0378576244	0.0564296849	0.0909797918	-0.0157430361	-0.0292185874	-0.0684700033	-0.0669972698	-0.1018661416	-0.066971374	-0.0485252184	0.0338691343	-0.0600836402	0.0114897643	-0.0300147893	-0.0165525903	0.0782918458	0.0369050948	0.0487298321	0.006506686	-0.0266385319	-0.070545397	0.0021666685	0.0493685874	0.0183595578	-0.0109769638	-0.0027692782	-0.0360001545	0.0319263642	0.0470671927	-0.0328384735	0.0368110871	-0.1434398167	0.0975364755	0.0105346086	-0.0513189651	-0.0004388558	-0.0866446107	0.0418133564	0.0478227791	-0.0251055731	0.1545752861	0.0590849786	-0.0648757449	-0.0864023053	0.0734747602	0.0903340779	0.0902839469	0.0902004158	0.0900835156	-0.0275982	0.0168146	0.0007616606432399	0.00028273077316	-0.060499	0.0245255	0.00060150015025	0.003660129001	-0.0232076	0.0073482	0.0005385926977599	5.399604324000004e-05	0.000534169	0.000784521	2.8533652056100005e-07	6.15473199441e-07	-0.0	-0.000262629	6.8973991641e-08	0.0	-0.000402816	-1.000000000015745e-09	1.62260729856e-07	1.0000000000314906e-18	0.0
551.464482101018	-0.922004735486894	304113.075018944	0.8500927322602572	666.6856524620528	-5.403767401298865	444469.759198753	29.20070212734029	459.7910686372576	-0.5971167463628717	0.3565484087869821	211407.82679859133	459.31469587701525	580.2805005229017	1.104178	24.127495	0.1199011	0.0634726	-0.0029670573	0.0092861129	-0.0669567568	0.0975874526	-0.0918166949	-0.0479245411	0.0683527128	-0.064540809	-0.0214974449	-0.0829308115	0.0040588627	-0.0816780689	-0.0667644986	-0.1167885921	0.0337907695	-0.1526520773	0.0222642081	-0.0114373087	-0.0131033376	0.0374942885	-0.088052338	-0.044345791	0.0715415272	-0.0338834909	-0.0242346668	-0.0023525839	-0.0501624866	-0.0246489983	0.1266098771	0.0412070296	-0.0910967119	0.0681931401	-0.0887026144	0.1179845866	-0.0699861583	0.0322447724	-0.0969151086	0.0468335904	-0.0820525432	0.0611599425	-0.0225925862	-0.0039457417	-0.1207077067	0.0451993824	-0.0176644818	0.0355736659	-0.0145313476	0.0182313452	0.0772198064	-0.0640681223	-0.1897361126	0.1136772978	-0.0281767807	-0.1010805195	-0.021115881	0.0906963066	-0.0303795281	0.0392157816	0.099174871	0.0723320811	-0.0340060309	0.1547050006	-0.0167370896	0.0070947676	-0.0051432933	0.0504993994	0.0525937464	0.0330734473	0.046419785	-0.0672312648	0.0348670479	0.0094817067	-0.0078696792	-0.0538850248	-0.1733273792	0.0367986685	0.0330690549	0.0243053994	0.0331057432	-0.064979179	0.0132699251	-0.0372285108	0.0194009824	-0.0473045951	-0.0268663089	0.1119161305	-0.038774347	0.0320780462	-0.1125581985	0.0741498547	0.0076327291	0.0950294617	-0.0167979162	0.0719326433	-0.0262148156	-0.0886878718	0.0610118702	-0.1195232077	-0.1187411963	-0.0921818276	-0.095973835	-0.0319522647	0.0605822198	-0.0450418104	-0.0225775697	0.0122044753	-0.011439609	-0.0873551706	0.0960683954	-0.0366728561	0.0937535452	-0.0699528865	0.0421588765	-0.0587970185	0.120106898	0.0024550559	-0.0756259275	-0.0832705975	-0.0362090196	-0.0510037501	0.0828451167	0.0575465676	0.0577266563	-0.0852608119	0.0232789315	-0.0153179454	0.0291539119	0.0029729261	0.0188618573	-0.0181994092	0.177592129	0.1178392611	-0.1538088837	-0.08162841	0.0120760521	0.0400812963	0.0305803642	0.1606830624	0.0112984479	0.0411268325	0.0764816419	0.12822953	0.0137735159	0.021327594	-0.0201563722	-0.0709009091	0.082014984	0.0228143373	0.0161298371	0.0736937218	0.0384248436	-0.0081759777	-0.0299694936	0.0210240366	-0.0964988446	0.1303962557	-0.0378600422	0.0254080892	-0.0067582373	0.0094811931	0.0060596413	0.0266684848	-0.090863655	0.0174699353	0.0466335554	-0.0655789382	-0.0074909123	0.0137900062	0.0261488133	-0.1179159658	0.1139295057	0.0426728834	-0.065075194	0.0571406931	0.065556733	-0.0321500516	-0.1489045945	0.0377698048	-0.0377795288	-0.0741043687	-0.0580367551	-0.0408740834	0.0383947588	0.0413703626	0.0553778883	0.0190885691	0.0408043828	-0.0510948132	-0.0023079034	-0.0452313628	0.059135246	0.0002191573	0.037945273	0.1122671658	-0.1448146897	0.0297840496	-0.0046475425	-0.0012415515	0.030584886	0.0954907409	0.0653490122	-0.0670861259	0.0697974662	0.0903043695	0.0901651549	0.0899332895	0.0896090116	-0.0276042	-5.999999999999062e-06	0.00076199185764	3.599999999998874e-11	-0.0965989	-0.0360999	0.00130320278001	0.00933134748121	0.0161001	0.0393077	0.0002592132200099	0.00154509527929	-0.000176171	-0.00071034	3.1036221241e-08	5.045829156000001e-07	0.000179409	0.000179409	3.2187589281e-08	3.2187589281e-08	-0.000402815	1.000000000015745e-09	1.62259924225e-07	1.0000000000314906e-18	0.0
550.6390134348818	-0.825468666136203	303203.3231165399	0.6813985187726821	659.1256798402762	-7.559972621776524	434446.6618249063	57.1531860420106	460.6470105071395	0.8559418698819172	0.732636484616953	212195.6682891647	460.1114833122032	571.1794518121046	1.183562	25.86212	0.1326443	0.0736635999999999	0.0217973737	0.1142723317	0.0423702952	-0.0468395691	-0.045306043	-0.0119432413	-0.0648784226	0.1022318954	-0.0392601203	-0.0426591822	0.0516236113	-0.0395921039	-0.0044792857	-0.0078060681	-0.0825679245	-0.0080228935	-0.1159930069	-0.076144274	-0.0009740757	-0.0021695462	0.0871749296	0.0261068139	0.0876370843	0.0438398832	-0.0842716415	0.0668562111	-0.008296083	-0.0249880374	-0.1020949159	-0.0672213514	-0.006178171	0.0388865316	0.0340080667	-0.1015148359	-0.0397563297	-0.0169602162	-0.2831851971	0.0707231654	-0.0318537892	-0.0461801986	-0.065329029	0.0411807553	0.0009598627	-0.0690780771	0.0593833711	0.0347901618	-0.0068241439	-0.0697426593	-0.0964589764	-0.0157588448	0.0451666681	0.0978108303	0.0579088123	-0.0562512572	0.02850181	-0.0059212248	0.0612172561	0.0621806742	0.0580451952	-0.0085744042	0.0005520634	0.0449760503	-0.056583394	0.0165355158	-0.0328692182	-0.0955492596	0.0129850591	-0.0590038519	0.1397282049	-0.0732936505	0.0646448764	0.0810032169	0.0209625482	-0.1932950285	0.0578412816	-0.081032657	-0.0367998269	-0.0342783311	-0.0152480378	-0.0795854009	-0.0261852213	-0.0008408847	-0.0395662967	-0.0377881568	-0.0224344679	-0.0558440292	0.0543192083	0.0020186449	0.1761184455	0.1258101063	0.1168807265	-0.0514320333	0.0425352121	0.1579551598	0.0198390079	0.0214913924	0.0040493518	0.1494711396	-0.0692156692	-0.0175352134	0.0864355227	-0.0315664287	0.0878380715	0.0306880711	-0.074764543	-0.0708216501	-0.0158564143	0.0413090183	-0.0943315375	0.0503101493	-0.0177653055	-0.0336154236	-0.0209731569	0.143855701	-0.0162307999	0.0903900506	-0.1562378899	-0.2262854385	-0.0364662968	0.0579842313	0.0341870437	-0.0373288719	-0.0686491698	-0.0447195954	-0.034693854	0.011575451	-0.0028220363	-0.0378507718	-0.0749036455	-0.0072366157	-0.0676007223	-0.0272121847	-0.0747808567	0.0526361671	-0.0115233784	0.0287564364	-0.0933173612	0.0798033072	-0.007451962	0.0405564007	-0.0243316592	0.0194191428	0.0057274348	0.0660165312	0.0608837142	0.0970482677	0.0370067692	-0.0006314099	-0.0651194227	0.1832247843	0.0748398564	-0.0047258093	0.0791919835	-0.0447959578	-0.0356194998	-0.058285988	-0.1423465234	0.0924197917	0.0797057943	-0.0101869419	-0.0458501299	0.0228756408	0.0035145388	0.0732399962	0.0031601591	0.100738417	0.0212128944	0.08099203	-0.1430157216	0.023141691	0.0892540148	0.0707909219	0.1938991252	0.0089549302	0.0530709769	-0.0640372491	0.1606767	0.0217612327	-0.0670445319	0.0065715424	0.0414006963	-0.0038816006	-0.0935419941	-0.0941709269	-0.0056418453	-0.0762054336	-0.0264684918	0.1016362861	0.1469042587	0.0171246257	0.1314548208	0.017764511	0.0150853246	0.0258900378	-0.1288334527	0.0426991213	0.1048504907	0.1781234341	0.0106839111	-0.0240822005	-0.0817970373	0.1123715426	0.121659417	0.0902598131	0.0899870646	0.0895330941	0.0888988159	-0.0275982	5.999999999999062e-06	0.0007616606432399	3.599999999998874e-11	-0.0393902	0.0572087	0.00327283535569	0.00155158785604	-0.022177	-0.0382770999999999	0.000491819329	0.0014651363844099	0.00038747	0.000563641	1.501330009e-07	3.176911768810001e-07	-2.18367e-23	-0.000179409	3.2187589281e-08	4.7684146689e-46	-0.000402815	0.0	1.62259924225e-07	0.0	0.0
552.0488633539685	1.409849919086696	304757.94753040856	1.9876767943487632	661.449698098893	2.324018258616775	437515.7031151167	5.401060866384146	460.79791299307055	0.1509024859310557	0.0227715602601724	212334.71661876945	460.3209336383353	571.9769664972723	1.312217	28.673376	0.16108788	0.0886524	0.054820309	-0.0827363556	0.07385423	-0.0892601249	-0.0688587732	0.0206793192	-0.0897579934	-0.0107997852	0.0331937417	0.0939399962	0.0405594646	-0.0889354881	0.0328110975	-0.0109507906	-0.0506084247	0.0462117524	-0.0596242481	-0.0245503552	-0.0828113387	0.032974802	-0.0471574988	0.0561396281	-0.1720495611	0.0329122318	-0.1368721777	0.2076956297	0.0550619286	0.0040185633	-0.4467093504	-0.02094074	-0.0819127	0.0681510833	-0.0042485309	-0.0880803242	-0.0335742752	-0.0551811206	-0.0909737532	0.2234233059	0.0324589711	-0.0572674343	-0.0936441194	0.0052215888	-0.006265497	-0.0612119693	-0.0111218073	-0.0978164377	-0.0006023415	0.0329332588	-0.0029982946	0.1054494047	-0.0872980349	-0.0538849474	-0.0847359867	0.0599947997	0.0714932326	0.0951108672	-0.1687534226	0.0040845418	-0.1187407397	-0.002459858	-0.0567778238	-0.0230935275	0.0076717729	-0.0021006748	-0.0394538179	0.0192906668	-0.0018184483	0.0505018974	-0.0336587288	0.0350202821	-0.0834077777	0.0382542511	-0.0549691922	-0.0221075907	0.0344990252	0.0088980564	0.0235767037	0.009368916	0.0140353143	0.0264916844	-0.0419101203	0.0440800286	-0.0306830325	0.0663137908	0.0282253925	0.004208148	0.023809947	-0.0677287376	-0.0766156327	-0.1336822817	0.0278981312	0.0690935224	-0.0765129923	0.0147668679	-0.0195865507	0.047549072	-0.0534725204	-0.0598750782	0.0625988715	-0.0285435234	-0.0239175476	0.1032950878	-0.140539975	0.045954018	-0.1037979131	-0.2003383701	-0.0670882466	0.3074595465	-0.3392692812	-0.025350234	0.0983796535	-0.0862083365	-0.0409976175	0.0663939794	-0.0069783162	0.0466153451	0.0806121676	-0.2289928368	-0.084764344	0.1102530947	0.040406634	-0.0321902898	-0.0390620857	-0.0245397308	0.0441972461	0.0689172209	-0.0367469082	-0.0204156561	0.0897760474	0.0410670301	0.0704102822	0.0071156634	0.1308796645	-0.0360753525	-0.0537921085	0.0435395055	0.1407339443	-0.0749063818	0.1446133765	-0.0403235001	0.0088796342	-0.0151545434	0.0054370961	0.0249786069	-0.0052756019	-0.0278056984	0.0209793316	0.0477298888	0.0254437143	0.000663723	-0.0559302291	-0.0458194317	0.0828896095	0.0422657023	0.0443641359	-0.0173931339	0.0095625314	-0.0276367234	-0.0020568954	0.0576257174	0.0613580747	-0.0196324582	0.0558857381	-0.0196390571	-0.0573327877	-0.0071461981	-0.0389428277	0.0543787971	0.0156738602	-0.020070144	0.0206307411	-0.136329278	-0.0972316459	0.0620332401	0.0001559728	0.065950365	-0.0264650525	-0.0574202441	0.0567076353	0.1225358071	0.1656289363	-0.0732775195	-0.0320823971	-0.0296341509	-0.2597683252	-0.2678391292	-0.082927281	0.2666918853	0.2476349921	-0.1840009852	0.2200460546	-0.036588255	-0.0555422915	-0.0085276572	-0.1193974035	-0.1101337712	0.1362066897	-2.6901e-05	-0.0633796225	0.0157619764	-0.0817138462	-0.1315657257	-0.2786416878	0.0902004158	0.089749793	0.0890004218	0.0879547967	-0.0527579	-0.0251597	0.00278339601241	0.00063301050409	-0.00307672	0.03631348	0.0013186688297104	9.4662059584e-06	-0.0482172	-0.0260402	0.00232489837584	0.00067809201604	0.00185896	0.00147149	3.4557322816e-06	2.1652828201e-06	-0.0	2.18367e-23	4.7684146689e-46	0.0	-0.000402815	0.0	1.62259924225e-07	0.0	0.0
553.3124981691789	1.2636348152103665	306154.7206302176	1.596772946211737	665.1010448000559	3.651346701162879	442359.39979412593	13.33233273209304	461.95462374527216	1.1567107522016045	1.3379797642588016	213402.074399636	461.447518854792	580.385633286069	1.17957	25.774904	0.171891	0.0764885	0.0021331137	-0.0819406029	0.0209064623	-0.0266759097	-0.0646677759	0.0043030811	-0.0020525808	-0.0664069778	0.0181916859	0.0248865207	-0.0175307566	-0.0313122713	0.0199011271	-0.0036971529	-0.0226781359	-0.0137110645	-0.0174583672	-0.0541249576	-0.0602821874	0.0978401605	0.0512740504	0.0009251228	-0.1087016458	-0.0350312622	0.108178548	-0.0885706814	0.0019589842	-0.1373954283	0.0522723474	-0.0952725496	-0.0370343453	0.0410444689	-0.1202734529	-0.0554176521	0.0352688462	0.0429990317	0.0045761484	-0.1417738058	-0.0679298327	0.1082961073	0.0776960094	0.0597714848	-0.0986967317	0.0214845306	0.0244171054	-0.1114616114	0.0095358655	-0.0163906203	0.1783902257	-0.0613572193	-0.1889169443	-0.0906724021	-0.0553940433	-0.0518209366	0.0451461947	0.0839994169	0.0517693672	-0.0055274333	-0.015077937	-0.06859051	0.0282987819	-0.0714906452	-0.0098236316	-0.0668636754	-0.1297986396	-0.0502485125	-0.0812134677	0.0712679341	0.0362552439	0.0428642918	-0.0453312959	0.1620007983	0.0205480111	-0.0571110262	-0.0566802818	-0.0478833249	0.0470797158	0.0363435691	-0.0148126192	0.021365199	-0.015815283	0.0879747584	0.0998708804	-0.1252804384	-0.0216200731	0.0192548151	0.1651975805	0.00556598	-0.0083878965	-0.0497847296	-0.0128152451	-0.0417952978	-0.1509181378	-0.1420050962	0.0143757476	-0.0568319664	0.0054984381	0.0623147762	0.0841543486	0.0428719892	0.0550458835	0.0273885242	-0.1062594772	-0.0268219507	0.0990633921	0.0564549565	0.0245329696	-0.1494763662	-0.0453959024	0.0681502775	0.0533769989	-0.0775112492	0.1414430313	0.0178937045	-0.0838799089	-0.0061323405	-0.0899133316	0.1025598164	0.022345798	-0.1317057058	0.0067530531	0.0160542654	0.0796669869	-0.0880607656	-0.0393425552	0.0833568898	-0.0210978676	0.0868983934	-0.0078282226	0.04934994	0.1748560039	0.1310079175	0.055338816	-0.1153094434	-0.0608971632	0.1429369601	0.0379682918	0.0003140923	-0.0495385589	-0.0143046681	-0.0481338904	-0.0681199225	-0.0325206346	0.0394884581	0.1146494352	-0.019644553	-0.0762763171	0.0980350625	-0.023875223	0.0299251822	-0.0662130676	-0.1445667548	0.0218475355	-0.0049654907	-0.0694651992	-0.0287592324	-0.1143588491	-0.0557159845	-0.0581853057	-0.0186277448	0.0175575943	-0.0817354403	-0.0508896721	0.1175020471	0.0540205182	0.0610235761	0.0285120174	0.1126933455	0.0434984561	0.0374466419	-0.1040208296	0.0509491135	-0.1458526348	-0.0385230127	-0.1131151565	-0.0415786381	0.0408480774	-0.0725997031	0.0741143934	0.0370750279	0.0491453875	-0.0453535094	0.0191496311	0.0110445983	-0.1524679644	-0.0210411536	-0.0184068265	0.0819804152	0.0654827868	-0.0940439951	0.0991701373	-0.0590575191	-0.0356602272	-0.0717289349	-0.0635646042	0.0374894586	-0.1645998735	-0.110080028	-0.0283857395	0.1927790022	0.1495986957	0.3233348566	0.0513214811	0.0901261876	0.0894534963	0.0883360609	0.0867794369	-0.0178198	0.0349381	0.00031754527204	0.00122067083161	-0.0328739	-0.02979718	0.0008878719359523	0.0010806933012099	0.00465817	0.05287537	2.16985477489e-05	0.0027958047526369	0.00134988	-0.00050908	1.8221760144e-06	2.591624464000001e-07	0.000348436	0.000348436	1.21407646096e-07	1.21407646096e-07	-0.000174724	0.000228091	3.052847617599999e-08	5.2025504281000003e-08	0.0
