global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	motion_outlier55	motion_outlier56	motion_outlier57	motion_outlier58	motion_outlier59	motion_outlier60	motion_outlier61	motion_outlier62	motion_outlier63	motion_outlier64	motion_outlier65	motion_outlier66	motion_outlier67	motion_outlier68	motion_outlier69	motion_outlier70	motion_outlier71	motion_outlier72	motion_outlier73	motion_outlier74	motion_outlier75	motion_outlier76	motion_outlier77	motion_outlier78	motion_outlier79	motion_outlier80	motion_outlier81	motion_outlier82	motion_outlier83	motion_outlier84	motion_outlier85	motion_outlier86	motion_outlier87	motion_outlier88	motion_outlier89	motion_outlier90	motion_outlier91	motion_outlier92	motion_outlier93	motion_outlier94	motion_outlier95	motion_outlier96	motion_outlier97	motion_outlier98	motion_outlier99	motion_outlier100	motion_outlier101	motion_outlier102	motion_outlier103	motion_outlier104	motion_outlier105	motion_outlier106	motion_outlier107	motion_outlier108	motion_outlier109	motion_outlier110	motion_outlier111	motion_outlier112
485.9387074833672	n/a	n/a	236136.4274306055	655.6595633842446	n/a	429889.4630572183	n/a	414.3556036657779	n/a	n/a	171690.5662892312	413.13393522096857	665.5528070776347	n/a	n/a	n/a	n/a	-0.0113903456	0.0159998107	-0.0914953037	0.1186505074	-0.2202364354	0.1824144362	-0.1241089368	-0.1411933056	0.5120028402	-0.0224528008	0.0002637434	-0.0400717358	0.0401730264	-0.0149656157	0.0677048656	-0.0854524995	0.0528993393	-0.0231474034	0.1095090782	-0.0336057496	0.021008309	-0.0466347326	0.035193039	-0.0098087518	0.0304045671	-0.0448626401	0.0237469974	-0.0147851509	0.1020577625	-0.0387113284	0.048564858	-0.0017092925	0.1145116341	-0.0059055676	0.0663467154	-0.0942565129	0.0007590066	-0.0576523359	0.0450332312	-0.0501058219	0.0071023073	-0.0323500215	0.047333778	-0.0369183549	0.0296600554	-0.025387782	0.0592751374	-0.0684412569	0.007768928	0.0509841464	-0.1265292531	0.1400829225	-0.003942554	-0.0372948589	0.0456695407	0.0077101328	-0.0622309867	0.0704467533	0.0007650568	0.0542008801	-0.0521205991	-0.0160579634	0.0912406966	-0.0568093626	-0.0664487179	0.0674108328	-0.0210207999	0.0047341393	-0.0403856971	0.0380248434	-0.0172735101	0.0720088888	-0.0872521932	0.0286993352	-0.0867667953	0.0450163918	-0.0784505517	-0.0213969822	0.0448434174	-0.0530132217	0.0066152006	-0.0611762687	0.0221592096	-0.1008002749	0.0281238937	-0.1057845511	0.1085480134	-0.0779619059	0.0737308007	-0.0119046962	0.0082582528	-0.0107150656	0.0328624032	-0.0973251115	0.0559758718	-0.0495399312	0.0366871586	-0.0534668269	0.0528847325	-0.0271305768	0.0261242113	-0.0102663454	0.0911170112	-0.0381779634	0.0239564756	-0.1162085369	0.1093420956	-0.0175116136	-0.1513913161	0.0189524698	-0.0484567962	-0.0086711109	0.0368100586	0.1313691996	-0.0139376158	-0.0128281931	0.0349608998	0.0517529102	-0.0099191585	-0.0882219757	0.0868995088	0.0225847887	-0.0321425331	0.0930462698	0.0930398161	0.0930290603	0.0930140029	-0.00544179	n/a	n/a	2.96130784041e-05	-0.0303508	n/a	n/a	0.00092117106064	0.433872	n/a	n/a	0.1882449123839999	-0.00424123	n/a	n/a	1.7988031912900004e-05	-0.00015517	n/a	n/a	2.40777289e-08	0.00089886	n/a	8.079492996000001e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
481.10991936497607	-4.828788118391117	23.317194692315223	231466.75451137376	610.8626759764492	-44.79688740779545	373153.2089011083	2006.7611214267029	414.8732546407696	0.5176509749916818	0.2679625319098387	172119.81741622483	413.47376598249616	625.2111017694385	1.07413	49.231567	0.3629134874	0.205262	-0.0358428444	-0.0090698151	-0.0280476543	0.0119037471	0.0324360527	0.0064807349	-0.0915268035	0.0222190974	0.0142418597	0.0205900776	-0.0233262681	-0.0263605552	0.0531159285	0.0307477388	-0.0213239687	0.02739193	0.0914945134	-0.0599257099	-0.0636309484	0.0496060571	-0.0461622879	-0.1053834008	0.0078802656	0.0563824799	0.061205023	-0.0506620651	0.0053752462	0.0266969025	0.0479540994	-0.0673637115	0.1009433939	-0.0036867526	0.0253173312	0.0030518786	-0.069217801	0.0156306291	-0.0458749346	0.0129962667	0.0453367139	0.0446156554	-0.0703911424	-0.1169923312	0.0439221971	0.0314456896	0.0912451199	-0.0283404122	0.0322022569	0.056105759	0.0205647574	0.055762577	-0.0232843844	0.0155214076	0.0265550864	-0.0577372783	0.0232740982	0.0867882528	-0.1100433524	-0.0604434805	0.0255281822	-0.0317106797	-0.0198394975	-0.0495611587	-0.127886997	-0.0474219071	0.044352185	0.099270523	0.0149514513	0.0299798442	-0.0248715135	0.0511314978	0.0317843764	-0.0168999582	0.0257421793	0.1178510166	-0.0124835626	-0.0613369708	0.0261446408	0.0100128346	0.0912044949	0.0234523403	0.0765274592	-0.0893021596	0.0085550807	-0.0086237012	-0.0202722566	-0.0567107855	0.0958295826	-0.0617712475	-0.0589451197	0.0130224593	-0.0146628969	0.0593043917	-0.0309715714	0.0050824617	0.0559968249	0.0221052894	-0.0292021211	0.043067225	0.1383227667	-0.0128866581	0.1090616293	0.0135308023	0.0305006866	-0.005831306	-0.0047451873	0.0302574469	0.0183603507	0.0142038902	0.0162718696	0.0436796181	-0.0088495963	0.0686987295	0.0011965756	0.0274104472	-0.1426270413	0.0091907837	-0.0278971146	-0.0747658748	0.0778246717	0.116611098	0.0506545594	0.0898441324	0.0494436732	0.0930290603	0.0929709861	0.0928742226	0.0927388101	1.54474e-05	0.0054572374	2.9781440039958764e-05	2.3862216676e-10	-0.0706369	-0.0402861	0.00162296985321	0.00498957164161	0.295318	-0.1385539999999999	0.0191972109159999	0.087212721124	-0.00102919	0.00321204	1.03172009616e-05	1.0592320560999998e-06	1.05879e-22	0.00015517	2.40777289e-08	1.1210362640999999e-44	0.000693747	-0.000205113	4.81284900009e-07	4.2071342769000014e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
477.77136189078885	-3.338557474187212	11.145966008451296	228265.47424297917	606.4846116038461	-4.378064372603035	367823.5841122681	19.167447650656005	413.133270963636	-1.73998367713358	3.027543196691294	170679.09957711308	411.5365865556246	618.4801600986239	1.052579	48.243805	0.5446487374	0.283455	0.0382558538	0.0119563931	0.0306125584	-0.0646136378	0.0656071273	0.0261264779	-0.0210262938	0.0104384713	0.0391143008	-0.0451110395	0.0449502749	0.0303589658	0.019290142	0.015425452	0.0673857202	-0.1135079168	0.0059508975	-0.030972073	0.1118597888	0.0403371535	0.0047134719	0.0642920473	-0.0167683569	-0.0801783784	-0.1195187011	-0.0278909664	0.0425022136	-0.0729908755	0.0055795565	0.0269088587	0.0230213913	-0.0762184864	0.085945439	-0.0129705126	0.0067757177	-0.0223285613	-0.0252004264	-0.0541092842	0.0614214548	0.0194829903	-0.0068900926	-0.0857448972	-0.0108878306	-0.0196984912	-0.0223277024	0.0701078345	0.0147657714	0.0041264097	-0.0539170285	0.0598370912	-0.0508714736	-0.0590295642	-0.0890604993	0.006674933	0.0874797481	-0.1144292646	0.1139927203	-0.0107842227	0.0552087144	-0.0067234874	-0.0515505175	-0.015843886	-0.0478660744	-0.0516347864	-0.0802177997	0.0304049804	-0.0396424263	-0.0519380696	0.0253653727	0.0180119633	0.0145371934	0.0670050657	-0.1161925754	0.0020766413	-0.075292499	-0.0096854625	-0.1003325602	0.0218090868	-0.0510396339	-0.0134732085	-0.0502911351	0.0984136695	0.0530011398	-0.1287992924	0.0558646449	0.0085061969	-0.0152378717	-0.0502713601	0.044185571	-0.0392152272	-0.028961764	0.0623178897	-0.0141065739	-0.0381043056	0.0639268978	-0.059592144	0.0063582487	0.007597578	0.0696265279	0.0204927072	-0.0467047888	-0.036426478	-0.0211512456	-0.0549451465	-0.039102581	0.0269722881	0.0513818842	-0.076705067	0.0352386868	-0.0615227138	-0.0947070683	0.0104319408	0.0455622771	-0.0763069326	0.140623813	-0.0534724984	0.0315526237	-0.0066703731	0.0499150513	0.0393836328	0.0857751345	-0.0358289517	-0.0508001654	0.0929946445	0.092833377	0.0925648049	0.0921892388	-0.0211928	-0.0212082474	0.0004497897577796	0.00044913477184	0.113942	0.1845789	0.03406937032521	0.012982779364	0.502712	0.207394	0.043012271236	0.252719354944	-0.00278794	-0.00175875	3.0932015625000004e-06	7.7726094436e-06	0.000188481	0.000188481	3.5525087361e-08	3.5525087361e-08	1.16262e-05	-0.0006821208	1.3516852644e-10	4.6528878579264e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
478.5314043241521	0.7600424333632532	0.5776645005127351	228992.30492444517	608.4229829564623	1.9383713526161728	370178.5261896397	3.757283500643051	413.650897642609	0.517626678972988	0.2679373787846048	171107.06512053616	412.1721482641408	615.9163957267905	1.148634	52.646397	0.62827414	0.346877	-0.017069438	-0.0454735533	-0.0167045661	0.0358572515	0.0211854904	-0.1049771749	-0.145039722	0.0090512202	0.0046695849	0.0218087646	-0.0173760602	0.0104646267	-0.0701237237	0.039097323	-0.0066925223	0.0764528913	-0.1075937869	0.0074212932	0.0635665465	0.0726777178	-0.0497233659	-0.0313010957	-0.0366806943	0.0780949465	0.0098226661	0.1240346647	0.0025179621	0.0170232738	0.0440290237	0.0689618358	-0.0466552053	-0.0012190659	0.0077052061	0.0383580095	0.1156593558	-0.0545086817	-0.0405306985	-0.0495529964	0.1247042059	0.0862921064	-0.0487783699	-0.0905341661	-0.0339533588	-0.0118084111	0.0597567352	0.0978406569	-0.0420130707	0.089992	0.0636307191	-0.1296872463	-0.0013740484	-0.1258085615	0.0380487787	0.0015911974	0.0081003544	-0.1104347549	-0.0744492937	-0.0686034604	0.0165484086	0.0323534173	0.1067787784	-0.0928399306	-0.1322495709	0.0373418553	-0.003841424	-0.1373360787	0.0258952363	0.0190712159	0.0179223637	-0.0680180611	0.0404606551	-0.006425525	0.0799186661	-0.0806918074	-0.0080897214	-0.0583776389	-0.0848685413	0.0717860928	0.0163635796	0.0590876562	0.0652120104	0.0365838335	-0.1284091516	0.0188055021	0.0134282571	-0.0575865126	-0.0501670072	-0.020295625	0.0619190331	-0.0326956954	0.0600892744	-0.079526443	-0.0309593305	-0.1065568094	0.1017202073	-0.0395655658	0.0096066608	0.0678964964	0.0628908389	0.0617102531	0.0599598699	-0.0626736204	-0.1116516286	-0.0296614078	-0.0054628868	0.120851348	-0.1541161631	-0.012956094	0.0430939586	-0.0487956593	0.0703121179	0.0057589386	0.1170087824	-0.1082150048	-0.052433942	-0.0753357366	-0.1079314102	-0.0708911423	0.0568227872	0.0529075835	-0.057484239	-0.0631763601	-0.0798931207	0.0929430287	0.0926270906	0.0921013223	0.0913669149	-0.0158077	0.0053851	2.8999302010000004e-05	0.00024988337929	-0.0713408	-0.1852828	0.0343297159758399	0.00508950974464	0.216485	-0.286227	0.081925895529	0.046865755225	-0.000493804	0.002294136	5.263059986496e-06	2.4384239041600004e-07	-0.000258037	-0.000446518	1.99378324324e-07	6.658309336900003e-08	0.000298557	0.0002869308	8.913628224900001e-08	8.232928398864001e-08	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
476.4678965419361	-2.063507782215993	4.258064367265965	227021.65643509716	603.1905512218494	-5.232431734612874	363838.8410833186	27.378341857383887	412.5629462200446	-1.0879514225644016	1.1836382978599052	170208.1845937634	411.0040110235357	611.0544516979452	0.920361	42.183731	0.43358555	0.264824	-0.0184829085	0.0265569426	-0.0133748985	-0.0773327952	0.0280308987	-0.0588918619	-0.0583449532	0.0443000682	-0.0674270729	-0.0786968911	0.0255855972	-0.0055577422	-0.0508375274	0.0260933552	0.0628751824	-0.0691901916	0.0473396114	-0.1537077135	0.0288915922	0.0059497849	-0.0077682773	-0.0400616984	0.0363558311	-0.0123724965	0.0051370076	-0.0490347056	-0.0064461082	0.0685118872	-0.0312021008	-0.0400644144	0.0688168057	-0.0224253082	0.0937419737	0.1000493506	0.0738436375	-0.0632812518	-0.0482781355	0.0361736673	-0.0338443229	-0.0424547877	-0.0490886532	-0.004106116	-0.011570817	-0.0053782554	-0.0367873832	-0.0992178173	-0.0150830624	0.0644551193	-0.0002362563	-0.0402767128	0.0779047988	-0.0371096991	0.0349302045	0.0442250664	-0.0269343205	-0.0647269063	-0.0690337175	0.107840259	0.0637482613	0.0756128514	0.0199906956	0.0053754111	-0.0380483767	0.0149901981	-0.0747432739	-0.0912911745	-0.0759129856	-0.0279612346	-0.0009142086	-0.0543112288	0.0227514268	0.0660706195	-0.0821648671	0.0454538866	-0.1349250489	-0.0581642733	0.0213174248	-0.0117363411	0.045243938	-0.0230871111	-0.004534528	-0.0202266266	0.044368422	0.0264126269	-0.0475475667	0.0133533342	0.0587516624	-0.0846208014	0.0166047549	-0.0702535068	0.0740189329	0.024698936	0.0271655161	-0.1043150735	-0.0591453907	0.0723765024	0.0249023256	0.0169500975	0.0192330919	0.0424527947	-0.0609918117	-0.0177553777	0.054921931	0.0557114398	-0.0164892007	0.029754407	-0.0498940656	0.0867732736	0.0501830947	0.0251428883	0.0724953283	-0.0716598115	0.0661090228	0.0207265208	-0.0208597578	-0.0684464006	-0.0257081419	-0.0164895314	0.0178106694	0.0289294841	0.0125603269	-0.0706488232	-0.1437319284	0.0928742226	0.0923522795	0.0914845461	0.0902742713	-0.017268	-0.0014602999999999	2.132476089999993e-06	0.0002981838239999	0.150948	0.2222888	0.04941231060544	0.022785298704	0.361034	0.144549	0.020894413401	0.130345549156	-0.00134611	-0.0008523059999999	7.264255176359999e-07	1.8120121321e-06	0.00019374	0.000451777	2.04102457729e-07	3.75351876e-08	0.000300223	1.665999999999994e-06	9.0133849729e-08	2.77555599999998e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
478.52344324875526	2.0555467068191438	4.225272263915025	228984.68573864468	607.7125861318834	4.5220349100339945	369314.58734310186	20.44879972756616	413.38133331483584	0.8183870947912624	0.6697574369208826	170884.1267331514	411.812192680981	613.3952858122635	0.959495	43.977421	0.28177927555	0.209153	0.0537393978	-0.0111380823	0.0576562151	-0.0031023219	0.0361749396	-0.051448971	-0.0333897434	-0.0779579937	0.0078946859	0.0108075133	0.0406308021	0.0155571968	-0.0298084813	0.0528146654	0.0286337435	0.0467912609	-0.0376932271	-0.0087183938	0.0979844405	-0.0118881069	0.0551125057	-0.0070585817	-0.0339782641	-0.0424740772	-0.0381371489	0.127114465	-0.0183887656	0.0413218855	-0.0110838223	-0.0233517527	-0.0987238947	-0.0735051917	0.0268724727	0.0683489371	0.0605197739	0.1277623534	0.094972012	-0.0101680789	-0.0770508234	0.0067414502	-0.0187735674	-0.0151635382	-0.0294695877	-0.0561499968	-0.0098993085	0.0152992315	0.0646353908	-0.0304928274	-0.0852567948	-0.0115008322	0.0350359597	0.0020908546	0.0272381862	-0.080181728	0.1272925301	0.1038818585	-0.0430695419	-0.0253477433	-0.0346212555	0.0396523857	0.0202026308	-0.0345914181	0.0094554322	0.0521858451	-0.0628944974	0.0701460488	0.0159697881	-0.0453563378	0.0127830269	-0.0287202173	0.0538495059	0.0282010348	0.053373044	-0.0727747353	-0.0581009799	0.0299136408	-0.0678874597	-0.0429249256	0.0120492068	0.0322065608	-0.0764354538	0.0849119768	-0.0908077869	0.0253794569	-0.0319574075	0.0009026599	0.0100783623	0.0419397801	0.1007623546	-0.1138679916	0.0253896554	-0.0295863548	-0.0702523373	0.0853462012	-0.1332150185	-0.0313445515	-0.0218155517	-0.0065087084	-0.0055171125	0.0386155486	-0.005756309	-0.0420716208	0.0371123689	-0.0499545354	-0.0934065612	-0.0163735775	0.0078169489	0.0137790275	-0.0245117405	-0.0237342186	-0.055511175	0.1592564819	0.0016016017	0.0546305245	-0.0454866663	0.0475522247	-0.0578677968	0.0243382195	0.0161574638	-0.0315473663	0.0416192982	-0.0564670721	0.0783707217	0.0927882388	0.0920091471	0.0907155029	0.0889145408	-0.00536081	0.0119071899999999	0.000141781173696	2.87382838561e-05	-0.052922	-0.20387	0.0415629769	0.0028007380839999	0.322023	-0.039011	0.001521858121	0.103698812529	-0.00158924	-0.00024313	5.9112196900000025e-08	2.5256837776e-06	9.05289e-07	-0.000192834711	3.7185225766453526e-08	8.195481735209999e-13	0.00040408	0.000103857	1.632806464e-07	1.0786276449000001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
