global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05
638.6415874513071	n/a	407863.0772223256	n/a	944.4762879511508	n/a	892035.4585019851	n/a	509.2949678156058	n/a	259381.3642422989	n/a	509.9912604559172	770.5190856340596	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.000258983	n/a	6.7072194289e-08	n/a	-0.122588	n/a	0.015027817744	n/a	-0.0944155	n/a	0.00891428664025	n/a	0.000348937	n/a	n/a	1.21757029969e-07	0.00028918	n/a	n/a	8.36250724e-08	-0.000785323	n/a	6.16732214329e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0
627.8759758519011	-10.765611599406045	394228.2410519771	115.89839310926594	877.3725715101691	-67.10371644098166	769782.6292383668	4502.908760191672	510.1684160006049	0.8734481849991198	260271.81268456628	0.7629117318782566	510.3698410032198	712.6047280291551	2.442456	54.88163	0.186962617	0.0817105	0.0153493301	-0.1008859903	0.0082485307	-0.03281896	0.0286579866	-0.082191321	0.1227278661	-0.1433470769	0.1179650268	0.0654878623	-0.0030483698	0.0655821667	-0.1022706808	0.1470357338	-0.156756883	-0.0716917783	-0.0079175041	0.1299592709	-0.0750297955	0.0705142352	-0.0353479922	0.029441008	-0.1076880213	0.0853882504	-0.1546096779	0.0543209663	-0.0895239251	0.0463522513	-0.0276222487	0.0186642352	-0.103260662	0.1368603718	-0.0179191481	0.02700438	-0.0132346011	0.2675325555	-0.0864664114	0.0092052343	-0.0102773662	0.0382401479	-0.0754119295	0.0490750853	-0.0658308818	0.1009799415	-0.0781645512	0.1037162737	-0.007287619	0.1111302168	-0.0408577909	0.1314286679	-0.037267694	0.0031255724	0.0557638924	-0.017681549	0.0879409883	0.1223309106	-0.0736498844	0.0262458452	-0.0894353594	0.1028756703	0.0252092287	-0.0406655563	-0.0058477867	-0.0194736705	0.1134378149	-0.0763334986	0.0899308959	0.0425136458	-0.0328235296	-0.0314087144	-0.0134376087	0.077894715	0.0151082562	-0.0027294062	-0.0300644307	0.0205568667	0.0034354138	0.0149499684	0.048039338	-0.0033541692	-0.0428457518	0.0866738275	0.048805011	0.0674472283	-0.0080290546	0.0737100435	-0.1155643003	0.0795900401	-0.0757030017	0.0163542349	-0.1036992363	0.1493558648	-0.1100543732	0.0725489024	-0.0791602905	0.028169115	-0.0094861267	0.0005783397	-0.1671274726	0.0780083037	0.0085090164	-0.015986587	0.0149825063	-0.0632099499	0.2438553883	-0.008889646	0.0026848626	-0.0072433714	0.1305268421	-0.0551751221	0.0890376653	-0.0276609627	0.0854493092	-0.184909634	0.0082111029	-0.0560254939	0.0015348196	-0.1029466228	0.0378990093	0.0071365782	-0.1143861074	0.0742715793	-0.0664599599	0.0760236834	-0.0902755129	-0.0126438266	0.0873593585	-0.0428000531	-0.0260888757	-0.05451041	0.0982257426	0.0276977954	-0.0751162434	0.08444152	-0.047540596	-0.0539183472	-0.0959738031	0.0876569663	-0.042396048	-0.0045627786	-0.0480645154	0.0739180388	0.017300678	0.0038743201	-0.0046004187	-0.0190270513	0.0193519089	0.0161733067	0.0049466191	-0.0616564239	0.0934516642	0.0934450686	0.0934340765	0.0934186881	0.0	0.0279843	0.027725317	0.00078312104649	0.0007686932027504	-0.0812499	0.0413381	0.00660154625001	0.00170883851161	-0.0464858	0.0479297	0.00216092960164	0.00229725614209	-0.000224449	-0.000573386	3.28771504996e-07	5.0377353601e-08	-0.000240948	-0.0005301279999999	2.81035696384e-07	5.8055938704e-08	-0.000489447	0.000295876	2.39558365809e-07	8.754260737600004e-08	1.0	0.0	0.0	0.0	0.0	0.0
626.3336983571525	-1.542277494748646	392293.90169774846	2.37861987080816	874.3369609929089	-3.0356105172602383	764465.1213583155	9.214931212500971	508.5264245457638	-1.6419914548411043	258599.1244612984	2.6961359377712064	508.6936107773709	714.4244054859176	1.206926	27.11945	0.23884766	0.135244	0.0013528501	-0.0839973527	0.0444058184	-0.0726868439	0.0632832829	-0.0937133162	0.0067814701	-0.0452620781	0.0168815461	0.0377280401	-0.2344017202	0.1410287192	0.0078066129	0.1561963609	-0.1694833123	0.0334711067	0.0284563476	0.2014814988	0.0543888228	-0.0901774914	-0.1054129342	0.0231792938	-0.0848559032	0.077759735	-0.1766499631	-0.0401339097	0.121296138	0.0003665912	0.0448687369	0.0351173688	0.0990571003	0.0139936142	-0.0163899574	-0.0581490177	-0.1297351026	-0.0989248899	0.0117111246	0.0040591342	0.1348743687	0.0656138513	0.0687993763	-0.0226090161	-0.0138834979	-0.0034189544	-0.0862059693	-0.0353060887	0.0710820071	-0.0303358701	0.0568167627	0.1142419025	-0.0665476176	0.0394131724	-0.0581457215	-0.0225615331	0.0219579624	-0.099725191	-0.0367827639	0.0064608656	0.0086014473	-0.0057750863	0.1199390618	0.0229584436	0.0720261641	-0.0452823526	0.0928836844	0.0465949393	0.1602813594	-0.0069236224	-0.1535698827	-0.0111276677	-0.0511374017	-0.0336556664	-0.1832262554	-0.0001122497	0.0845894314	0.0322181965	-0.0255604892	-0.0188527133	0.0131309684	-0.0296817614	-0.0838937529	0.0675742967	0.0113458623	-0.0372541991	-0.0532663038	0.1216523743	-0.1694658358	-0.1015784112	0.0291197106	0.0942481711	-0.0643756293	0.147740997	-0.1434782595	-0.021566477	0.1065890642	0.0361139946	0.048777958	0.0155000142	0.1027339568	0.0282185755	-0.055137308	0.0308381739	-0.1364263129	0.0697361296	-0.0793759035	-0.0049144466	0.0233961823	-0.1348374672	-0.0229119068	-0.041243662	-0.0119680771	0.0289388167	0.0916694422	0.1001947033	0.0473762122	-0.0237870819	0.0809943943	-0.0962112156	0.1079454562	-0.0004760328	-0.0397457256	-0.049402314	0.0071053647	-0.0071598054	0.0111942628	-0.1160586541	0.0263311312	-0.0241105721	0.1025443218	0.0675168209	0.0371917335	-0.0580909894	-0.0533309587	0.1128982154	-0.0048736486	0.0999154201	-0.0589621148	0.0140236946	-0.175631528	0.0375262756	0.1607469097	0.0561038715	-0.0855041335	-0.1106793748	0.0375638628	-0.0211841631	0.0055360237	0.0364850518	-0.0224029219	-0.0987385581	0.0934340765	0.0933747261	0.0932758368	0.0931374504	0.0	0.0347781	0.0067937999999999	0.00120951623961	4.615571843999999e-05	0.00794015	0.0891900499999999	6.30459820225e-05	0.0079548650190025	-0.00549443	0.04099137	3.01887610249e-05	0.0016802924144769	-0.00179236	-0.001567911	2.458344903921e-06	3.2125543696e-06	-0.000292771	-5.1823e-05	2.6856233289999997e-09	8.5714858441e-08	-7.17322e-05	0.0004177147999999	5.145508516839999e-09	1.7448565413903996e-07	0.0	0.0	0.0	0.0	0.0	0.0
624.9803333912897	-1.3533649658627382	390600.4171258877	1.8315967308246504	870.8875445622418	-3.4494164306670427	758445.1152736507	11.89847371215576	508.8278774056881	0.3014528599243249	258905.808825178	0.0908738267565546	508.929995848256	704.7826722540842	1.195096	26.853626	0.22125551	0.142443	-0.0284027602	-0.1004820529	0.0086888989	-0.0967148627	0.0867345138	-0.0143068325	0.0070994382	-0.0051392852	0.0619659024	-0.1137984948	-0.0335479527	-0.0117414818	-0.0874073895	0.1085046866	-0.1605744167	0.0247615582	-0.0864285324	0.072277608	0.0661039026	0.0402542856	-0.040853115	-0.0117044663	-0.1385982683	-0.0189854571	-0.0319980867	-0.0275479553	-0.0803396429	-0.0510301825	-0.0659028634	-0.1407211009	0.0394617128	-0.1032138998	-0.0236958728	-0.0667533065	-0.0896517869	0.0609583077	0.1165141903	-0.0097494122	0.1173311535	0.0361245685	0.0075434872	-0.0716815205	-0.0168434512	0.048994945	-0.0375071427	0.1159598847	-0.0395336329	-0.0187948809	-0.0002882544	-0.0824706254	0.0071693496	-0.1373830773	-0.0566447259	0.0257293231	0.0207258516	-0.0641858342	0.0353609716	-0.0253213297	-0.0289698918	0.0967353971	-0.0188937049	-0.0557974392	-0.0133403984	0.0136790143	0.0335781803	0.0802082126	-0.0119616981	0.0812105851	0.0993396726	0.048218704	-0.0501747486	-0.012145821	-0.1045464972	0.0611953001	-0.0481046919	0.0577824797	0.0035771279	0.0253897947	-0.0220471332	0.0788764928	0.0644554725	-0.0201231125	0.0089678006	-0.0334882112	0.0653096891	0.1190395311	-0.0174642244	-0.0239758757	-0.0375701078	0.0336451977	-0.1429156797	-0.0015373061	-0.0315645109	-0.009315228	-0.0904020613	-0.0418506	-0.0957186502	-0.1315744787	0.082171025	-0.0885072259	-0.0437881015	0.0812654602	-0.0570133284	0.1085626622	0.0824342055	-0.0232328812	0.0074845707	-0.1199081319	-0.0243477365	0.0357605356	-0.0128467323	-0.0302226955	0.0545533925	-0.080794286	0.0488807078	0.0509176118	0.0277934783	0.1227767449	-0.0593744651	-0.0168886351	-0.0727345074	-0.0819902785	0.0002732256	-0.1013558786	0.0200429342	0.026814192	0.0142957031	-0.0733060005	-0.0463620921	0.0233428007	0.0635017284	0.0018165522	-0.0355989106	0.0507173636	0.1051778766	-0.0374107859	0.0331219747	0.0610047778	0.0922872855	0.0702267698	0.0979807383	0.0716971359	0.0200696554	-0.058161571	-0.0830831504	-0.0530259893	-0.0649320844	-0.0294400947	0.031999903	0.0654740405	0.0933989044	0.093234094	0.0929596255	0.0925758217	0.0	0.0347775	-5.999999999964367e-07	0.00120947450625	3.5999999999572413e-13	-0.109418	-0.11735815	0.011972298724	0.0137729353714224	-0.0338458	-0.02835137	0.00114553817764	0.0008038001808769	-0.000601522	0.001190838	1.418095142244e-06	3.618287164839999e-07	-0.000362605	-6.983400000000001e-05	4.8767875560000014e-09	1.31482386025e-07	-0.000321968	-0.0002502358	1.03663393024e-07	6.261795560164e-08	0.0	0.0	0.0	0.0	0.0	0.0
624.9265402456383	-0.0537931456514115	390533.1807033834	0.0028937025190739	868.9613012962595	-1.9262432659822932	755093.7431504887	3.7104131197421326	508.76687273217385	-0.0610046735142759	258843.730789676	0.0037215701905834	508.8235148927094	707.0692108870197	1.025725	23.047888	0.0836915	0.0448405	-0.0107603946	-0.0932322045	0.0801255974	-0.0991299434	0.1109188239	-0.0543190373	-0.0360334175	0.0486817478	0.1249079274	-0.0121954864	-0.0042828418	-0.0655640503	-0.1215250013	0.1609027355	-0.0394761268	0.0295764723	0.0442107471	0.0404325335	-0.0243336587	0.0537178428	-0.0708944269	0.0789511586	0.0249896992	-0.1747217345	-0.0209966872	-0.0298549965	0.0820184173	-0.0094239656	0.0194302648	-0.0895650511	-0.00096618	0.0357462161	0.0360038579	0.0375277107	0.0524122312	0.0991456346	0.0524650508	-0.090634958	-0.0017353419	-0.1088436728	0.0313507312	0.2101125451	0.0015464898	-0.0021162121	-0.0627102273	0.096935784	-0.0498735751	0.0897792959	-0.0348820933	0.0042176308	0.0318327423	0.0778812675	0.0477137752	0.0093848184	0.0584139	0.0833572003	-0.0326476847	-0.012474974	0.0095654056	0.1035960486	-0.0914474766	0.0476971291	0.0850392333	-0.0645835031	0.0152965626	-0.0374020179	-0.0260917546	0.0328671713	-0.0255609859	0.0430242242	-0.0637748022	-0.0467371355	0.0455877028	0.0166890419	-0.0123624957	0.1581532869	0.0140406369	0.0723244086	0.0124396796	-0.0573444158	0.1384153949	0.0342089945	-0.0479981145	-0.0362927134	-0.059195237	0.025373487	-0.0481295047	0.0024001151	-0.1202005719	0.0378245906	0.0019008462	-0.15359177	-0.0770419756	-0.0136330629	0.0765957633	0.0129827882	0.0005668663	-0.0607818096	-0.0085644731	0.0291865083	0.05090023	-0.0189105218	0.0679815853	0.0442051635	0.0861027718	-0.0078384326	-0.1706539106	0.1004664393	-0.0067194169	0.0611576835	-0.0187996787	0.0841862162	0.0205541975	-0.1539448887	0.003052675	-0.0042100234	0.048664403	-0.1087308908	-0.0175088218	0.1103736131	-0.0250570712	0.0536769077	0.0113808688	0.0337668435	-0.0663307951	0.0228431626	-0.005044979	-0.0330319537	-0.1063773713	0.0501409721	-0.0631778925	-0.0176686761	-0.0532910216	0.07253527	-0.0244041422	0.016653492	0.0231619652	0.0469954231	-0.0093387191	0.0754370076	0.075240044	0.0012733567	0.1228946008	0.0864907252	-0.0691881094	0.0638376775	0.0450103168	-0.1795509364	-0.0579944253	-0.0680843199	0.0933461545	0.0930232783	0.0924859781	0.0917354927	0.0	0.0289668	-0.0058107	0.00083907550224	3.3764234490000026e-05	-0.0839315	0.0254864999999999	0.00704449669225	0.0006495616822499	-0.0413826	-0.0075367999999999	0.0017125195827599	5.680335423999994e-05	0.000164116	0.0007656379999999	5.862015470439999e-07	2.6934061456000003e-08	-0.000349185	1.341999999999999e-05	1.800963999999997e-10	1.21930164225e-07	-0.00044006	-0.0001180919999999	1.936528036e-07	1.3945720463999994e-08	0.0	0.0	0.0	0.0	0.0	0.0
626.2053144278096	1.2787741821713323	392133.0958176319	1.6352634089879603	871.6629087701243	2.701607473864783	759796.226525594	7.2986829428420545	509.3539662038708	0.58709347169696	259441.462887614	0.3446787445091891	509.3940858374583	719.59446939607	1.131472	25.424026	0.1712005	0.103566	0.0200517811	-0.0355969334	0.0968036815	-0.1038680495	0.0690058573	-0.098588645	-0.0618754254	0.0488754994	0.0390427049	0.0046847007	-0.1701069909	0.0115796705	0.0514431339	0.1037007765	-0.1255297036	-0.0275602009	-0.0131673771	0.1462865197	-0.0100398485	-0.1668809221	-0.0507955285	0.0878246914	-0.1053017075	-0.0709566947	-0.0123291637	0.0365043883	-0.0907718722	0.0887541257	-0.052325135	-0.1134582855	0.1511666706	0.0594251548	0.019833243	-0.0862010073	-0.0659175331	-0.1350314129	0.0349384392	0.1806077709	0.0334286947	0.0158958328	-0.0824821023	-0.0111659758	0.058840627	4.22771e-05	0.0063309383	0.0524275425	-0.0160787167	0.1185296431	-0.1300838185	-0.0046786968	0.0580553842	-0.0059118198	0.0868065848	-0.059722106	0.0589849416	0.0415371799	-0.0432258592	0.1122547732	-0.0219733638	0.0420870709	0.0560120998	-0.0417209983	0.118110425	0.099778419	0.0796270801	-0.0166213772	-0.1167722744	-0.0012162164	0.0164259271	-0.0416190809	-0.0332642742	0.0560769686	0.0860132599	-0.0473149145	-0.0210801383	0.0255562008	-0.0183275215	-0.1227230741	0.0032789889	-0.0553108838	-0.0204577526	-0.0493802757	0.0394516387	0.0181630772	-0.0197617655	0.0292092057	-0.1920637903	-0.1560935429	-0.013142834	0.0147732269	-0.115998434	-0.0510111207	-0.0257621135	0.0369316433	-0.0988582141	0.0354406186	0.0160018665	-0.124305331	0.0910642567	0.0951713352	-0.1434029801	0.0073010858	-0.1107714581	0.0006830268	-0.1498641979	-0.1363986291	0.0515480409	-0.0299709451	0.0891912282	0.0881618527	0.002915197	0.0080926818	-0.0109941364	-0.1003678875	-0.049128094	-0.0011173623	-0.1053783468	-0.0335261703	-0.0750459373	0.0482999648	-0.0105606991	0.0252221959	-0.0976309172	0.066507547	-0.024416363	-0.120947953	-0.0587363698	0.0184030798	0.0019995376	0.1194948184	0.0804874909	0.0584755313	-0.0724589195	-0.0932676978	0.0168931705	-0.1050836899	-0.0553204319	0.0673542254	0.0208854747	0.0295586174	-0.0188766606	-0.0771165756	0.0772877891	0.0787220179	0.0244269277	0.0249716352	-0.0140632292	0.0729503326	-0.0713347482	0.0820084625	0.0932758368	0.0927424375	0.0918556968	0.0906189933	0.0	0.0347718	0.0058049999999999	0.00120907807524	3.369802499999997e-05	-0.0195049	0.0644266	0.0003804411240099	0.00415078678756	-0.0195235	0.0218591	0.0003811670522499	0.00047782025281	-0.00120699	-0.001371106	1.879931663236e-06	1.4568248601e-06	-0.000220865	0.00012832	1.6466022400000004e-08	4.8781348225e-08	-0.00035729	8.276999999999997e-05	1.276561441e-07	6.8508728999999955e-09	0.0	0.0	0.0	0.0	0.0	0.0
625.569054288876	-0.6362601389336078	391336.6416838787	0.4048269643958139	871.8452386457778	0.1823298756535223	760114.1201493134	0.0332441835558289	509.897805525785	0.5438393219141631	259995.77208001123	0.2957612080600567	510.1950783894961	705.5599685643803	1.536302	34.520485	0.2753026	0.172059	-0.1039681922	0.0594036766	0.0481839845	0.0836292302	-0.0931627241	0.0050942534	-0.0742609579	-0.1699451354	0.0042259356	0.0070282974	0.0683814899	-0.0243683324	-0.0828780308	0.0038014273	-0.0962357728	-0.054897006	-0.0509454575	-0.040009002	-0.1007055084	0.0101799499	-0.053535099	0.0224989758	-0.1182088689	0.1145660178	0.0191744861	-0.0685401572	-0.103194706	-0.0523971454	0.0683777829	0.0511241916	0.0193622711	-0.0821135101	-0.0853410958	-0.0012083608	0.0259322551	0.0449640684	0.0293866733	0.166241245	-0.057809356	0.0247080271	0.1032765545	0.0559093442	0.0437803538	-0.1298823027	0.1123121087	0.0726644108	-0.0945057277	-0.0612302748	-0.0659650886	-0.0466076875	-0.1496161536	0.082660558	0.0783907554	0.0574096398	-0.0172215672	0.061723083	0.1603858643	0.0080251558	0.0527281207	-0.0937520011	-0.0820492413	0.0291237587	0.0020375474	0.0909933608	-0.0599284884	0.069784312	-0.0528399061	-0.0444710704	0.077515559	-0.0399131728	-0.0106463267	-0.0579804628	0.0578244172	0.0319559283	-0.0376946742	-0.0457347603	-0.0148278986	0.0369561655	0.0419334856	0.0543223458	0.0583508966	0.0980348621	0.0290965984	0.0618457417	0.0661991125	-0.0802524673	-0.0200773214	0.0505496651	-0.0549630918	0.0437795877	-0.0878981814	0.1293593031	0.0593350991	-0.0710461987	-0.0663132088	-0.1203801447	0.0306978065	0.0790970029	0.0412388227	-0.029439996	0.0177422178	0.0825539872	0.0019340826	-0.086675343	0.0106907608	-0.1345240134	0.0274436086	0.0226626543	-0.076857167	0.0357683509	-0.0208092132	0.1109621427	-0.1267197082	-0.0990303312	-0.0190283169	0.1446572837	-0.0633766849	0.0710259716	0.1802008712	0.0306271561	0.0843690634	0.0496676652	0.0023651004	0.0409364018	0.1062000703	0.0930264658	-0.0952287223	0.0671384235	-0.0360106666	-0.0022149347	-0.0833805709	0.1219922902	0.0487461644	-0.0602518353	0.0600397068	-0.0246451273	0.0357618492	-0.0961489066	0.0296380496	0.0561972924	-0.0936339811	-0.0057338751	0.0464653972	-0.0249695481	-0.0514502533	-0.0707187192	-0.0102348364	-0.0096025885	-0.0322283515	-0.103550495	0.0931879645	0.0923917831	0.091069849	0.0892296847	0.0	0.0170788	-0.0176929999999999	0.00029168540944	0.0003130422489999	-0.144737	-0.1252321	0.020948799169	0.01568307887041	-0.036605	-0.0170815	0.0013399260249999	0.00029177764225	0.000728508	0.001935498	3.746152508004e-06	5.30723906064e-07	-0.000261645	-4.0780000000000026e-05	1.663008400000002e-09	6.845810602500001e-08	-0.000686932	-0.000329642	4.71875572624e-07	1.08663848164e-07	0.0	1.0	0.0	0.0	0.0	0.0
623.6875973911505	-1.8814568977255703	388986.2191395458	3.5398800579991274	868.0642049077395	-3.781033738038332	753535.4638421059	14.29621612818412	508.4091418707634	-1.4886636550215826	258479.855537766	2.2161194777822173	508.5580745019692	701.5868666443748	1.047189	23.53018	0.1313666	0.0955805	-0.1018089212	0.0453460166	-0.0286944044	0.0656986361	-0.0379515529	0.0965610835	-0.0832298654	-0.0371388649	-0.0051954673	0.0716821864	0.0426462052	-0.0008442334	-0.0722493977	0.1392153306	-0.0381209566	0.0413146416	-0.0103569634	0.0091437785	-0.0942182212	0.0020820005	0.0032404282	-0.0236563878	-0.0005806232	0.0297400179	0.0387396565	0.0964923123	0.0211308053	-0.0606109449	-0.0335025353	-0.0796144016	0.0552312699	0.007851503	-0.0184565449	-0.0157881367	0.133521957	-0.0256076632	0.0211596871	0.0274759037	-0.0349940146	-0.0136211164	0.0082352272	0.0307291162	-0.166342655	-0.0931735537	-0.0239987639	0.0379290477	0.026620502	0.0498689105	-0.0379622156	0.0217620208	-0.0447515832	0.100993178	0.053840282	-0.172964715	0.0254208381	0.0269912848	-0.036597201	0.08707384	-0.1166067748	0.0011678804	0.1037809376	-0.0495153695	-0.0348407855	-0.0078390547	-0.033205887	0.0877901129	-0.0791898271	-0.0411082176	0.058802476	-0.007313532	-0.0479914198	0.0558827326	0.0395563558	0.1270305739	-0.1405990674	-0.0233539208	0.0181392228	0.1105415359	0.038820614	0.0120170108	0.0452245103	0.0630695204	0.0539029977	-0.0367839618	0.0257951012	-0.0588471562	-0.0448954798	0.0718428256	0.0223611354	-0.000268147	-0.0027925169	0.0131261009	0.0631295346	0.0871890166	0.0240771776	-0.0102989366	-0.0786865135	-0.0622120981	0.0584310039	0.0231682304	-0.0161774598	0.0216286795	0.1159725613	-0.0254711149	-0.0588002236	-0.0629801812	-0.0450113746	0.0467038653	0.0097888417	-0.1308942842	-0.0955240526	0.0545199559	-0.0038439266	-0.0671133932	0.0236039596	-0.0158984211	-0.0339092976	-0.0671421466	0.0441148235	0.1038849033	0.0765569939	-0.0088827601	-0.1107965127	0.1030102686	-0.0212487169	-0.1169975523	0.0903296371	-0.0123391587	0.0354513667	-0.0187282127	0.0773470189	-0.0059808605	0.0252781819	-0.0799542743	0.1040711682	-0.0236385277	-0.0148249689	-0.0189275674	0.0807476737	0.0310715402	-0.1334448941	0.103191781	0.0176111275	-0.0049011532	-0.1638845603	0.0029627461	0.0019436377	-0.0917669682	0.0234239293	-0.0266519333	0.0930825541	0.091971579	0.0901297655	0.0875717494	0.0	0.0219919	0.0049131	0.00048364366561	2.413855161e-05	-0.0578678	0.0868692	0.0033486822768399	0.00754625790864	-0.0331623	0.0034427	0.00109973814129	1.185218329e-05	0.000166894	-0.000561614	3.15410284996e-07	2.7853607236000002e-08	-0.000100427	0.000161218	2.5991243524000008e-08	1.0085582329000002e-08	-0.000686932	0.0	4.71875572624e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
