global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	motion_outlier55	motion_outlier56	motion_outlier57	motion_outlier58	motion_outlier59	motion_outlier60	motion_outlier61	motion_outlier62	motion_outlier63	motion_outlier64	motion_outlier65	motion_outlier66	motion_outlier67	motion_outlier68	motion_outlier69	motion_outlier70	motion_outlier71	motion_outlier72	motion_outlier73	motion_outlier74	motion_outlier75	motion_outlier76	motion_outlier77	motion_outlier78	motion_outlier79	motion_outlier80	motion_outlier81	motion_outlier82	motion_outlier83	motion_outlier84
573.5439477831555	n/a	328952.66003868706	n/a	757.2629572905803	n/a	573447.1864844753	n/a	432.6207907110376	n/a	187160.7485554434	n/a	431.0710824702598	676.8221002207401	n/a	n/a	n/a	n/a	0.0082609293	0.0938936924	0.0715788632	-0.2067463276	0.0348168008	-0.3630080773	0.3013699517	-0.2758570117	-0.3832391431	0.024052184	-0.3086960581	0.0370765164	-0.201869843	0.0232935164	-0.0240314839	0.1308755113	-0.068102667	0.0712478191	-0.1049975457	0.0051152937	-0.1998072076	0.0595500148	-0.0127025824	0.0852351452	-0.0079098334	0.0002058062	0.0320075929	-0.0386855079	0.0407366623	-0.0068774729	0.0177726753	-0.1067239754	0.0280066646	-0.0377746146	0.0201453039	-0.0133070188	0.023959504	-0.1098395539	-0.0484448567	-0.0508915633	0.0217677329	-0.0150916778	0.0603296869	-0.0114581895	0.1010671046	-0.0308345765	0.0131031826	-0.0501253353	0.0062961429	-0.1006127746	0.0124342686	-0.1131126137	0.0087787279	-0.0252260349	0.1083667153	-0.0900609713	0.0481648083	-0.0949517265	0.0393100115	0.1138237214	-0.0491273946	0.007446549	0.0512815506	-0.0812101794	-0.0001468522	-0.0075688443	0.0672323624	0.0792799414	-0.0368913519	0.0872101273	0.0412119091	0.0146107785	-0.0969914222	0.0008336389	0.0392854569	-0.0525117804	-0.0001015168	0.1119312129	0.0157077285	0.0330983585	-0.0531945383	-0.1512487283	0.0379962993	0.0178568706	0.0325848436	0.0112004175	-0.0881436136	0.0852059851	0.0211940618	0.0415120713	-0.0645406775	-0.0503742596	0.0728985044	-0.1033894982	0.0361636385	-0.2145473684	0.0353130383	-0.000209814	0.1025896607	-0.0080542194	0.002437652	0.020635419	-0.0418269454	0.053050328	-0.0100256517	0.0457648394	-0.0865782276	0.0063911249	-0.0025009913	0.0246421539	-0.0303215713	0.0549737589	-0.1010044	0.0566793546	0.0235924958	-0.044239191	0.044848676	-0.0395479073	0.0434485156	-0.0677070868	0.0376656566	-0.0308652116	0.0097259993	-0.0568680061	0.0134342179	-0.049932999	0.0605774214	-0.1522452768	0.0605563729	-0.0289411711	0.1285344612	-0.0325136791	0.130779293	-0.0500555786	-0.0862965599	0.0275353664	-0.0144064586	-0.0177262998	-0.0656327027	0.1033083582	-0.0793346804	-0.0798461964	0.062984622	0.0408731607	-0.0588988357	-0.0845133492	0.0357039437	-0.0383269887	-0.0553003837	0.0076118881	0.0114929324	0.0017392944	-0.0663270735	-0.0132411992	-0.1447742754	0.0402730432	0.0101959375	-0.1408969384	0.0422249452	0.020700528	0.0099746921	0.0249164216	-0.0179108198	-0.0309577178	-0.1104804	0.0466625451	0.0292520799	-0.0570407828	-0.0539730272	0.098551201	-0.0386445779	0.065368211	-0.0371753301	0.1193411381	-0.0311033132	0.0163797576	-0.0209351897	0.1083512175	-0.0015133195	0.1141509555	-0.0118424842	0.0105818262	-0.0266354655	0.0199525119	0.1728320407	-0.0236416742	0.0123375584	-0.0484936027	0.0097043716	-0.0243372627	0.059418255	0.0903489333	0.0903433624	0.0903340779	0.0903210801	-0.0425749	n/a	0.0018126221100099	n/a	-0.13763	n/a	0.0189420169	n/a	-0.029811	n/a	0.000888695721	n/a	-0.00178433	n/a	n/a	3.1838335489e-06	-0.000520588	n/a	2.71011865744e-07	n/a	-0.00134509	n/a	n/a	1.8092671081e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
569.7176305361548	-3.826317247000702	324578.17854373064	14.640703674695033	741.9238584473043	-15.33909884327602	550451.0117333356	235.28795332379173	431.3498699884488	-1.2709207225888122	186062.71033905167	1.6152394831056684	429.70568012942994	658.9416607674982	1.098342	28.721947	0.0590076	0.0391953	0.0621940031	0.1313847905	0.0210529622	-0.116854092	-0.0893446788	-0.2022280526	0.1212218466	-0.0299654009	-0.1900783721	-0.0290441226	-0.152205067	0.0012700912	-0.1603831088	0.1378892337	0.0979380427	-0.2219518206	0.0150445988	0.0861679564	-0.028522751	-0.05518215	-0.1137315668	0.1337904843	-0.0913351465	0.0358291977	0.0191714319	0.0554446776	0.0178422849	-0.1006646121	0.073012289	-0.0713008149	0.0129755981	0.0218907677	0.0051274785	-0.0081015153	0.0495713034	0.081648143	-0.0602965181	-0.0133910663	0.0478702085	-0.0087186986	-0.0821211228	-0.0173286017	-0.003775383	0.0150735689	0.0027633287	0.0107831713	0.0389041786	0.0016313686	-0.0650252223	-0.0068016831	0.0567974884	-0.0896935646	0.0339747898	0.0294836342	0.0153536227	0.0004264664	0.0871750378	0.0686642168	0.1355109497	-0.0528379838	-0.1357610298	-0.0090507623	-0.0351284909	-0.0237471502	-0.0850502784	-0.0022992314	0.0531091184	-0.1627999494	0.0648152181	0.0282556365	-0.060025442	-0.0332039305	-0.1190788588	0.0545649468	0.0966455529	-0.1641757095	-0.0697385627	0.0716333313	-0.1471815231	0.0479166686	-0.0144769707	0.0251256478	0.1526145082	0.0605400921	-0.0610109121	0.0969069389	0.095906067	0.1301779083	0.0731387392	-0.1261992422	-0.0090690571	0.0506906314	0.0898859816	-0.0257984699	0.0727069384	-0.1199362698	0.1055522327	0.1276335116	0.0481454557	0.0226432785	0.0496328577	0.0020705534	-0.0776639297	0.0962820423	-0.0751084436	-0.045887747	0.0288142937	-0.0104348801	0.024930388	0.0419020326	-0.0664763416	-0.0953694812	-0.022843131	-0.0669012574	0.0388093194	0.0260910551	0.0040442739	0.0006902171	-0.0091019812	0.015779815	0.0434169561	-0.003756522	0.0495772858	0.0706559023	-0.0466218341	-0.0475078056	0.0637174563	-0.0491365226	0.0140818146	-0.0215783136	0.0247134211	-0.0516180865	-0.0017546627	-0.1423593672	0.0618875324	-0.1176746102	0.0611347222	-0.0331442972	-0.1250282355	-0.042286099	0.0360574965	0.0936301023	0.0519149516	-0.0442901817	0.039185315	-0.0506547151	0.0972339423	-0.0520427438	-0.0713143753	0.0949704854	-0.054237996	-0.1966874543	-0.1509666248	-0.0572571661	-0.0387131488	0.0726991209	0.1264259329	-0.0137175549	-0.1183487274	0.0911753084	-0.0914639005	-0.1116629779	-0.0075031504	0.1458318764	-0.0903327443	-0.1126691723	0.0366326527	-0.0594166783	-0.0358964975	0.0787343753	-0.0942703457	0.1349116901	-0.0299957395	0.0454753662	0.021132397	0.0459065687	0.0077628878	0.0996674476	-0.0160546226	0.0485054469	0.0183460278	-0.069389489	-0.0036887509	0.0652632177	-0.0225514645	0.0880670665	0.0124652415	0.0530624354	0.0599405088	-0.0386319527	0.0155313557	0.0903340779	0.0902839469	0.0902004158	0.0900835156	-0.0425081	6.67999999999988e-05	0.00180693856561	4.46223999999984e-09	-0.105275	0.032355	0.0110828256249999	0.001046846025	-0.028657	0.001154	0.000821223649	1.3317160000000052e-06	-0.00179626	-1.1930000000000055e-05	1.4232490000000136e-10	3.2265499876e-06	-0.000924464	-0.0004038759999999	8.54633687296e-07	1.6311582337599997e-07	-0.00125226	9.282999999999992e-05	8.617408899999983e-09	1.5681551076000002e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
570.3972474459393	0.6796169097844995	325353.01989390416	0.4618791440650325	736.8606636198716	-5.063194827432653	542963.6375903176	25.635941860540772	431.00511089437725	-0.3447590940715486	185765.40561707443	0.1188588329450349	429.3150391815083	697.9465744026352	2.234661	58.436996	0.06395334	0.0389652	0.070577741	0.1068315672	0.1005620993	-0.0584181848	-0.0861166455	-0.1396931342	0.0502182736	-0.0608452617	-0.0408115761	-0.0162170424	0.0290394133	0.0106697795	-0.0567242872	-0.0147049176	-0.1108493828	0.042380317	0.0314323121	0.0684605354	0.0236710875	-0.1041337321	-0.1461579692	0.0151050334	-0.0023470797	0.0726089101	-0.0218226436	-0.0175450464	-0.0208315546	-0.0049183952	0.1041792183	-0.0143349281	-0.0187450994	0.0374363166	0.0122702884	-0.0398665122	0.026105077	-0.0399688501	0.0232800397	0.0595165476	-0.006723417	-0.0073588935	-0.0505584085	0.0202550081	-0.042088778	-0.0178356329	-0.0672704846	-0.0097347117	-0.0254252302	-0.0688781402	0.0600270394	-0.0717432524	-0.1218923362	-0.0249833546	0.0028504764	0.0230349283	-0.0373762844	0.0963954672	0.1452399285	-0.0586664339	-0.0175577194	-0.074442155	-0.0665655711	0.0294459784	0.07231194	0.0035598156	0.0195386632	0.0309778668	0.0086944903	-0.0476664237	-0.0656253282	-0.0467224224	-0.0457802599	0.0447487671	-0.0331541775	0.0596831987	0.0379389666	0.1236350771	0.0573794266	-0.0357884112	0.0263877042	0.015929375	-0.0460813116	0.0560284834	0.0890690322	-0.1457041673	0.1267712617	0.0190708069	0.0844234383	-0.0003318827	-0.0283683992	-0.0073965301	0.0258929685	-0.0783144611	0.0708226255	0.0288285366	0.1293044965	-0.1253046817	0.0054619002	0.004094796	0.0729327222	-0.0286421597	-0.0019562172	-0.0215204524	0.0182539954	0.0914001668	0.0028362487	-0.0239615407	0.0018130316	0.005819121	0.0491231816	0.0424844823	0.0297162286	0.0147840147	0.065214276	0.01697599	0.0437446802	0.0333794469	-0.0255561941	0.0405279122	-0.0370744408	0.0447735315	-0.0338249085	0.0202515611	0.032837471	-0.059694903	0.0508085288	-0.0731031494	-0.0961309426	-0.0662948924	0.0408603359	-0.1136970151	-0.0808606346	-0.005082796	0.032833499	-0.0794189484	-0.0139535303	-0.0363419079	0.1446993632	-0.0100969229	0.0628621216	0.0304873542	0.0055561947	0.0514042239	-0.0788663772	0.020883227	-0.0370104505	-0.039644403	-0.0653950072	-0.0831131035	0.0364277	-0.0856368101	0.0619200544	0.0323291102	-0.0176262555	0.0075170382	0.0464837392	-0.0892795207	0.052522515	0.0343958575	-0.1030605545	-0.1515758256	0.0456320425	-0.0729024477	0.0803779838	0.0531250927	-0.0033894747	-0.0436874417	-0.0205467891	-0.0501681454	-0.090195749	0.0904497098	-0.0758635562	0.0811240318	-0.0155069458	0.1196804105	-0.0543771031	0.0433965465	-0.0026438559	0.1360725259	0.0190801296	0.0180303417	0.0713614441	0.0377544978	0.0202435486	-0.0417572079	0.1110281438	-0.0066317588	0.0666085551	0.0311722058	0.0612563741	-0.0090543316	-0.0200507996	0.0903043695	0.0901651549	0.0899332895	0.0896090116	-0.0460688	-0.0035607	0.00212233433344	1.267858449e-05	-0.115696	-0.010421	0.013385564416	0.0001085972409999	0.00629504	0.03495204	3.96275286016e-05	0.0012216451001615	-0.00180905	-1.2789999999999937e-05	1.6358409999999838e-10	3.2726619025e-06	-0.000643372	0.0002810919999999	4.139275303840001e-07	7.901271246399997e-08	-0.00124575	6.510000000000153e-06	4.238010000000199e-11	1.5518930624999997e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
568.8042087377078	-1.593038708231575	323538.2278777298	2.537772325924124	734.0361337942659	-2.8245298256057367	538809.0457156334	7.977968735736374	431.28588985354855	0.2807789591713003	186007.5187867672	0.0788368239133187	429.5490852964947	659.3182063056428	2.206999	57.713612	0.08155199	0.0432622	0.0508722317	0.1224792855	0.0316421963	-0.0503955888	-0.1104812018	-0.0734497226	-0.0236561935	0.0312941258	-0.0744893634	-0.005030333	0.0542758651	0.0098829316	-0.0103506281	0.06031544	0.0736723825	-0.071229197	0.0576198235	0.05296323	-0.0073183839	-0.0167146547	-0.05708793	0.1236534154	-0.030969294	0.0899254053	0.0239422076	-0.0367003204	0.03109106	-0.0336745759	0.0431435693	-0.0748192999	-0.0571382723	0.053148491	0.0067237443	0.002023516	0.0048714696	0.0610534082	-0.019842174	0.0570934782	0.086367458	-0.0340325185	-0.1498145403	-0.0241906474	0.0038672369	0.0837298922	0.0358013816	-0.012709052	-0.0090992672	0.0395926577	0.0545203394	-0.0602807301	0.0147449352	-0.0713051978	-0.0165881104	-0.0342089801	0.027189223	0.0524482235	-0.0082135461	-0.0448731807	-0.0476252659	0.0377050164	-0.0058816625	-0.0715349896	0.0500402662	-0.046927571	0.0472008288	0.1415349979	-0.0909236117	0.0857955898	0.0953591844	0.007566406	0.0141378215	-0.0531032819	0.0200776067	0.029387959	-0.0063309474	0.0367109279	-0.0859896411	0.03551296	0.0056182876	-0.047165863	0.0287134132	-0.0887669956	0.0412707116	0.0407841605	0.0444140058	-0.0419463016	-0.1531471848	-0.0967548717	0.0039117358	0.1165628457	-0.1120263896	0.0128836092	0.0564150669	-0.008323725	0.0189957873	-0.0658487438	0.0996445265	0.0624396311	0.0892936807	0.0108574094	-0.032329461	0.0005978478	-0.0253756361	0.0212947198	-0.0395926854	-0.1042699421	0.0303153962	-0.0137010028	0.048479471	0.005932324	-0.0456419044	-0.0623150775	0.0739050091	-0.1094588307	0.1220398918	0.0643427907	-0.0092847789	0.0229649253	-0.0489153643	-0.0790227912	0.0542871543	-0.0475375968	-0.0397197811	0.0345413289	0.0311312528	-0.0526357708	0.0083550233	-0.0678214053	0.0246876249	-0.0668938097	-0.001261091	0.0622833041	-0.0271119103	0.0367158593	-0.0225243863	0.0319145651	0.0026375183	-0.0356946514	0.0154465843	0.1004086134	-0.0069946643	-0.0964454465	-0.0594314028	-0.0783164429	0.1378006389	-0.0242418494	-0.0226218918	0.0817846554	0.0507463474	-0.0551480926	0.0523031671	-0.0749544785	0.0266355966	-0.0527755204	-0.0088547824	0.0210134171	-0.042251625	-0.132045561	0.0269503886	-0.0038861108	0.0229895136	0.0791200179	-0.0476462639	-0.159346508	-0.0126433254	0.043369864	0.0256919551	-0.0654527829	-0.0342238563	0.0938316829	-0.0772691737	0.0961268422	0.0292898728	0.0565085153	0.0082811657	0.0410362179	-0.0118613034	0.0340594616	-0.0205884383	0.0239724415	-0.0084131459	0.0156886667	0.0226199378	0.0471731241	-0.0303985156	0.117148362	0.0855205771	0.0951557027	0.062174478	-0.0415989447	0.0655094535	0.0902598131	0.0899870646	0.0895330941	0.0888988159	-0.0333033	0.0127654999999999	0.00110910979089	0.0001629579902499	-0.124722	-0.009026	0.015555577284	8.146867600000012e-05	-0.0307539	-0.03704894	0.00094580236521	0.0013726239551236	-0.00172312	8.59299999999999e-05	7.383964899999983e-09	2.9691425344000003e-06	-0.000567867	7.550500000000002e-05	3.22472929689e-07	5.701005025000003e-09	-0.000952954	0.0002927959999999	8.572949761599995e-08	9.08121326116e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
569.0472280697271	0.2430193320193439	323814.74777384003	0.0590583957351281	731.4357618255558	-2.6003719687100784	534998.2736773312	6.761934375653129	430.3434495521389	-0.942440301409647	185195.48457243436	0.8881937217211062	428.65415153754014	666.4602022166148	1.232936	32.241623	0.07677583	0.042665	0.0643774519	0.0989338808	0.0098110338	-0.0053111002	-0.1128891333	-0.012226487	0.0101497984	-0.0289006088	-0.0129085919	-0.0287141962	0.0750275526	-0.023737493	-0.0188745644	-0.0442303647	-0.1200393903	0.0671008025	0.0483556992	0.0420872772	0.0371159929	-0.0750138176	-0.0518476809	0.0463206887	-0.051863103	0.0603722182	0.0502638719	-0.0825501237	-0.033726714	0.0196943601	0.0162795261	0.0342211998	-0.0469251906	0.0103609285	-0.004668267	-0.0238318132	0.0330612476	0.0383344406	0.0853381283	0.0176091138	-0.0479710806	0.0231327334	0.0820336901	0.0287253385	0.0837330368	0.0477211852	0.0690495883	0.0285880029	0.0472194878	-0.0720995132	-0.0655099683	-0.026580071	-0.0612194063	0.1171077788	0.0236826709	0.0298417422	0.0399606372	0.0049062291	-0.0071215319	-0.0484618045	-0.0391592514	-0.0947123306	0.067713847	0.0208664917	0.0390171711	-0.0558642802	0.0961863528	-0.023125559	-0.06582787	0.0074693112	0.0161540154	0.0186119641	0.0389384999	0.0290745081	0.0248944853	0.0283557314	-0.0133549848	0.0412166242	-0.1748135047	0.0492623101	0.0513354902	-0.0313646776	0.1010797024	0.024097882	-0.1012159109	-0.0114574027	0.0299851087	0.0468634866	0.0724789808	0.0422790199	0.0208110429	-0.0041897873	-0.0913109866	-0.0518875937	0.0443729135	0.0393079174	0.0805712059	-0.0407744323	0.0289280014	0.0539759278	0.0651564954	0.0331458311	-0.0719995555	-0.0467518478	0.0256296776	0.0185793557	0.0452403289	0.0128625036	-0.0088723156	-0.0015947207	0.0623993402	-0.0083817666	-0.0525356755	-0.0006479817	0.0493734801	0.1048565389	-0.024872859	-0.0373091336	-0.0148466797	-0.0847800491	-0.0394011954	-0.046196261	0.0946221216	-0.0176943835	0.0947247201	-0.1019254325	-0.0208381773	0.0886857014	-0.018893633	0.111376725	0.0290144458	-0.0092829346	0.0120176449	-0.0314141935	0.0359844618	0.0571745542	0.0546304389	0.025589094	0.050556214	0.042271497	0.1076891226	0.0034719818	0.0903680869	-0.0899332075	-0.0558762764	-0.0455705894	-0.0159537265	-0.0062362257	-0.0471924443	0.0061401075	0.1061017265	-0.0255647718	-0.003978386	-0.0593484755	0.0124391378	0.0064840096	0.0232482978	0.0796848188	-0.1587318307	-0.0053228883	0.0491291555	-0.0159716706	-0.0433391804	-0.0079739096	-0.0169823306	0.0123829075	-0.0744769175	-0.012654772	-0.1091938047	-0.0401525939	-0.030530156	0.0631026335	-0.0880414673	0.0797160498	-0.0497849546	0.0679330295	-0.0103013196	0.0311669295	-0.00982793	0.0914511829	-0.0151816334	0.0040497256	-0.0762037463	-0.0064012203	-0.023219438	-0.081703651	0.0683713034	-0.0263406925	0.03833603	-0.0770102346	0.0761228926	0.0436566013	-0.0821998238	0.0902004158	0.089749793	0.0890004218	0.0879547967	-0.035141	-0.0018376999999999	0.0012348898809999	3.3771412899999914e-06	-0.0878183	0.0369037	0.00771205381489	0.0013618830736899	-0.00997932	0.02077458	9.95868276624e-05	0.0004315831741764	-0.00137885	0.00034427	1.1852183290000006e-07	1.9012273225e-06	-0.000567867	0.0	3.22472929689e-07	0.0	-0.000953881	-9.269999999999592e-07	8.593289999999242e-13	9.09888962161e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
