onset	duration	condition	trial_type	braille_stimulus	response_val	response_type
474.602	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
479.602	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
480.618	5.008	LEXICAL_DECISION	PSEUDOWORD	CAD	n/a	n/a
487.176	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
487.652	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
488.668	5.008	LEXICAL_DECISION	PSEUDOWORD	MAB	n/a	n/a
493.0	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
495.702	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
496.718	5.008	LEXICAL_DECISION	WORD	PIES	n/a	n/a
501.96	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
503.752	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
504.768	5.008	LEXICAL_DECISION	WORD	LIC	n/a	n/a
508.816	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
511.802	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
512.818	5.008	LEXICAL_DECISION	PSEUDOWORD	LAKMA	n/a	n/a
518.456	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
520.86	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
527.86	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
528.877	5.008	6_DOT_DETECTION	NO_6-DOT	KDM	n/a	n/a
531.136	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
535.91	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
536.927	5.008	6_DOT_DETECTION	NO_6-DOT	ALCB	n/a	n/a
539.76	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
543.96	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
544.977	5.008	6_DOT_DETECTION	6-DOT	##IB	n/a	n/a
547.936	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
552.01	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
553.027	5.008	6_DOT_DETECTION	6-DOT	##D	n/a	n/a
555.896	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
560.06	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
561.077	5.008	6_DOT_DETECTION	NO_6-DOT	KMLD	n/a	n/a
563.96	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
569.618	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
576.118	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
577.135	5.008	LEXICAL_DECISION	WORD	DAŁO	n/a	n/a
582.616	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
584.168	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
585.185	5.008	LEXICAL_DECISION	PSEUDOWORD	BAPA	n/a	n/a
590.92	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
592.218	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
593.235	5.008	LEXICAL_DECISION	PSEUDOWORD	BOC	n/a	n/a
597.6	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
600.268	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
601.285	5.008	LEXICAL_DECISION	WORD	PUK	n/a	n/a
