global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01
509.40819604479634	n/a	n/a	259496.7101976137	590.6579100624499	n/a	n/a	348876.7667193412	402.9997383889776	n/a	162408.7891415844	n/a	402.8216951269428	446.3974624234695	n/a	n/a	n/a	n/a	-0.001906769	0.0857402409	-0.0427955262	0.0153960346	-0.168837172	0.0133025723	-0.2142985749	-0.0707728339	0.110714184	-0.5128754177	0.2135851033	-0.3670557374	0.1503777731	0.0844679717	-0.2332940252	0.1073780541	-0.0826066626	0.1795956912	-0.0554871787	0.1169257874	-0.0944755352	0.0333224918	-0.0146025391	-0.0745742042	0.0038845279	0.001912	-0.0690932978	0.0456795068	-0.2554425093	0.0265018969	-0.0764673344	0.0260009961	-0.0510513835	0.003186585	-0.0096054109	0.1141496055	-0.1043919685	0.0406005449	-0.0222860297	0.0461904635	-0.0189891734	0.0869071445	-0.0392711855	0.0705120054	-0.0495999316	0.0104915276	-0.1214838709	0.0393213698	-0.1308019422	0.0485275944	-0.0037354023	0.094298397	-0.0317372843	0.0092137795	-0.0032851072	0.0026842859	-0.0427995196	0.0593086685	-0.0570806005	0.022640676	-0.1075413896	0.048105726	-0.0920239964	0.1077542091	0.0178970457	-0.0364250898	0.0135877317	0.005784001	0.0204430934	-0.0559465186	0.070725905	-0.0702452752	-0.0122417392	0.0739144278	0.0005171394	0.0593096364	-0.0920113039	0.0129987318	0.0051176119	0.0274365485	0.0460267411	-0.0696111556	-0.0495513322	0.0714603679	-0.0690204892	-0.002914995	0.1114582828	0.0374921003	-0.0048728472	-0.0356362309	-0.0687712264	0.0220083442	0.0238862023	0.0774157544	-0.062483925	-0.0395288957	0.1202650353	-0.0022872432	-0.0708200439	-0.0290849213	-0.1097567217	0.0423361449	0.0057107682	0.0342560876	-0.0679942229	-0.029365682	-0.0453876211	0.0139928469	0.0106842979	-0.0540121465	-0.0905327017	0.2597025064	-0.0294201245	0.0523121123	-0.0695004427	0.0409634481	-0.07523582	0.0521431761	-0.131707658	0.0626791437	-0.0292964683	0.0256520577	-0.0317722142	0.0420680604	-0.0768338815	-0.0250475809	0.0959369303	-0.0720250431	0.0364692748	-0.1027558407	0.0178394762	-0.0542692455	0.039332736	-0.1536597203	0.0421526459	-0.0032671799	0.0174102292	-0.0059551247	0.0153074168	-0.0056446252	0.0773639759	-0.0482078299	0.0017772282	0.0111670569	-0.1143649936	0.051076417	-0.1065596395	0.0573052318	-0.0599658537	0.0101601006	0.0320076859	-0.027818722	-0.0783205862	0.0026093459	0.0978837354	-0.0123068182	-0.0463738146	0.0060693027	0.0657077327	-0.1196283563	0.0488267106	0.0054780054	-0.0515132575	-0.0321882505	-0.0298809422	0.0551655885	0.0141501215	-0.0349796632	-0.0342658896	0.1103052658	0.0709180384	-0.0289919439	-0.0329439681	-0.071788816	0.0163410864	0.0480576404	-0.1230788629	-0.0300517609	-0.0187371692	0.1009380513	-0.0179006046	-0.0361535565	-0.011437913	-0.087523208	0.0354671172	0.0582168567	-0.0341570582	-0.0288344504	-0.06104969	0.078183889	0.079739886	0.1543894169	-0.1395322442	-0.0110786729	-0.1606609334	-0.0643580226	0.0117306726	-0.1818891137	0.1538849193	-0.1174936784	0.0841435714	-0.0364077838	0.1046408231	-0.0396679825	0.1130114	-0.0088679853	0.0306512198	-0.0623272972	-0.0070228969	0.0159208972	-0.0723996415	0.012527457	-0.0350045949	0.2457724616	-0.0810692509	0.0903489333	0.0903433624	0.0903340779	0.0903210801	0.00605423	n/a	3.66537008929e-05	n/a	-0.0531494	n/a	n/a	0.00282485872036	-0.14301	n/a	n/a	0.0204518601	-0.000181948	n/a	n/a	3.3105074704e-08	0.0008837209999999	n/a	7.809628058408232e-07	n/a	0.000837334	n/a	n/a	7.01128227556e-07	0.0	0.0
507.02013117063854	-2.3880648741578057	5.702853843186336	257069.4134122915	577.5473384555763	-13.110571606873576	171.8870878589596	333560.92815712	402.53276292987385	-0.4669754591037645	162032.62523195802	0.2180660794051716	402.2966521249009	439.32828933814073	1.244859	29.716528	0.09622947	0.0547937	0.1023663629	-0.0111477696	-0.0979179474	0.0509391687	-0.0292567045	0.0301877445	-0.2208051322	0.0803498967	0.076565359	-0.2410568581	0.2339496056	-0.0794272208	0.1845355115	-0.0087244754	-0.17472683	0.0793693488	-0.1023585975	0.0504649079	0.0146292864	-0.0282434837	-0.0147867374	-0.0095651694	-0.074747638	0.0193494308	-0.0078240394	0.1034565929	0.0195821351	0.0510341552	-0.1873614385	0.0078746603	-0.1317554572	0.0063271629	-0.1423807242	0.0743567469	0.0944957971	0.1728434464	-0.1074233476	0.0889888082	-0.1108719877	-0.0238601021	0.0431449275	0.1885770699	0.0461989973	0.0038859994	-0.1148203941	0.0449065284	0.0511368504	0.0284224196	0.0596085239	0.0901955192	0.0355439917	-0.0029354867	-0.1044169383	0.0437545784	-0.0132771878	-0.0386765671	0.003051276	-0.003297326	-0.0458383609	0.1151419124	-0.0931654196	-0.0703066507	-0.0719538876	0.0026628456	0.0177554197	-0.02716566	-0.0343124219	0.0721215489	0.0221294037	0.0707577749	-0.050766461	-0.0427481076	-0.0306137738	-0.0603633322	0.0756749244	0.0494315169	-0.0030302087	-0.0471482138	-0.0412169354	-0.0579479928	-0.0365286303	0.0612344225	-0.095123281	-0.1396471472	-0.1381644913	0.0520920942	-0.0303407289	0.0474369548	0.0012249559	0.067551721	0.022388202	-0.101286889	0.0585536301	0.0359386106	0.0326299583	-0.065135708	0.0261236672	0.0126412205	0.0263136215	0.0764934475	0.06240514	0.0132694238	-0.1037710231	-0.0455665352	0.0848175883	-0.0326684598	-0.105773017	-0.0373692007	-0.1102691322	-0.0008073079	-0.077976056	0.1685549317	-0.0261438329	0.1117081336	-0.0889907995	0.1169870896	-0.06184313	-0.0640652274	-0.236623742	0.0333054404	-0.1009358825	0.1010558574	0.0428487806	-0.0176570096	-0.2084016163	-0.0286877175	0.0404670314	-0.0547019643	-0.0060496152	0.0694997777	-0.0312532298	0.0356067648	-0.1111355667	-0.0087236796	0.0518465059	0.0866691396	0.0364413825	0.024972981	-0.0030256151	-0.0186418632	0.00124471	-0.0939262179	-0.0876633869	-0.044842297	-0.0879797006	0.0647945895	0.0193405186	0.0622863679	-0.063490257	0.0655468019	0.0364444169	0.0427816538	0.0495026167	-0.0666620032	0.0176529155	0.0199324214	0.0678605896	-0.0472366384	-0.030029708	-0.0096312172	-0.0999788862	-0.0491201253	0.0264383984	0.0347669897	0.0831743973	0.0115624163	-0.1406224873	-0.1048562309	-0.0481284757	-0.0399120358	0.0281165633	-0.0713524426	0.0902399975	0.053824216	0.0865351893	0.0088151544	0.0080870336	0.0837003066	-0.0233781489	0.046422245	0.0489731302	-0.0053546391	0.0373941369	-0.0413737843	-0.0993911256	-0.0960195269	0.0579395872	0.1139848318	-0.0161415583	0.039606644	0.0055167919	0.1353988737	-0.0352617918	-0.1068481688	-0.1718606857	-0.013565363	0.1217593066	-0.211311683	0.1031365073	-0.0748918674	0.137183955	-0.0313368469	0.0736592906	0.039591851	0.0106579748	-0.0108314274	-0.0788940519	-0.0117436025	-0.0325410606	0.060538119	-0.1512734587	-0.0953203668	-0.0598057246	0.0478075164	-0.1052179438	0.0903340779	0.0902839469	0.0902004158	0.0900835156	0.0219946	0.01594037	0.0004837624291599	0.0002540953957369	-0.0748758999999999	-0.0217264999999999	0.0004720408022499	0.0056064004008099	-0.0999381	0.0430718999999999	0.0018551885696099	0.00998762383161	-0.000489054	-0.000307106	9.431409523600001e-08	2.391738149160001e-07	0.0008837209999999	0.0	7.809628058408232e-07	0.0	0.000834626	-2.708000000000029e-06	7.333264000000158e-12	6.966005598759999e-07	0.0	0.0
505.9181213741739	-1.1020097964646425	1.2144255915040427	255953.14553477336	571.0257727795395	-6.521565676036857	42.53081886686207	326070.43317847024	402.7800392425694	0.2472763126955328	162231.76001224574	0.0611455748202989	402.47839056099696	432.9431846262101	1.228837	29.33407	0.0965862499999999	0.0642209	-0.0459086895	-0.0696273579	-0.1398505204	0.1077832871	-0.1433880889	0.1268136473	-0.114431371	0.0130344142	-0.0842505266	-0.1426811435	0.2071321169	-0.0194569808	-0.011093652	0.1056584737	0.0554151109	-0.0311401116	-0.0487174316	0.0332984137	0.0271753919	-0.0792165641	-0.0314529987	-0.036372277	-0.0989165674	0.0664817276	-0.106125303	-0.0498325955	0.0579420858	0.0685640808	-0.243134649	0.0588269624	-0.0172790363	-0.1200055203	-0.0593457129	0.0259745872	0.0683939589	0.0648900233	0.0066849746	0.0190760476	-0.0949419809	-0.048735606	-0.0847843156	0.084494313	-0.0026444617	-0.0088995434	0.0294477403	0.0768267079	0.0217961828	-0.2044235532	0.0616049609	0.0541422873	0.0604639842	-0.0410607138	0.0655590568	0.0332378318	0.0922984048	0.0204707252	-0.0102146722	0.0296400326	-0.0671067116	-0.0711140659	-0.0296136033	0.0089820846	0.0306031896	0.1678305535	0.1524380333	0.0070187404	0.0421686579	0.0549684775	0.1117572792	0.0458543588	-0.0797764437	0.1258668216	0.1690691964	-0.1082424579	-0.0331032994	0.0163184652	0.1128494249	-0.0740002337	0.0248497102	-0.0441172816	-0.0907608151	0.0167445975	0.000526494	0.0398172963	0.1830526176	-0.025347643	-0.0151786398	-0.0476511271	0.0225557604	0.0603513819	0.0474195169	-0.1111012098	0.0459693066	-0.0379311166	0.0585524697	2.39401e-05	-0.0352415776	0.0523524663	-0.07967013	0.0406458137	-0.0353723387	-0.0375472524	-0.0297172054	-0.0048398893	-0.0004741231	0.0331799371	0.0832651052	-0.0736992473	0.0325051276	0.0814927299	-0.1018355917	0.2325304979	-0.0631056815	0.0248705192	0.0711330662	0.0949745179	0.005227067	-0.0575523636	-0.0829078798	-0.0237570013	-0.0083204922	0.0767871052	0.060139771	0.0885493878	-0.0709238579	-0.0527106367	-0.0497613149	0.0398529102	0.0659375275	0.0738293404	0.1610303869	-0.0557588458	-0.0667545604	0.123297256	0.0322958322	-0.0815248498	0.021405947	0.0407854212	0.0441336416	-0.0069645988	0.0146217476	-0.0283825459	0.106554482	-0.0319396715	-0.0139823091	-0.043679878	-0.1709900453	0.1635362975	0.0614555872	-0.0048476316	0.0582425723	0.0942249223	0.0166128533	-0.0116653075	-0.1811463112	0.1359766651	0.002765242	-0.0574714591	-0.0427685205	0.0422768871	-0.0601385261	-0.0299593333	0.1393136709	-0.0029215863	-0.0594906648	-0.0219202922	0.083317302	0.1583233867	0.0672912843	-0.0326579961	-0.0574232148	0.0040250451	0.0261035156	0.0843425438	0.0975939916	0.0231409257	0.0612070823	0.0144194635	-0.0148442401	0.0134494737	-0.0235091068	0.1188634822	0.0100099934	-6.56821e-05	-0.0246345475	0.0384071298	0.0380261263	-0.0364716139	0.0089666199	-0.1026727302	-0.0801139844	0.1537120464	-0.1106840596	0.0719305996	-0.1388702598	-0.0182664275	0.1418507397	-0.2050646738	0.0842369607	-0.0573830348	0.1688099287	-0.0825707959	0.0641925777	-0.073991629	0.0287103665	0.0853079773	-0.068275548	-0.0399376547	0.0318569317	0.0279218801	-0.0745801359	0.0046766995	0.0046668083	0.0688193207	-0.0949233943	0.0903043695	0.0901651549	0.0899332895	0.0896090116	0.0288317	0.0068370999999999	0.0008312669248899	4.6745936409999984e-05	-0.0135329	0.0613429999999999	0.0037629636489999	0.00018313938241	-0.111907	-0.0119689	0.00014325456721	0.012523176649	-0.00044843	4.0624000000000064e-05	1.650309376000005e-09	2.010894649e-07	0.000636482	-0.0002472389999999	4.0510933632399993e-07	6.112712312095057e-08	0.000875508	4.0882000000000006e-05	1.6713379240000004e-09	7.665142580639999e-07	0.0	0.0
505.8216182313687	-0.0965031428052043	0.0093128565712816	255855.5094702005	570.800820424192	-0.2249523553474546	0.0506035621763674	325813.5765969307	402.674473705259	-0.1055655373103832	162146.73177380732	0.0111440826676299	402.4074738000463	430.9954315996905	1.222953	29.193588	0.15741385	0.0901383	-0.0333270154	0.0947337806	-0.1286115197	0.11215554	-0.0984739838	-0.0344642717	-0.0994935823	-0.064891813	0.0499076328	-0.0541827784	0.2002147927	0.0401113493	-0.0446858118	-0.0207310328	-0.0034302514	0.0575664435	-0.0066608813	-0.0469116789	0.1246859065	-0.0195926728	0.0119477759	-0.0264088248	-0.1847834137	0.022733387	0.0166098092	-0.0066371465	-0.0716449452	-0.0186880288	-0.2176048931	0.0088560004	0.0079449055	-0.0301272454	-0.0602919895	0.051634761	-0.0350481119	0.0610913052	-0.0533930201	0.0690985773	0.0655586635	-0.0199309264	-0.0812862693	0.0899566002	0.1407469892	0.0754461378	-0.1154879896	-0.0810849792	0.0154058147	0.0022250002	0.0013726099	0.0599164078	0.100222509	0.0142772424	0.0870170464	-0.0044611356	-0.0077522667	0.0059701232	0.0235263656	0.0172953629	-0.0082139506	-0.0767191692	0.0630504351	0.0174230988	0.1037896591	0.0606771197	-0.0073340061	-0.0176277802	-0.13606978	-0.0328552352	-0.0317735706	-0.1406608622	-0.0366691726	-0.0402809511	-0.0764373745	0.0059580565	0.0198241297	0.152041863	-0.0396173847	0.0204085363	-0.0029123312	-0.0102358444	-0.0165924058	-0.0627901556	0.0005739771	-0.0613735832	-0.019906974	0.0935793043	-0.0718123958	0.0026187619	0.0026371073	-0.0041993611	-0.154323997	0.122610126	-0.0044121868	-0.0388652107	-0.0333243326	0.060372787	-0.0687845473	-0.0706650148	-0.0251168217	0.017218486	0.0504225772	-0.0165025696	-0.0017086805	-0.0806221289	-0.0274365084	-0.0062794331	0.1011666761	0.0103801052	0.0207806691	-0.0598612569	-0.0165381435	0.2210532432	0.0248364003	-0.016804622	-0.0199195054	0.0961107193	-0.087101215	0.0087073178	-0.0543389426	0.0103405006	-0.0446478078	-0.0738690682	0.0484734458	0.093738719	-0.1199644631	0.0869781753	0.0697711106	-0.0297452922	-0.0868523876	0.0148251828	-0.0465459625	-0.032761036	-0.0479942687	0.0585514232	0.0887826332	-0.084158953	0.0043276914	-0.0507200102	-0.0082552957	-0.0323961717	-0.001813618	0.021144479	0.0682112607	0.0172147215	0.0875269285	-0.1316068205	-0.0318434506	0.014612928	-0.0958758843	0.083109304	-0.1115174719	-0.0886560026	-0.1036323202	-0.0382729884	-0.0001704342	-0.0018415589	0.0891620858	-0.0351747941	0.0999993298	-0.0313625797	-0.0351740822	0.0494485527	-0.0761178069	0.0371061555	0.0732043732	0.0577681788	-0.0075514836	-0.005575051	-0.0537074302	-0.0730961512	-0.0493965998	-0.0088265585	0.0322202852	-0.1814186692	-0.054186741	0.0049267989	0.0076772326	-0.047654066	0.0023686824	-0.0988622094	-0.059793534	-0.0018752927	0.034135145	0.0370688065	0.0170660095	-0.0364695294	0.0560685235	-0.0587665573	-0.0251569915	-0.0582368504	0.0190038632	0.0746126961	-0.0547253313	-0.0116740832	-0.1963760536	-0.0297679269	-0.0038999304	-0.1802877313	0.0421145441	0.0328049457	0.1985244428	-0.0702044484	-0.0420647699	0.1202447352	0.0757853589	0.0341848679	-0.0591989815	0.0129825195	0.0213703599	0.1171241105	-0.0896448813	-0.1542987795	-0.0560652968	0.0572064944	0.072770823	0.0902598131	0.0899870646	0.0895330941	0.0888988159	0.0436251	0.0147934	0.00190314935001	0.00021884468356	-0.0602313	-0.0466984	0.00218074056256	0.00362780949969	-0.041305	0.070602	0.0049846424039999	0.001706103025	-0.000680167	-0.0002317369999999	5.3702037168999996e-08	4.62627147889e-07	0.000386505	-0.0002499769999999	1.49386115025e-07	6.2488500529e-08	0.000900195	2.4687000000000016e-05	6.094479690000007e-10	8.10351038025e-07	0.0	0.0
505.2703410858885	-0.551277145480185	0.3039064911287811	255298.1175810501	564.7181756216114	-6.082644802580603	36.99856779436082	318906.6178774011	402.2563225630013	-0.4181511422577273	161810.14904190932	0.1748503777714421	402.0004920233632	424.4414134093946	1.274837	30.432131	0.18691825	0.0859285	0.0781932341	-0.0192989094	-0.1604927359	0.1046716786	0.0778640858	-0.0094653739	-0.0849374887	0.0826890166	0.0490284428	0.04937003	0.1722836044	0.1526238719	0.0347327586	-0.0001712293	0.0922567855	0.034308244	-0.0408723885	-0.0633445958	0.038298477	-0.0885014918	-0.0633465371	0.0927052174	-0.1058203559	0.0030522395	0.0825995994	0.0755918631	-0.0032879028	0.0267207355	-0.0656821472	-0.0443382003	-0.1192386147	0.0775866468	-0.1133036334	0.1214119101	0.0759223245	-0.0243023317	0.0521608124	-0.12667157	0.0239849289	0.0864884074	-0.0178340324	-0.1431469229	0.2002965199	-0.0336290341	0.0386797886	0.0341965761	0.0489042497	0.0135584178	-0.0313552703	-0.0236594721	-0.1013451811	0.0559803707	0.0414928391	-0.0422406658	-0.1262032731	-0.1580105012	0.00752282	0.0082211421	0.0926856839	0.0273675578	-0.0339181445	-0.0587337868	-0.0426875724	-0.1413538333	-0.0033183538	-0.0111179157	-0.0058980701	0.090248608	0.0856739179	-0.040917972	0.096990729	0.0327752588	0.0663787543	-0.0271055054	-0.0133428438	0.010968136	0.0371485009	0.019798812	-0.0839198867	0.0742355273	-0.0274877398	-0.0560753728	0.0270863034	-0.0023812306	-0.0243832722	0.0181514841	0.0426083363	-0.0798016	-0.0185007548	-0.135316017	0.0647729042	0.050674298	-0.1337796933	-0.0609862581	-0.0994747355	0.0895615581	-0.0058895616	0.0658395776	-0.0057710018	-0.0075719836	0.0526179891	0.0868712246	0.0022073433	0.0312026005	0.0437028297	-0.0556151511	0.0177813577	-0.0598082332	-0.0761516394	-0.0235714926	-0.0393472399	0.0520200086	0.0445321212	0.0950269219	-0.1173222765	0.0254883716	-0.0309907202	-0.1951798221	0.000582459	-0.0223047354	0.1338559598	0.0019274232	-0.1016455775	-0.014844016	0.043790007	0.2165920324	-0.0369143226	0.122049172	0.0071793882	0.0637787238	-0.0105864369	0.0353075404	0.0199671265	-0.0849673734	-0.0691688952	-0.0362766259	-0.0521762496	-0.0156080474	-0.1326753338	-0.1416252973	0.015333462	0.0437123318	-0.0721956627	-0.0203927588	-0.0202280152	0.0222679958	0.137497819	-0.0053401631	0.0068248493	0.0589338773	0.0875051078	0.078853318	-0.0642079791	0.1183829278	-0.0157948805	0.0639517437	-0.0027529164	-0.0226764855	-0.0272136864	0.0467416089	0.0394882523	-0.0524513009	-0.1045192357	-0.013056642	0.0442875069	-0.0328518958	0.0559356234	-0.0195796393	-0.0427991276	0.0435339928	0.0065534811	0.0978453731	-0.1112506653	0.0326887604	-0.058187344	-0.0530803592	0.0190894186	-0.1817522871	0.0529780427	-0.0362366032	0.0949417401	0.0055994913	-0.0216935717	-0.0280571084	0.0346487375	-0.0966506067	-0.0379438018	0.0528386735	-0.0304453867	-0.0179120388	0.0334004969	0.0540262261	-0.0778090432	-0.0593415151	-0.0213385605	-0.0068052223	0.1027230836	-0.1634582665	-0.0743048388	0.0994842603	0.1490537579	-0.0717037604	-0.0557459434	0.0784780279	-0.1080956695	-0.0096685722	0.063096253	0.0472069292	0.0475353554	0.0353070317	-0.019322226	0.1949940766	0.0784901507	-0.0386138145	0.0303801042	0.0902004158	0.089749793	0.0890004218	0.0879547967	0.0101878	-0.0334373	0.00010379126884	0.00111805303129	-0.0216645	0.0385668	0.0014873980622399	0.00046935056025	-0.0193974	0.0219076	0.00047994293776	0.0003762591267599	-0.000363025	0.0003171419999999	1.0057904816399998e-07	1.31787150625e-07	-0.000765099	-0.001151604	5.853764798009999e-07	1.326191772816e-06	0.00050881	-0.000391385	1.5318221822500006e-07	2.588876161e-07	0.0	0.0
