global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15
593.6974153424866	n/a	352476.620984349	n/a	793.340899145856	n/a	629389.7822575553	n/a	440.1946630046894	n/a	193771.34133781207	n/a	437.8104878308647	844.8669600733606	n/a	n/a	n/a	n/a	0.0302313339	0.0670479528	-0.1368667189	0.0477602757	-0.0301780835	0.6786651753	-0.1424740854	0.0620934984	0.1447080025	-0.1490063721	0.1056555076	-0.0430466542	0.0319312214	0.0466719071	-0.0382425642	0.0841152684	-0.0264561537	0.0192283826	-0.1463557178	0.0775025311	-0.0193037421	0.1479060057	-0.0277620332	0.0148829791	-0.0839247254	0.0183759214	-0.0026793413	0.0554216416	-0.0216750296	0.0021885027	-0.0917026001	0.147887347	-0.0500508091	0.0955908557	-0.0548152385	0.0214317322	0.0272346783	-0.0120845919	0.067923897	-0.0331421746	0.0138986021	-0.0189248805	0.0108456739	-0.1064999923	0.0569643328	-0.0088488758	0.0509709394	-0.1404153599	0.0770888318	-0.1230998898	0.0189361926	-0.021065987	0.0879168227	-0.0606693896	0.0179159423	0.0403409818	-0.0527182653	0.0448763289	-0.0403230021	-0.06748962	0.0522661583	0.0499408659	-0.0286715506	0.022985598	0.0042735895	0.066123856	-0.0903514022	0.0363929047	0.0167468298	-0.027123816	-0.0026020578	-0.0756044249	0.0021943018	0.1293824223	-0.0270770021	0.0145391055	0.0017053889	0.0013054938	0.0036517567	-0.0825056661	-0.0501330254	0.0600527297	0.0133947209	0.0273602804	0.0809669822	-0.0443534366	0.0398972699	-0.0386334085	0.0934868123	-0.0038112814	0.0361628121	-0.0992642406	0.116784091	-0.0154625285	0.1523343166	-0.0388214808	0.0376671789	-0.1208195815	0.0065318191	-0.0557353779	0.0928206296	-0.0533650346	0.0434427289	-0.0799540173	0.1373365332	-0.0047938912	0.1043610387	-0.0822456709	0.0024115584	0.0096002218	0.011350297	-0.0594835384	0.1075807241	-0.0324993705	0.0215059419	-0.0668464735	0.0314697553	-0.0875648306	0.0365796683	-0.105422306	0.0055960174	-0.0846958077	0.0022852518	-0.0230657117	0.1299008127	-0.0459545138	0.0350155689	-0.0660600672	0.0954569275	0.0288950547	-0.0260717468	0.1156132985	-0.1058252464	0.0427484288	0.0047984628	0.0315208842	-0.013021142	-0.049255116	0.0557369439	-0.0896735276	-0.042836472	-0.0246888039	0.0439799849	0.0983007157	-0.0091932075	-0.0030600709	-0.0687646419	0.0428505956	0.0931859815	-0.0790135406	-0.0415333163	-0.0388404433	0.0600579348	-0.0230875171	-0.0302386523	-0.0598909227	0.0087886906	0.1124819049	-0.0702184019	0.004039982	-0.0567411245	0.126095533	-0.0455408194	-0.0558696526	0.0111825726	-0.0460826868	0.0271260046	-0.0350651047	0.0086616908	-0.1064353214	0.030087764	-0.0182973543	0.1166133007	-0.0452905399	0.1265280863	-0.1047693026	-0.0215367705	-0.0653675383	0.0013501724	-0.041966869	0.0915249677	-0.1246002388	0.0903489333	0.0903433624	0.0903340779	0.0903210801	-0.0972689	n/a	0.00946123890721	n/a	0.0159268	n/a	0.00025366295824	n/a	0.0273214	n/a	0.00074645889796	n/a	0.00108778	n/a	n/a	1.1832653284e-06	-2.99221e-05	n/a	8.9533206841e-10	n/a	-0.00192445	n/a	n/a	3.703507802500001e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
591.2787621760643	-2.4186531664222457	349610.57460045884	5.849883139444356	779.61670968475	-13.724189461105992	607802.2140196759	188.3533763643328	440.1139330717805	-0.0807299329089232	193700.27408391167	0.0065173220674792	437.7502170759564	844.8142949035387	1.292384	30.353258	0.1484568449999999	0.074392	-0.005775229	0.0112795361	-0.072200726	0.0229155878	-0.0752708285	0.3597320761	-0.0161926028	0.1105702186	0.1184124646	-0.1452298605	-0.1369871716	-0.0928376578	0.0252021905	0.0366849145	-0.0409970098	0.0439868806	0.0120134112	0.0946420393	-0.0647568686	0.0537855624	-0.0576118606	0.0254229522	-0.0390542739	0.045276202	-0.1667207526	0.0007453314	0.05190998	0.0691301172	-0.0057659582	-0.1353945193	0.016287815	-0.0597880451	-0.0523125647	0.1283629569	0.0120141077	-0.0221557823	0.0643897021	0.0636370068	0.1130823231	0.0571994269	-0.0217877839	0.0353002941	-0.0675416761	0.0258935088	-0.0412443449	-0.0054665302	-0.0265014923	-0.0050171598	0.091957895	-0.0164735236	-0.0389476925	-0.0458006765	-0.017240987	-0.0215169491	-0.006472999	0.1101190244	-0.067702371	0.0788179728	0.0285387395	0.0136131819	0.0338253411	0.1133893451	-0.0109732458	0.0591256492	0.0548023772	-0.0260735269	0.0675147437	0.106157276	0.0063939994	-0.0412460877	-0.0774062022	0.1254379545	-0.0651713908	0.0814393342	-0.0177848836	-0.0317584909	-0.0248496535	-0.0461055411	0.0220003721	-0.0534625736	0.0278860599	-0.0922095464	0.0133014565	-0.1281530766	0.0010666395	-0.0098096768	0.0228402828	-0.0419440614	0.0416560836	-0.0285236578	0.104667039	-0.0257185263	0.0596313315	-0.0411670381	0.0266986737	-0.0696343479	0.0575888492	-0.1728107656	-0.0287738517	-0.0655724836	0.0347851026	-0.1446879235	0.0784562393	0.0301757923	-0.0721596212	0.034711199	0.1403093765	0.0073839526	-0.0137783068	0.0118603198	-0.0234951662	0.065103485	0.0708225773	0.101872574	0.0247653466	0.0638174472	-0.027465851	-0.0362101389	0.0109336803	-0.0303435686	0.0225114783	-0.0394516111	0.0410698894	-0.0279135485	-0.001173021	-0.0434079849	-0.0264834599	0.0423021537	0.0902275773	-0.0498218096	-0.0029414216	0.0783825377	-0.1619001374	0.0331865672	0.1194397895	0.0809584959	0.011015548	0.017392187	-0.0181883026	-0.0262245935	0.0637616399	-0.0373139028	-0.1458537505	0.031942365	-0.0836704201	-0.0899594077	0.0141566543	0.0568109785	0.0762536748	-0.0706594231	0.1034406022	0.0486205484	-0.0665358865	-0.0145328108	-0.0801718928	0.0530073795	-0.0200308167	-0.0121156123	-0.0435795278	-0.0463221689	-0.0118141563	0.2062164264	-0.0450846079	0.0767949282	0.0117717636	0.0377765479	0.0639810935	-0.0322798903	0.0500952449	-0.0325728158	0.0181470591	0.032467771	0.0995180423	-0.014146764	0.0550956212	-0.0873313404	-0.0183747594	0.0466452405	0.062404369	0.0612148981	0.0553345261	0.0684820465	0.0903340779	0.0902839469	0.0902004158	0.0900835156	-0.104729	-0.0074600999999999	0.010968163441	5.565309200999996e-05	0.0625426	0.0466158	0.00391157681476	0.00217303280964	-0.0278226	-0.055144	0.0007740970707599	0.003040860736	0.00171746	0.00062968	3.964969024000001e-07	2.9496688516e-06	-0.000158461	-0.0001285389	2.5109888521000005e-08	1.6522248813210005e-08	-0.00189793	2.6520000000000142e-05	7.033104000000076e-10	3.6021382849e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
589.5133686058207	-1.7653935702436456	347526.0117649822	3.116614457857606	771.5002702142343	-8.11643947051573	595212.6669406366	65.87658967854566	439.5999966831951	-0.5139363885853641	193248.1570838652	0.2641306115121663	437.0275685475807	832.4596019521668	1.200344	28.19157	0.17076545	0.0772056	0.0017673284	0.0623178472	-0.0016067844	0.0722669963	-0.0033102536	0.1694397925	-0.04688911	-0.0678227327	0.0716485672	0.0809657188	-0.1325107133	-0.04759627	-0.1270429597	0.0405465252	-0.0389280056	0.1088413878	-0.0241538306	-0.0348193612	-0.1149259789	0.1643921009	-0.0117411547	0.2042151011	-0.0402306413	0.0053894904	-0.1280827943	-0.0994094321	-0.0743611764	0.099041555	-0.026021807	0.0922753384	-0.0310851358	0.0112059464	-0.0583174669	0.027522971	-0.0302861381	-0.0952171767	0.0410752684	-0.0593458173	-0.0200722653	-0.1127307895	-0.0553481245	0.0260247426	-0.0523071817	-0.0554648268	-0.0666550436	0.1780464248	-0.0472887872	0.0459113991	0.0185113056	0.0500164036	-0.0516664874	0.0185690841	-0.0353967707	-0.0010204587	-0.0460739342	0.026476565	0.0135140488	0.0081156484	-0.004967583	-0.019279853	-0.0215088131	0.0332074842	0.0298099409	-0.0600123859	-0.0486911171	0.0660159306	0.023486716	-0.0320066376	0.0436580213	0.0063831924	0.0133925926	-0.0589289724	0.0013925325	-0.0919189742	0.0570941499	-0.1267467851	-0.0122420418	0.0467642502	-0.0271018419	0.0068634335	0.0302337517	0.055420813	0.0285624519	0.0990579913	0.043014901	0.0566148427	0.0420421223	-0.0422782	0.1155963975	-0.0081658572	-0.0343688387	-0.0614556293	0.1831197269	-0.01473961	0.203590879	-0.0531442699	0.0055468237	-0.1043335501	-0.1040160617	0.0570724603	0.13862345	0.0362301198	-0.0739205701	-0.0352631122	0.0019509492	-0.0309921794	0.0877720224	0.0487682485	0.0616540001	-0.0234335958	0.0256970274	0.0452889519	0.0471889409	-0.0020514541	-0.1276544379	-0.0576120299	0.0689180346	-0.107030553	0.0091140441	0.1610385577	0.0414056436	-0.0591345907	0.0370172587	0.02518305	-0.0569829951	0.0176343361	-0.0073010293	0.0684265131	-0.0197748632	-0.0205587386	0.0178728274	-0.0212738448	-0.0162167621	0.0132229676	-0.0533774971	0.0142268056	-0.0819757611	-0.0104926088	0.0022143918	0.0366817298	0.0295298117	-0.0039574046	0.0426387623	-0.0101431569	0.0042948795	-0.0046217997	-0.0592806487	-0.0056064078	-0.0978690146	0.11562465	-0.0088561415	0.0450005536	0.0179767543	-0.0066098909	0.020293723	-0.0315378489	-0.0029893229	0.0296838635	-0.0682100835	-0.0351641714	-0.0886535835	0.1691188573	-0.1188337249	-0.063269206	-0.0722556861	-0.0574404434	0.0049670173	-0.122858851	0.040204896	-0.0216148195	0.0124293838	0.0235158388	0.0600207111	0.0312684371	0.1606199229	-0.086549515	-0.0234534622	-0.0759666055	0.024537777	0.0302193954	0.0568093985	0.0158987403	0.0903043695	0.0901651549	0.0899332895	0.0896090116	-0.126671	-0.021942	0.016045542241	0.000481451364	0.00858495	-0.05395765	7.370136650249998e-05	0.0029114279935225	0.0203596	0.0481821999999999	0.0004145133121599	0.0023215243968399	0.00142209	-0.00029537	8.724343690000006e-08	2.0223399681e-06	0.000287661	0.0004461219999999	8.2748850921e-08	1.9902483888400002e-07	-0.00209011	-0.00019218	3.693315240000005e-08	4.3685598121e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
587.9324682910432	-1.580900314777523	345664.58727079845	2.499245805263671	767.8851273515055	-3.615142862728817	589647.5688076378	13.069257917939106	439.4775238482983	-0.1224728348968255	193140.4939678316	0.0149995952876651	437.0002848167838	833.9881038792863	1.08824	25.558681	0.0482033099999999	0.0252579	-0.0159819785	0.0454782892	0.0169251136	0.0503410642	-0.0003574395	0.0282643441	-0.0256040576	0.1470523196	0.0684018592	0.0488689957	-0.1457049289	-0.1126888226	-0.019348949	0.0312443451	-0.001126156	0.0700967429	-0.0111188599	0.0998447592	-0.1090055901	0.1098480899	-0.012637708	0.083743183	-0.0750797527	0.1639977821	-0.1820497452	-0.0615009887	0.066877201	-0.0416096034	-0.0122327802	-0.0536541466	0.0148745406	-0.0537048834	-0.0506983885	-0.0016038899	0.0141288273	0.0012113728	-0.0821238158	-0.0090337107	-0.0360372698	0.105505029	0.0748551018	0.0396119399	0.110790898	-0.0862492645	-0.0038313563	-0.0540047725	0.076952151	0.0216306547	-0.0621208714	-0.0663936091	-0.0580054893	0.023614886	0.2191508648	-0.0440699074	-0.0600902546	-0.0858243689	0.04219318	0.1337131033	0.0627603981	-0.0172139204	0.0802811158	-0.0704119525	0.0919940604	-0.0585204608	-0.0419640749	-0.0370686072	0.0475040333	-0.0437251225	0.074793086	0.0042961911	0.0532020254	-0.0445514719	-0.0254747595	0.0543881652	0.0427925747	-0.0180448436	-0.0928233268	0.0125193525	0.0377857919	0.0383025314	0.0853524871	-0.0444168608	-0.0093960975	0.0588294694	-0.0201562997	0.0417780964	0.0262464054	-0.0070331652	0.0772095038	-0.0157235342	0.1024736144	-0.0432073596	0.1071526851	0.0231772319	0.0793605907	-0.165477821	0.1326352182	-0.161891155	-0.0852867989	-0.0490561652	-0.028540448	0.0025496212	0.0361124968	0.0063744775	-0.055857805	-0.0107805701	0.0276070324	0.031622765	-0.068075031	-0.0340406883	-0.01185103	-0.0480375839	-0.0335570442	-0.0197261462	0.14046202	-0.0548416939	-0.0767113578	-0.0021085312	-0.0160275349	0.0428334673	-0.094087145	-0.0502468922	0.0117133551	-0.0214371639	0.1937345045	-0.0474594396	0.077266806	-0.0777378436	-0.0373989033	0.0331290762	0.1207472455	0.0073265801	0.0864604708	0.174126236	-0.0342748465	-0.0524428877	0.0467281663	0.026673824	0.0119281681	0.0975371679	0.073462343	-0.011316038	0.0371717807	-0.0145048505	0.054102231	-0.0197966696	-0.0940135416	0.0412714608	-0.0575478966	-0.0056937889	0.0023863609	-0.0237964146	-0.1228377188	-0.0113509881	-0.0473639473	-0.0455621211	0.0649363595	-0.0477282441	-0.0572360902	-0.0431485577	-0.0797395976	0.1809160611	-0.086281815	0.0638969162	0.0663784646	0.0005172591	-0.065410754	-0.0695325846	0.022126505	-0.0186774648	-0.0046316819	0.0750396908	0.0993672808	-0.0447195268	0.0641935213	-0.0459800651	-0.0540537693	-0.0678948828	-0.0548382059	0.0170589099	0.0653930825	0.1219784152	0.0902598131	0.0899870646	0.0895330941	0.0888988159	-0.13057	-0.0038989999999999	0.0170485248999999	1.520220099999989e-05	0.0170388	0.00845385	0.00029032070544	7.146757982250002e-05	0.0273606	0.007001	0.0007486024323599	4.9014001000000005e-05	0.00122069	-0.0002014	4.0561960000000017e-08	1.4900840760999998e-06	-8.38982e-05	-0.0003715592	7.038907963240001e-09	1.3805623910464e-07	-0.00208608	4.029999999999919e-06	1.6240899999999347e-11	4.3517297664e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
586.8814164757172	-1.051051815325991	344429.7970045442	1.1047099185000608	763.1293151195501	-4.75581223195536	582366.3515948337	22.61774998561623	438.9535533360073	-0.5239705122909868	192680.221986307	0.2745450977504791	436.2995085083951	820.7004904448834	1.101586	25.872129	0.035503005	0.0189055	-0.0275195439	0.0832300631	0.0698246068	0.0741389974	0.022323217	0.0252308912	0.0586117271	-0.0448828612	0.0445785159	0.1152049282	-0.1895588364	-0.0751152688	-0.1216826831	0.0556980793	-0.0020482156	0.1019473734	0.0066393873	-0.0211864477	-0.0746695207	0.2046346823	-0.0692854347	0.122027977	-0.0212211321	0.0332414187	-0.1701767891	-0.0552763141	0.0022679109	0.0254586714	0.092540107	-0.0169665091	0.0303284155	-0.0264161362	0.0359249089	-0.0456010213	-0.069097907	-0.1646039487	0.0096556312	-0.0265171545	-0.0886254719	0.0543423229	0.081910683	-0.0106087147	0.0353732473	-0.065498472	0.0578118945	0.0363059985	0.0499423921	-0.1556994535	-0.0313826174	-0.0131488152	-0.0383397625	0.0672114273	-0.0392439873	-0.0339077528	-0.0266844901	-0.0324981634	0.0721579706	-0.0388741381	0.1300514175	0.0475522927	0.0153125255	-0.006868607	-0.0097308462	0.0268287194	0.0562316241	0.0797178717	0.133321283	-0.0262081704	0.0364880748	0.0137032795	-0.0716545498	0.0600814382	-0.0381079585	-0.0800359203	-0.0068519714	-0.0059739264	0.0781893738	0.0157729883	-0.0550837114	-0.0334383876	-0.0709790326	-0.0243550339	-0.0352871886	0.0277378855	-0.0088439107	-0.0874426067	0.0560782756	-0.0090124637	0.0959360218	-0.0423106814	-0.01646839	0.0019691477	0.2051512685	-0.0639319624	0.1213926219	-0.0675314791	0.0444916796	-0.154674173	-0.0936960708	0.0276811201	-0.0214611635	-0.0360671074	-0.0785889439	0.0273824016	0.0230837556	0.0354137961	-0.0017113914	0.1400156857	0.0986904776	-0.0868111749	-0.0397628124	0.0080324549	-0.0666869946	-0.0701744169	0.0901840412	-0.074963709	0.0378159107	-0.034702472	0.0499724692	-0.024038142	-0.0218046464	-0.0662121305	-0.1275402921	0.0534442573	0.0625474439	0.0660474724	-0.0209691292	0.0408238962	-0.1105483227	0.0425079103	-0.0485885225	-0.0892368621	-0.0084134219	0.0474992666	0.1033543559	0.0025934324	0.0285021078	-0.0961494046	-0.0232694953	0.0436533851	0.0375265165	-0.0200045937	0.0200065291	0.0128479851	-0.106150966	0.0180553496	0.0455011648	-0.0407079887	-0.0024335206	0.0886287987	0.0145640201	0.0807165698	0.0753560351	-0.0084323311	0.026472128	0.0404853069	-0.040837518	-0.0616077149	-0.0735981224	-0.0379484514	-0.1142678695	0.1858449309	-0.1256427411	-0.0484741843	-0.1119360177	-0.0004658411	0.0371199255	-0.1162427522	0.0249017027	0.019571081	-0.0564838513	0.0628555785	0.0578052655	-0.0035354875	0.1259798895	-0.0450116935	-0.0158869461	-0.0536572307	-0.0007278778	-0.0539480284	0.0138920623	0.1144435404	0.0902004158	0.089749793	0.0890004218	0.0879547967	-0.136862	-0.006292	0.018731207044	3.958926400000025e-05	0.0151023	-0.0019364999999999	0.00022807946529	3.750032249999996e-06	0.0429205	0.0155599	0.00184216932025	0.00024211048801	0.00120202	-1.8669999999999928e-05	3.485688999999973e-10	1.4448520804e-06	-5.28561e-05	3.1042100000000006e-05	2.79376730721e-09	9.636119724100003e-10	-0.00227066	-0.0001845799999999	3.40697763999999e-08	5.1558968356e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
586.7184480494135	-0.1629684263036779	344238.53728151234	0.0265587079718973	763.4645235233265	0.3352084037763916	582878.0786787	0.1123646739623163	439.17398664697424	0.2204333109669392	192873.7905473967	0.0485908445838473	436.6909467662914	824.9444301418009	1.152175	27.060259	0.086005495	0.0444353	-0.0321030596	0.0603476137	0.0572044225	0.0398846867	0.0584510489	-0.0378909522	-0.094321729	0.0811982119	0.017903949	-0.008183621	-0.1010387144	-0.0512046183	-0.0179101888	0.0635695991	-0.0214766065	0.0724392175	0.0641347056	0.0385086486	-0.08789942	0.0342294441	-0.0566081934	0.1017639514	-0.0051754718	0.1356594881	-0.0671174401	0.051431492	0.0437502791	0.1052426828	-0.0004560237	0.0760661731	0.1962833821	0.0762202474	-0.0191961171	-0.0014981062	0.0220224254	-0.029118974	-0.0303293114	0.0684411794	-0.0104506058	-0.0838512355	0.0505200004	0.0621889397	0.0505953812	0.0776627472	0.1933515623	-0.0911865754	0.007506882	0.0147962412	0.0554045268	0.0116946162	0.0954795787	0.123553143	-0.1301040038	0.0668459846	0.0149295681	0.0173507718	0.0143203581	0.0219989109	-0.0932347801	-0.0486623776	-0.0921922199	-0.0652721469	-0.035581773	0.0257126409	0.0109503349	0.023672769	-0.0822734471	0.0305280536	-0.0384406227	0.0108057632	-0.0400437889	0.0478031449	-0.0250595877	0.0947880057	-0.0404921238	0.0787587655	0.163038262	0.0220896315	0.0436993016	0.0728742521	0.1017106763	0.0101155858	0.0936607813	-0.0443417768	0.0402830867	-0.0081859464	0.0550614501	-0.0329906621	0.0475414747	-0.0848779646	0.0498906417	-0.0855870183	0.0334785721	-0.0305462485	0.0900799685	-0.0982917829	0.1182238995	-0.0637418329	0.0435225015	-0.0661904172	0.0692232597	0.0175446867	-0.0929739333	0.1824887688	0.051795787	-0.0487183674	0.0198991641	-0.0058149113	-0.0123717471	0.043116371	-0.1307181165	0.0336709225	0.0246539983	-0.036082984	0.0100429218	-0.1028859708	0.0460346459	0.2041345315	0.0654078538	-0.0993153313	-0.0022628033	0.0552981117	0.0169132841	0.0109622531	-0.1224539318	0.05752127	0.1111866032	0.0281006137	-0.0473516375	-0.0886024778	-0.0388793499	0.0441467404	-0.0008907687	-0.0913951857	-0.0665571721	-0.0434390061	0.0013970731	-0.0360171067	-0.0472461714	-0.0410635046	-0.1071760946	-0.001572194	-0.0641100336	0.0317226536	-0.0228478782	-0.0212268368	0.1204731441	-0.0332447193	0.1271844728	0.0385637853	-0.021061241	-0.0719153119	-0.0739362386	0.0249413311	-0.0605224258	0.0594183492	0.039058563	0.1314425363	-0.0546512232	-0.0141350113	-0.0817576182	0.1301401465	-0.0371752432	0.0557845436	0.0513711923	-0.0820807482	-0.0607808519	-0.0026424311	-0.0556669115	-0.0656368208	0.0374955592	-0.0316009978	0.0855507438	-0.0087893224	0.0458305824	0.0460354587	0.0186201485	-0.0633765653	0.0110449465	0.0245879688	0.0532609472	0.1324655627	0.0901261876	0.0894534963	0.0883360609	0.0867794369	-0.0994981	0.0373639	0.00989987190361	0.00139606102321	0.0105537	-0.0045486	0.0001113805836899	2.0689761960000013e-05	0.0451929	0.0022724	0.00204239821041	5.1638017600000034e-06	0.0007330219999999	-0.0004689980000001	2.1995912400409386e-07	5.373212524838534e-07	-0.00018739	-0.0001345339	3.51150121e-08	1.809937024921e-08	-0.00203778	0.0002328799999999	5.42330944e-08	4.1525473284e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
