onset	duration	trial_type	stim_name
12.498	7.76	FIXCROSS	n/a
20.258	4.74	MELODY	S9.wav
24.998	7.767	FIXCROSS	n/a
32.765	4.725	MELODY	K8.wav
37.49	7.758	FIXCROSS	n/a
45.249	4.742	MELODY	B20.wav
49.99	7.758	FIXCROSS	n/a
57.749	4.733	MELODY	C50.wav
62.482	7.758	FIXCROSS	n/a
70.24	4.75	SILENCE	n/a
74.99	7.758	FIXCROSS	n/a
82.749	4.733	MELODY	S3.wav
87.482	7.758	FIXCROSS	n/a
95.24	4.733	MELODY	C25.wav
99.974	7.758	FIXCROSS	n/a
107.732	4.742	MELODY	K3.wav
112.474	7.758	FIXCROSS	n/a
120.232	4.733	MELODY	B11.wav
124.965	7.758	FIXCROSS	n/a
132.724	4.742	SILENCE	n/a
137.466	7.758	FIXCROSS	n/a
145.224	4.733	MELODY	K6.wav
149.957	7.758	FIXCROSS	n/a
157.716	4.742	MELODY	S45.wav
162.457	7.767	FIXCROSS	n/a
170.224	4.725	MELODY	Cc.wav
174.949	7.758	FIXCROSS	n/a
182.707	4.742	MELODY	B19.wav
187.449	7.758	FIXCROSS	n/a
195.207	4.733	SILENCE	n/a
199.941	7.758	FIXCROSS	n/a
207.699	4.742	MELODY	B9.wav
212.441	7.758	FIXCROSS	n/a
220.199	4.733	MELODY	Sd.wav
224.932	7.758	FIXCROSS	n/a
232.691	4.742	MELODY	C42.wav
237.432	7.758	FIXCROSS	n/a
245.191	4.733	MELODY	K35.wav
249.924	7.758	FIXCROSS	n/a
257.682	4.742	SILENCE	n/a
262.424	7.758	FIXCROSS	n/a
270.182	4.733	MELODY	B48.wav
274.916	7.758	FIXCROSS	n/a
282.674	4.742	MELODY	C39.wav
287.416	7.758	FIXCROSS	n/a
295.174	4.733	MELODY	S35.wav
299.908	7.758	FIXCROSS	n/a
307.666	4.742	MELODY	K49.wav
312.408	7.758	FIXCROSS	n/a
320.166	4.733	SILENCE	n/a
324.899	7.758	FIXCROSS	n/a
332.658	4.742	MELODY	K37.wav
337.399	7.758	FIXCROSS	n/a
345.158	4.733	MELODY	B44.wav
349.891	7.758	FIXCROSS	n/a
357.649	4.742	MELODY	S2.wav
362.391	7.759	FIXCROSS	n/a
370.149	4.733	MELODY	C3.wav
374.883	7.758	FIXCROSS	n/a
382.641	4.742	SILENCE	n/a
387.383	7.758	FIXCROSS	n/a
395.141	4.733	MELODY	C8.wav
399.874	7.758	FIXCROSS	n/a
407.633	4.742	MELODY	B5.wav
412.374	7.758	FIXCROSS	n/a
420.133	4.742	MELODY	K12.wav
424.874	7.758	FIXCROSS	n/a
432.633	4.733	MELODY	S50.wav
437.366	7.758	FIXCROSS	n/a
445.124	4.733	SILENCE	n/a
449.858	7.758	FIXCROSS	n/a
457.616	4.742	MELODY	C46.wav
462.358	7.758	FIXCROSS	n/a
470.116	4.733	MELODY	K45.wav
474.85	7.758	FIXCROSS	n/a
482.608	4.742	MELODY	B12.wav
487.35	7.758	FIXCROSS	n/a
495.108	4.733	MELODY	S8.wav
499.841	7.758	FIXCROSS	n/a
507.6	4.5	SILENCE	n/a
512.1	83.569	FIXCROSS	n/a
