onset	duration	trial_type	trial_number	stroop_condition	stim_text(PL)	stim_text(eng)	stim_color(PL)	stim_color(eng)	response_type	response_color
0.0	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.0257	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.0424	0.5	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.5424	4.4167	T_INK	1	Neutral	xxxxxxxxx	xxxxxxxxx	czerwony	red	hit	n/a
5.9188	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
5.9591	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6.4758	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.4924	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
8.0091	1.4333	T_INK	2	Incongruent	czerwony	red	niebieski	blue	hit	n/a
9.4061	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
9.4424	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
9.9591	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.9758	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
11.4925	0.8167	T_INK	3	Neutral	xxxxxxxxx	xxxxxxxxx	żółty	yellow	hit	n/a
12.2855	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
12.3091	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
12.8258	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13.8425	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
14.3592	1.0167	T_INK	4	Incongruent	czerwony	red	zielony	green	hit	n/a
15.3408	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
15.3758	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
15.8925	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
16.9092	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
17.4258	1.1833	T_INK	5	Incongruent	żółty	yellow	zielony	green	hit	n/a
18.5881	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
18.6092	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.1259	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
20.1425	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
20.6592	0.8834	T_INK	6	Incongruent	żółty	yellow	czerwony	red	hit	n/a
21.5155	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
21.5425	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
22.0592	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
23.0759	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
23.5926	0.9333	T_INK	7	Incongruent	czerwony	red	żółty	yellow	hit	n/a
24.5069	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
24.5259	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
25.0426	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
26.0592	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
26.5759	0.9333	T_INK	8	Incongruent	niebieski	blue	zielony	green	hit	n/a
27.4822	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
27.5093	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
28.0259	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29.0426	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29.5593	0.7	T_INK	9	Incongruent	zielony	green	żółty	yellow	hit	n/a
30.2337	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
30.2593	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
30.7759	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
31.7926	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
32.3093	0.5667	T_INK	10	Neutral	xxxxxxx	xxxxxxx	czerwony	red	hit	n/a
32.8571	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
32.876	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
33.3926	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
34.4093	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
34.926	0.45	T_INK	11	Incongruent	żółty	yellow	niebieski	blue	hit	n/a
35.3526	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
35.376	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35.8926	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
36.9093	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
